Messstelle:                ;Fulpmes
15.01.1987 04:15:00;    53
25.02.1987 07:30:00;    52
21.03.1987 10:15:00;    50
02.04.1987 13:15:00;    52
07.05.1987 20:00:00;    73
02.06.1987 12:00:00;    85
29.07.1987 11:30:00;   117
31.08.1987 13:00:00;    96
30.09.1987 18:00:00;    77
31.10.1987 23:59:55;    69
30.11.1987 23:00:00;    61
11.12.1987 07:45:00;    58
09.01.1988 08:45:00;    57
14.02.1988 08:00:00;    53
10.03.1988 09:30:00;    52
01.04.1988 01:15:00;    56
01.05.1988 10:15:00;    72
03.06.1988 09:30:00;    83
17.07.1988 11:45:00;    95
27.08.1988 00:45:00;    86
26.09.1988 06:30:00;    72
31.10.1988 10:15:00;    65
24.11.1988 08:15:00;    58
16.12.1988 16:45:00;    55
16.01.1989 10:30:00;    53
01.02.1989 12:45:00;    53
01.03.1989 08:00:00;    53
04.04.1989 07:15:00;    61
01.05.1989 00:00:00;    61
06.06.1989 09:45:00;    81
29.07.1989 12:00:00;    97
31.08.1989 08:15:00;    76
30.09.1989 13:45:00;    69
28.10.1989 16:30:00;    63
29.11.1989 05:15:00;    57
28.12.1989 11:15:00;    56
29.01.1990 11:30:00;    53
04.02.1990 13:00:00;    52
04.03.1990 10:15:00;    54
13.04.1990 12:45:00;    55
01.05.1990 11:45:00;    66
01.06.1990 13:30:00;    79
28.07.1990 13:00:00;    90
23.08.1990 09:30:00;    79
29.09.1990 15:15:00;    66
29.10.1990 05:15:00;    64
16.11.1990 12:15:00;    61
07.12.1990 09:15:00;    57
21.01.1991 12:15:00;    53
14.02.1991 08:30:00;    53
02.03.1991 07:45:00;    54
02.04.1991 17:15:00;    57
01.05.1991 12:15:00;    60
05.06.1991 12:15:00;    85
29.07.1991 00:00:00;    92
31.08.1991 14:15:00;    79
25.09.1991 14:30:00;    71
30.10.1991 08:00:00;    62
29.11.1991 09:30:00;    57
10.12.1991 08:45:00;    54
28.01.1992 08:45:00;    53
19.02.1992 08:45:00;    50
01.03.1992 07:00:00;    52
02.04.1992 12:15:00;    57
01.05.1992 08:30:00;    75
14.06.1992 12:45:00;    87
14.07.1992 13:00:00;    95
25.08.1992 11:15:00;    84
27.09.1992 15:30:00;    69
27.10.1992 08:45:00;    63
19.11.1992 00:00:00;    61
28.12.1992 10:15:00;    55
04.01.1993 09:30:00;    54
22.02.1993 04:30:00;    53
09.03.1993 05:15:00;    52
05.04.1993 11:00:00;    55
01.05.1993 12:30:00;    76
15.06.1993 13:00:00;    85
14.07.1993 12:15:00;    82
31.08.1993 13:30:00;    78
03.09.1993 13:00:00;    72
31.10.1993 09:15:00;    74
29.11.1993 09:45:00;    63
28.12.1993 20:45:00;    57
18.01.1994 21:45:00;    55
16.02.1994 12:45:00;    53
07.03.1994 13:30:00;    54
11.04.1994 16:30:00;    55
03.05.1994 12:00:00;    69
15.06.1994 10:45:00;    81
10.07.1994 14:15:00;    89
19.08.1994 12:00:00;    78
30.09.1994 11:30:00;    74
31.10.1994 12:45:00;    61
30.11.1994 07:30:00;    61
23.12.1994 11:15:00;    55
06.01.1995 04:30:00;    53
28.02.1995 08:30:00;    52
08.03.1995 09:00:00;    51
01.04.1995 01:00:00;    54
22.05.1995 01:00:00;    70
04.06.1995 10:00:00;    95
30.07.1995 10:45:00;   101
19.08.1995 09:15:00;    86
30.09.1995 05:15:00;    76
30.10.1995 03:30:00;    64
21.11.1995 10:15:00;    59
31.12.1995 03:30:00;    57
31.01.1996 11:00:00;    52
24.02.1996 10:00:00;    50
05.03.1996 08:30:00;    50
01.04.1996 11:00:00;    53
05.05.1996 16:15:00;    65
28.06.1996 13:00:00;    79
31.07.1996 11:00:00;    82
01.08.1996 10:45:00;    81
29.09.1996 06:15:00;    73
14.10.1996 14:45:00;    73
29.11.1996 20:30:00;    70
27.12.1996 09:00:00;    60
31.01.1997 09:45:00;    57
13.02.1997 10:15:00;    56
29.03.1997 11:30:00;    56
08.04.1997 15:15:00;    55
02.05.1997 08:30:00;    61
03.06.1997 12:30:00;    84
22.07.1997 11:30:00;    94
23.08.1997 10:45:00;    87
30.09.1997 16:15:00;    69
29.10.1997 08:15:00;    61
28.11.1997 12:30:00;    60
29.12.1997 11:15:00;    57
26.01.1998 10:45:00;    54
04.02.1998 12:00:00;    52
11.03.1998 08:45:00;    52
17.04.1998 17:00:00;    57
03.05.1998 15:30:00;    67
02.06.1998 13:45:00;    83
10.07.1998 10:45:00;    89
31.08.1998 15:45:00;    75
30.09.1998 16:15:00;    73
28.10.1998 06:45:00;    70
22.11.1998 09:00:00;    64
22.12.1998 07:45:00;    59
30.01.1999 05:30:00;    56
12.02.1999 09:30:00;    54
01.03.1999 09:15:00;    55
01.04.1999 14:00:00;    60
02.05.1999 12:15:00;    83
24.06.1999 13:30:00;    95
25.07.1999 10:30:00;    93
15.08.1999 10:00:00;    89
19.09.1999 12:15:00;    78
24.10.1999 17:45:00;    69
26.11.1999 14:30:00;    61
22.12.1999 04:15:00;    56
25.01.2000 06:15:00;    55
17.02.2000 11:30:00;    53
06.03.2000 07:30:00;    54
02.04.2000 09:00:00;    59
24.05.2000 13:15:00;    90
30.06.2000 11:15:00;    85
01.07.2000 11:00:00;    86
30.08.2000 12:45:00;    81
19.09.2000 14:45:00;    72
30.10.2000 13:30:00;    75
11.11.2000 10:45:00;    72
31.12.2000 23:00:00;    62
29.01.2001 15:00:00;    57
27.02.2001 09:00:00;    56
02.03.2001 11:00:00;    56
21.04.2001 09:45:00;    62
01.05.2001 00:00:00;    86
07.06.2001 17:45:00;    87
26.07.2001 12:45:00;   103
30.08.2001 08:45:00;    83
22.09.2001 14:15:00;    72
31.10.2001 23:59:55;    65
22.11.2001 14:00:00;    59
10.12.2001 14:00:00;    55
19.01.2002 12:00:00;    54
22.02.2002 11:00:00;    52
04.03.2002 10:45:00;    53
14.04.2002 17:15:00;    58
01.05.2002 13:45:00;    67
30.06.2002 12:00:00;    90
27.07.2002 13:30:00;    84
31.08.2002 10:45:00;    84
17.09.2002 14:30:00;    70
31.10.2002 23:59:55;    69
12.11.2002 09:45:00;    66
26.12.2002 10:15:00;    65
31.01.2003 23:59:55;    59
12.02.2003 12:45:00;    56
20.03.2003 08:30:00;    55
08.04.2003 03:15:00;    56
18.05.2003 12:45:00;    75
30.06.2003 11:15:00;    93
07.07.2003 11:00:00;    81
27.08.2003 12:00:00;    75
28.09.2003 17:45:00;    64
01.10.2003 14:30:00;    63
30.11.2003 00:15:00;    61
31.12.2003 23:59:55;    58
24.01.2004 03:00:00;    52
25.02.2004 08:30:00;    50
10.03.2004 09:45:00;    51
12.04.2004 14:30:00;    58
11.05.2004 16:00:00;    70
04.06.2004 23:15:00;    84
29.07.2004 12:15:00;    92
28.08.2004 12:45:00;    80
22.09.2004 13:30:00;    70
26.10.2004 12:45:00;    65
29.11.2004 09:45:00;    62
22.12.2004 06:15:00;    56
28.01.2005 09:00:00;    52
17.02.2005 09:45:00;    51
01.03.2005 04:15:00;    50
11.04.2005 14:00:00;    58
12.05.2005 10:30:00;    68
11.06.2005 15:00:00;    75
24.07.2005 12:45:00;    81
10.08.2005 11:45:00;    75
26.09.2005 18:00:00;    72
31.10.2005 11:30:00;    66
24.11.2005 09:45:00;    59
30.12.2005 05:30:00;    54
24.01.2006 11:45:00;    52
28.02.2006 07:45:00;    49
14.03.2006 10:00:00;    49
07.04.2006 14:15:00;    55
01.05.2006 14:00:00;    67
08.06.2006 13:00:00;    75
18.07.2006 11:00:00;    83
28.08.2006 11:45:00;    77
28.09.2006 07:30:00;    69
22.10.2006 09:45:00;    62
23.11.2006 11:45:00;    57
28.12.2006 12:15:00;    52
26.01.2007 10:30:00;    51
21.02.2007 10:15:00;    50
22.03.2007 10:15:00;    51
01.04.2007 09:15:00;    52
05.05.2007 17:00:00;    65
01.06.2007 09:45:00;    78
31.07.2007 13:45:00;    73
01.08.2007 08:45:00;    72
27.09.2007 23:45:00;    70
31.10.2007 12:15:00;    61
27.11.2007 08:15:00;    57
31.12.2007 16:15:00;    53
23.01.2008 02:30:00;    51
11.02.2008 09:00:00;    51
27.03.2008 11:30:00;    50
08.04.2008 09:30:00;    50
02.05.2008 21:15:00;    63
16.06.2008 09:15:00;    88
24.07.2008 07:00:00;    87
28.08.2008 12:30:00;    80
30.09.2008 23:59:55;    70
28.10.2008 03:00:00;    66
26.11.2008 10:15:00;    61
30.12.2008 01:45:00;    54
31.01.2009 13:15:00;    53
19.02.2009 09:15:00;    50
22.03.2009 09:45:00;    51
01.04.2009 04:00:00;    54
01.05.2009 07:45:00;    66
04.06.2009 16:30:00;    80
12.07.2009 17:15:00;    84
31.08.2009 11:15:00;    78
30.09.2009 08:00:00;    68
31.10.2009 11:15:00;    61
29.11.2009 16:00:00;    59
19.12.2009 09:45:00;    53
04.01.2010 07:00:00;    54
14.02.2010 08:30:00;    53
19.03.2010 10:15:00;    52
02.04.2010 09:15:00;    54
19.05.2010 13:45:00;    68
02.06.2010 17:00:00;    83
28.07.2010 07:00:00;    81
01.08.2010 06:45:00;    81
30.09.2010 23:59:55;    73
25.10.2010 11:00:00;    64
30.11.2010 11:15:00;    63
27.12.2010 11:45:00;    57
23.01.2011 05:00:00;    53
24.02.2011 11:30:00;    51
08.03.2011 10:15:00;    52
01.04.2011 00:00:00;    57
02.05.2011 11:45:00;    62
07.06.2011 13:45:00;    86
04.07.2011 04:15:00;    78
31.08.2011 06:00:00;    76
16.09.2011 12:15:00;    73
31.10.2011 20:45:00;    66
29.11.2011 11:00:00;    59
20.12.2011 09:15:00;    55
16.01.2012 10:15:00;    51
22.02.2012 00:45:00;    51
01.03.2012 00:00:00;    54
23.04.2012 11:30:00;    63
18.05.2012 09:30:00;    79
06.06.2012 14:30:00;    98
18.07.2012 04:15:00;    90
28.08.2012 08:15:00;    80
24.09.2012 10:00:00;    79
30.10.2012 05:00:00;    71
30.11.2012 23:59:55;    66
31.12.2012 12:00:00;    61
26.01.2013 12:30:00;    56
10.02.2013 11:30:00;    54
16.03.2013 10:15:00;    55
08.04.2013 10:00:00;    55
27.05.2013 08:45:00;    78
01.06.2013 07:00:00;    86
31.07.2013 13:15:00;    90
23.08.2013 13:00:00;    78
26.09.2013 11:00:00;    74
10.10.2013 12:15:00;    73
28.11.2013 09:00:00;    65
31.12.2013 05:15:00;    60
29.01.2014 11:45:00;    57
25.02.2014 12:15:00;    56
04.03.2014 14:15:00;    60
01.04.2014 17:00:00;    65
17.05.2014 09:30:00;    76
03.06.2014 07:45:00;    83
02.07.2014 15:30:00;    92
29.08.2014 14:15:00;    85
30.09.2014 09:30:00;    76
30.10.2014 10:00:00;    71
03.11.2014 19:45:00;    71
29.12.2014 13:45:00;    64
31.01.2015 23:59:55;    62
04.02.2015 10:30:00;    60
07.03.2015 09:30:00;    59
08.04.2015 11:15:00;    61
01.05.2015 08:15:00;    74
25.06.2015 12:00:00;    95
31.07.2015 11:15:00;    87
28.08.2015 07:30:00;    85
22.09.2015 10:15:00;    82
22.10.2015 12:00:00;    82
24.11.2015 07:30:00;    74
14.12.2015 07:30:00;    72
19.01.2016 10:30:00;    72
11.02.2016 10:45:00;    72
09.03.2016 11:00:00;    72
29.04.2016 09:30:00;    73
05.05.2016 07:45:00;    74
02.06.2016 11:45:00;    99
29.07.2016 12:30:00;    97
23.08.2016 08:00:00;    89
28.09.2016 09:45:00;    74
10.10.2016 16:15:00;    71
30.11.2016 09:00:00;    64
30.12.2016 02:15:00;    60
07.01.2017 06:00:00;    57
19.02.2017 11:15:00;    57
04.03.2017 10:45:00;    57
21.04.2017 07:30:00;    61
04.05.2017 12:45:00;    64
08.06.2017 16:30:00;    88
17.07.2017 12:45:00;    83
03.08.2017 09:00:00;    88
29.09.2017 06:30:00;   113
31.10.2017 23:59:55;   100
28.11.2017 10:00:00;    92
27.12.2017 10:15:00;    87
24.01.2018 20:30:00;    85
28.02.2018 10:00:00;    82
22.03.2018 08:45:00;    83
02.04.2018 05:30:00;    85
18.05.2018 14:15:00;   118
29.06.2018 16:15:00;   107
19.07.2018 11:15:00;   107
17.08.2018 11:00:00;   104
30.09.2018 11:45:00;    94
23.10.2018 07:45:00;    87
28.11.2018 13:00:00;    84
15.12.2018 12:30:00;    81
22.01.2019 15:30:00;    80
05.02.2019 11:45:00;    81
19.03.2019 20:45:00;    82
15.04.2019 10:15:00;    87
16.05.2019 15:00:00;    95
01.06.2019 12:45:00;   115
16.07.2019 15:45:00;    93
30.08.2019 13:15:00;    87
30.09.2019 14:15:00;    75
27.10.2019 18:15:00;    71
11.11.2019 12:30:00;    69
29.12.2019 12:00:00;    65
20.01.2020 11:30:00;    62
01.02.2020 14:15:00;    62
04.03.2020 11:15:00;    61
01.04.2020 09:15:00;    63
04.05.2020 08:30:00;    76
01.06.2020 05:45:00;    78
20.07.2020 15:30:00;    91
26.08.2020 06:45:00;    86
29.09.2020 04:00:00;    80
20.10.2020 11:00:00;    79
24.11.2020 14:00:00;    67
31.12.2020 17:45:00;    66
21.01.2021 17:30:00;    62
14.02.2021 12:00:00;    61
22.03.2021 14:45:00;    61
21.04.2021 09:15:00;    65
05.05.2021 07:15:00;    75
01.06.2021 13:00:00;    87
30.07.2021 11:30:00;    98
29.08.2021 16:00:00;    86
26.09.2021 16:45:00;    78
30.10.2021 11:45:00;    71
30.11.2021 13:00:00;    67
22.12.2021 15:15:00;    63
