Messstelle:                ;Marienthal (Bahnbrücke)
13.02.1995 07:30:00;    78
20.03.1995 18:00:00;    69
01.04.1995 06:00:00;    85
29.05.1995 06:30:00;    67
21.06.1995 19:30:00;    60
26.07.1995 06:00:00;    61
03.08.1995 14:15:00;    47
10.09.1995 07:30:00;    67
18.10.1995 16:00:00;    53
03.11.1995 07:45:00;    52
11.12.1995 07:45:00;    77
07.01.1996 07:30:00;    73
04.02.1996 07:45:00;    64
07.03.1996 07:00:00;    77
01.04.1996 12:00:00;    96
07.05.1996 17:00:00;   102
20.06.1996 06:15:00;    91
31.07.1996 23:59:55;    79
21.08.1996 07:15:00;    63
02.09.1996 06:45:00;    72
15.10.1996 10:30:00;    84
29.11.1996 06:30:00;    78
29.12.1996 13:45:00;    67
24.01.1997 07:07:45;    60
10.02.1997 11:53:55;    60
01.03.1997 07:05:15;    63
23.04.1997 13:29:05;    92
20.05.1997 08:30:45;    77
16.06.1997 06:38:15;    71
03.07.1997 15:16:25;    64
18.08.1997 09:04:40;    65
06.09.1997 02:49:20;    48
31.10.1997 07:53:30;    43
12.11.1997 07:41:10;    41
19.12.1997 06:44:40;    74
24.01.1998 12:42:15;    68
04.02.1998 09:27:00;    61
09.03.1998 13:15:10;    60
16.04.1998 14:13:00;    63
03.05.1998 12:47:40;    54
07.06.1998 11:42:55;    55
25.07.1998 19:55:50;    51
21.08.1998 07:01:45;    45
04.09.1998 12:28:40;    48
25.10.1998 18:22:10;    58
01.11.1998 17:54:05;    55
07.12.1998 23:04:40;    69
31.01.1999 08:35:20;    70
01.02.1999 09:27:25;    70
25.03.1999 15:45:05;    85
12.04.1999 10:38:05;    71
02.05.1999 10:16:40;    70
08.06.1999 01:30:35;    58
09.07.1999 17:45:40;    65
07.08.1999 23:49:50;    69
24.09.1999 07:06:35;    69
27.10.1999 07:05:20;    60
05.11.1999 07:56:30;    59
27.12.1999 07:07:40;    60
15.01.2000 11:08:55;    60
24.02.2000 19:45:30;    92
09.03.2000 01:48:40;    99
28.04.2000 13:43:45;    73
19.05.2000 07:29:05;    61
22.06.2000 17:09:50;    41
27.07.2000 07:14:10;    47
31.08.2000 23:59:55;    45
04.09.2000 07:14:40;    36
15.10.2000 07:32:30;    47
13.11.2000 08:30:55;    52
22.12.2000 06:18:15;    57
24.01.2001 10:34:15;    60
02.02.2001 07:16:40;    56
01.03.2001 11:02:20;    60
18.04.2001 13:54:45;    64
29.05.2001 06:06:55;    46
21.06.2001 22:20:45;    40
09.07.2001 04:51:40;    51
01.08.2001 16:30:10;    34
01.09.2001 16:33:55;    47
10.10.2001 05:10:55;    57
09.11.2001 03:13:50;    49
20.12.2001 11:35:50;    57
07.01.2002 10:44:10;    63
20.02.2002 10:01:35;    67
13.03.2002 05:20:00;    59
30.04.2002 23:24:40;    65
31.05.2002 08:44:35;    60
02.06.2002 23:54:05;    48
12.07.2002 12:07:10;    53
01.08.2002 19:43:40;    69
19.09.2002 09:32:05;    55
04.10.2002 16:44:00;    72
22.11.2002 13:23:00;    94
02.12.2002 16:50:20;    90
20.01.2003 14:05:00;    93
24.02.2003 18:30:00;    86
31.03.2003 06:05:00;    85
29.04.2003 19:15:00;    73
08.05.2003 10:20:00;    65
12.06.2003 19:20:00;    53
01.07.2003 17:00:00;    59
27.08.2003 22:35:00;    59
28.09.2003 04:00:00;    61
26.10.2003 12:05:00;    51
28.11.2003 03:35:00;    70
06.12.2003 20:15:00;    57
07.01.2004 01:55:00;    76
01.02.2004 13:30:00;    80
03.03.2004 11:30:00;    67
30.04.2004 21:20:00;    81
12.05.2004 00:10:00;    74
01.06.2004 12:00:00;    78
28.07.2004 14:40:00;    55
21.08.2004 02:20:00;    48
09.09.2004 23:10:00;    48
30.10.2004 06:50:00;    51
05.11.2004 00:10:00;    57
15.12.2004 14:50:00;    65
12.01.2005 12:50:00;    67
10.02.2005 07:10:00;    64
16.03.2005 21:30:00;    75
24.04.2005 09:10:00;    73
26.05.2005 19:40:00;    71
27.06.2005 07:30:00;    52
31.07.2005 00:00:00;    70
06.08.2005 11:00:00;    66
04.09.2005 19:10:00;    66
27.10.2005 07:40:00;    72
18.11.2005 11:50:00;    62
02.12.2005 22:00:00;    63
27.01.2006 05:50:00;    56
04.02.2006 05:00:00;    57
07.03.2006 14:20:00;    91
23.04.2006 18:40:00;    86
25.05.2006 19:40:00;    82
29.06.2006 14:50:00;    65
26.07.2006 08:50:00;    64
03.08.2006 07:10:00;    69
29.09.2006 12:10:00;    57
05.10.2006 10:50:00;    54
29.11.2006 15:10:00;    60
03.12.2006 20:40:00;    62
19.01.2007 01:50:00;    67
06.02.2007 04:20:00;    79
19.03.2007 17:20:00;    75
15.04.2007 18:40:00;    69
02.05.2007 13:40:00;    62
21.06.2007 17:00:00;    58
13.07.2007 19:20:00;    59
07.08.2007 22:00:00;    62
05.09.2007 16:10:00;    63
20.10.2007 05:00:00;    72
06.11.2007 20:00:00;    91
30.12.2007 13:50:00;    96
25.01.2008 19:00:00;    84
28.02.2008 09:40:00;    88
27.03.2008 20:50:00;    69
21.04.2008 13:10:00;    60
27.05.2008 14:40:00;    54
20.06.2008 22:30:00;    67
01.07.2008 06:20:00;    79
31.08.2008 23:59:55;    84
13.09.2008 23:40:00;    79
29.10.2008 08:50:00;    84
21.11.2008 07:10:00;    73
15.12.2008 14:10:00;    87
16.01.2009 13:10:00;    82
26.02.2009 17:20:00;    88
02.03.2009 11:40:00;   107
29.04.2009 01:40:00;    99
25.05.2009 08:30:00;    71
10.06.2009 11:10:00;    75
31.07.2009 22:20:00;    86
28.08.2009 19:10:00;    80
27.09.2009 12:10:00;    63
07.10.2009 14:50:00;    65
02.11.2009 11:00:00;    67
31.12.2009 14:50:00;    67
15.01.2010 07:50:00;    71
14.02.2010 06:20:00;    68
16.03.2010 12:00:00;    73
30.04.2010 13:00:00;    72
10.05.2010 13:00:00;    71
14.06.2010 22:50:00;    80
29.07.2010 15:50:00;    59
24.08.2010 12:50:00;    65
24.09.2010 15:20:00;    70
20.10.2010 07:30:00;    64
28.11.2010 11:10:00;    74
01.12.2010 00:00:00;    77
06.01.2011 13:50:00;    76
28.02.2011 18:40:00;    72
16.03.2011 07:20:00;    69
24.04.2011 09:20:00;    59
18.05.2011 08:40:00;    44
14.06.2011 12:20:00;    57
31.07.2011 23:59:55;    60
27.08.2011 07:20:00;    45
12.09.2011 20:50:00;    38
02.10.2011 06:10:00;    57
25.11.2011 17:20:00;    61
02.12.2011 01:40:00;    61
01.01.2012 01:50:00;    73
14.02.2012 08:00:00;    73
29.03.2012 00:00:00;    81
29.04.2012 18:30:00;    62
30.05.2012 17:40:00;    52
28.06.2012 11:00:00;    56
06.07.2012 05:50:00;    56
24.08.2012 18:50:00;    62
04.09.2012 11:00:00;    63
24.10.2012 15:10:00;    65
01.11.2012 07:00:00;    67
15.12.2012 03:30:00;    71
04.01.2013 16:40:00;    82
24.02.2013 04:20:00;    94
24.03.2013 16:50:00;    96
30.04.2013 21:40:00;    93
30.05.2013 00:00:00;    88
22.06.2013 02:00:00;    85
28.07.2013 17:10:00;    70
19.08.2013 21:30:00;    57
28.09.2013 02:40:00;    72
17.10.2013 05:40:00;    66
01.11.2013 13:50:00;    75
27.12.2013 02:50:00;    86
30.01.2014 22:10:00;    77
03.02.2014 02:30:00;    69
28.03.2014 06:20:00;    73
06.04.2014 07:30:00;    73
10.05.2014 23:50:00;    75
28.06.2014 20:20:00;    71
26.07.2014 07:40:00;    67
11.08.2014 05:40:00;    72
01.09.2014 00:00:00;    86
30.10.2014 09:10:00;    90
27.11.2014 19:00:00;    93
23.12.2014 10:10:00;    92
01.01.2015 19:30:00;    93
20.02.2015 17:30:00;    96
25.03.2015 15:10:00;    88
27.04.2015 15:50:00;    77
12.05.2015 12:40:00;    78
30.06.2015 08:30:00;    64
31.07.2015 13:30:00;    57
16.08.2015 13:00:00;    44
07.09.2015 20:00:00;    51
04.10.2015 11:00:00;    62
25.11.2015 19:00:00;    58
19.12.2015 10:00:00;    64
23.01.2016 12:00:00;    65
17.02.2016 08:00:00;    77
12.03.2016 20:00:00;    75
08.04.2016 08:00:00;    76
31.05.2016 21:00:00;    77
20.06.2016 06:00:00;    83
01.07.2016 00:00:00;    88
26.08.2016 13:00:00;    82
05.09.2016 17:00:00;    84
02.10.2016 11:00:00;    84
02.11.2016 14:00:00;    96
16.12.2016 08:00:00;    88
28.01.2017 04:00:00;    83
03.02.2017 07:00:00;    84
09.03.2017 03:00:00;    93
19.04.2017 10:00:00;    91
30.05.2017 01:00:00;    84
26.06.2017 12:00:00;    67
06.07.2017 20:00:00;    69
06.08.2017 09:00:00;    60
01.09.2017 00:00:00;    72
18.10.2017 00:00:00;    74
18.11.2017 11:00:00;    84
21.12.2017 17:00:00;    86
24.01.2018 12:00:00;    89
26.02.2018 14:00:00;    80
01.03.2018 19:00:00;    81
30.04.2018 22:00:00;    76
24.05.2018 15:00:00;    75
12.06.2018 19:00:00;    75
20.07.2018 14:00:00;    77
04.08.2018 18:00:00;    72
30.09.2018 14:00:00;    79
19.10.2018 14:00:00;    77
08.11.2018 09:00:00;    78
02.12.2018 08:00:00;    91
31.01.2019 23:59:55;    95
01.02.2019 10:00:00;    94
30.03.2019 14:00:00;    93
24.04.2019 12:00:00;    77
02.05.2019 08:00:00;    80
30.06.2019 21:00:00;    72
27.07.2019 01:00:00;    61
29.08.2019 17:00:00;    62
05.09.2019 22:00:00;    68
14.10.2019 13:00:00;    70
04.11.2019 14:00:00;    73
14.12.2019 15:00:00;    77
05.01.2020 23:00:00;    75
24.02.2020 13:00:00;    79
11.03.2020 13:00:00;    78
30.04.2020 22:00:00;    70
19.05.2020 16:00:00;    66
19.06.2020 21:00:00;    74
29.07.2020 05:00:00;    56
30.08.2020 00:00:00;    64
25.09.2020 08:00:00;    69
10.10.2020 11:00:00;    79
26.11.2020 12:00:00;    77
19.12.2020 23:00:00;    81
05.01.2021 10:00:00;    70
28.02.2021 15:00:00;    87
31.03.2021 10:00:00;    80
10.04.2021 18:00:00;    78
10.05.2021 14:00:00;    75
30.06.2021 01:00:00;    64
07.07.2021 15:00:00;    56
20.08.2021 17:00:00;    61
10.09.2021 20:00:00;    58
06.10.2021 11:00:00;    65
17.11.2021 11:00:00;    68
11.12.2021 20:00:00;    75
