Messstelle:                ;Amerlügen
23.05.1995 09:15:00;    51
29.06.1995 02:00:00;    47
31.07.1995 10:30:00;    40
06.08.1995 13:15:00;    39
20.09.1995 04:15:00;    42
25.10.1995 05:15:00;    39
01.11.1995 04:30:00;    39
14.12.1995 06:15:00;    38
31.01.1996 04:30:00;    37
23.02.1996 03:45:00;    36
13.03.1996 01:00:00;    36
05.04.1996 08:00:00;    40
06.05.1996 09:15:00;    43
19.06.1996 09:15:00;    39
31.07.1996 23:59:55;    39
01.08.1996 05:15:00;    39
12.09.1996 05:15:00;    40
15.10.1996 02:30:00;    41
24.11.1996 23:45:00;    40
31.12.1996 20:00:00;    40
31.01.1997 10:00:00;    37
02.02.1997 11:15:00;    36
22.03.1997 09:00:00;    42
23.04.1997 07:45:00;    42
31.05.1997 10:15:00;    45
02.06.1997 04:30:00;    45
03.07.1997 04:30:00;    48
22.08.1997 08:15:00;    42
29.09.1997 06:15:00;    39
29.10.1997 07:30:00;    37
27.11.1997 01:15:00;    37
07.12.1997 00:00:00;    37
29.01.1998 08:30:00;    37
05.02.1998 09:15:00;    36
14.03.1998 04:45:00;    38
20.04.1998 09:30:00;    42
31.05.1998 08:00:00;    44
09.06.1998 07:15:00;    43
26.07.1998 09:30:00;    39
30.08.1998 06:30:00;    37
01.09.1998 08:15:00;    38
23.10.1998 07:30:00;    41
08.11.1998 10:30:00;    42
09.12.1998 03:00:00;    41
31.01.1999 13:00:00;    39
01.02.1999 08:00:00;    38
08.03.1999 11:00:00;    48
20.04.1999 09:15:00;    45
27.05.1999 08:00:00;    58
20.06.1999 11:15:00;    27
31.07.1999 08:45:00;    24
03.08.1999 08:45:00;    23
03.09.1999 08:30:00;    22
27.10.1999 12:00:00;    21
10.11.1999 01:45:00;    14
22.12.1999 04:00:00;    17
25.01.2000 03:00:00;    16
01.02.2000 12:45:00;    20
21.03.2000 11:00:00;    38
02.04.2000 09:30:00;    38
30.05.2000 13:30:00;    31
29.06.2000 06:00:00;    15
01.07.2000 07:00:00;    19
27.08.2000 06:20:40;     4
12.09.2000 11:10:10;    20
30.10.2000 10:15:00;    46
12.11.2000 02:45:00;    46
31.12.2000 23:30:00;    52
31.01.2001 12:00:00;    50
27.02.2001 05:15:00;    47
02.03.2001 10:15:00;    49
23.04.2001 09:15:00;    56
22.05.2001 06:30:00;    61
02.06.2001 13:15:00;    55
31.07.2001 12:15:00;    46
03.08.2001 11:30:00;    46
04.09.2001 00:15:00;    47
13.10.2001 19:30:00;    47
22.11.2001 07:00:00;    51
28.12.2001 10:30:00;    50
21.01.2002 03:15:00;    45
05.02.2002 13:00:00;    45
18.03.2002 14:00:00;    47
21.04.2002 15:00:00;    49
15.05.2002 15:15:00;    58
26.06.2002 14:45:00;    50
12.07.2002 14:15:00;    47
03.08.2002 14:15:00;    51
19.09.2002 00:17:25;    57
15.10.2002 20:03:55;    59
02.11.2002 04:57:35;    60
27.12.2002 16:22:45;    51
26.01.2003 15:15:00;    44
28.02.2003 23:59:55;    42
24.03.2003 15:00:00;    42
10.04.2003 15:00:00;    45
22.05.2003 03:29:30;    49
30.06.2003 06:35:50;    40
20.07.2003 21:39:45;    35
23.08.2003 23:00:05;    28
30.09.2003 23:59:55;    26
02.10.2003 14:00:00;    24
26.11.2003 20:00:00;    26
24.12.2003 10:45:00;    23
04.01.2004 09:30:00;    24
20.02.2004 10:30:00;    26
10.03.2004 06:45:00;    25
14.04.2004 08:15:00;    31
11.05.2004 10:30:00;    35
27.06.2004 18:30:00;    29
23.07.2004 00:15:00;    22
19.08.2004 21:30:00;    20
23.09.2004 06:00:00;    18
07.10.2004 23:00:00;    19
15.11.2004 11:45:00;    18
22.12.2004 14:45:00;    16
30.01.2005 09:45:00;    16
05.02.2005 08:45:00;    16
11.03.2005 01:15:00;    17
11.04.2005 06:30:00;    24
13.05.2005 12:30:00;    27
30.06.2005 22:00:00;    16
04.07.2005 09:15:00;    17
01.08.2005 21:45:00;    21
28.09.2005 00:45:00;    20
31.10.2005 09:15:00;    21
24.11.2005 21:45:00;    18
01.12.2005 19:30:00;    18
16.01.2006 16:50:45;    17
12.02.2006 11:52:10;    17
08.03.2006 08:38:30;    21
12.04.2006 08:25:20;    27
22.05.2006 11:42:25;    29
30.06.2006 08:30:00;    27
26.07.2006 07:00:00;    24
24.08.2006 11:30:00;    27
16.09.2006 09:30:00;    31
31.10.2006 14:15:00;    22
27.11.2006 12:00:00;    18
02.12.2006 02:00:00;    18
01.01.2007 00:00:00;    20
24.02.2007 07:15:00;    24
24.03.2007 02:15:00;    21
29.04.2007 04:45:00;    20
04.05.2007 07:40:00;    19
30.06.2007 18:25:00;    21
23.07.2007 13:30:00;    18
02.08.2007 04:20:00;    21
17.09.2007 18:05:00;    23
25.10.2007 05:45:00;    21
06.11.2007 01:40:00;    22
31.12.2007 14:55:00;    21
02.01.2008 08:55:00;    20
18.02.2008 08:55:00;    18
09.03.2008 07:50:00;    20
08.04.2008 08:00:00;    22
23.05.2008 14:50:00;    32
30.06.2008 23:59:55;    22
06.07.2008 04:35:00;    19
31.08.2008 15:50:00;    26
29.09.2008 04:40:00;    23
27.10.2008 00:25:00;    21
10.11.2008 13:25:00;    23
13.12.2008 09:30:00;    22
16.01.2009 10:35:00;    20
19.02.2009 10:30:00;    21
12.03.2009 06:25:00;    23
01.04.2009 06:40:00;    31
31.05.2009 23:05:00;    24
04.06.2009 23:20:00;    22
17.07.2009 05:50:00;    26
31.08.2009 23:50:00;    19
30.09.2009 03:40:00;    18
06.10.2009 07:00:00;    16
28.11.2009 22:40:00;    18
20.12.2009 10:55:00;    17
27.01.2010 08:27:45;    15
01.02.2010 10:32:50;    15
09.03.2010 09:18:55;    16
16.04.2010 15:30:00;    21
10.05.2010 18:00:40;    29
30.06.2010 23:42:10;    27
17.07.2010 07:37:40;    20
27.08.2010 05:28:50;    23
24.09.2010 08:54:35;    20
16.10.2010 04:00:00;    19
04.11.2010 11:20:00;    18
03.12.2010 10:55:00;    18
30.01.2011 06:55:00;    19
03.02.2011 04:10:00;    19
04.03.2011 03:30:00;    21
30.04.2011 16:40:00;    22
10.05.2011 19:40:00;    21
06.06.2011 10:50:00;    23
06.07.2011 16:10:00;    20
26.08.2011 14:40:00;    19
04.09.2011 14:50:00;    19
05.10.2011 13:10:00;    18
30.11.2011 15:10:00;    17
13.12.2011 16:50:00;    17
18.01.2012 09:40:00;    22
14.02.2012 13:20:00;    19
12.03.2012 11:35:00;    25
23.04.2012 11:20:00;    28
29.05.2012 03:00:00;    29
30.06.2012 14:20:00;    24
31.07.2012 16:30:00;    20
22.08.2012 17:50:00;    19
11.09.2012 12:20:00;    23
07.10.2012 04:30:00;    22
27.11.2012 15:00:00;    23
12.12.2012 20:20:00;    22
26.01.2013 06:40:00;    22
27.02.2013 10:20:00;    22
01.03.2013 10:30:00;    23
08.04.2013 08:20:00;    25
21.05.2013 17:50:00;    28
23.06.2013 13:10:00;    25
31.07.2013 23:20:00;    20
24.08.2013 14:50:00;    19
08.09.2013 11:30:00;    19
09.10.2013 21:15:00;    20
30.11.2013 23:59:55;    22
21.12.2013 14:50:00;    20
31.01.2014 12:30:00;    19
01.02.2014 00:10:00;    19
03.03.2014 12:10:00;    21
19.04.2014 16:40:00;    28
31.05.2014 22:45:00;    35
12.06.2014 15:20:00;    29
07.07.2014 21:05:00;    30
23.08.2014 14:55:00;    30
30.09.2014 09:50:00;    28
01.10.2014 17:50:00;    28
29.11.2014 23:40:00;    29
29.12.2014 09:50:00;    27
01.01.2015 01:15:00;    27
26.02.2015 10:00:00;    17
01.03.2015 04:50:00;    17
08.04.2015 12:35:00;    29
01.05.2015 02:35:00;    33
30.06.2015 21:00:00;    24
24.07.2015 18:25:00;    20
01.08.2015 01:35:00;    21
01.09.2015 01:10:00;    23
13.10.2015 03:10:00;    23
12.11.2015 12:20:00;    20
26.12.2015 09:20:00;    20
07.01.2016 14:05:00;    20
20.02.2016 08:30:00;    22
17.03.2016 11:05:00;    22
16.04.2016 11:40:00;    29
01.05.2016 01:50:00;    32
30.06.2016 16:10:00;    25
31.07.2016 02:05:00;    21
31.08.2016 21:10:00;    19
03.09.2016 16:05:00;    17
24.10.2016 02:40:00;    17
03.11.2016 19:15:00;    17
31.12.2016 01:20:00;    17
26.01.2017 09:05:00;    16
13.02.2017 09:25:00;    20
01.03.2017 20:00:00;    22
21.04.2017 09:30:00;    22
28.05.2017 12:20:00;    23
26.06.2017 16:20:00;    18
08.07.2017 15:10:00;    19
08.08.2017 10:10:00;    20
30.09.2017 15:30:00;    21
21.10.2017 23:25:00;    21
30.11.2017 22:45:00;    22
07.12.2017 12:15:00;    19
15.01.2018 20:15:00;    21
28.02.2018 07:40:00;    17
03.03.2018 08:05:00;    18
02.04.2018 10:35:00;    24
28.05.2018 15:45:00;    22
06.06.2018 17:35:00;    18
31.07.2018 07:05:00;    20
23.08.2018 15:05:10;    18
29.09.2018 12:50:00;    19
22.10.2018 08:35:00;    19
26.11.2018 10:35:00;    17
02.12.2018 08:05:00;    17
31.01.2019 03:45:00;    17
01.02.2019 08:05:00;    17
28.03.2019 11:55:00;    22
15.04.2019 10:25:00;    23
07.05.2019 10:25:00;    26
30.06.2019 14:40:00;    19
26.07.2019 15:45:00;    17
05.08.2019 21:05:00;    17
23.09.2019 03:50:00;    18
01.10.2019 17:00:00;    19
28.11.2019 10:30:00;    21
08.12.2019 11:25:00;    20
20.01.2020 07:05:00;    18
22.02.2020 16:15:00;    21
31.03.2020 08:30:00;    20
01.04.2020 06:05:00;    20
23.05.2020 10:25:00;    19
02.06.2020 14:45:00;    18
31.07.2020 16:50:00;    18
27.08.2020 16:50:00;    16
24.09.2020 15:35:00;    18
23.10.2020 18:20:00;    20
30.11.2020 07:05:00;    16
01.12.2020 00:45:00;    16
18.01.2021 05:10:00;    15
15.02.2021 06:00:00;    22
23.03.2021 08:30:00;    18
19.04.2021 13:35:00;    20
08.05.2021 14:20:00;    27
28.06.2021 17:45:00;    19
22.07.2021 08:25:00;    17
15.08.2021 22:55:00;    23
28.09.2021 17:30:00;    21
29.10.2021 11:40:00;    19
30.11.2021 01:50:00;    19
22.12.2021 08:35:00;    20
