Messstelle:                ;Leopoldsdorf im Marchfelde
10.09.1986 02:15:00;   219
15.10.1986 20:45:00;   221
30.11.1986 23:59:55;   245
05.12.1986 10:30:00;   199
31.01.1987 12:30:00;   187
03.02.1987 19:30:00;   185
14.03.1987 05:15:00;   224
30.04.1987 06:00:00;   220
01.05.1987 22:00:00;   220
30.06.1987 23:59:55;   219
30.07.1987 19:30:00;   201
10.08.1987 00:15:00;   201
04.09.1987 18:00:00;   202
11.10.1987 17:45:00;   195
23.11.1987 12:30:00;   219
15.12.1987 18:30:00;   199
16.01.1988 01:15:00;   195
27.02.1988 11:00:00;   179
03.03.1988 16:45:00;   214
29.04.1988 11:45:00;   200
31.05.1988 22:45:00;   190
30.06.1988 23:59:55;   185
25.07.1988 04:00:00;   178
19.08.1988 14:15:00;   172
12.09.1988 01:15:00;   177
01.10.1988 00:00:00;   211
22.11.1988 09:45:00;   219
31.12.1988 23:59:55;   216
04.01.1989 10:30:00;   210
03.02.1989 02:45:00;   211
31.03.1989 04:45:00;   210
22.04.1989 13:45:00;   208
31.05.1989 21:45:00;   204
12.06.1989 20:00:00;   191
09.07.1989 07:45:00;   179
18.08.1989 09:30:00;   193
22.09.1989 14:15:00;   200
02.10.1989 18:00:00;   207
01.11.1989 00:00:00;   217
12.12.1989 19:15:00;   218
25.01.1990 15:00:00;   204
01.02.1990 00:00:00;   211
04.03.1990 04:00:00;   212
06.04.1990 07:45:00;   208
22.05.1990 07:15:00;   210
28.06.1990 11:30:00;   201
28.07.1990 10:45:00;   191
30.08.1990 16:15:00;   186
01.09.1990 13:45:00;   186
01.10.1990 06:30:00;   200
28.11.1990 03:45:00;   213
27.12.1990 01:00:00;   216
31.01.1991 23:59:55;   203
07.02.1991 18:45:00;   200
02.03.1991 23:45:00;   207
01.04.1991 00:00:00; Lücke
01.05.1991 00:00:00; Lücke
01.06.1991 00:00:00; Lücke
01.07.1991 00:00:00; Lücke
01.08.1991 00:00:00; Lücke
01.09.1991 00:00:00; Lücke
01.10.1991 00:00:00; Lücke
01.11.1991 00:00:00; Lücke
01.12.1991 00:00:00; Lücke
01.01.1992 00:00:00; Lücke
01.02.1992 00:00:00; Lücke
01.03.1992 00:00:00; Lücke
26.04.1992 04:15:00;   121
01.05.1992 02:00:00;   121
17.06.1992 11:45:00;   125
01.07.1992 00:00:00;   126
02.08.1992 03:00:00;   151
03.09.1992 06:45:00;   156
05.10.1992 15:15:00;   169
25.11.1992 17:30:00;   162
04.12.1992 10:30:00;   176
11.01.1993 00:15:00;   160
24.02.1993 17:15:00;   162
04.03.1993 19:30:00;   157
04.04.1993 12:15:00;   174
19.05.1993 23:00:00;   170
30.06.1993 23:59:55;   168
06.07.1993 01:30:00;   163
18.08.1993 06:45:00;   160
21.09.1993 09:30:00;   179
06.10.1993 09:15:00;   178
27.11.1993 15:45:00;   174
15.12.1993 11:00:00;   177
24.01.1994 21:30:00;   181
07.02.1994 13:30:00;   180
02.03.1994 23:00:00;   176
20.04.1994 22:45:00;   173
06.05.1994 14:45:00;   216
18.06.1994 16:45:00;   187
06.07.1994 07:00:00;   157
05.08.1994 06:45:00;   173
30.09.1994 23:59:55;   170
01.10.1994 00:00:00;   170
10.11.1994 22:45:00;   199
16.12.1994 08:15:00;   201
31.01.1995 04:30:00;   170
20.02.1995 10:15:00;   180
07.03.1995 19:45:00;   167
04.04.1995 18:30:00;   180
20.05.1995 12:30:00;   175
28.06.1995 20:30:00;   168
28.07.1995 16:30:00;   179
02.08.1995 00:00:00;   174
02.09.1995 21:30:00;   170
12.10.1995 13:00:00;   195
10.11.1995 05:00:00;   189
31.12.1995 16:00:00;   196
21.01.1996 00:15:00;   184
01.02.1996 00:00:00;   186
05.03.1996 00:45:00;   181
25.04.1996 09:45:00;   184
29.05.1996 15:45:00;   180
20.06.1996 11:15:00;   176
22.07.1996 08:45:00;   172
25.08.1996 05:45:00;   175
15.09.1996 21:15:00;   176
22.10.1996 19:00:00;   183
29.11.1996 05:45:00;   183
26.12.1996 17:15:00;   196
16.01.1997 16:07:35;   190
09.02.1997 10:18:30;   181
15.03.1997 17:40:40;   181
22.04.1997 09:04:55;   182
03.05.1997 03:37:40;   200
03.06.1997 02:53:25;   183
21.07.1997 06:33:25;   183
31.08.1997 23:59:55;   179
05.09.1997 00:48:35;   177
21.10.1997 03:40:00;   185
18.11.1997 17:58:45;   188
18.12.1997 18:47:00;   198
09.01.1998 21:01:35;   214
11.02.1998 18:51:50;   193
18.03.1998 21:46:00;   182
01.04.1998 00:00:00;   206
05.05.1998 21:59:20;   206
01.06.1998 12:56:40;   194
29.07.1998 19:52:15;   214
31.08.1998 23:59:55;   227
12.09.1998 01:33:05;   195
31.10.1998 03:53:00;   229
12.11.1998 06:49:45;   185
23.12.1998 00:02:50;   210
31.01.1999 07:49:20;   179
26.02.1999 18:51:55;   177
03.03.1999 17:16:00;   183
12.04.1999 22:40:40;   180
14.05.1999 18:05:45;   175
01.06.1999 00:00:00;   185
02.07.1999 06:40:10;   191
03.08.1999 05:42:50;   234
01.09.1999 06:21:45;   241
20.10.1999 22:49:45;   222
24.11.1999 15:50:00;   213
28.12.1999 12:57:35;   206
31.01.2000 17:20:05;   184
05.02.2000 23:04:15;   177
19.03.2000 03:30:10;   181
01.04.2000 17:41:20;   184
25.05.2000 18:54:00;   202
05.06.2000 22:13:05;   192
12.07.2000 18:03:35;   228
27.08.2000 04:18:00;   240
12.09.2000 14:12:55;   174
30.10.2000 18:21:35;   229
30.11.2000 20:55:55;   228
12.12.2000 23:39:00;   215
26.01.2001 03:04:30;   189
21.02.2001 13:03:50;   186
26.03.2001 20:05:40;   171
01.04.2001 02:30:50;   183
12.05.2001 21:07:00;   194
20.06.2001 13:14:35;   180
19.07.2001 21:59:05;   192
23.08.2001 04:03:00;   212
10.09.2001 17:44:35;   186
11.10.2001 07:34:55;   233
07.11.2001 20:21:50;   237
24.12.2001 15:51:55;   213
29.01.2002 13:36:20;   183
13.02.2002 01:26:55;   186
26.03.2002 21:15:40;   179
23.04.2002 22:15:40;   187
25.05.2002 21:22:00;   215
09.06.2002 04:29:10;   194
17.07.2002 22:40:25;   180
15.08.2002 10:12:05;   172
10.09.2002 08:00:45;   178
17.10.2002 18:23:10;   222
13.11.2002 05:51:45;   186
24.12.2002 18:59:45;   199
11.01.2003 14:15:25;   201
18.02.2003 11:26:15;   197
07.03.2003 04:40:40;   201
28.04.2003 22:50:20;   225
14.05.2003 22:09:50;   231
21.06.2003 03:26:45;   245
12.07.2003 09:04:35;   242
03.08.2003 02:14:30;   247
15.09.2003 07:07:45;   253
22.10.2003 19:27:55;   222
07.11.2003 19:32:25;   218
25.12.2003 05:29:25;   200
06.01.2004 11:50:45;   194
21.02.2004 20:36:30;   186
06.03.2004 20:50:25;   187
08.04.2004 08:37:50;   199
03.05.2004 20:26:25;   206
22.06.2004 15:20:45;   218
26.07.2004 06:19:25;   211
30.08.2004 21:01:30;   219
14.09.2004 21:42:40;   207
01.10.2004 03:39:00;   223
09.11.2004 01:47:05;   240
04.12.2004 04:54:45;   233
26.01.2005 19:02:45;   236
14.02.2005 18:27:00;   190
21.03.2005 20:02:30;   184
01.04.2005 00:00:00;   228
30.05.2005 22:10:00;   232
02.06.2005 01:10:25;   233
17.07.2005 17:24:35;   185
26.08.2005 09:42:20;   179
01.09.2005 00:00:00;   189
19.10.2005 13:53:30;   203
30.11.2005 23:59:55;   205
30.12.2005 11:51:50;   202
09.01.2006 22:21:10;   193
02.02.2006 12:47:20;   192
09.03.2006 06:35:20;   186
04.04.2006 13:46:20;   187
20.05.2006 10:04:55;   191
06.06.2006 00:35:25;   187
07.07.2006 12:23:00;   196
11.08.2006 15:36:40;   183
20.09.2006 20:50:05;   201
21.10.2006 02:24:55;   205
11.11.2006 12:14:20;   203
24.12.2006 23:54:45;   202
27.01.2007 20:06:35;   192
12.02.2007 07:50:50;   193
09.03.2007 02:36:25;   198
03.04.2007 15:17:50;   190
13.05.2007 00:59:10;   187
05.06.2007 02:27:30;   192
12.07.2007 03:19:05;   217
09.08.2007 20:49:05;   217
11.09.2007 14:08:15;   186
25.10.2007 16:36:10;   205
24.11.2007 02:15:00;   202
22.12.2007 23:17:55;   204
31.01.2008 23:59:55;   200
28.02.2008 23:44:45;   193
01.03.2008 00:00:00;   211
14.04.2008 06:15:50;   216
08.05.2008 17:21:55;   191
24.06.2008 17:15:55;   216
10.07.2008 16:44:35;   228
28.08.2008 08:57:55;   213
11.09.2008 10:30:15;   218
16.10.2008 17:57:30;   200
30.11.2008 08:07:35;   217
01.12.2008 15:49:25;   217
30.01.2009 07:47:45;   206
04.02.2009 07:58:35;   205
24.03.2009 01:02:50;   207
25.04.2009 11:51:30;   217
26.05.2009 09:01:55;   205
25.06.2009 18:23:30;   191
17.07.2009 18:38:40;   200
20.08.2009 05:08:30;   218
01.09.2009 01:08:45;   224
15.10.2009 16:30:20;   208
01.11.2009 20:18:45;   214
21.12.2009 07:26:55;   220
28.01.2010 14:28:55;   220
02.02.2010 19:17:20;   220
31.03.2010 09:12:30;   226
11.04.2010 16:04:40;   219
15.05.2010 20:11:00;   232
28.06.2010 18:34:15;   216
31.07.2010 20:34:05;   220
03.08.2010 03:56:10;   210
02.09.2010 13:19:15;   229
13.10.2010 13:44:35;   230
26.11.2010 11:40:50;   228
15.12.2010 18:41:40;   222
30.01.2011 09:31:00;   227
01.02.2011 00:13:00;   228
01.03.2011 00:40:35;   239
09.04.2011 01:21:25;   249
17.05.2011 10:11:35;   246
03.06.2011 04:19:05;   247
07.07.2011 12:07:20;   238
11.08.2011 19:34:55;   242
07.09.2011 04:58:50;   242
12.10.2011 16:50:20;   211
02.11.2011 20:02:05;   249
26.12.2011 10:59:35;   244
24.01.2012 11:23:25;   218
08.02.2012 15:15:00;   203
02.03.2012 19:30:30;   213
05.04.2012 00:50:50;   232
27.05.2012 03:01:10;   234
15.06.2012 08:15:25;   206
02.07.2012 22:31:45;   237
28.08.2012 11:54:00;   231
05.09.2012 13:07:00;   245
21.10.2012 07:45:50;   224
27.11.2012 23:36:25;   212
17.12.2012 20:19:55;   211
09.01.2013 06:59:45;   191
11.02.2013 14:40:00;   215
27.03.2013 01:30:00;   214
15.04.2013 22:05:00;   215
31.05.2013 23:59:55;   212
02.06.2013 18:20:00;   196
03.07.2013 14:20:00;   212
30.08.2013 16:05:00;   192
24.09.2013 09:20:00;   217
01.10.2013 00:05:00;   219
03.11.2013 11:50:00;   220
02.12.2013 19:25:00;   217
30.01.2014 08:30:00;   220
06.02.2014 11:15:00;   219
29.03.2014 10:40:00;   219
05.04.2014 20:35:00;   218
29.05.2014 10:55:00;   195
02.06.2014 02:10:00;   205
11.07.2014 04:05:00;   212
03.08.2014 21:40:00;   195
21.09.2014 00:40:00;   225
25.10.2014 10:50:00;   206
04.11.2014 16:50:00;   222
31.12.2014 16:30:00;   223
11.01.2015 14:30:00;   211
10.02.2015 05:25:00;   223
27.03.2015 03:05:00;   222
30.04.2015 19:15:00;   217
28.05.2015 11:50:00;   196
11.06.2015 05:00:00;   216
23.07.2015 02:50:00;   215
05.08.2015 05:10:00;   215
23.09.2015 22:55:00;   221
01.10.2015 22:30:25;   221
19.11.2015 10:05:00;   223
09.12.2015 18:00:00;   224
28.01.2016 14:15:00;   219
03.02.2016 11:50:00;   199
23.03.2016 23:55:00;   219
26.04.2016 17:40:00;   220
12.05.2016 02:05:00;   218
23.06.2016 00:10:00;   196
15.07.2016 21:00:00;   197
20.08.2016 02:50:00;   213
01.09.2016 07:05:00;   220
05.10.2016 14:40:00;   215
29.11.2016 08:50:00;   227
16.12.2016 21:15:00;   223
18.01.2017 13:25:00;   213
01.02.2017 15:20:00;   213
09.03.2017 05:55:00;   220
12.04.2017 14:45:00;   222
30.05.2017 17:45:00;   217
23.06.2017 05:35:00;   214
18.07.2017 09:02:20;   213
01.08.2017 21:50:00;   227
05.09.2017 16:10:00;   195
13.10.2017 13:40:00;   230
24.11.2017 04:25:00;   232
27.12.2017 05:35:00;   230
08.01.2018 17:35:00;   193
07.02.2018 09:10:00;   225
20.03.2018 15:10:00;   223
14.04.2018 11:45:00;   223
14.05.2018 05:55:00;   220
04.06.2018 03:15:00;   220
05.07.2018 22:15:00;   223
12.08.2018 01:00:00;   227
30.09.2018 04:55:00;   232
01.10.2018 01:20:00;   232
02.11.2018 02:20:00;   232
05.12.2018 10:10:00;   214
22.01.2019 06:55:00;   212
20.02.2019 01:35:00;   205
18.03.2019 03:50:00;   196
15.04.2019 15:00:00;   223
03.05.2019 01:30:00;   224
13.06.2019 08:10:00;   193
09.07.2019 18:05:00;   199
29.08.2019 14:55:00;   228
23.09.2019 16:05:00;   200
16.10.2019 05:35:00;   231
18.11.2019 05:20:00;   235
09.12.2019 17:05:00;   231
10.01.2020 15:25:00;   227
18.02.2020 13:50:00;   230
27.03.2020 21:05:00;   228
17.04.2020 15:30:00;   221
04.05.2020 23:10:00;   219
19.06.2020 01:40:00;   226
08.07.2020 16:50:00;   220
01.08.2020 23:55:00;   224
21.09.2020 07:55:00;   224
01.10.2020 13:50:00;   235
22.11.2020 10:50:00;   232
19.12.2020 13:00:00;   233
19.01.2021 13:30:00;   195
15.02.2021 14:00:00;   231
17.03.2021 12:20:00;   226
27.04.2021 17:05:00;   220
08.05.2021 08:40:00;   222
09.06.2021 23:05:00;   218
01.07.2021 12:45:00;   220
15.08.2021 08:00:00;   226
10.09.2021 06:00:00;   224
15.10.2021 09:20:00;   230
23.11.2021 02:15:00;   200
03.12.2021 00:45:00;   236
