Messstelle:                ;Bucheben
06.04.1983 14:30:00;    63
06.05.1983 15:30:00;    76
01.06.1983 12:30:00;    85
31.07.1983 12:00:00;    83
24.08.1983 11:00:00;    75
30.09.1983 17:00:00;    73
29.10.1983 11:30:00;    70
30.11.1983 23:59:55;    65
16.12.1983 22:30:00;    60
26.01.1984 16:30:00;    60
10.02.1984 15:30:00;    58
13.03.1984 07:30:00;    59
07.04.1984 15:00:00;    61
01.05.1984 04:30:00;    64
01.06.1984 16:00:00;    79
29.07.1984 12:00:00;    81
30.08.1984 13:30:00;    76
20.09.1984 15:30:00;    74
30.10.1984 19:00:00;    73
28.11.1984 13:00:00;    66
31.12.1984 23:30:00;    62
25.01.1985 05:00:00;    60
21.02.1985 05:00:00;    55
20.03.1985 07:00:00;    58
19.04.1985 14:30:00;    60
01.05.1985 00:00:00;    61
26.06.1985 12:30:00;    81
23.07.1985 10:30:00;    81
03.08.1985 11:30:00;    80
30.09.1985 12:00:00;    76
31.10.1985 22:30:00;    70
28.11.1985 04:30:00;    68
31.12.1985 22:00:00;    65
18.01.1986 09:00:00;    62
25.02.1986 21:30:00;    57
02.03.1986 13:15:00;    58
01.04.1986 00:00:00;    64
02.05.1986 08:30:00;    82
09.06.1986 13:15:00;    82
28.07.1986 10:15:00;    79
26.08.1986 00:15:00;    76
30.09.1986 23:59:55;    72
26.10.1986 03:30:00;    67
28.11.1986 11:15:00;    63
20.12.1986 16:15:00;    59
31.01.1987 23:59:55;    57
24.02.1987 00:15:00;    56
24.03.1987 00:00:00;    56
03.04.1987 16:00:00;    56
09.05.1987 06:00:00;    69
01.06.1987 14:30:00;    78
30.07.1987 04:00:00;    83
12.08.1987 15:30:00;    78
30.09.1987 23:59:55;    69
27.10.1987 14:00:00;    63
21.11.1987 22:15:00;    59
31.12.1987 00:00:00;    56
01.01.1988 00:00:00;    56
10.02.1988 15:45:00;    54
06.03.1988 09:45:00;    52
01.04.1988 13:45:00;    54
01.05.1988 00:00:00;    65
03.06.1988 02:30:00;    76
10.07.1988 11:15:00;    80
18.08.1988 08:45:00;    71
11.09.1988 12:15:00;    72
31.10.1988 04:00:00;    65
23.11.1988 01:45:00;    57
17.12.1988 01:45:00;    55
10.01.1989 00:00:00;    57
28.02.1989 03:15:00;    55
01.03.1989 00:00:00;    55
25.04.1989 01:45:00;    57
01.05.1989 00:15:00;    59
09.06.1989 13:00:00;    72
30.07.1989 12:45:00;    76
21.08.1989 08:45:00;    64
25.09.1989 10:45:00;    66
22.10.1989 00:00:00;    63
23.11.1989 23:15:00;    59
30.12.1989 00:01:00;    57
12.01.1990 11:15:00;    54
06.02.1990 11:15:00;    53
05.03.1990 15:45:00;    53
18.04.1990 13:00:00;    56
01.05.1990 11:00:00;    57
01.06.1990 14:45:00;    64
28.07.1990 11:15:00;    73
24.08.1990 14:45:00;    66
16.09.1990 16:15:00;    64
28.10.1990 20:45:00;    62
07.11.1990 05:15:00;    62
31.12.1990 17:45:00;    57
28.01.1991 00:00:00;    55
06.02.1991 06:45:00;    50
05.03.1991 13:15:00;    53
10.04.1991 21:00:00;    54
02.05.1991 04:45:00;    58
05.06.1991 12:30:00;    64
23.07.1991 12:00:00;    83
31.08.1991 23:59:55;    70
27.09.1991 18:30:00;    63
30.10.1991 04:30:00;    58
11.11.1991 07:30:00;    56
22.12.1991 04:15:00;    41
28.01.1992 00:00:05;    52
18.02.1992 18:00:00;    50
19.03.1992 04:15:00;    49
03.04.1992 09:45:00;    52
01.05.1992 04:15:00;    67
27.06.1992 10:15:00;    80
14.07.1992 12:45:00;    72
31.08.1992 09:30:00;    63
29.09.1992 07:30:00;    58
02.10.1992 15:45:00;    57
18.11.1992 10:15:00;    59
30.12.1992 00:01:00;    57
07.01.1993 13:15:00;    55
21.02.1993 22:45:00;    53
07.03.1993 05:30:00;    52
01.04.1993 13:00:00;    53
01.05.1993 13:15:00;    66
26.06.1993 17:15:00;    68
08.07.1993 09:30:00;    72
31.08.1993 23:59:55;    70
30.09.1993 00:30:00;    65
01.10.1993 15:30:00;    65
30.11.1993 23:59:55;    64
29.12.1993 00:00:00;    60
31.01.1994 23:59:55;    57
27.02.1994 13:00:00;    53
05.03.1994 13:30:00;    54
12.04.1994 04:30:00;    56
01.05.1994 08:45:00;    65
16.06.1994 09:15:00;    74
30.07.1994 08:15:00;    69
15.08.1994 10:45:00;    65
08.09.1994 11:45:00;    66
19.10.1994 15:45:00;    60
30.11.1994 22:45:00;    58
31.12.1994 23:59:55;    56
12.01.1995 03:15:00;    51
24.02.1995 23:00:00;    52
01.03.1995 12:45:00;    51
01.04.1995 00:00:00;    52
01.05.1995 04:30:00;    65
04.06.1995 06:30:00;    77
31.07.1995 09:45:00;    73
24.08.1995 11:45:00;    68
30.09.1995 17:45:00;    68
31.10.1995 09:00:00;    61
30.11.1995 11:00:00;    57
28.12.1995 16:00:00;    55
17.01.1996 15:00:00;    53
26.02.1996 12:30:00;    51
02.03.1996 06:15:00;    51
01.04.1996 11:15:00;    52
04.05.1996 15:45:00;    57
17.06.1996 11:45:00;    68
26.07.1996 09:30:00;    68
19.08.1996 15:30:00;    65
01.09.1996 00:00:00;    66
01.10.1996 00:00:00;    66
11.11.1996 13:15:00;    66
26.12.1996 08:00:00;    60
29.01.1997 13:24:40;    56
15.02.1997 09:52:30;    54
31.03.1997 06:42:40;    53
01.04.1997 12:35:20;    54
02.05.1997 13:01:45;    56
02.06.1997 16:08:55;    71
17.07.1997 12:50:30;    74
31.08.1997 09:03:20;    69
25.09.1997 18:28:05;    62
29.10.1997 03:18:05;    59
20.11.1997 16:25:05;    57
31.12.1997 23:56:00;    55
29.01.1998 10:50:05;    54
12.02.1998 17:27:00;    52
21.03.1998 06:09:25;    41
02.04.1998 08:12:20;    53
04.05.1998 00:01:55;    59
02.06.1998 11:40:50;    69
30.07.1998 04:43:50;    72
31.08.1998 15:12:00;    68
01.09.1998 14:36:40;    67
05.10.1998 17:15:30;    68
30.11.1998 23:59:55;    64
14.12.1998 14:57:45;    59
29.01.1999 12:51:20;    56
21.02.1999 02:54:55;    42
09.03.1999 15:25:35;    52
01.04.1999 09:43:35;    57
01.05.1999 14:33:35;    67
26.06.1999 13:53:55;    79
20.07.1999 13:27:35;    76
12.08.1999 12:43:15;    75
28.09.1999 12:16:50;    69
28.10.1999 07:36:05;    64
23.11.1999 15:26:50;    57
29.12.1999 21:41:30;    55
18.01.2000 21:44:45;    53
22.02.2000 01:54:05;    51
04.03.2000 06:00:35;    51
03.04.2000 11:25:00;    54
01.05.2000 11:29:00;    75
30.06.2000 18:12:45;    80
31.07.2000 17:26:20;    76
30.08.2000 08:03:05;    70
30.09.2000 20:34:50;    66
01.10.2000 00:00:00;    69
12.11.2000 10:05:30;    70
29.12.2000 15:58:05;    62
29.01.2001 11:37:40;    57
23.02.2001 08:54:30;    42
03.03.2001 12:02:40;    55
21.04.2001 04:36:30;    60
01.05.2001 09:07:45;    73
05.06.2001 08:17:20;    81
29.07.2001 10:43:10;    78
30.08.2001 13:40:20;    70
21.09.2001 13:06:20;    69
31.10.2001 23:59:55;    63
22.11.2001 16:59:15;    60
30.12.2001 15:59:30;    54
31.01.2002 23:59:55;    52
25.02.2002 15:41:00;    51
04.03.2002 22:42:15;    52
07.04.2002 12:29:25;    56
01.05.2002 00:00:00;    61
30.06.2002 10:45:00;    68
28.07.2002 09:00:00;    64
03.08.2002 11:00:00;    63
17.09.2002 17:15:00;    62
08.10.2002 06:30:00;    63
07.11.2002 07:00:00;    62
22.12.2002 08:15:00;    61
31.01.2003 23:59:55;    56
28.02.2003 23:59:55;    53
31.03.2003 23:59:55;    52
07.04.2003 12:10:00;    52
02.05.2003 15:00:00;    62
28.06.2003 09:30:00;    68
26.07.2003 03:30:00;    63
28.08.2003 05:00:00;    59
09.09.2003 19:15:00;    57
01.10.2003 00:00:00;    58
01.11.2003 00:00:00;    58
31.12.2003 23:59:55;    55
31.01.2004 23:59:55;    53
16.02.2004 04:53:35;    52
01.03.2004 00:00:00;    53
08.04.2004 09:45:00;    55
11.05.2004 09:45:00;    62
02.06.2004 07:45:00;    69
29.07.2004 12:15:00;    75
29.08.2004 13:00:00;    66
19.09.2004 15:30:00;    62
24.10.2004 16:15:00;    59
30.11.2004 01:15:00;    58
23.12.2004 03:45:00;    54
31.01.2005 23:59:55;    51
28.02.2005 23:59:55;    49
03.03.2005 17:00:00;    48
02.04.2005 06:30:00;    53
11.05.2005 04:45:00;    61
12.06.2005 11:45:00;    69
03.07.2005 05:15:00;    72
10.08.2005 17:15:00;    68
25.09.2005 14:00:00;    66
31.10.2005 23:59:55;    62
30.11.2005 23:59:55;    57
31.12.2005 23:59:55;    52
31.01.2006 23:59:55;    50
28.02.2006 23:59:55;    48
05.03.2006 16:30:00;    48
07.04.2006 10:30:00;    52
01.05.2006 00:30:00;    64
11.06.2006 03:14:25;    70
31.07.2006 07:31:35;    70
01.08.2006 01:55:10;    71
14.09.2006 05:00:00;    66
16.10.2006 16:00:00;    62
19.11.2006 15:45:00;    60
31.12.2006 23:59:55;    56
16.01.2007 00:00:00;    55
13.02.2007 06:45:00;    54
03.03.2007 11:45:00;    55
01.04.2007 00:00:00;    56
01.05.2007 00:00:00;    64
17.06.2007 13:00:00;    66
31.07.2007 23:59:55;    68
14.08.2007 19:45:00;    63
01.09.2007 10:45:00;    61
31.10.2007 23:59:55;    63
11.11.2007 06:15:00;    61
31.12.2007 23:59:55;    57
04.01.2008 07:30:00;    57
29.02.2008 23:59:55;    56
14.03.2008 10:30:00;    55
08.04.2008 12:45:00;    56
03.05.2008 15:15:00;    53
18.06.2008 11:30:00;    83
19.07.2008 10:45:00;    76
31.08.2008 23:45:00;    70
30.09.2008 23:59:55;    63
28.10.2008 23:45:00;    61
18.11.2008 04:45:00;    61
31.12.2008 23:59:55;    57
21.01.2009 03:15:00;    54
27.02.2009 08:15:00;    39
28.03.2009 13:15:00;    54
01.04.2009 00:00:00;    54
01.05.2009 22:30:00;    68
06.06.2009 10:30:00;    75
27.07.2009 13:00:00;    77
31.08.2009 13:45:00;    69
30.09.2009 23:59:55;    69
31.10.2009 23:59:55;    62
30.11.2009 05:15:00;    58
21.12.2009 18:15:00;    54
31.01.2010 23:59:55;    54
09.02.2010 07:45:00;    52
19.03.2010 16:30:00;    51
01.04.2010 00:00:00;    54
01.05.2010 00:00:00;    61
01.06.2010 23:30:00;    72
29.07.2010 14:00:00;    67
01.08.2010 00:00:00;    68
23.09.2010 14:45:00;    66
25.10.2010 22:30:00;    59
24.11.2010 22:45:00;    60
26.12.2010 23:30:00;    57
31.01.2011 23:59:55;    56
28.02.2011 23:59:55;    55
12.03.2011 14:45:00;    54
01.04.2011 00:00:00;    56
01.05.2011 00:00:00;    58
02.06.2011 16:00:00;    69
06.07.2011 11:00:00;    70
29.08.2011 13:30:00;    68
17.09.2011 16:00:00;    64
07.10.2011 04:15:00;    65
30.11.2011 23:59:55;    59
31.12.2011 23:59:55;    54
06.01.2012 21:30:45;    53
27.02.2012 16:51:30;    50
07.03.2012 19:01:50;    50
02.04.2012 11:45:00;    59
01.05.2012 15:00:00;    72
15.06.2012 10:30:00;    82
09.07.2012 11:45:00;    75
28.08.2012 13:00:00;    70
27.09.2012 05:45:00;    71
25.10.2012 14:00:00;    68
30.11.2012 23:59:55;    67
22.12.2012 04:30:00;    59
11.01.2013 18:30:00;    57
24.02.2013 09:00:00;    52
02.03.2013 17:00:00;    53
01.04.2013 13:45:00;    55
28.05.2013 13:45:00;    77
01.06.2013 19:00:00;    79
31.07.2013 10:00:00;    72
16.08.2013 10:45:00;    63
12.09.2013 19:30:00;    63
07.10.2013 12:00:00;    63
30.11.2013 23:59:55;    60
10.12.2013 10:30:00;    58
16.01.2014 19:30:00;    55
09.02.2014 12:30:00;    54
01.03.2014 00:00:00;    54
03.04.2014 11:00:00;    57
02.05.2014 13:00:00;    66
22.06.2014 10:30:00;    73
12.07.2014 13:30:00;    72
08.08.2014 12:15:00;    71
27.09.2014 16:15:00;    69
19.10.2014 17:15:00;    63
02.11.2014 11:45:00;    61
28.12.2014 11:15:00;    56
27.01.2015 19:30:00;    54
07.02.2015 18:15:00;    52
14.03.2015 10:30:00;    53
03.04.2015 00:30:00;    52
01.05.2015 02:00:00;    60
27.06.2015 16:45:00;    76
28.07.2015 06:30:00;    69
30.08.2015 11:30:00;    66
21.09.2015 15:45:00;    62
31.10.2015 13:15:00;    60
23.11.2015 06:15:00;    56
30.12.2015 03:00:00;    52
18.01.2016 06:30:00;    50
20.02.2016 06:00:00;    49
09.03.2016 04:15:00;    49
02.04.2016 10:45:00;    55
01.05.2016 01:00:00;    59
03.06.2016 10:45:00;    74
29.07.2016 08:45:00;    73
26.08.2016 13:30:00;    70
27.09.2016 13:45:00;    61
17.10.2016 14:45:00;    60
29.11.2016 00:15:00;    57
30.12.2016 05:30:00;    54
31.01.2017 23:59:55;    50
23.02.2017 14:00:00;    49
03.03.2017 15:30:00;    49
21.04.2017 07:15:00;    51
06.05.2017 15:15:00;    55
24.06.2017 10:00:00;    69
05.07.2017 10:30:00;    69
02.08.2017 09:15:00;    69
09.09.2017 17:30:00;    74
31.10.2017 23:59:55;    69
28.11.2017 06:45:00;    64
10.12.2017 17:15:00;    59
18.01.2018 10:30:00;    58
25.02.2018 23:30:00;    58
01.03.2018 00:00:00;    58
02.04.2018 06:15:00;    61
25.05.2018 14:45:00;    75
26.06.2018 14:30:00;    72
31.07.2018 08:45:00;    68
24.08.2018 14:15:00;    63
28.09.2018 12:00:00;    62
13.10.2018 16:45:00;    60
30.11.2018 23:59:55;    66
31.12.2018 23:59:55;    62
10.01.2019 05:18:45;    60
01.02.2019 17:00:00;    59
22.03.2019 10:15:00;    56
15.04.2019 00:30:00;    57
01.05.2019 13:30:00;    65
01.06.2019 09:45:00;    81
23.07.2019 12:15:00;    73
28.08.2019 12:00:00;    67
29.09.2019 12:30:00;    66
23.10.2019 16:30:00;    63
03.11.2019 14:00:00;    64
24.12.2019 23:00:00;    63
27.01.2020 05:45:00;    60
22.02.2020 05:30:00;    59
05.03.2020 06:30:00;    59
01.04.2020 07:00:00;    59
04.05.2020 13:30:00;    68
02.06.2020 12:00:00;    73
26.07.2020 14:45:00;    77
27.08.2020 11:15:00;    69
21.09.2020 15:00:00;    71
18.10.2020 23:45:00;    71
30.11.2020 06:45:00;    63
27.12.2020 04:00:00;    60
14.01.2021 08:45:00;    56
02.02.2021 22:15:00;    56
22.03.2021 17:15:00;    53
07.04.2021 05:30:00;    56
01.05.2021 09:00:00;    61
01.06.2021 00:00:00;    73
30.07.2021 05:00:00;    77
21.08.2021 12:15:00;    75
19.09.2021 12:00:00;    68
29.10.2021 17:00:00;    62
22.11.2021 02:45:00;    60
17.12.2021 22:26:35;    60
