Messstelle:                ;Schönenbach (Hengstig)
16.06.1982 13:30:00;    64
23.07.1982 17:00:00;    29
15.08.1982 17:00:00;    29
20.09.1982 14:00:00;    25
31.10.1982 23:59:55;    26
08.11.1982 22:30:00;    23
07.12.1982 01:00:00;    25
03.01.1983 08:30:00;    25
27.02.1983 10:30:00;    24
04.03.1983 00:00:00;    24
01.04.1983 13:00:00;    30
28.05.1983 12:00:00;    43
24.06.1983 13:00:00;    46
27.07.1983 14:30:00;    25
01.08.1983 17:00:00;    27
30.09.1983 23:59:55;    28
05.10.1983 17:30:00;    26
15.11.1983 13:30:00;    22
18.12.1983 19:30:00;    22
30.01.1984 21:30:00;    30
26.02.1984 00:30:00;    27
09.03.1984 15:30:00;    27
10.04.1984 16:00:00;    30
01.05.1984 10:30:00;    44
19.06.1984 13:30:00;    53
25.07.1984 15:00:00;    33
24.08.1984 13:30:00;    30
04.09.1984 14:30:00;    30
31.10.1984 12:00:00;    27
09.11.1984 23:00:00;    26
31.12.1984 08:00:00;    26
22.01.1985 21:30:00;    26
25.02.1985 12:00:00;    27
16.03.1985 00:30:00;    27
01.04.1985 13:30:00;    33
04.05.1985 15:30:00;    37
30.06.1985 14:00:00;    44
29.07.1985 22:30:00;    30
16.08.1985 14:00:00;    32
30.09.1985 23:30:00;    27
30.10.1985 18:00:00;    25
01.11.1985 00:00:00;    26
29.12.1985 02:30:00;    28
11.01.1986 03:45:00;    26
25.02.1986 02:45:00;    27
01.03.1986 00:00:00;    28
20.04.1986 03:15:00;    34
10.05.1986 16:00:00;    50
30.06.1986 15:15:00;    38
05.07.1986 16:00:00;    33
04.08.1986 19:00:00;    30
17.09.1986 14:30:00;    26
12.10.1986 00:00:00;    25
15.11.1986 20:00:00;    27
13.12.1986 03:00:00;    26
29.01.1987 15:30:00;    28
01.02.1987 13:45:00;    28
24.03.1987 18:45:00;    28
02.04.1987 00:15:00;    32
08.05.1987 08:15:00;    44
23.06.1987 12:00:00;    59
17.07.1987 11:00:00;    44
23.08.1987 14:30:00;    34
23.09.1987 22:45:00;    28
11.10.1987 12:00:00;    28
05.11.1987 02:15:00;    26
16.12.1987 12:00:00;    28
25.01.1988 14:30:00;    27
09.02.1988 18:15:00;    27
10.03.1988 00:00:00;    25
02.04.1988 15:00:00;    30
22.05.1988 10:45:00;    57
27.06.1988 11:15:00;    45
24.07.1988 11:00:00;    36
20.08.1988 12:45:00;    29
30.09.1988 23:59:55;    30
29.10.1988 14:15:00;    26
10.11.1988 09:30:00;    28
18.12.1988 00:01:00;    32
24.01.1989 00:00:00;    27
18.02.1989 21:00:00;    26
05.03.1989 17:45:00;    31
30.04.1989 23:59:55;    38
01.05.1989 07:15:00;    36
21.06.1989 13:15:00;    39
23.07.1989 16:15:00;    34
27.08.1989 08:15:00;    27
25.09.1989 22:30:00;    29
06.10.1989 09:45:00;    30
30.11.1989 00:01:00;    29
11.12.1989 00:01:00;    26
21.01.1990 00:30:00;    24
02.02.1990 08:45:00;    24
30.03.1990 07:45:00;    33
13.04.1990 04:00:00;    32
31.05.1990 13:00:00;    38
01.06.1990 12:45:00;    38
30.07.1990 07:15:00;    26
12.08.1990 18:45:00;    26
03.09.1990 12:15:00;    31
27.10.1990 00:00:00;    28
30.11.1990 19:30:00;    30
21.12.1990 02:15:00;    25
25.01.1991 00:01:00;    28
15.02.1991 07:15:00;    23
02.03.1991 23:30:00;    32
03.04.1991 01:45:00;    32
05.05.1991 13:00:00;    39
05.06.1991 11:30:00;    47
24.07.1991 00:00:00;    33
31.08.1991 23:59:55;    26
10.09.1991 09:15:00;    24
16.10.1991 02:00:00;    27
30.11.1991 23:59:55;    32
14.12.1991 00:01:00;    26
27.01.1992 22:00:00;    24
03.02.1992 17:15:00;    28
03.03.1992 10:00:00;    30
02.04.1992 13:30:00;    34
01.05.1992 09:30:00;    55
30.06.1992 11:45:00;    40
31.07.1992 23:59:55;    30
21.08.1992 10:45:00;    28
26.09.1992 21:15:00;    28
16.10.1992 00:00:00;    31
14.11.1992 21:30:00;    38
31.12.1992 01:30:00;    29
07.01.1993 00:00:05;    27
20.02.1993 09:00:00;    26
11.03.1993 04:00:00;    25
05.04.1993 17:45:00;    36
23.05.1993 12:30:00;    45
30.06.1993 23:59:55;    37
02.07.1993 11:45:00;    33
22.08.1993 18:30:00;    29
25.09.1993 07:00:00;    30
21.10.1993 11:15:00;    33
30.11.1993 00:00:00;    28
01.12.1993 00:00:00;    28
23.01.1994 04:45:00;    28
20.02.1994 00:01:00;    25
01.03.1994 13:30:00;    36
13.04.1994 10:00:00;    28
07.05.1994 11:15:00;    50
28.06.1994 08:45:00;    39
31.07.1994 19:00:00;    30
06.08.1994 22:00:00;    29
30.09.1994 23:59:55;    30
16.10.1994 21:15:00;    28
09.11.1994 17:45:00;    28
25.12.1994 14:15:00;    27
22.01.1995 00:45:00;    27
03.02.1995 10:30:00;    32
09.03.1995 09:15:00;    30
01.04.1995 00:30:00;    33
22.05.1995 09:45:00;    48
30.06.1995 08:45:00;    45
31.07.1995 23:59:55;    32
01.08.1995 15:15:00;    30
25.09.1995 06:30:00;    34
27.10.1995 00:00:00;    26
01.11.1995 00:00:00;    29
15.12.1995 00:15:00;    27
31.01.1996 05:15:00;    26
14.02.1996 04:45:00;    24
03.03.1996 00:00:05;    25
05.04.1996 08:45:00;    29
04.05.1996 11:45:00;    45
18.06.1996 20:15:00;    31
23.07.1996 14:45:00;    30
01.08.1996 15:15:00;    32
10.09.1996 10:15:00;    31
14.10.1996 09:45:00;    33
30.11.1996 00:00:00;    32
31.12.1996 23:59:55;    30
22.01.1997 13:46:40;    26
07.02.1997 19:49:55;    27
26.03.1997 01:48:20;    34
23.04.1997 02:36:05;    35
09.05.1997 06:14:05;    42
16.06.1997 13:35:40;    37
31.07.1997 15:41:15;    33
26.08.1997 13:10:40;    25
30.09.1997 18:32:20;    26
07.10.1997 23:29:00;    25
28.11.1997 03:56:25;    27
06.12.1997 20:39:15;    28
31.01.1998 23:59:55;    28
04.02.1998 19:17:25;    27
03.03.1998 06:20:15;    31
20.04.1998 07:13:35;    34
25.05.1998 13:57:30;    41
26.06.1998 15:43:10;    34
27.07.1998 12:45:55;    31
21.08.1998 17:18:50;    27
03.09.1998 10:09:15;    31
23.10.1998 19:51:25;    38
28.11.1998 20:32:55;    30
03.12.1998 19:37:20;    30
30.01.1999 21:04:55;    27
14.02.1999 20:50:15;    26
09.03.1999 07:38:50;    31
20.04.1999 03:37:25;    33
17.05.1999 10:01:35;    69
29.06.1999 11:57:30;    47
31.07.1999 15:34:05;    34
04.08.1999 20:07:55;    30
23.09.1999 05:54:10;    26
30.10.1999 19:29:45;    26
02.11.1999 21:21:30;    28
01.12.1999 00:26:05;    31
29.01.2000 01:20:50;    31
24.02.2000 13:08:35;    31
05.03.2000 15:03:40;    34
02.04.2000 15:34:50;    36
23.05.2000 10:40:20;    56
30.06.2000 09:52:10;    31
01.07.2000 12:35:55;    34
26.08.2000 04:57:35;    29
20.09.2000 15:21:25;    29
25.10.2000 22:17:05;    28
10.11.2000 13:05:30;    32
31.12.2000 12:00:00;    27
03.01.2001 01:37:05;    24
01.02.2001 00:20:00;    28
03.03.2001 05:07:05;    28
23.04.2001 11:37:40;    31
20.05.2001 12:06:10;    55
27.06.2001 12:16:30;    38
31.07.2001 14:00:10;    31
30.08.2001 22:37:30;    27
04.09.2001 03:21:55;    34
21.10.2001 07:21:30;    26
25.11.2001 20:27:25;    28
25.12.2001 00:58:50;    27
21.01.2002 09:18:20;    26
22.02.2002 16:44:40;    30
04.03.2002 14:57:25;    32
21.04.2002 14:35:25;    36
31.05.2002 12:05:35;    45
27.06.2002 23:46:25;    33
12.07.2002 23:31:10;    32
01.08.2002 16:05:40;    33
18.09.2002 22:02:10;    30
31.10.2002 23:59:55;    33
02.11.2002 08:14:15;    32
16.12.2002 00:09:45;    27
27.01.2003 16:42:10;    28
19.02.2003 21:23:35;    27
02.03.2003 02:48:45;    30
08.04.2003 06:32:55;    34
17.05.2003 10:38:25;    40
25.06.2003 22:48:10;    28
22.07.2003 06:00:00;    27
29.08.2003 03:00:00;    24
09.09.2003 04:53:20;    25
31.10.2003 10:38:50;    31
12.11.2003 21:02:35;    29
14.12.2003 04:36:25;    29
04.01.2004 10:03:30;    27
29.02.2004 23:59:55;    29
10.03.2004 00:41:00;    27
14.04.2004 10:30:05;    34
10.05.2004 11:21:20;    45
30.06.2004 17:43:20;    41
21.07.2004 23:50:30;    34
12.08.2004 06:41:55;    29
22.09.2004 13:15:25;    27
07.10.2004 12:02:00;    31
20.11.2004 21:00:45;    29
31.12.2004 23:56:40;    25
15.01.2005 12:16:15;    22
09.02.2005 12:02:00;    26
10.03.2005 10:32:00;    25
12.04.2005 09:26:40;    39
11.05.2005 08:15:50;    48
24.06.2005 12:32:55;    36
18.07.2005 14:16:35;    32
02.08.2005 00:03:35;    31
29.09.2005 01:54:30;    29
31.10.2005 23:59:55;    25
16.11.2005 17:50:30;    25
10.12.2005 12:00:00;    25
24.01.2006 18:13:40;    25
07.02.2006 08:17:00;    25
03.03.2006 00:01:50;    25
13.04.2006 13:41:15;    32
25.05.2006 11:17:55;    50
30.06.2006 23:59:55;    33
27.07.2006 15:51:45;    26
19.08.2006 18:10:00;    33
16.09.2006 15:50:00;    30
24.10.2006 02:10:00;    26
01.11.2006 03:35:00;    30
30.12.2006 09:20:00;    28
31.01.2007 22:25:00;    30
10.02.2007 03:05:00;    28
25.03.2007 08:45:00;    30
01.04.2007 11:20:00;    37
27.05.2007 18:45:00;    34
20.06.2007 18:20:00;    33
20.07.2007 15:40:00;    29
28.08.2007 10:45:00;    29
18.09.2007 00:05:00;    32
17.10.2007 20:25:00;    27
04.11.2007 04:20:00;    28
31.12.2007 22:10:00;    29
04.01.2008 08:25:00;    29
17.02.2008 20:45:00;    29
28.03.2008 07:00:00;    30
08.04.2008 04:05:00;    31
22.05.2008 10:25:00;    54
29.06.2008 10:05:00;    39
31.07.2008 21:50:00;    33
31.08.2008 22:40:00;    31
30.09.2008 19:25:00;    28
02.10.2008 16:25:00;    28
11.11.2008 05:20:00;    29
13.12.2008 08:30:00;    30
23.01.2009 08:40:00;    25
03.02.2009 03:00:00;    25
12.03.2009 05:35:00;    27
01.04.2009 08:30:00;    34
31.05.2009 13:25:00;    44
05.06.2009 11:10:00;    40
17.07.2009 05:50:00;    34
28.08.2009 17:15:00;    29
01.09.2009 19:00:00;    29
07.10.2009 21:50:00;    27
12.11.2009 08:00:00;    34
20.12.2009 02:45:00;    30
28.01.2010 07:35:00;    27
13.02.2010 02:00:00;    26
16.03.2010 07:45:00;    26
06.04.2010 08:25:00;    36
21.05.2010 11:35:00;    48
30.06.2010 13:25:00;    34
10.07.2010 16:45:00;    29
23.08.2010 23:30:00;    35
24.09.2010 17:00:00;    32
16.10.2010 07:45:00;    29
30.11.2010 05:20:00;    32
03.12.2010 08:50:00;    32
05.01.2011 22:05:00;    31
23.02.2011 09:25:00;    28
04.03.2011 03:40:00;    29
28.04.2011 13:10:00;    40
26.05.2011 15:55:00;    36
29.06.2011 21:25:00;    35
12.07.2011 19:10:00;    31
26.08.2011 19:40:00;    30
04.09.2011 15:05:00;    30
06.10.2011 17:30:00;    28
29.11.2011 10:05:00;    25
01.12.2011 17:05:00;    24
19.01.2012 01:35:00;    31
22.02.2012 08:55:00;    28
12.03.2012 07:55:00;    33
19.04.2012 09:25:00;    41
17.05.2012 09:15:00;    48
24.06.2012 11:35:00;    41
27.07.2012 18:10:00;    31
23.08.2012 15:30:00;    29
11.09.2012 15:45:00;    30
27.10.2012 01:50:00;    31
30.11.2012 23:50:00;    29
01.12.2012 07:00:00;    28
29.01.2013 00:45:00;    31
27.02.2013 00:50:00;    30
22.03.2013 04:30:00;    31
01.04.2013 08:05:00;    32
25.05.2013 14:45:00;    45
23.06.2013 12:25:00;    42
28.07.2013 13:45:00;    29
05.08.2013 23:20:00;    28
08.09.2013 13:10:00;    32
05.10.2013 03:35:00;    33
30.11.2013 23:59:55;    31
21.12.2013 11:10:00;    28
30.01.2014 06:20:00;    28
13.02.2014 00:35:00;    28
06.03.2014 09:05:00;    27
19.04.2014 07:25:00;    37
26.05.2014 12:30:00;    42
23.06.2014 04:50:00;    29
07.07.2014 19:20:00;    33
10.08.2014 23:20:00;    33
10.09.2014 03:05:00;    33
13.10.2014 02:40:00;    30
30.11.2014 15:30:00;    34
13.12.2014 09:30:00;    29
27.01.2015 23:25:00;    30
26.02.2015 23:10:00;    28
01.03.2015 03:25:00;    29
08.04.2015 05:50:00;    36
29.05.2015 12:35:00;    46
30.06.2015 23:10:00;    35
22.07.2015 02:40:00;    27
09.08.2015 05:25:00;    28
01.09.2015 03:00:00;    31
04.10.2015 05:05:00;    30
17.11.2015 20:40:00;    26
31.12.2015 03:50:00;    30
07.01.2016 09:20:00;    29
20.02.2016 08:15:00;    30
17.03.2016 04:20:00;    31
29.04.2016 07:50:00;    39
05.05.2016 11:35:00;    49
30.06.2016 05:35:00;    45
11.07.2016 15:50:00;    35
29.08.2016 02:25:00;    31
16.09.2016 08:55:00;    30
17.10.2016 08:10:00;    30
04.11.2016 07:45:00;    31
31.12.2016 08:30:00;    26
05.01.2017 00:12:00;    24
11.02.2017 09:40:00;    28
08.03.2017 09:05:00;    34
21.04.2017 06:55:00;    38
02.05.2017 08:30:00;    47
25.06.2017 02:50:00;    34
08.07.2017 16:00:00;    35
30.08.2017 20:35:00;    30
30.09.2017 19:40:00;    33
21.10.2017 21:00:00;    31
30.11.2017 21:35:00;    34
06.12.2017 05:45:00;    31
15.01.2018 07:55:00;    34
13.02.2018 02:45:00;    30
04.03.2018 07:55:00;    30
02.04.2018 09:20:00;    36
31.05.2018 10:30:00;    45
30.06.2018 23:59:55;    31
31.07.2018 23:55:00;    27
13.08.2018 06:35:00;    26
21.09.2018 08:35:00;    31
23.10.2018 05:15:00;    27
28.11.2018 10:40:00;    25
01.12.2018 00:10:00;    27
31.01.2019 05:10:00;    29
04.02.2019 22:10:00;    28
06.03.2019 07:25:00;    36
15.04.2019 07:45:00;    41
07.05.2019 07:15:00;    43
30.06.2019 08:50:00;    42
27.07.2019 01:25:00;    30
05.08.2019 23:30:00;    32
22.09.2019 23:30:00;    30
28.10.2019 01:40:00;    30
23.11.2019 05:05:00;    31
12.12.2019 23:50:00;    30
20.01.2020 03:00:00;    28
22.02.2020 07:50:00;    35
10.03.2020 07:30:00;    34
01.04.2020 05:35:00;    34
31.05.2020 08:15:00;    35
01.06.2020 12:15:00;    35
31.07.2020 23:20:00;    34
28.08.2020 03:25:00;    28
20.09.2020 04:55:00;    29
20.10.2020 23:05:00;    38
30.11.2020 23:50:00;    28
11.12.2020 03:55:00;    26
16.01.2021 19:00:00;    27
15.02.2021 06:00:00;    33
23.03.2021 07:55:00;    32
19.04.2021 07:45:00;    36
06.05.2021 13:40:00;    49
28.06.2021 09:55:00;    42
26.07.2021 16:15:00;    34
15.08.2021 21:15:00;    33
16.09.2021 04:10:00;    29
31.10.2021 11:50:00;    29
01.11.2021 07:55:00;    29
01.12.2021 00:05:00;    31
