Messstelle:                ;Zwettl an der Rodl (Gemeindeamt)
22.01.1995 00:00:05;   110
04.02.1995 23:45:00;   123
17.03.1995 16:45:00;   119
30.04.1995 17:00:00;   120
26.05.1995 14:15:00;   115
30.06.1995 23:59:55;   115
31.07.1995 20:00:00;   107
08.08.1995 11:30:00;   103
13.09.1995 18:45:00;   114
30.10.1995 14:00:00;   108
01.11.1995 00:00:00;   109
15.12.1995 11:15:00;   115
27.01.1996 00:01:00;   113
27.02.1996 00:01:00;   109
14.03.1996 04:30:00;   107
02.04.1996 04:30:00;   114
07.05.1996 21:45:00;   116
19.06.1996 07:45:00;   115
08.07.1996 11:00:00;   113
06.08.1996 11:45:00;   110
04.09.1996 04:30:00;   112
16.10.1996 22:15:00;   109
04.11.1996 23:15:00;   115
07.12.1996 15:30:00;   113
27.01.1997 18:51:30;   105
02.02.1997 04:33:00;   105
16.03.1997 02:38:20;   117
24.04.1997 11:31:20;   117
31.05.1997 12:03:45;   112
30.06.1997 21:14:55;   109
04.07.1997 07:51:35;   108
27.08.1997 06:26:55;   109
22.09.1997 16:17:15;   106
08.10.1997 07:47:40;   108
14.11.1997 02:23:05;   109
08.12.1997 12:55:05;   112
31.01.1998 23:59:55;   113
01.02.1998 11:02:00;   112
02.03.1998 19:30:45;   112
30.04.1998 23:31:15;   111
31.05.1998 20:55:55;   107
11.06.1998 05:44:10;   107
02.07.1998 04:43:45;   108
19.08.1998 07:39:35;   106
03.09.1998 11:00:00;   106
10.10.1998 22:19:35;   111
30.11.1998 19:13:20;   118
07.12.1998 07:31:50;   113
25.01.1999 12:22:45;   115
19.02.1999 07:28:10;   114
01.03.1999 11:05:05;   118
29.04.1999 10:07:10;   115
31.05.1999 20:24:35;   112
30.06.1999 01:49:40;   107
07.07.1999 21:36:35;   107
21.08.1999 07:59:10;   108
30.09.1999 13:03:15;   105
31.10.1999 10:48:45;   104
30.11.1999 23:59:55;   107
01.12.1999 19:05:20;   106
09.01.2000 00:33:40;   105
24.02.2000 20:32:35;   119
01.03.2000 07:51:55;   123
30.04.2000 09:41:55;   114
27.05.2000 16:42:45;   110
21.06.2000 11:37:05;   104
02.07.2000 04:38:10;   105
24.08.2000 21:31:15;   107
12.09.2000 18:39:55;   105
01.10.2000 03:02:15;   106
15.11.2000 18:19:50;   108
09.12.2000 01:33:05;   108
28.01.2001 05:36:00;   106
03.02.2001 15:36:30;   107
03.03.2001 15:53:35;   111
30.04.2001 23:59:55;   117
30.05.2001 13:44:45;   109
26.06.2001 08:13:40;   105
16.07.2001 02:07:20;   105
03.08.2001 18:28:55;   106
01.09.2001 00:00:00;   111
28.10.2001 12:50:00;   112
04.11.2001 12:10:00;   112
23.12.2001 21:35:00;   116
19.01.2002 10:45:00;   116
20.02.2002 05:10:00;   128
18.03.2002 15:35:00;   123
30.04.2002 23:59:55;   115
31.05.2002 23:59:55;   110
30.06.2002 23:59:55;   108
10.07.2002 23:55:00;   107
06.08.2002 17:35:00;   108
19.09.2002 13:00:00;   118
03.10.2002 07:10:00;   117
29.11.2002 19:30:00;   128
20.12.2002 13:15:00;   122
27.01.2003 00:10:00;   122
23.02.2003 17:30:05;   117
01.03.2003 09:51:45;   118
29.04.2003 17:32:20;   114
30.05.2003 21:50:00;   110
29.06.2003 18:05:00;   108
22.07.2003 02:00:00;   105
29.08.2003 06:10:00;   104
16.09.2003 22:05:00;   104
04.10.2003 02:50:00;   104
11.11.2003 22:10:00;   105
08.12.2003 01:10:00;   106
11.01.2004 17:10:00;   105
01.02.2004 04:15:00;   114
05.03.2004 00:50:00;   113
30.04.2004 19:35:00;   117
26.05.2004 16:20:00;   111
27.06.2004 16:45:00;   104
08.07.2004 17:10:00;    98
13.08.2004 16:00:00;    98
02.09.2004 11:55:00;   101
07.10.2004 17:15:00;   102
05.11.2004 00:55:00;   106
14.12.2004 02:35:00;   103
01.01.2005 00:00:00;   105
04.02.2005 14:15:00;   107
10.03.2005 12:52:30;   108
18.04.2005 00:40:00;   110
30.05.2005 18:41:55;   108
28.06.2005 22:15:00;   101
04.07.2005 19:00:00;   102
15.08.2005 18:10:00;   100
10.09.2005 00:45:00;   101
30.10.2005 03:30:00;   103
12.11.2005 14:25:00;   101
01.12.2005 05:15:00;   100
31.01.2006 23:59:55;   102
13.02.2006 14:25:00;   100
08.03.2006 06:10:00;    99
26.04.2006 08:50:00;   117
25.05.2006 13:50:00;   108
25.06.2006 19:00:00;   105
28.07.2006 18:05:00;   102
03.08.2006 08:25:00;   103
28.09.2006 16:50:00;   101
28.10.2006 05:40:00;   100
23.11.2006 13:40:00;    98
30.12.2006 01:40:00;    99
01.01.2007 03:12:40;   101
01.02.2007 01:00:00;   109
31.03.2007 23:55:00;   110
30.04.2007 17:40:00;   102
05.05.2007 20:10:00;   101
25.06.2007 17:35:00;   100
01.07.2007 20:40:00;    98
08.08.2007 17:40:00;   100
01.09.2007 00:00:00;   102
15.10.2007 01:25:00;   103
01.11.2007 09:50:00;   105
31.12.2007 10:55:00;   109
17.01.2008 08:40:00;   106
19.02.2008 11:10:00;   105
11.03.2008 17:05:00;   111
21.04.2008 16:50:00;   110
31.05.2008 19:00:00;   104
15.06.2008 17:30:00;   100
01.07.2008 16:00:00;   100
07.08.2008 19:15:00;   101
03.09.2008 23:25:00;   101
01.10.2008 00:00:00;   103
10.11.2008 18:50:00;   104
06.12.2008 09:25:00;    98
30.01.2009 10:30:00;    99
19.02.2009 21:15:00;   101
01.03.2009 10:00:00;   106
28.04.2009 16:20:00;   107
26.05.2009 20:15:00;   102
06.06.2009 08:30:00;   102
31.07.2009 22:45:00;   109
20.08.2009 17:45:00;   105
28.09.2009 21:25:00;   103
03.10.2009 19:40:00;   103
30.11.2009 00:20:00;   106
01.12.2009 14:35:00;   106
16.01.2010 23:30:00;   104
16.02.2010 22:25:00;   101
15.03.2010 13:40:00;   103
29.04.2010 16:10:00;   107
12.05.2010 03:00:00;   106
29.06.2010 01:40:00;   106
14.07.2010 21:30:00;   103
26.08.2010 17:15:00;   105
22.09.2010 21:20:00;   104
19.10.2010 08:30:00;   104
10.11.2010 09:45:00;   104
02.12.2010 20:00:00;   104
04.01.2011 12:40:00;   103
27.02.2011 08:40:00;   106
07.03.2011 09:15:00;   104
29.04.2011 13:30:00;   103
26.05.2011 18:00:00;   100
26.06.2011 16:15:00;   101
10.07.2011 00:15:00;   100
23.08.2011 21:05:00;   101
03.09.2011 16:15:00;   101
04.10.2011 22:00:00;   102
27.11.2011 11:40:00;   102
02.12.2011 18:55:00;   102
01.01.2012 04:05:00;   111
23.02.2012 09:55:00;   107
30.03.2012 02:40:00;   112
30.04.2012 20:20:00;   104
26.05.2012 23:10:00;   102
30.06.2012 16:25:00;   102
28.07.2012 16:45:00;   101
01.08.2012 18:15:00;   100
11.09.2012 17:45:00;   100
06.10.2012 20:50:00;   101
30.11.2012 22:10:00;   102
07.12.2012 10:40:00;   101
27.01.2013 11:40:00;   106
25.02.2013 22:35:00;   110
05.03.2013 02:35:00;   109
30.04.2013 01:45:00;   107
20.05.2013 19:10:00;   105
22.06.2013 17:40:00;   110
28.07.2013 17:20:00;   104
18.08.2013 19:25:00;   100
08.09.2013 02:45:00;   102
05.10.2013 12:55:00;   100
28.11.2013 04:10:00;   102
07.12.2013 03:10:00;   101
30.01.2014 00:00:00;   101
01.02.2014 03:00:00;   103
30.03.2014 22:40:00;   102
28.04.2014 02:25:00;   101
02.05.2014 13:30:00;    98
28.06.2014 21:00:00;   101
07.07.2014 17:10:00;   100
26.08.2014 00:40:00;   104
10.09.2014 03:35:00;   105
12.10.2014 11:00:00;   106
30.11.2014 10:45:00;   106
14.12.2014 14:00:00;   105
01.01.2015 11:00:00;   106
15.02.2015 09:35:00;   105
01.03.2015 07:25:00;   107
25.04.2015 16:05:00;   107
18.05.2015 19:15:00;   106
17.06.2015 21:45:00;   104
30.07.2015 20:15:00;    99
21.08.2015 17:25:00;    94
01.09.2015 16:45:00;    98
03.10.2015 03:55:00;    99
03.11.2015 22:00:00;   100
31.12.2015 05:45:00;   102
04.01.2016 04:57:00;   102
20.02.2016 14:00:00;   111
31.03.2016 14:30:00;   107
30.04.2016 23:50:00;   104
11.05.2016 14:20:00;   103
25.06.2016 16:55:00;   109
11.07.2016 17:10:00;   107
31.08.2016 19:45:00;   105
04.09.2016 14:50:00;   105
02.10.2016 05:50:00;   105
30.11.2016 05:00:00;   105
22.12.2016 10:58:15;   103
17.01.2017 01:17:20;   103
15.02.2017 10:25:30;   102
17.03.2017 13:00:00;   109
15.04.2017 22:00:00;   106
30.05.2017 19:30:00;   104
28.06.2017 22:00:00;   101
14.07.2017 14:15:00;    99
05.08.2017 19:45:00;   102
29.09.2017 02:30:00;   103
01.10.2017 01:00:00;   103
05.11.2017 03:45:00;   105
11.12.2017 14:30:00;   107
27.01.2018 17:00:00;   114
27.02.2018 03:05:20;   108
05.03.2018 17:54:05;   107
28.04.2018 19:15:00;   104
30.05.2018 21:15:00;   102
11.06.2018 07:30:00;   100
31.07.2018 21:30:00;   100
19.08.2018 20:15:00;    97
29.09.2018 12:15:00;    98
22.10.2018 03:45:00;    99
15.11.2018 04:45:00;   100
01.12.2018 00:30:00;   100
31.01.2019 20:30:00;   106
09.02.2019 17:45:00;   106
31.03.2019 23:00:00;   114
25.04.2019 17:45:00;   104
19.05.2019 16:00:00;   105
18.06.2019 23:15:00;   102
25.07.2019 15:45:00;   100
29.08.2019 16:00:00;    99
18.09.2019 18:15:00;    97
02.10.2019 06:45:00;   100
27.11.2019 08:15:00;   100
06.12.2019 06:45:00;    99
21.01.2020 07:15:00;    97
23.02.2020 02:30:00;   113
31.03.2020 06:30:00;   107
28.04.2020 04:30:00;   102
29.05.2020 17:00:00;   101
03.06.2020 23:30:00;   101
09.07.2020 20:00:00;   101
28.08.2020 20:35:00;   101
22.09.2020 02:35:00;   100
06.10.2020 22:45:00;   101
29.11.2020 21:20:00;   104
04.12.2020 02:50:00;   102
10.01.2021 05:05:00;   101
28.02.2021 23:50:00;   109
31.03.2021 19:45:00;   106
29.04.2021 17:25:00;   103
12.05.2021 00:15:00;   104
20.06.2021 20:20:00;   102
06.07.2021 18:00:00;   105
21.08.2021 18:20:00;   108
27.09.2021 00:25:00;   104
24.10.2021 10:30:00;   102
30.11.2021 07:00:00;   102
21.12.2021 21:26:35;   102
