Messstelle:                ;Wien (Schwedenbrücke)
24.04.2014 02:45:00;   283
07.05.2014 12:15:00;   294
18.06.2014 14:45:00;   285
31.07.2014 02:00:00;   240
27.08.2014 06:30:00;   306
13.09.2014 23:30:00;   298
14.10.2014 20:30:00;   285
27.11.2014 15:00:00;   292
13.12.2014 10:30:00;   249
05.01.2015 05:30:00;   286
02.02.2015 15:30:00;   287
26.03.2015 15:00:00;   281
01.04.2015 00:00:00;   293
18.05.2015 08:15:00;   328
08.06.2015 07:44:55;   330
30.07.2015 16:45:00;   271
02.08.2015 16:15:00;   279
03.09.2015 00:00:00;   279
13.10.2015 13:15:00;   275
15.11.2015 18:00:00;   279
17.12.2015 01:15:00;   276
20.01.2016 20:00:00;   232
08.02.2016 12:30:00;   279
02.03.2016 13:00:00;   229
13.04.2016 13:45:00;   282
01.05.2016 10:15:00;   289
09.06.2016 11:15:00;   331
11.07.2016 19:15:00;   316
29.08.2016 09:00:00;   282
16.09.2016 12:00:00;   274
26.10.2016 10:45:00;   274
08.11.2016 13:00:00;   227
19.12.2016 10:30:00;   228
31.01.2017 17:30:00;   233
01.02.2017 00:30:00;   233
14.03.2017 11:30:00;   234
15.04.2017 14:00:00;   281
23.05.2017 15:30:00;   314
20.06.2017 16:00:00;   277
07.07.2017 14:45:00;   279
31.08.2017 14:30:00;   280
30.09.2017 17:30:00;   281
16.10.2017 18:45:00;   277
06.11.2017 08:45:00;   280
12.12.2017 01:30:00;   277
03.01.2018 10:30:00;   279
04.02.2018 17:30:00;   275
07.03.2018 12:15:00;   278
18.04.2018 13:00:00;   278
03.05.2018 14:00:00;   296
25.06.2018 10:45:00;   277
22.07.2018 10:00:00;   277
21.08.2018 11:15:00;   274
07.09.2018 09:45:00;   276
04.10.2018 19:15:00;   275
11.11.2018 03:15:00;   280
08.12.2018 15:45:00;   284
28.01.2019 18:00:00;   278
18.02.2019 17:30:00;   278
12.03.2019 11:15:00;   235
01.04.2019 00:00:00;   291
16.05.2019 17:15:00;   300
19.06.2019 16:15:00;   330
28.07.2019 12:45:00;   286
19.08.2019 11:00:00;   276
18.09.2019 16:15:00;   273
23.10.2019 07:00:00;   279
05.11.2019 04:45:00;   277
09.12.2019 17:15:00;   278
08.01.2020 16:00:00;   230
18.02.2020 12:15:00;   281
31.03.2020 05:15:00;   275
01.04.2020 18:45:00;   278
08.05.2020 16:45:00;   289
08.06.2020 08:15:00;   282
27.07.2020 20:15:00;   291
03.08.2020 00:45:00;   290
19.09.2020 08:15:00;   291
11.10.2020 08:15:00;   292
19.11.2020 09:30:00;   279
01.12.2020 17:00:00;   278
22.01.2021 13:15:00;   277
20.02.2021 11:00:00;   281
30.03.2021 17:30:00;   279
10.04.2021 04:15:00;   280
01.05.2021 00:00:00;   285
01.06.2021 09:30:00;   332
20.07.2021 07:45:00;   306
18.08.2021 15:15:00;   283
29.09.2021 11:15:00;   274
22.10.2021 00:45:00;   279
25.11.2021 07:15:00;   278
01.12.2021 10:45:00;   276
