Messstelle:                ;Wald
20.10.2001 02:45:00;   146
29.11.2001 16:45:00;   140
14.12.2001 08:15:00;   139
15.01.2002 10:15:00;   137
22.02.2002 09:00:00;   138
01.03.2002 07:00:00;   141
18.04.2002 14:45:00;   144
01.05.2002 08:00:00;   160
30.06.2002 06:15:00;   157
01.07.2002 06:45:00;   157
31.08.2002 06:30:00;   156
17.09.2002 17:15:00;   152
29.10.2002 01:30:00;   149
01.11.2002 20:30:00;   149
19.12.2002 15:45:00;   144
08.01.2003 08:15:00;   143
01.02.2003 23:45:00;   140
17.03.2003 08:45:00;   139
08.04.2003 06:45:00;   143
16.05.2003 06:30:00;   158
30.06.2003 10:00:00;   158
30.07.2003 05:45:00;   150
26.08.2003 01:00:00;   148
07.09.2003 08:00:00;   147
25.10.2003 13:00:00;   145
20.11.2003 11:30:00;   143
24.12.2003 01:45:00;   137
23.01.2004 07:00:00;   138
01.02.2004 00:00:00;   143
12.03.2004 11:30:00;   142
12.04.2004 02:00:00;   148
10.05.2004 08:00:00;   157
19.06.2004 09:15:00;   164
28.07.2004 07:45:00;   160
23.08.2004 08:45:00;   152
10.09.2004 06:15:00;   151
30.10.2004 12:15:00;   145
16.11.2004 14:45:00;   140
21.12.2004 06:30:00;   134
28.01.2005 02:00:00;   137
05.02.2005 22:45:00;   139
11.03.2005 05:00:00;   138
12.04.2005 07:15:00;   145
12.05.2005 03:30:00;   153
11.06.2005 03:15:00;   154
29.07.2005 06:15:00;   156
10.08.2005 21:45:00;   153
15.09.2005 08:15:00;   150
30.10.2005 09:45:00;   142
24.11.2005 06:45:00;   130
30.12.2005 06:00:00;   133
24.01.2006 08:45:00;   133
28.02.2006 07:45:00;   120
03.03.2006 04:45:00;   121
05.04.2006 12:15:00;   141
10.05.2006 08:30:00;   153
02.06.2006 07:45:00;   159
05.07.2006 19:30:00;   156
21.08.2006 07:15:00;   153
14.09.2006 04:00:00;   149
01.10.2006 21:00:00;   144
30.11.2006 23:59:55;   144
31.12.2006 23:59:55;   132
01.01.2007 00:00:00;   132
21.02.2007 07:45:00;   136
03.03.2007 02:00:00;   139
01.04.2007 00:00:00;   142
10.05.2007 08:30:00;   143
09.06.2007 11:15:00;   152
27.07.2007 04:30:00;   149
15.08.2007 05:30:00;   148
03.09.2007 12:15:00;   152
16.10.2007 16:00:00;   146
16.11.2007 23:45:00;   142
18.12.2007 03:15:00;   139
02.01.2008 05:30:00;   138
17.02.2008 04:15:00;   135
06.03.2008 09:15:00;   139
04.04.2008 04:45:00;   142
08.05.2008 07:30:00;   155
16.06.2008 05:15:00;   159
18.07.2008 14:30:00;   173
30.08.2008 05:00:00;   154
30.09.2008 22:45:00;   149
27.10.2008 19:45:00;   142
26.11.2008 22:30:00;   140
09.12.2008 06:15:00;   137
30.01.2009 14:00:00;   135
02.02.2009 18:45:00;   135
02.03.2009 09:15:00;   137
01.04.2009 00:00:00;   140
01.05.2009 01:15:00;   155
02.06.2009 06:30:00;   154
09.07.2009 04:00:00;   160
26.08.2009 04:30:00;   148
27.09.2009 04:15:00;   146
09.10.2009 21:45:00;   142
29.11.2009 18:15:00;   140
18.12.2009 20:15:00;   136
04.01.2010 06:30:00;   134
09.02.2010 08:00:00;   134
06.03.2010 09:30:00;   136
03.04.2010 08:45:00;   144
08.05.2010 13:15:00;   145
24.06.2010 05:00:00;   150
14.07.2010 05:00:00;   148
22.08.2010 00:45:00;   150
23.09.2010 18:30:00;   149
27.10.2010 11:15:00;   142
26.11.2010 12:45:00;   139
16.12.2010 21:15:00;   136
04.01.2011 03:15:00;   134
24.02.2011 06:45:00;   133
08.03.2011 04:15:00;   136
06.04.2011 17:00:00;   143
06.05.2011 07:15:00;   144
29.06.2011 16:00:00;   154
10.07.2011 03:15:00;   148
31.08.2011 04:00:00;   148
13.09.2011 06:15:00;   145
01.10.2011 15:00:00;   146
25.11.2011 11:15:00;   140
20.12.2011 07:30:00;   136
16.01.2012 04:00:00;   133
01.02.2012 05:15:00;   134
01.03.2012 00:00:00;   140
18.04.2012 09:00:00;   147
18.05.2012 08:15:00;   153
15.06.2012 11:45:00;   161
05.07.2012 13:45:00;   153
23.08.2012 03:30:00;   149
29.09.2012 01:45:00;   149
30.10.2012 00:00:00;   145
02.11.2012 06:45:00;   146
20.12.2012 08:15:00;   147
03.01.2013 07:30:00;   147
10.02.2013 10:15:00;   143
16.03.2013 08:00:00;   144
01.04.2013 10:00:00;   144
26.05.2013 12:45:00;   151
01.06.2013 14:30:00;   164
23.07.2013 05:15:00;   152
16.08.2013 05:15:00;   147
07.09.2013 08:00:00;   149
04.10.2013 01:45:00;   147
27.11.2013 23:30:00;   144
31.12.2013 06:00:00;   140
30.01.2014 05:15:00;   138
13.02.2014 07:00:00;   140
01.03.2014 07:00:00;   141
19.04.2014 12:45:00;   146
05.05.2014 07:00:00;   154
20.06.2014 01:30:00;   149
24.07.2014 06:45:00;   152
26.08.2014 02:00:00;   148
30.09.2014 07:00:00;   142
19.10.2014 13:45:00;   138
26.11.2014 15:45:00;   136
29.12.2014 06:30:00;   129
31.01.2015 23:00:00;   128
03.02.2015 08:00:00;   127
02.03.2015 08:30:00;   129
06.04.2015 09:15:00;   134
01.05.2015 00:00:00;   146
22.06.2015 21:00:00;   150
13.07.2015 02:45:00;   142
14.08.2015 11:00:00;   140
22.09.2015 21:30:00;   136
03.10.2015 16:30:00;   134
29.11.2015 14:45:00;   129
08.12.2015 01:30:00;   127
18.01.2016 11:30:00;   130
16.02.2016 19:00:00;   134
12.03.2016 13:45:00;   135
10.04.2016 12:15:00;   143
01.05.2016 03:30:00;   146
03.06.2016 05:00:00;   172
10.07.2016 17:15:00;   153
03.08.2016 13:00:00;   150
30.09.2016 21:30:00;   141
17.10.2016 14:00:00;   134
02.11.2016 14:30:00;   137
26.12.2016 12:45:00;   130
05.01.2017 16:45:00;   128
01.02.2017 17:30:00;   128
02.03.2017 11:00:00;   129
21.04.2017 05:30:00;   139
02.05.2017 09:45:00;   146
10.06.2017 04:30:00;   149
23.07.2017 10:00:00;   155
03.08.2017 03:15:00;   153
30.09.2017 23:15:00;   153
20.10.2017 16:15:00;   140
23.11.2017 14:00:00;   137
22.12.2017 04:45:00;   135
28.01.2018 20:45:00;   134
21.02.2018 12:00:00;   130
01.03.2018 00:00:00;   133
01.04.2018 16:45:00;   136
14.05.2018 14:15:00;   155
04.06.2018 15:45:00;   154
24.07.2018 08:30:00;   165
21.08.2018 11:00:00;   138
12.09.2018 23:30:00;   144
19.10.2018 16:45:00;   136
25.11.2018 15:45:00;   132
20.12.2018 15:15:00;   131
22.01.2019 11:30:00;   129
01.02.2019 14:15:00;   131
03.03.2019 07:45:00;   139
01.04.2019 13:45:00;   146
15.05.2019 12:30:00;   149
01.06.2019 00:00:00;   160
19.07.2019 23:45:00;   142
12.08.2019 10:15:00;   144
21.09.2019 22:00:00;   137
24.10.2019 16:00:00;   130
03.11.2019 13:00:00;   149
16.12.2019 12:30:00;   146
21.01.2020 03:15:00;   138
21.02.2020 05:30:00;   141
09.03.2020 23:00:00;   136
02.04.2020 08:00:00;   142
20.05.2020 08:15:00;   153
08.06.2020 07:30:00;   155
24.07.2020 07:15:00;   145
01.08.2020 14:15:00;   146
18.09.2020 07:15:00;   148
19.10.2020 03:00:00;   144
30.11.2020 07:45:00;   136
27.12.2020 01:30:00;   136
26.01.2021 16:30:00;   132
14.02.2021 04:30:00;   131
21.03.2021 02:15:00;   134
16.04.2021 00:00:00;   136
04.05.2021 08:15:00;   147
01.06.2021 07:15:00;   151
03.07.2021 04:15:00;   148
25.08.2021 23:15:00;   147
24.09.2021 22:15:00;   136
31.10.2021 23:59:55;   124
30.11.2021 18:15:00;   121
10.12.2021 07:00:00;   114
