Messstelle:                ;Krössbach
17.02.1997 14:30:00;    71
13.03.1997 18:30:00;    72
29.04.1997 07:15:00;    75
17.05.1997 19:15:00;   112
28.06.1997 05:00:00;   146
18.07.1997 01:45:00;   132
28.08.1997 22:45:00;   159
13.09.1997 18:00:00;   115
11.10.1997 00:15:00;   106
07.11.1997 04:45:00;   134
03.12.1997 01:45:00;    74
09.01.1998 15:30:00;    73
22.02.1998 16:15:00;    69
31.03.1998 20:45:00;    77
27.04.1998 15:15:00;    89
12.05.1998 20:00:00;   108
08.06.1998 07:15:00;   137
14.07.1998 01:30:00;   137
05.08.1998 02:00:00;   138
12.09.1998 06:30:00;   144
07.10.1998 18:15:00;   105
10.11.1998 20:30:00;    86
02.12.1998 12:15:00;    77
01.01.1999 00:00:00;    72
11.02.1999 16:45:00;    70
19.03.1999 12:30:00;    71
29.04.1999 21:15:00;    95
29.05.1999 19:30:00;   129
03.06.1999 01:30:00;   147
06.07.1999 21:00:00;   139
26.08.1999 23:45:00;   123
20.09.1999 22:15:00;   240
25.10.1999 17:30:00;   127
03.11.1999 16:30:00;    92
01.12.1999 15:30:00;    78
01.01.2000 00:00:00;    73
23.02.2000 17:45:00;    71
09.03.2000 19:45:00;    75
23.04.2000 19:45:00;   106
17.05.2000 21:30:00;   128
23.06.2000 23:00:00;   148
25.07.2000 05:00:00;   164
13.08.2000 00:00:00;   142
21.09.2000 00:45:00;   176
13.10.2000 03:45:00;   179
14.11.2000 17:45:00;   115
01.12.2000 00:00:00;    81
14.01.2001 14:45:00;    75
02.02.2001 06:30:00;    71
24.03.2001 21:00:00;    82
30.04.2001 23:59:55;    96
29.05.2001 19:00:00;   142
16.06.2001 22:00:00;   143
16.07.2001 01:00:00;   197
10.08.2001 12:15:00;   156
01.09.2001 00:00:00;   123
21.10.2001 05:00:00;   109
12.11.2001 19:45:00;    79
01.12.2001 00:00:00;    74
02.01.2002 18:15:00;    72
13.02.2002 04:15:00;    70
22.03.2002 04:30:00;    79
27.04.2002 05:45:00;    85
04.05.2002 11:00:00;   123
20.06.2002 21:35:20;   152
13.07.2002 20:15:00;   142
04.08.2002 23:00:00;   134
02.09.2002 16:00:00;   114
17.10.2002 18:45:00;   103
16.11.2002 18:15:00;   174
01.12.2002 00:00:00;    86
06.01.2003 15:15:00;    75
10.02.2003 15:45:00;    73
31.03.2003 00:00:00;    76
30.04.2003 23:59:55;   113
31.05.2003 23:59:55;   131
14.06.2003 22:45:00;   143
28.07.2003 01:45:00;   154
29.08.2003 21:30:00;   151
01.09.2003 00:00:00;   100
04.10.2003 06:15:00;   103
01.11.2003 08:30:00;    97
03.12.2003 02:15:00;    76
04.01.2004 14:00:00;    73
25.02.2004 16:30:00;    73
16.03.2004 20:45:00;    80
29.04.2004 19:30:00;    90
21.05.2004 22:45:00;   108
28.06.2004 19:30:00;   150
09.07.2004 05:45:00;   189
05.08.2004 22:00:00;   138
24.09.2004 04:30:00;   115
27.10.2004 18:30:00;   119
02.11.2004 03:45:00;   153
01.12.2004 01:30:00;    78
02.01.2005 21:15:00;    73
19.02.2005 18:30:00;    73
24.03.2005 20:15:00;    78
30.04.2005 20:30:00;    95
29.05.2005 19:30:00;   138
24.06.2005 22:45:00;   136
05.07.2005 06:30:00;   177
23.08.2005 09:00:00;   151
01.09.2005 22:45:00;   119
05.10.2005 19:45:00;   106
01.11.2005 22:30:00;    80
01.12.2005 15:00:00;    75
05.01.2006 15:15:00;    73
04.02.2006 18:00:00;    71
27.03.2006 20:15:00;    77
28.04.2006 21:15:00;    91
29.05.2006 03:00:00;   135
25.06.2006 20:00:00;   150
28.07.2006 17:30:00;   151
01.08.2006 15:15:00;   135
15.09.2006 14:45:00;   139
03.10.2006 23:30:00;   138
01.11.2006 00:00:00;    81
09.12.2006 11:15:00;    75
19.01.2007 14:30:00;    74
18.02.2007 13:45:00;    72
19.03.2007 03:30:00;    72
26.04.2007 20:45:00;    94
21.05.2007 23:00:00;   126
16.06.2007 00:30:00;   134
02.07.2007 17:30:00;   134
30.08.2007 06:00:00;   154
18.09.2007 15:45:00;   112
06.10.2007 10:45:00;    98
24.11.2007 08:15:00;    80
19.12.2007 13:15:00;    96
06.01.2008 23:45:00;    72
09.02.2008 15:30:00;    72
01.03.2008 17:45:00;    72
28.04.2008 20:15:00;    86
28.05.2008 18:30:00;   154
06.06.2008 19:45:00;   144
13.07.2008 11:15:00;   187
08.08.2008 21:15:00;   143
07.09.2008 17:15:00;   143
30.10.2008 00:15:00;   106
05.11.2008 05:30:00;   101
01.12.2008 20:30:00;    78
26.01.2009 14:45:00;    72
16.02.2009 16:00:00;    72
22.03.2009 12:15:00;    70
15.04.2009 20:00:00;    88
24.05.2009 21:30:00;   134
19.06.2009 22:30:00;   146
18.07.2009 01:15:00;   157
21.08.2009 19:45:00;   133
02.09.2009 22:30:00;   125
07.10.2009 17:30:00;    95
30.11.2009 19:30:00;    84
01.12.2009 00:00:00;    80
04.01.2010 14:45:00;    76
09.02.2010 17:15:00;    73
26.03.2010 21:45:00;    76
30.04.2010 21:00:00;    97
26.05.2010 20:15:00;   119
11.06.2010 19:45:00;   153
11.07.2010 20:15:00;   155
15.08.2010 04:45:00;   189
09.09.2010 00:45:00;   109
05.10.2010 14:45:00;   110
01.11.2010 09:30:00;    90
24.12.2010 10:00:00;    77
13.01.2011 17:45:00;    74
24.02.2011 15:15:00;    72
30.03.2011 23:30:00;    73
09.04.2011 19:15:00;    87
27.05.2011 17:15:00;   135
18.06.2011 18:45:00;   151
17.07.2011 22:45:00;   155
27.08.2011 00:30:00;   143
04.09.2011 22:00:00;   156
10.10.2011 16:00:00;   117
05.11.2011 09:45:00;    86
01.12.2011 00:00:00;    74
17.01.2012 15:15:00;    72
22.02.2012 16:30:00;    71
28.03.2012 22:00:00;    79
29.04.2012 16:45:00;   112
23.05.2012 23:30:00;   128
04.06.2012 05:30:00;   154
03.07.2012 00:30:00;   183
26.08.2012 02:15:00;   169
27.09.2012 03:45:00;   171
01.10.2012 00:00:00;    98
11.11.2012 15:45:00;   111
01.12.2012 00:00:00;    78
03.01.2013 15:15:00;    74
19.02.2013 16:00:00;    73
16.03.2013 12:30:00;    74
30.04.2013 19:30:00;   110
02.05.2013 20:30:00;   118
19.06.2013 20:15:00;   157
18.07.2013 03:00:00;   147
19.08.2013 18:15:00;   145
09.09.2013 04:45:00;   134
24.10.2013 00:45:00;   126
03.11.2013 14:45:00;    90
02.12.2013 15:00:00;    79
04.01.2014 15:45:00;    76
01.02.2014 18:45:00;    75
20.03.2014 20:30:00;    78
26.04.2014 20:15:00;    91
23.05.2014 22:15:00;   133
29.06.2014 19:00:00;   146
21.07.2014 14:45:00;   150
13.08.2014 14:30:00;   208
05.09.2014 22:00:00;   119
01.10.2014 21:30:00;   104
05.11.2014 23:15:00;    96
01.12.2014 10:15:00;    80
10.01.2015 05:30:00;    78
19.02.2015 15:30:00;    74
31.03.2015 23:59:55;    76
27.04.2015 18:45:00;    92
19.05.2015 22:00:00;   122
07.06.2015 22:45:00;   141
22.07.2015 22:00:00;   146
04.08.2015 19:45:00;   130
14.09.2015 15:00:00;   130
07.10.2015 03:00:00;   100
01.11.2015 00:00:00;    85
02.12.2015 03:00:00;    77
18.01.2016 13:45:00;    73
01.02.2016 10:15:00;    72
31.03.2016 23:00:00;    78
23.04.2016 08:15:00;    94
29.05.2016 19:15:00;   128
17.06.2016 05:00:00;   189
12.07.2016 21:30:00;   153
05.08.2016 06:45:00;   186
01.09.2016 00:00:00;   119
14.10.2016 20:00:00;   117
01.11.2016 06:45:00;    79
04.12.2016 14:45:00;    75
07.01.2017 16:00:00;    72
19.02.2017 14:30:00;    70
31.03.2017 23:59:55;    78
14.04.2017 21:30:00;    79
31.05.2017 01:15:00;   130
25.06.2017 10:00:00;   169
24.07.2017 14:00:00;   130
10.08.2017 21:30:00;   248
01.09.2017 09:30:00;   185
03.10.2017 15:00:00;   117
05.11.2017 20:00:00;    86
04.12.2017 15:30:00;    95
09.01.2018 10:30:00;    79
04.02.2018 14:30:00;    74
22.03.2018 12:30:00;    73
30.04.2018 08:00:00;   128
31.05.2018 22:15:00;   143
01.06.2018 21:15:00;   151
03.07.2018 19:30:00;   136
06.08.2018 16:45:00;   163
01.09.2018 03:45:00;   142
29.10.2018 20:45:00;   150
07.11.2018 01:00:00;    94
24.12.2018 08:17:00;    85
01.01.2019 00:00:00;    75
28.02.2019 06:00:00;    74
24.03.2019 22:15:00;    79
26.04.2019 16:45:00;   112
28.05.2019 20:45:00;   120
12.06.2019 06:00:00;   208
01.07.2019 19:45:00;   161
12.08.2019 20:30:00;   171
02.09.2019 23:00:00;   138
02.10.2019 07:30:00;   104
03.11.2019 11:45:00;    90
02.12.2019 10:45:00;    80
08.01.2020 12:15:00;    76
03.02.2020 19:15:00;    76
20.03.2020 22:15:00;    79
20.04.2020 20:45:00;    97
23.05.2020 22:30:00;   126
27.06.2020 22:15:00;   142
11.07.2020 22:15:00;   140
30.08.2020 14:00:00;   207
06.09.2020 23:00:00;   132
03.10.2020 13:30:00;   237
02.11.2020 19:00:00;    99
06.12.2020 14:30:00;    86
04.01.2021 15:15:00;    74
27.02.2021 07:00:00;    75
31.03.2021 21:00:00;    81
30.04.2021 20:15:00;    97
11.05.2021 18:15:00;   124
21.06.2021 19:30:00;   164
08.07.2021 22:45:00;   215
05.08.2021 00:45:00;   170
19.09.2021 22:00:00;   128
05.10.2021 04:15:00;   168
01.11.2021 19:00:00;    85
02.12.2021 08:45:00;    77
