Messstelle:                ;Amerlügen
31.05.1995 23:00:00;    75
01.06.1995 20:45:00;    84
31.07.1995 21:00:00;    77
29.08.1995 17:45:00;    80
01.09.1995 00:15:00;    62
01.10.1995 17:30:00;    45
17.11.1995 20:45:00;    51
25.12.1995 18:15:00;    62
01.01.1996 05:00:00;    46
02.02.1996 14:45:00;    40
23.03.1996 08:30:00;    66
23.04.1996 17:15:00;    56
28.05.1996 08:30:00;    80
23.06.1996 07:00:00;    64
08.07.1996 17:30:00;    86
28.08.1996 08:15:00;    72
14.09.1996 10:00:00;    62
21.10.1996 18:15:00;    76
16.11.1996 18:15:00;    52
10.12.1996 18:30:00;    52
23.01.1997 17:45:00;    40
26.02.1997 14:30:00;    54
28.03.1997 14:45:00;    58
29.04.1997 06:45:00;    70
15.05.1997 16:00:00;    71
22.06.1997 16:15:00;    84
06.07.1997 06:00:00;    85
28.08.1997 20:30:00;    80
13.09.1997 22:00:00;    54
12.10.1997 17:15:00;    54
07.11.1997 05:45:00;    47
12.12.1997 05:00:00;    66
07.01.1998 16:15:00;    43
26.02.1998 14:15:00;    43
29.03.1998 17:00:00;    68
27.04.1998 18:45:00;    73
11.05.1998 16:15:00;    70
12.06.1998 02:00:00;    69
07.07.1998 21:15:00;    64
23.08.1998 02:45:00;    61
12.09.1998 05:15:00;    81
25.10.1998 08:30:00;    75
10.11.1998 17:30:00;    73
13.12.1998 12:45:00;    65
08.01.1999 23:15:00;    50
22.02.1999 05:30:00;    75
12.03.1999 17:00:00;    75
29.04.1999 17:45:00;    93
22.05.1999 04:30:00;   308
08.06.1999 11:15:00;    97
12.07.1999 12:45:00;    76
10.08.1999 06:45:00;    78
26.09.1999 14:30:00;    90
01.10.1999 00:00:00;    48
03.11.1999 18:15:00;    36
12.12.1999 17:45:00;    22
30.01.2000 15:00:00;    28
29.02.2000 13:15:00;    62
09.03.2000 00:00:00;    82
29.04.2000 19:07:15;    85
10.05.2000 17:00:00;   103
05.06.2000 19:00:00;    65
29.07.2000 07:30:00;    92
06.08.2000 14:00:00;   216
21.09.2000 07:30:00;   171
02.10.2000 19:00:00;   107
28.11.2000 17:30:00;    79
08.12.2000 17:00:00;    67
25.01.2001 00:15:00;    64
08.02.2001 15:30:00;    66
09.03.2001 07:30:00;    87
25.04.2001 18:30:00;   101
03.05.2001 00:45:00;   102
10.06.2001 13:00:00;   139
20.07.2001 12:45:00;   144
04.08.2001 09:00:00;   106
09.09.2001 04:30:00;    98
31.10.2001 23:59:55;    62
30.11.2001 23:45:00;    75
02.12.2001 02:15:00;    89
27.01.2002 22:00:00;    63
27.02.2002 17:45:00;    67
20.03.2002 05:30:00;    84
24.04.2002 19:45:00;    82
04.05.2002 01:15:00;   100
10.06.2002 08:00:00;    85
18.07.2002 01:00:00;    82
11.08.2002 18:45:00;   171
22.09.2002 07:35:25;    77
17.10.2002 14:24:10;    84
16.11.2002 15:35:55;   102
01.12.2002 00:00:00;    64
03.01.2003 00:45:00;    56
01.02.2003 00:00:00;    47
31.03.2003 11:00:00;    65
30.04.2003 20:29:35;    69
01.05.2003 03:58:55;    69
01.06.2003 17:16:20;    52
27.07.2003 23:53:35;    52
29.08.2003 17:52:10;    62
01.09.2003 00:00:00;    39
09.10.2003 11:00:00;    95
01.11.2003 09:45:00;    70
01.12.2003 23:45:00;    32
13.01.2004 17:30:00;    76
07.02.2004 15:45:00;    42
21.03.2004 21:15:00;    48
29.04.2004 20:30:00;    60
22.05.2004 02:45:00;    61
03.06.2004 23:00:00;    93
09.07.2004 03:00:00;   101
26.08.2004 09:45:00;    54
24.09.2004 03:30:00;    47
19.10.2004 23:15:00;    49
01.11.2004 12:45:00;    25
19.12.2004 17:30:00;    19
21.01.2005 12:45:00;    24
13.02.2005 02:00:00;    51
19.03.2005 23:15:00;    54
30.04.2005 22:30:00;    48
04.05.2005 02:15:00;    59
07.06.2005 09:15:00;    49
11.07.2005 22:00:00;    62
23.08.2005 00:00:00;   145
01.09.2005 18:30:00;    34
02.10.2005 16:30:00;    50
05.11.2005 14:00:00;    22
31.12.2005 22:45:00;    22
01.01.2006 00:00:00;    22
16.02.2006 17:22:25;    37
27.03.2006 19:09:30;    66
28.04.2006 12:41:10;    85
29.05.2006 15:57:50;    81
05.06.2006 03:00:00;    62
28.07.2006 18:30:00;    92
29.08.2006 02:00:00;    74
17.09.2006 05:45:00;   105
03.10.2006 23:00:00;    64
01.11.2006 15:15:00;    31
06.12.2006 17:45:00;    29
09.01.2007 11:03:10;    41
12.02.2007 20:55:30;    27
03.03.2007 16:00:00;    49
04.04.2007 03:10:00;    30
17.05.2007 22:40:00;    63
25.06.2007 23:55:00;    71
09.07.2007 14:20:00;    75
08.08.2007 21:20:00;    75
03.09.2007 23:45:00;    58
01.10.2007 06:45:00;    32
21.11.2007 15:00:00;    48
07.12.2007 20:35:00;    50
07.01.2008 15:20:00;    36
24.02.2008 19:55:00;    32
12.03.2008 19:40:00;    54
29.04.2008 07:40:00;    64
18.05.2008 08:50:00;    61
06.06.2008 21:35:00;    57
13.07.2008 09:50:00;    94
15.08.2008 23:05:00;    97
14.09.2008 12:20:00;    61
17.10.2008 02:15:00;    43
01.11.2008 17:55:00;    47
21.12.2008 12:10:00;    55
03.01.2009 13:45:00;    28
28.02.2009 23:59:55;    25
28.03.2009 18:45:00;    45
11.04.2009 21:45:00;    57
04.05.2009 07:35:00;    56
23.06.2009 16:55:00;    66
18.07.2009 00:30:00;    97
03.08.2009 22:00:00;    68
02.09.2009 16:15:00;    68
22.10.2009 06:35:00;    36
04.11.2009 09:40:00;    35
25.12.2009 09:40:00;    47
01.01.2010 21:12:00;    23
26.02.2010 16:43:35;    26
26.03.2010 18:54:25;    46
30.04.2010 23:50:25;    32
31.05.2010 05:01:15;    80
03.06.2010 07:11:20;    91
27.07.2010 07:12:55;    66
05.08.2010 23:18:10;    95
25.09.2010 15:09:40;    56
30.10.2010 19:00:00;    31
12.11.2010 16:00:00;    33
23.12.2010 17:35:00;    40
13.01.2011 06:40:00;    53
27.02.2011 21:30:00;    22
18.03.2011 03:50:00;    45
04.04.2011 13:05:00;    43
15.05.2011 04:40:00;    52
18.06.2011 14:10:00;    94
13.07.2011 22:25:00;    70
07.08.2011 13:00:00;    47
05.09.2011 13:20:00;    50
10.10.2011 10:20:00;    93
01.11.2011 08:10:00;    20
23.12.2011 02:10:00;    58
01.01.2012 16:30:00;    60
26.02.2012 08:20:00;    35
02.03.2012 22:10:00;    49
28.04.2012 19:00:00;    69
11.05.2012 19:20:00;    57
04.06.2012 02:00:00;    95
19.07.2012 16:10:00;    29
26.08.2012 00:10:00;    76
27.09.2012 05:20:00;    68
09.10.2012 23:40:00;    83
11.11.2012 12:10:00;    55
23.12.2012 05:30:00;    60
31.01.2013 01:10:00;    48
02.02.2013 06:50:00;    49
09.03.2013 01:35:00;    38
17.04.2013 17:30:00;    62
31.05.2013 23:59:55;    89
02.06.2013 03:10:00;   123
04.07.2013 16:50:00;    43
27.08.2013 22:50:00;    58
19.09.2013 10:30:00;    62
16.10.2013 03:55:00;    53
06.11.2013 16:25:00;    52
26.12.2013 12:00:00;    24
19.01.2014 21:40:00;    23
19.02.2014 18:40:00;    27
29.03.2014 22:00:00;    37
30.04.2014 14:50:00;    51
03.05.2014 03:30:00;    64
29.06.2014 19:25:00;    67
31.07.2014 05:40:00;    98
01.08.2014 01:35:00;    57
01.09.2014 08:20:00;    80
21.10.2014 22:45:00;    55
16.11.2014 03:20:00;    48
18.12.2014 22:15:00;    53
04.01.2015 03:25:00;    65
14.02.2015 19:45:00;    28
30.03.2015 09:00:00;    58
18.04.2015 00:20:00;    68
19.05.2015 20:50:00;    81
08.06.2015 01:00:00;    67
08.07.2015 05:45:00;    29
11.08.2015 01:10:00;    74
23.09.2015 08:40:00;    53
04.10.2015 10:35:00;    44
21.11.2015 00:45:00;    61
17.12.2015 06:10:00;    28
31.01.2016 23:59:55;    59
01.02.2016 00:35:00;    60
31.03.2016 23:59:55;    42
17.04.2016 23:25:00;    61
14.05.2016 10:20:00;    94
17.06.2016 04:10:00;    99
12.07.2016 19:50:00;    65
05.08.2016 08:40:00;    83
05.09.2016 10:55:00;    53
26.10.2016 14:20:00;    24
16.11.2016 23:55:00;    35
01.12.2016 17:30:00;    19
31.01.2017 23:55:00;    48
01.02.2017 01:55:00;    49
09.03.2017 22:15:00;    67
30.04.2017 20:50:00;    43
13.05.2017 22:05:00;    49
06.06.2017 16:20:00;    55
26.07.2017 12:45:00;    60
31.08.2017 23:59:55;    68
01.09.2017 07:35:00;    89
03.10.2017 12:05:00;    65
12.11.2017 07:35:00;    60
11.12.2017 23:00:00;    50
22.01.2018 23:05:00;    62
16.02.2018 09:35:00;    46
29.03.2018 06:00:00;    37
23.04.2018 22:50:00;    55
14.05.2018 23:05:00;    57
05.06.2018 19:40:00;    66
05.07.2018 18:20:00;    27
01.08.2018 20:25:00;    52
01.09.2018 09:05:00;    68
29.10.2018 20:55:00;    67
01.11.2018 00:05:00;    22
24.12.2018 10:05:00;    69
14.01.2019 06:15:00;    38
28.02.2019 21:10:00;    36
15.03.2019 15:30:00;    52
24.04.2019 20:00:00;    56
21.05.2019 01:20:00;    87
12.06.2019 12:45:00;    72
28.07.2019 22:45:00;    33
12.08.2019 13:20:00;    91
07.09.2019 09:30:00;    51
07.10.2019 02:45:00;    55
05.11.2019 20:50:00;    33
24.12.2019 20:20:00;    33
31.01.2020 19:15:00;    31
03.02.2020 04:50:00;    48
10.03.2020 21:20:00;    50
14.04.2020 00:50:00;    29
06.05.2020 02:50:00;    58
10.06.2020 13:30:00;    87
17.07.2020 10:10:00;    45
30.08.2020 14:10:00;   102
01.09.2020 01:20:00;    55
03.10.2020 13:30:00;    52
01.11.2020 00:15:00;    31
22.12.2020 03:55:00;    34
29.01.2021 12:25:00;    61
03.02.2021 20:00:00;    51
31.03.2021 21:35:00;    39
03.04.2021 00:10:00;    42
10.05.2021 17:55:00;    64
09.06.2021 18:40:00;    72
18.07.2021 04:10:00;    96
16.08.2021 17:30:00;    78
17.09.2021 01:45:00;    50
06.10.2021 06:35:00;    27
14.11.2021 13:00:00;    31
30.12.2021 01:10:00;    67
