Messstelle:                ;Waltersdorf in Oststeiermark
01.12.1987 11:45:00;   177
07.01.1988 18:30:00;   171
12.02.1988 23:45:00;   168
06.03.1988 01:45:00;   135
08.04.1988 19:30:00;   147
20.05.1988 23:15:00;   215
06.06.1988 10:00:00;   223
14.07.1988 16:45:00;   171
21.08.1988 15:15:00;   171
14.09.1988 00:15:00;   213
06.10.1988 19:30:00;   143
11.11.1988 16:00:00;   144
02.12.1988 23:15:00;   172
12.01.1989 12:30:00;   129
26.02.1989 15:45:00;   157
02.03.1989 01:30:00;   144
02.04.1989 06:30:00;   194
18.05.1989 22:00:00;   174
28.06.1989 20:15:00;   243
12.07.1989 06:30:00;   296
20.08.1989 02:30:00;   269
28.09.1989 02:00:00;   297
01.10.1989 22:30:00;   151
07.11.1989 04:30:00;   149
05.12.1989 03:45:00;   140
26.01.1990 14:45:00;   162
14.02.1990 23:15:00;   132
28.03.1990 06:30:00;   134
23.04.1990 20:00:00;   188
16.05.1990 15:30:00;   279
10.06.1990 03:15:00;   232
01.07.1990 23:15:00;   326
21.08.1990 16:15:00;   183
24.09.1990 14:15:00;   202
30.10.1990 00:00:00;   205
01.11.1990 15:30:00;   243
10.12.1990 16:00:00;   189
13.01.1991 14:00:00;   136
25.02.1991 20:15:00;   165
30.03.1991 05:15:00;   144
01.04.1991 07:15:00;   135
04.05.1991 04:45:00;   211
28.06.1991 03:30:00;   228
21.07.1991 20:15:00;   337
01.08.1991 03:00:00;   208
15.09.1991 23:45:00;   300
18.10.1991 22:15:00;   199
05.11.1991 05:00:00;   294
01.12.1991 00:00:00;   157
11.01.1992 01:30:00;   142
14.02.1992 14:30:00;   138
27.03.1992 06:30:00;   178
30.04.1992 11:30:00;   148
24.05.1992 01:45:00;   146
13.06.1992 00:45:00;   300
07.07.1992 14:45:00;   141
04.08.1992 19:45:00;   215
01.09.1992 17:45:00;   145
30.10.1992 17:30:00;   175
17.11.1992 23:15:00;   198
06.12.1992 03:00:00;   319
02.01.1993 01:00:00;   134
24.02.1993 07:45:00;   147
06.03.1993 15:45:00;   131
11.04.1993 22:30:00;   131
15.05.1993 06:30:00;   135
07.06.1993 22:15:00;   170
19.07.1993 06:30:00;   137
06.08.1993 06:00:00;   141
11.09.1993 06:45:00;   138
24.10.1993 06:00:00;   307
06.11.1993 08:30:00;   199
15.12.1993 08:45:00;   174
05.01.1994 10:00:00;   155
16.02.1994 07:00:00;   141
05.03.1994 18:00:00;   132
12.04.1994 13:00:00;   174
25.05.1994 01:00:00;   227
09.06.1994 20:45:00;   220
07.07.1994 03:15:00;   140
29.08.1994 20:45:00;   152
03.09.1994 12:45:00;   154
29.10.1994 09:00:00;   149
11.11.1994 21:00:00;   194
19.12.1994 11:45:00;   133
19.01.1995 07:00:00;   139
27.02.1995 06:45:00;   164
04.03.1995 23:30:00;   292
25.04.1995 16:15:00;   144
30.05.1995 22:15:00;   139
21.06.1995 21:30:00;   344
02.07.1995 20:00:00;   228
08.08.1995 21:15:00;   205
20.09.1995 09:45:00;   209
05.10.1995 16:30:00;   141
18.11.1995 11:00:00;   137
29.12.1995 05:00:00;   138
09.01.1996 11:00:00;   163
01.02.1996 00:00:00;   140
25.03.1996 21:15:00;   222
05.04.1996 00:45:00;   354
20.05.1996 22:45:00;   234
22.06.1996 22:00:00;   206
03.07.1996 03:45:00;   222
29.08.1996 08:45:00;   157
23.09.1996 18:15:00;   303
17.10.1996 05:00:00;   285
18.11.1996 22:00:00;   169
21.12.1996 07:15:00;   142
30.01.1997 14:19:50;   142
13.02.1997 09:04:40;   151
17.03.1997 21:31:15;   140
20.04.1997 06:28:50;   141
23.05.1997 00:00:25;   162
17.06.1997 04:30:15;   223
24.07.1997 01:57:50;   320
01.08.1997 05:25:00;   354
07.09.1997 20:40:10;   208
27.10.1997 17:51:25;   136
13.11.1997 18:36:40;   154
20.12.1997 23:23:35;   210
08.01.1998 11:56:00;   144
17.02.1998 09:00:30;   134
01.03.1998 22:35:20;   144
16.04.1998 20:17:30;   165
18.05.1998 08:18:40;   142
27.06.1998 04:39:15;   368
31.07.1998 23:59:55;   285
01.08.1998 03:15:35;   344
06.09.1998 07:13:55;   423
20.10.1998 03:12:15;   205
11.11.1998 01:54:10;   181
16.12.1998 02:23:50;   145
11.01.1999 10:50:55;   139
02.02.1999 10:04:00;   139
29.03.1999 00:17:35;   143
17.04.1999 16:29:25;   178
21.05.1999 07:00:00;   355
16.06.1999 17:30:00;   198
23.07.1999 02:45:00;   178
20.08.1999 22:30:00;   298
22.09.1999 00:26:45;   177
04.10.1999 16:22:10;   140
10.11.1999 07:30:00;   141
11.12.1999 07:15:00;   174
31.01.2000 23:30:00;   149
03.02.2000 23:45:00;   162
30.03.2000 01:15:00;   260
02.04.2000 01:30:00;   162
02.05.2000 02:30:00;   149
06.06.2000 23:00:00;   243
07.07.2000 21:15:00;   162
06.08.2000 10:00:00;   214
17.09.2000 01:00:00;   177
27.10.2000 10:15:00;   191
04.11.2000 22:15:00;   217
28.12.2000 11:30:00;   221
08.01.2001 23:00:00;   200
01.02.2001 18:30:00;   138
26.03.2001 07:00:00;   143
08.04.2001 14:45:00;   156
09.05.2001 17:15:00;   161
17.06.2001 18:00:00;   149
10.07.2001 16:15:00;   228
21.08.2001 06:15:00;   147
15.09.2001 01:00:00;   186
01.10.2001 06:30:00;   144
05.11.2001 09:30:00;   148
12.12.2001 19:30:00;   146
23.01.2002 19:15:00;   141
21.02.2002 12:00:00;   147
03.03.2002 11:15:00;   145
12.04.2002 15:15:00;   151
14.05.2002 18:00:00;   191
07.06.2002 05:30:00;   171
16.07.2002 13:15:00;   181
12.08.2002 06:15:00;   249
10.09.2002 17:45:00;   159
18.10.2002 12:30:00;   211
23.11.2002 01:00:00;   170
06.12.2002 23:45:00;   194
22.01.2003 21:00:00;   149
03.02.2003 04:00:00;   143
01.03.2003 11:30:00;   136
02.04.2003 21:00:00;   136
26.05.2003 22:30:00;   158
07.06.2003 02:30:00;   191
18.07.2003 03:15:00;   168
31.08.2003 17:45:00;   177
10.09.2003 03:45:00;   169
05.10.2003 10:00:00;   177
02.11.2003 15:30:00;   154
31.12.2003 23:59:55;   173
01.01.2004 00:00:00;   173
03.02.2004 17:00:00;   136
24.03.2004 21:30:00;   207
20.04.2004 17:30:00;   161
08.05.2004 21:45:00;   167
12.06.2004 20:00:00;   384
24.07.2004 19:40:20;   263
06.08.2004 19:15:00;   210
15.09.2004 22:45:00;   163
16.10.2004 19:00:00;   168
11.11.2004 13:15:00;   145
27.12.2004 15:15:00;   195
01.01.2005 00:00:00;   138
12.02.2005 14:30:00;   143
17.03.2005 19:45:00;   200
20.04.2005 20:45:00;   171
18.05.2005 20:45:00;   197
13.06.2005 00:00:00;   177
05.07.2005 19:45:00;   178
28.08.2005 22:15:00;   246
27.09.2005 21:30:00;   174
01.10.2005 20:15:00;   144
27.11.2005 18:15:20;   182
06.12.2005 17:15:25;   152
03.01.2006 04:32:25;   146
21.02.2006 20:00:00;   176
29.03.2006 06:45:00;   156
29.04.2006 21:15:00;   173
29.05.2006 21:45:00;   182
29.06.2006 14:15:00;   214
08.07.2006 20:30:00;   183
04.08.2006 01:15:00;   191
19.09.2006 01:15:00;   155
25.10.2006 00:45:00;   154
22.11.2006 16:00:00;   146
10.12.2006 00:15:00;   134
20.01.2007 00:30:00;   145
26.02.2007 08:45:00;   150
19.03.2007 13:45:00;   169
01.04.2007 00:00:00;   137
29.05.2007 06:00:00;   165
19.06.2007 20:45:00;   240
10.07.2007 05:15:00;   176
30.08.2007 22:18:00;   173
28.09.2007 10:48:00;   210
28.10.2007 20:33:00;   168
12.11.2007 09:03:00;   144
10.12.2007 06:18:00;   171
18.01.2008 08:03:00;   134
18.02.2008 14:03:00;   134
17.03.2008 01:33:00;   145
22.04.2008 00:48:00;   159
01.05.2008 17:03:00;   159
11.06.2008 18:18:00;   247
21.07.2008 03:18:00;   307
16.08.2008 08:18:00;   227
26.09.2008 05:48:00;   140
04.10.2008 06:18:00;   144
08.11.2008 10:03:00;   151
18.12.2008 16:48:00;   181
28.01.2009 01:30:00;   185
08.02.2009 15:30:00;   251
06.03.2009 18:33:00;   203
01.04.2009 00:00:00;   148
30.05.2009 17:48:00;   158
28.06.2009 23:48:00;   279
18.07.2009 16:48:00;   223
14.08.2009 01:03:00;   355
04.09.2009 23:33:00;   238
11.10.2009 04:18:00;   168
09.11.2009 10:33:00;   167
25.12.2009 23:03:00;   197
09.01.2010 22:14:00;   167
26.02.2010 21:59:00;   206
01.03.2010 01:14:00;   164
14.04.2010 18:59:00;   147
26.05.2010 20:59:00;   181
16.06.2010 14:29:00;   316
18.07.2010 03:44:00;   237
15.08.2010 07:29:00;   354
26.09.2010 07:14:00;   272
18.10.2010 01:59:00;   162
22.11.2010 09:29:00;   220
25.12.2010 07:44:00;   208
01.01.2011 16:44:00;   151
03.02.2011 18:29:00;   144
17.03.2011 06:44:00;   202
04.04.2011 21:14:00;   143
14.05.2011 20:44:00;   221
24.06.2011 00:44:00;   302
28.07.2011 21:14:00;   159
19.08.2011 18:59:00;   223
20.09.2011 00:29:00;   190
07.10.2011 14:29:00;   168
01.11.2011 13:14:00;   135
17.12.2011 07:44:00;   139
27.01.2012 05:14:00;   133
25.02.2012 01:44:00;   139
01.03.2012 10:59:00;   133
12.04.2012 11:53:00;   160
04.05.2012 13:08:00;   206
22.06.2012 02:08:00;   305
21.07.2012 20:38:00;   272
03.08.2012 20:08:00;   231
13.09.2012 01:38:00;   281
28.10.2012 03:08:00;   214
05.11.2012 15:38:00;   432
02.12.2012 20:38:00;   144
31.01.2013 21:53:00;   164
26.02.2013 13:08:00;   327
31.03.2013 07:23:00;   261
01.04.2013 00:00:00;   195
06.05.2013 10:53:00;   337
08.06.2013 14:38:00;   186
11.07.2013 18:23:00;   143
28.08.2013 04:52:00;   239
17.09.2013 07:37:00;   188
11.10.2013 14:00:00;   186
24.11.2013 13:45:00;   285
27.12.2013 09:30:00;   161
06.01.2014 00:30:00;   158
09.02.2014 19:45:00;   281
04.03.2014 06:15:00;   162
23.04.2014 19:30:00;   160
12.05.2014 00:15:00;   471
30.06.2014 11:30:00;   214
30.07.2014 23:30:00;   263
13.08.2014 23:15:00;   305
13.09.2014 08:45:00;   282
22.10.2014 06:30:00;   301
08.11.2014 11:00:00;   253
07.12.2014 06:45:00;   193
11.01.2015 18:22:10;   158
24.02.2015 21:22:10;   163
26.03.2015 12:52:10;   150
28.04.2015 20:07:10;   152
20.05.2015 19:07:10;   250
23.06.2015 17:52:10;   166
08.07.2015 21:52:10;   193
17.08.2015 08:52:10;   161
26.09.2015 05:37:10;   143
15.10.2015 21:37:10;   219
05.11.2015 07:07:10;   138
04.12.2015 07:07:10;   131
12.01.2016 00:07:10;   158
19.02.2016 09:22:10;   192
07.03.2016 18:22:10;   163
08.04.2016 19:37:10;   150
12.05.2016 22:22:10;   182
15.06.2016 15:07:10;   228
03.07.2016 01:07:10;   257
05.08.2016 22:07:10;   244
17.09.2016 23:07:10;   142
26.10.2016 01:22:10;   211
07.11.2016 00:37:10;   236
28.12.2016 21:52:10;   136
02.01.2017 09:36:10;   135
06.02.2017 12:06:10;   195
01.03.2017 08:21:10;   139
28.04.2017 15:51:10;   156
23.05.2017 21:21:10;   149
25.06.2017 20:06:10;   147
24.07.2017 11:51:10;   219
06.08.2017 04:06:10;   291
20.09.2017 00:21:10;   204
04.10.2017 08:36:10;   137
08.11.2017 18:36:10;   140
13.12.2017 06:06:10;   151
10.01.2018 15:21:10;   139
02.02.2018 19:51:10;   143
30.03.2018 05:21:10;   178
27.04.2018 00:06:00;   153
15.05.2018 11:06:00;   265
03.06.2018 17:51:00;   265
11.07.2018 01:36:00;   200
02.08.2018 17:06:00;   206
01.09.2018 10:06:00;   258
28.10.2018 03:51:00;   147
26.11.2018 16:36:00;   178
08.12.2018 12:36:00;   135
02.01.2019 12:06:00;   129
03.02.2019 22:51:00;   153
30.03.2019 09:06:00;   132
11.04.2019 16:06:00;   137
28.05.2019 14:21:00;   170
21.06.2019 05:21:00;   175
31.07.2019 23:36:00;   254
01.08.2019 00:06:00;   250
09.09.2019 03:36:00;   215
02.10.2019 20:06:00;   147
13.11.2019 18:51:00;   234
21.12.2019 21:36:00;   208
01.01.2020 00:00:00;   136
26.02.2020 15:51:00;   134
06.03.2020 16:51:00;   144
29.04.2020 16:06:00;   160
03.05.2020 04:06:00;   143
29.06.2020 16:51:00;   257
02.07.2020 20:36:00;   244
16.08.2020 16:21:00;   396
26.09.2020 02:36:00;   258
12.10.2020 04:06:00;   247
16.11.2020 23:21:00;   179
10.12.2020 09:21:00;   243
06.01.2021 18:06:00;   189
09.02.2021 20:36:00;   197
13.03.2021 01:06:00;   179
12.04.2021 23:51:00;   193
17.05.2021 11:36:00;   207
30.06.2021 22:21:00;   204
17.07.2021 18:51:00;   213
22.08.2021 20:51:00;   247
30.09.2021 08:36:00;   173
07.10.2021 16:21:00;   172
02.11.2021 08:21:00;   199
05.12.2021 19:06:00;   179
