Messstelle:                ;Greimpersdorf
01.11.1989 10:15:00;   210
18.12.1989 10:30:00;   133
22.01.1990 06:30:00;   111
16.02.1990 00:15:00;   257
11.03.1990 08:15:00;   213
28.04.1990 11:00:00;   181
08.05.1990 13:30:00;   125
14.06.1990 04:00:00;   164
10.07.1990 17:30:00;   245
23.08.1990 04:30:00;   117
12.09.1990 16:30:00;   165
09.10.1990 02:15:00;   143
20.11.1990 00:30:00;   206
23.12.1990 09:15:00;   142
03.01.1991 19:30:00;   216
26.02.1991 01:00:00;   112
09.03.1991 04:45:00;   136
26.04.1991 02:30:00;   130
18.05.1991 15:30:00;   350
28.06.1991 05:45:00;   180
28.07.1991 15:45:00;   348
03.08.1991 02:45:00;   450
09.09.1991 06:00:00;   116
25.10.1991 15:30:00;    99
17.11.1991 03:00:00;   141
23.12.1991 12:00:00;   354
07.01.1992 00:30:00;   151
06.02.1992 12:30:00;   236
21.03.1992 17:15:00;   264
30.04.1992 17:30:00;   173
12.05.1992 01:45:00;   178
04.06.1992 07:30:00;   214
13.07.1992 12:15:00;   119
02.08.1992 15:00:00;   103
05.09.1992 15:30:00;   137
01.10.1992 15:45:00;   143
23.11.1992 12:45:00;   360
01.12.1992 00:00:00;   170
09.01.1993 04:30:00;   235
20.02.1993 01:15:00;   116
17.03.1993 20:15:00;   300
20.04.1993 04:30:00;   236
01.05.1993 12:15:00;   124
28.06.1993 08:15:00;   202
20.07.1993 23:30:00;   237
31.08.1993 18:45:00;   174
01.09.1993 16:15:00;   244
24.10.1993 10:45:00;   192
15.11.1993 13:30:00;   108
20.12.1993 18:00:00;   258
26.01.1994 08:15:00;   210
06.02.1994 13:45:00;   122
25.03.1994 10:15:00;   225
18.04.1994 12:30:00;   301
19.05.1994 21:45:00;   200
06.06.1994 05:15:00;   224
01.07.1994 08:00:00;   119
26.08.1994 14:00:00;   112
02.09.1994 06:15:00;   144
25.10.1994 20:15:00;    95
20.11.1994 19:45:00;   202
29.12.1994 06:15:00;   281
26.01.1995 07:00:00;   241
18.02.1995 21:00:00;   152
26.03.1995 16:45:00;   201
02.04.1995 13:30:00;   259
14.05.1995 14:15:00;   158
27.06.1995 08:45:00;   288
01.07.1995 00:00:00;   124
30.08.1995 17:15:00;   200
02.09.1995 14:00:00;   283
02.10.1995 20:45:00;   154
18.11.1995 06:30:00;   196
21.12.1995 02:15:00;   174
12.01.1996 13:15:00;   115
17.02.1996 21:30:00;   111
25.03.1996 00:15:00;   170
07.04.1996 21:00:00;   175
14.05.1996 18:45:00;   316
30.06.1996 12:00:00;   187
09.07.1996 13:15:00;   202
04.08.1996 03:30:00;   189
14.09.1996 22:30:00;   302
21.10.1996 11:45:00;   409
15.11.1996 03:00:00;   167
03.12.1996 12:45:00;   119
07.01.1997 11:55:50;    98
12.02.1997 17:50:40;   174
17.03.1997 19:13:30;   321
06.04.1997 15:17:15;   200
22.05.1997 13:17:20;   185
23.06.1997 18:34:25;   155
08.07.1997 07:33:15;   362
01.08.1997 14:49:00;   155
08.09.1997 13:31:05;   121
03.10.1997 03:40:00;   193
14.11.1997 18:33:30;   144
13.12.1997 13:14:45;   233
10.01.1998 20:41:50;   111
13.02.1998 19:47:00;   137
17.03.1998 20:12:45;   325
02.04.1998 15:27:50;   162
19.05.1998 17:32:30;   169
13.06.1998 09:42:15;   258
09.07.1998 13:09:05;   277
01.08.1998 08:21:35;   132
28.09.1998 17:06:50;   252
29.10.1998 10:33:35;   193
11.11.1998 02:16:35;   256
15.12.1998 01:00:40;   266
08.01.1999 17:04:20;   179
21.02.1999 04:37:25;   258
02.03.1999 22:10:45;   243
08.04.1999 05:20:00;   179
09.05.1999 05:56:50;   206
22.06.1999 14:19:40;   196
10.07.1999 14:57:40;   247
28.08.1999 23:17:15;   173
03.09.1999 01:06:10;   298
10.10.1999 21:54:50;   123
09.11.1999 21:54:05;   135
19.12.1999 10:27:35;   158
31.01.2000 08:00:00;   289
01.02.2000 00:00:00;   241
10.03.2000 13:15:00;   274
02.04.2000 05:45:00;   168
01.05.2000 04:30:00;   142
26.06.2000 07:45:00;   137
12.07.2000 00:00:00;   158
06.08.2000 20:15:00;   249
22.09.2000 07:00:00;   144
07.10.2000 21:45:00;   123
05.11.2000 10:00:00;   134
12.12.2000 00:00:00;   145
09.01.2001 15:00:00;   126
05.02.2001 01:00:00;   163
24.03.2001 11:00:00;   260
12.04.2001 20:15:00;   198
01.05.2001 10:45:00;   127
19.06.2001 13:45:00;   182
21.07.2001 08:00:00;   238
11.08.2001 13:45:00;   124
18.09.2001 08:30:00;   278
01.10.2001 13:00:00;   105
26.11.2001 20:15:00;   186
07.12.2001 01:30:00;   300
28.01.2002 13:45:00;   263
26.02.2002 11:00:00;   163
22.03.2002 02:45:00;   359
27.04.2002 16:45:00;   159
02.05.2002 17:45:00;   132
08.06.2002 08:30:00;   177
13.07.2002 12:30:00;   107
12.08.2002 17:30:00;   411
28.09.2002 00:15:00;   239
13.10.2002 10:45:00;   215
12.11.2002 02:30:00;   280
23.12.2002 15:45:00;   291
28.01.2003 19:00:00;   260
01.02.2003 00:00:00;   126
13.03.2003 02:20:00;   198
01.04.2003 00:20:00;   140
21.05.2003 18:05:00;   140
09.06.2003 11:00:00;   126
18.07.2003 13:15:00;   115
01.08.2003 09:05:00;   232
14.09.2003 04:50:00;   217
10.10.2003 09:30:00;   216
02.11.2003 23:00:00;   131
15.12.2003 15:15:00;   128
14.01.2004 07:10:00;   246
03.02.2004 10:05:00;   294
22.03.2004 00:30:00;   194
03.04.2004 01:05:00;   173
16.05.2004 14:15:00;   214
20.06.2004 22:45:00;   244
15.07.2004 19:55:00;   162
27.08.2004 12:45:00;   162
24.09.2004 05:05:00;   234
10.10.2004 14:35:00;   137
24.11.2004 01:50:00;   221
24.12.2004 17:20:00;   113
21.01.2005 13:50:00;   246
13.02.2005 06:10:00;   273
19.03.2005 22:15:00;   357
20.04.2005 10:46:00;   226
19.05.2005 06:38:05;   256
01.06.2005 00:00:00;   131
11.07.2005 18:44:15;   300
16.08.2005 13:54:40;   275
18.09.2005 08:24:50;   167
01.10.2005 00:00:00;   135
25.11.2005 12:16:10;   102
16.12.2005 23:45:00;   161
03.01.2006 13:30:40;   107
21.02.2006 22:53:05;   161
29.03.2006 10:59:55;   265
01.04.2006 01:30:05;   232
27.05.2006 14:35:00;   221
03.06.2006 17:45:00;   382
01.07.2006 18:55:00;   190
07.08.2006 22:15:00;   428
08.09.2006 11:10:00;   167
30.10.2006 17:35:00;   158
12.11.2006 14:45:00;   226
11.12.2006 00:50:00;   101
20.01.2007 01:10:00;   341
28.02.2007 21:35:00;   175
04.03.2007 07:00:00;   187
01.04.2007 10:35:00;   130
10.05.2007 03:20:00;   259
02.06.2007 19:10:00;   129
10.07.2007 19:00:00;   139
10.08.2007 10:55:00;   120
07.09.2007 14:15:00;   410
28.10.2007 12:40:00;   217
12.11.2007 01:55:00;   242
12.12.2007 23:35:00;   173
28.01.2008 02:00:00;   206
07.02.2008 11:05:00;   124
15.03.2008 06:40:00;   252
23.04.2008 19:15:00;   167
01.05.2008 11:15:00;   127
04.06.2008 17:10:00;   236
24.07.2008 09:40:00;   329
16.08.2008 10:50:00;   277
16.09.2008 21:55:00;   198
04.10.2008 06:45:00;   170
21.11.2008 19:35:00;   240
21.12.2008 08:15:00;   234
24.01.2009 12:05:00;   104
28.02.2009 20:10:00;   206
13.03.2009 12:30:00;   197
03.04.2009 00:10:00;   228
30.05.2009 22:00:00;   282
24.06.2009 08:40:00;   440
01.07.2009 02:30:00;   191
04.08.2009 22:45:00;   287
12.09.2009 04:45:00;   283
18.10.2009 08:30:00;   147
03.11.2009 21:30:00;   137
12.12.2009 01:00:00;   168
02.01.2010 17:00:00;   107
26.02.2010 20:00:00;   179
22.03.2010 08:50:00;   175
14.04.2010 19:55:00;   171
21.05.2010 21:55:00;   212
02.06.2010 22:05:00;   364
30.07.2010 16:20:00;   227
08.08.2010 03:50:00;   250
01.09.2010 03:45:00;   251
25.10.2010 23:00:00;   123
12.11.2010 23:10:00;   109
24.12.2010 15:15:00;   179
14.01.2011 01:10:00;   327
12.02.2011 15:50:00;   209
18.03.2011 21:30:00;   219
02.04.2011 03:20:00;   139
28.05.2011 16:00:00;   175
09.06.2011 14:10:00;   145
25.07.2011 04:55:00;   186
04.08.2011 17:30:00;   148
20.09.2011 07:20:00;   193
13.10.2011 11:50:00;   263
11.11.2011 14:00:00;    82
24.12.2011 01:10:00;   137
20.01.2012 08:50:00;   285
29.02.2012 15:10:00;   274
01.03.2012 00:15:00;   249
16.04.2012 23:00:00;   174
01.05.2012 04:45:00;   140
13.06.2012 14:50:00;   236
21.07.2012 14:50:00;   191
03.08.2012 17:50:00;   121
13.09.2012 10:10:00;   212
13.10.2012 18:30:00;   123
05.11.2012 19:15:00;   182
23.12.2012 22:30:00;   296
05.01.2013 10:00:00;   359
02.02.2013 17:25:00;   189
08.03.2013 01:40:00;   181
19.04.2013 05:20:00;   220
31.05.2013 14:25:00;   314
02.06.2013 17:35:00;   396
03.07.2013 21:50:00;   130
28.08.2013 21:35:00;   179
19.09.2013 06:50:00;   223
12.10.2013 01:05:00;   112
24.11.2013 19:30:00;   207
10.12.2013 10:50:00;   196
22.01.2014 05:05:00;   112
02.02.2014 07:00:00;   118
17.03.2014 16:25:00;   124
20.04.2014 14:05:00;   141
16.05.2014 16:05:00;   436
01.06.2014 14:10:00;   168
31.07.2014 23:59:55;   225
01.08.2014 00:40:00;   230
13.09.2014 15:50:00;   269
23.10.2014 22:30:00;   372
01.11.2014 00:45:00;   108
19.12.2014 17:10:00;   146
10.01.2015 13:35:00;   313
24.02.2015 23:55:00;   142
02.03.2015 18:30:00;   185
01.04.2015 04:45:00;   198
24.05.2015 00:25:00;   288
28.06.2015 22:10:00;   121
15.07.2015 00:40:00;   101
17.08.2015 21:45:00;   103
06.09.2015 09:30:00;   105
20.10.2015 13:30:00;   147
30.11.2015 20:45:00;   180
02.12.2015 06:20:00;   265
26.01.2016 04:30:00;   165
01.02.2016 15:10:00;   325
26.03.2016 17:20:00;   117
14.04.2016 14:15:00;   132
04.05.2016 14:45:00;   272
20.06.2016 18:00:00;   236
14.07.2016 09:20:00;   254
10.08.2016 17:55:00;   246
20.09.2016 08:10:00;   274
04.10.2016 21:05:00;   262
16.11.2016 21:50:00;   189
27.12.2016 09:40:00;   178
10.01.2017 17:00:00;   109
22.02.2017 08:25:00;   287
19.03.2017 13:50:00;   314
26.04.2017 01:25:00;   197
09.05.2017 12:15:00;   275
14.06.2017 18:45:00;   112
27.07.2017 10:50:00;   216
20.08.2017 16:55:00;   156
20.09.2017 09:40:00;   282
29.10.2017 19:20:00;   230
22.11.2017 03:05:00;   200
31.12.2017 13:30:00;   239
05.01.2018 12:05:00;   273
01.02.2018 03:10:00;   139
13.03.2018 08:05:00;   145
01.04.2018 12:50:00;   155
16.05.2018 03:10:00;   109
28.06.2018 17:05:00;   327
01.07.2018 01:50:00;   148
26.08.2018 22:20:00;   114
04.09.2018 07:45:00;   148
25.10.2018 11:55:00;   212
05.11.2018 14:00:00;    91
24.12.2018 12:05:00;   346
14.01.2019 11:30:00;   202
22.02.2019 17:55:00;   234
16.03.2019 12:35:00;   200
30.04.2019 23:59:55;   144
29.05.2019 19:20:00;   268
01.06.2019 00:00:00;   141
29.07.2019 22:35:00;   138
04.08.2019 19:20:00;   126
03.09.2019 16:05:00;   105
06.10.2019 05:40:00;   117
16.11.2019 17:50:00;   115
26.12.2019 13:25:00;   174
05.01.2020 05:15:00;   122
03.02.2020 13:30:00;   314
12.03.2020 01:15:00;   148
14.04.2020 18:40:00;   104
26.05.2020 03:55:00;   204
21.06.2020 17:15:00;   335
18.07.2020 23:15:00;   242
04.08.2020 07:45:00;   288
07.09.2020 09:35:00;   251
30.10.2020 20:55:00;   224
01.11.2020 00:00:00;   147
23.12.2020 11:00:00;   167
29.01.2021 16:25:00;   271
04.02.2021 12:50:00;   175
27.03.2021 08:20:00;   142
20.04.2021 23:30:00;   169
13.05.2021 21:55:00;   215
11.06.2021 02:10:00;   130
18.07.2021 14:16:20;   389
17.08.2021 06:10:00;   233
01.09.2021 01:00:00;   206
07.10.2021 23:15:00;   147
02.11.2021 12:40:00;   118
30.12.2021 15:15:00;   251
01.01.2022 00:00:00;   190
