Messstelle:                ;Scharnitz (Gießenbach)
01.09.1992 04:30:00;    35
05.10.1992 16:00:00;    29
22.11.1992 22:45:00;    46
01.12.1992 00:00:00;    35
25.01.1993 11:00:00;    29
01.02.1993 00:15:00;    27
22.03.1993 21:45:00;    38
21.04.1993 19:15:00;    38
15.05.1993 23:30:00;    36
20.06.1993 01:00:00;    39
20.07.1993 14:30:00;    45
13.08.1993 01:15:00;    39
10.09.1993 19:30:00;    39
02.10.1993 21:30:00;    33
06.11.1993 08:00:00;    30
21.12.1993 18:30:00;    33
26.01.1994 03:45:00;    29
01.02.1994 00:15:00;    28
13.03.1994 02:15:00;    38
17.04.1994 20:30:00;    39
26.05.1994 19:00:00;    42
09.06.1994 11:30:00;    42
06.07.1994 18:00:00;    38
25.08.1994 08:00:00;    34
15.09.1994 02:30:00;    33
02.10.1994 22:30:00;    29
07.11.1994 13:15:00;    32
10.12.1994 08:00:00;    31
26.01.1995 03:45:00;    28
24.02.1995 12:00:00;    31
28.03.1995 01:30:00;    32
25.04.1995 20:45:00;    53
30.05.1995 01:15:00;    46
07.06.1995 03:00:00;    52
27.07.1995 14:45:00;    51
30.08.1995 10:15:00;    50
01.09.1995 00:00:00;    38
01.10.1995 00:15:00;    30
17.11.1995 06:30:00;    28
25.12.1995 21:30:00;    29
01.01.1996 00:15:00;    26
01.02.1996 00:15:00;    24
27.03.1996 00:30:00;    32
30.04.1996 22:30:00;    29
28.05.1996 09:15:00;    37
10.06.1996 20:45:00;    38
11.07.1996 06:45:00;    39
28.08.1996 09:00:00;    43
14.09.1996 08:30:00;    38
21.10.1996 17:30:00;    43
14.11.1996 00:00:00;    34
24.12.1996 02:30:00;    31
01.01.1997 00:00:00;    28
27.02.1997 00:45:00;    30
17.03.1997 23:15:00;    32
06.04.1997 10:00:00;    45
20.05.1997 21:30:00;    45
22.06.1997 18:15:00;    40
06.07.1997 12:45:00;    50
28.08.1997 23:00:00;    35
06.09.1997 19:15:00;    33
12.10.1997 11:15:00;    41
08.11.1997 19:30:00;    32
12.12.1997 06:30:00;    27
04.01.1998 04:30:00;    27
28.02.1998 23:59:55;    27
31.03.1998 23:59:55;    36
02.04.1998 17:45:00;    38
18.05.1998 11:45:00;    33
27.06.1998 23:15:00;    41
08.07.1998 21:00:00;    37
18.08.1998 22:45:00;    37
05.09.1998 13:30:00;    41
07.10.1998 18:45:00;    36
10.11.1998 17:15:00;    37
15.12.1998 03:30:00;    30
09.01.1999 01:15:00;    29
22.02.1999 05:00:00;    37
31.03.1999 23:59:55;    38
30.04.1999 16:45:00;    47
22.05.1999 08:15:00;    93
08.06.1999 12:45:00;    46
13.07.1999 20:30:00;    46
28.08.1999 16:15:00;    38
02.09.1999 00:45:00;    36
05.10.1999 01:45:00;    32
12.11.1999 00:00:00;    24
19.12.1999 13:15:00;    25
30.01.2000 23:15:00;    30
09.02.2000 07:45:00;    32
15.03.2000 03:45:00;    40
24.04.2000 18:15:00;    49
19.05.2000 04:30:00;    49
23.06.2000 10:15:00;    49
25.07.2000 00:30:00;    49
07.08.2000 05:30:00;    54
21.09.2000 14:15:00;    59
09.10.2000 07:30:00;    35
01.11.2000 00:00:00;    31
01.12.2000 00:00:00;    27
01.01.2001 00:00:00;    26
23.02.2001 23:54:45;    26
25.03.2001 12:05:15;    45
26.04.2001 00:44:15;    41
18.05.2001 03:30:25;    41
11.06.2001 02:49:50;    52
20.07.2001 10:27:55;    43
17.08.2001 21:02:00;    49
06.09.2001 05:36:50;    45
01.10.2001 03:46:00;    34
30.11.2001 23:59:55;    30
06.12.2001 20:22:05;    33
28.01.2002 00:23:55;    32
13.02.2002 18:53:20;    32
20.03.2002 11:08:45;    51
24.04.2002 13:46:10;    45
05.05.2002 07:08:10;    41
20.06.2002 19:26:00;    52
04.07.2002 00:40:20;    42
12.08.2002 07:32:05;    56
01.09.2002 13:29:25;    35
17.10.2002 22:09:45;    38
16.11.2002 21:11:25;    45
23.12.2002 02:27:05;    36
01.01.2003 00:00:00;    34
01.02.2003 00:00:00;    29
31.03.2003 05:23:20;    35
02.04.2003 10:07:35;    35
13.05.2003 15:51:05;    38
12.06.2003 17:54:50;    46
22.07.2003 20:15:00;    42
18.08.2003 18:30:20;    41
23.09.2003 18:43:10;    31
09.10.2003 18:52:50;    57
01.11.2003 18:40:15;    35
01.12.2003 00:00:00;    30
14.01.2004 02:51:50;    41
12.02.2004 18:05:10;    28
21.03.2004 23:35:10;    41
24.04.2004 00:10:00;    43
21.05.2004 21:00:40;    42
03.06.2004 23:43:10;    49
20.07.2004 20:23:25;    50
28.08.2004 23:08:25;    40
24.09.2004 03:02:35;    41
04.10.2004 11:30:00;    37
01.11.2004 00:00:00;    29
01.12.2004 00:00:00;    27
21.01.2005 11:37:30;    26
13.02.2005 02:22:30;    26
25.03.2005 20:18:35;    45
01.04.2005 01:44:05;    36
31.05.2005 02:15:00;    37
22.06.2005 22:00:00;    45
11.07.2005 22:30:00;    63
23.08.2005 12:15:00;    89
01.09.2005 00:00:00;    34
02.10.2005 08:00:00;    28
01.11.2005 00:00:00;    21
01.12.2005 00:00:00;    20
01.01.2006 00:00:00;    19
01.02.2006 00:00:00;    19
31.03.2006 19:15:00;    30
02.04.2006 23:00:00;    35
20.05.2006 12:45:00;    34
27.06.2006 05:00:00;    40
27.07.2006 22:45:00;    37
07.08.2006 10:15:00;    43
08.09.2006 08:30:00;    27
30.10.2006 16:15:00;    25
01.11.2006 14:30:00;    25
09.12.2006 10:00:00;    23
19.01.2007 20:30:00;    24
28.02.2007 01:15:00;    24
03.03.2007 19:15:00;    28
23.04.2007 23:30:00;    27
29.05.2007 21:00:00;    42
26.06.2007 07:15:00;    28
10.07.2007 01:15:00;    36
30.08.2007 12:45:00;    28
07.09.2007 01:15:00;    38
03.10.2007 01:15:00;    27
11.11.2007 23:15:00;    24
03.12.2007 07:15:00;    24
22.01.2008 15:00:00;    23
07.02.2008 05:00:00;    23
12.03.2008 21:00:00;    36
23.04.2008 02:45:00;    43
19.05.2008 13:15:00;    37
01.06.2008 04:45:00;    34
14.07.2008 18:15:00;    39
22.08.2008 22:30:00;    32
14.09.2008 15:15:00;    29
03.10.2008 13:45:00;    26
21.11.2008 18:45:00;    29
21.12.2008 18:00:00;    29
01.01.2009 06:21:35;    21
28.02.2009 19:30:00;    21
31.03.2009 22:00:00;    23
17.04.2009 04:45:00;    41
13.05.2009 20:45:00;    44
30.06.2009 22:15:00;    40
18.07.2009 19:30:00;    40
10.08.2009 12:00:00;    38
04.09.2009 23:00:00;    35
12.10.2009 09:30:00;    33
02.11.2009 20:45:00;    31
08.12.2009 12:15:00;    29
07.01.2010 19:00:00;    25
26.02.2010 16:30:00;    24
26.03.2010 21:30:00;    32
30.04.2010 22:15:00;    29
31.05.2010 07:30:00;    38
03.06.2010 11:15:00;    53
24.07.2010 15:45:00;    36
31.08.2010 13:15:00;    51
01.09.2010 00:00:00;    44
01.10.2010 01:30:00;    28
16.11.2010 08:45:00;    25
01.12.2010 17:15:00;    24
13.01.2011 22:45:00;    27
02.02.2011 07:00:00;    23
18.03.2011 17:00:00;    29
16.04.2011 21:00:00;    27
27.05.2011 18:30:00;    30
19.06.2011 02:50:00;    31
10.07.2011 21:00:00;    31
08.08.2011 18:00:00;    31
18.09.2011 20:30:00;    30
10.10.2011 16:00:00;    63
01.11.2011 00:00:00;    25
01.12.2011 00:00:00;    24
01.01.2012 00:00:00;    23
01.02.2012 00:00:00;    22
31.03.2012 22:00:00;    36
06.04.2012 19:00:00;    39
23.05.2012 23:45:00;    42
12.06.2012 20:30:00;    46
01.07.2012 22:15:00;    38
26.08.2012 01:30:00;    50
01.09.2012 01:00:00;    45
16.10.2012 05:00:00;    30
05.11.2012 22:15:00;    28
28.12.2012 03:30:00;    26
05.01.2013 15:30:00;    40
02.02.2013 08:00:00;    29
13.03.2013 01:45:00;    30
20.04.2013 01:45:00;    38
31.05.2013 23:15:00;    46
02.06.2013 18:45:00;    68
02.07.2013 21:45:00;    35
09.08.2013 13:30:00;    28
19.09.2013 06:15:00;    38
16.10.2013 19:00:00;    31
06.11.2013 18:45:00;    30
01.12.2013 07:45:00;    24
30.01.2014 16:00:00;    23
07.02.2014 21:15:00;    23
18.03.2014 10:00:00;    23
30.04.2014 17:45:00;    25
16.05.2014 11:00:00;    29
01.06.2014 00:15:00;    28
31.07.2014 14:00:00;    46
01.08.2014 00:00:00;    39
01.09.2014 15:30:00;    30
01.10.2014 01:00:00;    25
08.11.2014 23:15:00;    27
01.12.2014 00:15:00;    24
11.01.2015 10:15:00;    31
01.02.2015 02:15:00;    23
31.03.2015 20:15:00;    38
01.04.2015 00:00:00;    36
20.05.2015 17:00:00;    47
06.06.2015 20:30:00;    48
17.07.2015 21:30:00;    32
04.08.2015 21:45:00;    38
01.09.2015 22:30:00;    36
07.10.2015 00:00:00;    26
21.11.2015 00:30:00;    28
02.12.2015 15:30:00;    24
17.01.2016 07:30:00;    23
01.02.2016 11:30:00;    33
31.03.2016 22:15:00;    27
18.04.2016 21:45:00;    32
30.05.2016 19:00:00;    38
20.06.2016 11:00:00;    41
12.07.2016 18:00:00;    50
05.08.2016 14:15:00;    43
01.09.2016 03:45:00;    29
04.10.2016 22:45:00;    27
07.11.2016 14:45:00;    24
01.12.2016 04:15:00;    23
06.01.2017 13:00:00;    23
14.02.2017 21:45:00;    23
09.03.2017 20:45:00;    36
28.04.2017 11:45:00;    28
30.05.2017 18:15:00;    50
06.06.2017 19:00:00;    39
10.07.2017 22:00:00;    46
11.08.2017 17:15:00;    45
02.09.2017 10:45:00;    48
03.10.2017 12:45:00;    35
12.11.2017 12:15:00;    35
01.12.2017 01:15:00;    27
05.01.2018 15:15:00;    34
07.02.2018 05:30:00;    29
31.03.2018 19:30:00;    30
24.04.2018 01:15:00;    47
15.05.2018 02:45:00;    47
06.06.2018 23:00:00;    41
06.07.2018 17:00:00;    33
14.08.2018 02:00:00;    33
01.09.2018 06:45:00;    31
08.10.2018 13:00:00;    30
24.11.2018 03:45:00;    28
24.12.2018 09:45:00;    43
05.01.2019 23:45:00;    27
19.02.2019 05:00:00;    26
16.03.2019 19:30:00;    38
26.04.2019 09:45:00;    44
21.05.2019 07:00:00;    59
03.06.2019 20:31:10;    51
13.07.2019 03:45:00;    43
12.08.2019 20:45:00;    41
08.09.2019 16:30:00;    39
02.10.2019 06:15:00;    34
05.11.2019 09:00:00;    34
01.12.2019 07:00:00;    31
03.01.2020 08:30:00;    31
04.02.2020 08:30:00;    46
21.03.2020 02:00:00;    36
30.04.2020 22:45:00;    41
02.05.2020 21:15:00;    39
29.06.2020 11:45:00;    52
01.07.2020 17:45:00;    51
04.08.2020 11:15:00;    51
25.09.2020 16:30:00;    38
30.10.2020 04:45:00;    32
01.11.2020 01:30:00;    31
06.12.2020 11:45:00;    30
31.01.2021 20:00:00;    26
27.02.2021 19:45:00;    29
31.03.2021 22:15:00;    34
02.04.2021 21:15:00;    39
25.05.2021 08:45:00;    41
05.06.2021 18:15:00;    55
18.07.2021 08:15:00;    72
08.08.2021 12:30:00;    41
29.09.2021 07:45:00;    36
06.10.2021 08:15:00;    29
01.11.2021 21:30:00;    32
30.12.2021 19:45:00;    29
01.01.2022 00:00:00;    28
