Messstelle:                ;Lochau
18.10.1975 17:20:35;    36
20.11.1975 21:00:45;    51
01.12.1975 00:00:00;    24
11.01.1976 20:30:00;    52
11.02.1976 16:00:00;    28
19.03.1976 15:30:00;    31
27.04.1976 19:30:00;    37
20.05.1976 00:00:00;    44
01.06.1976 20:00:00;   112
26.07.1976 23:30:00;    37
01.08.1976 13:00:00;    37
17.09.1976 07:00:00;    74
15.10.1976 09:00:00;    31
07.11.1976 17:30:00;    37
10.12.1976 06:00:00;    34
26.01.1977 13:00:00;    43
10.02.1977 05:30:00;    48
02.03.1977 22:30:00;    39
13.04.1977 21:00:00;    55
13.05.1977 03:30:00;    31
27.06.1977 06:30:00;    54
31.07.1977 14:30:00;   106
01.08.1977 00:00:00;    44
04.09.1977 11:00:00;    48
10.10.1977 20:30:00;    54
15.11.1977 05:00:00;    42
08.12.1977 09:30:00;    59
03.01.1978 05:30:00;    26
26.02.1978 20:30:00;    44
21.03.1978 02:00:00;    69
21.04.1978 02:30:00;    29
08.05.1978 21:00:00;    58
28.06.1978 07:30:00;    58
19.07.1978 13:30:00;    56
08.08.1978 01:30:00;    77
29.09.1978 06:30:00;    55
05.10.1978 06:00:00;    58
28.11.1978 17:00:00;    32
09.12.1978 03:30:00;    84
10.01.1979 15:30:00;    39
06.02.1979 02:30:00;    60
12.03.1979 02:00:00;    80
17.04.1979 00:00:00;    50
12.05.1979 12:30:00;    49
06.06.1979 00:00:00;    75
14.07.1979 11:30:00;    46
09.08.1979 02:00:00;    38
22.09.1979 04:00:00;    56
05.10.1979 23:30:00;    36
27.11.1979 17:00:00;    69
17.12.1979 12:00:00;    34
24.01.1980 22:00:00;    39
05.02.1980 04:30:00;    55
31.03.1980 23:59:55;    44
01.04.1980 00:30:00;    45
04.05.1980 09:30:00;    45
04.06.1980 08:30:00;    55
09.07.1980 16:30:00;    45
27.08.1980 21:00:00;    67
23.09.1980 01:30:00;    86
19.10.1980 07:30:00;    44
19.11.1980 04:00:00;    29
15.12.1980 19:30:00;    53
04.01.1981 09:30:00;    51
07.02.1981 21:00:00;    41
12.03.1981 22:30:00;    48
30.04.1981 17:30:00;    28
27.05.1981 03:00:00;    60
19.06.1981 02:30:00;    31
19.07.1981 08:00:00;    61
23.08.1981 10:00:00;    44
29.09.1981 01:30:00;   133
15.10.1981 07:30:00;    56
01.11.1981 00:00:00;    31
16.12.1981 12:30:00;    41
12.01.1982 09:00:00;    42
01.02.1982 00:00:00;    35
01.03.1982 18:00:00;    42
29.04.1982 23:00:00;    34
21.05.1982 07:30:00;    25
12.06.1982 11:00:00;    52
26.07.1982 10:30:00;    37
31.08.1982 14:30:00;    50
27.09.1982 02:00:00;    70
01.10.1982 01:30:00;    50
18.11.1982 14:30:00;    42
21.12.1982 01:30:00;    45
05.01.1983 20:00:00;    47
28.02.1983 18:00:00;    40
19.03.1983 17:00:00;    42
07.04.1983 20:00:00;    43
08.05.1983 03:30:00;    45
14.06.1983 08:30:00;    69
08.07.1983 12:00:00;    33
06.08.1983 13:00:00;    56
11.09.1983 01:00:00;    64
10.10.1983 02:00:00;    34
27.11.1983 14:00:00;    43
24.12.1983 00:00:00;    47
15.01.1984 00:30:00;    32
14.02.1984 10:00:00;    36
29.03.1984 14:30:00;    31
16.04.1984 16:30:00;    33
31.05.1984 00:00:00;    47
06.06.1984 08:00:00;    45
16.07.1984 00:30:00;    41
11.08.1984 21:30:00;   103
05.09.1984 23:30:00;    65
05.10.1984 05:30:00;    47
26.11.1984 20:00:00;    37
17.12.1984 02:00:00;    52
23.01.1985 23:30:00;    36
03.02.1985 02:30:00;    39
25.03.1985 16:45:00;    24
30.04.1985 23:59:55;    53
01.05.1985 01:15:00;    56
15.06.1985 09:15:00;    44
06.07.1985 20:00:00;    47
06.08.1985 21:00:00;    62
06.09.1985 08:00:00;    30
19.10.1985 07:00:00;    18
10.11.1985 11:00:00;    45
01.12.1985 00:00:00;    34
11.01.1986 17:15:00;    46
01.02.1986 03:30:00;    17
25.03.1986 01:00:00;    38
10.04.1986 06:15:00;    46
23.05.1986 23:30:00;    66
04.06.1986 11:45:00;    65
07.07.1986 10:15:00;    59
12.08.1986 22:45:00;    51
17.09.1986 19:30:00;    26
23.10.1986 06:00:00;    30
02.11.1986 18:30:00;    29
29.12.1986 07:45:00;    31
01.01.1987 18:15:00;    56
28.02.1987 23:59:55;    48
01.03.1987 07:00:00;    59
10.04.1987 07:45:00;    58
11.05.1987 03:15:00;    50
08.06.1987 04:30:00;    60
09.07.1987 05:15:00;   132
03.08.1987 00:15:00;    46
26.09.1987 09:45:00;    42
17.10.1987 20:15:00;    21
02.11.1987 14:00:00;    27
19.12.1987 12:00:00;    46
25.01.1988 16:00:00;    22
27.02.1988 13:00:00;    21
22.03.1988 01:45:00;    64
13.04.1988 15:30:00;    61
20.05.1988 18:00:00;    26
06.06.1988 17:30:00;    46
14.07.1988 04:45:00;    45
20.08.1988 13:30:00;    55
02.09.1988 03:15:00;    45
10.10.1988 07:45:00;    31
30.11.1988 09:30:00;    52
06.12.1988 00:00:00;    49
07.01.1989 09:00:00;    24
22.02.1989 01:30:00;    32
04.03.1989 00:15:00;    31
02.04.1989 09:00:00;    54
12.05.1989 03:15:00;    22
23.06.1989 04:00:00;    30
12.07.1989 01:00:00;    65
02.08.1989 03:15:00;    60
25.09.1989 22:30:00;    25
15.10.1989 08:00:00;    49
04.11.1989 10:15:00;    37
19.12.1989 07:30:00;    35
25.01.1990 03:00:00;    26
14.02.1990 19:15:00;    53
23.03.1990 06:15:00;    47
24.04.1990 10:30:00;    27
12.05.1990 02:15:00;    32
13.06.1990 03:30:00;    55
05.07.1990 19:00:00;    50
26.08.1990 20:00:00;    50
23.09.1990 06:15:00;    60
30.10.1990 01:15:00;    49
11.11.1990 22:30:00;    40
31.12.1990 22:30:00;    41
01.01.1991 00:00:00;    39
26.02.1991 00:01:00;    16
20.03.1991 02:00:00;    36
06.04.1991 01:45:00;    35
12.05.1991 01:15:00;    92
17.06.1991 15:45:00;    78
26.07.1991 13:15:00;    73
01.08.1991 10:15:00;    44
26.09.1991 23:15:00;    51
21.10.1991 01:00:00;    25
14.11.1991 08:15:00;    34
22.12.1991 17:00:00;    98
01.01.1992 00:00:00;    19
05.02.1992 20:30:00;    51
15.03.1992 20:45:00;    47
28.04.1992 21:15:00;    39
01.05.1992 00:00:00;    19
25.06.1992 17:30:00;    41
11.07.1992 12:15:00;    67
31.08.1992 23:59:55;    37
01.09.1992 01:30:00;    41
29.10.1992 02:45:00;    43
22.11.1992 19:15:00;    74
12.12.1992 14:30:00;    32
07.01.1993 20:00:00;    51
01.02.1993 00:00:00;    17
17.03.1993 16:30:00;    31
06.04.1993 10:00:00;    33
28.05.1993 01:00:00;    23
23.06.1993 00:00:00;    60
11.07.1993 10:45:00;    85
28.08.1993 01:30:00;    48
04.09.1993 16:45:00;    61
09.10.1993 04:00:00;    42
07.11.1993 06:15:00;    25
20.12.1993 02:00:00;    28
25.01.1994 15:30:00;    49
25.02.1994 20:30:00;    24
26.03.1994 10:30:00;    41
26.04.1994 03:00:00;    58
19.05.1994 14:45:00;    59
09.06.1994 08:00:00;    59
09.07.1994 09:00:00;    56
25.08.1994 01:30:00;    44
17.09.1994 09:00:00;    56
26.10.1994 03:00:00;    31
11.11.1994 12:45:00;    35
10.12.1994 06:00:00;    58
11.01.1995 04:30:00;    45
09.02.1995 15:00:00;    34
25.03.1995 16:15:00;    30
25.04.1995 23:00:00;    60
31.05.1995 01:45:00;    53
01.06.1995 17:00:00;    74
03.07.1995 04:30:00;    29
28.08.1995 22:45:00;    72
21.09.1995 09:30:00;    60
01.10.1995 00:00:00;    19
17.11.1995 02:00:00;    38
25.12.1995 07:30:00;    50
08.01.1996 10:00:00;    21
17.02.1996 00:01:00;    17
23.03.1996 05:30:00;    59
02.04.1996 14:30:00;    31
20.05.1996 17:30:00;    37
13.06.1996 01:00:00;    54
08.07.1996 14:15:00;    63
02.08.1996 20:30:00;    42
23.09.1996 19:45:00;    76
19.10.1996 13:30:00;    46
01.11.1996 15:00:00;    48
18.12.1996 08:15:00;    37
26.01.1997 01:20:35;    16
15.02.1997 11:07:35;    47
28.03.1997 15:36:45;    26
29.04.1997 22:35:30;    50
06.05.1997 19:26:20;    36
29.06.1997 16:16:10;    52
24.07.1997 22:10:25;    97
01.08.1997 10:27:10;    40
13.09.1997 15:40:15;    39
16.10.1997 12:51:00;    41
12.11.1997 18:36:40;    22
21.12.1997 21:40:40;    54
07.01.1998 15:28:30;    20
23.02.1998 06:19:20;    27
15.03.1998 20:20:20;    42
06.04.1998 02:54:20;    29
02.05.1998 09:57:05;    55
12.06.1998 17:03:45;    89
13.07.1998 18:55:00;    43
22.08.1998 19:59:45;    41
12.09.1998 03:37:50;    51
07.10.1998 21:50:40;    56
10.11.1998 16:27:15;    48
13.12.1998 07:33:45;    46
09.01.1999 00:06:10;    31
19.02.1999 19:40:25;    70
02.03.1999 14:23:45;    39
07.04.1999 10:05:00;    40
22.05.1999 00:32:45;    86
08.06.1999 11:19:15;    55
23.07.1999 10:29:30;    46
20.08.1999 04:31:05;    40
28.09.1999 18:20:40;    43
04.10.1999 02:59:50;    38
06.11.1999 11:32:50;    33
19.12.1999 07:18:15;    42
31.01.2000 04:50:00;    35
03.02.2000 01:37:50;    45
17.03.2000 21:18:10;    72
06.04.2000 04:09:25;    31
31.05.2000 13:40:45;    44
06.06.2000 15:32:30;    41
15.07.2000 11:39:45;    69
06.08.2000 11:00:20;    89
21.09.2000 06:22:00;   119
06.10.2000 06:58:40;    55
14.11.2000 21:38:00;    35
20.12.2000 04:48:20;    20
16.01.2001 11:37:55;    29
22.02.2001 21:38:15;    35
21.03.2001 15:27:35;    41
10.04.2001 07:56:00;    43
05.05.2001 15:00:45;    42
10.06.2001 12:36:35;    50
20.07.2001 02:45:55;    42
04.08.2001 05:55:55;    48
09.09.2001 02:00:55;    64
25.10.2001 09:55:35;    40
30.11.2001 21:02:45;    52
01.12.2001 00:00:00;    51
27.01.2002 18:36:55;    50
09.02.2002 08:08:10;    33
19.03.2002 22:05:30;    54
24.04.2002 13:10:15;    57
18.05.2002 18:35:20;    71
10.06.2002 03:22:35;    71
17.07.2002 21:34:35;    73
11.08.2002 22:17:50;   117
23.09.2002 04:55:25;    63
06.10.2002 22:51:00;    64
02.11.2002 17:44:40;    78
17.12.2002 05:35:25;    49
04.01.2003 07:44:45;    40
16.02.2003 12:29:45;    27
06.03.2003 23:27:20;    35
02.04.2003 10:47:30;    27
28.05.2003 18:28:55;   107
05.06.2003 22:22:05;    35
17.07.2003 10:08:05;    61
31.08.2003 10:15:05;    33
29.09.2003 06:54:45;    29
05.10.2003 20:41:25;    54
13.11.2003 10:48:05;    53
02.12.2003 12:36:20;    30
12.01.2004 20:10:55;    34
07.02.2004 13:01:40;    35
30.03.2004 18:57:35;    27
23.04.2004 20:30:25;    42
07.05.2004 01:27:55;    34
03.06.2004 10:57:15;    68
13.07.2004 12:29:50;    55
13.08.2004 22:13:55;    31
24.09.2004 00:09:30;    61
10.10.2004 02:36:00;    38
22.11.2004 11:11:55;    22
24.12.2004 23:07:15;    19
02.01.2005 17:53:00;    33
11.02.2005 23:10:20;    79
15.03.2005 14:42:25;    41
21.04.2005 00:48:55;    51
07.05.2005 07:28:20;    38
07.06.2005 02:57:10;    31
25.07.2005 19:08:55;    53
23.08.2005 08:29:55;    91
12.09.2005 10:28:30;    45
02.10.2005 05:08:15;    43
05.11.2005 08:14:55;    34
31.12.2005 17:46:25;    37
01.01.2006 01:10:25;    37
17.02.2006 04:45:00;    44
09.03.2006 07:11:25;    46
14.04.2006 01:30:00;    47
28.05.2006 17:00:00;    54
01.06.2006 17:15:00;    43
07.07.2006 12:30:00;    42
06.08.2006 07:30:00;    67
26.09.2006 08:00:00;    59
03.10.2006 18:45:00;    45
14.11.2006 10:30:00;    30
06.12.2006 16:45:00;    39
09.01.2007 10:00:00;    34
15.02.2007 06:15:00;    43
02.03.2007 07:00:00;    38
04.04.2007 01:15:00;    36
29.05.2007 22:00:00;    57
07.06.2007 16:30:00;    60
03.07.2007 19:15:00;    44
08.08.2007 22:00:00;   111
03.09.2007 23:00:00;    59
18.10.2007 03:15:00;    22
11.11.2007 02:30:00;    31
07.12.2007 06:30:00;    44
07.01.2008 10:45:00;    39
06.02.2008 15:45:00;    25
17.03.2008 15:30:00;    45
22.04.2008 10:30:00;    63
01.05.2008 14:15:00;    20
02.06.2008 19:30:00;    55
13.07.2008 08:30:00;    52
15.08.2008 17:45:00;    50
07.09.2008 13:00:00;    49
16.10.2008 18:30:00;    47
12.11.2008 08:15:00;    30
21.12.2008 07:15:00;    63
23.01.2009 21:00:00;    34
10.02.2009 16:15:00;    26
28.03.2009 21:00:00;    34
03.04.2009 18:00:00;    35
04.05.2009 02:45:00;    41
07.06.2009 19:15:00;    48
18.07.2009 03:15:00;    54
10.08.2009 18:15:00;    47
03.09.2009 05:45:00;    23
17.10.2009 09:00:00;    38
04.11.2009 11:15:00;    42
08.12.2009 05:45:00;    46
01.01.2010 22:30:00;    26
26.02.2010 15:45:00;    25
21.03.2010 21:45:00;    41
05.04.2010 16:15:00;    24
13.05.2010 14:30:00;    50
18.06.2010 11:00:00;   138
27.07.2010 03:25:00;   133
05.08.2010 18:10:00;    79
25.09.2010 22:20:00;    49
20.10.2010 03:50:00;    31
12.11.2010 16:20:00;    52
07.12.2010 03:35:00;    50
13.01.2011 13:10:00;    57
27.02.2011 06:15:00;    27
18.03.2011 02:10:00;    70
04.04.2011 12:55:00;    28
31.05.2011 22:40:00;    57
30.06.2011 02:10:00;    84
19.07.2011 21:45:00;    70
07.08.2011 09:35:00;    91
04.09.2011 16:35:00;    84
10.10.2011 10:55:00;    47
06.11.2011 21:10:00;    16
31.12.2011 23:55:00;    57
01.01.2012 01:55:00;    59
19.02.2012 14:30:00;    35
01.03.2012 18:15:00;    24
11.04.2012 14:35:00;    22
24.05.2012 17:15:00;    43
12.06.2012 09:25:00;    57
08.07.2012 23:15:00;    23
20.08.2012 22:05:00;    90
19.09.2012 02:45:00;    54
09.10.2012 17:25:00;    56
05.11.2012 05:25:00;    42
23.12.2012 04:50:00;    62
30.01.2013 23:20:00;    43
02.02.2013 07:15:00;    44
09.03.2013 04:15:00;    35
19.04.2013 22:25:00;    36
31.05.2013 23:59:55;    82
01.06.2013 18:50:00;   122
09.07.2013 17:20:00;    59
09.08.2013 17:55:00;    30
17.09.2013 02:50:00;    68
16.10.2013 02:20:00;    35
06.11.2013 14:45:00;    43
27.12.2013 00:50:00;    21
05.01.2014 13:40:00;    24
21.02.2014 17:00:00;    21
23.03.2014 02:00:00;    28
05.04.2014 23:10:00;    42
27.05.2014 10:55:00;    47
29.06.2014 13:10:00;    42
27.07.2014 01:50:00;    70
31.08.2014 19:00:00;    48
01.09.2014 00:55:00;    38
23.10.2014 00:40:00;    57
18.11.2014 12:10:00;    34
18.12.2014 21:30:00;    47
04.01.2015 02:55:00;    53
24.02.2015 01:25:00;    27
02.03.2015 12:50:00;    49
28.04.2015 07:00:00;    52
03.05.2015 10:35:00;    57
15.06.2015 12:10:00;    54
06.07.2015 04:25:00;    35
16.08.2015 23:55:00;    52
17.09.2015 17:15:00;    31
14.10.2015 00:45:00;    34
21.11.2015 02:10:00;    40
17.12.2015 01:00:00;    40
31.01.2016 19:00:00;    48
21.02.2016 02:10:00;    48
02.03.2016 18:55:00;    39
18.04.2016 17:50:00;    45
13.05.2016 09:00:00;    50
19.06.2016 08:35:00;    55
14.07.2016 08:30:00;    59
05.08.2016 06:55:00;    59
19.09.2016 00:40:00;    53
03.10.2016 09:10:00;    19
11.11.2016 06:00:00;    43
01.12.2016 02:20:00;    13
31.01.2017 21:05:00;    66
01.02.2017 00:00:00;    59
09.03.2017 14:20:00;    60
25.04.2017 22:00:00;    33
08.05.2017 05:50:00;    50
06.06.2017 15:35:00;    36
10.07.2017 23:10:00;    58
31.08.2017 22:55:00;    64
01.09.2017 00:20:00;    64
06.10.2017 00:05:00;    46
12.11.2017 05:30:00;    56
30.12.2017 23:55:00;    46
22.01.2018 21:15:00;    83
16.02.2018 05:45:00;    50
29.03.2018 04:05:00;    30
01.04.2018 00:30:00;    23
14.05.2018 21:10:00;    39
04.06.2018 16:45:00;    53
06.07.2018 05:10:00;    27
31.08.2018 21:25:00;    45
13.09.2018 23:15:00;    41
01.10.2018 10:20:00;    61
27.11.2018 20:10:00;    14
03.12.2018 03:15:00;    47
14.01.2019 05:55:00;    46
10.02.2019 22:10:00;    29
15.03.2019 13:40:00;    43
26.04.2019 14:00:00;    21
21.05.2019 00:05:00;    94
11.06.2019 04:25:00;    36
28.07.2019 23:30:00;    75
20.08.2019 20:40:00;    60
09.09.2019 04:15:00;    85
07.10.2019 00:15:00;    84
29.11.2019 22:10:00;    35
24.12.2019 17:20:00;    27
31.01.2020 01:25:00;    30
03.02.2020 16:55:00;    54
10.03.2020 20:35:00;    43
29.04.2020 00:40:00;    20
01.05.2020 22:35:00;    23
07.06.2020 12:55:00;    58
17.07.2020 02:10:00;    72
30.08.2020 14:00:00;    94
25.09.2020 15:50:00;    43
26.10.2020 20:00:00;    38
03.11.2020 21:35:00;    21
24.12.2020 06:35:00;    41
28.01.2021 14:20:00;    50
03.02.2021 17:55:00;    49
25.03.2021 19:05:00;    19
12.04.2021 06:40:00;    25
12.05.2021 06:40:00;    53
07.06.2021 16:25:00;    54
16.07.2021 03:40:00;    75
30.08.2021 00:30:00;    93
15.09.2021 17:20:00;    41
13.10.2021 01:10:00;    30
04.11.2021 04:55:00;    28
29.12.2021 22:10:00;    56
