Messstelle:                ;Unterhochsteg
26.11.1996 13:45:00;   176
18.12.1996 10:15:00;   178
24.01.1997 10:01:55;   123
15.02.1997 14:31:15;   208
28.03.1997 18:05:45;   150
30.04.1997 00:00:40;   168
06.05.1997 20:31:55;   181
05.06.1997 19:03:20;   202
19.07.1997 02:50:45;   214
01.08.1997 13:34:30;   154
13.09.1997 18:44:55;   162
12.10.1997 11:03:55;   186
13.11.1997 00:24:40;   133
21.12.1997 21:48:10;   256
06.01.1998 07:23:10;   147
23.02.1998 07:29:25;   143
16.03.1998 12:38:35;   179
06.04.1998 04:41:35;   144
02.05.1998 10:22:35;   198
12.06.1998 12:22:25;   234
03.07.1998 22:38:15;   159
24.08.1998 19:10:30;   178
12.09.1998 11:48:05;   210
29.10.1998 17:57:00;   188
10.11.1998 17:15:10;   210
13.12.1998 08:29:55;   200
09.01.1999 02:17:50;   168
20.02.1999 16:04:40;   250
02.03.1999 15:19:40;   194
07.04.1999 12:52:05;   177
12.05.1999 04:56:50;   320
08.06.1999 11:09:50;   227
13.07.1999 12:27:30;   172
20.08.1999 08:19:35;   178
30.09.1999 19:49:30;   162
04.10.1999 04:33:00;   163
10.11.1999 03:43:55;   175
19.12.1999 07:36:35;   220
30.01.2000 23:28:15;   198
09.02.2000 00:44:25;   187
18.03.2000 00:11:00;   240
12.04.2000 14:29:00;   145
31.05.2000 12:38:50;   209
01.06.2000 00:00:00;   162
16.07.2000 09:55:00;   237
06.08.2000 13:40:10;   262
21.09.2000 11:16:55;   283
06.10.2000 09:58:25;   212
14.11.2000 22:06:50;   160
15.12.2000 12:35:20;   139
26.01.2001 03:30:00;   166
04.02.2001 10:15:00;   218
05.03.2001 01:15:00;   199
16.04.2001 15:45:00;   196
18.05.2001 14:00:00;   139
11.06.2001 04:15:00;   206
20.07.2001 08:30:00;   152
10.08.2001 07:00:00;   175
09.09.2001 03:30:00;   232
25.10.2001 10:45:00;   170
30.11.2001 23:45:00;   191
30.12.2001 03:15:00;   197
27.01.2002 21:36:35;   196
25.02.2002 17:29:40;   181
19.03.2002 23:45:00;   207
24.04.2002 22:00:00;   176
18.05.2002 21:45:00;   217
07.06.2002 07:30:00;   216
18.07.2002 01:15:00;   196
11.08.2002 23:00:00;   318
24.09.2002 04:45:00;   186
17.10.2002 20:30:00;   194
02.11.2002 18:15:00;   242
23.12.2002 00:45:00;   213
04.01.2003 07:14:50;   204
04.02.2003 06:11:15;   131
07.03.2003 02:00:00;   177
02.04.2003 12:58:10;   161
29.05.2003 01:15:00;   180
05.06.2003 22:30:00;   172
17.07.2003 12:15:00;   171
31.08.2003 13:30:00;   172
29.09.2003 11:15:00;   134
05.10.2003 21:00:00;   212
13.11.2003 15:15:00;   195
21.12.2003 16:00:00;   148
13.01.2004 15:53:55;   205
07.02.2004 16:08:35;   169
15.03.2004 20:23:10;   148
23.04.2004 21:37:40;   160
09.05.2004 14:37:30;   173
03.06.2004 12:37:10;   208
09.07.2004 05:21:45;   199
27.08.2004 02:51:10;   170
25.09.2004 17:20:50;   183
10.10.2004 06:05:40;   186
22.11.2004 15:05:10;   136
24.12.2004 20:30:00;   138
21.01.2005 13:30:00;   169
13.02.2005 02:00:00;   213
18.03.2005 19:15:00;   174
20.04.2005 16:30:00;   185
16.05.2005 23:45:00;   170
15.06.2005 13:45:00;   137
25.07.2005 23:00:00;   210
23.08.2005 10:00:00;   250
12.09.2005 10:45:00;   140
03.10.2005 02:00:00;   176
05.11.2005 17:45:00;   128
31.12.2005 19:45:00;   159
01.01.2006 09:00:00;   165
17.02.2006 04:45:00;   188
09.03.2006 10:30:00;   221
14.04.2006 02:00:00;   180
30.05.2006 08:45:00;   205
01.06.2006 21:15:00;   160
29.07.2006 11:15:00;   130
30.08.2006 04:00:00;   201
26.09.2006 08:45:00;   175
03.10.2006 21:30:00;   183
22.11.2006 04:00:00;   157
06.12.2006 21:00:00;   164
09.01.2007 14:15:00;   157
15.02.2007 09:45:00;   163
02.03.2007 09:45:00;   174
04.04.2007 05:45:00;   141
30.05.2007 00:00:00;   217
02.06.2007 05:45:00;   148
10.07.2007 09:45:00;   191
09.08.2007 00:45:00;   294
04.09.2007 00:45:00;   211
01.10.2007 09:45:00;   125
11.11.2007 04:45:00;   174
07.12.2007 08:45:00;   195
07.01.2008 14:00:00;   178
06.02.2008 17:30:00;   144
17.03.2008 18:15:00;   182
22.04.2008 10:15:00;   232
18.05.2008 22:15:00;   123
10.06.2008 22:00:00;   182
13.07.2008 11:00:00;   194
15.08.2008 21:15:00;   177
07.09.2008 13:30:00;   201
17.10.2008 01:30:00;   196
21.11.2008 17:45:00;   170
21.12.2008 08:30:00;   230
23.01.2009 21:00:00;   168
10.02.2009 19:30:00;   161
27.03.2009 05:15:00;   187
01.04.2009 21:00:00;   143
27.05.2009 07:45:00;   172
23.06.2009 04:00:00;   190
18.07.2009 04:30:00;   224
10.08.2009 20:30:00;   153
05.09.2009 08:00:00;   130
17.10.2009 18:00:00;   148
04.11.2009 12:30:00;   169
08.12.2009 08:15:00;   201
01.01.2010 00:00:00;   148
28.02.2010 21:30:00;   161
21.03.2010 23:20:00;   184
01.04.2010 21:15:00;   127
30.05.2010 14:35:00;   170
18.06.2010 12:20:00;   342
27.07.2010 04:50:00;   340
06.08.2010 03:10:00;   253
25.09.2010 23:50:00;   185
20.10.2010 05:50:00;   172
12.11.2010 17:40:00;   240
07.12.2010 04:20:00;   214
13.01.2011 13:55:00;   229
27.02.2011 07:05:00;   148
18.03.2011 02:00:00;   210
04.04.2011 14:35:00;   152
31.05.2011 23:59:55;   159
30.06.2011 08:20:00;   200
20.07.2011 01:35:00;   210
07.08.2011 11:10:00;   268
05.09.2011 13:25:00;   237
10.10.2011 12:50:00;   177
04.11.2011 12:20:00;   112
31.12.2011 23:59:55;   204
01.01.2012 02:45:00;   220
26.02.2012 07:30:00;   181
01.03.2012 20:20:00;   148
25.04.2012 00:45:00;   137
24.05.2012 02:55:00;   141
04.06.2012 00:50:00;   196
04.07.2012 20:40:00;   148
26.08.2012 00:35:00;   213
19.09.2012 05:35:00;   187
09.10.2012 18:05:00;   245
05.11.2012 04:55:00;   180
23.12.2012 06:05:00;   243
31.01.2013 01:50:00;   186
02.02.2013 08:10:00;   212
09.03.2013 06:35:00;   167
20.04.2013 18:10:00;   160
31.05.2013 23:59:55;   263
01.06.2013 23:55:00;   347
03.07.2013 21:10:00;   141
09.08.2013 19:35:00;   133
17.09.2013 03:45:00;   227
16.10.2013 02:45:00;   209
06.11.2013 16:45:00;   176
27.12.2013 03:10:00;   135
21.01.2014 17:50:00;   144
16.02.2014 14:55:00;   134
23.03.2014 21:45:00;   142
08.04.2014 14:20:00;   149
27.05.2014 14:20:00;   179
13.06.2014 03:10:00;   181
27.07.2014 03:30:00;   259
31.08.2014 21:25:00;   176
10.09.2014 12:10:00;   187
23.10.2014 00:40:00;   205
18.11.2014 13:25:00;   173
20.12.2014 04:15:00;   202
04.01.2015 04:00:00;   231
24.02.2015 02:50:00;   146
02.03.2015 13:40:00;   219
28.04.2015 10:30:00;   210
02.05.2015 04:10:00;   215
23.06.2015 05:20:00;   177
06.07.2015 09:30:00;   136
19.08.2015 06:30:00;   160
23.09.2015 07:05:00;   148
18.10.2015 17:05:00;   149
21.11.2015 02:05:00;   212
17.12.2015 03:35:00;   156
31.01.2016 18:05:00;   212
01.02.2016 01:20:00;   210
02.03.2016 20:45:00;   184
17.04.2016 23:35:00;   180
15.05.2016 00:55:00;   191
17.06.2016 03:45:00;   222
13.07.2016 05:30:00;   191
05.08.2016 14:05:00;   209
05.09.2016 05:10:00;   180
26.10.2016 01:55:00;   130
11.11.2016 08:30:00;   205
01.12.2016 02:20:00;   113
31.01.2017 21:05:00;   248
01.02.2017 00:00:00;   231
09.03.2017 15:10:00;   210
29.04.2017 17:50:00;   165
08.05.2017 08:35:00;   192
06.06.2017 17:15:00;   166
26.07.2017 09:25:00;   234
31.08.2017 23:59:55;   226
01.09.2017 02:15:00;   246
06.10.2017 03:20:00;   175
12.11.2017 10:20:00;   259
15.12.2017 03:05:00;   210
22.01.2018 21:40:00;   284
16.02.2018 06:35:00;   215
29.03.2018 04:20:00;   186
01.04.2018 00:00:00;   140
31.05.2018 00:20:00;   134
13.06.2018 16:20:00;   139
06.07.2018 23:30:00;   125
31.08.2018 22:50:00;   131
24.09.2018 03:55:00;   143
01.10.2018 12:05:00;   155
01.11.2018 00:00:00;   109
23.12.2018 22:40:00;   194
14.01.2019 06:00:00;   210
11.02.2019 00:40:00;   166
15.03.2019 15:45:00;   216
28.04.2019 07:40:00;   118
21.05.2019 04:35:00;   292
11.06.2019 07:25:00;   139
29.07.2019 00:50:00;   197
20.08.2019 23:25:00;   227
09.09.2019 06:35:00;   230
07.10.2019 03:15:00;   217
30.11.2019 00:45:00;   172
24.12.2019 21:40:00;   137
31.01.2020 06:10:00;   136
03.02.2020 17:30:00;   232
10.03.2020 20:35:00;   175
29.04.2020 11:40:00;   106
02.05.2020 22:40:00;   110
14.06.2020 01:50:00;   180
01.07.2020 20:35:00;   164
30.08.2020 15:40:00;   218
25.09.2020 17:10:00;   163
26.10.2020 20:35:00;   166
01.11.2020 00:05:00;   115
24.12.2020 08:10:00;   172
29.01.2021 13:00:00;   226
03.02.2021 20:00:00;   216
15.03.2021 23:15:00;   124
13.04.2021 22:35:00;   112
22.05.2021 04:00:00;   168
07.06.2021 05:30:00;   178
16.07.2021 04:52:10;   247
30.08.2021 21:45:00;   270
16.09.2021 22:25:00;   160
13.10.2021 09:55:00;   111
04.11.2021 16:25:00;   148
29.12.2021 23:50:00;   195
