Messstelle:                ;Achleiten
21.12.1982 12:00:00;   379
06.01.1983 12:00:00;   452
02.02.1983 12:00:00;   397
02.03.1983 12:00:00;   357
12.04.1983 12:00:00;   429
09.05.1983 12:00:00;   415
15.06.1983 12:00:00;   510
08.07.1983 12:00:00;   413
06.08.1983 12:00:00;   461
17.09.1983 12:00:00;   326
12.10.1983 12:00:00;   329
30.11.1983 12:00:00;   314
24.12.1983 12:00:00;   444
18.01.1984 12:00:00;   328
10.02.1984 12:00:00;   367
31.03.1984 12:00:00;   315
05.04.1984 12:00:00;   320
22.05.1984 12:00:00;   370
27.06.1984 12:00:00;   411
04.07.1984 12:00:00;   396
13.08.1984 12:00:00;   395
18.09.1984 12:00:00;   451
03.10.1984 12:00:00;   370
29.11.1984 12:00:00;   274
20.12.1984 12:00:00;   287
17.01.1985 12:00:00;   324
03.02.1985 12:00:00;   545
05.03.1985 12:00:00;   303
11.04.1985 12:00:00;   314
30.05.1985 12:00:00;   405
23.06.1985 12:00:00;   428
21.07.1985 12:00:00;   410
08.08.1985 12:00:00;   651
07.09.1985 12:00:00;   393
16.10.1985 12:00:00;   278
13.11.1985 12:00:00;   280
19.12.1985 12:00:00;   312
19.01.1986 12:00:00;   449
01.02.1986 12:00:00;   318
27.03.1986 12:00:00;   371
10.04.1986 12:00:00;   370
31.05.1986 12:00:00;   473
01.06.1986 00:00:00;   464
09.07.1986 12:00:00;   365
29.08.1986 12:00:00;   369
01.09.1986 00:00:00;   333
25.10.1986 12:00:00;   325
03.11.1986 12:00:00;   294
31.12.1986 12:00:00;   371
02.01.1987 12:00:00;   460
28.02.1987 12:00:00;   399
03.03.1987 12:00:00;   573
11.04.1987 12:00:00;   437
20.05.1987 12:00:00;   446
16.06.1987 12:00:00;   489
04.07.1987 12:00:00;   514
06.08.1987 12:00:00;   494
07.09.1987 12:00:00;   384
01.10.1987 00:00:00;   332
21.11.1987 12:00:00;   310
20.12.1987 12:00:00;   522
29.01.1988 12:00:00;   324
01.02.1988 00:00:00;   313
25.03.1988 12:00:00;   608
01.04.1988 00:00:00;   506
21.05.1988 12:00:00;   438
06.06.1988 12:00:00;   457
14.07.1988 12:00:00;   462
30.08.1988 12:00:00;   434
06.09.1988 12:00:00;   427
14.10.1988 12:00:00;   313
30.11.1988 12:00:00;   327
11.12.1988 12:00:00;   558
09.01.1989 12:00:00;   378
24.02.1989 12:00:00;   343
14.03.1989 12:00:00;   327
06.04.1989 12:00:00;   364
15.05.1989 12:00:00;   347
23.06.1989 12:00:00;   393
04.07.1989 12:00:00;   455
03.08.1989 12:00:00;   388
05.09.1989 12:00:00;   360
01.10.1989 00:00:00;   324
10.11.1989 12:00:00;   335
20.12.1989 12:00:00;   369
27.01.1990 12:00:00;   286
16.02.1990 12:00:00;   529
01.03.1990 12:00:00;   409
26.04.1990 12:00:00;   326
26.05.1990 12:00:00;   344
13.06.1990 12:00:00;   413
10.07.1990 12:00:00;   544
18.08.1990 12:00:00;   315
25.09.1990 12:00:00;   356
08.10.1990 12:00:00;   318
21.11.1990 12:00:00;   350
31.12.1990 12:00:00;   312
04.01.1991 12:00:00;   388
28.02.1991 12:00:00;   273
21.03.1991 12:00:00;   307
09.04.1991 12:00:00;   285
14.05.1991 12:00:00;   382
18.06.1991 12:00:00;   550
15.07.1991 12:00:00;   441
04.08.1991 12:00:00;   686
01.09.1991 12:00:00;   284
02.10.1991 12:00:00;   292
21.11.1991 12:00:00;   280
23.12.1991 12:00:00;   578
08.01.1992 12:00:00;   292
14.02.1992 12:00:00;   333
24.03.1992 12:00:00;   460
29.04.1992 12:00:00;   463
12.05.1992 12:00:00;   423
04.06.1992 12:00:00;   390
14.07.1992 12:00:00;   350
04.08.1992 12:00:00;   312
04.09.1992 12:00:00;   330
30.10.1992 12:00:00;   332
23.11.1992 12:00:00;   554
02.12.1992 12:00:00;   434
09.01.1993 12:00:00;   360
01.02.1993 00:00:00;   308
19.03.1993 12:00:00;   404
28.04.1993 12:00:00;   341
04.05.1993 12:00:00;   342
25.06.1993 12:00:00;   405
20.07.1993 12:00:00;   582
01.08.1993 00:00:00;   434
15.09.1993 12:00:00;   421
24.10.1993 12:00:00;   375
04.11.1993 12:00:00;   294
23.12.1993 12:00:00;   487
26.01.1994 12:00:00;   374
01.02.1994 12:00:00;   335
26.03.1994 12:00:00;   402
18.04.1994 12:00:00;   551
20.05.1994 12:00:00;   438
10.06.1994 12:00:00;   425
07.07.1994 12:00:00;   381
25.08.1994 12:00:00;   379
15.09.1994 12:00:00;   333
04.10.1994 12:00:00;   285
20.11.1994 12:00:00;   381
29.12.1994 12:00:00;   383
26.01.1995 12:00:00;   455
01.02.1995 00:00:00;   415
21.03.1995 12:00:00;   374
02.04.1995 12:00:00;   458
31.05.1995 12:00:00;   438
07.06.1995 12:00:00;   587
04.07.1995 12:00:00;   458
30.08.1995 12:00:00;   525
02.09.1995 12:00:00;   592
02.10.1995 12:00:00;   321
18.11.1995 12:00:00;   370
26.12.1995 12:00:00;   412
01.01.1996 00:00:00;   310
20.02.1996 12:00:00;   285
25.03.1996 12:00:00;   359
10.04.1996 12:00:00;   307
28.05.1996 12:00:00;   470
23.06.1996 12:00:00;   384
11.07.1996 12:00:00;   518
29.08.1996 12:00:00;   378
14.09.1996 12:00:00;   426
22.10.1996 12:00:00;   525
02.11.1996 12:00:00;   370
04.12.1996 12:00:00;   324
04.01.1997 07:46:15;   323
28.02.1997 17:11:30;   366
01.03.1997 04:13:35;   366
06.04.1997 19:27:45;   399
21.05.1997 13:54:40;   401
30.06.1997 21:44:35;   386
20.07.1997 09:09:30;   597
02.08.1997 09:17:45;   403
01.09.1997 03:40:20;   313
13.10.1997 07:52:35;   338
30.11.1997 23:59:55;   274
14.12.1997 02:34:10;   381
08.01.1998 12:05:05;   298
18.02.1998 10:44:05;   274
17.03.1998 22:43:00;   392
03.04.1998 02:54:40;   336
13.05.1998 12:27:45;   325
13.06.1998 17:53:00;   422
14.07.1998 20:00:15;   398
05.08.1998 16:03:15;   329
18.09.1998 22:11:40;   460
31.10.1998 21:21:15;   454
10.11.1998 19:48:45;   545
15.12.1998 13:38:30;   451
09.01.1999 02:17:50;   343
22.02.1999 14:07:25;   553
05.03.1999 13:35:05;   462
30.04.1999 22:52:05;   424
26.05.1999 05:05:00;   648
03.06.1999 21:28:15;   523
23.07.1999 11:54:20;   444
20.08.1999 23:01:05;   358
21.09.1999 19:43:00;   354
01.10.1999 17:15:20;   343
12.11.1999 02:47:20;   318
28.12.1999 10:52:20;   380
31.01.2000 11:30:05;   453
01.02.2000 04:28:55;   438
18.03.2000 00:46:30;   506
01.04.2000 00:00:00;   485
13.05.2000 08:24:55;   474
07.06.2000 11:51:40;   425
30.07.2000 23:03:10;   426
08.08.2000 01:55:45;   510
24.09.2000 04:45:20;   442
08.10.2000 07:58:25;   409
30.11.2000 04:04:30;   296
20.12.2000 04:19:15;   310
09.01.2001 16:00:00;   342
07.02.2001 02:00:00;   381
24.03.2001 13:00:00;   531
26.04.2001 14:00:00;   395
03.05.2001 16:00:00;   392
11.06.2001 21:00:00;   562
21.07.2001 07:00:00;   446
11.08.2001 07:00:00;   426
09.09.2001 14:00:00;   492
01.10.2001 10:00:00;   314
30.11.2001 23:59:55;   355
07.12.2001 03:00:00;   460
28.01.2002 12:00:00;   465
28.02.2002 23:59:55;   412
22.03.2002 18:00:00;   673
24.04.2002 23:00:00;   373
21.05.2002 04:00:00;   400
07.06.2002 23:00:00;   454
18.07.2002 12:00:00;   420
13.08.2002 12:00:00;   821
28.09.2002 08:00:00;   481
18.10.2002 14:00:00;   478
12.11.2002 03:00:00;   541
23.12.2002 17:00:00;   461
05.01.2003 13:15:00;   486
01.02.2003 02:15:00;   351
13.03.2003 16:00:00;   357
01.04.2003 07:30:00;   314
20.05.2003 23:45:00;   358
06.06.2003 07:15:00;   359
29.07.2003 13:00:00;   329
02.08.2003 01:15:00;   291
13.09.2003 02:15:00;   377
09.10.2003 19:30:00;   444
02.11.2003 13:15:00;   280
16.12.2003 12:30:00;   271
14.01.2004 13:00:00;   505
03.02.2004 18:15:00;   366
26.03.2004 15:30:00;   343
07.04.2004 22:30:00;   329
16.05.2004 22:30:00;   369
04.06.2004 12:15:00;   455
09.07.2004 16:30:00;   414
26.08.2004 19:45:00;   369
24.09.2004 11:45:00;   356
02.10.2004 14:45:00;   315
24.11.2004 17:45:00;   304
01.12.2004 04:00:00;   274
23.01.2005 08:00:00;   320
13.02.2005 04:30:00;   464
20.03.2005 03:15:00;   505
26.04.2005 14:15:00;   448
19.05.2005 03:45:00;   449
01.06.2005 01:45:00;   394
12.07.2005 15:00:00;   565
24.08.2005 17:15:00;   662
01.09.2005 02:15:00;   365
04.10.2005 21:45:00;   366
08.11.2005 14:00:00;   266
08.12.2005 12:15:00;   279
03.01.2006 15:45:00;   277
18.02.2006 07:30:00;   364
29.03.2006 11:15:00;   619
01.04.2006 00:30:00;   553
31.05.2006 03:30:00;   488
01.06.2006 10:45:00;   487
01.07.2006 00:00:00;   383
07.08.2006 17:30:00;   529
19.09.2006 14:15:00;   386
06.10.2006 00:00:00;   324
15.11.2006 01:45:00;   352
12.12.2006 12:00:00;   282
20.01.2007 03:00:00;   354
16.02.2007 02:00:00;   332
04.03.2007 04:30:00;   367
13.04.2007 14:00:00;   283
10.05.2007 00:30:00;   424
01.06.2007 00:00:00;   397
10.07.2007 21:45:00;   449
31.08.2007 09:15:00;   368
07.09.2007 10:15:00;   554
01.10.2007 01:30:00;   329
13.11.2007 14:30:00;   397
09.12.2007 05:15:00;   374
09.01.2008 05:30:00;   323
08.02.2008 16:45:00;   290
15.03.2008 10:00:00;   430
23.04.2008 21:34:55;   422
31.05.2008 03:00:00;   413
08.06.2008 03:15:00;   421
15.07.2008 08:15:00;   475
16.08.2008 18:30:00;   476
16.09.2008 14:30:00;   300
31.10.2008 01:15:00;   297
22.11.2008 04:45:00;   307
23.12.2008 08:30:00;   387
26.01.2009 08:45:00;   273
28.02.2009 23:15:00;   359
13.03.2009 19:15:00;   411
07.04.2009 06:45:00;   416
27.05.2009 23:45:00;   407
24.06.2009 21:00:00;   571
18.07.2009 21:15:00;   506
04.08.2009 21:30:00;   477
05.09.2009 13:00:00;   395
24.10.2009 21:15:00;   309
05.11.2009 06:30:00;   333
13.12.2009 03:30:00;   331
02.01.2010 04:45:00;   321
28.02.2010 13:15:00;   352
01.03.2010 20:00:00;   358
01.04.2010 00:00:00;   314
31.05.2010 22:00:00;   404
03.06.2010 23:45:00;   641
25.07.2010 05:45:00;   505
08.08.2010 03:30:00;   518
01.09.2010 03:45:00;   513
01.10.2010 10:30:00;   297
25.11.2010 05:00:00;   295
09.12.2010 21:15:00;   393
14.01.2011 12:30:00;   641
13.02.2011 02:45:00;   324
19.03.2011 00:00:00;   362
08.04.2011 14:00:00;   293
28.05.2011 11:15:00;   398
19.06.2011 09:45:00;   392
21.07.2011 12:30:00;   450
09.08.2011 11:00:00;   461
20.09.2011 02:00:00;   356
11.10.2011 04:00:00;   469
03.11.2011 02:30:00;   268
25.12.2011 02:30:00;   323
22.01.2012 16:45:00;   462
01.02.2012 01:30:00;   318
30.03.2012 16:30:00;   351
30.04.2012 10:45:00;   365
25.05.2012 09:00:00;   379
13.06.2012 09:45:00;   521
21.07.2012 13:00:00;   392
31.08.2012 23:45:00;   463
01.09.2012 00:00:00;   461
11.10.2012 17:45:00;   381
05.11.2012 18:30:00;   363
23.12.2012 19:45:00;   485
05.01.2013 20:30:00;   540
02.02.2013 09:15:00;   472
11.03.2013 04:00:00;   347
22.04.2013 09:30:00;   386
31.05.2013 23:59:55;   486
03.06.2013 18:30:00;  1011
04.07.2013 12:15:00;   394
28.08.2013 20:00:00;   388
19.09.2013 14:30:00;   508
17.10.2013 18:00:00;   363
07.11.2013 07:45:00;   375
12.12.2013 06:45:00;   291
17.01.2014 05:15:00;   279
05.02.2014 12:15:00;   274
25.03.2014 12:15:00;   282
30.04.2014 01:45:00;   291
28.05.2014 10:15:00;   442
12.06.2014 14:15:00;   343
31.07.2014 23:15:00;   554
01.08.2014 00:00:00;   553
01.09.2014 23:00:00;   436
24.10.2014 01:00:00;   484
07.11.2014 02:45:00;   318
21.12.2014 06:30:00;   290
10.01.2015 17:45:00;   481
01.02.2015 02:45:00;   298
30.03.2015 23:45:00;   352
01.04.2015 08:45:00;   360
24.05.2015 08:45:00;   496
09.06.2015 10:00:00;   427
01.07.2015 09:00:00;   329
18.08.2015 07:30:00;   308
04.09.2015 16:00:00;   318
08.10.2015 11:45:00;   320
22.11.2015 16:15:00;   310
02.12.2015 07:00:00;   337
13.01.2016 12:45:00;   307
01.02.2016 16:45:00;   490
04.03.2016 11:45:00;   344
19.04.2016 17:15:00;   349
31.05.2016 16:30:00;   426
01.06.2016 21:00:00;   548
14.07.2016 20:00:00;   540
06.08.2016 08:30:00;   484
20.09.2016 04:15:00;   373
26.10.2016 18:15:00;   284
17.11.2016 13:30:00;   329
01.12.2016 02:15:00;   269
26.01.2017 04:30:00;   263
22.02.2017 15:30:00;   364
19.03.2017 16:00:00;   431
29.04.2017 01:45:00;   380
09.05.2017 08:30:00;   416
07.06.2017 12:00:00;   355
27.07.2017 02:15:00;   471
07.08.2017 07:00:00;   423
03.09.2017 20:45:00;   508
30.10.2017 03:00:00;   364
14.11.2017 07:15:00;   379
31.12.2017 21:00:00;   347
05.01.2018 11:45:00;   523
02.02.2018 01:15:00;   353
29.03.2018 20:15:00;   321
24.04.2018 15:15:00;   370
15.05.2018 18:45:00;   373
14.06.2018 03:45:00;   458
07.07.2018 09:15:00;   386
26.08.2018 11:30:00;   318
01.09.2018 18:00:00;   327
30.10.2018 12:45:00;   349
01.11.2018 02:00:00;   273
24.12.2018 20:15:00;   499
14.01.2019 22:00:00;   418
23.02.2019 02:15:00;   351
16.03.2019 15:30:00;   458
27.04.2019 03:15:00;   350
23.05.2019 15:30:00;   522
13.06.2019 03:15:00;   493
29.07.2019 17:45:00;   458
14.08.2019 17:15:00;   361
09.09.2019 20:15:00;   348
07.10.2019 23:45:00;   337
18.11.2019 06:15:00;   371
26.12.2019 11:45:00;   308
01.01.2020 03:00:00;   272
04.02.2020 03:45:00;   494
12.03.2020 12:00:00;   357
30.04.2020 06:45:00;   294
26.05.2020 11:15:00;   324
16.06.2020 10:15:00;   478
03.07.2020 14:00:00;   447
04.08.2020 23:30:00;   567
01.09.2020 19:30:00;   393
30.10.2020 21:00:00;   371
01.11.2020 00:00:00;   345
26.12.2020 00:45:00;   284
31.01.2021 23:59:55;   404
06.02.2021 05:45:00;   409
27.03.2021 13:30:00;   285
02.04.2021 12:30:00;   300
14.05.2021 02:30:00;   409
10.06.2021 09:45:00;   424
19.07.2021 01:15:00;   600
30.08.2021 23:30:00;   500
01.09.2021 01:00:00;   481
07.10.2021 14:30:00;   290
04.11.2021 22:15:00;   291
30.12.2021 22:15:00;   427
01.01.2022 00:00:00;   400
