Messstelle:                ;Peigarten
07.11.2013 11:45:00;   136
10.12.2013 02:55:00;   141
21.01.2014 11:45:00;   143
10.02.2014 09:50:00;   135
23.03.2014 19:40:00;   136
04.04.2014 10:15:00;   129
27.05.2014 23:20:00;   165
01.06.2014 00:00:00;   135
21.07.2014 20:35:00;   158
03.08.2014 21:30:00;   148
14.09.2014 10:00:00;   174
23.10.2014 12:00:00;   173
18.11.2014 18:30:00;   147
07.12.2014 19:55:00;   145
10.01.2015 09:10:00;   278
01.02.2015 00:35:00;   148
02.03.2015 17:35:00;   155
02.04.2015 19:20:00;   154
24.05.2015 07:33:40;   155
13.06.2015 20:58:30;   143
08.07.2015 19:50:00;   126
17.08.2015 14:40:00;   145
09.09.2015 16:45:00;   133
16.10.2015 20:30:00;   143
21.11.2015 02:20:00;   171
01.12.2015 22:45:00;   196
27.01.2016 22:35:00;   151
01.02.2016 16:40:00;   166
03.03.2016 05:45:00;   163
09.04.2016 01:45:00;   138
13.05.2016 17:30:00;   145
30.06.2016 18:42:25;   151
22.07.2016 00:50:20;   171
21.08.2016 08:26:35;   129
06.09.2016 12:30:00;   127
06.10.2016 09:55:00;   136
19.11.2016 20:05:00;   137
28.12.2016 16:39:20;   152
13.01.2017 05:17:00;   132
21.02.2017 15:07:35;   188
19.03.2017 07:45:40;   190
28.04.2017 11:20:00;   153
01.05.2017 00:00:00;   141
07.06.2017 00:50:00;   128
21.07.2017 02:50:00;   160
11.08.2017 11:05:00;   128
17.09.2017 09:50:00;   131
29.10.2017 14:40:00;   140
30.11.2017 02:35:00;   137
31.12.2017 23:05:00;   143
01.01.2018 00:30:00;   143
01.02.2018 23:15:00;   138
08.03.2018 17:49:20;   149
01.04.2018 00:00:00;   133
10.05.2018 19:27:35;   168
13.06.2018 04:48:40;   260
01.07.2018 00:00:00;   129
25.08.2018 10:19:50;   133
04.09.2018 01:00:00;   149
24.10.2018 14:35:00;   134
03.11.2018 04:50:00;   138
24.12.2018 08:05:00;   179
14.01.2019 10:35:00;   165
22.02.2019 16:30:00;   194
16.03.2019 12:55:00;   197
01.04.2019 00:00:00;   146
12.05.2019 03:00:00;   145
23.06.2019 08:40:00;   151
29.07.2019 22:15:00;   134
29.08.2019 19:40:00;   145
02.09.2019 10:45:00;   141
09.10.2019 23:30:00;   138
05.11.2019 12:00:00;   135
21.12.2019 19:55:00;   150
09.01.2020 03:15:00;   131
03.02.2020 18:30:00;   157
06.03.2020 10:45:00;   138
19.04.2020 12:35:00;   134
23.05.2020 19:03:10;   148
29.06.2020 15:55:00;   167
02.07.2020 18:10:00;   154
04.08.2020 14:35:00;   182
06.09.2020 08:55:00;   197
14.10.2020 20:20:00;   215
04.11.2020 22:35:00;   165
24.12.2020 17:50:00;   139
30.01.2021 15:55:00;   207
04.02.2021 01:55:00;   191
05.03.2021 15:00:00;   150
01.04.2021 14:35:00;   136
13.05.2021 21:25:00;   166
23.06.2021 03:10:00;   205
14.07.2021 22:35:00;   166
05.08.2021 07:55:00;   176
17.09.2021 02:20:00;   151
20.10.2021 09:55:00;   139
02.11.2021 09:50:00;   133
29.12.2021 19:45:00;   159
