Messstelle:                ;Ebelsberg
30.05.2005 22:45:00;   382
01.06.2005 06:30:00;   290
12.07.2005 02:15:00;   573
16.08.2005 17:45:00;   595
18.09.2005 05:45:00;   312
01.10.2005 00:15:00;   204
06.11.2005 13:45:00;   147
18.12.2005 08:00:00;   197
03.01.2006 13:15:00;   230
17.02.2006 17:15:00;   208
29.03.2006 06:30:00;   518
01.04.2006 00:15:00;   466
28.05.2006 23:15:00;   457
03.06.2006 20:30:00;   515
01.07.2006 07:15:00;   261
07.08.2006 18:30:00;   631
19.09.2006 17:15:00;   400
21.10.2006 15:30:00;   131
15.11.2006 01:45:00;   351
11.12.2006 08:00:00;   111
19.01.2007 21:15:00;   383
28.02.2007 20:00:00;   226
03.03.2007 23:45:00;   278
16.04.2007 02:15:00;   231
12.05.2007 02:15:00;   231
26.06.2007 14:00:00;   242
10.07.2007 19:45:00;   306
31.08.2007 08:00:00;   211
07.09.2007 10:00:00;   599
29.10.2007 09:00:00;   203
12.11.2007 03:15:00;   412
08.12.2007 21:15:00;   263
28.01.2008 05:45:00;   194
08.02.2008 11:45:00;   153
15.03.2008 06:45:00;   419
23.04.2008 19:00:00;   327
20.05.2008 08:30:00;   260
12.06.2008 12:15:00;   246
24.07.2008 14:45:00;   319
16.08.2008 19:00:00;   383
16.09.2008 17:00:00;   188
23.10.2008 05:15:00;   167
21.11.2008 20:30:00;   327
21.12.2008 11:30:00;   328
21.01.2009 20:15:00;   137
28.02.2009 20:45:00;   258
13.03.2009 14:15:00;   338
07.04.2009 03:00:00;   349
31.05.2009 03:45:00;   356
24.06.2009 12:15:00;   682
18.07.2009 18:45:00;   435
04.08.2009 21:15:00;   421
05.09.2009 10:30:00;   292
24.10.2009 15:30:00;   224
26.11.2009 09:30:00;   163
26.12.2009 05:30:00;   251
01.01.2010 06:00:00;   127
27.02.2010 10:30:00;   236
27.03.2010 13:30:00;   250
14.04.2010 20:30:00;   212
22.05.2010 08:45:00;   333
03.06.2010 05:15:00;   587
05.07.2010 14:00:00;   570
31.08.2010 23:45:00;   340
01.09.2010 01:15:00;   345
26.10.2010 02:15:00;   154
02.11.2010 04:00:00;   143
25.12.2010 03:00:00;   176
14.01.2011 06:15:00;   518
12.02.2011 19:45:00;   219
18.03.2011 19:15:00;   204
02.04.2011 01:30:00;   188
28.05.2011 17:30:00;   271
24.06.2011 02:30:00;   218
21.07.2011 08:15:00;   341
05.08.2011 01:30:00;   293
05.09.2011 13:00:00;   194
10.10.2011 22:45:00;   450
25.11.2011 09:00:00;   112
08.12.2011 03:00:00;   149
22.01.2012 11:00:00;   510
29.02.2012 07:45:00;   343
01.03.2012 00:00:00;   316
16.04.2012 23:45:00;   290
03.05.2012 02:45:00;   289
13.06.2012 12:45:00;   509
21.07.2012 12:00:00;   218
31.08.2012 23:59:55;   226
01.09.2012 04:00:00;   267
08.10.2012 00:45:00;   139
05.11.2012 15:00:00;   220
23.12.2012 20:30:00;   528
05.01.2013 13:15:00;   538
02.02.2013 19:30:00;   335
21.03.2013 15:15:00;   198
20.04.2013 03:30:00;   309
31.05.2013 21:15:00;   483
02.06.2013 18:30:00;   704
04.07.2013 08:15:00;   375
29.08.2013 09:00:00;   435
19.09.2013 05:45:00;   513
17.10.2013 05:30:00;   284
07.11.2013 06:00:00;   358
11.12.2013 05:00:00;   227
22.01.2014 11:45:00;   231
11.02.2014 23:15:00;   240
24.03.2014 21:00:00;   258
22.04.2014 11:45:00;   235
28.05.2014 11:45:00;   506
01.06.2014 00:45:00;   304
31.07.2014 21:15:00;   437
04.08.2014 08:30:00;   463
14.09.2014 00:45:00;   469
23.10.2014 22:15:00;   615
05.11.2014 13:45:00;   273
19.12.2014 12:15:00;   130
11.01.2015 15:45:00;   474
11.02.2015 14:45:00;   160
30.03.2015 18:30:00;   330
02.04.2015 23:45:00;   311
24.05.2015 02:45:00;   477
23.06.2015 17:00:00;   299
02.07.2015 08:15:00;   158
20.08.2015 14:15:00;   159
25.09.2015 16:30:00;   229
08.10.2015 11:30:00;   305
16.11.2015 11:45:00;   152
02.12.2015 06:45:00;   368
26.01.2016 11:45:00;   186
01.02.2016 15:15:00;   520
03.03.2016 11:00:00;   143
18.04.2016 10:45:00;   247
13.05.2016 20:15:00;   484
27.06.2016 15:45:00;   334
14.07.2016 15:00:00;   492
10.08.2016 17:30:00;   361
07.09.2016 02:45:00;   319
05.10.2016 03:15:00;   199
17.11.2016 11:00:00;   244
27.12.2016 12:45:00;   118
06.01.2017 08:15:00;   158
22.02.2017 03:00:00;   353
19.03.2017 16:15:00;   474
29.04.2017 02:45:00;   262
09.05.2017 09:00:00;   482
07.06.2017 09:00:00;   213
27.07.2017 10:00:00;   486
07.08.2017 01:15:00;   347
03.09.2017 15:30:00;   462
09.10.2017 21:45:00;   307
13.11.2017 06:45:00;   261
31.12.2017 13:45:00;   307
05.01.2018 07:00:00;   468
01.02.2018 22:00:00;   165
08.03.2018 09:15:00;   189
26.04.2018 16:45:00;   301
01.05.2018 04:00:00;   210
28.06.2018 18:30:00;   481
01.07.2018 01:45:00;   292
14.08.2018 08:00:00;   198
24.09.2018 19:00:00;   163
25.10.2018 21:15:00;   266
28.11.2018 21:45:00;   102
24.12.2018 16:00:00;   525
14.01.2019 11:45:00;   346
22.02.2019 19:15:00;   285
16.03.2019 12:15:00;   327
30.04.2019 23:59:55;   256
29.05.2019 18:45:00;   485
07.06.2019 07:15:00;   294
29.07.2019 10:30:00;   372
08.08.2019 09:45:00;   207
05.09.2019 19:45:00;   227
10.10.2019 18:15:00;   204
29.11.2019 10:15:00;   209
26.12.2019 04:00:00;   301
23.01.2020 11:45:00;   189
03.02.2020 16:30:00;   537
05.03.2020 07:30:00;   255
21.04.2020 02:00:00;   215
26.05.2020 04:15:00;   337
16.06.2020 00:00:00;   477
19.07.2020 00:15:00;   323
04.08.2020 16:15:00;   539
26.09.2020 19:45:00;   350
30.10.2020 17:45:00;   364
01.11.2020 00:00:00;   261
23.12.2020 06:30:00;   160
29.01.2021 08:00:00;   347
04.02.2021 12:45:00;   271
31.03.2021 03:00:00;   200
02.04.2021 07:30:00;   235
13.05.2021 20:00:00;   358
06.06.2021 10:15:00;   282
18.07.2021 22:00:00;   495
17.08.2021 03:00:00;   352
01.09.2021 10:30:00;   288
19.10.2021 11:45:00;   176
05.11.2021 04:00:00;   150
30.12.2021 13:00:00;   486
