Messstelle:                ;Mörbisch am See (Zoll)
24.02.1982 23:00:00;   163
05.03.1982 22:30:00;   171
09.04.1982 05:30:00;   176
25.05.1982 02:00:00;   166
30.06.1982 21:00:00;   160
04.07.1982 13:00:00;   164
20.08.1982 20:00:00;   168
03.09.1982 10:00:00;   164
16.10.1982 13:00:00;   174
20.11.1982 14:30:00;   176
30.12.1982 13:00:00;   191
18.01.1983 15:00:00;   190
02.02.1983 02:00:00;   185
11.03.1983 19:00:00;   185
13.04.1983 20:00:00;   185
06.05.1983 18:30:00;   183
06.06.1983 23:00:00;   171
02.07.1983 17:00:00;   160
04.08.1983 14:30:00;   151
25.09.1983 12:30:00;   150
01.10.1983 11:30:00;   142
29.11.1983 15:00:00;   143
27.12.1983 12:00:00;   159
02.01.1984 15:00:00;   150
10.02.1984 12:00:00;   165
05.03.1984 14:00:00;   159
26.04.1984 22:30:00;   170
08.05.1984 03:30:00;   156
11.06.1984 17:30:00;   153
14.07.1984 00:00:00;   149
13.08.1984 12:30:00;   137
25.09.1984 15:00:00;   132
15.10.1984 16:30:00;   135
27.11.1984 13:00:00;   139
26.12.1984 04:30:00;   139
03.01.1985 05:00:00;   138
25.02.1985 15:30:00;   139
28.03.1985 14:00:00;   157
17.04.1985 12:30:00;   161
19.05.1985 16:00:00;   156
01.06.1985 21:30:00;   156
06.07.1985 14:00:00;   152
27.08.1985 15:00:00;   152
06.09.1985 14:30:00;   144
15.10.1985 16:30:00;   154
25.11.1985 09:30:00;   146
30.12.1985 05:30:00;   157
24.01.1986 20:00:00;   164
27.02.1986 20:30:00;   167
30.03.1986 17:15:00;   173
21.04.1986 08:45:00;   179
01.05.1986 10:45:00;   180
04.06.1986 15:00:00;   177
01.07.1986 12:00:00;   165
12.08.1986 17:45:00;   154
18.09.1986 23:15:00;   152
24.10.1986 12:15:00;   147
28.11.1986 15:00:00;   146
29.12.1986 07:45:00;   146
03.01.1987 14:00:00;   160
23.02.1987 09:45:00;   163
29.03.1987 20:30:00;   170
04.04.1987 19:15:00;   180
07.05.1987 02:00:00;   181
08.06.1987 22:00:00;   180
02.07.1987 19:15:00;   177
20.08.1987 13:15:00;   174
01.09.1987 00:00:00;   170
01.10.1987 00:00:00;   162
20.11.1987 14:45:00;   158
21.12.1987 08:30:00;   164
31.01.1988 13:45:00;   166
26.02.1988 22:30:00;   174
27.03.1988 14:15:00;   178
23.04.1988 20:15:00;   187
06.05.1988 14:15:00;   179
12.06.1988 18:15:00;   176
06.07.1988 16:30:00;   168
04.08.1988 00:00:00;   160
06.09.1988 15:00:00;   158
25.10.1988 20:30:00;   158
22.11.1988 00:45:00;   163
16.12.1988 02:00:00;   167
16.01.1989 11:30:00;   168
13.02.1989 07:30:00;   168
23.03.1989 17:30:00;   172
02.04.1989 03:00:00;   173
06.05.1989 20:00:00;   175
12.06.1989 14:00:00;   175
17.07.1989 10:00:00;   162
01.08.1989 23:45:00;   157
04.09.1989 17:30:00;   155
10.10.1989 13:00:00;   158
28.11.1989 18:30:00;   164
18.12.1989 01:00:00;   154
29.01.1990 09:00:00;   156
04.02.1990 14:30:00;   155
09.03.1990 21:45:00;   160
08.04.1990 18:00:00;   164
02.05.1990 18:45:00;   160
16.06.1990 16:00:00;   152
11.07.1990 16:15:00;   148
02.08.1990 21:15:00;   141
12.09.1990 14:30:00;   133
21.10.1990 15:45:00;   144
19.11.1990 00:00:00;   135
14.12.1990 12:15:00;   138
01.01.1991 19:15:00;   142
01.02.1991 09:30:00;   139
27.03.1991 14:00:00;   146
16.04.1991 23:15:00;   155
23.05.1991 19:00:00;   164
18.06.1991 17:30:00;   158
02.07.1991 17:00:00;   155
04.08.1991 15:30:00;   155
06.09.1991 13:15:00;   146
25.10.1991 09:45:00;   149
17.11.1991 10:45:00;   150
31.12.1991 23:59:55;   158
20.01.1992 11:45:00;   170
24.02.1992 11:45:00;   173
27.03.1992 17:15:00;   175
20.04.1992 14:15:00;   178
18.05.1992 09:15:00;   178
17.06.1992 19:45:00;   180
28.07.1992 09:15:00;   162
01.08.1992 20:45:00;   153
01.09.1992 04:30:00;   133
12.10.1992 12:30:00;   133
29.11.1992 01:45:00;   140
06.12.1992 15:15:00;   154
26.01.1993 06:00:00;   157
22.02.1993 22:15:00;   162
27.03.1993 16:45:00;   168
16.04.1993 11:00:00;   164
04.05.1993 14:45:00;   159
30.06.1993 23:59:55;   152
06.07.1993 17:15:00;   155
01.08.1993 00:45:00;   139
14.09.1993 18:00:00;   140
26.10.1993 00:45:00;   142
16.11.1993 23:15:00;   148
26.12.1993 20:00:00;   155
21.01.1994 11:30:00;   159
11.02.1994 23:45:00;   162
20.03.1994 02:30:00;   164
11.04.1994 10:30:00;   168
01.05.1994 19:30:00;   171
06.06.1994 14:00:00;   171
01.07.1994 16:45:00;   163
01.08.1994 00:15:00;   150
04.09.1994 12:15:00;   146
04.10.1994 16:15:00;   146
25.11.1994 22:00:00;   156
23.12.1994 08:15:00;   155
04.01.1995 15:00:00;   157
27.02.1995 12:30:00;   164
28.03.1995 06:00:00;   176
13.04.1995 15:30:00;   176
02.05.1995 13:15:00;   176
07.06.1995 18:15:00;   174
02.07.1995 06:30:00;   170
02.08.1995 19:15:00;   159
28.09.1995 09:15:00;   160
01.10.1995 10:45:00;   158
05.11.1995 18:45:00;   162
27.12.1995 12:00:00;   173
29.01.1996 16:00:00;   180
29.02.1996 23:59:55;   182
27.03.1996 20:00:00;   189
15.04.1996 17:00:00;   201
28.05.1996 14:30:00;   207
01.06.1996 00:00:00;   196
16.07.1996 19:45:00;   190
04.08.1996 17:00:00;   181
23.09.1996 20:45:00;   184
03.10.1996 16:15:00;   183
02.11.1996 10:00:00;   181
01.12.1996 14:00:00;   175
13.01.1997 07:03:20;   172
25.02.1997 10:55:55;   168
30.03.1997 14:59:30;   178
07.04.1997 12:14:05;   185
30.05.1997 13:43:45;   181
24.06.1997 15:51:20;   175
19.07.1997 21:31:40;   184
02.08.1997 12:41:45;   181
09.09.1997 16:41:10;   170
03.10.1997 00:31:45;   164
18.11.1997 14:30:40;   166
15.12.1997 12:39:00;   173
20.01.1998 20:03:55;   171
17.02.1998 17:00:15;   174
09.03.1998 16:18:40;   172
06.04.1998 17:47:10;   167
04.05.1998 23:01:20;   168
01.06.1998 21:05:10;   163
08.07.1998 11:01:05;   159
05.08.1998 11:18:35;   155
20.09.1998 12:10:30;   161
29.10.1998 19:45:50;   168
11.11.1998 15:55:55;   169
28.12.1998 08:01:10;   168
11.01.1999 21:24:15;   168
01.02.1999 11:21:25;   176
16.03.1999 17:37:20;   171
25.04.1999 15:05:05;   171
23.05.1999 12:09:15;   174
22.06.1999 09:21:15;   183
11.07.1999 20:11:20;   166
22.08.1999 16:21:10;   162
09.09.1999 20:39:20;   164
04.10.1999 01:16:05;   163
24.11.1999 03:37:25;   166
20.12.1999 12:49:15;   170
04.01.2000 00:15:00;   166
21.02.2000 09:00:00;   177
10.03.2000 17:00:00;   186
06.04.2000 08:45:00;   192
02.05.2000 18:00:00;   183
01.06.2000 04:15:00;   167
08.07.2000 21:30:00;   159
25.08.2000 17:45:00;   156
16.09.2000 20:45:00;   153
27.10.2000 02:30:00;   147
27.11.2000 11:30:00;   152
11.12.2000 05:45:00;   154
31.01.2001 14:00:00;   173
01.02.2001 13:00:00;   174
26.03.2001 16:00:00;   174
13.04.2001 05:15:00;   174
06.05.2001 09:00:00;   169
19.06.2001 11:30:00;   161
23.07.2001 15:45:00;   149
01.08.2001 19:45:00;   146
27.09.2001 04:30:00;   139
04.10.2001 14:00:00;   141
01.11.2001 02:45:00;   152
07.12.2001 21:15:00;   146
31.01.2002 00:15:00;   139
21.02.2002 23:30:00;   155
24.03.2002 13:30:00;   171
05.04.2002 15:30:00;   164
15.05.2002 15:00:00;   152
02.06.2002 14:15:00;   152
11.07.2002 14:30:00;   134
17.08.2002 08:45:00;   134
12.09.2002 16:00:00;   133
26.10.2002 15:00:00;   134
06.11.2002 03:15:00;   141
31.12.2002 04:15:00;   142
30.01.2003 12:15:00;   150
07.02.2003 02:30:00;   152
31.03.2003 17:45:00;   173
05.04.2003 21:00:00;   172
03.05.2003 11:15:00;   158
01.06.2003 22:30:00;   149
07.07.2003 20:00:00;   144
04.08.2003 17:45:00;   134
12.09.2003 14:00:00;   119
21.10.2003 20:30:00;   117
20.11.2003 04:45:00;   117
23.12.2003 13:45:00;   126
20.01.2004 18:30:00;   126
11.02.2004 21:00:00;   141
21.03.2004 19:00:00;   141
25.04.2004 08:30:00;   150
16.05.2004 14:45:00;   160
16.06.2004 08:00:00;   155
01.07.2004 18:45:00;   153
06.08.2004 00:30:00;   137
22.09.2004 00:45:00;   134
11.10.2004 09:45:00;   124
14.11.2004 15:00:00;   148
29.12.2004 12:45:00;   134
26.01.2005 10:30:00;   140
27.02.2005 16:15:00;   137
19.03.2005 14:15:00;   151
21.04.2005 12:00:00;   152
19.05.2005 12:15:00;   155
09.06.2005 11:45:00;   161
02.07.2005 13:15:00;   139
04.08.2005 15:00:00;   132
18.09.2005 10:30:00;   135
16.10.2005 12:30:00;   135
30.11.2005 12:30:00;   131
21.12.2005 12:45:00;   143
23.01.2006 01:49:00;   146
26.02.2006 14:36:00;   152
13.03.2006 14:52:00;   168
30.04.2006 12:39:00;   160
10.05.2006 19:54:00;   163
02.06.2006 14:55:00;   170
14.07.2006 15:56:00;   164
28.08.2006 23:26:55;   158
08.09.2006 10:27:10;   160
30.10.2006 04:43:00;   154
02.11.2006 12:13:00;   154
19.12.2006 12:14:00;   154
29.01.2007 11:48:00;   162
01.02.2007 19:04:00;   161
31.03.2007 03:50:00;   165
08.04.2007 20:05:00;   172
18.05.2007 17:21:00;   175
03.06.2007 16:51:00;   160
02.07.2007 22:36:00;   146
04.08.2007 16:52:00;   136
19.09.2007 09:53:00;   145
13.10.2007 10:53:00;   152
15.11.2007 10:54:00;   161
13.12.2007 15:25:00;   172
28.01.2008 02:33:00;   174
16.02.2008 14:04:00;   184
05.03.2008 16:19:00;   173
04.04.2008 13:06:00;   175
06.05.2008 17:21:00;   172
12.06.2008 05:54:00;   168
24.07.2008 07:55:30;   174
04.08.2008 17:25:40;   170
13.09.2008 09:11:20;   166
23.10.2008 06:34:50;   163
21.11.2008 22:50:00;   166
25.12.2008 08:36:00;   175
31.01.2009 03:52:00;   176
08.02.2009 23:37:00;   184
18.03.2009 02:54:00;   194
03.04.2009 05:09:20;   187
02.05.2009 13:39:55;   187
29.06.2009 18:15:00;   188
02.07.2009 18:45:00;   187
04.08.2009 10:45:00;   183
12.09.2009 00:30:00;   177
13.10.2009 13:00:00;   182
26.11.2009 06:00:00;   179
13.12.2009 01:15:00;   180
02.01.2010 19:00:00;   181
27.02.2010 11:30:00;   181
05.03.2010 09:45:00;   184
17.04.2010 00:45:00;   185
18.05.2010 03:15:00;   187
22.06.2010 10:30:00;   194
03.07.2010 17:00:00;   184
31.08.2010 21:45:00;   184
01.09.2010 01:00:00;   186
05.10.2010 22:15:00;   185
30.11.2010 17:00:00;   180
13.12.2010 14:00:00;   186
27.01.2011 22:00:00;   180
12.02.2011 08:45:00;   186
20.03.2011 13:15:00;   191
09.04.2011 15:45:00;   190
01.05.2011 18:22:30;   183
03.06.2011 17:45:00;   177
01.07.2011 10:15:00;   173
10.08.2011 09:00:00;   168
14.09.2011 15:00:00;   173
12.10.2011 09:45:00;   165
10.11.2011 13:00:00;   161
17.12.2011 02:30:00;   164
14.01.2012 21:15:00;   169
27.02.2012 13:00:00;   171
11.03.2012 17:00:00;   172
08.04.2012 15:00:00;   169
12.05.2012 17:15:00;   170
05.06.2012 11:45:00;   164
22.07.2012 13:45:00;   157
06.08.2012 23:30:00;   159
13.09.2012 14:00:00;   152
28.10.2012 15:45:00;   155
29.11.2012 22:30:00;   156
28.12.2012 17:15:00;   163
07.01.2013 04:30:00;   169
26.02.2013 23:00:00;   179
15.03.2013 00:45:00;   198
07.04.2013 11:00:00;   192
02.05.2013 07:00:00;   187
12.06.2013 17:15:00;   184
05.07.2013 17:45:00;   177
10.08.2013 10:45:00;   160
19.09.2013 11:30:00;   160
16.10.2013 16:15:00;   156
25.11.2013 04:00:00;   175
04.12.2013 23:00:00;   169
25.01.2014 19:30:00;   176
23.02.2014 12:45:00;   175
05.03.2014 16:00:00;   180
16.04.2014 18:00:00;   183
04.05.2014 11:30:00;   187
01.06.2014 14:45:00;   178
30.07.2014 23:00:00;   174
06.08.2014 12:15:00;   177
22.09.2014 09:45:00;   189
23.10.2014 18:30:00;   197
08.11.2014 00:15:00;   182
28.12.2014 23:15:00;   192
23.01.2015 23:30:00;   187
08.02.2015 13:30:00;   184
28.03.2015 12:15:00;   183
06.04.2015 16:15:00;   187
27.05.2015 10:00:00;   185
04.06.2015 17:00:00;   181
08.07.2015 12:30:00;   173
05.08.2015 09:45:00;   160
28.09.2015 09:30:00;   158
20.10.2015 06:30:00;   164
26.11.2015 19:45:00;   165
01.12.2015 16:15:00;   161
17.01.2016 16:00:00;   167
24.02.2016 00:45:00;   178
10.03.2016 17:30:00;   179
01.04.2016 16:00:00;   184
15.05.2016 02:30:00;   178
04.06.2016 19:15:00;   174
02.07.2016 21:15:00;   169
01.08.2016 08:45:00;   164
06.09.2016 09:30:00;   161
04.10.2016 15:45:00;   159
12.11.2016 21:15:00;   164
12.12.2016 21:00:00;   167
05.01.2017 15:45:00;   166
28.02.2017 13:00:00;   167
26.03.2017 06:30:00;   172
20.04.2017 05:30:00;   177
09.05.2017 09:15:00;   172
17.06.2017 18:45:00;   164
13.07.2017 12:30:00;   156
11.08.2017 11:00:00;   151
20.09.2017 13:00:00;   148
29.10.2017 23:45:00;   150
26.11.2017 09:15:00;   149
29.12.2017 02:30:00;   155
30.01.2018 04:00:00;   157
24.02.2018 19:15:00;   168
18.03.2018 02:15:00;   165
06.04.2018 10:30:00;   171
15.05.2018 12:00:00;   167
30.06.2018 17:45:00;   166
07.07.2018 11:45:00;   156
01.08.2018 17:30:00;   150
24.09.2018 05:00:00;   153
24.10.2018 12:00:00;   146
27.11.2018 10:45:00;   152
24.12.2018 10:30:00;   159
14.01.2019 12:30:00;   168
22.02.2019 15:45:00;   179
16.03.2019 05:15:00;   166
12.04.2019 15:00:00;   162
30.05.2019 14:00:00;   168
01.06.2019 11:30:00;   163
01.07.2019 20:00:00;   160
03.08.2019 10:45:00;   143
18.09.2019 05:15:00;   143
05.10.2019 21:45:00;   138
29.11.2019 22:45:00;   143
28.12.2019 15:15:00;   154
05.01.2020 12:15:00;   150
05.02.2020 14:45:00;   169
23.03.2020 10:15:00;   159
25.04.2020 15:15:00;   152
06.05.2020 14:00:00;   146
23.06.2020 11:30:00;   143
06.07.2020 18:00:00;   140
05.08.2020 04:30:00;   129
17.09.2020 17:30:00;   134
13.10.2020 09:45:00;   141
20.11.2020 09:15:00;   144
26.12.2020 00:15:00;   148
30.01.2021 18:15:00;   159
11.02.2021 06:30:00;   161
08.03.2021 17:15:00;   161
06.04.2021 01:30:00;   163
05.05.2021 14:15:00;   155
13.06.2021 18:00:00;   160
18.07.2021 18:00:00;   137
24.08.2021 21:15:00;   130
01.09.2021 11:00:00;   123
13.10.2021 12:00:00;   124
20.11.2021 01:00:00;   124
19.12.2021 06:15:00;   138
