Messstelle:                ;Au
09.07.1983 19:30:00;    91
23.08.1983 18:00:00;   112
11.09.1983 02:00:00;   118
09.10.1983 16:30:00;    76
27.11.1983 09:30:00;   120
24.12.1983 06:30:00;   104
15.01.1984 01:30:00;    46
17.02.1984 15:00:00;    41
28.03.1984 17:30:00;    41
24.04.1984 19:00:00;    77
06.05.1984 21:00:00;    89
24.06.1984 10:00:00;   145
25.07.1984 21:30:00;   113
11.08.1984 23:00:00;   110
17.09.1984 04:00:00;   116
02.10.1984 05:30:00;    57
23.11.1984 09:30:00;    67
21.12.1984 17:00:00;    27
23.01.1985 18:00:00;    34
03.02.1985 01:30:00;    83
31.03.1985 23:59:55;    30
21.04.1985 20:00:00;    58
17.05.1985 19:30:00;    88
15.06.1985 10:30:00;   102
06.07.1985 20:00:00;   114
25.08.1985 23:00:00;   137
03.09.1985 18:00:00;    69
19.10.1985 09:30:00;    20
10.11.1985 16:30:00;    68
04.12.1985 19:00:00;    39
24.01.1986 04:45:00;    34
27.02.1986 12:00:00;    19
25.03.1986 00:30:00;    58
30.04.1986 22:15:00;    77
19.05.1986 20:15:00;   126
24.06.1986 01:15:00;   108
06.07.1986 17:00:00;   121
23.08.1986 11:30:00;   105
17.09.1986 19:30:00;    71
23.10.1986 05:00:00;    86
02.11.1986 13:45:00;    41
19.12.1986 08:15:00;    55
02.01.1987 00:45:00;    56
28.02.1987 18:45:00;    46
02.03.1987 21:45:00;    76
20.04.1987 22:00:00;    89
01.05.1987 20:15:00;    88
25.06.1987 05:30:00;   117
01.07.1987 16:30:00;   134
03.08.1987 02:00:00;   123
26.09.1987 22:15:00;   100
18.10.1987 01:45:00;    42
16.11.1987 22:45:00;    64
19.12.1987 04:15:00;   130
05.01.1988 09:00:00;    35
18.02.1988 04:00:00;    24
22.03.1988 00:15:00;    61
19.04.1988 20:15:00;    79
09.05.1988 23:30:00;   100
02.06.1988 02:15:00;    93
14.07.1988 06:15:00;   112
20.08.1988 20:30:00;   138
02.09.1988 12:45:00;    93
07.10.1988 15:45:00;    54
13.11.1988 20:30:00;    60
05.12.1988 05:45:00;   113
09.01.1989 23:15:00;    30
22.02.1989 04:30:00;    54
30.03.1989 17:45:00;    64
02.04.1989 07:15:00;    69
18.05.1989 19:45:00;    75
22.06.1989 23:15:00;    89
02.07.1989 18:15:00;    92
08.08.1989 12:30:00;   112
03.09.1989 02:45:00;    70
15.10.1989 00:15:00;    66
09.11.1989 06:45:00;    45
17.12.1989 11:00:00;    52
26.01.1990 06:00:00;    37
15.02.1990 14:15:00;   126
23.03.1990 07:30:00;    60
30.04.1990 21:45:00;    57
25.05.1990 12:30:00;    89
06.06.1990 04:45:00;   105
08.07.1990 11:00:00;   115
17.08.1990 09:00:00;    67
24.09.1990 08:00:00;   112
30.10.1990 06:30:00;    88
11.11.1990 19:00:00;    62
31.12.1990 23:59:55;    37
03.01.1991 05:15:00;    80
26.02.1991 20:45:00;    32
20.03.1991 07:00:00;    63
16.04.1991 18:00:00;    44
12.05.1991 00:30:00;    73
16.06.1991 21:30:00;   127
14.07.1991 23:45:00;   117
02.08.1991 02:15:00;    87
27.09.1991 01:15:00;    77
01.10.1991 00:00:00;    42
09.11.1991 15:30:00;    36
22.12.1991 20:00:00;   117
01.01.1992 00:00:00;    24
13.02.1992 05:00:00;    35
15.03.1992 21:00:00;    59
28.04.1992 20:30:00;   101
14.05.1992 17:15:00;    95
03.06.1992 16:15:00;    80
11.07.1992 12:15:00;    77
31.08.1992 23:59:55;    69
04.09.1992 14:00:00;    74
26.10.1992 01:00:00;    62
22.11.1992 17:30:00;   137
01.12.1992 00:00:00;    53
12.01.1993 19:00:00;    61
08.02.1993 22:00:00;    27
18.03.1993 19:00:00;    61
28.04.1993 18:15:00;    76
28.05.1993 05:45:00;    79
17.06.1993 14:00:00;   132
18.07.1993 17:45:00;   147
10.08.1993 15:15:00;   105
04.09.1993 07:15:00;    76
13.10.1993 04:30:00;    50
07.11.1993 05:30:00;    45
20.12.1993 09:15:00;   115
25.01.1994 19:45:00;    57
28.02.1994 23:59:55;    28
26.03.1994 08:15:00;    84
30.04.1994 18:15:00;    78
25.05.1994 02:15:00;   100
09.06.1994 08:15:00;    99
07.07.1994 01:00:00;    87
11.08.1994 01:45:00;    99
08.09.1994 22:45:00;    98
04.10.1994 02:00:00;    57
20.11.1994 04:30:00;    86
10.12.1994 07:45:00;    79
25.01.1995 21:45:00;    82
16.02.1995 10:15:00;    43
20.03.1995 00:00:00;    48
25.04.1995 21:00:00;    89
09.05.1995 11:30:00;   104
01.06.1995 20:30:00;   112
11.07.1995 19:00:00;    83
29.08.1995 05:30:00;   122
07.09.1995 20:00:00;    88
01.10.1995 20:45:00;    56
17.11.1995 03:30:00;    52
25.12.1995 02:30:00;    59
12.01.1996 22:15:00;    33
01.02.1996 15:45:00;    21
23.03.1996 11:00:00;    71
23.04.1996 15:45:00;    76
28.05.1996 05:15:00;   122
21.06.1996 23:45:00;    89
10.07.1996 19:00:00;   107
02.08.1996 18:45:00;    95
23.09.1996 21:00:00;    82
21.10.1996 15:15:00;   120
01.11.1996 13:45:00;   102
24.12.1996 01:00:00;    43
01.01.1997 00:00:05;    27
26.02.1997 13:52:35;    59
28.03.1997 12:58:05;    65
29.04.1997 06:24:40;    68
15.05.1997 19:54:25;    92
19.06.1997 21:01:20;    80
06.07.1997 04:13:10;   140
29.08.1997 08:49:20;    89
13.09.1997 22:11:40;    47
12.10.1997 05:45:45;   110
16.11.1997 18:05:15;    34
12.12.1997 04:06:25;    91
30.01.1998 11:51:25;    36
27.02.1998 22:51:20;    31
31.03.1998 18:32:25;    68
27.04.1998 17:21:10;    80
10.05.1998 18:53:50;    74
12.06.1998 20:27:55;    73
08.07.1998 22:03:25;    77
23.08.1998 01:15:00;   113
16.09.1998 23:51:00;    87
25.10.1998 08:09:10;   110
01.11.1998 14:18:40;    99
13.12.1998 14:03:40;    60
09.01.1999 00:14:40;    34
20.02.1999 20:45:00;    67
11.03.1999 12:30:00;    55
30.04.1999 01:34:05;    89
22.05.1999 05:43:40;   190
02.06.1999 23:59:05;   113
12.07.1999 05:22:25;    79
10.08.1999 11:44:20;   105
26.09.1999 10:44:40;   121
01.10.1999 00:00:00;    62
21.11.1999 12:50:35;    25
19.12.1999 09:24:15;    60
30.01.2000 21:15:00;    69
09.02.2000 03:41:55;    64
10.03.2000 07:43:00;    66
30.04.2000 18:13:20;    81
31.05.2000 10:50:10;   116
03.06.2000 18:59:45;    90
28.07.2000 23:53:10;    89
06.08.2000 11:11:05;   158
21.09.2000 07:53:55;   111
02.10.2000 19:44:25;    52
28.11.2000 12:09:35;    55
08.12.2000 21:18:20;    41
24.01.2001 23:48:50;    37
08.02.2001 18:43:25;    43
21.03.2001 20:58:35;    70
30.04.2001 17:54:55;    74
02.05.2001 18:21:05;    82
19.06.2001 02:04:05;   124
20.07.2001 10:16:20;   145
10.08.2001 06:20:40;    86
09.09.2001 01:06:10;   137
25.10.2001 18:37:35;    43
30.11.2001 23:59:55;    54
01.12.2001 21:04:15;    65
27.01.2002 20:30:30;    76
27.02.2002 16:11:20;    44
20.03.2002 00:55:15;   144
27.04.2002 01:22:25;    83
18.05.2002 22:25:00;    87
07.06.2002 11:40:40;   101
04.07.2002 04:16:35;   106
12.08.2002 00:43:45;   188
20.09.2002 22:34:15;    86
17.10.2002 15:15:45;    73
03.11.2002 18:35:20;    96
23.12.2002 04:15:15;    76
02.01.2003 19:59:15;    63
28.02.2003 20:39:00;    27
31.03.2003 06:20:45;    56
30.04.2003 23:59:55;    81
22.05.2003 20:45:50;    91
01.06.2003 00:00:00;    72
24.07.2003 19:19:10;    74
31.08.2003 07:31:10;    61
11.09.2003 10:05:05;    80
09.10.2003 09:45:20;   148
01.11.2003 12:07:30;    37
14.12.2003 12:49:30;    34
14.01.2004 02:05:40;    94
07.02.2004 16:19:10;    43
21.03.2004 18:32:35;    58
23.04.2004 22:16:15;    74
19.05.2004 18:11:05;    80
03.06.2004 23:35:50;   117
09.07.2004 03:52:40;   116
15.08.2004 02:02:25;    77
24.09.2004 01:31:45;   127
20.10.2004 00:12:30;    78
24.11.2004 07:00:30;    35
24.12.2004 00:45:45;    27
21.01.2005 10:40:20;    41
13.02.2005 01:53:50;    54
23.03.2005 20:25:30;    70
30.04.2005 19:18:00;    74
03.05.2005 20:05:55;    97
25.06.2005 17:30:00;    91
11.07.2005 21:42:55;    87
23.08.2005 00:27:20;   285
29.09.2005 22:00:55;    72
02.10.2005 03:02:20;    77
05.11.2005 14:45:00;    27
31.12.2005 14:51:25;    21
01.01.2006 00:45:00;    49
16.02.2006 17:42:00;    72
31.03.2006 15:36:50;   117
28.04.2006 14:51:50;   147
28.05.2006 19:15:00;   203
04.06.2006 22:45:00;   102
08.07.2006 10:23:15;   102
06.08.2006 12:21:15;   172
17.09.2006 03:56:15;   242
03.10.2006 21:11:15;   150
14.11.2006 11:21:15;   126
06.12.2006 17:45:00;    72
19.01.2007 07:45:00;   126
28.02.2007 17:20:00;    91
03.03.2007 15:50:00;   107
15.04.2007 19:15:00;   104
17.05.2007 22:05:00;   152
26.06.2007 00:40:00;   130
09.07.2007 15:05:00;   145
09.08.2007 04:55:00;   136
04.09.2007 00:25:00;   141
01.10.2007 00:00:00;    74
22.11.2007 07:25:00;    89
07.12.2007 18:25:00;   104
07.01.2008 14:24:40;    84
29.02.2008 21:10:00;    87
01.03.2008 16:05:00;   116
29.04.2008 05:25:00;   123
28.05.2008 16:50:00;   127
01.06.2008 18:25:00;   108
20.07.2008 21:30:00;   195
15.08.2008 19:55:00;   140
14.09.2008 12:20:00;   104
16.10.2008 21:15:00;   106
01.11.2008 16:55:00;    70
21.12.2008 16:40:00;    75
23.01.2009 21:20:00;    53
28.02.2009 23:59:55;    45
31.03.2009 23:45:00;    61
16.04.2009 21:25:00;   110
12.05.2009 18:05:00;   119
06.06.2009 19:05:00;   153
18.07.2009 16:30:00;   143
04.08.2009 04:15:00;   116
04.09.2009 22:35:00;   117
12.10.2009 07:00:00;   103
18.11.2009 10:20:00;   100
25.12.2009 11:45:00;    83
01.01.2010 00:55:00;    60
28.02.2010 18:05:00;    62
21.03.2010 21:40:00;    95
24.04.2010 18:50:00;    99
31.05.2010 03:25:00;   153
03.06.2010 06:30:00;   161
30.07.2010 04:40:00;   139
06.08.2010 05:15:00;   175
01.09.2010 00:35:00;   109
31.10.2010 20:25:00;    70
12.11.2010 16:35:00;   131
09.12.2010 04:25:00;    84
13.01.2011 12:55:00;   116
12.02.2011 22:40:00;    43
31.03.2011 23:35:00;    77
04.04.2011 11:35:00;    90
31.05.2011 22:50:00;   121
18.06.2011 16:30:00;   163
13.07.2011 21:45:00;   136
07.08.2011 12:35:00;   113
18.09.2011 13:10:00;    97
10.10.2011 11:55:00;   187
01.11.2011 03:00:00;    37
16.12.2011 18:45:00;    68
01.01.2012 09:45:00;    79
26.02.2012 07:35:00;    54
28.03.2012 22:35:00;    83
29.04.2012 16:15:00;   132
12.05.2012 14:45:00;   113
04.06.2012 02:25:00;   148
05.07.2012 20:05:00;    92
26.08.2012 00:35:00;   160
24.09.2012 17:00:00;   115
09.10.2012 22:15:00;   186
11.11.2012 16:35:00;    81
23.12.2012 08:30:00;    92
31.01.2013 01:20:00;    99
02.02.2013 06:05:00;    88
09.03.2013 05:05:00;    66
18.04.2013 19:00:00;   118
31.05.2013 23:59:55;   146
02.06.2013 02:30:00;   192
03.07.2013 18:50:00;    96
25.08.2013 06:30:00;    94
19.09.2013 04:10:00;   154
16.10.2013 01:25:00;   105
06.11.2013 15:45:00;   146
25.12.2013 18:25:00;    45
10.01.2014 06:35:00;    49
15.02.2014 22:35:00;    46
20.03.2014 19:35:00;    70
26.04.2014 20:40:00;    90
01.05.2014 22:35:00;   116
29.06.2014 19:20:00;   115
31.07.2014 03:40:00;   146
27.08.2014 08:40:00;   116
01.09.2014 04:50:00;   130
21.10.2014 22:25:00;   100
04.11.2014 18:35:00;    67
18.12.2014 22:55:00;   100
04.01.2015 03:35:00;   110
21.02.2015 00:40:00;    44
30.03.2015 14:10:00;   109
17.04.2015 21:35:00;   126
02.05.2015 05:45:00;   138
23.06.2015 05:30:00;   131
27.07.2015 06:20:00;    66
19.08.2015 03:10:00;    85
14.09.2015 10:50:00;   101
07.10.2015 12:30:00;    79
20.11.2015 22:50:00;   117
17.12.2015 02:45:00;    85
31.01.2016 23:59:55;   101
01.02.2016 03:40:00;   123
31.03.2016 23:00:00;    90
04.04.2016 17:35:00;   105
14.05.2016 11:55:00;   119
17.06.2016 01:10:00;   150
14.07.2016 11:00:00;   133
05.08.2016 13:25:00;   144
05.09.2016 07:05:00;   120
25.10.2016 19:15:00;    77
21.11.2016 20:05:00;    81
01.12.2016 15:05:00;    48
31.01.2017 19:10:00;    82
21.02.2017 19:40:00;    79
09.03.2017 19:35:00;   117
25.04.2017 20:20:00;    81
14.05.2017 01:25:00;   117
06.06.2017 16:55:00;   110
26.07.2017 09:35:00;   156
12.08.2017 04:40:00;   102
01.09.2017 07:20:00;   133
03.10.2017 11:05:00;   144
12.11.2017 06:20:00;    96
31.12.2017 04:20:00;    84
04.01.2018 22:35:00;   124
16.02.2018 10:35:00;    79
29.03.2018 06:05:00;    64
23.04.2018 22:05:00;   117
14.05.2018 21:15:00;   135
12.06.2018 14:40:00;   114
23.07.2018 09:25:00;    81
23.08.2018 19:00:00;    94
24.09.2018 01:00:00;   111
29.10.2018 21:50:00;    86
01.11.2018 00:00:00;    42
24.12.2018 07:35:00;   165
14.01.2019 05:40:00;    56
28.02.2019 20:05:00;    64
10.03.2019 22:05:00;    81
24.04.2019 18:50:00;   108
21.05.2019 03:25:00;   166
03.06.2019 19:25:00;   121
28.07.2019 21:35:00;   129
12.08.2019 22:35:00;   139
09.09.2019 09:20:00;    84
07.10.2019 01:30:00;   118
03.11.2019 23:20:00;    72
17.12.2019 18:05:00;    73
31.01.2020 19:35:00;    66
03.02.2020 17:25:00;   168
13.03.2020 06:30:00;    87
29.04.2020 01:45:00;    87
06.05.2020 01:20:00;   101
11.06.2020 05:00:00;   148
17.07.2020 04:45:00;   115
04.08.2020 04:30:00;   145
25.09.2020 05:20:00;    96
30.10.2020 02:55:00;   107
01.11.2020 00:10:00;    68
22.12.2020 04:40:00;    67
28.01.2021 23:05:00;    88
03.02.2021 22:45:00;    81
31.03.2021 20:05:00;    81
30.04.2021 19:25:00;    89
11.05.2021 20:15:00;   111
05.06.2021 17:15:00;    98
18.07.2021 03:45:00;   144
29.08.2021 22:30:00;   161
01.09.2021 00:15:00;    91
06.10.2021 04:00:00;    66
14.11.2021 01:50:00;    62
30.12.2021 04:45:00;   120
01.01.2022 00:00:00;    77
