Messstelle:                ;Wörth an der Lafnitz
23.04.1981 15:00:00;    69
18.05.1981 05:30:00;   109
13.06.1981 20:00:00;   164
19.07.1981 18:00:00;    86
04.08.1981 04:00:00;    85
14.09.1981 10:30:00;   207
23.10.1981 06:30:00;   204
04.11.1981 08:30:00;    81
17.12.1981 06:00:00;    57
02.01.1982 10:30:00;   177
01.02.1982 00:00:00;   167
19.03.1982 14:30:00;   119
09.04.1982 09:30:00;    74
11.05.1982 16:15:00;   114
28.06.1982 00:45:00;   185
24.07.1982 00:45:00;   127
08.08.1982 07:00:00;   195
08.09.1982 13:45:00;    89
07.10.1982 03:00:00;   398
14.11.1982 13:30:00;   118
19.12.1982 00:30:00;   158
18.01.1983 03:45:00;   103
01.02.1983 12:00:00;    72
30.03.1983 09:15:00;    75
02.04.1983 10:45:00;    74
25.05.1983 05:15:00;    74
07.06.1983 10:30:00;    88
25.07.1983 03:30:00;    97
03.08.1983 09:45:00;    58
04.09.1983 08:00:00;    75
17.10.1983 19:30:00;    80
28.11.1983 09:15:00;    58
20.12.1983 23:00:00;    84
12.01.1984 07:15:00;    47
12.02.1984 07:45:00;    49
29.03.1984 06:15:00;    90
03.04.1984 11:30:00;   152
21.05.1984 15:30:00;   117
22.06.1984 01:45:00;    86
01.07.1984 10:00:00;    56
02.08.1984 01:30:00;   108
24.09.1984 12:30:00;   102
04.10.1984 12:30:00;   119
20.11.1984 17:15:00;    48
08.12.1984 09:15:00;    51
03.01.1985 01:00:00;    46
03.02.1985 00:01:00;    73
23.03.1985 03:00:00;   192
01.04.1985 03:15:00;    86
08.05.1985 02:00:00;   173
09.06.1985 13:45:00;    69
19.07.1985 23:45:00;    76
07.08.1985 10:45:00;   165
02.09.1985 11:30:00;    63
09.10.1985 07:30:00;    44
25.11.1985 09:00:00;    55
30.12.1985 08:15:00;    67
27.01.1986 07:30:00;    78
26.02.1986 08:15:00;    51
17.03.1986 22:45:00;    97
10.04.1986 06:15:00;   110
30.05.1986 12:15:00;   161
21.06.1986 14:30:00;   133
25.07.1986 02:30:00;    73
20.08.1986 06:45:00;   149
11.09.1986 02:15:00;    72
08.10.1986 06:45:00;    56
24.11.1986 08:15:00;   114
01.12.1986 06:30:00;    42
05.01.1987 17:00:00;    40
21.02.1987 02:00:00;   134
29.03.1987 06:00:00;   130
04.04.1987 20:00:00;    78
14.05.1987 04:30:00;    92
05.06.1987 02:15:00;   122
04.07.1987 02:45:00;   125
19.08.1987 05:00:00;   143
06.09.1987 21:45:00;   115
27.10.1987 06:30:00;    77
25.11.1987 14:15:00;    94
18.12.1987 15:30:00;    96
30.01.1988 20:15:00;    78
08.02.1988 13:00:00;    69
31.03.1988 23:59:55;    58
10.04.1988 12:45:00;    61
20.05.1988 22:45:00;    97
06.06.1988 17:15:00;   128
19.07.1988 04:00:00;    63
21.08.1988 17:00:00;   118
03.09.1988 03:15:00;    57
08.10.1988 08:30:00;    57
07.11.1988 17:00:00;    50
02.12.1988 23:30:00;    71
13.01.1989 07:15:00;    43
26.02.1989 19:30:00;    84
04.03.1989 17:00:00;    56
02.04.1989 07:45:00;    87
19.05.1989 05:30:00;    79
03.06.1989 00:15:00;   133
12.07.1989 12:15:00;   167
20.08.1989 02:00:00;   186
28.09.1989 12:45:00;   197
01.10.1989 00:00:00;    66
07.11.1989 06:15:00;    99
20.12.1989 10:45:00;    62
18.01.1990 13:30:00;    51
16.02.1990 07:30:00;    53
12.03.1990 05:45:00;    55
24.04.1990 01:00:00;    93
26.05.1990 05:30:00;   124
10.06.1990 07:45:00;   145
01.07.1990 19:00:00;   161
18.08.1990 03:00:00;    75
24.09.1990 18:45:00;    79
30.10.1990 06:00:00;    91
01.11.1990 19:15:00;   110
10.12.1990 20:15:00;   114
09.01.1991 06:15:00;    51
25.02.1991 07:30:00;    85
07.03.1991 07:45:00;    53
06.04.1991 12:45:00;    47
04.05.1991 08:00:00;   123
28.06.1991 08:15:00;   148
21.07.1991 22:30:00;   159
01.08.1991 19:15:00;   170
23.09.1991 19:30:00;   121
09.10.1991 02:00:00;   109
25.11.1991 10:00:00;   179
01.12.1991 00:00:00;    82
11.01.1992 06:30:00;    61
07.02.1992 01:30:00;    54
27.03.1992 20:15:00;    63
16.04.1992 13:30:00;    64
11.05.1992 04:15:00;    66
12.06.1992 23:30:00;   147
07.07.1992 19:30:00;    93
04.08.1992 20:45:00;    96
01.09.1992 16:15:00;   103
05.10.1992 11:00:00;   121
18.11.1992 03:15:00;   133
06.12.1992 16:15:00;   252
31.01.1993 04:15:00;    42
01.02.1993 06:30:00;    53
18.03.1993 17:00:00;    43
13.04.1993 17:45:00;    41
16.05.1993 04:30:00;    50
24.06.1993 09:00:00;   109
21.07.1993 04:30:00;    72
25.08.1993 14:00:00;    66
30.09.1993 01:45:00;    61
24.10.1993 11:15:00;   230
06.11.1993 12:00:00;   123
25.12.1993 06:30:00;    74
05.01.1994 12:15:00;    65
16.02.1994 07:00:00;    51
05.03.1994 15:00:00;    42
12.04.1994 03:45:00;    64
25.05.1994 09:45:00;    63
21.06.1994 01:15:00;    74
20.07.1994 00:45:00;   153
23.08.1994 06:30:00;   136
03.09.1994 15:45:00;    99
25.10.1994 02:15:00;    67
11.11.1994 21:00:00;    57
22.12.1994 05:45:00;    40
15.01.1995 07:30:00;    40
27.02.1995 04:30:00;    62
05.03.1995 00:45:00;   150
25.04.1995 21:45:00;    72
30.05.1995 22:45:00;    72
22.06.1995 10:30:00;   194
17.07.1995 08:00:00;   142
28.08.1995 18:45:00;   124
20.09.1995 11:00:00;   109
01.10.1995 21:30:00;    48
04.11.1995 13:30:00;    41
28.12.1995 20:15:00;    45
09.01.1996 09:00:00;    64
01.02.1996 08:15:00;    44
26.03.1996 00:00:00;   142
05.04.1996 01:15:00;   264
27.05.1996 17:45:00;   171
23.06.1996 01:15:00;   135
03.07.1996 08:00:00;   128
25.08.1996 19:15:00;   124
23.09.1996 22:15:00;   165
22.10.1996 11:30:00;   177
19.11.1996 03:00:00;    86
21.12.1996 11:15:00;    50
29.01.1997 22:43:35;    45
13.02.1997 07:52:05;    59
18.03.1997 00:47:05;    65
06.04.1997 19:58:35;    53
22.05.1997 10:00:55;    80
17.06.1997 11:54:35;   143
24.07.1997 07:26:15;   159
01.08.1997 14:11:15;   251
08.09.1997 03:14:50;   145
02.10.1997 21:52:05;    50
13.11.1997 23:36:35;    58
21.12.1997 03:14:15;   118
01.01.1998 01:20:50;    43
03.02.1998 09:58:25;    41
18.03.1998 07:33:50;    46
07.04.1998 04:01:25;    59
31.05.1998 23:23:25;   108
27.06.1998 04:31:55;   314
28.07.1998 06:12:10;   148
05.08.1998 10:09:20;   168
06.09.1998 08:52:05;   307
20.10.1998 06:21:55;    95
11.11.1998 07:34:45;    81
16.12.1998 06:25:00;    51
30.01.1999 09:01:25;    42
06.02.1999 05:27:50;    46
06.03.1999 06:45:45;    49
17.04.1999 19:50:10;    74
21.05.1999 10:28:55;   212
16.06.1999 21:39:05;    85
11.07.1999 12:27:55;   118
21.08.1999 05:45:55;   188
08.09.1999 02:26:55;   237
04.10.1999 14:37:45;    66
10.11.1999 10:49:25;    48
11.12.1999 12:36:35;    65
31.01.2000 13:33:05;    80
01.02.2000 12:27:00;    79
30.03.2000 04:47:25;   163
02.04.2000 02:54:20;    92
02.05.2000 06:41:45;    66
06.06.2000 22:46:30;   100
08.07.2000 05:26:20;    71
06.08.2000 15:39:10;   130
17.09.2000 04:57:10;   125
02.10.2000 09:43:45;    73
05.11.2000 03:56:45;   100
28.12.2000 14:58:35;   105
09.01.2001 02:12:35;    94
03.02.2001 04:37:35;    41
26.03.2001 02:58:25;    66
08.04.2001 20:45:00;    60
05.05.2001 13:45:00;    48
29.06.2001 03:45:00;    48
20.07.2001 20:45:00;    54
21.08.2001 04:00:00;    35
15.09.2001 06:30:00;    69
22.10.2001 15:00:00;    31
17.11.2001 05:45:00;    30
15.12.2001 08:30:00;    30
29.01.2002 13:30:00;    26
18.02.2002 12:45:00;    29
21.03.2002 13:00:00;    32
13.04.2002 05:15:00;    31
19.05.2002 21:00:00;   133
07.06.2002 11:30:00;   103
16.07.2002 18:15:00;    82
12.08.2002 14:30:00;   161
10.09.2002 21:15:00;    57
18.10.2002 16:00:00;   103
23.11.2002 06:30:00;    97
06.12.2002 17:30:00;    97
30.01.2003 06:00:00;    46
09.02.2003 08:15:00;    42
01.03.2003 07:00:00;    38
03.04.2003 04:30:00;    34
26.05.2003 21:30:00;    67
15.06.2003 11:30:00;    57
18.07.2003 11:30:00;    45
31.08.2003 23:15:00;    70
01.09.2003 00:00:00;    69
05.10.2003 17:00:00;    70
02.11.2003 21:15:00;    62
31.12.2003 23:30:00;    74
01.01.2004 01:30:00;    79
04.02.2004 01:00:00;    77
25.03.2004 03:45:00;    72
21.04.2004 01:30:00;    56
29.05.2004 02:45:00;    76
13.06.2004 06:15:00;   173
23.07.2004 06:00:00;   171
07.08.2004 07:45:00;    71
15.09.2004 21:30:00;    61
22.10.2004 18:45:00;    86
01.11.2004 08:00:00;    45
27.12.2004 20:15:00;   128
21.01.2005 19:30:00;    61
27.02.2005 08:00:00;    35
19.03.2005 02:15:00;   158
28.04.2005 09:15:00;    87
19.05.2005 01:45:00;   106
13.06.2005 05:00:00;    62
09.07.2005 06:45:00;    92
22.08.2005 07:45:00;   107
28.09.2005 03:45:00;    66
03.10.2005 13:45:00;    43
27.11.2005 21:15:00;    68
06.12.2005 08:00:00;    47
19.01.2006 07:45:00;    46
21.02.2006 11:15:00;    67
29.03.2006 13:15:00;    86
28.04.2006 01:00:00;    69
20.05.2006 17:45:00;    89
03.06.2006 15:00:00;   149
09.07.2006 00:15:00;   103
04.08.2006 05:15:00;   101
17.09.2006 13:00:00;    61
25.10.2006 09:15:00;    67
23.11.2006 03:00:00;    52
10.12.2006 11:45:00;    44
20.01.2007 08:45:00;    78
26.02.2007 07:45:00;    51
19.03.2007 19:15:00;    76
04.04.2007 03:00:00;    42
16.05.2007 04:00:00;    62
19.06.2007 23:00:00;   100
10.07.2007 07:00:00;   104
31.08.2007 02:30:00;   103
08.09.2007 06:15:00;   175
29.10.2007 00:45:00;    90
12.11.2007 12:15:00;    53
10.12.2007 07:45:00;    76
28.01.2008 07:30:00;    48
27.02.2008 14:15:00;    60
18.03.2008 07:30:00;    67
22.04.2008 09:15:00;    67
25.05.2008 03:15:00;   108
27.06.2008 08:30:00;   151
21.07.2008 07:50:45;   159
16.08.2008 10:44:10;   130
13.09.2008 03:54:35;    85
04.10.2008 10:15:00;    52
08.11.2008 17:45:00;    74
19.12.2008 09:30:00;    87
22.01.2009 10:45:00;   109
08.02.2009 21:45:00;   153
06.03.2009 21:15:00;   133
01.04.2009 04:15:00;    77
13.05.2009 03:45:00;    88
28.06.2009 18:00:00;   162
19.07.2009 02:00:00;   140
29.08.2009 14:00:00;   117
05.09.2009 05:45:00;   127
11.10.2009 12:30:00;    82
09.11.2009 08:00:00;    77
02.12.2009 03:15:00;   101
10.01.2010 04:45:00;    63
27.02.2010 02:30:00;   108
02.03.2010 04:15:00;    74
02.04.2010 13:00:00;    52
27.05.2010 03:45:00;    64
16.06.2010 23:00:00;   164
23.07.2010 23:15:00;   110
15.08.2010 13:30:00;   268
26.09.2010 13:45:00;   199
16.10.2010 09:30:00;   101
22.11.2010 15:45:00;   141
25.12.2010 13:30:00;   117
07.01.2011 19:45:00;    70
04.02.2011 18:15:00;    52
17.03.2011 11:30:00;   118
04.04.2011 23:45:00;    52
15.05.2011 03:15:00;    83
24.06.2011 06:30:00;   162
29.07.2011 03:00:00;    83
04.08.2011 14:00:00;    95
20.09.2011 06:00:00;   105
07.10.2011 19:00:00;    86
03.11.2011 09:45:00;    39
17.12.2011 15:00:00;    36
16.01.2012 16:30:00;    34
25.02.2012 10:15:00;    70
01.03.2012 05:15:00;    51
12.04.2012 18:30:00;    66
04.05.2012 18:30:00;   111
22.06.2012 04:45:00;   127
25.07.2012 18:00:00;   164
04.08.2012 02:00:00;   139
13.09.2012 08:45:00;   162
16.10.2012 11:45:00;   106
05.11.2012 20:15:00;   325
15.12.2012 16:00:00;    53
31.01.2013 23:45:00;    57
26.02.2013 23:45:00;   194
31.03.2013 11:45:00;   147
01.04.2013 00:00:00;   116
06.05.2013 18:15:00;   149
24.06.2013 20:30:00;   104
03.07.2013 03:45:00;    64
28.08.2013 09:45:00;   128
17.09.2013 10:45:00;   137
11.10.2013 19:45:00;   105
10.11.2013 04:30:00;   129
27.12.2013 15:00:00;    75
06.01.2014 07:30:00;    58
17.02.2014 17:00:00;   151
04.03.2014 19:00:00;    73
09.04.2014 11:00:00;    67
12.05.2014 05:30:00;   252
30.06.2014 13:00:00;   114
31.07.2014 06:45:00;   101
13.08.2014 12:00:00;   155
13.09.2014 15:00:00;   160
22.10.2014 09:00:00;   148
18.11.2014 17:00:00;   137
08.12.2014 04:00:00;   120
11.01.2015 22:30:00;    89
24.02.2015 19:45:00;    61
26.03.2015 10:00:00;    61
29.04.2015 02:00:00;    61
14.05.2015 05:00:00;   112
10.06.2015 01:30:00;    57
09.07.2015 01:45:00;   120
17.08.2015 15:30:00;    57
15.09.2015 09:45:00;    40
16.10.2015 02:15:00;   111
07.11.2015 10:30:00;    35
11.12.2015 14:30:00;    26
12.01.2016 09:00:00;    51
19.02.2016 14:30:00;    84
07.03.2016 22:30:00;    50
27.04.2016 22:15:00;    46
28.05.2016 10:45:00;   172
27.06.2016 03:30:00;   152
03.07.2016 08:30:00;   180
16.08.2016 02:30:00;   265
05.09.2016 07:15:00;    95
20.10.2016 12:00:00;    85
07.11.2016 06:00:00;   149
08.12.2016 02:00:00;    43
07.01.2017 03:30:00;    40
06.02.2017 20:30:00;    94
01.03.2017 15:45:00;    42
28.04.2017 17:15:00;    65
13.05.2017 06:00:00;    42
03.06.2017 06:30:00;    50
24.07.2017 22:30:00;   118
11.08.2017 08:00:00;   149
19.09.2017 23:15:00;   102
23.10.2017 06:30:00;    48
09.11.2017 11:15:00;    53
12.12.2017 11:15:00;    55
10.01.2018 23:45:00;    41
02.02.2018 12:30:00;    46
30.03.2018 11:00:00;    79
27.04.2018 03:30:00;    86
15.05.2018 17:00:00;   125
02.06.2018 01:30:00;   292
11.07.2018 09:15:00;    71
24.08.2018 23:15:00;    69
01.09.2018 22:30:00;   138
28.10.2018 08:00:00;    71
27.11.2018 00:15:00;    88
24.12.2018 23:15:00;    42
09.01.2019 11:00:00;    48
04.02.2019 04:30:00;    79
02.03.2019 20:45:00;    39
15.04.2019 13:15:00;    42
12.05.2019 09:15:00;    73
22.06.2019 05:30:00;   152
28.07.2019 01:00:00;    97
01.08.2019 06:30:00;   122
09.09.2019 09:45:00;   123
03.10.2019 04:00:00;    51
14.11.2019 00:45:00;   154
22.12.2019 01:45:00;   125
01.01.2020 00:30:00;    43
11.02.2020 23:00:00;    36
07.03.2020 01:30:00;    42
29.04.2020 22:15:00;    40
03.05.2020 04:15:00;    29
14.06.2020 20:00:00;   120
07.07.2020 10:00:00;   136
18.08.2020 18:15:00;   166
28.09.2020 15:45:00;   151
12.10.2020 09:14:00;   139
04.11.2020 21:14:00;    53
10.12.2020 13:29:00;   112
24.01.2021 02:59:00;    77
09.02.2021 23:30:00;    85
01.03.2021 02:45:00;    52
13.04.2021 07:15:00;    56
17.05.2021 20:15:00;    68
06.06.2021 21:00:00;    72
17.07.2021 23:45:00;   103
23.08.2021 14:00:00;    97
17.09.2021 13:00:00;    46
08.10.2021 01:15:00;    26
02.11.2021 18:15:00;    55
20.12.2021 09:59:00;    35
