Messstelle:                ;Bruck (Fuscher Ache)
06.10.1982 18:00:00;   214
30.11.1982 08:00:00;   180
18.12.1982 23:30:00;   180
17.01.1983 07:30:00;   186
03.02.1983 19:00:00;   180
19.03.1983 00:00:00;   181
19.04.1983 16:30:00;   199
16.05.1983 16:00:00;   217
06.06.1983 13:30:00;   227
29.07.1983 16:30:00;   244
03.08.1983 04:00:00;   232
25.09.1983 12:30:00;   226
11.10.1983 19:30:00;   198
27.11.1983 17:30:00;   189
04.12.1983 12:30:00;   187
25.01.1984 10:00:00;   209
26.02.1984 19:15:00;   179
01.03.1984 09:45:00;   178
24.04.1984 21:00:00;   187
21.05.1984 05:15:00;   225
28.06.1984 22:00:00;   217
24.07.1984 17:15:00;   241
13.08.1984 22:00:00;   237
06.09.1984 05:30:00;   214
05.10.1984 06:15:00;   234
06.11.1984 18:45:00;   183
04.12.1984 12:00:00;   179
10.01.1985 03:30:00;   176
02.02.1985 19:00:00;   186
01.03.1985 19:15:00;   176
24.04.1985 09:45:00;   187
14.05.1985 07:00:00;   227
07.06.1985 23:00:00;   240
27.07.1985 18:15:00;   268
26.08.1985 06:30:00;   270
04.09.1985 02:00:00;   246
04.10.1985 21:00:00;   194
11.11.1985 00:30:00;   184
07.12.1985 18:00:00;   201
06.01.1986 12:45:00;   197
01.02.1986 12:45:00;   191
25.03.1986 10:00:00;   194
30.04.1986 21:15:00;   219
23.05.1986 20:00:00;   257
24.06.1986 04:15:00;   244
06.07.1986 22:00:00;   252
19.08.1986 00:45:00;   260
10.09.1986 09:45:00;   233
21.10.1986 16:15:00;   202
07.11.1986 07:30:00;   193
29.12.1986 12:00:00;   190
13.01.1987 00:45:00;   192
12.02.1987 14:45:00;   180
24.03.1987 08:30:00;   185
21.04.1987 07:30:00;   214
04.05.1987 07:00:00;   230
15.06.1987 22:15:00;   255
19.07.1987 19:00:00;   315
15.08.1987 12:15:00;   314
01.09.1987 19:30:00;   242
12.10.1987 01:45:00;   234
08.11.1987 09:15:00;   184
19.12.1987 11:00:00;   191
07.01.1988 08:15:00;   182
09.02.1988 07:45:00;   186
22.03.1988 08:15:00;   210
29.04.1988 21:45:00;   196
09.05.1988 20:45:00;   223
20.06.1988 08:15:00;   217
29.07.1988 21:30:00;   278
21.08.1988 01:00:00;   270
02.09.1988 14:15:00;   260
13.10.1988 06:30:00;   221
15.11.1988 11:00:00;   188
14.12.1988 15:30:00;   190
07.01.1989 14:30:00;   178
21.02.1989 19:30:00;   175
31.03.1989 22:15:00;   178
05.04.1989 00:15:00;   184
25.05.1989 18:30:00;   206
24.06.1989 07:30:00;   232
24.07.1989 22:30:00;   278
18.08.1989 22:45:00;   260
13.09.1989 15:45:00;   218
12.10.1989 07:30:00;   203
06.11.1989 13:15:00;   187
19.12.1989 02:15:00;   194
31.01.1990 19:15:00;   177
16.02.1990 00:15:00;   166
15.03.1990 01:30:00;   166
06.04.1990 07:30:00;   188
25.05.1990 15:30:00;   208
08.06.1990 17:00:00;   230
10.07.1990 00:45:00;   271
06.08.1990 17:45:00;   235
07.09.1990 19:45:00;   198
08.10.1990 10:00:00;   202
25.11.1990 19:15:00;   223
02.12.1990 13:45:00;   186
13.01.1991 18:15:00;   187
24.02.1991 13:45:00;   173
30.03.1991 09:30:00;   186
30.04.1991 09:00:00;   192
23.05.1991 08:00:00;   216
17.06.1991 21:00:00;   308
17.07.1991 18:30:00;   267
01.08.1991 07:00:00;   258
30.09.1991 21:30:00;   204
01.10.1991 02:30:00;   184
03.11.1991 05:45:00;   171
22.12.1991 14:15:00;   209
01.01.1992 00:00:00;   161
26.02.1992 08:15:00;   167
30.03.1992 12:45:00;   179
28.04.1992 07:00:00;   203
11.05.1992 19:15:00;   229
26.06.1992 05:00:00;   212
22.07.1992 20:30:00;   229
01.08.1992 21:00:00;   247
04.09.1992 16:15:00;   209
05.10.1992 16:30:00;   243
28.11.1992 11:30:00;   196
06.12.1992 03:30:00;   184
30.01.1993 15:00:00;   172
15.02.1993 15:45:00;   189
23.03.1993 14:15:00;   186
27.04.1993 07:30:00;   201
04.05.1993 06:15:00;   223
27.06.1993 19:45:00;   230
20.07.1993 00:00:00;   268
17.08.1993 18:45:00;   250
14.09.1993 08:30:00;   224
02.10.1993 22:15:00;   239
04.11.1993 09:30:00;   178
06.12.1993 15:15:00;   187
17.01.1994 15:15:00;   182
17.02.1994 09:00:00;   164
16.03.1994 12:00:00;   193
18.04.1994 07:15:00;   192
26.05.1994 22:45:00;   214
04.06.1994 03:00:00;   227
07.07.1994 00:00:00;   250
25.08.1994 05:15:00;   218
14.09.1994 20:15:00;   231
04.10.1994 08:30:00;   187
14.11.1994 16:30:00;   198
29.12.1994 07:45:00;   178
01.01.1995 22:30:00;   163
01.02.1995 16:45:00;   169
17.03.1995 12:45:00;   168
24.04.1995 14:15:00;   200
08.05.1995 07:00:00;   205
26.06.1995 04:15:00;   249
03.07.1995 23:00:00;   229
08.08.1995 20:45:00;   222
05.09.1995 08:00:00;   222
09.10.1995 11:15:00;   196
09.11.1995 08:30:00;   186
01.12.1995 15:15:00;   165
29.01.1996 12:45:00;   175
07.02.1996 13:30:00;   169
27.03.1996 08:15:00;   177
23.04.1996 17:15:00;   188
15.05.1996 20:30:00;   235
09.06.1996 20:00:00;   225
08.07.1996 07:45:00;   232
28.08.1996 11:30:00;   226
05.09.1996 23:30:00;   194
21.10.1996 13:30:00;   215
19.11.1996 14:15:00;   215
12.12.1996 11:45:00;   194
03.01.1997 19:30:00;   166
10.02.1997 16:00:00;   180
13.03.1997 14:15:00;   183
20.04.1997 23:15:00;   189
05.05.1997 18:00:00;   213
18.06.1997 08:30:00;   247
24.07.1997 18:00:00;   232
29.08.1997 01:15:00;   220
07.09.1997 16:30:00;   205
01.10.1997 19:15:00;   225
07.11.1997 09:00:00;   177
06.12.1997 09:00:00;   173
06.01.1998 22:15:00;   169
26.02.1998 13:45:00;   180
17.03.1998 19:15:00;   195
21.04.1998 12:15:00;   191
12.05.1998 21:15:00;   190
11.06.1998 06:15:00;   221
14.07.1998 04:30:00;   272
15.08.1998 20:30:00;   287
05.09.1998 17:00:00;   266
07.10.1998 07:15:00;   216
10.11.1998 19:45:00;   197
21.12.1998 13:30:00;   204
05.01.1999 08:30:00;   178
02.02.1999 07:30:00;   180
10.03.1999 14:45:00;   181
30.04.1999 15:00:00;   203
21.05.1999 08:00:00;   226
03.06.1999 03:15:00;   234
22.07.1999 19:00:00;   269
16.08.1999 21:15:00;   286
01.09.1999 22:30:00;   249
01.10.1999 00:45:00;   216
10.11.1999 09:45:00;   195
24.12.1999 08:30:00;   175
30.01.2000 17:30:00;   174
05.02.2000 22:45:00;   169
17.03.2000 16:15:00;   187
23.04.2000 08:45:00;   225
12.05.2000 07:00:00;   225
14.06.2000 17:30:00;   238
08.07.2000 00:15:00;   276
03.08.2000 23:00:00;   263
21.09.2000 04:30:00;   240
12.10.2000 06:30:00;   230
06.11.2000 23:30:00;   227
16.12.2000 05:00:00;   178
02.01.2001 09:45:00;   169
28.02.2001 10:45:00;   169
25.03.2001 19:30:00;   193
30.04.2001 21:45:00;   201
10.05.2001 12:15:00;   227
17.06.2001 00:15:00;   249
07.07.2001 21:45:00;   249
10.08.2001 16:30:00;   219
01.09.2001 00:00:00;   213
04.10.2001 15:30:00;   189
12.11.2001 18:00:00;   180
06.12.2001 10:15:00;   181
05.01.2002 14:45:00;   180
18.02.2002 15:00:00;   191
22.03.2002 09:00:00;   209
27.04.2002 11:30:00;   215
04.05.2002 16:45:00;   237
06.06.2002 15:15:00;   255
04.07.2002 09:00:00;   243
12.08.2002 06:15:00;   287
01.09.2002 10:00:00;   224
24.10.2002 06:15:00;   206
18.11.2002 21:00:00;   229
09.12.2002 21:45:00;   189
28.01.2003 14:45:00;   187
05.02.2003 09:30:00;   170
17.03.2003 10:45:00;   184
29.04.2003 17:15:00;   219
26.05.2003 21:45:00;   234
14.06.2003 22:00:00;   267
28.07.2003 21:15:00;   258
29.08.2003 21:30:00;   272
10.09.2003 07:30:00;   214
04.10.2003 09:30:00;   216
01.11.2003 09:30:00;   198
04.12.2003 13:45:00;   162
29.01.2004 09:30:00;   159
16.02.2004 17:00:00;   162
21.03.2004 19:30:00;   171
30.04.2004 07:00:00;   198
21.05.2004 12:00:00;   208
19.06.2004 22:00:00;   264
09.07.2004 04:45:00;   264
26.08.2004 07:15:00;   229
24.09.2004 03:15:00;   215
31.10.2004 13:00:00;   229
02.11.2004 05:00:00;   200
24.12.2004 10:30:00;   180
29.01.2005 07:15:00;   190
24.02.2005 06:00:00;   166
20.03.2005 07:45:00;   176
29.04.2005 14:45:00;   193
31.05.2005 05:30:00;   245
25.06.2005 18:00:00;   228
12.07.2005 00:00:00;   270
14.08.2005 19:00:00;   244
17.09.2005 07:45:00;   213
05.10.2005 00:45:00;   215
04.11.2005 10:00:00;   183
06.12.2005 17:15:00;   177
31.01.2006 18:30:00;   166
12.02.2006 19:30:00;   180
03.03.2006 08:00:00;   178
27.04.2006 09:00:00;   207
20.05.2006 02:00:00;   250
19.06.2006 21:15:00;   252
28.07.2006 21:00:00;   264
03.08.2006 16:00:00;   230
19.09.2006 06:30:00;   209
04.10.2006 06:30:00;   205
10.11.2006 08:00:00;   184
05.12.2006 13:45:00;   173
20.01.2007 11:15:00;   189
19.02.2007 20:45:00;   176
10.03.2007 22:00:00;   185
13.04.2007 18:30:00;   198
15.05.2007 08:15:00;   204
22.06.2007 22:30:00;   227
09.07.2007 07:30:00;   252
29.08.2007 22:15:00;   214
11.09.2007 07:45:00;   224
06.10.2007 08:30:00;   221
23.11.2007 19:15:00;   187
01.12.2007 18:30:00;   176
28.01.2008 16:45:00;   174
25.02.2008 18:45:00;   181
01.03.2008 15:00:00;   175
28.04.2008 09:00:00;   208
27.05.2008 18:00:00;   230
26.06.2008 21:45:00;   268
20.07.2008 22:15:00;   264
08.08.2008 04:00:00;   232
10.09.2008 23:15:00;   226
30.10.2008 05:00:00;   216
05.11.2008 06:00:00;   195
01.12.2008 11:45:00;   179
28.01.2009 19:45:00;   179
28.02.2009 19:30:00;   172
22.03.2009 21:00:00;   172
05.04.2009 18:00:00;   204
26.05.2009 22:30:00;   232
20.06.2009 02:45:00;   266
18.07.2009 07:15:00;   282
08.08.2009 20:00:00;   252
05.09.2009 01:30:00;   271
10.10.2009 21:15:00;   199
30.11.2009 15:30:00;   188
25.12.2009 10:00:00;   177
25.01.2010 09:00:00;   180
20.02.2010 13:00:00;   184
24.03.2010 14:15:00;   176
25.04.2010 20:45:00;   192
27.05.2010 18:45:00;   198
13.06.2010 16:15:00;   243
23.07.2010 20:15:00;   238
27.08.2010 16:45:00;   269
17.09.2010 23:45:00;   212
01.10.2010 09:00:00;   192
01.11.2010 00:30:00;   190
25.12.2010 04:00:00;   173
31.01.2011 13:45:00;   173
24.02.2011 10:00:00;   185
31.03.2011 19:15:00;   182
08.04.2011 09:00:00;   187
27.05.2011 18:45:00;   230
23.06.2011 20:45:00;   245
11.07.2011 04:45:00;   216
08.08.2011 20:00:00;   279
18.09.2011 19:30:00;   235
10.10.2011 16:45:00;   235
05.11.2011 13:15:00;   175
30.12.2011 18:30:00;   171
09.01.2012 00:00:00;   172
03.02.2012 10:45:00;   185
31.03.2012 07:00:00;   202
28.04.2012 19:00:00;   207
24.05.2012 17:15:00;   245
23.06.2012 01:45:00;   247
20.07.2012 22:45:00;   307
26.08.2012 05:00:00;   280
05.09.2012 17:45:00;   258
12.10.2012 20:15:00;   208
05.11.2012 03:45:00;   234
26.12.2012 07:15:00;   172
05.01.2013 06:15:00;   200
02.02.2013 18:30:00;   173
15.03.2013 00:00:00;   221
27.04.2013 19:45:00;   221
11.05.2013 08:45:00;   230
02.06.2013 05:15:00;   263
24.07.2013 21:15:00;   267
23.08.2013 18:30:00;   342
17.09.2013 07:15:00;   243
17.10.2013 14:30:00;   219
03.11.2013 18:15:00;   220
26.12.2013 20:15:00;   208
04.01.2014 21:15:00;   190
01.02.2014 06:30:00;   187
23.03.2014 18:30:00;   191
08.04.2014 20:30:00;   267
23.05.2014 19:30:00;   221
11.06.2014 19:00:00;   283
31.07.2014 11:15:00;   301
13.08.2014 16:15:00;   267
01.09.2014 05:30:00;   214
14.10.2014 04:30:00;   216
05.11.2014 18:30:00;   189
02.12.2014 17:15:00;   178
10.01.2015 02:45:00;   201
09.02.2015 08:30:00;   157
31.03.2015 18:00:00;   170
30.04.2015 04:15:00;   215
06.05.2015 18:00:00;   220
07.06.2015 21:15:00;   266
29.07.2015 20:30:00;   258
04.08.2015 19:30:00;   245
02.09.2015 16:45:00;   229
07.10.2015 22:00:00;   200
16.11.2015 08:45:00;   175
02.12.2015 06:15:00;   174
19.01.2016 12:45:00;   171
01.02.2016 08:00:00;   183
22.03.2016 01:00:00;   186
04.04.2016 18:45:00;   191
30.05.2016 12:00:00;   220
27.06.2016 06:00:00;   261
13.07.2016 17:15:00;   260
05.08.2016 13:00:00;   256
05.09.2016 05:00:00;   218
03.10.2016 02:00:00;   188
06.11.2016 16:15:00;   181
28.12.2016 08:30:00;   174
17.01.2017 16:00:00;   172
01.02.2017 08:45:00;   163
19.03.2017 07:45:00;   191
30.04.2017 19:00:00;   184
31.05.2017 09:45:00;   212
24.06.2017 20:30:00;   300
11.07.2017 01:45:00;   255
06.08.2017 17:00:00;   294
01.09.2017 14:00:00;   224
03.10.2017 19:00:00;   193
06.11.2017 07:45:00;   175
12.12.2017 05:30:00;   191
09.01.2018 14:45:00;   201
15.02.2018 16:00:00;   168
31.03.2018 22:30:00;   165
26.04.2018 14:00:00;   242
15.05.2018 10:00:00;   217
22.06.2018 05:00:00;   234
03.07.2018 17:30:00;   232
30.08.2018 14:00:00;   241
01.09.2018 09:45:00;   222
29.10.2018 21:45:00;   266
01.11.2018 16:30:00;   184
24.12.2018 08:30:00;   188
14.01.2019 10:15:00;   174
28.02.2019 19:15:00;   173
18.03.2019 01:15:00;   179
26.04.2019 19:15:00;   201
29.05.2019 04:30:00;   216
11.06.2019 05:30:00;   263
29.07.2019 04:45:00;   255
08.08.2019 05:45:00;   225
02.09.2019 20:45:00;   218
05.10.2019 17:30:00;   192
17.11.2019 15:15:00;   271
02.12.2019 10:30:00;   173
07.01.2020 20:30:00;   165
03.02.2020 18:45:00;   178
11.03.2020 19:15:00;   173
20.04.2020 16:15:00;   187
23.05.2020 23:00:00;   208
15.06.2020 18:00:00;   227
02.07.2020 21:00:00;   301
29.08.2020 21:45:00;   302
06.09.2020 20:30:00;   248
03.10.2020 17:00:00;   203
02.11.2020 18:15:00;   190
06.12.2020 08:30:00;   253
14.01.2021 12:30:00;   219
01.02.2021 18:30:00;   173
04.03.2021 19:15:00;   173
30.04.2021 22:30:00;   174
26.05.2021 16:15:00;   208
26.06.2021 21:30:00;   235
09.07.2021 00:15:00;   292
16.08.2021 19:00:00;   305
19.09.2021 22:00:00;   219
05.10.2021 11:00:00;   187
02.11.2021 08:30:00;   184
09.12.2021 09:15:00;   173
