Messstelle:                ;Nofels, Bl 01.32.49
HZB-Nummer:                ;379180
HD-Nummer:                 ;01.32.49
DBMS-Nummer:               ;8002462
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
01.03.2021 00:00:00   ;   423,16 ;     
01.04.2021 00:00:00   ;   423,18 ;     
01.05.2021 00:00:00   ;   423,45 ;     
01.06.2021 00:00:00   ;   423,93 ;     
01.07.2021 00:00:00   ;   423,82 ;     
01.08.2021 00:00:00   ;   423,71 ;     
01.09.2021 00:00:00   ;   423,22 ;     
01.10.2021 00:00:00   ;   423,04 ;     
01.11.2021 00:00:00   ;   423,00 ;     
01.12.2021 00:00:00   ;   422,92 ;     
01.01.2022 00:00:00   ;Lücke         ; 
