Messstelle:                ;Klagenfurt, Bl 260
HZB-Nummer:                ;354266
HD-Nummer:                 ;
DBMS-Nummer:               ;2002540
PorenGW-Gebiet:            ;442 Klagenfurter Becken
Grundwasserkörper:         ;Klagenfurter Becken [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Stadtwerke Klagenfurt
01.10.2011 00:00:00   ;   435,32 ;     
01.11.2011 00:00:00   ;   435,28 ;     
01.12.2011 00:00:00   ;   435,09 ;     
01.01.2012 00:00:00   ;   434,92 ;     
01.02.2012 00:00:00   ;   434,76 ;     
01.03.2012 00:00:00   ;   434,62 ;     
01.04.2012 00:00:00   ;   434,58 ;     
01.05.2012 00:00:00   ;   434,65 ;     
01.06.2012 00:00:00   ;   434,74 ;     
01.07.2012 00:00:00   ;   434,92 ;     
01.08.2012 00:00:00   ;   435,35 ;     
01.09.2012 00:00:00   ;   435,44 ;     
01.10.2012 00:00:00   ;   435,63 ;     
01.11.2012 00:00:00   ;   436,20 ;     
01.12.2012 00:00:00   ;   436,17 ;     
01.01.2013 00:00:00   ;   435,95 ;     
01.02.2013 00:00:00   ;   435,79 ;     
01.03.2013 00:00:00   ;   435,97 ;     
01.04.2013 00:00:00   ;   436,27 ;     
01.05.2013 00:00:00   ;   436,18 ;     
01.06.2013 00:00:00   ;   436,13 ;     
01.07.2013 00:00:00   ;   435,84 ;     
01.08.2013 00:00:00   ;   435,55 ;     
01.09.2013 00:00:00   ;   435,41 ;     
01.10.2013 00:00:00   ;   435,25 ;     
01.11.2013 00:00:00   ;   435,38 ;     
01.12.2013 00:00:00   ;   435,59 ;     
01.01.2014 00:00:00   ;   435,72 ;     
01.02.2014 00:00:00   ;   436,23 ;     
01.03.2014 00:00:00   ;   436,68 ;     
01.04.2014 00:00:00   ;   436,39 ;     
01.05.2014 00:00:00   ;   436,23 ;     
01.06.2014 00:00:00   ;   435,98 ;     
01.07.2014 00:00:00   ;   435,93 ;     
01.08.2014 00:00:00   ;   436,07 ;     
01.09.2014 00:00:00   ;   436,40 ;     
01.10.2014 00:00:00   ;   436,29 ;     
01.11.2014 00:00:00   ;   436,25 ;     
01.12.2014 00:00:00   ;   436,21 ;     
01.01.2015 00:00:00   ;   435,87 ;     
01.02.2015 00:00:00   ;   435,59 ;     
01.03.2015 00:00:00   ;   435,43 ;     
01.04.2015 00:00:00   ;   435,26 ;     
01.05.2015 00:00:00   ;   435,16 ;     
01.06.2015 00:00:00   ;   435,26 ;     
01.07.2015 00:00:00   ;   435,23 ;     
01.08.2015 00:00:00   ;   435,21 ;     
01.09.2015 00:00:00   ;   435,27 ;     
01.10.2015 00:00:00   ;   435,62 ;     
01.11.2015 00:00:00   ;   435,69 ;     
01.12.2015 00:00:00   ;   435,47 ;     
01.01.2016 00:00:00   ;   435,29 ;     
01.02.2016 00:00:00   ;   435,27 ;     
01.03.2016 00:00:00   ;   435,55 ;     
01.04.2016 00:00:00   ;   435,46 ;     
01.05.2016 00:00:00   ;   435,48 ;     
01.06.2016 00:00:00   ;   435,45 ;     
01.07.2016 00:00:00   ;   435,46 ;     
01.08.2016 00:00:00   ;   435,74 ;     
01.09.2016 00:00:00   ;   435,97 ;     
01.10.2016 00:00:00   ;   435,83 ;     
01.11.2016 00:00:00   ;   435,85 ;     
01.12.2016 00:00:00   ;   435,77 ;     
01.01.2017 00:00:00   ;   435,51 ;     
01.02.2017 00:00:00   ;   435,32 ;     
01.03.2017 00:00:00   ;   435,33 ;     
01.04.2017 00:00:00   ;   435,20 ;     
01.05.2017 00:00:00   ;   435,19 ;     
01.06.2017 00:00:00   ;   435,15 ;     
01.07.2017 00:00:00   ;   435,21 ;     
01.08.2017 00:00:00   ;   435,26 ;     
01.09.2017 00:00:00   ;   435,56 ;     
01.10.2017 00:00:00   ;   435,85 ;     
01.11.2017 00:00:00   ;   435,82 ;     
01.12.2017 00:00:00   ;   435,90 ;     
01.01.2018 00:00:00   ;   435,96 ;     
01.02.2018 00:00:00   ;   435,76 ;     
01.03.2018 00:00:00   ;   435,44 ;     
01.04.2018 00:00:00   ;   435,48 ;     
01.05.2018 00:00:00   ;   435,62 ;     
01.06.2018 00:00:00   ;   435,66 ;     
01.07.2018 00:00:00   ;   435,51 ;     
01.08.2018 00:00:00   ;   435,33 ;     
01.09.2018 00:00:00   ;   435,33 ;     
01.10.2018 00:00:00   ;   435,26 ;     
01.11.2018 00:00:00   ;   435,20 ;     
01.12.2018 00:00:00   ;   435,08 ;     
01.01.2019 00:00:00   ;   434,97 ;     
01.02.2019 00:00:00   ;   435,07 ;     
01.03.2019 00:00:00   ;   435,01 ;     
01.04.2019 00:00:00   ;   434,98 ;     
01.05.2019 00:00:00   ;   435,11 ;     
01.06.2019 00:00:00   ;   435,25 ;     
01.07.2019 00:00:00   ;   435,22 ;     
01.08.2019 00:00:00   ;   435,24 ;     
01.09.2019 00:00:00   ;   435,26 ;     
01.10.2019 00:00:00   ;   435,21 ;     
01.11.2019 00:00:00   ;   435,41 ;     
01.12.2019 00:00:00   ;   435,70 ;     
01.01.2020 00:00:00   ;   435,68 ;     
01.02.2020 00:00:00   ;   435,49 ;     
01.03.2020 00:00:00   ;   435,40 ;     
01.04.2020 00:00:00   ;   435,27 ;     
01.05.2020 00:00:00   ;   435,18 ;     
01.06.2020 00:00:00   ;   435,16 ;     
01.07.2020 00:00:00   ;   435,30 ;     
01.08.2020 00:00:00   ;   435,38 ;     
01.09.2020 00:00:00   ;   435,49 ;     
01.10.2020 00:00:00   ;   435,93 ;     
01.11.2020 00:00:00   ;   435,95 ;     
01.12.2020 00:00:00   ;   436,00 ;     
01.01.2021 00:00:00   ;   436,06 ;     
01.02.2021 00:00:00   ;   436,17 ;     
01.03.2021 00:00:00   ;   436,01 ;     
01.04.2021 00:00:00   ;   435,77 ;     
01.05.2021 00:00:00   ;   435,76 ;     
01.06.2021 00:00:00   ;   435,92 ;     
01.07.2021 00:00:00   ;   435,75 ;     
01.08.2021 00:00:00   ;   435,63 ;     
01.09.2021 00:00:00   ;   435,50 ;     
01.10.2021 00:00:00   ;   435,37 ;     
01.11.2021 00:00:00   ;   435,25 ;     
01.12.2021 00:00:00   ;   435,18 ;     
01.01.2022 00:00:00   ;Lücke         ; 
