Messstelle:                ;Schachendorf, Br 1
HZB-Nummer:                ;326306
HD-Nummer:                 ;
DBMS-Nummer:               ;1002189
PorenGW-Gebiet:            ;330 Tauchenbachtal
Grundwasserkörper:         ;Gruppe Hügelland Raab Ost [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
01.09.1990 00:00:00   ;   273,28 ;     
01.10.1990 00:00:00   ;   273,36 ;     
01.11.1990 00:00:00   ;   274,27 ;     
01.12.1990 00:00:00   ;   274,43 ;     
01.01.1991 00:00:00   ;   274,41 ;     
01.02.1991 00:00:00   ;   274,04 ;     
01.03.1991 00:00:00   ;   274,10 ;     
01.04.1991 00:00:00   ;   274,01 ;     
01.05.1991 00:00:00   ;   274,72 ;     
01.06.1991 00:00:00   ;   274,59 ;     
01.07.1991 00:00:00   ;   274,95 ;     
01.08.1991 00:00:00   ;   274,80 ;     
01.09.1991 00:00:00   ;   274,30 ;     
01.10.1991 00:00:00   ;   274,63 ;     
01.11.1991 00:00:00   ;   274,85 ;     
01.12.1991 00:00:00   ;   274,87 ;     
01.01.1992 00:00:00   ;   274,74 ;     
01.02.1992 00:00:00   ;   274,75 ;     
01.03.1992 00:00:00   ;   274,72 ;     
01.04.1992 00:00:00   ;   274,99 ;     
01.05.1992 00:00:00   ;   274,50 ;     
01.06.1992 00:00:00   ;   274,57 ;     
01.07.1992 00:00:00   ;   273,80 ;     
01.08.1992 00:00:00   ;   272,98 ;     
01.09.1992 00:00:00   ;   273,09 ;     
01.10.1992 00:00:00   ;   273,47 ;     
01.11.1992 00:00:00   ;   274,44 ;     
01.12.1992 00:00:00   ;   274,80 ;     
01.01.1993 00:00:00   ;   274,04 ;     
01.02.1993 00:00:00   ;   273,81 ;     
01.03.1993 00:00:00   ;   273,78 ;     
01.04.1993 00:00:00   ;   273,75 ;     
01.05.1993 00:00:00   ;   273,68 ;     
01.06.1993 00:00:00   ;   273,56 ;     
01.07.1993 00:00:00   ;   273,47 ;     
01.08.1993 00:00:00   ;   273,28 ;     
01.09.1993 00:00:00   ;   273,22 ;     
01.10.1993 00:00:00   ;   273,80 ;     
01.11.1993 00:00:00   ;   274,19 ;     
01.12.1993 00:00:00   ;   274,65 ;     
01.01.1994 00:00:00   ;   274,81 ;     
01.02.1994 00:00:00   ;   274,21 ;     
01.03.1994 00:00:00   ;   274,04 ;     
01.04.1994 00:00:00   ;   274,41 ;     
01.05.1994 00:00:00   ;   274,23 ;     
01.06.1994 00:00:00   ;   274,10 ;     
01.07.1994 00:00:00   ;   273,67 ;     
01.08.1994 00:00:00   ;   273,63 ;     
01.09.1994 00:00:00   ;   274,35 ;     
01.10.1994 00:00:00   ;   274,12 ;     
01.11.1994 00:00:00   ;   274,84 ;     
01.12.1994 00:00:00   ;   274,48 ;     
01.01.1995 00:00:00   ;   274,25 ;     
01.02.1995 00:00:00   ;   274,40 ;     
01.03.1995 00:00:00   ;   275,00 ;     
01.04.1995 00:00:00   ;   274,55 ;     
01.05.1995 00:00:00   ;   274,82 ;     
01.06.1995 00:00:00   ;   275,10 ;     
01.07.1995 00:00:00   ;   274,21 ;     
01.08.1995 00:00:00   ;   274,30 ;     
01.09.1995 00:00:00   ;   274,85 ;     
01.10.1995 00:00:00   ;   274,39 ;     
01.11.1995 00:00:00   ;   274,14 ;     
01.12.1995 00:00:00   ;   274,41 ;     
01.01.1996 00:00:00   ;   274,96 ;     
01.02.1996 00:00:00   ;   274,65 ;     
01.03.1996 00:00:00   ;   274,98 ;     
01.04.1996 00:00:00   ;   275,14 ;     
01.05.1996 00:00:00   ;   275,16 ;     
01.06.1996 00:00:00   ;   275,06 ;     
01.07.1996 00:00:00   ;   274,79 ;     
01.08.1996 00:00:00   ;   274,42 ;     
01.09.1996 00:00:00   ;   274,79 ;     
01.10.1996 00:00:00   ;   274,88 ;     
01.11.1996 00:00:00   ;   274,80 ;     
01.12.1996 00:00:00   ;   274,74 ;     
01.01.1997 00:00:00   ;   274,40 ;     
01.02.1997 00:00:00   ;   274,52 ;     
01.03.1997 00:00:00   ;   274,50 ;     
01.04.1997 00:00:00   ;   274,34 ;     
01.05.1997 00:00:00   ;   274,37 ;     
01.06.1997 00:00:00   ;   274,81 ;     
01.07.1997 00:00:00   ;   275,14 ;     
01.08.1997 00:00:00   ;   274,91 ;     
01.09.1997 00:00:00   ;   274,40 ;     
01.10.1997 00:00:00   ;   273,87 ;     
01.11.1997 00:00:00   ;   273,88 ;     
01.12.1997 00:00:00   ;   274,35 ;     
01.01.1998 00:00:00   ;   274,13 ;     
01.02.1998 00:00:00   ;   273,83 ;     
01.03.1998 00:00:00   ;   274,20 ;     
01.04.1998 00:00:00   ;   274,30 ;     
01.05.1998 00:00:00   ;   273,94 ;     
01.06.1998 00:00:00   ;   274,51 ;     
01.07.1998 00:00:00   ;   274,52 ;     
01.08.1998 00:00:00   ;   274,28 ;     
01.09.1998 00:00:00   ;   274,91 ;     
01.10.1998 00:00:00   ;   275,10 ;     
01.11.1998 00:00:00   ;   275,14 ;     
01.12.1998 00:00:00   ;   274,79 ;     
01.01.1999 00:00:00   ;   274,68 ;     
01.02.1999 00:00:00   ;   274,48 ;     
01.03.1999 00:00:00   ;   274,45 ;     
01.04.1999 00:00:00   ;   274,30 ;     
01.05.1999 00:00:00   ;   275,04 ;     
01.06.1999 00:00:00   ;   274,74 ;     
01.07.1999 00:00:00   ;   274,09 ;     
01.08.1999 00:00:00   ;   274,49 ;     
01.09.1999 00:00:00   ;   274,20 ;     
01.10.1999 00:00:00   ;   273,89 ;     
01.11.1999 00:00:00   ;   273,95 ;     
01.12.1999 00:00:00   ;   274,14 ;     
01.01.2000 00:00:00   ;   274,00 ;     
01.02.2000 00:00:00   ;   274,56 ;     
01.03.2000 00:00:00   ;   274,62 ;     
01.04.2000 00:00:00   ;   274,58 ;     
01.05.2000 00:00:00   ;   273,88 ;     
01.06.2000 00:00:00   ;   273,52 ;     
01.07.2000 00:00:00   ;   273,47 ;     
01.08.2000 00:00:00   ;   273,45 ;     
01.09.2000 00:00:00   ;   273,54 ;     
01.10.2000 00:00:00   ;   274,18 ;     
01.11.2000 00:00:00   ;   274,49 ;     
01.12.2000 00:00:00   ;   274,46 ;     
01.01.2001 00:00:00   ;   274,60 ;     
01.02.2001 00:00:00   ;   274,44 ;     
01.03.2001 00:00:00   ;   274,39 ;     
01.04.2001 00:00:00   ;   274,49 ;     
01.05.2001 00:00:00   ;   273,94 ;     
01.06.2001 00:00:00   ;   273,52 ;     
01.07.2001 00:00:00   ;   273,21 ;     
01.08.2001 00:00:00   ;   272,77 ;     
01.09.2001 00:00:00   ;   273,21 ;     
01.10.2001 00:00:00   ;   273,39 ;     
01.11.2001 00:00:00   ;   273,07 ;     
01.12.2001 00:00:00   ;   272,89 ;     
01.01.2002 00:00:00   ;   272,76 ;     
01.02.2002 00:00:00   ;   272,89 ;     
01.03.2002 00:00:00   ;   272,93 ;     
01.04.2002 00:00:00   ;   273,19 ;     
01.05.2002 00:00:00   ;   273,17 ;     
01.06.2002 00:00:00   ;   273,21 ;     
01.07.2002 00:00:00   ;   272,71 ;     
01.08.2002 00:00:00   ;   272,84 ;     
01.09.2002 00:00:00   ;   272,93 ;     
01.10.2002 00:00:00   ;   273,54 ;     
01.11.2002 00:00:00   ;   273,51 ;     
01.12.2002 00:00:00   ;   274,02 ;     
01.01.2003 00:00:00   ;   273,90 ;     
01.02.2003 00:00:00   ;   273,81 ;     
01.03.2003 00:00:00   ;   273,52 ;     
01.04.2003 00:00:00   ;   273,59 ;     
01.05.2003 00:00:00   ;   273,78 ;     
01.06.2003 00:00:00   ;   273,83 ;     
01.07.2003 00:00:00   ;   273,81 ;     
01.08.2003 00:00:00   ;   273,77 ;     
01.09.2003 00:00:00   ;   273,85 ;     
01.10.2003 00:00:00   ;   274,05 ;     
01.11.2003 00:00:00   ;   273,53 ;     
01.12.2003 00:00:00   ;   273,20 ;     
01.01.2004 00:00:00   ;   273,34 ;     
01.02.2004 00:00:00   ;   273,41 ;     
01.03.2004 00:00:00   ;   273,93 ;     
01.04.2004 00:00:00   ;   273,98 ;     
01.05.2004 00:00:00   ;   273,93 ;     
01.06.2004 00:00:00   ;   274,78 ;     
01.07.2004 00:00:00   ;   274,35 ;     
01.08.2004 00:00:00   ;   273,84 ;     
01.09.2004 00:00:00   ;   273,44 ;     
01.10.2004 00:00:00   ;   273,21 ;     
01.11.2004 00:00:00   ;   273,45 ;     
01.12.2004 00:00:00   ;   273,36 ;     
01.01.2005 00:00:00   ;   273,42 ;     
01.02.2005 00:00:00   ;   273,25 ;     
01.03.2005 00:00:00   ;   273,80 ;     
01.04.2005 00:00:00   ;   273,91 ;     
01.05.2005 00:00:00   ;   273,94 ;     
01.06.2005 00:00:00   ;   273,77 ;     
01.07.2005 00:00:00   ;   274,28 ;     
01.08.2005 00:00:00   ;   274,61 ;     
01.09.2005 00:00:00   ;   274,12 ;     
01.10.2005 00:00:00   ;   273,91 ;     
01.11.2005 00:00:00   ;   273,66 ;     
01.12.2005 00:00:00   ;   274,24 ;     
01.01.2006 00:00:00   ;   274,59 ;     
01.02.2006 00:00:00   ;   274,09 ;     
01.03.2006 00:00:00   ;   274,06 ;     
01.04.2006 00:00:00   ;   274,06 ;     
01.05.2006 00:00:00   ;   274,52 ;     
01.06.2006 00:00:00   ;   274,99 ;     
01.07.2006 00:00:00   ;   274,61 ;     
01.08.2006 00:00:00   ;   274,27 ;     
01.09.2006 00:00:00   ;   273,92 ;     
01.10.2006 00:00:00   ;   273,60 ;     
01.11.2006 00:00:00   ;   273,61 ;     
01.12.2006 00:00:00   ;   273,52 ;     
01.01.2007 00:00:00   ;   273,36 ;     
01.02.2007 00:00:00   ;   273,55 ;     
01.03.2007 00:00:00   ;   274,15 ;     
01.04.2007 00:00:00   ;   273,96 ;     
01.05.2007 00:00:00   ;   273,78 ;     
01.06.2007 00:00:00   ;   273,58 ;     
01.07.2007 00:00:00   ;   273,34 ;     
01.08.2007 00:00:00   ;   273,08 ;     
01.09.2007 00:00:00   ;   274,04 ;     
01.10.2007 00:00:00   ;   274,27 ;     
01.11.2007 00:00:00   ;   274,16 ;     
01.12.2007 00:00:00   ;   274,06 ;     
01.01.2008 00:00:00   ;   273,93 ;     
01.02.2008 00:00:00   ;   273,78 ;     
01.03.2008 00:00:00   ;   273,74 ;     
01.04.2008 00:00:00   ;   273,81 ;     
01.05.2008 00:00:00   ;   273,67 ;     
01.06.2008 00:00:00   ;   274,00 ;     
01.07.2008 00:00:00   ;   274,18 ;     
01.08.2008 00:00:00   ;   274,41 ;     
01.09.2008 00:00:00   ;   274,03 ;     
01.10.2008 00:00:00   ;   273,75 ;     
01.11.2008 00:00:00   ;   273,64 ;     
01.12.2008 00:00:00   ;   273,94 ;     
01.01.2009 00:00:00   ;   274,18 ;     
01.02.2009 00:00:00   ;   274,69 ;     
01.03.2009 00:00:00   ;   274,80 ;     
01.04.2009 00:00:00   ;   274,37 ;     
01.05.2009 00:00:00   ;   274,67 ;     
01.06.2009 00:00:00   ;   274,35 ;     
01.07.2009 00:00:00   ;   274,52 ;     
01.08.2009 00:00:00   ;   274,14 ;     
01.09.2009 00:00:00   ;   274,14 ;     
01.10.2009 00:00:00   ;   273,74 ;     
01.11.2009 00:00:00   ;   273,79 ;     
01.12.2009 00:00:00   ;   274,08 ;     
01.01.2010 00:00:00   ;   274,29 ;     
01.02.2010 00:00:00   ;   274,18 ;     
01.03.2010 00:00:00   ;   274,37 ;     
01.04.2010 00:00:00   ;   274,26 ;     
01.05.2010 00:00:00   ;   274,03 ;     
01.06.2010 00:00:00   ;   274,28 ;     
01.07.2010 00:00:00   ;   274,08 ;     
01.08.2010 00:00:00   ;   274,36 ;     
01.09.2010 00:00:00   ;   274,63 ;     
01.10.2010 00:00:00   ;   274,72 ;     
01.11.2010 00:00:00   ;   274,63 ;     
01.12.2010 00:00:00   ;   274,94 ;     
01.01.2011 00:00:00   ;   274,62 ;     
01.02.2011 00:00:00   ;   274,42 ;     
01.03.2011 00:00:00   ;   274,30 ;     
01.04.2011 00:00:00   ;   274,15 ;     
01.05.2011 00:00:00   ;   274,24 ;     
01.06.2011 00:00:00   ;   274,26 ;     
01.07.2011 00:00:00   ;   273,93 ;     
01.08.2011 00:00:00   ;   274,51 ;     
01.09.2011 00:00:00   ;   273,93 ;     
01.10.2011 00:00:00   ;   273,78 ;     
01.11.2011 00:00:00   ;   273,54 ;     
01.12.2011 00:00:00   ;   273,45 ;     
01.01.2012 00:00:00   ;   273,36 ;     
01.02.2012 00:00:00   ;   273,17 ;     
01.03.2012 00:00:00   ;   273,05 ;     
01.04.2012 00:00:00   ;   273,18 ;     
01.05.2012 00:00:00   ;   273,54 ;     
01.06.2012 00:00:00   ;   273,47 ;     
01.07.2012 00:00:00   ;   273,55 ;     
01.08.2012 00:00:00   ;   273,46 ;     
01.09.2012 00:00:00   ;   273,19 ;     
01.10.2012 00:00:00   ;   273,22 ;     
01.11.2012 00:00:00   ;   273,95 ;     
01.12.2012 00:00:00   ;   273,79 ;     
01.01.2013 00:00:00   ;   274,22 ;     
01.02.2013 00:00:00   ;   274,57 ;     
01.03.2013 00:00:00   ;   274,84 ;     
01.04.2013 00:00:00   ;   274,89 ;     
01.05.2013 00:00:00   ;   274,51 ;     
01.06.2013 00:00:00   ;   274,55 ;     
01.07.2013 00:00:00   ;   274,05 ;     
01.08.2013 00:00:00   ;   273,37 ;     
01.09.2013 00:00:00   ;   273,44 ;     
01.10.2013 00:00:00   ;   273,75 ;     
01.11.2013 00:00:00   ;   274,25 ;     
01.12.2013 00:00:00   ;   274,31 ;     
01.01.2014 00:00:00   ;   274,15 ;     
01.02.2014 00:00:00   ;   274,57 ;     
01.03.2014 00:00:00   ;   274,74 ;     
01.04.2014 00:00:00   ;   274,40 ;     
01.05.2014 00:00:00   ;   274,89 ;     
01.06.2014 00:00:00   ;   274,67 ;     
01.07.2014 00:00:00   ;   274,63 ;     
01.08.2014 00:00:00   ;   275,04 ;     
01.09.2014 00:00:00   ;Lücke     ;     
01.10.2014 00:00:00   ;   274,80 ;     
01.11.2014 00:00:00   ;   274,83 ;     
01.12.2014 00:00:00   ;   274,90 ;     
01.01.2015 00:00:00   ;   274,75 ;     
01.02.2015 00:00:00   ;   274,85 ;     
01.03.2015 00:00:00   ;   274,70 ;     
01.04.2015 00:00:00   ;   274,52 ;     
01.05.2015 00:00:00   ;Lücke     ;     
01.06.2015 00:00:00   ;   274,20 ;     
01.07.2015 00:00:00   ;   274,09 ;     
01.08.2015 00:00:00   ;   273,73 ;     
01.09.2015 00:00:00   ;   273,43 ;     
01.10.2015 00:00:00   ;Lücke     ;     
01.11.2015 00:00:00   ;   273,67 ;     
01.12.2015 00:00:00   ;   273,32 ;     
01.01.2016 00:00:00   ;   273,33 ;     
01.02.2016 00:00:00   ;Lücke     ;     
01.03.2016 00:00:00   ;   274,24 ;     
01.04.2016 00:00:00   ;   273,96 ;     
01.05.2016 00:00:00   ;Lücke     ;     
01.06.2016 00:00:00   ;   274,59 ;     
01.07.2016 00:00:00   ;Lücke     ;     
01.08.2016 00:00:00   ;   274,27 ;     
01.09.2016 00:00:00   ;   273,93 ;     
01.10.2016 00:00:00   ;   273,99 ;     
01.11.2016 00:00:00   ;   274,12 ;     
01.12.2016 00:00:00   ;   273,79 ;     
01.01.2017 00:00:00   ;   273,53 ;     
01.02.2017 00:00:00   ;   273,67 ;     
01.03.2017 00:00:00   ;   273,62 ;     
01.04.2017 00:00:00   ;   273,49 ;     
01.05.2017 00:00:00   ;   273,88 ;     
01.06.2017 00:00:00   ;   273,75 ;     
01.07.2017 00:00:00   ;   273,82 ;     
01.08.2017 00:00:00   ;   273,68 ;     
01.09.2017 00:00:00   ;   273,90 ;     
01.10.2017 00:00:00   ;   273,79 ;     
01.11.2017 00:00:00   ;   273,56 ;     
01.12.2017 00:00:00   ;   273,92 ;     
01.01.2018 00:00:00   ;   274,07 ;     
01.02.2018 00:00:00   ;   274,08 ;     
01.03.2018 00:00:00   ;   274,17 ;     
01.04.2018 00:00:00   ;   274,26 ;     
01.05.2018 00:00:00   ;   274,37 ;     
01.06.2018 00:00:00   ;   274,65 ;     
01.07.2018 00:00:00   ;   274,08 ;     
01.08.2018 00:00:00   ;   273,51 ;     
01.09.2018 00:00:00   ;   273,63 ;     
01.10.2018 00:00:00   ;   273,14 ;     
01.11.2018 00:00:00   ;   273,12 ;     
01.12.2018 00:00:00   ;   273,36 ;     
01.01.2019 00:00:00   ;   273,08 ;     
01.02.2019 00:00:00   ;   273,15 ;     
01.03.2019 00:00:00   ;   272,94 ;     
01.04.2019 00:00:00   ;   273,00 ;     
01.05.2019 00:00:00   ;   273,49 ;     
01.06.2019 00:00:00   ;   273,30 ;     
01.07.2019 00:00:00   ;   273,15 ;     
01.08.2019 00:00:00   ;   273,56 ;     
01.09.2019 00:00:00   ;   273,53 ;     
01.10.2019 00:00:00   ;   273,43 ;     
01.11.2019 00:00:00   ;   274,36 ;     
01.12.2019 00:00:00   ;   274,39 ;     
01.01.2020 00:00:00   ;   274,06 ;     
01.02.2020 00:00:00   ;   273,70 ;     
01.03.2020 00:00:00   ;   273,84 ;     
01.04.2020 00:00:00   ;   273,61 ;     
01.05.2020 00:00:00   ;   273,73 ;     
01.06.2020 00:00:00   ;   273,75 ;     
01.07.2020 00:00:00   ;   274,36 ;     
01.08.2020 00:00:00   ;   274,83 ;     
01.09.2020 00:00:00   ;   274,26 ;     
01.10.2020 00:00:00   ;   274,90 ;     
01.11.2020 00:00:00   ;   274,45 ;     
01.12.2020 00:00:00   ;   274,60 ;     
01.01.2021 00:00:00   ;   274,77 ;     
01.02.2021 00:00:00   ;   274,69 ;     
01.03.2021 00:00:00   ;   274,33 ;     
01.04.2021 00:00:00   ;   274,11 ;     
01.05.2021 00:00:00   ;   274,30 ;     
01.06.2021 00:00:00   ;   274,13 ;     
01.07.2021 00:00:00   ;   273,87 ;     
01.08.2021 00:00:00   ;   273,81 ;     
01.09.2021 00:00:00   ;   273,57 ;     
01.10.2021 00:00:00   ;   273,42 ;     
01.11.2021 00:00:00   ;   273,37 ;     
01.12.2021 00:00:00   ;   273,75 ;     
01.01.2022 00:00:00   ;Lücke         ; 
