Messstelle:                ;St. Peter, Bl 26.16
HZB-Nummer:                ;377937
HD-Nummer:                 ;2126.016
DBMS-Nummer:               ;4002825
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
01.10.2000 00:00:00   ;   247,65 ;     
01.11.2000 00:00:00   ;   247,61 ;     
01.12.2000 00:00:00   ;   247,64 ;     
01.01.2001 00:00:00   ;   247,53 ;     
01.02.2001 00:00:00   ;   247,42 ;     
01.03.2001 00:00:00   ;   247,43 ;     
01.04.2001 00:00:00   ;   247,43 ;     
01.05.2001 00:00:00   ;   247,45 ;     
01.06.2001 00:00:00   ;   247,50 ;     
01.07.2001 00:00:00   ;   247,52 ;     
01.08.2001 00:00:00   ;   247,59 ;     
01.09.2001 00:00:00   ;   247,55 ;     
01.10.2001 00:00:00   ;   247,54 ;     
01.11.2001 00:00:00   ;   247,69 ;     
01.12.2001 00:00:00   ;   247,57 ;     
01.01.2002 00:00:00   ;   247,47 ;     
01.02.2002 00:00:00   ;   247,40 ;     
01.03.2002 00:00:00   ;   247,45 ;     
01.04.2002 00:00:00   ;   247,31 ;     
01.05.2002 00:00:00   ;   247,20 ;     
01.06.2002 00:00:00   ;   247,15 ;     
01.07.2002 00:00:00   ;   247,27 ;     
01.08.2002 00:00:00   ;   247,56 ;     
01.09.2002 00:00:00   ;   247,43 ;     
01.10.2002 00:00:00   ;   247,42 ;     
01.11.2002 00:00:00   ;   247,48 ;     
01.12.2002 00:00:00   ;   247,46 ;     
01.01.2003 00:00:00   ;   247,53 ;     
01.02.2003 00:00:00   ;   247,37 ;     
01.03.2003 00:00:00   ;   247,28 ;     
01.04.2003 00:00:00   ;   247,30 ;     
01.05.2003 00:00:00   ;   247,22 ;     
01.06.2003 00:00:00   ;   247,26 ;     
01.07.2003 00:00:00   ;   247,38 ;     
01.08.2003 00:00:00   ;   247,36 ;     
01.09.2003 00:00:00   ;   247,18 ;     
01.10.2003 00:00:00   ;   247,18 ;     
01.11.2003 00:00:00   ;   247,18 ;     
01.12.2003 00:00:00   ;   247,46 ;     
01.01.2004 00:00:00   ;   247,23 ;     
01.02.2004 00:00:00   ;   247,13 ;     
01.03.2004 00:00:00   ;   247,21 ;     
01.04.2004 00:00:00   ;   247,15 ;     
01.05.2004 00:00:00   ;   247,10 ;     
01.06.2004 00:00:00   ;   247,30 ;     
01.07.2004 00:00:00   ;   247,41 ;     
01.08.2004 00:00:00   ;   247,40 ;     
01.09.2004 00:00:00   ;   247,32 ;     
01.10.2004 00:00:00   ;   247,37 ;     
01.11.2004 00:00:00   ;   247,29 ;     
01.12.2004 00:00:00   ;   247,24 ;     
01.01.2005 00:00:00   ;   247,03 ;     
01.02.2005 00:00:00   ;   247,02 ;     
01.03.2005 00:00:00   ;   246,96 ;     
01.04.2005 00:00:00   ;   247,05 ;     
01.05.2005 00:00:00   ;   247,00 ;     
01.06.2005 00:00:00   ;   247,09 ;     
01.07.2005 00:00:00   ;   247,21 ;     
01.08.2005 00:00:00   ;   247,25 ;     
01.09.2005 00:00:00   ;   247,31 ;     
01.10.2005 00:00:00   ;   247,17 ;     
01.11.2005 00:00:00   ;   247,08 ;     
01.12.2005 00:00:00   ;   247,07 ;     
01.01.2006 00:00:00   ;   247,06 ;     
01.02.2006 00:00:00   ;   247,04 ;     
01.03.2006 00:00:00   ;   247,08 ;     
01.04.2006 00:00:00   ;   247,07 ;     
01.05.2006 00:00:00   ;   247,02 ;     
01.06.2006 00:00:00   ;   247,01 ;     
01.07.2006 00:00:00   ;   247,03 ;     
01.08.2006 00:00:00   ;   247,18 ;     
01.09.2006 00:00:00   ;   247,01 ;     
01.10.2006 00:00:00   ;   247,03 ;     
01.11.2006 00:00:00   ;   247,15 ;     
01.12.2006 00:00:00   ;   247,12 ;     
01.01.2007 00:00:00   ;   247,07 ;     
01.02.2007 00:00:00   ;   247,13 ;     
01.03.2007 00:00:00   ;   247,36 ;     
01.04.2007 00:00:00   ;   247,13 ;     
01.05.2007 00:00:00   ;   247,12 ;     
01.06.2007 00:00:00   ;   247,12 ;     
01.07.2007 00:00:00   ;   247,12 ;     
01.08.2007 00:00:00   ;   247,23 ;     
01.09.2007 00:00:00   ;   247,24 ;     
01.10.2007 00:00:00   ;   247,08 ;     
01.11.2007 00:00:00   ;   247,21 ;     
01.12.2007 00:00:00   ;   247,10 ;     
01.01.2008 00:00:00   ;   246,81 ;     
01.02.2008 00:00:00   ;   246,67 ;     
01.03.2008 00:00:00   ;   246,59 ;     
01.04.2008 00:00:00   ;   246,72 ;     
01.05.2008 00:00:00   ;   246,76 ;     
01.06.2008 00:00:00   ;   246,76 ;     
01.07.2008 00:00:00   ;   246,77 ;     
01.08.2008 00:00:00   ;   246,86 ;     
01.09.2008 00:00:00   ;   246,85 ;     
01.10.2008 00:00:00   ;   246,85 ;     
01.11.2008 00:00:00   ;   246,89 ;     
01.12.2008 00:00:00   ;   246,74 ;     
01.01.2009 00:00:00   ;   246,95 ;     
01.02.2009 00:00:00   ;   246,94 ;     
01.03.2009 00:00:00   ;   246,77 ;     
01.04.2009 00:00:00   ;   247,32 ;     
01.05.2009 00:00:00   ;   247,21 ;     
01.06.2009 00:00:00   ;   247,10 ;     
01.07.2009 00:00:00   ;   247,24 ;     
01.08.2009 00:00:00   ;   247,37 ;     
01.09.2009 00:00:00   ;   246,99 ;     
01.10.2009 00:00:00   ;   246,94 ;     
01.11.2009 00:00:00   ;   246,84 ;     
01.12.2009 00:00:00   ;   247,12 ;     
01.01.2010 00:00:00   ;   247,12 ;     
01.02.2010 00:00:00   ;   247,36 ;     
01.03.2010 00:00:00   ;   247,20 ;     
01.04.2010 00:00:00   ;   246,94 ;     
01.05.2010 00:00:00   ;   246,74 ;     
01.06.2010 00:00:00   ;   246,68 ;     
01.07.2010 00:00:00   ;   246,74 ;     
01.08.2010 00:00:00   ;   246,79 ;     
01.09.2010 00:00:00   ;   246,62 ;     
01.10.2010 00:00:00   ;   246,50 ;     
01.11.2010 00:00:00   ;   246,50 ;     
01.12.2010 00:00:00   ;   246,74 ;     
01.01.2011 00:00:00   ;   246,53 ;     
01.02.2011 00:00:00   ;   246,51 ;     
01.03.2011 00:00:00   ;   246,41 ;     
01.04.2011 00:00:00   ;   246,63 ;     
01.05.2011 00:00:00   ;   246,84 ;     
01.06.2011 00:00:00   ;   246,86 ;     
01.07.2011 00:00:00   ;   246,91 ;     
01.08.2011 00:00:00   ;   246,95 ;     
01.09.2011 00:00:00   ;   246,60 ;     
01.10.2011 00:00:00   ;   246,61 ;     
01.11.2011 00:00:00   ;   246,69 ;     
01.12.2011 00:00:00   ;   247,05 ;     
01.01.2012 00:00:00   ;   247,02 ;     
01.02.2012 00:00:00   ;   246,71 ;     
01.03.2012 00:00:00   ;   246,48 ;     
01.04.2012 00:00:00   ;   246,70 ;     
01.05.2012 00:00:00   ;   246,84 ;     
01.06.2012 00:00:00   ;   247,00 ;     
01.07.2012 00:00:00   ;   247,17 ;     
01.08.2012 00:00:00   ;   247,02 ;     
01.09.2012 00:00:00   ;   246,86 ;     
01.10.2012 00:00:00   ;   246,90 ;     
01.11.2012 00:00:00   ;   246,89 ;     
01.12.2012 00:00:00   ;   247,05 ;     
01.01.2013 00:00:00   ;   246,84 ;     
01.02.2013 00:00:00   ;   246,72 ;     
01.03.2013 00:00:00   ;   246,69 ;     
01.04.2013 00:00:00   ;   246,65 ;     
01.05.2013 00:00:00   ;   247,23 ;     
01.06.2013 00:00:00   ;   247,35 ;     
01.07.2013 00:00:00   ;   247,25 ;     
01.08.2013 00:00:00   ;   247,11 ;     
01.09.2013 00:00:00   ;   247,10 ;     
01.10.2013 00:00:00   ;   246,92 ;     
01.11.2013 00:00:00   ;   246,83 ;     
01.12.2013 00:00:00   ;   246,75 ;     
01.01.2014 00:00:00   ;   246,66 ;     
01.02.2014 00:00:00   ;   246,37 ;     
01.03.2014 00:00:00   ;   246,52 ;     
01.04.2014 00:00:00   ;   246,41 ;     
01.05.2014 00:00:00   ;   246,49 ;     
01.06.2014 00:00:00   ;   246,40 ;     
01.07.2014 00:00:00   ;   246,32 ;     
01.08.2014 00:00:00   ;   246,53 ;     
01.09.2014 00:00:00   ;   246,70 ;     
01.10.2014 00:00:00   ;   246,68 ;     
01.11.2014 00:00:00   ;   246,80 ;     
01.12.2014 00:00:00   ;   246,76 ;     
01.01.2015 00:00:00   ;   246,60 ;     
01.02.2015 00:00:00   ;   246,27 ;     
01.03.2015 00:00:00   ;   246,27 ;     
01.04.2015 00:00:00   ;   246,30 ;     
01.05.2015 00:00:00   ;   246,26 ;     
01.06.2015 00:00:00   ;   246,33 ;     
01.07.2015 00:00:00   ;   246,56 ;     
01.08.2015 00:00:00   ;   246,52 ;     
01.09.2015 00:00:00   ;   246,31 ;     
01.10.2015 00:00:00   ;   246,33 ;     
01.11.2015 00:00:00   ;   246,39 ;     
01.12.2015 00:00:00   ;   246,35 ;     
01.01.2016 00:00:00   ;   246,17 ;     
01.02.2016 00:00:00   ;   246,23 ;     
01.03.2016 00:00:00   ;   246,27 ;     
01.04.2016 00:00:00   ;   246,19 ;     
01.05.2016 00:00:00   ;   246,15 ;     
01.06.2016 00:00:00   ;   246,60 ;     
01.07.2016 00:00:00   ;   246,75 ;     
01.08.2016 00:00:00   ;   246,57 ;     
01.09.2016 00:00:00   ;   246,38 ;     
01.10.2016 00:00:00   ;   246,34 ;     
01.11.2016 00:00:00   ;   246,37 ;     
01.12.2016 00:00:00   ;   246,56 ;     
01.01.2017 00:00:00   ;   246,22 ;     
01.02.2017 00:00:00   ;   245,98 ;     
01.03.2017 00:00:00   ;   246,26 ;     
01.04.2017 00:00:00   ;   246,18 ;     
01.05.2017 00:00:00   ;   246,15 ;     
01.06.2017 00:00:00   ;   246,17 ;     
01.07.2017 00:00:00   ;   246,19 ;     
01.08.2017 00:00:00   ;   246,45 ;     
01.09.2017 00:00:00   ;   246,53 ;     
01.10.2017 00:00:00   ;   246,64 ;     
01.11.2017 00:00:00   ;   246,58 ;     
01.12.2017 00:00:00   ;   246,71 ;     
01.01.2018 00:00:00   ;   246,22 ;     
01.02.2018 00:00:00   ;   246,26 ;     
01.03.2018 00:00:00   ;   246,85 ;     
01.04.2018 00:00:00   ;   247,05 ;     
01.05.2018 00:00:00   ;   246,95 ;     
01.06.2018 00:00:00   ;   247,10 ;     
01.07.2018 00:00:00   ;   247,25 ;     
01.08.2018 00:00:00   ;   247,11 ;     
01.09.2018 00:00:00   ;   247,02 ;     
01.10.2018 00:00:00   ;   246,93 ;     
01.11.2018 00:00:00   ;   246,96 ;     
01.12.2018 00:00:00   ;   247,22 ;     
01.01.2019 00:00:00   ;   247,34 ;     
01.02.2019 00:00:00   ;   247,20 ;     
01.03.2019 00:00:00   ;   247,24 ;     
01.04.2019 00:00:00   ;   247,24 ;     
01.05.2019 00:00:00   ;   247,06 ;     
01.06.2019 00:00:00   ;   246,68 ;     
01.07.2019 00:00:00   ;   247,02 ;     
01.08.2019 00:00:00   ;   246,92 ;     
01.09.2019 00:00:00   ;   246,86 ;     
01.10.2019 00:00:00   ;   246,96 ;     
01.11.2019 00:00:00   ;   246,98 ;     
01.12.2019 00:00:00   ;   247,16 ;     
01.01.2020 00:00:00   ;   247,13 ;     
01.02.2020 00:00:00   ;   247,23 ;     
01.03.2020 00:00:00   ;   247,30 ;     
01.04.2020 00:00:00   ;   247,34 ;     
01.05.2020 00:00:00   ;   247,27 ;     
01.06.2020 00:00:00   ;   247,22 ;     
01.07.2020 00:00:00   ;   247,19 ;     
01.08.2020 00:00:00   ;   247,20 ;     
01.09.2020 00:00:00   ;   246,79 ;     
01.10.2020 00:00:00   ;   247,08 ;     
01.11.2020 00:00:00   ;   247,15 ;     
01.12.2020 00:00:00   ;   247,06 ;     
01.01.2021 00:00:00   ;   247,17 ;     
01.02.2021 00:00:00   ;   247,21 ;     
01.03.2021 00:00:00   ;   247,10 ;     
01.04.2021 00:00:00   ;   247,13 ;     
01.05.2021 00:00:00   ;   247,07 ;     
01.06.2021 00:00:00   ;   247,15 ;     
01.07.2021 00:00:00   ;   247,23 ;     
01.08.2021 00:00:00   ;   247,36 ;     
01.09.2021 00:00:00   ;   247,09 ;     
01.10.2021 00:00:00   ;   247,05 ;     
01.11.2021 00:00:00   ;   247,23 ;     
01.12.2021 00:00:00   ;   247,22 ;     
01.01.2022 00:00:00   ;Lücke         ; 
