Messstelle:                ;Eckartsau, Bl 1892.3
HZB-Nummer:                ;356147
HD-Nummer:                 ;3HD39203
DBMS-Nummer:               ;10001124
Fremdnummer:               ;1892.003
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
01.08.2001 00:00:00   ;   141,62 ;     
01.09.2001 00:00:00   ;   142,02 ;     
01.10.2001 00:00:00   ;   141,65 ;     
01.11.2001 00:00:00   ;   141,20 ;     
01.12.2001 00:00:00   ;   141,60 ;     
01.01.2002 00:00:00   ;   141,69 ;     
01.02.2002 00:00:00   ;   142,01 ;     
01.03.2002 00:00:00   ;Lücke     ;     
01.04.2002 00:00:00   ;Lücke     ;     
01.05.2002 00:00:00   ;   142,29 ;     
01.06.2002 00:00:00   ;   142,13 ;     
01.07.2002 00:00:00   ;   141,67 ;     
01.08.2002 00:00:00   ;Lücke     ;     
01.09.2002 00:00:00   ;Lücke     ;     
01.10.2002 00:00:00   ;   142,54 ;     
01.11.2002 00:00:00   ;   143,42 ;     
01.12.2002 00:00:00   ;   142,73 ;     
01.01.2003 00:00:00   ;Lücke     ;     
01.02.2003 00:00:00   ;   142,31 ;     
01.03.2003 00:00:00   ;   141,85 ;     
01.04.2003 00:00:00   ;   141,64 ;     
01.05.2003 00:00:00   ;   141,67 ;     
01.06.2003 00:00:00   ;   141,56 ;     
01.07.2003 00:00:00   ;   141,16 ;     
01.08.2003 00:00:00   ;   140,90 ;     
01.09.2003 00:00:00   ;   140,76 ;     
01.10.2003 00:00:00   ;   141,07 ;     
01.11.2003 00:00:00   ;   140,81 ;     
01.12.2003 00:00:00   ;   140,61 ;     
01.01.2004 00:00:00   ;Lücke     ;     
01.02.2004 00:00:00   ;Lücke     ;     
01.03.2004 00:00:00   ;Lücke     ;     
01.04.2004 00:00:00   ;   141,63 ;     
01.05.2004 00:00:00   ;   141,68 ;     
01.06.2004 00:00:00   ;   142,18 ;     
01.07.2004 00:00:00   ;   141,89 ;     
01.08.2004 00:00:00   ;   141,36 ;     
01.09.2004 00:00:00   ;   141,13 ;     
01.10.2004 00:00:00   ;   141,09 ;     
01.11.2004 00:00:00   ;   140,92 ;     
01.12.2004 00:00:00   ;   140,83 ;     
01.01.2005 00:00:00   ;   140,84 ;     
01.02.2005 00:00:00   ;Lücke     ;     
01.03.2005 00:00:00   ;Lücke     ;     
01.04.2005 00:00:00   ;   142,55 ;     
01.05.2005 00:00:00   ;   142,54 ;     
01.06.2005 00:00:00   ;   142,00 ;     
01.07.2005 00:00:00   ;   142,41 ;     
01.08.2005 00:00:00   ;   142,56 ;     
01.09.2005 00:00:00   ;   142,44 ;     
01.10.2005 00:00:00   ;   141,59 ;     
01.11.2005 00:00:00   ;   141,02 ;     
01.12.2005 00:00:00   ;Lücke     ;     
01.01.2006 00:00:00   ;Lücke     ;     
01.02.2006 00:00:00   ;Lücke     ;     
01.03.2006 00:00:00   ;Lücke     ;     
01.04.2006 00:00:00   ;   144,26 ;     
01.05.2006 00:00:00   ;   143,17 ;     
01.06.2006 00:00:00   ;Lücke     ;     
01.07.2006 00:00:00   ;   142,18 ;     
01.08.2006 00:00:00   ;   142,52 ;     
01.09.2006 00:00:00   ;   142,02 ;     
01.10.2006 00:00:00   ;   141,27 ;     
01.11.2006 00:00:00   ;   141,16 ;     
01.12.2006 00:00:00   ;   140,98 ;     
01.01.2007 00:00:00   ;   141,07 ;     
01.02.2007 00:00:00   ;   141,30 ;     
01.03.2007 00:00:00   ;   141,45 ;     
01.04.2007 00:00:00   ;   141,31 ;     
01.05.2007 00:00:00   ;   141,46 ;     
01.06.2007 00:00:00   ;   141,43 ;     
01.07.2007 00:00:00   ;   141,43 ;     
01.08.2007 00:00:00   ;   141,11 ;     
01.09.2007 00:00:00   ;   142,99 ;     
01.10.2007 00:00:00   ;   142,00 ;     
01.11.2007 00:00:00   ;   141,90 ;     
01.12.2007 00:00:00   ;   142,01 ;     
01.01.2008 00:00:00   ;   141,55 ;     
01.02.2008 00:00:00   ;   141,36 ;     
01.03.2008 00:00:00   ;   141,73 ;     
01.04.2008 00:00:00   ;   141,87 ;     
01.05.2008 00:00:00   ;   142,02 ;     
01.06.2008 00:00:00   ;   142,09 ;     
01.07.2008 00:00:00   ;   141,95 ;     
01.08.2008 00:00:00   ;   142,12 ;     
01.09.2008 00:00:00   ;   141,43 ;     
01.10.2008 00:00:00   ;   141,08 ;     
01.11.2008 00:00:00   ;   140,91 ;     
01.12.2008 00:00:00   ;   141,01 ;     
01.01.2009 00:00:00   ;   140,90 ;     
01.02.2009 00:00:00   ;   140,82 ;     
01.03.2009 00:00:00   ;   141,85 ;     
01.04.2009 00:00:00   ;   142,80 ;     
01.05.2009 00:00:00   ;   142,38 ;     
01.06.2009 00:00:00   ;   142,59 ;     
01.07.2009 00:00:00   ;   143,36 ;     
01.08.2009 00:00:00   ;   142,29 ;     
01.09.2009 00:00:00   ;   141,61 ;     
01.10.2009 00:00:00   ;   141,18 ;     
01.11.2009 00:00:00   ;   141,16 ;     
01.12.2009 00:00:00   ;   141,13 ;     
01.01.2010 00:00:00   ;   141,05 ;     
01.02.2010 00:00:00   ;   140,88 ;     
01.03.2010 00:00:00   ;   141,38 ;     
01.04.2010 00:00:00   ;   141,43 ;     
01.05.2010 00:00:00   ;   141,67 ;     
01.06.2010 00:00:00   ;   143,45 ;     
01.07.2010 00:00:00   ;   142,29 ;     
01.08.2010 00:00:00   ;   142,63 ;     
01.09.2010 00:00:00   ;   142,38 ;     
01.10.2010 00:00:00   ;   141,50 ;     
01.11.2010 00:00:00   ;   141,26 ;     
01.12.2010 00:00:00   ;   141,47 ;     
01.01.2011 00:00:00   ;   142,57 ;     
01.02.2011 00:00:00   ;   142,06 ;     
01.03.2011 00:00:00   ;   141,42 ;     
01.04.2011 00:00:00   ;   141,34 ;     
01.05.2011 00:00:00   ;   141,12 ;     
01.06.2011 00:00:00   ;   141,37 ;     
01.07.2011 00:00:00   ;   141,45 ;     
01.08.2011 00:00:00   ;   141,49 ;     
01.09.2011 00:00:00   ;   141,04 ;     
01.10.2011 00:00:00   ;   141,31 ;     
01.11.2011 00:00:00   ;   140,82 ;     
01.12.2011 00:00:00   ;   140,79 ;     
01.01.2012 00:00:00   ;   141,62 ;     
01.02.2012 00:00:00   ;   141,51 ;     
01.03.2012 00:00:00   ;   141,71 ;     
01.04.2012 00:00:00   ;   141,68 ;     
01.05.2012 00:00:00   ;   141,76 ;     
01.06.2012 00:00:00   ;   142,36 ;     
01.07.2012 00:00:00   ;   141,87 ;     
01.08.2012 00:00:00   ;   141,31 ;     
01.09.2012 00:00:00   ;   141,31 ;     
01.10.2012 00:00:00   ;   141,12 ;     
01.11.2012 00:00:00   ;   141,05 ;     
01.12.2012 00:00:00   ;   141,12 ;     
01.01.2013 00:00:00   ;   142,38 ;     
01.02.2013 00:00:00   ;   142,41 ;     
01.03.2013 00:00:00   ;   141,85 ;     
01.04.2013 00:00:00   ;   141,92 ;     
01.05.2013 00:00:00   ;   142,23 ;     
01.06.2013 00:00:00   ;   144,36 ;     
01.07.2013 00:00:00   ;   142,40 ;     
01.08.2013 00:00:00   ;   141,39 ;     
01.09.2013 00:00:00   ;   141,59 ;     
01.10.2013 00:00:00   ;   141,49 ;     
01.11.2013 00:00:00   ;   141,45 ;     
01.12.2013 00:00:00   ;   141,11 ;     
01.01.2014 00:00:00   ;   140,86 ;     
01.02.2014 00:00:00   ;   140,83 ;     
01.03.2014 00:00:00   ;   140,73 ;     
01.04.2014 00:00:00   ;   140,84 ;     
01.05.2014 00:00:00   ;   141,68 ;     
01.06.2014 00:00:00   ;   141,85 ;     
01.07.2014 00:00:00   ;   141,37 ;     
01.08.2014 00:00:00   ;   142,03 ;     
01.09.2014 00:00:00   ;   142,14 ;     
01.10.2014 00:00:00   ;   141,78 ;     
01.11.2014 00:00:00   ;   141,89 ;     
01.12.2014 00:00:00   ;   141,24 ;     
01.01.2015 00:00:00   ;   141,90 ;     
01.02.2015 00:00:00   ;   141,46 ;     
01.03.2015 00:00:00   ;   141,37 ;     
01.04.2015 00:00:00   ;   141,72 ;     
01.05.2015 00:00:00   ;   142,19 ;     
01.06.2015 00:00:00   ;   142,18 ;     
01.07.2015 00:00:00   ;   141,39 ;     
01.08.2015 00:00:00   ;   140,91 ;     
01.09.2015 00:00:00   ;   140,70 ;     
01.10.2015 00:00:00   ;   140,67 ;     
01.11.2015 00:00:00   ;   140,52 ;     
01.12.2015 00:00:00   ;   140,66 ;     
01.01.2016 00:00:00   ;   140,58 ;     
01.02.2016 00:00:00   ;   141,63 ;     
01.03.2016 00:00:00   ;   141,34 ;     
01.04.2016 00:00:00   ;   141,27 ;     
01.05.2016 00:00:00   ;   141,58 ;     
01.06.2016 00:00:00   ;   142,58 ;     
01.07.2016 00:00:00   ;   142,59 ;     
01.08.2016 00:00:00   ;   142,19 ;     
01.09.2016 00:00:00   ;   141,42 ;     
01.10.2016 00:00:00   ;   141,04 ;     
01.11.2016 00:00:00   ;   141,02 ;     
01.12.2016 00:00:00   ;   140,78 ;     
01.01.2017 00:00:00   ;   140,58 ;     
01.02.2017 00:00:00   ;   140,76 ;     
01.03.2017 00:00:00   ;   141,51 ;     
01.04.2017 00:00:00   ;   141,40 ;     
01.05.2017 00:00:00   ;   141,84 ;     
01.06.2017 00:00:00   ;   141,35 ;     
01.07.2017 00:00:00   ;   141,12 ;     
01.08.2017 00:00:00   ;   141,44 ;     
01.09.2017 00:00:00   ;   141,57 ;     
01.10.2017 00:00:00   ;   141,16 ;     
01.11.2017 00:00:00   ;   141,26 ;     
01.12.2017 00:00:00   ;   141,17 ;     
01.01.2018 00:00:00   ;   142,02 ;     
01.02.2018 00:00:00   ;   141,62 ;     
01.03.2018 00:00:00   ;   141,19 ;     
01.04.2018 00:00:00   ;   141,49 ;     
01.05.2018 00:00:00   ;   141,54 ;     
01.06.2018 00:00:00   ;   141,36 ;     
01.07.2018 00:00:00   ;   141,10 ;     
01.08.2018 00:00:00   ;   140,54 ;     
01.09.2018 00:00:00   ;   140,60 ;     
01.10.2018 00:00:00   ;   140,34 ;     
01.11.2018 00:00:00   ;   140,33 ;     
01.12.2018 00:00:00   ;   140,70 ;     
01.01.2019 00:00:00   ;   141,43 ;     
01.02.2019 00:00:00   ;   141,15 ;     
01.03.2019 00:00:00   ;   141,89 ;     
01.04.2019 00:00:00   ;   141,68 ;     
01.05.2019 00:00:00   ;   142,03 ;     
01.06.2019 00:00:00   ;   142,84 ;     
01.07.2019 00:00:00   ;   141,58 ;     
01.08.2019 00:00:00   ;   141,19 ;     
01.09.2019 00:00:00   ;   140,91 ;     
01.10.2019 00:00:00   ;   140,73 ;     
01.11.2019 00:00:00   ;   140,70 ;     
01.12.2019 00:00:00   ;   140,59 ;     
01.01.2020 00:00:00   ;   140,59 ;     
01.02.2020 00:00:00   ;   141,59 ;     
01.03.2020 00:00:00   ;   141,46 ;     
01.04.2020 00:00:00   ;   140,96 ;     
01.05.2020 00:00:00   ;   140,99 ;     
01.06.2020 00:00:00   ;   141,34 ;     
01.07.2020 00:00:00   ;   141,55 ;     
01.08.2020 00:00:00   ;   141,76 ;     
01.09.2020 00:00:00   ;   141,33 ;     
01.10.2020 00:00:00   ;   141,23 ;     
01.11.2020 00:00:00   ;   141,15 ;     
01.12.2020 00:00:00   ;   140,70 ;     
01.01.2021 00:00:00   ;   140,60 ;     
01.02.2021 00:00:00   ;   141,40 ;     
01.03.2021 00:00:00   ;   141,00 ;     
01.04.2021 00:00:00   ;   140,98 ;     
01.05.2021 00:00:00   ;   141,40 ;     
01.06.2021 00:00:00   ;   141,61 ;     
01.07.2021 00:00:00   ;   142,07 ;     
01.08.2021 00:00:00   ;   142,21 ;     
01.09.2021 00:00:00   ;   141,63 ;     
01.10.2021 00:00:00   ;   140,90 ;     
01.11.2021 00:00:00   ;   140,62 ;     
01.12.2021 00:00:00   ;   140,73 ;     
01.01.2022 00:00:00   ;Lücke         ; 
