Messstelle:                ;Arnbach, Bl  6 (B2)
HZB-Nummer:                ;360321
HD-Nummer:                 ;
DBMS-Nummer:               ;7004855
Fremdnummer:               ;GW70728074
PorenGW-Gebiet:            ;404 Pustertal
Grundwasserkörper:         ;Gruppe Südliche Kalkalpen [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Gemeinde Sillian
01.02.2016 00:00:00   ;  1085,05 ;     
01.03.2016 00:00:00   ;  1085,10 ;     
01.04.2016 00:00:00   ;  1085,51 ;     
01.05.2016 00:00:00   ;  1085,25 ;     
01.06.2016 00:00:00   ;  1085,55 ;     
01.07.2016 00:00:00   ;  1085,46 ;     
01.08.2016 00:00:00   ;  1085,51 ;     
01.09.2016 00:00:00   ;  1085,22 ;     
01.10.2016 00:00:00   ;  1085,08 ;     
01.11.2016 00:00:00   ;  1085,02 ;     
01.12.2016 00:00:00   ;  1084,93 ;     
01.01.2017 00:00:00   ;  1084,90 ;     
01.02.2017 00:00:00   ;  1085,02 ;     
01.03.2017 00:00:00   ;  1085,03 ;     
01.04.2017 00:00:00   ;  1084,97 ;     
01.05.2017 00:00:00   ;  1085,05 ;     
01.06.2017 00:00:00   ;  1085,10 ;     
01.07.2017 00:00:00   ;  1085,14 ;     
01.08.2017 00:00:00   ;  1085,08 ;     
01.09.2017 00:00:00   ;  1085,17 ;     
01.10.2017 00:00:00   ;  1085,11 ;     
01.11.2017 00:00:00   ;  1084,97 ;     
01.12.2017 00:00:00   ;  1084,95 ;     
01.01.2018 00:00:00   ;  1084,96 ;     
01.02.2018 00:00:00   ;  1084,99 ;     
01.03.2018 00:00:00   ;  1084,99 ;     
01.04.2018 00:00:00   ;  1085,69 ;     
01.05.2018 00:00:00   ;  1085,62 ;     
01.06.2018 00:00:00   ;  1085,39 ;     
01.07.2018 00:00:00   ;  1085,16 ;     
01.08.2018 00:00:00   ;  1085,08 ;     
01.09.2018 00:00:00   ;  1085,18 ;     
01.10.2018 00:00:00   ;  1085,14 ;     
01.11.2018 00:00:00   ;  1085,85 ;     
01.12.2018 00:00:00   ;  1085,26 ;     
01.01.2019 00:00:00   ;  1085,15 ;     
01.02.2019 00:00:00   ;  1085,10 ;     
01.03.2019 00:00:00   ;  1085,16 ;     
01.04.2019 00:00:00   ;  1085,50 ;     
01.05.2019 00:00:00   ;  1085,53 ;     
01.06.2019 00:00:00   ;  1085,47 ;     
01.07.2019 00:00:00   ;  1085,22 ;     
01.08.2019 00:00:00   ;  1085,16 ;     
01.09.2019 00:00:00   ;  1085,16 ;     
01.10.2019 00:00:00   ;  1085,13 ;     
01.11.2019 00:00:00   ;  1085,50 ;     
01.12.2019 00:00:00   ;  1085,55 ;     
01.01.2020 00:00:00   ;  1085,33 ;     
01.02.2020 00:00:00   ;  1085,23 ;     
01.03.2020 00:00:00   ;  1085,40 ;     
01.04.2020 00:00:00   ;  1085,69 ;     
01.05.2020 00:00:00   ;  1085,77 ;     
01.06.2020 00:00:00   ;  1085,62 ;     
01.07.2020 00:00:00   ;  1085,49 ;     
01.08.2020 00:00:00   ;  1085,53 ;     
01.09.2020 00:00:00   ;  1085,69 ;     
01.10.2020 00:00:00   ;  1085,58 ;     
01.11.2020 00:00:00   ;  1085,34 ;     
01.12.2020 00:00:00   ;  1085,26 ;     
01.01.2021 00:00:00   ;  1085,22 ;     
01.02.2021 00:00:00   ;  1085,21 ;     
01.03.2021 00:00:00   ;  1085,26 ;     
01.04.2021 00:00:00   ;  1085,67 ;     
01.05.2021 00:00:00   ;  1086,06 ;     
01.06.2021 00:00:00   ;  1085,60 ;     
01.07.2021 00:00:00   ;  1085,38 ;     
01.08.2021 00:00:00   ;  1085,40 ;     
01.09.2021 00:00:00   ;  1085,19 ;     
01.10.2021 00:00:00   ;  1085,07 ;     
01.11.2021 00:00:00   ;  1085,09 ;     
01.12.2021 00:00:00   ;  1085,01 ;     
01.01.2022 00:00:00   ;Lücke         ; 
