Messstelle:                ;Lorüns, Bl 08.27.18
HZB-Nummer:                ;378992
HD-Nummer:                 ;08.27.18
DBMS-Nummer:               ;8002438
PorenGW-Gebiet:            ;001 Montafon
Grundwasserkörper:         ;Gruppe Nördliche Kalkalpen [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Land Vorarlberg, Straßenbau
01.03.2010 00:00:00   ;   589,80 ;     
01.04.2010 00:00:00   ;   589,84 ;     
01.05.2010 00:00:00   ;   589,85 ;     
01.06.2010 00:00:00   ;   590,04 ;     
01.07.2010 00:00:00   ;   589,91 ;     
01.08.2010 00:00:00   ;   590,14 ;     
01.09.2010 00:00:00   ;   590,28 ;     
01.10.2010 00:00:00   ;   589,85 ;     
01.11.2010 00:00:00   ;   589,80 ;     
01.12.2010 00:00:00   ;   589,81 ;     
01.01.2011 00:00:00   ;   589,84 ;     
01.02.2011 00:00:00   ;   589,77 ;     
01.03.2011 00:00:00   ;   589,78 ;     
01.04.2011 00:00:00   ;   589,77 ;     
01.05.2011 00:00:00   ;   589,76 ;     
01.06.2011 00:00:00   ;   589,83 ;     
01.07.2011 00:00:00   ;   589,85 ;     
01.08.2011 00:00:00   ;   589,86 ;     
01.09.2011 00:00:00   ;   589,80 ;     
01.10.2011 00:00:00   ;   589,89 ;     
01.11.2011 00:00:00   ;   589,75 ;     
01.12.2011 00:00:00   ;   589,78 ;     
01.01.2012 00:00:00   ;   589,94 ;     
01.02.2012 00:00:00   ;   589,82 ;     
01.03.2012 00:00:00   ;   589,92 ;     
01.04.2012 00:00:00   ;   589,85 ;     
01.05.2012 00:00:00   ;   589,86 ;     
01.06.2012 00:00:00   ;   590,14 ;     
01.07.2012 00:00:00   ;   589,89 ;     
01.08.2012 00:00:00   ;   589,81 ;     
01.09.2012 00:00:00   ;   589,80 ;     
01.10.2012 00:00:00   ;   589,86 ;     
01.11.2012 00:00:00   ;   589,83 ;     
01.12.2012 00:00:00   ;   589,87 ;     
01.01.2013 00:00:00   ;   589,86 ;     
01.02.2013 00:00:00   ;   589,83 ;     
01.03.2013 00:00:00   ;   589,80 ;     
01.04.2013 00:00:00   ;   589,79 ;     
01.05.2013 00:00:00   ;   589,82 ;     
01.06.2013 00:00:00   ;   590,08 ;     
01.07.2013 00:00:00   ;   589,93 ;     
01.08.2013 00:00:00   ;   589,77 ;     
01.09.2013 00:00:00   ;   589,79 ;     
01.10.2013 00:00:00   ;   589,83 ;     
01.11.2013 00:00:00   ;   589,83 ;     
01.12.2013 00:00:00   ;   589,75 ;     
01.01.2014 00:00:00   ;   589,76 ;     
01.02.2014 00:00:00   ;   589,76 ;     
01.03.2014 00:00:00   ;   589,74 ;     
01.04.2014 00:00:00   ;   589,74 ;     
01.05.2014 00:00:00   ;   589,76 ;     
01.06.2014 00:00:00   ;   589,76 ;     
01.07.2014 00:00:00   ;   589,81 ;     
01.08.2014 00:00:00   ;   589,87 ;     
01.09.2014 00:00:00   ;   589,82 ;     
01.10.2014 00:00:00   ;   589,79 ;     
01.11.2014 00:00:00   ;   589,75 ;     
01.12.2014 00:00:00   ;   589,72 ;     
01.01.2015 00:00:00   ;   589,78 ;     
01.02.2015 00:00:00   ;   589,72 ;     
01.03.2015 00:00:00   ;   589,73 ;     
01.04.2015 00:00:00   ;   589,80 ;     
01.05.2015 00:00:00   ;   589,81 ;     
01.06.2015 00:00:00   ;   589,86 ;     
01.07.2015 00:00:00   ;   589,78 ;     
01.08.2015 00:00:00   ;   589,73 ;     
01.09.2015 00:00:00   ;   589,67 ;     
01.10.2015 00:00:00   ;   589,66 ;     
01.11.2015 00:00:00   ;   589,65 ;     
01.12.2015 00:00:00   ;   589,67 ;     
01.01.2016 00:00:00   ;   589,71 ;     
01.02.2016 00:00:00   ;   589,82 ;     
01.03.2016 00:00:00   ;   589,78 ;     
01.04.2016 00:00:00   ;   589,79 ;     
01.05.2016 00:00:00   ;   589,87 ;     
01.06.2016 00:00:00   ;   590,09 ;     
01.07.2016 00:00:00   ;   589,91 ;     
01.08.2016 00:00:00   ;   589,87 ;     
01.09.2016 00:00:00   ;   589,79 ;     
01.10.2016 00:00:00   ;   589,77 ;     
01.11.2016 00:00:00   ;   589,73 ;     
01.12.2016 00:00:00   ;   589,72 ;     
01.01.2017 00:00:00   ;   589,86 ;     
01.02.2017 00:00:00   ;   589,78 ;     
01.03.2017 00:00:00   ;   589,88 ;     
01.04.2017 00:00:00   ;   589,77 ;     
01.05.2017 00:00:00   ;   589,85 ;     
01.06.2017 00:00:00   ;   589,81 ;     
01.07.2017 00:00:00   ;   589,90 ;     
01.08.2017 00:00:00   ;   589,90 ;     
01.09.2017 00:00:00   ;   589,88 ;     
01.10.2017 00:00:00   ;   589,79 ;     
01.11.2017 00:00:00   ;   589,86 ;     
01.12.2017 00:00:00   ;   589,84 ;     
01.01.2018 00:00:00   ;   589,96 ;     
01.02.2018 00:00:00   ;   589,88 ;     
01.03.2018 00:00:00   ;   589,89 ;     
01.04.2018 00:00:00   ;   589,86 ;     
01.05.2018 00:00:00   ;   589,83 ;     
01.06.2018 00:00:00   ;   589,81 ;     
01.07.2018 00:00:00   ;   589,73 ;     
01.08.2018 00:00:00   ;   589,71 ;     
01.09.2018 00:00:00   ;   589,67 ;     
01.10.2018 00:00:00   ;   589,64 ;     
01.11.2018 00:00:00   ;   589,63 ;     
01.12.2018 00:00:00   ;   589,67 ;     
01.01.2019 00:00:00   ;   589,74 ;     
01.02.2019 00:00:00   ;   589,77 ;     
01.03.2019 00:00:00   ;   589,85 ;     
01.04.2019 00:00:00   ;   589,79 ;     
01.05.2019 00:00:00   ;   589,85 ;     
01.06.2019 00:00:00   ;   590,14 ;     
01.07.2019 00:00:00   ;   589,86 ;     
01.08.2019 00:00:00   ;   589,83 ;     
01.09.2019 00:00:00   ;   589,78 ;     
01.10.2019 00:00:00   ;   589,78 ;     
01.11.2019 00:00:00   ;   589,79 ;     
01.12.2019 00:00:00   ;   589,78 ;     
01.01.2020 00:00:00   ;Lücke     ;     
01.02.2020 00:00:00   ;Lücke     ;     
01.03.2020 00:00:00   ;Lücke     ;     
01.04.2020 00:00:00   ;Lücke     ;     
01.05.2020 00:00:00   ;Lücke     ;     
01.06.2020 00:00:00   ;Lücke     ;     
01.07.2020 00:00:00   ;Lücke     ;     
01.08.2020 00:00:00   ;Lücke     ;     
01.09.2020 00:00:00   ;   589,86 ;     
01.10.2020 00:00:00   ;   589,85 ;     
01.11.2020 00:00:00   ;   589,80 ;     
01.12.2020 00:00:00   ;   589,75 ;     
01.01.2021 00:00:00   ;   589,77 ;     
01.02.2021 00:00:00   ;   589,97 ;     
01.03.2021 00:00:00   ;   589,84 ;     
01.04.2021 00:00:00   ;   589,79 ;     
01.05.2021 00:00:00   ;   589,81 ;     
01.06.2021 00:00:00   ;   589,94 ;     
01.07.2021 00:00:00   ;   589,85 ;     
01.08.2021 00:00:00   ;   589,98 ;     
01.09.2021 00:00:00   ;   589,86 ;     
01.10.2021 00:00:00   ;   589,78 ;     
01.11.2021 00:00:00   ;   589,77 ;     
01.12.2021 00:00:00   ;   589,80 ;     
01.01.2022 00:00:00   ;Lücke         ; 
