Messstelle:                ;Wien 22, Br 22-180
HZB-Nummer:                ;350199
HD-Nummer:                 ;22-180
DBMS-Nummer:               ;9002266
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Wien (MA 45)
Messstellenbetreiber:      ;Forstamt u. Landwirtschaftsbetriebe der Stadt Wien
01.08.1996 00:00:00   ;   150,77 ;     
01.09.1996 00:00:00   ;   150,73 ;     
01.10.1996 00:00:00   ;   150,73 ;     
01.11.1996 00:00:00   ;   150,77 ;     
01.12.1996 00:00:00   ;   150,80 ;     
01.01.1997 00:00:00   ;   150,80 ;     
01.02.1997 00:00:00   ;   150,78 ;     
01.03.1997 00:00:00   ;   150,77 ;     
01.04.1997 00:00:00   ;   150,82 ;     
01.05.1997 00:00:00   ;   150,81 ;     
01.06.1997 00:00:00   ;   150,77 ;     
01.07.1997 00:00:00   ;   150,93 ;     
01.08.1997 00:00:00   ;   151,04 ;     
01.09.1997 00:00:00   ;   150,92 ;     
01.10.1997 00:00:00   ;   150,81 ;     
01.11.1997 00:00:00   ;   150,77 ;     
01.12.1997 00:00:00   ;   150,75 ;     
01.01.1998 00:00:00   ;   150,75 ;     
01.02.1998 00:00:00   ;   150,75 ;     
01.03.1998 00:00:00   ;   150,74 ;     
01.04.1998 00:00:00   ;   150,73 ;     
01.05.1998 00:00:00   ;   150,69 ;     
01.06.1998 00:00:00   ;   150,66 ;     
01.07.1998 00:00:00   ;   150,64 ;     
01.08.1998 00:00:00   ;   150,58 ;     
01.09.1998 00:00:00   ;   150,58 ;     
01.10.1998 00:00:00   ;   150,63 ;     
01.11.1998 00:00:00   ;   150,67 ;     
01.12.1998 00:00:00   ;   150,71 ;     
01.01.1999 00:00:00   ;   150,75 ;     
01.02.1999 00:00:00   ;   150,78 ;     
01.03.1999 00:00:00   ;   150,83 ;     
01.04.1999 00:00:00   ;   150,91 ;     
01.05.1999 00:00:00   ;   151,08 ;     
01.06.1999 00:00:00   ;   151,29 ;     
01.07.1999 00:00:00   ;   151,30 ;     
01.08.1999 00:00:00   ;   151,22 ;     
01.09.1999 00:00:00   ;   151,11 ;     
01.10.1999 00:00:00   ;   150,98 ;     
01.11.1999 00:00:00   ;   150,92 ;     
01.12.1999 00:00:00   ;   150,89 ;     
01.01.2000 00:00:00   ;   150,88 ;     
01.02.2000 00:00:00   ;   150,92 ;     
01.03.2000 00:00:00   ;   150,98 ;     
01.04.2000 00:00:00   ;   151,13 ;     
01.05.2000 00:00:00   ;   151,11 ;     
01.06.2000 00:00:00   ;   150,95 ;     
01.07.2000 00:00:00   ;   150,80 ;     
01.08.2000 00:00:00   ;   150,74 ;     
01.09.2000 00:00:00   ;   150,71 ;     
01.10.2000 00:00:00   ;   150,69 ;     
01.11.2000 00:00:00   ;   150,70 ;     
01.12.2000 00:00:00   ;   150,69 ;     
01.01.2001 00:00:00   ;   150,68 ;     
01.02.2001 00:00:00   ;   150,68 ;     
01.03.2001 00:00:00   ;   150,66 ;     
01.04.2001 00:00:00   ;   150,68 ;     
01.05.2001 00:00:00   ;   150,68 ;     
01.06.2001 00:00:00   ;   150,67 ;     
01.07.2001 00:00:00   ;   150,74 ;     
01.08.2001 00:00:00   ;   151,15 ;     
01.09.2001 00:00:00   ;   150,97 ;     
01.10.2001 00:00:00   ;   150,79 ;     
01.11.2001 00:00:00   ;   150,79 ;     
01.12.2001 00:00:00   ;   150,71 ;     
01.01.2002 00:00:00   ;   150,67 ;     
01.02.2002 00:00:00   ;   150,66 ;     
01.03.2002 00:00:00   ;   150,75 ;     
01.04.2002 00:00:00   ;   151,01 ;     
01.05.2002 00:00:00   ;   150,95 ;     
01.06.2002 00:00:00   ;   151,08 ;     
01.07.2002 00:00:00   ;   151,28 ;     
01.08.2002 00:00:00   ;   151,50 ;     
01.09.2002 00:00:00   ;   151,44 ;     
01.10.2002 00:00:00   ;   151,36 ;     
01.11.2002 00:00:00   ;   151,33 ;     
01.12.2002 00:00:00   ;   151,33 ;     
01.01.2003 00:00:00   ;   151,39 ;     
01.02.2003 00:00:00   ;   151,41 ;     
01.03.2003 00:00:00   ;   151,32 ;     
01.04.2003 00:00:00   ;   151,20 ;     
01.05.2003 00:00:00   ;   151,13 ;     
01.06.2003 00:00:00   ;   151,13 ;     
01.07.2003 00:00:00   ;   150,99 ;     
01.08.2003 00:00:00   ;   151,03 ;     
01.09.2003 00:00:00   ;   150,83 ;     
01.10.2003 00:00:00   ;   150,86 ;     
01.11.2003 00:00:00   ;   150,84 ;     
01.12.2003 00:00:00   ;   150,74 ;     
01.01.2004 00:00:00   ;   150,72 ;     
01.02.2004 00:00:00   ;   150,72 ;     
01.03.2004 00:00:00   ;   150,75 ;     
01.04.2004 00:00:00   ;   150,82 ;     
01.05.2004 00:00:00   ;   151,16 ;     
01.06.2004 00:00:00   ;   151,30 ;     
01.07.2004 00:00:00   ;   151,27 ;     
01.08.2004 00:00:00   ;   151,18 ;     
01.09.2004 00:00:00   ;   151,20 ;     
01.10.2004 00:00:00   ;   151,22 ;     
01.11.2004 00:00:00   ;   150,98 ;     
01.12.2004 00:00:00   ;   150,81 ;     
01.01.2005 00:00:00   ;   150,74 ;     
01.02.2005 00:00:00   ;   150,70 ;     
01.03.2005 00:00:00   ;   150,68 ;     
01.04.2005 00:00:00   ;   150,66 ;     
01.05.2005 00:00:00   ;   150,65 ;     
01.06.2005 00:00:00   ;   150,62 ;     
01.07.2005 00:00:00   ;   150,83 ;     
01.08.2005 00:00:00   ;   151,12 ;     
01.09.2005 00:00:00   ;   151,09 ;     
01.10.2005 00:00:00   ;   151,25 ;     
01.11.2005 00:00:00   ;   151,06 ;     
01.12.2005 00:00:00   ;   150,83 ;     
01.01.2006 00:00:00   ;   150,77 ;     
01.02.2006 00:00:00   ;   150,73 ;     
01.03.2006 00:00:00   ;   150,74 ;     
01.04.2006 00:00:00   ;   151,02 ;     
01.05.2006 00:00:00   ;   151,19 ;     
01.06.2006 00:00:00   ;   151,31 ;     
01.07.2006 00:00:00   ;   151,33 ;     
01.08.2006 00:00:00   ;   151,38 ;     
01.09.2006 00:00:00   ;   151,20 ;     
01.10.2006 00:00:00   ;   151,08 ;     
01.11.2006 00:00:00   ;   151,04 ;     
01.12.2006 00:00:00   ;   150,83 ;     
01.01.2007 00:00:00   ;   150,76 ;     
01.02.2007 00:00:00   ;   150,74 ;     
01.03.2007 00:00:00   ;   150,83 ;     
01.04.2007 00:00:00   ;   151,22 ;     
01.05.2007 00:00:00   ;   151,26 ;     
01.06.2007 00:00:00   ;   151,31 ;     
01.07.2007 00:00:00   ;   151,31 ;     
01.08.2007 00:00:00   ;   151,31 ;     
01.09.2007 00:00:00   ;   151,36 ;     
01.10.2007 00:00:00   ;   151,20 ;     
01.11.2007 00:00:00   ;   151,05 ;     
01.12.2007 00:00:00   ;   151,00 ;     
01.01.2008 00:00:00   ;   151,03 ;     
01.02.2008 00:00:00   ;   150,98 ;     
01.03.2008 00:00:00   ;   150,98 ;     
01.04.2008 00:00:00   ;   151,07 ;     
01.05.2008 00:00:00   ;   151,14 ;     
01.06.2008 00:00:00   ;   151,38 ;     
01.07.2008 00:00:00   ;   151,38 ;     
01.08.2008 00:00:00   ;   151,34 ;     
01.09.2008 00:00:00   ;   151,18 ;     
01.10.2008 00:00:00   ;   151,06 ;     
01.11.2008 00:00:00   ;   150,96 ;     
01.12.2008 00:00:00   ;   150,90 ;     
01.01.2009 00:00:00   ;   150,85 ;     
01.02.2009 00:00:00   ;   150,87 ;     
01.03.2009 00:00:00   ;   150,95 ;     
01.04.2009 00:00:00   ;   151,30 ;     
01.05.2009 00:00:00   ;   151,29 ;     
01.06.2009 00:00:00   ;   151,37 ;     
01.07.2009 00:00:00   ;   151,46 ;     
01.08.2009 00:00:00   ;   151,37 ;     
01.09.2009 00:00:00   ;   151,29 ;     
01.10.2009 00:00:00   ;   151,24 ;     
01.11.2009 00:00:00   ;   151,24 ;     
01.12.2009 00:00:00   ;   151,15 ;     
01.01.2010 00:00:00   ;   151,11 ;     
01.02.2010 00:00:00   ;   151,09 ;     
01.03.2010 00:00:00   ;   151,05 ;     
01.04.2010 00:00:00   ;Lücke     ;     
01.05.2010 00:00:00   ;Lücke     ;     
01.06.2010 00:00:00   ;Lücke     ;     
01.07.2010 00:00:00   ;Lücke     ;     
01.08.2010 00:00:00   ;Lücke     ;     
01.09.2010 00:00:00   ;Lücke     ;     
01.10.2010 00:00:00   ;Lücke     ;     
01.11.2010 00:00:00   ;Lücke     ;     
01.12.2010 00:00:00   ;Lücke     ;     
01.01.2011 00:00:00   ;Lücke     ;     
01.02.2011 00:00:00   ;Lücke     ;     
01.03.2011 00:00:00   ;Lücke     ;     
01.04.2011 00:00:00   ;Lücke     ;     
01.05.2011 00:00:00   ;Lücke     ;     
01.06.2011 00:00:00   ;Lücke     ;     
01.07.2011 00:00:00   ;Lücke     ;     
01.08.2011 00:00:00   ;Lücke     ;     
01.09.2011 00:00:00   ;Lücke     ;     
01.10.2011 00:00:00   ;Lücke     ;     
01.11.2011 00:00:00   ;   151,09 ;     
01.12.2011 00:00:00   ;   151,00 ;     
01.01.2012 00:00:00   ;   150,96 ;     
01.02.2012 00:00:00   ;   150,94 ;     
01.03.2012 00:00:00   ;   150,93 ;     
01.04.2012 00:00:00   ;   150,93 ;     
01.05.2012 00:00:00   ;   151,07 ;     
01.06.2012 00:00:00   ;   151,18 ;     
01.07.2012 00:00:00   ;   151,10 ;     
01.08.2012 00:00:00   ;   151,28 ;     
01.09.2012 00:00:00   ;   151,25 ;     
01.10.2012 00:00:00   ;   151,26 ;     
01.11.2012 00:00:00   ;   151,08 ;     
01.12.2012 00:00:00   ;   150,96 ;     
01.01.2013 00:00:00   ;   150,94 ;     
01.02.2013 00:00:00   ;   150,99 ;     
01.03.2013 00:00:00   ;   151,08 ;     
01.04.2013 00:00:00   ;   151,28 ;     
01.05.2013 00:00:00   ;   151,36 ;     
01.06.2013 00:00:00   ;   151,72 ;     
01.07.2013 00:00:00   ;   151,37 ;     
01.08.2013 00:00:00   ;   151,26 ;     
01.09.2013 00:00:00   ;   151,31 ;     
01.10.2013 00:00:00   ;   151,34 ;     
01.11.2013 00:00:00   ;   151,26 ;     
01.12.2013 00:00:00   ;   151,12 ;     
01.01.2014 00:00:00   ;   151,03 ;     
01.02.2014 00:00:00   ;   150,96 ;     
01.03.2014 00:00:00   ;   150,90 ;     
01.04.2014 00:00:00   ;   150,87 ;     
01.05.2014 00:00:00   ;   151,13 ;     
01.06.2014 00:00:00   ;   151,00 ;     
01.07.2014 00:00:00   ;   151,02 ;     
01.08.2014 00:00:00   ;   151,17 ;     
01.09.2014 00:00:00   ;   151,29 ;     
01.10.2014 00:00:00   ;   151,26 ;     
01.11.2014 00:00:00   ;   151,17 ;     
01.12.2014 00:00:00   ;   151,11 ;     
01.01.2015 00:00:00   ;   151,11 ;     
01.02.2015 00:00:00   ;   151,11 ;     
01.03.2015 00:00:00   ;   151,11 ;     
01.04.2015 00:00:00   ;   151,23 ;     
01.05.2015 00:00:00   ;   151,33 ;     
01.06.2015 00:00:00   ;   151,19 ;     
01.07.2015 00:00:00   ;   151,11 ;     
01.08.2015 00:00:00   ;   151,08 ;     
01.09.2015 00:00:00   ;   151,12 ;     
01.10.2015 00:00:00   ;   151,13 ;     
01.11.2015 00:00:00   ;   151,06 ;     
01.12.2015 00:00:00   ;   150,94 ;     
01.01.2016 00:00:00   ;   150,86 ;     
01.02.2016 00:00:00   ;   150,84 ;     
01.03.2016 00:00:00   ;   150,84 ;     
01.04.2016 00:00:00   ;   150,85 ;     
01.05.2016 00:00:00   ;   151,09 ;     
01.06.2016 00:00:00   ;   151,21 ;     
01.07.2016 00:00:00   ;   151,27 ;     
01.08.2016 00:00:00   ;   151,12 ;     
01.09.2016 00:00:00   ;   151,00 ;     
01.10.2016 00:00:00   ;   151,03 ;     
01.11.2016 00:00:00   ;   151,03 ;     
01.12.2016 00:00:00   ;   150,93 ;     
01.01.2017 00:00:00   ;   150,86 ;     
01.02.2017 00:00:00   ;   150,81 ;     
01.03.2017 00:00:00   ;   150,78 ;     
01.04.2017 00:00:00   ;   150,82 ;     
01.05.2017 00:00:00   ;   150,97 ;     
01.06.2017 00:00:00   ;   150,92 ;     
01.07.2017 00:00:00   ;   150,83 ;     
01.08.2017 00:00:00   ;   150,76 ;     
01.09.2017 00:00:00   ;   150,73 ;     
01.10.2017 00:00:00   ;   150,72 ;     
01.11.2017 00:00:00   ;   150,68 ;     
01.12.2017 00:00:00   ;   150,65 ;     
01.01.2018 00:00:00   ;   150,65 ;     
01.02.2018 00:00:00   ;   150,67 ;     
01.03.2018 00:00:00   ;   150,67 ;     
01.04.2018 00:00:00   ;   150,67 ;     
01.05.2018 00:00:00   ;   150,63 ;     
01.06.2018 00:00:00   ;   150,57 ;     
01.07.2018 00:00:00   ;   150,51 ;     
01.08.2018 00:00:00   ;   150,47 ;     
01.09.2018 00:00:00   ;   150,56 ;     
01.10.2018 00:00:00   ;   150,59 ;     
01.11.2018 00:00:00   ;   150,62 ;     
01.12.2018 00:00:00   ;   150,60 ;     
01.01.2019 00:00:00   ;   150,65 ;     
01.02.2019 00:00:00   ;   150,69 ;     
01.03.2019 00:00:00   ;   150,71 ;     
01.04.2019 00:00:00   ;   150,74 ;     
01.05.2019 00:00:00   ;   151,05 ;     
01.06.2019 00:00:00   ;   151,05 ;     
01.07.2019 00:00:00   ;   150,88 ;     
01.08.2019 00:00:00   ;   150,83 ;     
01.09.2019 00:00:00   ;   150,85 ;     
01.10.2019 00:00:00   ;   150,80 ;     
01.11.2019 00:00:00   ;   150,78 ;     
01.12.2019 00:00:00   ;   150,72 ;     
01.01.2020 00:00:00   ;   150,66 ;     
01.02.2020 00:00:00   ;   150,62 ;     
01.03.2020 00:00:00   ;   150,60 ;     
01.04.2020 00:00:00   ;   150,58 ;     
01.05.2020 00:00:00   ;   150,58 ;     
01.06.2020 00:00:00   ;   150,62 ;     
01.07.2020 00:00:00   ;   150,65 ;     
01.08.2020 00:00:00   ;   150,63 ;     
01.09.2020 00:00:00   ;   150,63 ;     
01.10.2020 00:00:00   ;   150,71 ;     
01.11.2020 00:00:00   ;   150,74 ;     
01.12.2020 00:00:00   ;   150,69 ;     
01.01.2021 00:00:00   ;   150,66 ;     
01.02.2021 00:00:00   ;   150,65 ;     
01.03.2021 00:00:00   ;   150,72 ;     
01.04.2021 00:00:00   ;   151,19 ;     
01.05.2021 00:00:00   ;   151,33 ;     
01.06.2021 00:00:00   ;   151,44 ;     
01.07.2021 00:00:00   ;   151,45 ;     
01.08.2021 00:00:00   ;   151,35 ;     
01.09.2021 00:00:00   ;   151,48 ;     
01.10.2021 00:00:00   ;   151,39 ;     
01.11.2021 00:00:00   ;   151,10 ;     
01.12.2021 00:00:00   ;   150,95 ;     
01.01.2022 00:00:00   ;Lücke         ; 
