Messstelle:                ;Nofels, Bl 01.32.71
HZB-Nummer:                ;379289
HD-Nummer:                 ;01.32.71
DBMS-Nummer:               ;8002472
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
01.06.2014 00:00:00   ;   427,18 ;     
01.07.2014 00:00:00   ;   427,31 ;     
01.08.2014 00:00:00   ;   427,31 ;     
01.09.2014 00:00:00   ;   426,98 ;     
01.10.2014 00:00:00   ;   426,93 ;     
01.11.2014 00:00:00   ;   427,08 ;     
01.12.2014 00:00:00   ;   426,85 ;     
01.01.2015 00:00:00   ;   426,82 ;     
01.02.2015 00:00:00   ;   426,76 ;     
01.03.2015 00:00:00   ;   426,67 ;     
01.04.2015 00:00:00   ;   426,85 ;     
01.05.2015 00:00:00   ;   427,39 ;     
01.06.2015 00:00:00   ;   427,47 ;     
01.07.2015 00:00:00   ;   427,07 ;     
01.08.2015 00:00:00   ;   426,70 ;     
01.09.2015 00:00:00   ;   426,85 ;     
01.10.2015 00:00:00   ;   426,78 ;     
01.11.2015 00:00:00   ;   426,63 ;     
01.12.2015 00:00:00   ;   426,52 ;     
01.01.2016 00:00:00   ;   426,39 ;     
01.02.2016 00:00:00   ;   426,57 ;     
01.03.2016 00:00:00   ;   426,56 ;     
01.04.2016 00:00:00   ;   426,87 ;     
01.05.2016 00:00:00   ;   427,16 ;     
01.06.2016 00:00:00   ;   427,81 ;     
01.07.2016 00:00:00   ;   427,25 ;     
01.08.2016 00:00:00   ;   427,02 ;     
01.09.2016 00:00:00   ;   426,73 ;     
01.10.2016 00:00:00   ;   426,53 ;     
01.11.2016 00:00:00   ;   426,41 ;     
01.12.2016 00:00:00   ;   426,43 ;     
01.01.2017 00:00:00   ;   426,42 ;     
01.02.2017 00:00:00   ;   426,35 ;     
01.03.2017 00:00:00   ;   426,58 ;     
01.04.2017 00:00:00   ;   426,62 ;     
01.05.2017 00:00:00   ;   426,92 ;     
01.06.2017 00:00:00   ;   427,14 ;     
01.07.2017 00:00:00   ;   426,83 ;     
01.08.2017 00:00:00   ;   426,75 ;     
01.09.2017 00:00:00   ;   427,18 ;     
01.10.2017 00:00:00   ;   426,75 ;     
01.11.2017 00:00:00   ;   426,59 ;     
01.12.2017 00:00:00   ;   426,65 ;     
01.01.2018 00:00:00   ;   426,70 ;     
01.02.2018 00:00:00   ;   426,64 ;     
01.03.2018 00:00:00   ;   426,45 ;     
01.04.2018 00:00:00   ;   426,86 ;     
01.05.2018 00:00:00   ;   427,33 ;     
01.06.2018 00:00:00   ;   427,20 ;     
01.07.2018 00:00:00   ;   426,70 ;     
01.08.2018 00:00:00   ;   426,53 ;     
01.09.2018 00:00:00   ;   426,47 ;     
01.10.2018 00:00:00   ;   426,37 ;     
01.11.2018 00:00:00   ;   426,52 ;     
01.12.2018 00:00:00   ;   426,50 ;     
01.01.2019 00:00:00   ;   426,59 ;     
01.02.2019 00:00:00   ;   426,48 ;     
01.03.2019 00:00:00   ;   426,48 ;     
01.04.2019 00:00:00   ;   426,67 ;     
01.05.2019 00:00:00   ;   426,94 ;     
01.06.2019 00:00:00   ;   427,81 ;     
01.07.2019 00:00:00   ;   427,24 ;     
01.08.2019 00:00:00   ;   427,25 ;     
01.09.2019 00:00:00   ;   426,94 ;     
01.10.2019 00:00:00   ;   426,91 ;     
01.11.2019 00:00:00   ;   426,84 ;     
01.12.2019 00:00:00   ;   426,62 ;     
01.01.2020 00:00:00   ;   426,59 ;     
01.02.2020 00:00:00   ;   426,74 ;     
01.03.2020 00:00:00   ;   426,68 ;     
01.04.2020 00:00:00   ;   426,71 ;     
01.05.2020 00:00:00   ;   426,98 ;     
01.06.2020 00:00:00   ;   427,08 ;     
01.07.2020 00:00:00   ;   426,86 ;     
01.08.2020 00:00:00   ;   426,77 ;     
01.09.2020 00:00:00   ;   426,95 ;     
01.10.2020 00:00:00   ;   427,08 ;     
01.11.2020 00:00:00   ;   426,84 ;     
01.12.2020 00:00:00   ;   426,65 ;     
01.01.2021 00:00:00   ;   426,65 ;     
01.02.2021 00:00:00   ;   426,84 ;     
01.03.2021 00:00:00   ;   426,68 ;     
01.04.2021 00:00:00   ;   426,62 ;     
01.05.2021 00:00:00   ;   426,91 ;     
01.06.2021 00:00:00   ;   427,35 ;     
01.07.2021 00:00:00   ;   427,37 ;     
01.08.2021 00:00:00   ;   427,27 ;     
01.09.2021 00:00:00   ;   426,73 ;     
01.10.2021 00:00:00   ;   426,52 ;     
01.11.2021 00:00:00   ;   426,49 ;     
01.12.2021 00:00:00   ;   426,43 ;     
01.01.2022 00:00:00   ;Lücke         ; 
