Messstelle:                ;Kleinwarasdorf, Bl 1
HZB-Nummer:                ;335661
HD-Nummer:                 ;
DBMS-Nummer:               ;1002274
PorenGW-Gebiet:            ;322 Nikitschbachtal
Grundwasserkörper:         ;Gruppe Ikvatal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
01.07.2001 00:00:00   ;   259,67 ;     
01.08.2001 00:00:00   ;   259,58 ;     
01.09.2001 00:00:00   ;   259,54 ;     
01.10.2001 00:00:00   ;   259,49 ;     
01.11.2001 00:00:00   ;   259,42 ;     
01.12.2001 00:00:00   ;   259,39 ;     
01.01.2002 00:00:00   ;   259,36 ;     
01.02.2002 00:00:00   ;   259,36 ;     
01.03.2002 00:00:00   ;   259,40 ;     
01.04.2002 00:00:00   ;   259,47 ;     
01.05.2002 00:00:00   ;   259,37 ;     
01.06.2002 00:00:00   ;   259,31 ;     
01.07.2002 00:00:00   ;   259,24 ;     
01.08.2002 00:00:00   ;   259,37 ;     
01.09.2002 00:00:00   ;   259,33 ;     
01.10.2002 00:00:00   ;   259,40 ;     
01.11.2002 00:00:00   ;   259,43 ;     
01.12.2002 00:00:00   ;   259,54 ;     
01.01.2003 00:00:00   ;   259,57 ;     
01.02.2003 00:00:00   ;   259,67 ;     
01.03.2003 00:00:00   ;   259,75 ;     
01.04.2003 00:00:00   ;   259,74 ;     
01.05.2003 00:00:00   ;   259,70 ;     
01.06.2003 00:00:00   ;   259,65 ;     
01.07.2003 00:00:00   ;   259,54 ;     
01.08.2003 00:00:00   ;   259,41 ;     
01.09.2003 00:00:00   ;   259,26 ;     
01.10.2003 00:00:00   ;   259,26 ;     
01.11.2003 00:00:00   ;   259,24 ;     
01.12.2003 00:00:00   ;   259,16 ;     
01.01.2004 00:00:00   ;   259,15 ;     
01.02.2004 00:00:00   ;   259,27 ;     
01.03.2004 00:00:00   ;   259,65 ;     
01.04.2004 00:00:00   ;   260,23 ;     
01.05.2004 00:00:00   ;   260,08 ;     
01.06.2004 00:00:00   ;   260,13 ;     
01.07.2004 00:00:00   ;   260,11 ;     
01.08.2004 00:00:00   ;   259,86 ;     
01.09.2004 00:00:00   ;   259,65 ;     
01.10.2004 00:00:00   ;   259,54 ;     
01.11.2004 00:00:00   ;   259,49 ;     
01.12.2004 00:00:00   ;   259,42 ;     
01.01.2005 00:00:00   ;   259,38 ;     
01.02.2005 00:00:00   ;   259,33 ;     
01.03.2005 00:00:00   ;   259,57 ;     
01.04.2005 00:00:00   ;   260,03 ;     
01.05.2005 00:00:00   ;   260,01 ;     
01.06.2005 00:00:00   ;   259,89 ;     
01.07.2005 00:00:00   ;   259,86 ;     
01.08.2005 00:00:00   ;   259,85 ;     
01.09.2005 00:00:00   ;   259,89 ;     
01.10.2005 00:00:00   ;   259,72 ;     
01.11.2005 00:00:00   ;   259,59 ;     
01.12.2005 00:00:00   ;   259,74 ;     
01.01.2006 00:00:00   ;   259,95 ;     
01.02.2006 00:00:00   ;   260,14 ;     
01.03.2006 00:00:00   ;   260,35 ;     
01.04.2006 00:00:00   ;   260,35 ;     
01.05.2006 00:00:00   ;   260,42 ;     
01.06.2006 00:00:00   ;   260,47 ;     
01.07.2006 00:00:00   ;Lücke     ;     
01.08.2006 00:00:00   ;   260,18 ;     
01.09.2006 00:00:00   ;   260,06 ;     
01.10.2006 00:00:00   ;   259,91 ;     
01.11.2006 00:00:00   ;   259,84 ;     
01.12.2006 00:00:00   ;   259,80 ;     
01.01.2007 00:00:00   ;   259,77 ;     
01.02.2007 00:00:00   ;   259,82 ;     
01.03.2007 00:00:00   ;   259,85 ;     
01.04.2007 00:00:00   ;   259,97 ;     
01.05.2007 00:00:00   ;   259,83 ;     
01.06.2007 00:00:00   ;   259,69 ;     
01.07.2007 00:00:00   ;   259,62 ;     
01.08.2007 00:00:00   ;   259,65 ;     
01.09.2007 00:00:00   ;   260,08 ;     
01.10.2007 00:00:00   ;   260,17 ;     
01.11.2007 00:00:00   ;   260,25 ;     
01.12.2007 00:00:00   ;   260,28 ;     
01.01.2008 00:00:00   ;   260,31 ;     
01.02.2008 00:00:00   ;   260,28 ;     
01.03.2008 00:00:00   ;   260,22 ;     
01.04.2008 00:00:00   ;   260,20 ;     
01.05.2008 00:00:00   ;   260,11 ;     
01.06.2008 00:00:00   ;   260,08 ;     
01.07.2008 00:00:00   ;   260,28 ;     
01.08.2008 00:00:00   ;   260,34 ;     
01.09.2008 00:00:00   ;   260,23 ;     
01.10.2008 00:00:00   ;   260,16 ;     
01.11.2008 00:00:00   ;   260,06 ;     
01.12.2008 00:00:00   ;   260,03 ;     
01.01.2009 00:00:00   ;   260,10 ;     
01.02.2009 00:00:00   ;   260,32 ;     
01.03.2009 00:00:00   ;   260,61 ;     
01.04.2009 00:00:00   ;   260,78 ;     
01.05.2009 00:00:00   ;   260,65 ;     
01.06.2009 00:00:00   ;   260,56 ;     
01.07.2009 00:00:00   ;   260,46 ;     
01.08.2009 00:00:00   ;   260,24 ;     
01.09.2009 00:00:00   ;   260,09 ;     
01.10.2009 00:00:00   ;   259,98 ;     
01.11.2009 00:00:00   ;   259,95 ;     
01.12.2009 00:00:00   ;   259,88 ;     
01.01.2010 00:00:00   ;   259,94 ;     
01.02.2010 00:00:00   ;   259,95 ;     
01.03.2010 00:00:00   ;   260,09 ;     
01.04.2010 00:00:00   ;   260,13 ;     
01.05.2010 00:00:00   ;   260,07 ;     
01.06.2010 00:00:00   ;   260,23 ;     
01.07.2010 00:00:00   ;   259,97 ;     
01.08.2010 00:00:00   ;   260,07 ;     
01.09.2010 00:00:00   ;   260,35 ;     
01.10.2010 00:00:00   ;   260,65 ;     
01.11.2010 00:00:00   ;   260,69 ;     
01.12.2010 00:00:00   ;   260,86 ;     
01.01.2011 00:00:00   ;   260,94 ;     
01.02.2011 00:00:00   ;   260,83 ;     
01.03.2011 00:00:00   ;   260,74 ;     
01.04.2011 00:00:00   ;   260,69 ;     
01.05.2011 00:00:00   ;   260,65 ;     
01.06.2011 00:00:00   ;   260,49 ;     
01.07.2011 00:00:00   ;   260,33 ;     
01.08.2011 00:00:00   ;   260,23 ;     
01.09.2011 00:00:00   ;   260,10 ;     
01.10.2011 00:00:00   ;   260,00 ;     
01.11.2011 00:00:00   ;   259,95 ;     
01.12.2011 00:00:00   ;   259,86 ;     
01.01.2012 00:00:00   ;   259,80 ;     
01.02.2012 00:00:00   ;   259,75 ;     
01.03.2012 00:00:00   ;   259,71 ;     
01.04.2012 00:00:00   ;   259,70 ;     
01.05.2012 00:00:00   ;   259,72 ;     
01.06.2012 00:00:00   ;   259,66 ;     
01.07.2012 00:00:00   ;   259,69 ;     
01.08.2012 00:00:00   ;   259,76 ;     
01.09.2012 00:00:00   ;   259,55 ;     
01.10.2012 00:00:00   ;   259,51 ;     
01.11.2012 00:00:00   ;   259,59 ;     
01.12.2012 00:00:00   ;   259,64 ;     
01.01.2013 00:00:00   ;   259,73 ;     
01.02.2013 00:00:00   ;   260,16 ;     
01.03.2013 00:00:00   ;   260,81 ;     
01.04.2013 00:00:00   ;   261,04 ;     
01.05.2013 00:00:00   ;   260,91 ;     
01.06.2013 00:00:00   ;   260,74 ;     
01.07.2013 00:00:00   ;   260,48 ;     
01.08.2013 00:00:00   ;   260,21 ;     
01.09.2013 00:00:00   ;   260,07 ;     
01.10.2013 00:00:00   ;   259,95 ;     
01.11.2013 00:00:00   ;   260,02 ;     
01.12.2013 00:00:00   ;   260,22 ;     
01.01.2014 00:00:00   ;   260,21 ;     
01.02.2014 00:00:00   ;   260,33 ;     
01.03.2014 00:00:00   ;   260,69 ;     
01.04.2014 00:00:00   ;   260,66 ;     
01.05.2014 00:00:00   ;   260,71 ;     
01.06.2014 00:00:00   ;   260,75 ;     
01.07.2014 00:00:00   ;   260,51 ;     
01.08.2014 00:00:00   ;   260,53 ;     
01.09.2014 00:00:00   ;   260,64 ;     
01.10.2014 00:00:00   ;   260,86 ;     
01.11.2014 00:00:00   ;   260,86 ;     
01.12.2014 00:00:00   ;   260,92 ;     
01.01.2015 00:00:00   ;   260,98 ;     
01.02.2015 00:00:00   ;   260,97 ;     
01.03.2015 00:00:00   ;   260,94 ;     
01.04.2015 00:00:00   ;   260,82 ;     
01.05.2015 00:00:00   ;   260,74 ;     
01.06.2015 00:00:00   ;   260,81 ;     
01.07.2015 00:00:00   ;   260,62 ;     
01.08.2015 00:00:00   ;   260,38 ;     
01.09.2015 00:00:00   ;   260,14 ;     
01.10.2015 00:00:00   ;   260,11 ;     
01.11.2015 00:00:00   ;   260,10 ;     
01.12.2015 00:00:00   ;   259,98 ;     
01.01.2016 00:00:00   ;   259,90 ;     
01.02.2016 00:00:00   ;   259,92 ;     
01.03.2016 00:00:00   ;   260,10 ;     
01.04.2016 00:00:00   ;   260,05 ;     
01.05.2016 00:00:00   ;   260,10 ;     
01.06.2016 00:00:00   ;   260,11 ;     
01.07.2016 00:00:00   ;   259,93 ;     
01.08.2016 00:00:00   ;   259,75 ;     
01.09.2016 00:00:00   ;   259,63 ;     
01.10.2016 00:00:00   ;   259,59 ;     
01.11.2016 00:00:00   ;   259,71 ;     
01.12.2016 00:00:00   ;   259,69 ;     
01.01.2017 00:00:00   ;   259,60 ;     
01.02.2017 00:00:00   ;   259,60 ;     
01.03.2017 00:00:00   ;   259,63 ;     
01.04.2017 00:00:00   ;   259,58 ;     
01.05.2017 00:00:00   ;   259,57 ;     
01.06.2017 00:00:00   ;   259,51 ;     
01.07.2017 00:00:00   ;   259,47 ;     
01.08.2017 00:00:00   ;   259,46 ;     
01.09.2017 00:00:00   ;   259,46 ;     
01.10.2017 00:00:00   ;   259,47 ;     
01.11.2017 00:00:00   ;   259,35 ;     
01.12.2017 00:00:00   ;   259,31 ;     
01.01.2018 00:00:00   ;   259,35 ;     
01.02.2018 00:00:00   ;   259,38 ;     
01.03.2018 00:00:00   ;   259,60 ;     
01.04.2018 00:00:00   ;   259,99 ;     
01.05.2018 00:00:00   ;   260,02 ;     
01.06.2018 00:00:00   ;   260,09 ;     
01.07.2018 00:00:00   ;   260,02 ;     
01.08.2018 00:00:00   ;   259,84 ;     
01.09.2018 00:00:00   ;   259,98 ;     
01.10.2018 00:00:00   ;   259,85 ;     
01.11.2018 00:00:00   ;   259,75 ;     
01.12.2018 00:00:00   ;   259,81 ;     
01.01.2019 00:00:00   ;   259,79 ;     
01.02.2019 00:00:00   ;   259,76 ;     
01.03.2019 00:00:00   ;   259,73 ;     
01.04.2019 00:00:00   ;   259,71 ;     
01.05.2019 00:00:00   ;   259,75 ;     
01.06.2019 00:00:00   ;   259,86 ;     
01.07.2019 00:00:00   ;   259,79 ;     
01.08.2019 00:00:00   ;   259,63 ;     
01.09.2019 00:00:00   ;   259,56 ;     
01.10.2019 00:00:00   ;   259,45 ;     
01.11.2019 00:00:00   ;   259,47 ;     
01.12.2019 00:00:00   ;   259,56 ;     
01.01.2020 00:00:00   ;   259,57 ;     
01.02.2020 00:00:00   ;   259,51 ;     
01.03.2020 00:00:00   ;   259,46 ;     
01.04.2020 00:00:00   ;   259,42 ;     
01.05.2020 00:00:00   ;   259,35 ;     
01.06.2020 00:00:00   ;   259,44 ;     
01.07.2020 00:00:00   ;   259,57 ;     
01.08.2020 00:00:00   ;   259,48 ;     
01.09.2020 00:00:00   ;   259,42 ;     
01.10.2020 00:00:00   ;   259,52 ;     
01.11.2020 00:00:00   ;   259,59 ;     
01.12.2020 00:00:00   ;   259,54 ;     
01.01.2021 00:00:00   ;   259,60 ;     
01.02.2021 00:00:00   ;   259,73 ;     
01.03.2021 00:00:00   ;   259,83 ;     
01.04.2021 00:00:00   ;   259,85 ;     
01.05.2021 00:00:00   ;   259,87 ;     
01.06.2021 00:00:00   ;   259,94 ;     
01.07.2021 00:00:00   ;   259,91 ;     
01.08.2021 00:00:00   ;   259,98 ;     
01.09.2021 00:00:00   ;   259,86 ;     
01.10.2021 00:00:00   ;   259,75 ;     
01.11.2021 00:00:00   ;   259,65 ;     
01.12.2021 00:00:00   ;   259,62 ;     
01.01.2022 00:00:00   ;Lücke         ; 
