Messstelle:                ;Peigarten
28.11.2013 04:55:00;   124
07.12.2013 13:45:00;   125
13.01.2014 10:35:00;   124
08.02.2014 09:20:00;   128
20.03.2014 12:35:00;   126
30.04.2014 23:59:55;   124
07.05.2014 08:05:00;   124
28.06.2014 23:50:00;   122
21.07.2014 02:10:00;   121
11.08.2014 09:25:00;   124
11.09.2014 20:25:00;   125
20.10.2014 19:15:00;   128
17.11.2014 14:55:00;   131
03.12.2014 01:40:00;   129
07.01.2015 05:55:00;   130
07.02.2015 09:00:00;   137
26.03.2015 09:30:00;   134
30.04.2015 00:19:40;   130
15.05.2015 11:24:30;   126
05.06.2015 09:19:15;   124
24.07.2015 10:03:40;   120
11.08.2015 18:40:00;   119
02.09.2015 01:25:00;   121
04.10.2015 08:20:00;   123
07.11.2015 01:05:00;   125
31.12.2015 20:35:00;   131
19.01.2016 09:25:00;   127
20.02.2016 19:55:00;   141
31.03.2016 23:59:55;   133
30.04.2016 21:55:00;   128
23.05.2016 21:04:00;   125
27.06.2016 04:35:30;   124
11.07.2016 23:54:40;   122
28.08.2016 11:28:55;   121
14.09.2016 02:40:00;   120
01.10.2016 06:30:00;   121
30.11.2016 07:35:00;   122
04.12.2016 09:10:00;   124
19.01.2017 00:51:10;   126
14.02.2017 09:54:40;   125
08.03.2017 17:53:00;   135
26.04.2017 00:15:00;   131
30.05.2017 18:10:00;   125
30.06.2017 23:59:55;   120
06.07.2017 00:01:10;   119
31.08.2017 23:59:55;   121
01.09.2017 06:40:00;   121
03.10.2017 06:10:00;   122
03.11.2017 12:40:00;   126
19.12.2017 05:20:00;   126
22.01.2018 09:20:00;   133
25.02.2018 10:29:00;   127
05.03.2018 14:04:40;   130
30.04.2018 22:44:40;   125
10.05.2018 14:29:00;   123
10.06.2018 09:01:05;   122
31.07.2018 08:33:35;   122
14.08.2018 02:44:45;   120
01.09.2018 03:10:00;   120
02.10.2018 01:35:00;   122
18.11.2018 03:20:00;   122
01.12.2018 18:20:00;   124
30.01.2019 05:05:00;   131
01.02.2019 23:40:00;   137
29.03.2019 16:55:00;   143
29.04.2019 10:05:00;   128
08.05.2019 19:40:00;   127
12.06.2019 19:35:00;   124
24.07.2019 07:45:00;   121
10.08.2019 16:05:00;   121
27.09.2019 11:05:00;   121
23.10.2019 04:10:00;   122
26.11.2019 07:25:00;   122
05.12.2019 14:05:00;   123
26.01.2020 09:30:00;   124
02.02.2020 01:00:00;   129
30.03.2020 09:25:00;   128
28.04.2020 07:55:00;   125
31.05.2020 09:04:35;   121
06.06.2020 18:40:00;   123
31.07.2020 23:59:55;   126
02.08.2020 07:45:00;   126
24.09.2020 01:15:00;   131
11.10.2020 10:30:00;   135
30.11.2020 23:59:55;   137
18.12.2020 13:25:00;   135
11.01.2021 22:30:00;   133
15.02.2021 04:35:00;   147
31.03.2021 23:59:55;   135
30.04.2021 04:25:00;   129
12.05.2021 08:05:00;   127
21.06.2021 01:20:00;   126
24.07.2021 21:20:00;   125
01.08.2021 03:45:00;   126
10.09.2021 06:05:00;   125
28.10.2021 21:20:00;   125
19.11.2021 06:55:00;   125
01.12.2021 00:00:00;   126
