Messstelle:                ;Zell am Ziller-Zellbergeben
01.05.1967 00:00:00; Lücke
01.06.1967 00:00:00; Lücke
01.07.1967 00:00:00; Lücke
01.08.1967 00:00:00; Lücke
01.09.1967 00:00:00; Lücke
01.10.1967 00:00:00; Lücke
01.11.1967 00:00:00; Lücke
01.12.1967 00:00:00; Lücke
01.01.1968 00:00:00; Lücke
01.02.1968 00:00:00; Lücke
01.03.1968 00:00:00; Lücke
01.04.1968 00:00:00; Lücke
01.05.1968 00:00:00; Lücke
01.06.1968 00:00:00; Lücke
01.07.1968 00:00:00; Lücke
01.08.1968 00:00:00; Lücke
01.09.1968 00:00:00; Lücke
01.10.1968 00:00:00; Lücke
01.11.1968 00:00:00; Lücke
01.12.1968 00:00:00; Lücke
01.01.1969 00:00:00; Lücke
01.02.1969 00:00:00; Lücke
01.03.1969 00:00:00; Lücke
01.04.1969 00:00:00; Lücke
01.05.1969 00:00:00; Lücke
01.06.1969 00:00:00; Lücke
01.07.1969 00:00:00; Lücke
01.08.1969 00:00:00; Lücke
01.09.1969 00:00:00; Lücke
01.10.1969 00:00:00; Lücke
01.11.1969 00:00:00; Lücke
01.12.1969 00:00:00; Lücke
01.01.1970 00:00:00; Lücke
01.02.1970 00:00:00; Lücke
01.03.1970 00:00:00; Lücke
01.04.1970 00:00:00; Lücke
01.05.1970 00:00:00; Lücke
01.06.1970 00:00:00; Lücke
01.07.1970 00:00:00; Lücke
01.08.1970 00:00:00; Lücke
01.09.1970 00:00:00; Lücke
01.10.1970 00:00:00; Lücke
01.11.1970 00:00:00; Lücke
01.12.1970 00:00:00; Lücke
01.01.1971 00:00:00; Lücke
01.02.1971 00:00:00; Lücke
01.03.1971 00:00:00; Lücke
01.04.1971 00:00:00; Lücke
01.05.1971 00:00:00; Lücke
01.06.1971 00:00:00; Lücke
01.07.1971 00:00:00; Lücke
01.08.1971 00:00:00; Lücke
01.09.1971 00:00:00; Lücke
01.10.1971 00:00:00; Lücke
01.11.1971 00:00:00; Lücke
01.12.1971 00:00:00; Lücke
01.01.1972 00:00:00; Lücke
01.02.1972 00:00:00; Lücke
01.03.1972 00:00:00; Lücke
01.04.1972 00:00:00; Lücke
01.05.1972 00:00:00; Lücke
01.06.1972 00:00:00; Lücke
01.07.1972 00:00:00; Lücke
01.08.1972 00:00:00; Lücke
01.09.1972 00:00:00; Lücke
01.10.1972 00:00:00; Lücke
01.11.1972 00:00:00; Lücke
31.12.1972 23:59:55;    50
31.01.1973 12:00:00;    44
16.02.1973 12:00:00;    42
13.03.1973 12:00:00;    44
11.04.1973 12:00:00;    52
01.05.1973 12:00:00;    87
10.06.1973 12:00:00;   103
31.07.1973 12:00:00;    94
19.08.1973 00:00:00;    87
24.09.1973 12:00:00;    59
25.10.1973 12:00:00;    73
29.11.1973 12:00:00;    56
19.12.1973 12:00:00;    53
01.01.1974 00:00:00; Lücke
01.02.1974 00:00:00; Lücke
01.03.1974 00:00:00; Lücke
01.04.1974 00:00:00; Lücke
01.05.1974 00:00:00; Lücke
01.06.1974 00:00:00; Lücke
01.07.1974 00:00:00; Lücke
01.08.1974 00:00:00; Lücke
01.09.1974 00:00:00; Lücke
01.10.1974 00:00:00; Lücke
01.11.1974 00:00:00; Lücke
01.12.1974 00:00:00; Lücke
01.01.1975 00:00:00; Lücke
01.02.1975 00:00:00; Lücke
01.03.1975 00:00:00; Lücke
01.04.1975 00:00:00; Lücke
01.05.1975 00:00:00; Lücke
01.06.1975 00:00:00; Lücke
01.07.1975 00:00:00; Lücke
01.08.1975 00:00:00; Lücke
01.09.1975 00:00:00; Lücke
01.10.1975 00:00:00; Lücke
01.11.1975 00:00:00; Lücke
01.12.1975 00:00:00; Lücke
07.01.1976 18:45:00;    45
26.02.1976 08:00:00;    47
05.03.1976 09:45:00;    46
14.04.1976 09:30:00;    57
02.05.1976 07:45:00;    62
06.06.1976 21:00:00;    88
09.07.1976 10:00:00;    82
29.08.1976 14:30:00;    80
26.09.1976 23:30:00;    76
24.10.1976 14:00:00;    69
23.11.1976 18:45:00;    57
27.12.1976 09:45:00;    52
01.01.1977 09:45:00;    52
03.02.1977 06:00:00;    51
01.03.1977 08:00:00;    56
16.04.1977 12:00:00;    64
11.05.1977 06:30:00;    97
05.06.1977 06:45:00;    90
25.07.1977 05:30:00;    84
31.08.1977 06:15:00;    84
30.09.1977 09:15:00;    65
26.10.1977 16:30:00;    57
23.11.1977 06:45:00;    53
23.12.1977 14:45:00;    48
28.01.1978 20:15:00;    43
18.02.1978 23:15:00;    41
25.03.1978 06:45:00;    47
23.04.1978 10:30:00;    58
16.05.1978 06:00:00;    68
22.06.1978 04:00:00;    80
31.07.1978 04:30:00;    88
30.08.1978 04:30:00;    68
06.09.1978 05:00:00;    63
30.10.1978 09:30:00;    57
23.11.1978 06:00:00;    53
31.12.1978 18:00:00;    48
18.01.1979 07:30:00;    43
25.02.1979 19:30:00;    45
03.03.1979 05:00:00;    46
05.04.1979 06:00:00;    47
06.05.1979 06:30:00;    56
10.06.1979 16:30:00;    99
29.07.1979 04:45:00;    80
16.08.1979 06:30:00;    81
20.09.1979 04:30:00;    69
31.10.1979 05:45:00;    63
21.11.1979 17:00:00;    55
31.12.1979 18:15:00;    55
27.01.1980 11:45:00;    51
20.02.1980 06:45:00;    50
05.03.1980 06:30:00;    50
10.04.1980 03:30:00;    49
02.05.1980 10:15:00;    67
03.06.1980 04:15:00;    84
06.07.1980 07:00:00;    92
28.08.1980 05:00:00;    77
28.09.1980 08:00:00;    66
05.10.1980 09:45:00;    61
30.11.1980 21:00:00;    57
17.12.1980 12:00:00;    51
05.01.1981 14:45:00;    53
14.02.1981 11:45:00;    50
07.03.1981 08:00:00;    49
30.04.1981 04:30:00;    71
03.05.1981 19:30:00;    69
21.06.1981 06:30:00;    79
16.07.1981 05:45:00;    81
31.08.1981 06:45:00;    81
13.09.1981 07:15:00;    76
25.10.1981 10:45:00;    62
17.11.1981 10:45:00;    56
27.12.1981 11:30:00;    55
22.01.1982 06:30:00;    53
21.02.1982 11:45:00;    52
02.03.1982 04:15:00;    52
26.04.1982 06:00:00;    61
01.05.1982 08:00:00;    60
16.06.1982 05:30:00;    90
14.07.1982 05:30:00;    79
27.08.1982 04:15:00;    75
30.09.1982 06:45:00;    64
23.10.1982 09:30:00;    54
30.11.1982 04:00:00;    56
30.12.1982 23:45:00;    51
13.01.1983 14:15:00;    50
05.02.1983 07:45:00;    51
02.03.1983 08:30:00;    52
04.04.1983 18:00:00;    58
06.05.1983 04:00:00;    81
20.06.1983 17:30:00;    84
29.07.1983 04:45:00;    73
31.08.1983 05:45:00;    67
10.09.1983 06:45:00;    65
30.10.1983 20:30:00;    58
25.11.1983 03:15:00;    46
11.12.1983 22:30:00;    50
26.01.1984 09:15:00;    48
19.02.1984 06:15:00;    45
19.03.1984 06:45:00;    47
05.04.1984 05:45:00;    51
02.05.1984 03:15:00;    69
10.06.1984 11:00:00;    78
29.07.1984 09:00:00;    72
24.08.1984 05:00:00;    67
03.09.1984 05:45:00;    66
31.10.1984 23:15:00;    60
28.11.1984 03:45:00;    51
23.12.1984 10:15:00;    47
22.01.1985 15:45:00;    45
12.02.1985 08:15:00;    44
20.03.1985 08:00:00;    45
02.04.1985 05:15:00;    52
04.05.1985 07:45:00;    57
20.06.1985 04:15:00;    75
23.07.1985 05:30:00;    75
25.08.1985 06:30:00;    81
24.09.1985 05:30:00;    66
30.10.1985 05:00:00;    54
29.11.1985 13:30:00;    48
27.12.1985 10:45:00;    45
05.01.1986 12:30:00;    43
18.02.1986 21:30:00;    43
03.03.1986 08:30:00;    54
02.04.1986 16:00:00;    63
11.05.1986 06:30:00;    79
29.06.1986 08:15:00;    79
27.07.1986 06:00:00;    70
03.08.1986 05:45:00;    68
30.09.1986 05:45:00;    65
19.10.1986 18:30:00;    58
30.11.1986 20:45:00;    55
19.12.1986 06:45:00;    51
01.01.1987 00:15:00;    52
01.02.1987 16:15:00;    52
15.03.1987 14:15:00;    50
02.04.1987 09:00:00;    54
09.05.1987 07:30:00;    78
22.06.1987 05:15:00;    81
29.07.1987 05:45:00;    90
17.08.1987 05:45:00;    80
26.09.1987 01:15:00;    69
26.10.1987 06:15:00;    65
22.11.1987 21:00:00;    62
10.12.1987 13:45:00;    59
28.01.1988 19:00:00;    55
02.02.1988 02:00:00;    54
10.03.1988 07:00:00;    59
04.04.1988 08:00:00;    65
05.05.1988 06:00:00;    86
30.06.1988 05:15:00;    89
29.07.1988 04:45:00;    83
18.08.1988 04:45:00;    80
29.09.1988 05:30:00;    73
31.10.1988 15:15:00;    64
30.11.1988 15:30:00;    61
16.12.1988 22:30:00;    58
30.01.1989 06:45:00;    57
01.02.1989 05:45:00;    57
02.03.1989 08:15:00;    57
11.04.1989 05:45:00;    67
02.05.1989 04:45:00;    68
18.06.1989 09:00:00;    82
29.07.1989 06:15:00;    88
31.08.1989 05:00:00;    73
23.09.1989 07:30:00;    68
29.10.1989 06:30:00;    64
26.11.1989 11:45:00;    60
31.12.1989 10:15:00;    57
04.01.1990 12:30:00;    55
12.02.1990 05:30:00;    58
04.03.1990 11:30:00;    60
13.04.1990 10:15:00;    59
01.05.1990 12:45:00;    66
04.06.1990 03:15:00;    82
30.07.1990 05:30:00;    74
31.08.1990 05:00:00;    65
16.09.1990 09:30:00;    64
25.10.1990 05:45:00;    63
16.11.1990 13:45:00;    60
31.12.1990 15:30:00;    56
27.01.1991 09:00:00;    56
28.02.1991 23:15:00;    56
03.03.1991 16:45:00;    56
30.04.1991 12:00:00;    60
01.05.1991 08:45:00;    61
06.06.1991 06:45:00;    81
23.07.1991 05:15:00;    88
31.08.1991 03:45:00;    71
24.09.1991 22:15:00;    63
28.10.1991 06:30:00;    61
08.11.1991 15:15:00;    53
21.12.1991 16:00:00;    54
24.01.1992 18:30:00;    56
02.02.1992 15:00:00;    56
01.03.1992 12:00:00;    56
02.04.1992 11:30:00;    63
01.05.1992 11:15:00;    86
29.06.1992 04:15:00;    84
29.07.1992 04:30:00;    73
31.08.1992 04:30:00;    66
27.09.1992 17:30:00;    62
14.10.1992 07:00:00;    60
18.11.1992 23:30:00;    56
31.12.1992 12:00:00;    55
02.01.1993 08:15:00;    54
06.02.1993 11:30:00;    55
07.03.1993 11:00:00;    56
01.04.1993 03:30:00;    61
04.05.1993 04:30:00;    86
15.06.1993 04:45:00;    81
04.07.1993 05:30:00;    79
22.08.1993 04:15:00;    74
30.09.1993 23:59:55;    71
23.10.1993 09:15:00;    65
28.11.1993 21:00:00;    62
31.12.1993 23:59:55;    57
21.01.1994 07:00:00;    54
19.02.1994 20:00:00;    51
01.03.1994 07:00:00;    55
10.04.1994 07:45:00;    61
03.05.1994 12:00:00;    75
08.06.1994 05:15:00;    85
31.07.1994 06:30:00;    68
22.08.1994 04:15:00;    67
12.09.1994 01:15:00;    67
31.10.1994 12:15:00;    62
10.11.1994 00:00:00;    58
31.12.1994 23:59:55;    55
17.01.1995 18:00:00;    53
01.02.1995 00:30:00;    52
17.03.1995 03:30:00;    56
01.04.1995 09:00:00;    59
22.05.1995 04:30:00;    78
04.06.1995 11:00:00;    98
25.07.1995 05:15:00;    87
13.08.1995 07:15:00;    74
27.09.1995 05:30:00;    74
15.10.1995 01:30:00;    61
30.11.1995 12:15:00;    54
28.12.1995 12:00:00;    50
01.01.1996 00:00:00;    52
03.02.1996 08:00:00;    52
01.03.1996 03:00:00;    52
03.04.1996 04:00:00;    52
05.05.1996 07:00:00;    66
20.06.1996 04:30:00;    70
31.07.1996 20:45:00;    74
07.08.1996 03:45:00;    73
05.09.1996 07:30:00;    74
02.10.1996 04:45:00;    71
12.11.1996 04:45:00;    66
26.12.1996 07:00:00;    62
01.01.1997 04:30:00;    60
16.02.1997 06:30:00;    56
02.03.1997 05:30:00;    56
02.04.1997 06:30:00;    60
02.05.1997 08:30:00;    69
02.06.1997 05:15:00;    83
31.07.1997 02:15:00;    94
28.08.1997 05:15:00;    81
30.09.1997 18:20:00;    60
05.10.1997 22:55:00;    63
23.11.1997 07:15:00;    59
12.12.1997 16:00:00;    53
31.01.1998 07:15:00;    60
09.02.1998 04:15:00;    59
11.03.1998 03:30:00;    59
19.04.1998 07:00:00;    64
06.05.1998 07:15:00;    78
20.06.1998 07:45:00;    88
27.07.1998 07:45:00;    79
30.08.1998 05:15:00;    71
05.09.1998 04:45:00;    68
28.10.1998 07:45:00;    70
29.11.1998 08:00:00;    62
26.12.1998 07:45:00;    56
31.01.1999 20:30:00;    54
26.02.1999 06:30:00;    52
01.03.1999 07:45:00;    54
01.04.1999 07:30:00;    64
01.05.1999 11:00:00;    99
21.06.1999 05:30:00;    94
31.07.1999 07:45:00;    84
09.08.1999 06:00:00;    77
19.09.1999 06:30:00;    65
31.10.1999 07:30:00;    64
28.11.1999 08:00:00;    61
17.12.1999 08:00:00;    58
13.01.2000 07:15:00;    54
21.02.2000 00:30:00;    54
08.03.2000 06:15:00;    56
02.04.2000 06:15:00;    67
24.05.2000 04:45:00;    93
30.06.2000 03:30:00;    77
06.07.2000 05:45:00;    75
27.08.2000 06:00:00;    68
18.09.2000 07:45:00;    63
01.10.2000 06:15:00;    65
12.11.2000 08:15:00;    67
31.12.2000 05:15:00;    54
31.01.2001 23:45:00;    52
27.02.2001 07:15:00;    50
01.03.2001 06:15:00;    51
22.04.2001 07:15:00;    60
22.05.2001 05:00:00;    93
06.06.2001 06:00:00;    83
31.07.2001 04:30:00;    82
30.08.2001 05:45:00;    69
23.09.2001 07:00:00;    69
28.10.2001 18:45:00;    60
28.11.2001 17:45:00;    52
25.12.2001 02:45:00;    48
04.01.2002 22:15:00;    48
24.02.2002 12:15:00;    52
02.03.2002 05:00:00;    53
18.04.2002 05:45:00;    60
30.05.2002 10:45:00;    85
30.06.2002 18:00:00;    80
28.07.2002 16:00:00;    71
31.08.2002 09:00:00;    71
19.09.2002 10:15:00;    65
17.10.2002 01:45:00;    67
11.11.2002 06:00:00;    64
26.12.2002 07:15:00;    61
26.01.2003 02:30:00;    53
18.02.2003 08:30:00;    50
17.03.2003 08:00:00;    51
07.04.2003 06:30:00;    55
18.05.2003 10:30:00;    76
28.06.2003 08:45:00;    73
21.07.2003 06:30:00;    66
28.08.2003 06:30:00;    56
30.09.2003 06:45:00;    56
03.10.2003 04:30:00;    55
30.11.2003 06:15:00;    53
31.12.2003 03:45:00;    50
23.01.2004 07:45:00;    47
26.02.2004 05:15:00;    44
04.03.2004 07:15:00;    48
15.04.2004 10:15:00;    61
11.05.2004 08:15:00;    68
01.06.2004 07:45:00;    90
29.07.2004 06:15:00;    85
18.08.2004 04:00:00;    72
12.09.2004 04:00:00;    69
25.10.2004 06:45:00;    63
21.11.2004 04:00:00;    58
31.12.2004 04:00:00;    54
30.01.2005 07:45:00;    51
28.02.2005 08:15:00;    50
14.03.2005 05:00:00;    50
12.04.2005 07:15:00;    61
12.05.2005 05:45:00;    71
11.06.2005 08:00:00;    75
04.07.2005 07:00:00;    76
10.08.2005 03:30:00;    74
27.09.2005 06:00:00;    65
31.10.2005 06:15:00;    57
20.11.2005 06:00:00;    53
30.12.2005 09:45:00;    48
22.01.2006 23:15:00;    48
13.02.2006 09:00:00;    47
01.03.2006 09:45:00;    48
07.04.2006 07:30:00;    60
11.05.2006 12:45:00;    78
08.06.2006 08:00:00;    75
25.07.2006 04:15:00;    67
31.08.2006 09:15:00;    79
30.09.2006 01:30:00;    58
02.10.2006 18:45:00;    59
28.11.2006 16:15:00;    56
31.12.2006 05:15:00;    50
29.01.2007 04:00:00;    48
04.02.2007 04:30:00;    49
06.03.2007 05:00:00;    50
01.04.2007 04:30:00;    52
05.05.2007 06:00:00;    63
29.06.2007 14:30:00;    73
30.07.2007 02:30:00;    64
02.08.2007 07:45:00;    61
02.09.2007 19:00:00;    76
22.10.2007 04:08:35;    63
30.11.2007 04:00:00;    61
31.12.2007 05:15:00;    54
28.01.2008 03:45:00;    51
03.02.2008 09:00:00;    51
10.03.2008 07:30:00;    52
05.04.2008 06:00:00;    55
02.05.2008 14:00:00;    71
17.06.2008 06:15:00;    81
09.07.2008 04:00:00;    88
31.08.2008 09:30:00;    71
26.09.2008 15:00:00;    59
27.10.2008 04:30:00;    59
27.11.2008 03:15:00;    54
28.12.2008 05:15:00;    53
26.01.2009 06:45:00;    50
18.02.2009 09:15:00;    49
01.03.2009 08:15:00;    51
01.04.2009 06:00:00;    56
01.05.2009 09:00:00;    69
01.06.2009 17:45:00;    76
13.07.2009 07:00:00;    77
31.08.2009 06:45:00;    64
28.09.2009 06:15:00;    62
20.10.2009 07:00:00;    58
30.11.2009 03:15:00;    52
31.12.2009 03:00:00;    51
25.01.2010 01:15:00;    48
14.02.2010 07:45:00;    47
06.03.2010 07:45:00;    47
06.04.2010 06:15:00;    51
20.05.2010 06:30:00;    64
30.06.2010 06:00:00;    77
23.07.2010 07:15:00;    63
02.08.2010 06:45:00;    68
23.09.2010 08:15:00;    66
24.10.2010 10:30:00;    59
30.11.2010 08:30:00;    55
20.12.2010 07:00:00;    52
05.01.2011 05:30:00;    50
24.02.2011 07:45:00;    48
21.03.2011 08:15:00;    46
01.04.2011 04:15:00;    49
05.05.2011 14:00:00;    54
08.06.2011 05:45:00;    70
10.07.2011 15:15:00;    61
26.08.2011 07:00:00;    60
17.09.2011 19:15:00;    56
31.10.2011 11:45:00;    64
28.11.2011 07:15:00;    55
30.12.2011 04:30:00;    52
06.01.2012 08:00:00;    51
19.02.2012 07:30:00;    50
01.03.2012 02:45:00;    53
25.04.2012 12:15:00;    64
18.05.2012 08:00:00;    75
28.06.2012 05:45:00;    84
09.07.2012 06:45:00;    70
20.08.2012 06:00:00;    71
26.09.2012 05:45:00;    76
31.10.2012 07:15:00;    66
30.11.2012 07:00:00;    62
21.12.2012 18:15:00;    58
28.01.2013 04:45:00;    55
25.02.2013 00:30:00;    52
04.03.2013 07:00:00;    53
01.04.2013 07:45:00;    55
27.05.2013 06:00:00;    72
30.06.2013 23:59:55;    87
28.07.2013 20:15:00;    78
16.08.2013 15:15:00;    60
06.09.2013 14:00:00;    61
02.10.2013 10:15:00;    61
30.11.2013 17:15:00;    59
31.12.2013 09:00:00;    52
01.01.2014 04:30:00;    52
15.02.2014 06:15:00;    52
07.03.2014 07:00:00;    51
18.04.2014 09:30:00;    59
17.05.2014 14:30:00;    71
21.06.2014 14:00:00;    70
20.07.2014 07:30:00;    71
11.08.2014 06:15:00;    81
30.09.2014 23:59:55;    68
20.10.2014 15:00:00;    63
28.11.2014 06:00:00;    62
27.12.2014 05:15:00;    56
26.01.2015 03:15:00;    57
25.02.2015 06:30:00;    55
03.03.2015 13:30:00;    54
06.04.2015 05:00:00;    59
01.05.2015 09:45:00;    73
28.06.2015 17:45:00;    83
28.07.2015 09:45:00;    65
30.08.2015 17:45:00;    64
23.09.2015 04:15:00;    67
22.10.2015 04:00:00;    65
24.11.2015 05:30:00;    55
31.12.2015 08:00:00;    51
14.01.2016 11:00:00;    48
20.02.2016 13:15:00;    52
02.03.2016 06:15:00;    56
10.04.2016 11:15:00;    69
01.05.2016 10:15:00;    71
05.06.2016 08:30:00;   100
31.07.2016 20:45:00;    83
28.08.2016 12:15:00;    77
15.09.2016 08:15:00;    65
24.10.2016 03:45:00;    62
30.11.2016 06:00:00;    60
07.12.2016 08:45:00;    56
30.01.2017 06:30:00;    49
19.02.2017 11:30:00;    48
02.03.2017 08:30:00;    51
21.04.2017 06:15:00;    55
01.05.2017 13:15:00;    63
23.06.2017 07:00:00;    69
18.07.2017 05:15:00;    68
01.08.2017 05:15:00;    71
30.09.2017 23:59:55;    75
29.10.2017 02:45:00;    65
29.11.2017 06:15:00;    56
03.12.2017 05:15:00;    52
03.01.2018 01:15:00;    53
28.02.2018 07:45:00;    47
20.03.2018 14:00:00;    48
02.04.2018 08:45:00;    54
21.05.2018 12:45:00;    78
23.06.2018 18:15:00;    68
31.07.2018 05:15:00;    59
20.08.2018 08:00:00;    55
27.09.2018 13:00:00;    49
22.10.2018 01:15:00;    47
28.11.2018 15:30:00;    54
16.12.2018 03:45:00;    50
18.01.2019 06:15:00;    48
01.02.2019 05:15:00;    49
14.03.2019 13:45:00;    56
01.04.2019 13:00:00;    62
16.05.2019 06:15:00;    70
01.06.2019 06:00:00;    96
28.07.2019 11:15:00;    68
18.08.2019 16:15:00;    71
28.09.2019 01:15:00;    67
24.10.2019 10:15:00;    65
02.11.2019 06:45:00;    65
28.12.2019 23:15:00;    61
21.01.2020 07:30:00;    57
15.02.2020 15:30:00;    49
09.03.2020 02:45:00;    55
05.04.2020 12:45:00;    59
31.05.2020 14:00:00;    65
01.06.2020 01:15:00;    63
30.07.2020 06:00:00;    63
01.08.2020 07:15:00;    62
21.09.2020 06:00:00;    70
10.10.2020 08:15:00;    78
29.11.2020 09:30:00;    64
31.12.2020 08:30:00;    62
17.01.2021 00:15:00;    62
26.02.2021 08:00:00;    64
22.03.2021 03:45:00;    56
14.04.2021 12:00:00;    56
08.05.2021 08:30:00;    63
27.06.2021 05:30:00;    78
04.07.2021 16:30:00;    70
29.08.2021 09:00:00;    81
23.09.2021 07:30:00;    71
30.10.2021 13:30:00;    66
29.11.2021 07:15:00;    62
20.12.2021 16:45:00;    61
