Messstelle:                ;St. Andrä-See
01.11.1900 00:00:00;    14
26.12.1900 07:00:00;     6
01.01.1901 00:00:00; Lücke
01.02.1901 00:00:00; Lücke
01.03.1901 00:00:00; Lücke
25.04.1901 07:00:00;    22
26.05.1901 07:00:00;    22
06.06.1901 07:00:00;    21
30.07.1901 07:00:00;    13
16.08.1901 07:00:00;     6
01.09.1901 00:00:00;    13
31.10.1901 23:59:55;    18
06.11.1901 07:00:00;    16
15.12.1901 07:00:00;    15
07.01.1902 07:00:00;    24
01.02.1902 00:00:00; Lücke
23.03.1902 07:00:00;    29
25.04.1902 07:00:00;    28
01.05.1902 00:00:00;    31
30.06.1902 23:59:55;    42
31.07.1902 23:59:55;    17
31.08.1902 23:59:55;    11
28.09.1902 07:00:00;     5
01.10.1902 00:00:00;     5
30.11.1902 07:00:00;     4
22.12.1902 07:00:00;    -2
01.01.1903 00:00:00; Lücke
01.02.1903 00:00:00; Lücke
01.03.1903 00:00:00; Lücke
01.04.1903 00:00:00; Lücke
01.05.1903 00:00:00; Lücke
25.06.1903 07:00:00;    -7
16.07.1903 07:00:00;   -10
28.08.1903 07:00:00;    -8
01.09.1903 00:00:00;    -8
07.10.1903 07:00:00;     7
17.11.1903 07:00:00;    30
31.12.1903 23:59:55;    36
17.01.1904 07:00:00;    20
01.02.1904 00:00:00; Lücke
28.03.1904 07:00:00;    48
12.04.1904 07:00:00;    54
08.05.1904 07:00:00;    65
26.06.1904 07:00:00;    42
31.07.1904 23:59:55;    21
17.08.1904 07:00:00;    16
13.09.1904 07:00:00;    14
06.10.1904 07:00:00;    20
20.11.1904 07:00:00;    11
31.12.1904 23:59:55;    21
02.01.1905 07:00:00;    20
01.02.1905 00:00:00; Lücke
25.03.1905 07:00:00;    25
30.04.1905 23:59:55;    22
12.05.1905 07:00:00;    19
30.06.1905 23:59:55;    18
30.07.1905 07:00:00;    -3
08.08.1905 07:00:00;    -5
17.09.1905 07:00:00;    -4
22.10.1905 07:00:00;    -6
01.11.1905 00:00:00;    -3
30.12.1905 07:00:00;     9
01.01.1906 00:00:00; Lücke
01.02.1906 00:00:00; Lücke
21.03.1906 07:00:00;    10
10.04.1906 07:00:00;    12
31.05.1906 07:00:00;    23
29.06.1906 07:00:00;    11
07.07.1906 07:00:00;     7
31.08.1906 07:00:00;     2
10.09.1906 07:00:00;    -4
24.10.1906 07:00:00;    -1
01.11.1906 00:00:00;    12
27.12.1906 07:00:00;    14
01.01.1907 00:00:00; Lücke
01.02.1907 00:00:00; Lücke
01.03.1907 00:00:00; Lücke
07.04.1907 07:00:00;     8
01.05.1907 00:00:00;    28
30.06.1907 23:59:55;    20
25.07.1907 07:00:00;    12
03.08.1907 07:00:00;    10
30.09.1907 07:00:00;     7
01.10.1907 00:00:00;     7
30.11.1907 07:00:00;    18
28.12.1907 07:00:00;    12
01.01.1908 00:00:00; Lücke
01.02.1908 00:00:00; Lücke
30.03.1908 07:00:00;     0
01.04.1908 00:00:00;     0
31.05.1908 23:59:55;    22
30.06.1908 23:59:55;     4
31.07.1908 23:59:55;    -6
07.08.1908 07:00:00;    -8
30.09.1908 07:00:00;    -2
23.10.1908 07:00:00;    -9
27.11.1908 07:00:00;    -9
28.12.1908 07:00:00;    -9
01.01.1909 00:00:00; Lücke
01.02.1909 00:00:00; Lücke
01.03.1909 00:00:00; Lücke
11.04.1909 07:00:00;     7
31.05.1909 23:59:55;    -0
09.06.1909 07:00:00;    -2
31.07.1909 07:00:00;    -6
01.08.1909 00:00:00;    -6
01.09.1909 00:00:00;     5
01.10.1909 00:00:00;    20
30.11.1909 23:59:55;     8
04.12.1909 07:00:00;     5
01.01.1910 00:00:00; Lücke
01.02.1910 00:00:00; Lücke
20.03.1910 07:00:00;    36
17.04.1910 07:00:00;    27
07.05.1910 07:00:00;    31
20.06.1910 07:00:00;    28
31.07.1910 23:59:55;    27
23.08.1910 07:00:00;    20
01.09.1910 00:00:00;    26
30.10.1910 07:00:00;    15
02.11.1910 07:00:00;    14
01.12.1910 07:00:00;    25
29.01.1911 07:00:00;    13
28.02.1911 23:59:55;     8
24.03.1911 07:00:00;    -1
27.04.1911 07:00:00;     1
03.05.1911 07:00:00;     7
01.06.1911 00:00:00;     8
28.07.1911 07:00:00;    -5
16.08.1911 07:00:00;    -7
14.09.1911 07:00:00;    -7
01.10.1911 00:00:00;     1
10.11.1911 07:00:00;     8
07.12.1911 07:00:00;    13
25.01.1912 07:00:00;     2
02.02.1912 07:00:00;     3
02.03.1912 07:00:00;     5
30.04.1912 23:59:55;     6
16.05.1912 07:00:00;     0
08.06.1912 07:00:00;     4
28.07.1912 07:00:00;    -4
05.08.1912 07:00:00;    -4
01.09.1912 00:00:00;     2
02.10.1912 07:00:00;    21
28.11.1912 07:00:00;    27
31.12.1912 23:59:55;    13
31.01.1913 07:00:00;     4
26.02.1913 07:00:00;    -1
01.03.1913 00:00:00;    -1
30.04.1913 23:59:55;     5
19.05.1913 07:00:00;     1
13.06.1913 07:00:00;   -10
02.07.1913 07:00:00;     0
05.08.1913 07:00:00;     1
01.09.1913 00:00:00;     7
31.10.1913 07:00:00;     5
03.11.1913 07:00:00;     4
16.12.1913 07:00:00;    19
30.01.1914 07:00:00;    25
13.02.1914 07:00:00;    22
01.03.1914 00:00:00;    32
30.04.1914 23:59:55;    49
24.05.1914 07:00:00;    34
30.06.1914 23:59:55;    45
13.07.1914 07:00:00;    36
31.08.1914 23:59:55;    40
17.09.1914 07:00:00;    28
17.10.1914 07:00:00;    21
30.11.1914 23:59:55;    20
09.12.1914 07:00:00;    17
20.01.1915 07:00:00;    21
04.02.1915 07:00:00;    22
06.03.1915 07:00:00;    30
01.04.1915 00:00:00;    43
28.05.1915 07:00:00;    42
30.06.1915 07:00:00;    25
31.07.1915 23:59:55;    25
11.08.1915 07:00:00;    23
25.09.1915 07:00:00;    15
02.10.1915 07:00:00;    25
01.11.1915 00:00:00;    34
18.12.1915 07:00:00;    31
31.01.1916 07:00:00;    20
14.02.1916 07:00:00;    17
01.03.1916 00:00:00;    20
17.04.1916 07:00:00;    45
31.05.1916 23:59:55;    44
30.06.1916 07:00:00;    36
19.07.1916 07:00:00;    27
31.08.1916 07:00:00;    17
01.09.1916 00:00:00;    18
31.10.1916 23:59:55;    44
03.11.1916 07:00:00;    40
04.12.1916 07:00:00;    66
31.01.1917 07:00:00;    65
01.02.1917 00:00:00;    65
31.03.1917 07:00:00;    53
01.04.1917 00:00:00;    53
31.05.1917 23:59:55;    72
30.06.1917 07:00:00;    31
31.07.1917 07:00:00;    24
27.08.1917 07:00:00;    15
30.09.1917 07:00:00;    10
03.10.1917 07:00:00;     9
30.11.1917 07:00:00;    37
30.12.1917 07:00:00;    22
18.01.1918 07:00:00;    18
01.02.1918 00:00:00;    19
31.03.1918 07:00:00;    11
10.04.1918 07:00:00;     8
12.05.1918 07:00:00;    21
09.06.1918 07:00:00;    24
22.07.1918 07:00:00;    24
04.08.1918 07:00:00;    30
01.09.1918 07:00:00;    35
01.10.1918 00:00:00;    44
30.11.1918 07:00:00;    36
27.12.1918 07:00:00;    29
01.01.1919 00:00:00;    30
28.02.1919 23:59:55;    31
19.03.1919 07:00:00;    24
01.04.1919 00:00:00;    31
31.05.1919 07:00:00;    20
21.06.1919 07:00:00;    25
01.07.1919 00:00:00;    43
22.08.1919 07:00:00;    38
30.09.1919 23:59:55;    34
01.10.1919 07:00:00;    33
04.11.1919 07:00:00;    37
30.12.1919 07:00:00;    33
02.01.1920 07:00:00;    32
01.02.1920 00:00:00; Lücke
06.03.1920 07:00:00;    20
11.04.1920 07:00:00;    21
23.05.1920 07:00:00;    21
11.06.1920 07:00:00;    24
27.07.1920 07:00:00;    28
01.08.1920 00:00:00;    30
18.09.1920 07:00:00;    30
31.10.1920 23:59:55;    44
30.11.1920 07:00:00;    28
02.12.1920 07:00:00;    28
08.01.1921 07:00:00;    28
28.02.1921 23:59:55;    20
01.03.1921 07:00:00;    18
14.04.1921 07:00:00;    15
31.05.1921 23:59:55;    31
20.06.1921 07:00:00;    19
31.07.1921 23:59:55;    15
26.08.1921 07:00:00;     7
30.09.1921 07:00:00;     2
18.10.1921 07:00:00;     0
27.11.1921 07:00:00;     2
26.12.1921 07:00:00;     0
01.01.1922 00:00:00;     0
07.02.1922 07:00:00;    -1
01.03.1922 00:00:00;     0
09.04.1922 07:00:00;    15
01.05.1922 00:00:00;    25
30.06.1922 07:00:00;    17
31.07.1922 07:00:00;     6
30.08.1922 07:00:00;    -1
01.09.1922 00:00:00;    -1
01.10.1922 00:00:00;    11
30.11.1922 23:59:55;    14
16.12.1922 07:00:00;    11
01.01.1923 00:00:00;    11
26.02.1923 07:00:00;     8
01.03.1923 00:00:00;     9
05.04.1923 07:00:00;    10
31.05.1923 23:59:55;    30
01.06.1923 07:00:00;    30
31.07.1923 23:59:55;    28
25.08.1923 07:00:00;    17
01.09.1923 00:00:00;    22
03.10.1923 07:00:00;    30
04.11.1923 07:00:00;    41
31.12.1923 23:59:55;    50
31.01.1924 07:00:00;    31
27.02.1924 07:00:00;    24
01.03.1924 00:00:00;    24
30.04.1924 07:00:00;    36
24.05.1924 07:00:00;    29
01.06.1924 00:00:00;    36
16.07.1924 07:00:00;    36
13.08.1924 07:00:00;    36
30.09.1924 23:59:55;    55
31.10.1924 07:00:00;    38
30.11.1924 23:59:55;    23
01.12.1924 07:00:00;    23
31.01.1925 07:00:00;    16
13.02.1925 07:00:00;    12
30.03.1925 07:00:00;    22
07.04.1925 07:00:00;    20
09.05.1925 07:00:00;    46
20.06.1925 07:00:00;    37
25.07.1925 07:00:00;    24
01.08.1925 00:00:00;    27
30.09.1925 23:59:55;    43
22.10.1925 07:00:00;    31
04.11.1925 07:00:00;    30
20.12.1925 07:00:00;    35
31.01.1926 23:59:55;    26
04.02.1926 07:00:00;    25
31.03.1926 07:00:00;    23
08.04.1926 07:00:00;    21
05.05.1926 07:00:00;    35
12.06.1926 07:00:00;    36
02.07.1926 07:00:00;    49
31.08.1926 23:59:55;    49
26.09.1926 07:00:00;    29
09.10.1926 07:00:00;    34
01.11.1926 00:00:00;    62
31.12.1926 23:59:55;    68
31.01.1927 23:59:55;    49
27.02.1927 07:00:00;    28
01.03.1927 00:00:00;    28
07.04.1927 07:00:00;    42
30.05.1927 07:00:00;    42
16.06.1927 07:00:00;    36
20.07.1927 07:00:00;    25
12.08.1927 07:00:00;    19
08.09.1927 07:00:00;    29
31.10.1927 23:59:55;    30
08.11.1927 07:00:00;    27
31.12.1927 07:00:00;    33
15.01.1928 07:00:00;    25
28.02.1928 07:00:00;    22
04.03.1928 07:00:00;    21
01.04.1928 00:00:00;    40
31.05.1928 07:00:00;    42
30.06.1928 23:59:55;    31
27.07.1928 07:00:00;    19
03.08.1928 07:00:00;    20
11.09.1928 07:00:00;    18
20.10.1928 07:00:00;    22
01.11.1928 00:00:00;    29
29.12.1928 07:00:00;    23
23.01.1929 07:00:00;    19
23.02.1929 07:00:00;    19
07.03.1929 07:00:00;    18
16.04.1929 07:00:00;    25
06.05.1929 07:00:00;    28
03.06.1929 07:00:00;    30
31.07.1929 23:59:55;    24
28.08.1929 07:00:00;    22
01.09.1929 00:00:00; Lücke
01.10.1929 00:00:00; Lücke
01.11.1929 00:00:00; Lücke
25.12.1929 07:00:00;    21
26.01.1930 07:00:00;    13
28.02.1930 23:59:55;    11
01.03.1930 07:00:00;    11
13.04.1930 07:00:00;    19
22.05.1930 07:00:00;    21
26.06.1930 07:00:00;     9
10.07.1930 07:00:00;    10
02.08.1930 07:00:00;    14
06.09.1930 07:00:00;    20
08.10.1930 07:00:00;    28
02.11.1930 07:00:00;    36
29.12.1930 07:00:00;    23
26.01.1931 07:00:00;    19
11.02.1931 07:00:00;    17
01.03.1931 00:00:00;    27
06.04.1931 07:00:00;    42
31.05.1931 23:59:55;    36
30.06.1931 23:59:55;    27
19.07.1931 07:00:00;    17
10.08.1931 07:00:00;    17
01.09.1931 00:00:00;    18
21.10.1931 07:00:00;    13
07.11.1931 07:00:00;    24
26.12.1931 07:00:00;    20
29.01.1932 07:00:00;    18
29.02.1932 23:59:55;    11
05.03.1932 07:00:00;    10
01.04.1932 00:00:00;    19
24.05.1932 07:00:00;    33
30.06.1932 23:59:55;    28
31.07.1932 23:59:55;    17
29.08.1932 07:00:00;     9
19.09.1932 07:00:00;     9
02.10.1932 07:00:00;     9
19.11.1932 07:00:00;    12
30.12.1932 07:00:00;    12
28.01.1933 07:00:00;     8
01.02.1933 00:00:00;     8
01.03.1933 00:00:00;     9
11.04.1933 07:00:00;    10
22.05.1933 07:00:00;    10
06.06.1933 07:00:00;    24
30.07.1933 07:00:00;    22
19.08.1933 07:00:00;    13
20.09.1933 07:00:00;    12
09.10.1933 07:00:00;    26
30.11.1933 23:59:55;    77
25.12.1933 07:00:00;    50
31.01.1934 07:00:00;    37
24.02.1934 07:00:00;    29
01.03.1934 00:00:00;    37
20.04.1934 07:00:00;    61
30.05.1934 07:00:00;    52
03.06.1934 07:00:00;    50
31.07.1934 23:59:55;    35
27.08.1934 07:00:00;    24
10.09.1934 07:00:00;    35
31.10.1934 07:00:00;    34
01.11.1934 00:00:00;    35
13.12.1934 07:00:00;    38
15.01.1935 07:00:00;    30
12.02.1935 07:00:00;    20
31.03.1935 23:59:55;    21
01.04.1935 07:00:00;    20
12.05.1935 07:00:00;    20
30.06.1935 23:59:55;    27
22.07.1935 07:00:00;    14
02.08.1935 07:00:00;    12
30.09.1935 23:59:55;    12
01.10.1935 07:00:00;    12
16.11.1935 07:00:00;    29
25.12.1935 07:00:00;    25
17.01.1936 07:00:00;    30
19.02.1936 07:00:00;    33
26.03.1936 07:00:00;    35
03.04.1936 07:00:00;    34
19.05.1936 07:00:00;    45
21.06.1936 07:00:00;    45
30.07.1936 07:00:00;    34
31.08.1936 23:59:55;    27
19.09.1936 07:00:00;    21
06.10.1936 07:00:00;    25
30.11.1936 23:59:55;    20
31.12.1936 23:59:55;    11
18.01.1937 07:00:00;     7
06.02.1937 07:00:00;     7
01.03.1937 00:00:00;    11
30.04.1937 07:00:00;    45
31.05.1937 07:00:00;    25
06.06.1937 07:00:00;    22
07.07.1937 07:00:00;    24
01.08.1937 00:00:00;    30
10.09.1937 07:00:00;    40
31.10.1937 23:59:55;    56
19.11.1937 07:00:00;    45
31.12.1937 23:59:55;    37
27.01.1938 07:00:00;    24
28.02.1938 23:59:55;    18
01.03.1938 07:00:00;    18
15.04.1938 07:00:00;    17
01.05.1938 00:00:00;    23
30.06.1938 23:59:55;    38
06.07.1938 07:00:00;    33
01.08.1938 00:00:00;    34
30.09.1938 23:59:55;    30
27.10.1938 07:00:00;    19
16.11.1938 07:00:00;    14
18.12.1938 07:00:00;    14
10.01.1939 07:00:00;    12
21.02.1939 07:00:00;    13
27.03.1939 07:00:00;     5
16.04.1939 07:00:00;     3
01.05.1939 00:00:00;     6
12.06.1939 07:00:00;    16
01.07.1939 00:00:00;   100
31.08.1939 23:59:55;   106
11.09.1939 07:00:00;   104
03.10.1939 07:00:00;   108
30.11.1939 23:59:55;   122
30.12.1939 07:00:00;   114
15.01.1940 07:00:00;   110
27.02.1940 07:00:00;   106
01.03.1940 00:00:00;   106
25.04.1940 07:00:00;   117
26.05.1940 07:00:00;   115
28.06.1940 07:00:00;   108
11.07.1940 07:00:00;   106
27.08.1940 07:00:00;   111
07.09.1940 07:00:00;   111
01.10.1940 00:00:00;   127
01.11.1940 00:00:00;   137
31.12.1940 23:59:55;   122
31.01.1941 07:00:00;   116
02.02.1941 07:00:00;   115
03.03.1941 07:00:00;   115
23.04.1941 07:00:00;   127
01.05.1941 07:00:00;   128
26.06.1941 07:00:00;   121
17.07.1941 07:00:00;   110
04.08.1941 07:00:00;   119
29.09.1941 07:00:00;   118
27.10.1941 07:00:00;   109
12.11.1941 07:00:00;   112
31.12.1941 23:59:55;   107
21.01.1942 07:00:00;   103
01.02.1942 07:00:00;   103
01.03.1942 00:00:00;   107
26.04.1942 07:00:00;   119
30.05.1942 07:00:00;   118
29.06.1942 07:00:00;   112
02.07.1942 07:00:00;   111
31.08.1942 23:59:55;   109
11.09.1942 07:00:00;   105
28.10.1942 07:00:00;   105
29.11.1942 07:00:00;   104
01.12.1942 00:00:00;   104
28.01.1943 07:00:00;   100
01.02.1943 00:00:00;   100
14.03.1943 07:00:00;   100
17.04.1943 07:00:00;    98
31.05.1943 07:00:00;   100
01.06.1943 00:00:00;   100
01.07.1943 00:00:00;   127
27.08.1943 07:00:00;   113
24.09.1943 07:00:00;   108
31.10.1943 23:59:55;   108
27.11.1943 07:00:00;   100
01.12.1943 00:00:00;   100
26.01.1944 07:00:00;    94
29.02.1944 23:59:55;    89
28.03.1944 07:00:00;    84
28.04.1944 07:00:00;    79
01.05.1944 00:00:00;    80
05.06.1944 07:00:00;   112
31.07.1944 23:59:55;   117
28.08.1944 07:00:00;   107
20.09.1944 07:00:00;   105
01.10.1944 00:00:00;   111
01.11.1944 00:00:00;   130
31.12.1944 23:59:55;   136
26.01.1945 07:00:00;   123
28.02.1945 07:00:00;   114
01.03.1945 00:00:00;   115
30.04.1945 23:59:55;   117
01.05.1945 07:00:00;   116
17.06.1945 07:00:00;   109
15.07.1945 07:00:00;   110
01.08.1945 00:00:00;   114
17.09.1945 07:00:00;   109
15.10.1945 07:00:00;   110
30.11.1945 07:00:00;   100
31.12.1945 23:59:55;    91
01.01.1946 07:00:00;    90
01.02.1946 00:00:00;    90
01.03.1946 00:00:00;    90
01.04.1946 00:00:00;    95
29.05.1946 07:00:00;    90
01.06.1946 00:00:00;    90
01.07.1946 00:00:00;   112
24.08.1946 07:00:00;   119
30.09.1946 23:59:55;   113
24.10.1946 07:00:00;   107
01.11.1946 00:00:00;   108
31.12.1946 07:00:00;   107
31.01.1947 23:59:55;    94
21.02.1947 07:00:00;    93
01.03.1947 00:00:00;    93
30.04.1947 23:59:55;   140
31.05.1947 23:59:55;   128
21.06.1947 07:00:00;   120
06.07.1947 07:00:00;   120
31.08.1947 23:59:55;   117
30.09.1947 07:00:00;   108
31.10.1947 23:59:55;    99
17.11.1947 07:00:00;    95
31.12.1947 23:59:55;   111
01.01.1948 07:00:00;   110
29.02.1948 23:59:55;   114
26.03.1948 07:00:00;   110
30.04.1948 07:00:00;   109
30.05.1948 07:00:00;   105
01.06.1948 00:00:00;   109
01.07.1948 00:00:00;   121
28.08.1948 07:00:00;   139
29.09.1948 07:00:00;   126
14.10.1948 07:00:00;   122
30.11.1948 23:59:55;   135
30.12.1948 07:00:00;   118
26.01.1949 07:00:00;   116
25.02.1949 07:00:00;   111
29.03.1949 07:00:00;   107
25.04.1949 07:00:00;   105
01.05.1949 00:00:00;   108
12.06.1949 07:00:00;   109
29.07.1949 07:00:00;   107
01.08.1949 00:00:00;   107
01.09.1949 00:00:00;   108
18.10.1949 07:00:00;   107
01.11.1949 00:00:00;   109
31.12.1949 23:59:55;   131
27.01.1950 07:00:00;   119
23.02.1950 07:00:00;   115
01.03.1950 00:00:00;   117
03.04.1950 07:00:00;   117
27.05.1950 07:00:00;   120
24.06.1950 07:00:00;   110
13.07.1950 07:00:00;   107
31.08.1950 07:00:00;   105
15.09.1950 07:00:00;   103
22.10.1950 07:00:00;   103
01.11.1950 00:00:00;   105
05.12.1950 07:00:00;   125
19.01.1951 07:00:00;   123
01.02.1951 00:00:00;   123
06.03.1951 07:00:00;   145
01.04.1951 00:00:00; Lücke
01.05.1951 00:00:00; Lücke
29.06.1951 07:00:00;   134
30.07.1951 07:00:00;   127
30.08.1951 07:00:00;   113
13.09.1951 07:00:00;   109
19.10.1951 07:00:00;   107
01.11.1951 00:00:00;   109
26.12.1951 07:00:00;   117
19.01.1952 07:00:00;   113
28.02.1952 07:00:00;    88
01.03.1952 00:00:00;    88
01.04.1952 00:00:00;   129
28.05.1952 07:00:00;   117
30.06.1952 07:00:00;   114
11.07.1952 07:00:00;   108
15.08.1952 07:00:00;   109
01.09.1952 07:00:00;   111
10.10.1952 07:00:00;   125
30.11.1952 23:59:55;   125
30.12.1952 07:00:00;   118
30.01.1953 07:00:00;    88
22.02.1953 07:00:00;    81
01.03.1953 00:00:00;    85
09.04.1953 07:00:00;   115
21.05.1953 07:00:00;   119
30.06.1953 07:00:00;   114
01.07.1953 00:00:00;   114
01.08.1953 00:00:00;   119
18.09.1953 07:00:00;   117
25.10.1953 07:00:00;   114
29.11.1953 07:00:00;   114
26.12.1953 07:00:00;   109
30.01.1954 07:00:00;    95
21.02.1954 07:00:00;    90
01.03.1954 00:00:00;    90
25.04.1954 07:00:00;   120
01.05.1954 00:00:00;   123
01.06.1954 00:00:00;   134
29.07.1954 07:00:00;   151
31.08.1954 23:59:55;   132
15.09.1954 07:00:00;   125
25.10.1954 07:00:00;   122
09.11.1954 07:00:00;   121
04.12.1954 07:00:00;   121
31.01.1955 23:59:55;   121
16.02.1955 07:00:00;   115
09.03.1955 07:00:00;   118
29.04.1955 07:00:00;   126
01.05.1955 00:00:00;   126
25.06.1955 07:00:00;   129
31.07.1955 23:59:55;   128
29.08.1955 07:00:00;   119
04.09.1955 07:00:00;   118
05.10.1955 07:00:00;   119
10.11.1955 07:00:00;   135
29.12.1955 07:00:00;   124
31.01.1956 07:00:00;   115
06.02.1956 07:00:00;   114
21.03.1956 07:00:00;   110
01.04.1956 00:00:00;   112
18.05.1956 07:00:00;   129
01.06.1956 07:00:00;   142
31.07.1956 07:00:00;   128
13.08.1956 07:00:00;   120
27.09.1956 07:00:00;   110
01.10.1956 07:00:00;   110
12.11.1956 07:00:00;   127
29.12.1956 07:00:00;   116
31.01.1957 23:59:55;   113
11.02.1957 07:00:00;   111
01.03.1957 00:00:00;   112
01.04.1957 00:00:00;   115
25.05.1957 07:00:00;   120
03.06.1957 07:00:00;   129
09.07.1957 07:00:00;   127
27.08.1957 07:00:00;   134
12.09.1957 07:00:00;   126
29.10.1957 07:00:00;   125
05.11.1957 07:00:00;   123
29.12.1957 07:00:00;   117
11.01.1958 07:00:00;   115
09.02.1958 07:00:00;   118
01.03.1958 00:00:00;   123
03.04.1958 07:00:00;   136
31.05.1958 23:59:55;   130
21.06.1958 07:00:00;   123
21.07.1958 07:00:00;   118
31.08.1958 07:00:00;   131
18.09.1958 07:00:00;   125
11.10.1958 07:00:00;   126
01.11.1958 00:00:00;   128
12.12.1958 07:00:00;   140
31.01.1959 23:59:55;   132
27.02.1959 07:00:00;   121
24.03.1959 07:00:00;   116
06.04.1959 07:00:00;   117
21.05.1959 07:00:00;   121
04.06.1959 07:00:00;   125
27.07.1959 07:00:00;   128
12.08.1959 07:00:00;   125
27.09.1959 07:00:00;   113
23.10.1959 07:00:00;   106
10.11.1959 07:00:00;   114
08.12.1959 07:00:00;   122
30.01.1960 07:00:00;   118
01.02.1960 00:00:00;   118
01.03.1960 00:00:00;   121
30.04.1960 23:59:55;   131
29.05.1960 07:00:00;   117
24.06.1960 07:00:00;   111
03.07.1960 07:00:00;   116
30.08.1960 07:00:00;   118
05.09.1960 07:00:00;   119
01.10.1960 00:00:00;   137
28.11.1960 07:00:00;   141
05.12.1960 07:00:00;   140
28.01.1961 07:00:00;   143
28.02.1961 23:59:55;   132
07.03.1961 07:00:00;   129
19.04.1961 07:00:00;   122
20.05.1961 07:00:00;   117
29.06.1961 07:00:00;   114
12.07.1961 07:00:00;   108
14.08.1961 07:00:00;   105
28.09.1961 07:00:00;    99
04.10.1961 07:00:00;    98
02.11.1961 07:00:00;   112
29.12.1961 07:00:00;   124
31.01.1962 07:00:00;   123
28.02.1962 23:59:55;   118
01.03.1962 07:00:00;   118
01.04.1962 00:00:00;   122
09.05.1962 07:00:00;   131
25.06.1962 07:00:00;   146
27.07.1962 07:00:00;   141
31.08.1962 07:00:00;   128
30.09.1962 07:00:00;   122
28.10.1962 07:00:00;   112
01.11.1962 00:00:00;   123
12.12.1962 07:00:00;   123
11.01.1963 07:00:00;   122
01.02.1963 00:00:00;   122
01.03.1963 00:00:00;   123
01.04.1963 00:00:00;   148
31.05.1963 07:00:00;   148
30.06.1963 23:59:55;   139
31.07.1963 23:59:55;   120
11.08.1963 07:00:00;   117
02.09.1963 07:00:00;   130
29.10.1963 07:00:00;   124
01.11.1963 00:00:00;   124
31.12.1963 23:59:55;   139
09.01.1964 07:00:00;   135
28.02.1964 07:00:00;   133
03.03.1964 07:00:00;   123
01.04.1964 00:00:00;   126
31.05.1964 07:00:00;   124
30.06.1964 07:00:00;   116
31.07.1964 23:59:55;   114
08.08.1964 07:00:00;   111
16.09.1964 07:00:00;   114
06.10.1964 07:00:00;   114
28.11.1964 07:00:00;   147
28.12.1964 07:00:00;   146
27.01.1965 07:00:00;   135
28.02.1965 23:59:55;   130
01.03.1965 07:00:00;   129
01.04.1965 07:00:00;   135
18.05.1965 07:00:00;   142
30.06.1965 23:59:55;   151
