Messstelle:                ;Scheibbs (Kardinal König Brücke)
08.03.2012 13:45:00;   182
13.04.2012 19:05:00;   185
25.05.2012 22:05:00;   159
01.06.2012 01:50:00;   164
12.07.2012 12:25:00;   155
30.08.2012 19:20:00;   156
04.09.2012 17:55:00;   156
28.10.2012 15:15:00;   144
20.11.2012 19:50:00;   148
08.12.2012 11:50:00;   145
29.01.2013 12:50:00;   173
24.02.2013 17:55:00;   167
31.03.2013 04:20:00;   168
08.04.2013 13:45:00;   162
24.05.2013 05:25:00;   168
20.06.2013 17:50:00;   169
30.07.2013 04:20:00;   150
27.08.2013 23:05:00;   152
13.09.2013 07:20:00;   149
10.10.2013 17:50:00;   154
03.11.2013 07:20:00;   155
30.12.2013 07:20:00;   161
27.01.2014 18:30:00;   150
05.02.2014 14:45:00;   150
15.03.2014 15:35:00;   149
08.04.2014 17:00:00;   153
10.05.2014 05:55:00;   162
29.06.2014 00:55:00;   161
27.07.2014 10:30:00;   155
05.08.2014 06:00:00;   150
09.09.2014 05:05:00;   173
14.10.2014 19:25:00;   166
24.11.2014 10:25:00;   158
01.12.2014 08:50:00;   157
02.01.2015 01:05:00;   162
16.02.2015 07:15:00;   160
10.03.2015 16:55:00;   167
08.04.2015 16:35:00;   174
18.05.2015 09:10:00;   161
13.06.2015 02:05:00;   160
18.07.2015 00:20:00;   151
13.08.2015 07:25:00;   134
23.09.2015 08:50:00;   143
05.10.2015 17:45:00;   152
08.11.2015 13:20:00;   149
25.12.2015 11:10:00;   155
06.01.2016 19:35:00;   154
20.02.2016 13:55:00;   170
10.03.2016 15:45:00;   164
30.04.2016 23:00:00;   163
02.05.2016 06:40:00;   161
30.06.2016 11:35:00;   166
10.07.2016 13:05:00;   162
31.08.2016 06:30:00;   164
16.09.2016 02:00:00;   159
02.10.2016 11:35:00;   157
28.11.2016 10:20:00;   165
09.12.2016 23:50:00;   163
27.01.2017 21:20:00;   160
02.02.2017 15:55:00;   161
15.03.2017 05:35:00;   181
16.04.2017 02:10:00;   171
31.05.2017 07:35:00;   168
23.06.2017 16:05:00;   154
09.07.2017 15:55:00;   148
31.08.2017 17:50:00;   144
12.09.2017 15:25:00;   151
14.10.2017 09:35:00;   159
02.11.2017 14:25:00;   165
10.12.2017 11:35:00;   165
16.01.2018 20:15:00;   174
28.02.2018 10:45:00;   163
01.03.2018 06:15:00;   162
28.04.2018 06:05:00;   168
31.05.2018 19:25:00;   150
04.06.2018 12:30:00;   151
27.07.2018 13:05:00;   150
18.08.2018 15:20:00;   147
24.09.2018 08:45:00;   151
12.10.2018 17:45:00;   140
24.11.2018 09:15:00;   145
01.12.2018 00:20:00;   152
30.01.2019 09:40:00;   169
01.02.2019 17:15:00;   170
29.03.2019 13:00:00;   189
29.04.2019 05:50:00;   180
04.05.2019 14:00:00;   189
28.06.2019 09:35:00;   162
20.07.2019 13:35:00;   151
24.08.2019 19:00:00;   134
21.09.2019 19:20:00;   137
02.10.2019 05:05:00;   145
03.11.2019 18:50:00;   148
20.12.2019 14:15:00;   140
26.01.2020 15:40:00;   153
23.02.2020 06:55:00;   175
31.03.2020 08:15:00;   162
25.04.2020 17:25:00;   153
23.05.2020 17:35:00;   149
03.06.2020 18:45:00;   168
14.07.2020 15:20:00;   159
14.08.2020 06:50:00;   160
23.09.2020 18:30:00;   159
10.10.2020 11:45:00;   162
19.11.2020 19:15:00;   161
06.12.2020 16:55:00;   158
04.01.2021 14:10:00;   152
15.02.2021 07:20:00;   167
06.03.2021 07:05:00;   163
17.04.2021 06:15:00;   168
31.05.2021 18:50:00;   171
29.06.2021 20:05:00;   148
13.07.2021 17:25:00;   146
16.08.2021 17:45:00;   157
27.09.2021 06:50:00;   156
23.10.2021 14:30:00;   152
14.11.2021 11:45:00;   152
09.12.2021 07:10:00;   157
