Messstelle:                ;Pertisau (Seepegel)
27.01.1909 11:00:00;    10
28.02.1909 11:00:00;     0
01.03.1909 00:00:00;     0
08.04.1909 11:00:00;     0
06.05.1909 11:00:00;    38
22.06.1909 11:00:00;    35
31.07.1909 11:00:00;    40
26.08.1909 11:00:00;    36
28.09.1909 11:00:00;    29
01.10.1909 00:00:00;    30
14.11.1909 11:00:00;    44
19.12.1909 11:00:00;    45
31.01.1910 23:59:55;    51
18.02.1910 11:00:00;    38
31.03.1910 23:59:55;    37
07.04.1910 11:00:00;    30
11.05.1910 11:00:00;    50
20.06.1910 11:00:00;    70
16.07.1910 11:00:00;    60
28.08.1910 11:00:00;    44
28.09.1910 11:00:00;    45
26.10.1910 11:00:00;    46
01.11.1910 00:00:00;    46
31.12.1910 23:59:55;    37
30.01.1911 11:00:00;    18
17.02.1911 11:00:00;    10
19.03.1911 11:00:00;    10
01.04.1911 00:00:00;    25
04.05.1911 11:00:00;    38
15.06.1911 11:00:00;    50
30.07.1911 11:00:00;    35
20.08.1911 11:00:00;    25
13.09.1911 11:00:00;    19
01.10.1911 00:00:00;    22
01.11.1911 00:00:00;    36
19.12.1911 11:00:00;    33
01.01.1912 00:00:00;    40
01.02.1912 11:00:00;    44
20.03.1912 11:00:00;    40
16.04.1912 11:00:00;    41
01.05.1912 00:00:00;    44
24.06.1912 11:00:00;    51
17.07.1912 11:00:00;    45
10.08.1912 11:00:00;    44
24.09.1912 11:00:00;    50
01.10.1912 00:00:00;    50
24.11.1912 11:00:00;    40
25.12.1912 11:00:00;    38
22.01.1913 11:00:00;    35
25.02.1913 11:00:00;    20
10.03.1913 11:00:00;    14
09.04.1913 11:00:00;    30
15.05.1913 11:00:00;    39
06.06.1913 11:00:00;    45
08.07.1913 11:00:00;    59
31.08.1913 11:00:00;    45
30.09.1913 11:00:00;    36
03.10.1913 11:00:00;    35
01.11.1913 00:00:00;    40
30.12.1913 11:00:00;    50
29.01.1914 11:00:00;    44
10.02.1914 11:00:00;    40
01.03.1914 00:00:00;    42
01.04.1914 00:00:00;    42
14.05.1914 11:00:00;    52
29.06.1914 11:00:00;    55
01.07.1914 00:00:00;    55
31.08.1914 11:00:00;    42
30.09.1914 11:00:00;    31
01.10.1914 00:00:00;    31
30.11.1914 11:00:00;    38
31.12.1914 11:00:00;    35
01.01.1915 00:00:00;    35
28.02.1915 11:00:00;    24
01.03.1915 00:00:00;    24
09.04.1915 11:00:00;    34
01.05.1915 00:00:00;    53
20.06.1915 11:00:00;    39
01.07.1915 00:00:00;    45
29.08.1915 11:00:00;    40
21.09.1915 01:01:00;    35
01.10.1915 11:00:00;    40
01.11.1915 00:00:00;    40
01.12.1915 00:00:00;    40
29.01.1916 11:00:00;    45
29.02.1916 11:00:00;    40
01.03.1916 00:00:00;    40
01.04.1916 00:00:00;    45
01.05.1916 00:00:00;    50
01.06.1916 00:00:00;    50
01.07.1916 00:00:00;    60
11.08.1916 11:00:00;    50
01.09.1916 00:00:00;    50
01.10.1916 00:00:00;    50
06.11.1916 11:00:00;    47
31.12.1916 11:00:00;    38
31.01.1917 11:00:00;    35
28.02.1917 11:00:00;    22
30.03.1917 11:00:00;    14
11.04.1917 11:00:00;    13
01.05.1917 11:00:00;    20
30.06.1917 11:00:00;    42
30.07.1917 11:00:00;    35
01.08.1917 00:00:00;    35
11.09.1917 11:00:00;    30
01.10.1917 00:00:00;    35
08.11.1917 11:00:00;    45
31.12.1917 23:59:55;    41
19.01.1918 11:00:00;    36
17.02.1918 11:00:00;    30
23.03.1918 11:00:00;    34
01.04.1918 00:00:00;    35
01.05.1918 00:00:00;    40
08.06.1918 11:00:00;    50
27.07.1918 11:00:00;    55
31.08.1918 11:00:00;    43
06.09.1918 11:00:00;    38
31.10.1918 11:00:00;    40
01.11.1918 00:00:00;    40
01.12.1918 00:00:00;    40
30.01.1919 11:00:00;    30
22.02.1919 11:00:00;    23
24.03.1919 11:00:00;    20
01.04.1919 00:00:00;    22
01.05.1919 00:00:00;    31
01.06.1919 00:00:00;    54
31.07.1919 23:59:55;    50
24.08.1919 11:00:00;    38
10.09.1919 11:00:00;    37
27.10.1919 11:00:00;    39
03.11.1919 11:00:00;    36
01.12.1919 00:00:00;    48
30.01.1920 11:00:00;    48
15.02.1920 11:00:00;    45
31.03.1920 23:59:55;    41
05.04.1920 11:00:00;    39
01.05.1920 00:00:00;    43
30.06.1920 23:59:55;    46
08.07.1920 11:00:00;    38
18.08.1920 11:00:00;    39
30.09.1920 11:00:00;    45
09.10.1920 11:00:00;    41
30.11.1920 11:00:00;    35
30.12.1920 11:00:00;    15
01.01.1921 00:00:00;    16
28.02.1921 11:00:00;    26
01.03.1921 00:00:00;    26
01.04.1921 00:00:00;    30
31.05.1921 11:00:00;    40
07.06.1921 11:00:00;    39
25.07.1921 11:00:00;    36
07.08.1921 11:00:00;    30
09.09.1921 11:00:00;    34
01.10.1921 00:00:00;    44
30.11.1921 11:00:00;    49
22.12.1921 11:00:00;    45
31.01.1922 11:00:00;    44
26.02.1922 11:00:00;    37
01.03.1922 00:00:00;    37
30.04.1922 11:00:00;    34
01.05.1922 00:00:00;    34
11.06.1922 11:00:00;    53
31.07.1922 11:00:00;    53
29.08.1922 11:00:00;    40
01.09.1922 00:00:00;    40
26.10.1922 11:00:00;    40
21.11.1922 11:00:00;    47
01.12.1922 00:00:00;    47
29.01.1923 11:00:00;    37
01.02.1923 00:00:00;    41
21.03.1923 11:00:00;    36
01.04.1923 00:00:00;    42
01.05.1923 11:00:00;    52
13.06.1923 11:00:00;    58
31.07.1923 23:59:55;    43
01.08.1923 11:00:00;    40
11.09.1923 11:00:00;    35
01.10.1923 00:00:00;    45
29.11.1923 11:00:00;    48
31.12.1923 23:59:55;    44
30.01.1924 11:00:00;    28
29.02.1924 11:00:00;    15
17.03.1924 11:00:00;     7
03.04.1924 11:00:00;    35
01.05.1924 00:00:00;    60
30.06.1924 23:59:55;    49
22.07.1924 11:00:00;    40
14.08.1924 11:00:00;    50
30.09.1924 11:00:00;    44
06.10.1924 11:00:00;    42
29.11.1924 11:00:00;    40
31.12.1924 11:00:00;    20
30.01.1925 11:00:00;     4
12.02.1925 11:00:00;     2
08.03.1925 11:00:00;     0
06.04.1925 11:00:00;     0
01.05.1925 00:00:00;    32
23.06.1925 11:00:00;    34
21.07.1925 11:00:00;    32
12.08.1925 11:00:00;    45
26.09.1925 11:00:00;    40
01.10.1925 00:00:00;    40
28.11.1925 11:00:00;    42
06.12.1925 11:00:00;    41
31.01.1926 11:00:00;    41
01.02.1926 00:00:00;    41
26.03.1926 11:00:00;    52
21.04.1926 11:00:00;    49
01.05.1926 00:00:00;    60
07.06.1926 11:00:00;    58
24.07.1926 11:00:00;    50
01.08.1926 00:00:00; Lücke
28.09.1926 11:00:00;    34
01.10.1926 00:00:00;    34
30.11.1926 11:00:00;    30
28.12.1926 11:00:00;    24
31.01.1927 23:59:55;    22
19.02.1927 11:00:00;    14
01.03.1927 00:00:00; Lücke
01.04.1927 11:00:00;    29
01.05.1927 00:00:00;    55
27.06.1927 11:00:00;    46
09.07.1927 11:00:00;    42
17.08.1927 11:00:00;    54
09.09.1927 11:00:00;    52
05.10.1927 11:00:00;    41
30.11.1927 23:59:55;   -11
31.12.1927 23:59:55;  -122
31.01.1928 23:59:55;  -268
29.02.1928 23:59:55;  -338
22.03.1928 11:00:00;  -404
02.04.1928 11:00:00;  -401
01.05.1928 00:00:00;  -358
01.06.1928 00:00:00;  -256
01.07.1928 00:00:00;  -125
01.08.1928 00:00:00;   -30
28.09.1928 11:00:00;    12
31.10.1928 23:59:55;   -43
30.11.1928 23:59:55;  -136
29.12.1928 11:00:00;  -210
31.01.1929 23:59:55;  -375
27.02.1929 11:00:00;  -527
17.03.1929 11:00:00;  -584
01.04.1929 00:00:00;  -539
01.05.1929 00:00:00;  -466
01.06.1929 00:00:00;  -221
01.07.1929 00:00:00;    21
08.08.1929 11:00:00;    48
14.09.1929 11:00:00;     3
11.10.1929 11:00:00;     0
22.11.1929 11:00:00;     0
02.12.1929 11:00:00;    30
02.01.1930 11:00:00;    16
01.02.1930 00:00:00;   100
01.03.1930 00:00:00;   280
30.04.1930 23:59:55;   376
31.05.1930 23:59:55;    -0
01.06.1930 11:00:00;   -58
12.07.1930 11:00:00;     0
30.08.1930 11:00:00;    48
19.09.1930 11:00:00;     0
28.10.1930 11:00:00;    59
05.11.1930 11:00:00;    60
01.12.1930 00:00:00; Lücke
01.01.1931 00:00:00; Lücke
01.02.1931 00:00:00; Lücke
01.03.1931 00:00:00; Lücke
01.04.1931 00:00:00; Lücke
01.05.1931 00:00:00; Lücke
01.06.1931 00:00:00; Lücke
01.07.1931 00:00:00; Lücke
01.08.1931 00:00:00; Lücke
01.09.1931 00:00:00; Lücke
01.10.1931 00:00:00; Lücke
01.11.1931 00:00:00; Lücke
01.12.1931 00:00:00; Lücke
01.01.1932 00:00:00; Lücke
01.02.1932 00:00:00; Lücke
01.03.1932 00:00:00; Lücke
01.04.1932 00:00:00; Lücke
01.05.1932 00:00:00; Lücke
01.06.1932 00:00:00; Lücke
01.07.1932 00:00:00; Lücke
01.08.1932 00:00:00; Lücke
01.09.1932 00:00:00; Lücke
01.10.1932 00:00:00; Lücke
01.11.1932 00:00:00; Lücke
01.12.1932 00:00:00; Lücke
01.01.1933 00:00:00; Lücke
01.02.1933 00:00:00; Lücke
01.03.1933 00:00:00; Lücke
01.04.1933 00:00:00; Lücke
01.05.1933 00:00:00; Lücke
01.06.1933 00:00:00; Lücke
01.07.1933 00:00:00; Lücke
01.08.1933 00:00:00; Lücke
01.09.1933 00:00:00; Lücke
01.10.1933 00:00:00; Lücke
01.11.1933 00:00:00; Lücke
01.12.1933 00:00:00; Lücke
01.01.1934 00:00:00; Lücke
01.02.1934 00:00:00; Lücke
01.03.1934 00:00:00; Lücke
01.04.1934 00:00:00; Lücke
01.05.1934 00:00:00; Lücke
01.06.1934 00:00:00; Lücke
01.07.1934 00:00:00; Lücke
01.08.1934 00:00:00; Lücke
01.09.1934 00:00:00; Lücke
01.10.1934 00:00:00; Lücke
01.11.1934 00:00:00; Lücke
01.12.1934 00:00:00; Lücke
01.01.1935 00:00:00; Lücke
01.02.1935 00:00:00; Lücke
01.03.1935 00:00:00; Lücke
01.04.1935 00:00:00; Lücke
01.05.1935 00:00:00; Lücke
01.06.1935 00:00:00; Lücke
01.07.1935 00:00:00; Lücke
01.08.1935 00:00:00; Lücke
01.09.1935 00:00:00; Lücke
01.10.1935 00:00:00; Lücke
01.11.1935 00:00:00; Lücke
01.12.1935 00:00:00; Lücke
01.01.1936 00:00:00; Lücke
01.02.1936 00:00:00; Lücke
01.03.1936 00:00:00; Lücke
01.04.1936 00:00:00; Lücke
01.05.1936 00:00:00; Lücke
01.06.1936 00:00:00; Lücke
01.07.1936 00:00:00; Lücke
01.08.1936 00:00:00; Lücke
01.09.1936 00:00:00; Lücke
01.10.1936 00:00:00; Lücke
01.11.1936 00:00:00; Lücke
01.12.1936 00:00:00; Lücke
01.01.1937 00:00:00; Lücke
01.02.1937 00:00:00; Lücke
01.03.1937 00:00:00; Lücke
01.04.1937 00:00:00; Lücke
01.05.1937 00:00:00; Lücke
01.06.1937 00:00:00; Lücke
01.07.1937 00:00:00; Lücke
01.08.1937 00:00:00; Lücke
01.09.1937 00:00:00; Lücke
01.10.1937 00:00:00; Lücke
01.11.1937 00:00:00; Lücke
01.12.1937 00:00:00; Lücke
01.01.1938 00:00:00; Lücke
01.02.1938 00:00:00; Lücke
01.03.1938 00:00:00; Lücke
01.04.1938 00:00:00; Lücke
01.05.1938 00:00:00; Lücke
01.06.1938 00:00:00; Lücke
01.07.1938 00:00:00; Lücke
01.08.1938 00:00:00; Lücke
01.09.1938 00:00:00; Lücke
01.10.1938 00:00:00; Lücke
01.11.1938 00:00:00; Lücke
01.12.1938 00:00:00; Lücke
01.01.1939 00:00:00; Lücke
01.02.1939 00:00:00; Lücke
01.03.1939 00:00:00; Lücke
01.04.1939 00:00:00; Lücke
01.05.1939 00:00:00; Lücke
01.06.1939 00:00:00; Lücke
01.07.1939 00:00:00; Lücke
01.08.1939 00:00:00; Lücke
01.09.1939 00:00:00; Lücke
01.10.1939 00:00:00; Lücke
01.11.1939 00:00:00; Lücke
01.12.1939 00:00:00; Lücke
01.01.1940 00:00:00; Lücke
01.02.1940 00:00:00; Lücke
01.03.1940 00:00:00; Lücke
01.04.1940 00:00:00; Lücke
01.05.1940 00:00:00; Lücke
01.06.1940 00:00:00; Lücke
01.07.1940 00:00:00; Lücke
01.08.1940 00:00:00; Lücke
01.09.1940 00:00:00; Lücke
01.10.1940 00:00:00; Lücke
01.11.1940 00:00:00; Lücke
01.12.1940 00:00:00; Lücke
01.01.1941 00:00:00; Lücke
01.02.1941 00:00:00; Lücke
01.03.1941 00:00:00; Lücke
01.04.1941 00:00:00; Lücke
01.05.1941 00:00:00; Lücke
01.06.1941 00:00:00; Lücke
01.07.1941 00:00:00; Lücke
01.08.1941 00:00:00; Lücke
01.09.1941 00:00:00; Lücke
01.10.1941 00:00:00; Lücke
01.11.1941 00:00:00; Lücke
01.12.1941 00:00:00; Lücke
01.01.1942 00:00:00; Lücke
01.02.1942 00:00:00; Lücke
01.03.1942 00:00:00; Lücke
01.04.1942 00:00:00; Lücke
01.05.1942 00:00:00; Lücke
01.06.1942 00:00:00; Lücke
01.07.1942 00:00:00; Lücke
01.08.1942 00:00:00; Lücke
01.09.1942 00:00:00; Lücke
01.10.1942 00:00:00; Lücke
01.11.1942 00:00:00; Lücke
01.12.1942 00:00:00; Lücke
01.01.1943 00:00:00; Lücke
01.02.1943 00:00:00; Lücke
01.03.1943 00:00:00; Lücke
01.04.1943 00:00:00; Lücke
01.05.1943 00:00:00; Lücke
01.06.1943 00:00:00; Lücke
01.07.1943 00:00:00; Lücke
01.08.1943 00:00:00; Lücke
01.09.1943 00:00:00; Lücke
01.10.1943 00:00:00; Lücke
01.11.1943 00:00:00; Lücke
01.12.1943 00:00:00; Lücke
01.01.1944 00:00:00; Lücke
01.02.1944 00:00:00; Lücke
01.03.1944 00:00:00; Lücke
01.04.1944 00:00:00; Lücke
01.05.1944 00:00:00; Lücke
01.06.1944 00:00:00; Lücke
01.07.1944 00:00:00; Lücke
01.08.1944 00:00:00; Lücke
01.09.1944 00:00:00; Lücke
01.10.1944 00:00:00; Lücke
01.11.1944 00:00:00; Lücke
01.12.1944 00:00:00; Lücke
01.01.1945 00:00:00; Lücke
01.02.1945 00:00:00; Lücke
01.03.1945 00:00:00; Lücke
01.04.1945 00:00:00; Lücke
01.05.1945 00:00:00; Lücke
01.06.1945 00:00:00; Lücke
01.07.1945 00:00:00; Lücke
01.08.1945 00:00:00; Lücke
01.09.1945 00:00:00; Lücke
01.10.1945 00:00:00; Lücke
01.11.1945 00:00:00; Lücke
01.12.1945 00:00:00; Lücke
01.01.1946 00:00:00; Lücke
01.02.1946 00:00:00; Lücke
01.03.1946 00:00:00; Lücke
01.04.1946 00:00:00; Lücke
01.05.1946 00:00:00; Lücke
01.06.1946 00:00:00; Lücke
01.07.1946 00:00:00; Lücke
01.08.1946 00:00:00; Lücke
01.09.1946 00:00:00; Lücke
01.10.1946 00:00:00; Lücke
01.11.1946 00:00:00; Lücke
01.12.1946 00:00:00; Lücke
01.01.1947 00:00:00; Lücke
01.02.1947 00:00:00; Lücke
01.03.1947 00:00:00; Lücke
01.04.1947 00:00:00; Lücke
01.05.1947 00:00:00; Lücke
01.06.1947 00:00:00; Lücke
01.07.1947 00:00:00; Lücke
01.08.1947 00:00:00; Lücke
01.09.1947 00:00:00; Lücke
01.10.1947 00:00:00; Lücke
01.11.1947 00:00:00; Lücke
01.12.1947 00:00:00; Lücke
01.01.1948 00:00:00; Lücke
01.02.1948 00:00:00; Lücke
01.03.1948 00:00:00; Lücke
01.04.1948 00:00:00; Lücke
01.05.1948 00:00:00; Lücke
01.06.1948 00:00:00; Lücke
01.07.1948 00:00:00; Lücke
01.08.1948 00:00:00; Lücke
01.09.1948 00:00:00; Lücke
01.10.1948 00:00:00; Lücke
01.11.1948 00:00:00; Lücke
01.12.1948 00:00:00; Lücke
01.01.1949 00:00:00; Lücke
01.02.1949 00:00:00; Lücke
01.03.1949 00:00:00; Lücke
01.04.1949 00:00:00; Lücke
01.05.1949 00:00:00; Lücke
01.06.1949 00:00:00; Lücke
01.07.1949 00:00:00; Lücke
01.08.1949 00:00:00; Lücke
01.09.1949 00:00:00; Lücke
01.10.1949 00:00:00; Lücke
01.11.1949 00:00:00; Lücke
01.12.1949 00:00:00; Lücke
01.01.1950 00:00:00; Lücke
01.02.1950 00:00:00; Lücke
01.03.1950 00:00:00; Lücke
01.04.1950 00:00:00; Lücke
01.05.1950 00:00:00; Lücke
01.06.1950 00:00:00; Lücke
01.07.1950 00:00:00; Lücke
01.08.1950 00:00:00; Lücke
01.09.1950 00:00:00; Lücke
01.10.1950 00:00:00; Lücke
01.11.1950 00:00:00; Lücke
01.12.1950 00:00:00; Lücke
01.01.1951 00:00:00; Lücke
01.02.1951 00:00:00; Lücke
01.03.1951 00:00:00; Lücke
01.04.1951 00:00:00; Lücke
01.05.1951 00:00:00; Lücke
01.06.1951 00:00:00; Lücke
01.07.1951 00:00:00; Lücke
01.08.1951 00:00:00; Lücke
01.09.1951 00:00:00; Lücke
01.10.1951 00:00:00; Lücke
01.11.1951 00:00:00; Lücke
01.12.1951 00:00:00; Lücke
01.01.1952 00:00:00; Lücke
01.02.1952 00:00:00; Lücke
01.03.1952 00:00:00; Lücke
01.04.1952 00:00:00; Lücke
01.05.1952 00:00:00; Lücke
01.06.1952 00:00:00; Lücke
01.07.1952 00:00:00; Lücke
01.08.1952 00:00:00; Lücke
01.09.1952 00:00:00; Lücke
01.10.1952 00:00:00; Lücke
01.11.1952 00:00:00; Lücke
01.12.1952 00:00:00; Lücke
01.01.1953 00:00:00; Lücke
01.02.1953 00:00:00; Lücke
01.03.1953 00:00:00; Lücke
01.04.1953 00:00:00; Lücke
01.05.1953 00:00:00; Lücke
01.06.1953 00:00:00; Lücke
01.07.1953 00:00:00; Lücke
01.08.1953 00:00:00; Lücke
01.09.1953 00:00:00; Lücke
01.10.1953 00:00:00; Lücke
01.11.1953 00:00:00; Lücke
01.12.1953 00:00:00; Lücke
01.01.1954 00:00:00; Lücke
01.02.1954 00:00:00; Lücke
01.03.1954 00:00:00; Lücke
01.04.1954 00:00:00; Lücke
01.05.1954 00:00:00; Lücke
01.06.1954 00:00:00; Lücke
01.07.1954 00:00:00; Lücke
01.08.1954 00:00:00; Lücke
01.09.1954 00:00:00; Lücke
01.10.1954 00:00:00; Lücke
01.11.1954 00:00:00; Lücke
01.12.1954 00:00:00; Lücke
01.01.1955 00:00:00; Lücke
01.02.1955 00:00:00; Lücke
01.03.1955 00:00:00; Lücke
01.04.1955 00:00:00; Lücke
01.05.1955 00:00:00; Lücke
01.06.1955 00:00:00; Lücke
01.07.1955 00:00:00; Lücke
01.08.1955 00:00:00; Lücke
01.09.1955 00:00:00; Lücke
01.10.1955 00:00:00; Lücke
01.11.1955 00:00:00; Lücke
01.12.1955 00:00:00; Lücke
01.01.1956 00:00:00; Lücke
01.02.1956 00:00:00; Lücke
01.03.1956 00:00:00; Lücke
01.04.1956 00:00:00; Lücke
01.05.1956 00:00:00; Lücke
01.06.1956 00:00:00; Lücke
01.07.1956 00:00:00; Lücke
01.08.1956 00:00:00; Lücke
01.09.1956 00:00:00; Lücke
01.10.1956 00:00:00; Lücke
01.11.1956 00:00:00; Lücke
01.12.1956 00:00:00; Lücke
01.01.1957 00:00:00; Lücke
01.02.1957 00:00:00; Lücke
01.03.1957 00:00:00; Lücke
01.04.1957 00:00:00; Lücke
01.05.1957 00:00:00; Lücke
01.06.1957 00:00:00; Lücke
01.07.1957 00:00:00; Lücke
01.08.1957 00:00:00; Lücke
01.09.1957 00:00:00; Lücke
01.10.1957 00:00:00; Lücke
01.11.1957 00:00:00; Lücke
01.12.1957 00:00:00; Lücke
01.01.1958 00:00:00; Lücke
01.02.1958 00:00:00; Lücke
01.03.1958 00:00:00; Lücke
01.04.1958 00:00:00; Lücke
01.05.1958 00:00:00; Lücke
01.06.1958 00:00:00; Lücke
01.07.1958 00:00:00; Lücke
01.08.1958 00:00:00; Lücke
01.09.1958 00:00:00; Lücke
01.10.1958 00:00:00; Lücke
01.11.1958 00:00:00; Lücke
01.12.1958 00:00:00; Lücke
01.01.1959 00:00:00; Lücke
01.02.1959 00:00:00; Lücke
01.03.1959 00:00:00; Lücke
01.04.1959 00:00:00; Lücke
01.05.1959 00:00:00; Lücke
01.06.1959 00:00:00; Lücke
01.07.1959 00:00:00; Lücke
01.08.1959 00:00:00; Lücke
01.09.1959 00:00:00; Lücke
01.10.1959 00:00:00; Lücke
01.11.1959 00:00:00; Lücke
01.12.1959 00:00:00; Lücke
01.01.1960 00:00:00; Lücke
01.02.1960 00:00:00; Lücke
01.03.1960 00:00:00; Lücke
01.04.1960 00:00:00; Lücke
01.05.1960 00:00:00; Lücke
01.06.1960 00:00:00; Lücke
01.07.1960 00:00:00; Lücke
01.08.1960 00:00:00; Lücke
01.09.1960 00:00:00; Lücke
01.10.1960 00:00:00; Lücke
01.11.1960 00:00:00; Lücke
01.12.1960 00:00:00; Lücke
01.01.1961 00:00:00; Lücke
01.02.1961 00:00:00; Lücke
01.03.1961 00:00:00; Lücke
01.04.1961 00:00:00; Lücke
01.05.1961 00:00:00; Lücke
01.06.1961 00:00:00; Lücke
01.07.1961 00:00:00; Lücke
01.08.1961 00:00:00; Lücke
01.09.1961 00:00:00; Lücke
01.10.1961 00:00:00; Lücke
01.11.1961 00:00:00; Lücke
01.12.1961 00:00:00; Lücke
31.01.1962 23:59:55;  -551
28.02.1962 23:59:55;  -888
31.03.1962 07:30:00; -1094
01.04.1962 00:00:00; -1080
01.05.1962 07:30:00;  -665
01.06.1962 00:00:00;  -127
01.07.1962 00:00:00;   -10
31.08.1962 23:59:55;    -1
16.09.1962 07:30:00;    -9
31.10.1962 23:59:55;  -135
30.11.1962 23:59:55;  -288
30.12.1962 07:30:00;  -467
31.01.1963 23:59:55;  -781
28.02.1963 23:59:55; -1005
30.03.1963 07:30:00; -1053
04.04.1963 07:30:00; -1060
01.05.1963 00:00:00;  -615
01.06.1963 00:00:00;  -302
04.07.1963 07:30:00;  -167
09.08.1963 07:30:00;   -89
25.09.1963 07:30:00;     8
31.10.1963 23:59:55;    16
01.11.1963 07:30:00;    15
31.12.1963 23:59:55;  -136
31.01.1964 23:59:55;  -467
29.02.1964 07:30:00;  -766
21.03.1964 07:30:00;  -921
02.04.1964 07:30:00;  -913
01.05.1964 00:00:00;  -647
03.06.1964 07:30:00;  -310
01.07.1964 00:00:00;  -192
01.08.1964 07:30:00;   -90
05.09.1964 07:30:00;   -19
08.10.1964 07:30:00;    25
28.11.1964 07:30:00;    45
31.12.1964 23:59:55;   -82
31.01.1965 07:30:00;  -332
28.02.1965 23:59:55;  -688
20.03.1965 07:30:00;  -940
01.04.1965 00:00:00;  -838
01.05.1965 00:00:00;  -631
05.06.1965 07:30:00;     4
31.07.1965 07:30:00;    27
14.08.1965 07:30:00;    14
10.09.1965 07:30:00;    26
30.10.1965 07:30:00;   -40
30.11.1965 23:59:55;  -110
31.12.1965 23:59:55;  -176
31.01.1966 23:59:55;  -486
26.02.1966 08:00:00;  -593
31.03.1966 23:59:55;  -802
03.04.1966 08:00:00;  -823
01.05.1966 00:00:00;  -348
03.06.1966 08:00:00;   -64
02.07.1966 08:00:00;    35
06.08.1966 08:00:00;    27
30.09.1966 23:59:55;    23
26.10.1966 08:00:00;   -33
05.11.1966 08:00:00;   -32
31.12.1966 08:00:00;  -148
01.01.1967 00:00:00; Lücke
01.02.1967 00:00:00; Lücke
01.03.1967 00:00:00; Lücke
01.04.1967 00:00:00; Lücke
01.05.1967 00:00:00; Lücke
01.06.1967 00:00:00; Lücke
01.07.1967 00:00:00; Lücke
01.08.1967 00:00:00; Lücke
01.09.1967 00:00:00; Lücke
01.10.1967 00:00:00; Lücke
