Messstelle:                ;Schwarzenbach an der Pielach (Guttenhof)
03.03.1989 17:30:00;   137
30.04.1989 00:00:00;   135
27.05.1989 17:00:00;   136
12.06.1989 00:00:00;   134
24.07.1989 22:15:00;   131
12.08.1989 18:00:00;   127
23.09.1989 11:45:00;   131
28.10.1989 21:00:00;   129
12.11.1989 10:15:00;   127
10.12.1989 18:45:00;   129
04.01.1990 09:30:00;   127
03.02.1990 17:30:00;   129
21.03.1990 19:15:00;   133
07.04.1990 09:00:00;   129
04.05.1990 12:00:00;   129
02.06.1990 06:30:00;   129
01.07.1990 03:00:00;   130
30.08.1990 15:45:00;   124
01.09.1990 00:00:00;   126
01.10.1990 06:15:00;   128
17.11.1990 12:45:00;   129
09.12.1990 19:15:00;   130
28.01.1991 13:30:00;   130
18.02.1991 00:00:00;   128
30.03.1991 00:15:00;   131
01.04.1991 08:45:00;   130
15.05.1991 02:15:00;   134
21.06.1991 03:45:00;   130
01.07.1991 00:15:00;   131
23.08.1991 20:00:00;   128
30.09.1991 16:45:00;   124
18.10.1991 22:00:00;   121
14.11.1991 15:15:00;   121
17.12.1991 07:30:00;   123
24.01.1992 07:00:00;   126
01.02.1992 00:00:00;   128
19.03.1992 13:15:00;   132
18.04.1992 17:45:00;   129
31.05.1992 23:59:55;   126
01.06.1992 02:15:00;   125
12.07.1992 09:30:00;   123
09.08.1992 14:00:00;   122
02.09.1992 17:15:00;   120
10.10.1992 16:30:00;   120
01.11.1992 03:30:00;   122
08.12.1992 12:00:00;   124
02.01.1993 08:45:00;   124
27.02.1993 07:00:00;   125
09.03.1993 01:15:00;   123
01.04.1993 07:15:00;   134
28.05.1993 02:45:00;   125
13.06.1993 06:30:00;   123
13.07.1993 11:15:00;   126
23.08.1993 18:30:00;   122
25.09.1993 17:15:00;   124
06.10.1993 10:30:00;   123
20.11.1993 19:00:00;   121
02.12.1993 20:15:00;   123
22.01.1994 14:45:00;   120
22.02.1994 01:45:00;   125
06.03.1994 10:30:00;   130
30.04.1994 17:15:00;   131
11.05.1994 20:30:00;   125
11.06.1994 18:45:00;   123
09.07.1994 18:00:00;   120
01.08.1994 01:45:00;   124
23.09.1994 13:00:00;   123
01.10.1994 00:00:00;   124
01.11.1994 18:15:00;   124
19.12.1994 13:15:00;   119
15.01.1995 10:15:00;   120
28.02.1995 06:30:00;   121
11.03.1995 01:45:00;   120
30.04.1995 11:45:00;   133
25.05.1995 08:15:00;   120
02.06.1995 09:00:00;   124
27.07.1995 06:15:00;   117
01.08.1995 06:30:00;   121
21.09.1995 12:15:00;   122
08.10.1995 15:45:00;   121
07.11.1995 19:30:00;   121
16.12.1995 17:15:00;   125
25.01.1996 11:30:00;   120
03.02.1996 06:45:00;   120
20.03.1996 14:15:00;   121
05.04.1996 02:15:00;   121
30.05.1996 19:15:00;   127
17.06.1996 16:45:00;   120
07.07.1996 13:00:00;   120
11.08.1996 20:15:00;   124
01.09.1996 06:15:00;   125
11.10.1996 09:00:00;   125
08.11.1996 07:15:00;   122
16.12.1996 02:45:00;   123
24.01.1997 09:01:10;   120
02.02.1997 03:48:45;   121
11.03.1997 20:41:20;   126
23.04.1997 13:02:40;   128
20.05.1997 19:25:05;   123
16.06.1997 11:01:00;   121
04.07.1997 14:04:40;   125
18.08.1997 12:38:40;   126
26.09.1997 18:42:25;   121
11.10.1997 04:41:55;   122
29.11.1997 07:53:40;   121
03.12.1997 14:25:20;   128
04.01.1998 23:37:15;   122
13.02.1998 03:49:45;   125
03.03.1998 06:21:35;   131
09.04.1998 18:06:45;   131
31.05.1998 17:50:40;   129
10.06.1998 20:01:15;   123
23.07.1998 14:47:00;   123
13.08.1998 18:05:15;   122
26.09.1998 12:40:15;   121
02.10.1998 19:39:00;   124
27.11.1998 09:37:05;   125
08.12.1998 18:08:15;   122
22.01.1999 08:07:45;   123
18.02.1999 23:53:55;   129
20.03.1999 08:53:05;   135
17.04.1999 08:29:40;   134
31.05.1999 23:59:55;   133
09.06.1999 20:01:35;   121
27.07.1999 15:47:50;   123
18.08.1999 19:12:35;   121
20.09.1999 22:53:40;   122
07.10.1999 16:13:40;   121
22.11.1999 19:06:55;   121
31.12.1999 03:09:30;   128
01.01.2000 15:02:40;   122
13.02.2000 18:02:15;   127
05.03.2000 13:57:35;   137
09.04.2000 13:39:50;   128
20.05.2000 13:20:30;   125
22.06.2000 15:44:45;   121
04.07.2000 14:29:35;   121
03.08.2000 18:26:20;   122
17.09.2000 08:13:15;   123
17.10.2000 18:42:40;   121
06.11.2000 16:18:15;   120
12.12.2000 03:48:50;   124
17.01.2001 18:06:10;   122
03.02.2001 05:32:55;   126
01.03.2001 12:30:30;   129
07.04.2001 10:06:35;   132
10.05.2001 07:13:45;   124
09.06.2001 10:32:50;   121
04.07.2001 07:46:05;   121
29.08.2001 21:04:05;   121
01.09.2001 14:37:40;   123
29.10.2001 07:42:05;   120
17.11.2001 11:41:25;   121
20.12.2001 13:45:45;   118
05.01.2002 23:11:05;   122
19.02.2002 17:52:15;   126
02.03.2002 15:29:30;   123
29.04.2002 04:20:30;   130
10.05.2002 18:00:35;   123
29.06.2002 18:22:35;   123
23.07.2002 19:09:40;   122
27.08.2002 09:21:20;   124
19.09.2002 12:23:00;   121
30.10.2002 16:35:40;   122
30.11.2002 23:07:15;   133
20.12.2002 06:02:05;   127
09.01.2003 09:55:25;   128
22.02.2003 18:27:35;   127
01.03.2003 18:29:40;   127
08.04.2003 05:43:40;   130
09.05.2003 22:00:00;   124
26.06.2003 19:00:00;   121
11.07.2003 13:42:40;   120
14.08.2003 15:07:40;   121
09.09.2003 07:32:40;   119
02.10.2003 19:36:05;   121
11.11.2003 19:06:05;   122
06.12.2003 09:16:05;   121
05.01.2004 16:11:05;   125
01.02.2004 00:00:00;   126
04.03.2004 11:38:40;   125
10.04.2004 14:02:55;   130
07.05.2004 19:27:55;   126
09.06.2004 21:07:55;   126
16.07.2004 12:17:55;   122
15.08.2004 20:58:30;   122
12.09.2004 11:58:30;   121
04.10.2004 06:38:30;   122
09.11.2004 10:30:55;   122
18.12.2004 13:12:40;   124
03.01.2005 15:29:05;   124
01.02.2005 00:02:55;   125
14.03.2005 14:58:40;   126
03.04.2005 14:38:40;   137
25.05.2005 20:03:40;   130
28.06.2005 19:18:40;   123
30.07.2005 14:54:15;   125
09.08.2005 18:59:15;   123
20.09.2005 08:14:15;   124
18.10.2005 07:29:15;   122
12.11.2005 11:28:25;   123
15.12.2005 16:25:55;   124
12.01.2006 07:05:55;   125
11.02.2006 06:11:30;   125
12.03.2006 08:20:00;   127
08.04.2006 10:30:00;   141
13.05.2006 16:51:45;   125
27.06.2006 19:01:20;   123
18.07.2006 18:16:30;   124
26.08.2006 16:42:20;   125
08.09.2006 19:42:20;   123
29.10.2006 16:42:05;   121
25.11.2006 11:17:50;   124
09.12.2006 07:42:55;   121
19.01.2007 00:56:25;   120
02.02.2007 07:51:50;   124
24.03.2007 02:38:50;   123
30.04.2007 14:08:30;   119
01.05.2007 00:00:00;   123
30.06.2007 04:28:30;   119
26.07.2007 18:01:25;   120
07.08.2007 10:01:25;   120
02.09.2007 11:11:00;   123
23.10.2007 10:48:50;   123
18.11.2007 17:23:50;   126
29.12.2007 23:32:10;   125
06.01.2008 13:32:10;   124
28.02.2008 16:00:10;   125
12.03.2008 08:35:10;   125
21.04.2008 11:49:05;   125
30.05.2008 10:29:05;   125
17.06.2008 15:54:05;   122
11.07.2008 07:49:05;   122
31.08.2008 15:08:25;   124
03.09.2008 13:53:25;   121
12.10.2008 19:27:10;   122
01.11.2008 17:45:25;   123
09.12.2008 11:55:25;   122
28.01.2009 12:32:25;   122
24.02.2009 16:38:40;   120
22.03.2009 22:18:40;   134
24.04.2009 12:39:25;   140
15.05.2009 18:39:25;   127
19.06.2009 07:09:25;   126
17.07.2009 08:06:45;   122
27.08.2009 01:16:45;   123
10.09.2009 05:36:45;   122
11.10.2009 07:11:45;   121
27.11.2009 16:05:35;   123
06.12.2009 14:32:30;   121
12.01.2010 23:47:20;   123
16.02.2010 18:24:05;   123
14.03.2010 22:50:00;   127
13.04.2010 11:15:00;   131
09.05.2010 20:05:00;   128
14.06.2010 23:30:00;   132
15.07.2010 23:50:00;   124
11.08.2010 03:20:00;   124
21.09.2010 13:30:00;   123
07.10.2010 07:30:00;   121
08.11.2010 09:45:00;   119
01.12.2010 02:30:00;   123
09.01.2011 10:00:00;   124
10.02.2011 16:05:00;   124
15.03.2011 23:00:00;   122
10.04.2011 01:50:00;   123
03.05.2011 10:15:00;   120
22.06.2011 18:30:00;   121
10.07.2011 23:10:00;   119
23.08.2011 19:15:00;   121
13.09.2011 09:20:00;   118
28.10.2011 07:00:20;   122
25.11.2011 09:07:35;   119
06.12.2011 14:57:45;   119
01.01.2012 02:50:00;   126
20.02.2012 15:50:00;   124
09.03.2012 07:05:00;   133
10.04.2012 08:20:00;   131
08.05.2012 09:15:00;   123
20.06.2012 21:20:15;   122
03.07.2012 16:35:00;   121
20.08.2012 12:10:00;   123
27.09.2012 01:40:00;   120
06.10.2012 11:50:00;   120
27.11.2012 13:15:00;   119
12.12.2012 08:40:00;   118
22.01.2013 17:10:00;   128
24.02.2013 16:30:00;   125
31.03.2013 07:37:35;   123
05.04.2013 16:49:45;   128
08.05.2013 14:10:00;   125
23.06.2013 12:15:00;   125
20.07.2013 12:35:00;   121
12.08.2013 17:56:20;   121
30.09.2013 20:50:00;   123
02.10.2013 12:40:00;   120
03.11.2013 10:40:00;   121
07.12.2013 01:05:00;   122
26.01.2014 11:55:00;   124
03.02.2014 09:58:55;   123
10.03.2014 18:13:55;   119
04.04.2014 05:34:55;   122
28.05.2014 07:23:25;   127
29.06.2014 09:32:10;   125
27.07.2014 09:48:45;   123
30.08.2014 13:15:00;   119
11.09.2014 11:00:00;   123
16.10.2014 07:20:00;   121
26.11.2014 08:25:00;   120
15.12.2014 16:05:00;   123
02.01.2015 12:40:00;   124
13.02.2015 02:35:00;   125
09.03.2015 20:30:00;   130
30.04.2015 10:50:00;   131
05.05.2015 20:05:00;   122
27.06.2015 15:05:00;   122
26.07.2015 17:30:00;   119
05.08.2015 19:40:00;   119
28.09.2015 14:15:00;   118
07.10.2015 11:25:00;   119
10.11.2015 12:10:00;   118
15.12.2015 16:55:00;   119
02.01.2016 16:55:00;   119
12.02.2016 14:15:00;   124
16.03.2016 14:35:00;   125
13.04.2016 17:35:00;   122
27.05.2016 22:45:00;   124
29.06.2016 16:20:00;   123
12.07.2016 19:15:00;   120
16.08.2016 08:40:00;   119
19.09.2016 23:10:00;   121
03.10.2016 07:35:00;   120
01.11.2016 13:54:50;   124
21.12.2016 03:48:10;   125
28.01.2017 21:34:45;   125
02.02.2017 08:07:00;   126
03.03.2017 12:58:45;   129
20.04.2017 18:20:00;   125
24.05.2017 15:00:00;   124
22.06.2017 13:20:00;   122
09.07.2017 15:45:00;   124
24.08.2017 02:00:00;   123
14.09.2017 15:10:00;   124
21.10.2017 10:50:00;   124
20.11.2017 12:45:00;   126
20.12.2017 11:05:00;   127
16.01.2018 10:00:00;   129
28.02.2018 15:45:00;   127
05.03.2018 01:35:00;   127
19.04.2018 07:15:00;   124
02.05.2018 23:05:00;   125
09.06.2018 13:45:00;   123
27.07.2018 08:40:00;   121
21.08.2018 14:50:00;   118
23.09.2018 22:45:00;   121
16.10.2018 10:45:00;   118
24.11.2018 07:40:00;   118
01.12.2018 00:00:00;   122
10.01.2019 12:35:00;   124
01.02.2019 20:00:00;   126
28.03.2019 14:50:00;   127
14.04.2019 05:35:00;   126
21.05.2019 16:05:00;   134
25.06.2019 01:05:00;   126
28.07.2019 22:50:00;   121
19.08.2019 19:45:00;   121
15.09.2019 01:55:00;   119
28.10.2019 09:55:00;   119
03.11.2019 02:20:00;   118
19.12.2019 14:30:00;   119
26.01.2020 13:05:00;   120
23.02.2020 20:30:00;   127
26.03.2020 22:20:00;   122
20.04.2020 14:45:00;   120
15.05.2020 03:05:00;   121
27.06.2020 15:30:00;   122
28.07.2020 19:55:00;   122
22.08.2020 15:30:00;   121
21.09.2020 08:15:00;   121
03.10.2020 01:00:00;   122
20.11.2020 15:10:00;   124
21.12.2020 06:50:00;   123
15.01.2021 04:30:00;   121
24.02.2021 14:35:00;   123
08.03.2021 16:30:00;   126
09.04.2021 08:55:00;   127
04.05.2021 15:05:00;   125
12.06.2021 02:10:00;   124
09.07.2021 01:50:00;   123
16.08.2021 18:00:00;   121
10.09.2021 19:05:00;   121
23.10.2021 02:00:00;   122
09.11.2021 12:35:00;   120
01.12.2021 03:45:00;   124
