Messstelle:                ;Opponitz (Mirenau)
06.07.2012 08:40:00;   157
30.08.2012 14:40:00;   151
12.09.2012 04:35:00;   151
07.10.2012 20:58:10;   148
30.11.2012 23:59:55;   151
13.12.2012 11:27:35;   147
29.01.2013 11:37:05;   162
28.02.2013 18:11:55;   161
28.03.2013 13:26:05;   163
04.04.2013 18:18:05;   165
24.05.2013 20:05:00;   166
22.06.2013 13:20:00;   166
29.07.2013 03:25:00;   146
25.08.2013 23:45:00;   150
10.09.2013 12:35:00;   156
10.10.2013 15:25:00;   151
04.11.2013 14:30:00;   153
09.12.2013 00:35:00;   152
30.01.2014 18:10:00;   153
28.02.2014 21:30:00;   154
12.03.2014 23:10:00;   150
06.04.2014 03:15:00;   158
11.05.2014 02:15:00;   164
29.06.2014 08:35:00;   155
20.07.2014 05:15:00;   155
20.08.2014 16:50:00;   161
09.09.2014 18:10:00;   167
09.10.2014 09:40:00;   155
25.11.2014 16:15:00;   149
02.12.2014 23:45:00;   147
27.01.2015 09:30:00;   151
03.02.2015 16:20:00;   151
15.03.2015 09:30:00;   162
30.04.2015 17:40:00;   174
18.05.2015 18:35:00;   160
13.06.2015 10:45:00;   157
27.07.2015 08:00:00;   147
29.08.2015 05:15:00;   144
23.09.2015 20:50:00;   143
06.10.2015 17:10:00;   144
10.11.2015 13:50:00;   140
31.12.2015 13:35:00;   148
23.01.2016 06:05:00;   144
20.02.2016 13:00:00;   164
16.03.2016 15:25:00;   156
26.04.2016 16:35:00;   164
01.05.2016 11:35:00;   164
18.06.2016 14:40:00;   158
12.07.2016 03:15:00;   154
31.08.2016 12:25:00;   159
03.09.2016 21:05:00;   153
02.10.2016 11:20:00;   157
30.11.2016 10:50:00;   160
08.12.2016 12:40:00;   156
20.01.2017 10:10:00;   151
01.02.2017 00:15:00;   160
08.03.2017 21:40:00;   170
16.04.2017 00:55:00;   166
29.05.2017 08:00:00;   155
30.06.2017 11:45:00;   152
09.07.2017 17:55:00;   151
17.08.2017 02:25:00;   147
30.09.2017 11:00:00;   156
01.10.2017 22:00:00;   149
19.11.2017 05:10:00;   166
21.12.2017 13:00:00;   160
18.01.2018 14:20:00;   169
12.02.2018 06:25:00;   152
01.03.2018 05:35:00;   150
27.04.2018 10:00:00;   170
30.05.2018 13:50:00;   152
12.06.2018 14:50:00;   151
31.07.2018 11:40:00;   149
22.08.2018 19:00:00;   143
21.09.2018 23:45:00;   144
23.10.2018 08:55:00;   140
24.11.2018 05:05:00;   144
01.12.2018 00:45:00;   145
31.01.2019 14:55:00;   157
01.02.2019 14:10:00;   157
28.03.2019 09:45:00;   184
15.04.2019 21:05:00;   175
04.05.2019 20:20:00;   194
30.06.2019 12:30:00;   155
27.07.2019 12:25:00;   149
29.08.2019 11:55:00;   148
22.09.2019 08:40:00;   141
25.10.2019 15:35:00;   144
03.11.2019 01:15:00;   144
05.12.2019 12:35:00;   146
26.01.2020 12:10:00;   153
23.02.2020 15:30:00;   165
31.03.2020 08:45:00;   159
28.04.2020 13:40:00;   157
22.05.2020 08:05:00;   146
04.06.2020 16:05:00;   164
31.07.2020 20:50:00;   158
02.08.2020 14:30:00;   155
24.09.2020 23:10:00;   161
09.10.2020 14:20:00;   159
24.11.2020 12:25:00;   149
06.12.2020 19:05:00;   149
14.01.2021 11:05:00;   146
15.02.2021 11:55:00;   157
11.03.2021 15:35:00;   155
09.04.2021 11:10:00;   165
31.05.2021 23:50:00;   168
30.06.2021 14:20:00;   149
13.07.2021 04:40:00;   147
16.08.2021 16:55:00;   157
29.09.2021 10:45:00;   153
31.10.2021 14:50:00;   148
21.11.2021 22:45:00;   144
13.12.2021 04:45:00;   155
