Messstelle:                ;Kremsdorf
05.02.1976 00:00:00;   187
06.02.1976 00:00:00;   187
07.02.1976 00:00:00;   186
08.02.1976 00:00:00;   186
09.02.1976 00:00:00;   184
10.02.1976 00:00:00;   185
11.02.1976 00:00:00;   187
12.02.1976 00:00:00;   186
13.02.1976 00:00:00;   186
14.02.1976 00:00:00;   184
15.02.1976 00:00:00;   184
16.02.1976 00:00:00;   184
17.02.1976 00:00:00;   184
18.02.1976 00:00:00;   185
19.02.1976 00:00:00;   185
20.02.1976 00:00:00;   184
21.02.1976 00:00:00;   184
22.02.1976 00:00:00;   183
23.02.1976 00:00:00;   185
24.02.1976 00:00:00;   185
25.02.1976 00:00:00;   185
26.02.1976 00:00:00;   185
27.02.1976 00:00:00;   185
28.02.1976 00:00:00;   185
29.02.1976 00:00:00;   185
01.03.1976 00:00:00;   184
02.03.1976 00:00:00;   184
03.03.1976 00:00:00;   183
04.03.1976 00:00:00;   183
05.03.1976 00:00:00;   182
06.03.1976 00:00:00;   182
07.03.1976 00:00:00;   182
08.03.1976 00:00:00;   182
09.03.1976 00:00:00;   182
10.03.1976 00:00:00;   181
11.03.1976 00:00:00;   182
12.03.1976 00:00:00;   182
13.03.1976 00:00:00;   182
14.03.1976 00:00:00;   182
15.03.1976 00:00:00;   182
16.03.1976 00:00:00;   181
17.03.1976 00:00:00;   181
18.03.1976 00:00:00;   182
19.03.1976 00:00:00;   183
20.03.1976 00:00:00;   183
21.03.1976 00:00:00;   183
22.03.1976 00:00:00;   181
23.03.1976 00:00:00;   181
24.03.1976 00:00:00;   181
25.03.1976 00:00:00;   181
26.03.1976 00:00:00;   182
27.03.1976 00:00:00;   183
28.03.1976 00:00:00;   183
29.03.1976 00:00:00;   182
30.03.1976 00:00:00;   182
31.03.1976 00:00:00;   182
01.04.1976 00:00:00;   182
02.04.1976 00:00:00;   183
03.04.1976 00:00:00;   183
04.04.1976 00:00:00;   183
05.04.1976 00:00:00;   183
06.04.1976 00:00:00;   183
07.04.1976 00:00:00;   184
08.04.1976 00:00:00;   185
09.04.1976 00:00:00;   186
10.04.1976 00:00:00;   187
11.04.1976 00:00:00;   187
12.04.1976 00:00:00;   185
13.04.1976 00:00:00;   183
14.04.1976 00:00:00;   182
15.04.1976 00:00:00;   182
16.04.1976 00:00:00;   182
17.04.1976 00:00:00;   182
18.04.1976 00:00:00;   182
19.04.1976 00:00:00;   181
20.04.1976 00:00:00;   181
21.04.1976 00:00:00;   181
22.04.1976 00:00:00;   182
23.04.1976 00:00:00;   182
24.04.1976 00:00:00;   182
25.04.1976 00:00:00;   182
26.04.1976 00:00:00;   183
27.04.1976 00:00:00;   204
28.04.1976 00:00:00;   196
29.04.1976 00:00:00;   189
30.04.1976 00:00:00;   186
01.05.1976 00:00:00;   183
02.05.1976 00:00:00;   183
03.05.1976 00:00:00;   181
04.05.1976 00:00:00;   181
05.05.1976 00:00:00;   181
06.05.1976 00:00:00;   181
07.05.1976 00:00:00;   180
08.05.1976 00:00:00;   180
09.05.1976 00:00:00;   180
10.05.1976 00:00:00;   179
11.05.1976 00:00:00;   179
12.05.1976 00:00:00;   182
13.05.1976 00:00:00;   184
14.05.1976 00:00:00;   187
15.05.1976 00:00:00;   184
16.05.1976 00:00:00;   182
17.05.1976 00:00:00;   180
18.05.1976 00:00:00;   178
19.05.1976 00:00:00;   178
20.05.1976 00:00:00;   179
21.05.1976 00:00:00;   179
22.05.1976 00:00:00;   181
23.05.1976 00:00:00;   198
24.05.1976 00:00:00;   190
25.05.1976 00:00:00;   184
26.05.1976 00:00:00;   182
27.05.1976 00:00:00;   186
28.05.1976 00:00:00;   187
29.05.1976 00:00:00;   183
30.05.1976 00:00:00;   182
31.05.1976 00:00:00;   183
01.06.1976 00:00:00;   208
02.06.1976 00:00:00;   218
03.06.1976 00:00:00;   239
04.06.1976 00:00:00;   213
05.06.1976 00:00:00;   198
06.06.1976 00:00:00;   192
07.06.1976 00:00:00;   187
08.06.1976 00:00:00;   186
09.06.1976 00:00:00;   184
10.06.1976 00:00:00;   182
11.06.1976 00:00:00;   182
12.06.1976 00:00:00;   183
13.06.1976 00:00:00;   181
14.06.1976 00:00:00;   182
15.06.1976 00:00:00;   182
16.06.1976 00:00:00;   183
17.06.1976 00:00:00;   187
18.06.1976 00:00:00;   182
19.06.1976 00:00:00;   182
20.06.1976 00:00:00;   182
21.06.1976 00:00:00;   181
22.06.1976 00:00:00;   180
23.06.1976 00:00:00;   181
24.06.1976 00:00:00;   180
25.06.1976 00:00:00;   180
26.06.1976 00:00:00;   179
27.06.1976 00:00:00;   178
28.06.1976 00:00:00;   177
29.06.1976 00:00:00;   177
30.06.1976 00:00:00;   177
01.07.1976 00:00:00;   177
02.07.1976 00:00:00;   176
03.07.1976 00:00:00;   176
04.07.1976 00:00:00;   176
05.07.1976 00:00:00;   176
06.07.1976 00:00:00;   177
07.07.1976 00:00:00;   176
08.07.1976 00:00:00;   177
09.07.1976 00:00:00;   176
10.07.1976 00:00:00;   177
11.07.1976 00:00:00;   181
12.07.1976 00:00:00;   178
13.07.1976 00:00:00;   178
14.07.1976 00:00:00;   180
15.07.1976 00:00:00;   179
16.07.1976 00:00:00;   178
17.07.1976 00:00:00;   177
18.07.1976 00:00:00;   177
19.07.1976 00:00:00;   175
20.07.1976 00:00:00;   176
21.07.1976 00:00:00;   176
22.07.1976 00:00:00;   176
23.07.1976 00:00:00;   182
24.07.1976 00:00:00;   196
25.07.1976 00:00:00;   191
26.07.1976 00:00:00;   208
27.07.1976 00:00:00;   216
28.07.1976 00:00:00;   206
29.07.1976 00:00:00;   195
30.07.1976 00:00:00;   187
31.07.1976 00:00:00;   184
01.08.1976 00:00:00;   185
02.08.1976 00:00:00;   187
03.08.1976 00:00:00;   184
04.08.1976 00:00:00;   182
05.08.1976 00:00:00;   194
06.08.1976 00:00:00;   198
07.08.1976 00:00:00;   189
08.08.1976 00:00:00;   185
09.08.1976 00:00:00;   183
10.08.1976 00:00:00;   182
11.08.1976 00:00:00;   199
12.08.1976 00:00:00;   221
13.08.1976 00:00:00;   196
14.08.1976 00:00:00;   191
15.08.1976 00:00:00;   188
16.08.1976 00:00:00;   185
17.08.1976 00:00:00;   185
18.08.1976 00:00:00;   184
19.08.1976 00:00:00;   185
20.08.1976 00:00:00;   198
21.08.1976 00:00:00;   207
22.08.1976 00:00:00;   208
23.08.1976 00:00:00;   194
24.08.1976 00:00:00;   190
25.08.1976 00:00:00;   187
26.08.1976 00:00:00;   185
27.08.1976 00:00:00;   186
28.08.1976 00:00:00;   190
29.08.1976 00:00:00;   184
30.08.1976 00:00:00;   182
31.08.1976 00:00:00;   183
01.09.1976 00:00:00;   186
02.09.1976 00:00:00;   194
03.09.1976 00:00:00;   194
04.09.1976 00:00:00;   194
05.09.1976 00:00:00;   191
06.09.1976 00:00:00;   195
07.09.1976 00:00:00;   189
08.09.1976 00:00:00;   186
09.09.1976 00:00:00;   185
10.09.1976 00:00:00;   184
11.09.1976 00:00:00;   184
12.09.1976 00:00:00;   183
13.09.1976 00:00:00;   182
14.09.1976 00:00:00;   182
15.09.1976 00:00:00;   182
16.09.1976 00:00:00;   182
17.09.1976 00:00:00;   182
18.09.1976 00:00:00;   181
19.09.1976 00:00:00;   186
20.09.1976 00:00:00;   186
21.09.1976 00:00:00;   182
22.09.1976 00:00:00;   181
23.09.1976 00:00:00;   181
24.09.1976 00:00:00;   181
25.09.1976 00:00:00;   181
26.09.1976 00:00:00;   180
27.09.1976 00:00:00;   180
28.09.1976 00:00:00;   179
29.09.1976 00:00:00;   180
30.09.1976 00:00:00;   189
01.10.1976 00:00:00;   189
02.10.1976 00:00:00;   184
03.10.1976 00:00:00;   182
04.10.1976 00:00:00;   182
05.10.1976 00:00:00;   182
06.10.1976 00:00:00;   182
07.10.1976 00:00:00;   182
08.10.1976 00:00:00;   182
09.10.1976 00:00:00;   181
10.10.1976 00:00:00;   181
11.10.1976 00:00:00;   179
12.10.1976 00:00:00;   179
13.10.1976 00:00:00;   179
14.10.1976 00:00:00;   179
15.10.1976 00:00:00;   179
16.10.1976 00:00:00;   181
17.10.1976 00:00:00;   198
18.10.1976 00:00:00;   192
19.10.1976 00:00:00;   187
20.10.1976 00:00:00;   185
21.10.1976 00:00:00;   183
22.10.1976 00:00:00;   182
23.10.1976 00:00:00;   182
24.10.1976 00:00:00;   182
25.10.1976 00:00:00;   181
26.10.1976 00:00:00;   181
27.10.1976 00:00:00;   181
28.10.1976 00:00:00;   181
29.10.1976 00:00:00;   181
30.10.1976 00:00:00;   181
31.10.1976 00:00:00;   187
01.11.1976 00:00:00;   189
02.11.1976 00:00:00;   185
03.11.1976 00:00:00;   184
04.11.1976 00:00:00;   182
05.11.1976 00:00:00;   182
06.11.1976 00:00:00;   181
07.11.1976 00:00:00;   181
08.11.1976 00:00:00;   184
09.11.1976 00:00:00;   184
10.11.1976 00:00:00;   183
11.11.1976 00:00:00;   182
12.11.1976 00:00:00;   182
13.11.1976 00:00:00;   182
14.11.1976 00:00:00;   192
15.11.1976 00:00:00;   301
16.11.1976 00:00:00;   247
17.11.1976 00:00:00;   213
18.11.1976 00:00:00;   204
19.11.1976 00:00:00;   198
20.11.1976 00:00:00;   200
21.11.1976 00:00:00;   199
22.11.1976 00:00:00;   199
23.11.1976 00:00:00;   199
24.11.1976 00:00:00;   198
25.11.1976 00:00:00;   214
26.11.1976 00:00:00;   224
27.11.1976 00:00:00;   212
28.11.1976 00:00:00;   204
29.11.1976 00:00:00;   202
30.11.1976 00:00:00;   202
01.12.1976 00:00:00;   202
02.12.1976 00:00:00;   205
03.12.1976 00:00:00;   202
04.12.1976 00:00:00;   198
05.12.1976 00:00:00;   196
06.12.1976 00:00:00;   194
07.12.1976 00:00:00;   192
08.12.1976 00:00:00;   192
09.12.1976 00:00:00;   194
10.12.1976 00:00:00;   204
11.12.1976 00:00:00;   204
12.12.1976 00:00:00;   198
13.12.1976 00:00:00;   195
14.12.1976 00:00:00;   193
15.12.1976 00:00:00;   192
16.12.1976 00:00:00;   191
17.12.1976 00:00:00;   190
18.12.1976 00:00:00;   190
19.12.1976 00:00:00;   190
20.12.1976 00:00:00;   191
21.12.1976 00:00:00;   193
22.12.1976 00:00:00;   194
23.12.1976 00:00:00;   193
24.12.1976 00:00:00;   192
25.12.1976 00:00:00;   192
26.12.1976 00:00:00;   191
27.12.1976 00:00:00;   189
28.12.1976 00:00:00;   187
29.12.1976 00:00:00;   186
30.12.1976 00:00:00;   185
31.12.1976 00:00:00;   184
01.01.1977 00:00:00;   185
02.01.1977 00:00:00;   185
03.01.1977 00:00:00;   185
04.01.1977 00:00:00;   186
05.01.1977 00:00:00;   185
06.01.1977 00:00:00;   185
07.01.1977 00:00:00;   185
08.01.1977 00:00:00;   185
09.01.1977 00:00:00;   185
10.01.1977 00:00:00;   186
11.01.1977 00:00:00;   185
12.01.1977 00:00:00;   186
13.01.1977 00:00:00;   185
14.01.1977 00:00:00;   185
15.01.1977 00:00:00;   185
16.01.1977 00:00:00;   185
17.01.1977 00:00:00;   185
18.01.1977 00:00:00;   185
19.01.1977 00:00:00;   186
20.01.1977 00:00:00;   186
21.01.1977 00:00:00;   185
22.01.1977 00:00:00;   185
23.01.1977 00:00:00;   185
24.01.1977 00:00:00;   185
25.01.1977 00:00:00;   186
26.01.1977 00:00:00;   201
27.01.1977 00:00:00;   228
28.01.1977 00:00:00;   219
29.01.1977 00:00:00;   210
30.01.1977 00:00:00;   226
31.01.1977 00:00:00;   215
01.02.1977 00:00:00;   204
02.02.1977 00:00:00;   197
03.02.1977 00:00:00;   193
04.02.1977 00:00:00;   191
05.02.1977 00:00:00;   202
06.02.1977 00:00:00;   283
07.02.1977 00:00:00;   299
08.02.1977 00:00:00;   268
09.02.1977 00:00:00;   285
10.02.1977 00:00:00;   234
11.02.1977 00:00:00;   244
12.02.1977 00:00:00;   223
13.02.1977 00:00:00;   222
14.02.1977 00:00:00;   217
15.02.1977 00:00:00;   215
16.02.1977 00:00:00;   212
17.02.1977 00:00:00;   211
18.02.1977 00:00:00;   210
19.02.1977 00:00:00;   209
20.02.1977 00:00:00;   207
21.02.1977 00:00:00;   215
22.02.1977 00:00:00;   221
23.02.1977 00:00:00;   224
24.02.1977 00:00:00;   221
25.02.1977 00:00:00;   219
26.02.1977 00:00:00;   226
27.02.1977 00:00:00;   242
28.02.1977 00:00:00;   223
01.03.1977 00:00:00;   216
02.03.1977 00:00:00;   213
03.03.1977 00:00:00;   245
04.03.1977 00:00:00;   233
05.03.1977 00:00:00;   226
06.03.1977 00:00:00;   218
07.03.1977 00:00:00;   213
08.03.1977 00:00:00;   211
09.03.1977 00:00:00;   210
10.03.1977 00:00:00;   209
11.03.1977 00:00:00;   208
12.03.1977 00:00:00;   207
13.03.1977 00:00:00;   206
14.03.1977 00:00:00;   205
15.03.1977 00:00:00;   204
16.03.1977 00:00:00;   203
17.03.1977 00:00:00;   202
18.03.1977 00:00:00;   202
19.03.1977 00:00:00;   202
20.03.1977 00:00:00;   201
21.03.1977 00:00:00;   200
22.03.1977 00:00:00;   199
23.03.1977 00:00:00;   199
24.03.1977 00:00:00;   199
25.03.1977 00:00:00;   199
26.03.1977 00:00:00;   199
27.03.1977 00:00:00;   199
28.03.1977 00:00:00;   201
29.03.1977 00:00:00;   229
30.03.1977 00:00:00;   214
31.03.1977 00:00:00;   210
01.04.1977 00:00:00;   213
02.04.1977 00:00:00;   217
03.04.1977 00:00:00;   212
04.04.1977 00:00:00;   219
05.04.1977 00:00:00;   211
06.04.1977 00:00:00;   209
07.04.1977 00:00:00;   206
08.04.1977 00:00:00;   205
09.04.1977 00:00:00;   216
10.04.1977 00:00:00;   222
11.04.1977 00:00:00;   218
12.04.1977 00:00:00;   216
13.04.1977 00:00:00;   227
14.04.1977 00:00:00;   266
15.04.1977 00:00:00;   233
16.04.1977 00:00:00;   234
17.04.1977 00:00:00;   226
18.04.1977 00:00:00;   219
19.04.1977 00:00:00;   219
20.04.1977 00:00:00;   223
21.04.1977 00:00:00;   216
22.04.1977 00:00:00;   213
23.04.1977 00:00:00;   213
24.04.1977 00:00:00;   213
25.04.1977 00:00:00;   220
26.04.1977 00:00:00;   212
27.04.1977 00:00:00;   210
28.04.1977 00:00:00;   214
29.04.1977 00:00:00;   210
30.04.1977 00:00:00;   208
01.05.1977 00:00:00;   206
02.05.1977 00:00:00;   205
03.05.1977 00:00:00;   204
04.05.1977 00:00:00;   203
05.05.1977 00:00:00;   203
06.05.1977 00:00:00;   202
07.05.1977 00:00:00;   202
08.05.1977 00:00:00;   202
09.05.1977 00:00:00;   204
10.05.1977 00:00:00;   201
11.05.1977 00:00:00;   201
12.05.1977 00:00:00;   201
13.05.1977 00:00:00;   199
14.05.1977 00:00:00;   201
15.05.1977 00:00:00;   201
16.05.1977 00:00:00;   200
17.05.1977 00:00:00;   198
18.05.1977 00:00:00;   197
19.05.1977 00:00:00;   197
20.05.1977 00:00:00;   197
21.05.1977 00:00:00;   196
22.05.1977 00:00:00;   197
23.05.1977 00:00:00;   196
24.05.1977 00:00:00;   195
25.05.1977 00:00:00;   195
26.05.1977 00:00:00;   194
27.05.1977 00:00:00;   194
28.05.1977 00:00:00;   194
29.05.1977 00:00:00;   194
30.05.1977 00:00:00;   194
31.05.1977 00:00:00;   196
01.06.1977 00:00:00;   196
02.06.1977 00:00:00;   195
03.06.1977 00:00:00;   194
04.06.1977 00:00:00;   195
05.06.1977 00:00:00;   196
06.06.1977 00:00:00;   195
07.06.1977 00:00:00;   195
08.06.1977 00:00:00;   195
09.06.1977 00:00:00;   194
10.06.1977 00:00:00;   194
11.06.1977 00:00:00;   193
12.06.1977 00:00:00;   194
13.06.1977 00:00:00;   194
14.06.1977 00:00:00;   193
15.06.1977 00:00:00;   194
16.06.1977 00:00:00;   195
17.06.1977 00:00:00;   195
18.06.1977 00:00:00;   194
19.06.1977 00:00:00;   194
20.06.1977 00:00:00;   195
21.06.1977 00:00:00;   193
22.06.1977 00:00:00;   194
23.06.1977 00:00:00;   194
24.06.1977 00:00:00;   193
25.06.1977 00:00:00;   193
26.06.1977 00:00:00;   193
27.06.1977 00:00:00;   200
28.06.1977 00:00:00;   198
29.06.1977 00:00:00;   194
30.06.1977 00:00:00;   195
01.07.1977 00:00:00;   199
02.07.1977 00:00:00;   195
03.07.1977 00:00:00;   193
04.07.1977 00:00:00;   194
05.07.1977 00:00:00;   194
06.07.1977 00:00:00;   194
07.07.1977 00:00:00;   193
08.07.1977 00:00:00;   193
09.07.1977 00:00:00;   201
10.07.1977 00:00:00;   198
11.07.1977 00:00:00;   194
12.07.1977 00:00:00;   193
13.07.1977 00:00:00;   193
14.07.1977 00:00:00;   192
15.07.1977 00:00:00;   194
16.07.1977 00:00:00;   194
17.07.1977 00:00:00;   192
18.07.1977 00:00:00;   192
19.07.1977 00:00:00;   192
20.07.1977 00:00:00;   191
21.07.1977 00:00:00;   194
22.07.1977 00:00:00;   194
23.07.1977 00:00:00;   191
24.07.1977 00:00:00;   191
25.07.1977 00:00:00;   191
26.07.1977 00:00:00;   191
27.07.1977 00:00:00;   191
28.07.1977 00:00:00;   190
29.07.1977 00:00:00;   190
30.07.1977 00:00:00;   190
31.07.1977 00:00:00;   191
01.08.1977 00:00:00;   348
02.08.1977 00:00:00;   319
03.08.1977 00:00:00;   231
04.08.1977 00:00:00;   212
05.08.1977 00:00:00;   206
06.08.1977 00:00:00;   202
07.08.1977 00:00:00;   200
08.08.1977 00:00:00;   198
09.08.1977 00:00:00;   198
10.08.1977 00:00:00;   242
11.08.1977 00:00:00;   217
12.08.1977 00:00:00;   209
13.08.1977 00:00:00;   212
14.08.1977 00:00:00;   204
15.08.1977 00:00:00;   202
16.08.1977 00:00:00;   200
17.08.1977 00:00:00;   198
18.08.1977 00:00:00;   197
19.08.1977 00:00:00;   200
20.08.1977 00:00:00;   200
21.08.1977 00:00:00;   197
22.08.1977 00:00:00;   220
23.08.1977 00:00:00;   206
24.08.1977 00:00:00;   206
25.08.1977 00:00:00;   203
26.08.1977 00:00:00;   199
27.08.1977 00:00:00;   197
28.08.1977 00:00:00;   196
29.08.1977 00:00:00;   197
30.08.1977 00:00:00;   197
31.08.1977 00:00:00;   196
01.09.1977 00:00:00;   195
02.09.1977 00:00:00;   198
03.09.1977 00:00:00;   196
04.09.1977 00:00:00;   335
05.09.1977 00:00:00;   236
06.09.1977 00:00:00;   216
07.09.1977 00:00:00;   209
08.09.1977 00:00:00;   205
09.09.1977 00:00:00;   216
10.09.1977 00:00:00;   213
11.09.1977 00:00:00;   206
12.09.1977 00:00:00;   204
13.09.1977 00:00:00;   202
14.09.1977 00:00:00;   201
15.09.1977 00:00:00;   201
16.09.1977 00:00:00;   199
17.09.1977 00:00:00;   198
18.09.1977 00:00:00;   198
19.09.1977 00:00:00;   202
20.09.1977 00:00:00;   203
21.09.1977 00:00:00;   201
22.09.1977 00:00:00;   200
23.09.1977 00:00:00;   200
24.09.1977 00:00:00;   200
25.09.1977 00:00:00;   199
26.09.1977 00:00:00;   197
27.09.1977 00:00:00;   196
28.09.1977 00:00:00;   196
29.09.1977 00:00:00;   195
30.09.1977 00:00:00;   195
01.10.1977 00:00:00;   195
02.10.1977 00:00:00;   195
03.10.1977 00:00:00;   200
04.10.1977 00:00:00;   203
05.10.1977 00:00:00;   198
06.10.1977 00:00:00;   196
07.10.1977 00:00:00;   195
08.10.1977 00:00:00;   195
09.10.1977 00:00:00;   195
10.10.1977 00:00:00;   194
11.10.1977 00:00:00;   205
12.10.1977 00:00:00;   203
13.10.1977 00:00:00;   199
14.10.1977 00:00:00;   198
15.10.1977 00:00:00;   197
16.10.1977 00:00:00;   196
17.10.1977 00:00:00;   196
18.10.1977 00:00:00;   196
19.10.1977 00:00:00;   195
20.10.1977 00:00:00;   195
21.10.1977 00:00:00;   195
22.10.1977 00:00:00;   194
23.10.1977 00:00:00;   194
24.10.1977 00:00:00;   194
25.10.1977 00:00:00;   195
26.10.1977 00:00:00;   194
27.10.1977 00:00:00;   194
28.10.1977 00:00:00;   194
29.10.1977 00:00:00;   194
30.10.1977 00:00:00;   194
31.10.1977 00:00:00;   194
01.11.1977 00:00:00;   196
02.11.1977 00:00:00;   204
03.11.1977 00:00:00;   204
04.11.1977 00:00:00;   201
05.11.1977 00:00:00;   198
06.11.1977 00:00:00;   197
07.11.1977 00:00:00;   196
08.11.1977 00:00:00;   196
09.11.1977 00:00:00;   197
10.11.1977 00:00:00;   198
11.11.1977 00:00:00;   197
12.11.1977 00:00:00;   196
13.11.1977 00:00:00;   211
14.11.1977 00:00:00;   211
15.11.1977 00:00:00;   219
16.11.1977 00:00:00;   212
17.11.1977 00:00:00;   204
18.11.1977 00:00:00;   202
19.11.1977 00:00:00;   200
20.11.1977 00:00:00;   199
21.11.1977 00:00:00;   198
22.11.1977 00:00:00;   197
23.11.1977 00:00:00;   197
24.11.1977 00:00:00;   197
25.11.1977 00:00:00;   197
26.11.1977 00:00:00;   197
27.11.1977 00:00:00;   196
28.11.1977 00:00:00;   197
29.11.1977 00:00:00;   198
30.11.1977 00:00:00;   197
01.12.1977 00:00:00;   197
02.12.1977 00:00:00;   196
03.12.1977 00:00:00;   196
04.12.1977 00:00:00;   196
05.12.1977 00:00:00;   196
06.12.1977 00:00:00;   197
07.12.1977 00:00:00;   197
08.12.1977 00:00:00;   198
09.12.1977 00:00:00;   199
10.12.1977 00:00:00;   200
11.12.1977 00:00:00;   201
12.12.1977 00:00:00;   201
13.12.1977 00:00:00;   203
14.12.1977 00:00:00;   219
15.12.1977 00:00:00;   218
16.12.1977 00:00:00;   219
17.12.1977 00:00:00;   214
18.12.1977 00:00:00;   208
19.12.1977 00:00:00;   204
20.12.1977 00:00:00;   202
21.12.1977 00:00:00;   200
22.12.1977 00:00:00;   199
23.12.1977 00:00:00;   198
24.12.1977 00:00:00;   200
25.12.1977 00:00:00;   265
26.12.1977 00:00:00;   228
27.12.1977 00:00:00;   216
28.12.1977 00:00:00;   221
29.12.1977 00:00:00;   214
30.12.1977 00:00:00;   209
31.12.1977 00:00:00;   211
01.01.1978 00:00:00;   207
02.01.1978 00:00:00;   206
03.01.1978 00:00:00;   215
04.01.1978 00:00:00;   225
05.01.1978 00:00:00;   217
06.01.1978 00:00:00;   210
07.01.1978 00:00:00;   208
08.01.1978 00:00:00;   206
09.01.1978 00:00:00;   205
10.01.1978 00:00:00;   204
11.01.1978 00:00:00;   204
12.01.1978 00:00:00;   203
13.01.1978 00:00:00;   202
14.01.1978 00:00:00;   201
15.01.1978 00:00:00;   200
16.01.1978 00:00:00;   201
17.01.1978 00:00:00;   201
18.01.1978 00:00:00;   201
19.01.1978 00:00:00;   201
20.01.1978 00:00:00;   201
21.01.1978 00:00:00;   200
22.01.1978 00:00:00;   199
23.01.1978 00:00:00;   198
24.01.1978 00:00:00;   198
25.01.1978 00:00:00;   198
26.01.1978 00:00:00;   201
27.01.1978 00:00:00;   200
28.01.1978 00:00:00;   199
29.01.1978 00:00:00;   201
30.01.1978 00:00:00;   209
31.01.1978 00:00:00;   206
01.02.1978 00:00:00;   204
02.02.1978 00:00:00;   202
03.02.1978 00:00:00;   203
04.02.1978 00:00:00;   204
05.02.1978 00:00:00;   202
06.02.1978 00:00:00;   201
07.02.1978 00:00:00;   201
08.02.1978 00:00:00;   200
09.02.1978 00:00:00;   200
10.02.1978 00:00:00;   199
11.02.1978 00:00:00;   199
12.02.1978 00:00:00;   200
13.02.1978 00:00:00;   199
14.02.1978 00:00:00;   199
15.02.1978 00:00:00;   199
16.02.1978 00:00:00;   199
17.02.1978 00:00:00;   199
18.02.1978 00:00:00;   199
19.02.1978 00:00:00;   198
20.02.1978 00:00:00;   197
21.02.1978 00:00:00;   196
22.02.1978 00:00:00;   197
23.02.1978 00:00:00;   196
24.02.1978 00:00:00;   196
25.02.1978 00:00:00;   199
26.02.1978 00:00:00;   208
27.02.1978 00:00:00;   214
28.02.1978 00:00:00;   218
01.03.1978 00:00:00;   219
02.03.1978 00:00:00;   230
03.03.1978 00:00:00;   227
04.03.1978 00:00:00;   220
05.03.1978 00:00:00;   215
06.03.1978 00:00:00;   215
07.03.1978 00:00:00;   212
08.03.1978 00:00:00;   208
09.03.1978 00:00:00;   207
10.03.1978 00:00:00;   208
11.03.1978 00:00:00;   207
12.03.1978 00:00:00;   207
13.03.1978 00:00:00;   205
14.03.1978 00:00:00;   205
15.03.1978 00:00:00;   205
16.03.1978 00:00:00;   205
17.03.1978 00:00:00;   208
18.03.1978 00:00:00;   209
19.03.1978 00:00:00;   205
20.03.1978 00:00:00;   206
21.03.1978 00:00:00;   241
22.03.1978 00:00:00;   236
23.03.1978 00:00:00;   224
24.03.1978 00:00:00;   220
25.03.1978 00:00:00;   215
26.03.1978 00:00:00;   214
27.03.1978 00:00:00;   211
28.03.1978 00:00:00;   214
29.03.1978 00:00:00;   215
30.03.1978 00:00:00;   212
31.03.1978 00:00:00;   209
01.04.1978 00:00:00;   205
02.04.1978 00:00:00;   204
03.04.1978 00:00:00;   203
04.04.1978 00:00:00;   203
05.04.1978 00:00:00;   202
06.04.1978 00:00:00;   202
07.04.1978 00:00:00;   199
08.04.1978 00:00:00;   199
09.04.1978 00:00:00;   197
10.04.1978 00:00:00;   198
11.04.1978 00:00:00;   197
12.04.1978 00:00:00;   198
13.04.1978 00:00:00;   200
14.04.1978 00:00:00;   207
15.04.1978 00:00:00;   211
16.04.1978 00:00:00;   207
17.04.1978 00:00:00;   205
18.04.1978 00:00:00;   206
19.04.1978 00:00:00;   205
20.04.1978 00:00:00;   203
21.04.1978 00:00:00;   203
22.04.1978 00:00:00;   201
23.04.1978 00:00:00;   200
