Messstelle:                ;Oberkappel
17.06.1976 00:00:00;    23
18.06.1976 00:00:00;    22
19.06.1976 00:00:00;    22
20.06.1976 00:00:00;    22
21.06.1976 00:00:00;    21
22.06.1976 00:00:00;    21
23.06.1976 00:00:00;    22
24.06.1976 00:00:00;    22
25.06.1976 00:00:00;    21
26.06.1976 00:00:00;    20
27.06.1976 00:00:00;    20
28.06.1976 00:00:00;    19
29.06.1976 00:00:00;    19
30.06.1976 00:00:00;    19
01.07.1976 00:00:00;    19
02.07.1976 00:00:00;    18
03.07.1976 00:00:00;    18
04.07.1976 00:00:00;    17
05.07.1976 00:00:00;    18
06.07.1976 00:00:00;    19
07.07.1976 00:00:00;    18
08.07.1976 00:00:00;    18
09.07.1976 00:00:00;    19
10.07.1976 00:00:00;    19
11.07.1976 00:00:00;    18
12.07.1976 00:00:00;    18
13.07.1976 00:00:00;    19
14.07.1976 00:00:00;    32
15.07.1976 00:00:00;    22
16.07.1976 00:00:00;    20
17.07.1976 00:00:00;    19
18.07.1976 00:00:00;    18
19.07.1976 00:00:00;    17
20.07.1976 00:00:00;    18
21.07.1976 00:00:00;    21
22.07.1976 00:00:00;    25
23.07.1976 00:00:00;    27
24.07.1976 00:00:00;    33
25.07.1976 00:00:00;    25
26.07.1976 00:00:00;    36
27.07.1976 00:00:00;    37
28.07.1976 00:00:00;    55
29.07.1976 00:00:00;    30
30.07.1976 00:00:00;    25
31.07.1976 00:00:00;    24
01.08.1976 00:00:00;    27
02.08.1976 00:00:00;    25
03.08.1976 00:00:00;    23
04.08.1976 00:00:00;    24
05.08.1976 00:00:00;    26
06.08.1976 00:00:00;    25
07.08.1976 00:00:00;    22
08.08.1976 00:00:00;    21
09.08.1976 00:00:00;    20
10.08.1976 00:00:00;    20
11.08.1976 00:00:00;    21
12.08.1976 00:00:00;    24
13.08.1976 00:00:00;    24
14.08.1976 00:00:00;    22
15.08.1976 00:00:00;    21
16.08.1976 00:00:00;    20
17.08.1976 00:00:00;    21
18.08.1976 00:00:00;    24
19.08.1976 00:00:00;    23
20.08.1976 00:00:00;    27
21.08.1976 00:00:00;    34
22.08.1976 00:00:00;    25
23.08.1976 00:00:00;    20
24.08.1976 00:00:00;    17
25.08.1976 00:00:00;    17
26.08.1976 00:00:00;    16
27.08.1976 00:00:00;    17
28.08.1976 00:00:00;    17
29.08.1976 00:00:00;    17
30.08.1976 00:00:00;    17
31.08.1976 00:00:00;    19
01.09.1976 00:00:00;    21
02.09.1976 00:00:00;    28
03.09.1976 00:00:00;    24
04.09.1976 00:00:00;    22
05.09.1976 00:00:00;    21
06.09.1976 00:00:00;    21
07.09.1976 00:00:00;    20
08.09.1976 00:00:00;    20
09.09.1976 00:00:00;    20
10.09.1976 00:00:00;    20
11.09.1976 00:00:00;    21
12.09.1976 00:00:00;    20
13.09.1976 00:00:00;    20
14.09.1976 00:00:00;    22
15.09.1976 00:00:00;    21
16.09.1976 00:00:00;    23
17.09.1976 00:00:00;    23
18.09.1976 00:00:00;    23
19.09.1976 00:00:00;    23
20.09.1976 00:00:00;    21
21.09.1976 00:00:00;    21
22.09.1976 00:00:00;    22
23.09.1976 00:00:00;    21
24.09.1976 00:00:00;    21
25.09.1976 00:00:00;    21
26.09.1976 00:00:00;    20
27.09.1976 00:00:00;    21
28.09.1976 00:00:00;    21
29.09.1976 00:00:00;    23
30.09.1976 00:00:00;    24
01.10.1976 00:00:00;    22
02.10.1976 00:00:00;    22
03.10.1976 00:00:00;    22
04.10.1976 00:00:00;    21
05.10.1976 00:00:00;    23
06.10.1976 00:00:00;    24
07.10.1976 00:00:00;    22
08.10.1976 00:00:00;    22
09.10.1976 00:00:00;    23
10.10.1976 00:00:00;    22
11.10.1976 00:00:00;    22
12.10.1976 00:00:00;    21
13.10.1976 00:00:00;    22
14.10.1976 00:00:00;    21
15.10.1976 00:00:00;    22
16.10.1976 00:00:00;    26
17.10.1976 00:00:00;    30
18.10.1976 00:00:00;    26
19.10.1976 00:00:00;    23
20.10.1976 00:00:00;    22
21.10.1976 00:00:00;    21
22.10.1976 00:00:00;    21
23.10.1976 00:00:00;    20
24.10.1976 00:00:00;    20
25.10.1976 00:00:00;    20
26.10.1976 00:00:00;    21
27.10.1976 00:00:00;    21
28.10.1976 00:00:00;    20
29.10.1976 00:00:00;    20
30.10.1976 00:00:00;    20
31.10.1976 00:00:00;    57
01.11.1976 00:00:00;    37
02.11.1976 00:00:00;    30
03.11.1976 00:00:00;    28
04.11.1976 00:00:00;    26
05.11.1976 00:00:00;    25
06.11.1976 00:00:00;    25
07.11.1976 00:00:00;    24
08.11.1976 00:00:00;    29
09.11.1976 00:00:00;    25
10.11.1976 00:00:00;    23
11.11.1976 00:00:00;    22
12.11.1976 00:00:00;    22
13.11.1976 00:00:00;    22
14.11.1976 00:00:00;    25
15.11.1976 00:00:00;    60
16.11.1976 00:00:00;    46
17.11.1976 00:00:00;    35
18.11.1976 00:00:00;    31
19.11.1976 00:00:00;    29
20.11.1976 00:00:00;    28
21.11.1976 00:00:00;    27
22.11.1976 00:00:00;    25
23.11.1976 00:00:00;    25
24.11.1976 00:00:00;    24
25.11.1976 00:00:00;    26
26.11.1976 00:00:00;    27
27.11.1976 00:00:00;    29
28.11.1976 00:00:00;    32
29.11.1976 00:00:00;    35
30.11.1976 00:00:00;    36
01.12.1976 00:00:00;    37
02.12.1976 00:00:00;    38
03.12.1976 00:00:00;    35
04.12.1976 00:00:00;    31
05.12.1976 00:00:00;    29
06.12.1976 00:00:00;    26
07.12.1976 00:00:00;    26
08.12.1976 00:00:00;    34
09.12.1976 00:00:00;    66
10.12.1976 00:00:00;    55
11.12.1976 00:00:00;    40
12.12.1976 00:00:00;    35
13.12.1976 00:00:00;    33
14.12.1976 00:00:00;    31
15.12.1976 00:00:00;    30
16.12.1976 00:00:00;    29
17.12.1976 00:00:00;    29
18.12.1976 00:00:00;    29
19.12.1976 00:00:00;    29
20.12.1976 00:00:00;    28
21.12.1976 00:00:00;    27
22.12.1976 00:00:00;    26
23.12.1976 00:00:00;    26
24.12.1976 00:00:00;    26
25.12.1976 00:00:00;    26
26.12.1976 00:00:00;    26
27.12.1976 00:00:00;    26
28.12.1976 00:00:00;    26
29.12.1976 00:00:00;    26
30.12.1976 00:00:00;    25
31.12.1976 00:00:00;    25
01.01.1977 00:00:00;    25
02.01.1977 00:00:00;    25
03.01.1977 00:00:00;    24
04.01.1977 00:00:00;    24
05.01.1977 00:00:00;    23
06.01.1977 00:00:00;    24
07.01.1977 00:00:00;    24
08.01.1977 00:00:00;    24
09.01.1977 00:00:00;    25
10.01.1977 00:00:00;    23
11.01.1977 00:00:00;    22
12.01.1977 00:00:00;    22
13.01.1977 00:00:00;    21
14.01.1977 00:00:00;    23
15.01.1977 00:00:00;    22
16.01.1977 00:00:00;    21
17.01.1977 00:00:00;    21
18.01.1977 00:00:00;    21
19.01.1977 00:00:00;    21
20.01.1977 00:00:00;    22
21.01.1977 00:00:00;    23
22.01.1977 00:00:00;    23
23.01.1977 00:00:00;    22
24.01.1977 00:00:00;    22
25.01.1977 00:00:00;    23
26.01.1977 00:00:00;    43
27.01.1977 00:00:00;    51
28.01.1977 00:00:00;    40
29.01.1977 00:00:00;    35
30.01.1977 00:00:00;    32
31.01.1977 00:00:00;    30
01.02.1977 00:00:00;    30
02.02.1977 00:00:00;    34
03.02.1977 00:00:00;    39
04.02.1977 00:00:00;    40
05.02.1977 00:00:00;    47
06.02.1977 00:00:00;    81
07.02.1977 00:00:00;    81
08.02.1977 00:00:00;    90
09.02.1977 00:00:00;    79
10.02.1977 00:00:00;    74
11.02.1977 00:00:00;    99
12.02.1977 00:00:00;    70
13.02.1977 00:00:00;    65
14.02.1977 00:00:00;    60
15.02.1977 00:00:00;    55
16.02.1977 00:00:00;    50
17.02.1977 00:00:00;    47
18.02.1977 00:00:00;    49
19.02.1977 00:00:00;    50
20.02.1977 00:00:00;    48
21.02.1977 00:00:00;    59
22.02.1977 00:00:00;    58
23.02.1977 00:00:00;    67
24.02.1977 00:00:00;    58
25.02.1977 00:00:00;    70
26.02.1977 00:00:00;    77
27.02.1977 00:00:00;    61
28.02.1977 00:00:00;    54
01.03.1977 00:00:00;    51
02.03.1977 00:00:00;    49
03.03.1977 00:00:00;    55
04.03.1977 00:00:00;    71
05.03.1977 00:00:00;    67
06.03.1977 00:00:00;    55
07.03.1977 00:00:00;    50
08.03.1977 00:00:00;    49
09.03.1977 00:00:00;    49
10.03.1977 00:00:00;    48
11.03.1977 00:00:00;    46
12.03.1977 00:00:00;    46
13.03.1977 00:00:00;    50
14.03.1977 00:00:00;    47
15.03.1977 00:00:00;    46
16.03.1977 00:00:00;    43
17.03.1977 00:00:00;    42
18.03.1977 00:00:00;    41
19.03.1977 00:00:00;    40
20.03.1977 00:00:00;    40
21.03.1977 00:00:00;    39
22.03.1977 00:00:00;    39
23.03.1977 00:00:00;    37
24.03.1977 00:00:00;    37
25.03.1977 00:00:00;    36
26.03.1977 00:00:00;    35
27.03.1977 00:00:00;    36
28.03.1977 00:00:00;    38
29.03.1977 00:00:00;    37
30.03.1977 00:00:00;    35
31.03.1977 00:00:00;    35
01.04.1977 00:00:00;    35
02.04.1977 00:00:00;    37
03.04.1977 00:00:00;    36
04.04.1977 00:00:00;    37
05.04.1977 00:00:00;    36
06.04.1977 00:00:00;    36
07.04.1977 00:00:00;    35
08.04.1977 00:00:00;    37
09.04.1977 00:00:00;    39
10.04.1977 00:00:00;    38
11.04.1977 00:00:00;    35
12.04.1977 00:00:00;    37
13.04.1977 00:00:00;    51
14.04.1977 00:00:00;    74
15.04.1977 00:00:00;    53
16.04.1977 00:00:00;    50
17.04.1977 00:00:00;    45
18.04.1977 00:00:00;    41
19.04.1977 00:00:00;    40
20.04.1977 00:00:00;    39
21.04.1977 00:00:00;    38
22.04.1977 00:00:00;    37
23.04.1977 00:00:00;    41
24.04.1977 00:00:00;    48
25.04.1977 00:00:00;    46
26.04.1977 00:00:00;    40
27.04.1977 00:00:00;    38
28.04.1977 00:00:00;    39
29.04.1977 00:00:00;    38
30.04.1977 00:00:00;    36
01.05.1977 00:00:00;    35
02.05.1977 00:00:00;    34
03.05.1977 00:00:00;    34
04.05.1977 00:00:00;    34
05.05.1977 00:00:00;    34
06.05.1977 00:00:00;    33
07.05.1977 00:00:00;    33
08.05.1977 00:00:00;    33
09.05.1977 00:00:00;    34
10.05.1977 00:00:00;    35
11.05.1977 00:00:00;    32
12.05.1977 00:00:00;    31
13.05.1977 00:00:00;    31
14.05.1977 00:00:00;    34
15.05.1977 00:00:00;    33
16.05.1977 00:00:00;    31
17.05.1977 00:00:00;    30
18.05.1977 00:00:00;    29
19.05.1977 00:00:00;    29
20.05.1977 00:00:00;    29
21.05.1977 00:00:00;    28
22.05.1977 00:00:00;    29
23.05.1977 00:00:00;    28
24.05.1977 00:00:00;    27
25.05.1977 00:00:00;    27
26.05.1977 00:00:00;    26
27.05.1977 00:00:00;    26
28.05.1977 00:00:00;    26
29.05.1977 00:00:00;    25
30.05.1977 00:00:00;    26
31.05.1977 00:00:00;    26
01.06.1977 00:00:00;    25
02.06.1977 00:00:00;    25
03.06.1977 00:00:00;    25
04.06.1977 00:00:00;    25
05.06.1977 00:00:00;    26
06.06.1977 00:00:00;    35
07.06.1977 00:00:00;    31
08.06.1977 00:00:00;    34
09.06.1977 00:00:00;    28
10.06.1977 00:00:00;    25
11.06.1977 00:00:00;    29
12.06.1977 00:00:00;    29
13.06.1977 00:00:00;    25
14.06.1977 00:00:00;    24
15.06.1977 00:00:00;    27
16.06.1977 00:00:00;    29
17.06.1977 00:00:00;    26
18.06.1977 00:00:00;    24
19.06.1977 00:00:00;    29
20.06.1977 00:00:00;    28
21.06.1977 00:00:00;    26
22.06.1977 00:00:00;    25
23.06.1977 00:00:00;    24
24.06.1977 00:00:00;    23
25.06.1977 00:00:00;    23
26.06.1977 00:00:00;    28
27.06.1977 00:00:00;    51
28.06.1977 00:00:00;    40
29.06.1977 00:00:00;    30
30.06.1977 00:00:00;    57
01.07.1977 00:00:00;    46
02.07.1977 00:00:00;    33
03.07.1977 00:00:00;    29
04.07.1977 00:00:00;    27
05.07.1977 00:00:00;    27
06.07.1977 00:00:00;    27
07.07.1977 00:00:00;    26
08.07.1977 00:00:00;    26
09.07.1977 00:00:00;    26
10.07.1977 00:00:00;    25
11.07.1977 00:00:00;    25
12.07.1977 00:00:00;    24
13.07.1977 00:00:00;    24
14.07.1977 00:00:00;    28
15.07.1977 00:00:00;    33
16.07.1977 00:00:00;    26
17.07.1977 00:00:00;    24
18.07.1977 00:00:00;    24
19.07.1977 00:00:00;    24
20.07.1977 00:00:00;    23
21.07.1977 00:00:00;    29
22.07.1977 00:00:00;    25
23.07.1977 00:00:00;    24
24.07.1977 00:00:00;    23
25.07.1977 00:00:00;    24
26.07.1977 00:00:00;    27
27.07.1977 00:00:00;    24
28.07.1977 00:00:00;    23
29.07.1977 00:00:00;    22
30.07.1977 00:00:00;    21
31.07.1977 00:00:00;    33
01.08.1977 00:00:00;    47
02.08.1977 00:00:00;    37
03.08.1977 00:00:00;    31
04.08.1977 00:00:00;    26
05.08.1977 00:00:00;    23
06.08.1977 00:00:00;    22
07.08.1977 00:00:00;    21
08.08.1977 00:00:00;    21
09.08.1977 00:00:00;    21
10.08.1977 00:00:00;    57
11.08.1977 00:00:00;    61
12.08.1977 00:00:00;    39
13.08.1977 00:00:00;    35
14.08.1977 00:00:00;    29
15.08.1977 00:00:00;    27
16.08.1977 00:00:00;    26
17.08.1977 00:00:00;    25
18.08.1977 00:00:00;    25
19.08.1977 00:00:00;    45
20.08.1977 00:00:00;    36
21.08.1977 00:00:00;    37
22.08.1977 00:00:00;    90
23.08.1977 00:00:00;    85
24.08.1977 00:00:00;    55
25.08.1977 00:00:00;    45
26.08.1977 00:00:00;    40
27.08.1977 00:00:00;    39
28.08.1977 00:00:00;    45
29.08.1977 00:00:00;    38
30.08.1977 00:00:00;    35
31.08.1977 00:00:00;    33
01.09.1977 00:00:00;    32
02.09.1977 00:00:00;    41
03.09.1977 00:00:00;    38
04.09.1977 00:00:00;    33
05.09.1977 00:00:00;    32
06.09.1977 00:00:00;    30
07.09.1977 00:00:00;    29
08.09.1977 00:00:00;    29
09.09.1977 00:00:00;    32
10.09.1977 00:00:00;    30
11.09.1977 00:00:00;    30
12.09.1977 00:00:00;    30
13.09.1977 00:00:00;    28
14.09.1977 00:00:00;    28
15.09.1977 00:00:00;    28
16.09.1977 00:00:00;    27
17.09.1977 00:00:00;    27
18.09.1977 00:00:00;    26
19.09.1977 00:00:00;    27
20.09.1977 00:00:00;    27
21.09.1977 00:00:00;    27
22.09.1977 00:00:00;    27
23.09.1977 00:00:00;    27
24.09.1977 00:00:00;    26
25.09.1977 00:00:00;    26
26.09.1977 00:00:00;    25
27.09.1977 00:00:00;    25
28.09.1977 00:00:00;    25
29.09.1977 00:00:00;    26
30.09.1977 00:00:00;    26
01.10.1977 00:00:00;    26
02.10.1977 00:00:00;    30
03.10.1977 00:00:00;    42
04.10.1977 00:00:00;    33
05.10.1977 00:00:00;    29
06.10.1977 00:00:00;    27
07.10.1977 00:00:00;    26
08.10.1977 00:00:00;    25
09.10.1977 00:00:00;    26
10.10.1977 00:00:00;    26
11.10.1977 00:00:00;    28
12.10.1977 00:00:00;    26
13.10.1977 00:00:00;    26
14.10.1977 00:00:00;    25
15.10.1977 00:00:00;    25
16.10.1977 00:00:00;    25
17.10.1977 00:00:00;    25
18.10.1977 00:00:00;    25
19.10.1977 00:00:00;    24
20.10.1977 00:00:00;    24
21.10.1977 00:00:00;    23
22.10.1977 00:00:00;    23
23.10.1977 00:00:00;    23
24.10.1977 00:00:00;    23
25.10.1977 00:00:00;    23
26.10.1977 00:00:00;    23
27.10.1977 00:00:00;    23
28.10.1977 00:00:00;    23
29.10.1977 00:00:00;    25
30.10.1977 00:00:00;    24
31.10.1977 00:00:00;    24
01.11.1977 00:00:00;    26
02.11.1977 00:00:00;    26
03.11.1977 00:00:00;    37
04.11.1977 00:00:00;    50
05.11.1977 00:00:00;    40
06.11.1977 00:00:00;    31
07.11.1977 00:00:00;    29
08.11.1977 00:00:00;    27
09.11.1977 00:00:00;    27
10.11.1977 00:00:00;    28
11.11.1977 00:00:00;    26
12.11.1977 00:00:00;    25
13.11.1977 00:00:00;    33
14.11.1977 00:00:00;    32
15.11.1977 00:00:00;    76
16.11.1977 00:00:00;    43
17.11.1977 00:00:00;    37
18.11.1977 00:00:00;    33
19.11.1977 00:00:00;    33
20.11.1977 00:00:00;    32
21.11.1977 00:00:00;    32
22.11.1977 00:00:00;    32
23.11.1977 00:00:00;    32
24.11.1977 00:00:00;    36
25.11.1977 00:00:00;    55
26.11.1977 00:00:00;    43
27.11.1977 00:00:00;    38
28.11.1977 00:00:00;    35
29.11.1977 00:00:00;    33
30.11.1977 00:00:00;    33
01.12.1977 00:00:00;    31
02.12.1977 00:00:00;    30
03.12.1977 00:00:00;    30
04.12.1977 00:00:00;    29
05.12.1977 00:00:00;    27
06.12.1977 00:00:00;    28
07.12.1977 00:00:00;    29
08.12.1977 00:00:00;    27
09.12.1977 00:00:00;    27
10.12.1977 00:00:00;    27
11.12.1977 00:00:00;    28
12.12.1977 00:00:00;    28
13.12.1977 00:00:00;    28
14.12.1977 00:00:00;    28
15.12.1977 00:00:00;    29
16.12.1977 00:00:00;    30
17.12.1977 00:00:00;    30
18.12.1977 00:00:00;    28
19.12.1977 00:00:00;    26
20.12.1977 00:00:00;    25
21.12.1977 00:00:00;    24
22.12.1977 00:00:00;    26
23.12.1977 00:00:00;    24
24.12.1977 00:00:00;    35
25.12.1977 00:00:00;   109
26.12.1977 00:00:00;    70
27.12.1977 00:00:00;    54
28.12.1977 00:00:00;    64
29.12.1977 00:00:00;    48
30.12.1977 00:00:00;    44
31.12.1977 00:00:00;    39
01.01.1978 00:00:00;   142
02.01.1978 00:00:00;   139
03.01.1978 00:00:00;   138
04.01.1978 00:00:00;   137
05.01.1978 00:00:00;   136
06.01.1978 00:00:00;   137
07.01.1978 00:00:00;   135
08.01.1978 00:00:00;   133
09.01.1978 00:00:00;   134
10.01.1978 00:00:00;   133
11.01.1978 00:00:00;   134
12.01.1978 00:00:00;   133
13.01.1978 00:00:00;   132
14.01.1978 00:00:00;   132
15.01.1978 00:00:00;   132
16.01.1978 00:00:00;   132
17.01.1978 00:00:00;   132
18.01.1978 00:00:00;   130
19.01.1978 00:00:00;   131
20.01.1978 00:00:00;   130
21.01.1978 00:00:00;   130
22.01.1978 00:00:00;   129
23.01.1978 00:00:00;   129
24.01.1978 00:00:00;   130
25.01.1978 00:00:00;   138
26.01.1978 00:00:00;   134
27.01.1978 00:00:00;   132
28.01.1978 00:00:00;   132
29.01.1978 00:00:00;   132
30.01.1978 00:00:00;   132
31.01.1978 00:00:00;   131
01.02.1978 00:00:00;   131
02.02.1978 00:00:00;   131
03.02.1978 00:00:00;   131
04.02.1978 00:00:00;   130
05.02.1978 00:00:00;   130
06.02.1978 00:00:00;   130
07.02.1978 00:00:00;   130
08.02.1978 00:00:00;   129
09.02.1978 00:00:00;   128
10.02.1978 00:00:00;   130
11.02.1978 00:00:00;   129
12.02.1978 00:00:00;   128
13.02.1978 00:00:00;   131
14.02.1978 00:00:00;   130
15.02.1978 00:00:00;   130
16.02.1978 00:00:00;   129
17.02.1978 00:00:00;   129
18.02.1978 00:00:00;   128
19.02.1978 00:00:00;   131
20.02.1978 00:00:00;   129
21.02.1978 00:00:00;   128
22.02.1978 00:00:00;   128
23.02.1978 00:00:00;   128
24.02.1978 00:00:00;   127
25.02.1978 00:00:00;   129
26.02.1978 00:00:00;   133
27.02.1978 00:00:00;   138
28.02.1978 00:00:00;   142
01.03.1978 00:00:00;   142
02.03.1978 00:00:00;   144
03.03.1978 00:00:00;   147
04.03.1978 00:00:00;   151
05.03.1978 00:00:00;   150
06.03.1978 00:00:00;   145
07.03.1978 00:00:00;   145
08.03.1978 00:00:00;   144
09.03.1978 00:00:00;   148
10.03.1978 00:00:00;   148
11.03.1978 00:00:00;   156
12.03.1978 00:00:00;   160
13.03.1978 00:00:00;   152
14.03.1978 00:00:00;   154
15.03.1978 00:00:00;   157
16.03.1978 00:00:00;   182
17.03.1978 00:00:00;   165
18.03.1978 00:00:00;   155
19.03.1978 00:00:00;   149
20.03.1978 00:00:00;   149
21.03.1978 00:00:00;   148
22.03.1978 00:00:00;   147
23.03.1978 00:00:00;   145
24.03.1978 00:00:00;   144
25.03.1978 00:00:00;   144
26.03.1978 00:00:00;   172
27.03.1978 00:00:00;   161
28.03.1978 00:00:00;   174
29.03.1978 00:00:00;   173
30.03.1978 00:00:00;   173
31.03.1978 00:00:00;   171
01.04.1978 00:00:00;   166
02.04.1978 00:00:00;   164
03.04.1978 00:00:00;   166
04.04.1978 00:00:00;   164
05.04.1978 00:00:00;   160
06.04.1978 00:00:00;   157
07.04.1978 00:00:00;   154
08.04.1978 00:00:00;   153
09.04.1978 00:00:00;   151
10.04.1978 00:00:00;   151
11.04.1978 00:00:00;   151
12.04.1978 00:00:00;   151
13.04.1978 00:00:00;   149
14.04.1978 00:00:00;   150
15.04.1978 00:00:00;   148
16.04.1978 00:00:00;   146
17.04.1978 00:00:00;   145
18.04.1978 00:00:00;   144
19.04.1978 00:00:00;   143
20.04.1978 00:00:00;   142
21.04.1978 00:00:00;   142
22.04.1978 00:00:00;   141
23.04.1978 00:00:00;   140
