Messstelle:                ;Mitterbach (Brücke)
27.07.1976 00:00:00;   140
28.07.1976 00:00:00;   131
29.07.1976 00:00:00;   131
30.07.1976 00:00:00;   129
31.07.1976 00:00:00;   124
01.08.1976 00:00:00;   122
02.08.1976 00:00:00;   119
03.08.1976 00:00:00;   118
04.08.1976 00:00:00;   117
05.08.1976 00:00:00;   119
06.08.1976 00:00:00;   132
07.08.1976 00:00:00;   127
08.08.1976 00:00:00;   123
09.08.1976 00:00:00;   119
10.08.1976 00:00:00;   117
11.08.1976 00:00:00;   116
12.08.1976 00:00:00;   116
13.08.1976 00:00:00;   116
14.08.1976 00:00:00;   116
15.08.1976 00:00:00;   115
16.08.1976 00:00:00;   114
17.08.1976 00:00:00;   112
18.08.1976 00:00:00;   112
19.08.1976 00:00:00;   111
20.08.1976 00:00:00;   113
21.08.1976 00:00:00;   127
22.08.1976 00:00:00;   145
23.08.1976 00:00:00;   129
24.08.1976 00:00:00;   124
25.08.1976 00:00:00;   121
26.08.1976 00:00:00;   118
27.08.1976 00:00:00;   119
28.08.1976 00:00:00;   119
29.08.1976 00:00:00;   115
30.08.1976 00:00:00;   116
31.08.1976 00:00:00;   115
01.09.1976 00:00:00;   115
02.09.1976 00:00:00;   116
03.09.1976 00:00:00;   119
04.09.1976 00:00:00;   125
05.09.1976 00:00:00;   143
06.09.1976 00:00:00;   139
07.09.1976 00:00:00;   131
08.09.1976 00:00:00;   127
09.09.1976 00:00:00;   123
10.09.1976 00:00:00;   122
11.09.1976 00:00:00;   121
12.09.1976 00:00:00;   119
13.09.1976 00:00:00;   117
14.09.1976 00:00:00;   116
15.09.1976 00:00:00;   116
16.09.1976 00:00:00;   114
17.09.1976 00:00:00;   115
18.09.1976 00:00:00;   147
19.09.1976 00:00:00;   156
20.09.1976 00:00:00;   138
21.09.1976 00:00:00;   130
22.09.1976 00:00:00;   127
23.09.1976 00:00:00;   122
24.09.1976 00:00:00;   122
25.09.1976 00:00:00;   120
26.09.1976 00:00:00;   118
27.09.1976 00:00:00;   116
28.09.1976 00:00:00;   115
29.09.1976 00:00:00;   115
30.09.1976 00:00:00;   121
01.10.1976 00:00:00;   125
02.10.1976 00:00:00;   121
03.10.1976 00:00:00;   118
04.10.1976 00:00:00;   116
05.10.1976 00:00:00;   115
06.10.1976 00:00:00;   114
07.10.1976 00:00:00;   121
08.10.1976 00:00:00;   128
09.10.1976 00:00:00;   124
10.10.1976 00:00:00;   118
11.10.1976 00:00:00;   115
12.10.1976 00:00:00;   113
13.10.1976 00:00:00;   111
14.10.1976 00:00:00;   111
15.10.1976 00:00:00;   111
16.10.1976 00:00:00;   112
17.10.1976 00:00:00;   117
18.10.1976 00:00:00;   118
19.10.1976 00:00:00;   117
20.10.1976 00:00:00;   115
21.10.1976 00:00:00;   114
22.10.1976 00:00:00;   113
23.10.1976 00:00:00;   112
24.10.1976 00:00:00;   112
25.10.1976 00:00:00;   111
26.10.1976 00:00:00;   112
27.10.1976 00:00:00;   114
28.10.1976 00:00:00;   110
29.10.1976 00:00:00;   110
30.10.1976 00:00:00;   110
31.10.1976 00:00:00;   112
01.11.1976 00:00:00;   110
02.11.1976 00:00:00;   109
03.11.1976 00:00:00;   109
04.11.1976 00:00:00;   109
05.11.1976 00:00:00;   109
06.11.1976 00:00:00;   108
07.11.1976 00:00:00;   109
08.11.1976 00:00:00;   110
09.11.1976 00:00:00;   109
10.11.1976 00:00:00;   108
11.11.1976 00:00:00;   109
12.11.1976 00:00:00;   109
13.11.1976 00:00:00;   112
14.11.1976 00:00:00;   114
15.11.1976 00:00:00;   114
16.11.1976 00:00:00;   113
17.11.1976 00:00:00;   112
18.11.1976 00:00:00;   111
19.11.1976 00:00:00;   111
20.11.1976 00:00:00;   113
21.11.1976 00:00:00;   112
22.11.1976 00:00:00;   111
23.11.1976 00:00:00;   111
24.11.1976 00:00:00;   112
25.11.1976 00:00:00;   114
26.11.1976 00:00:00;   113
27.11.1976 00:00:00;   112
28.11.1976 00:00:00;   111
29.11.1976 00:00:00;   111
30.11.1976 00:00:00;   112
01.12.1976 00:00:00;   111
02.12.1976 00:00:00;   114
03.12.1976 00:00:00;   113
04.12.1976 00:00:00;   112
05.12.1976 00:00:00;   111
06.12.1976 00:00:00;   111
07.12.1976 00:00:00;   111
08.12.1976 00:00:00;   111
09.12.1976 00:00:00;   112
10.12.1976 00:00:00;   113
11.12.1976 00:00:00;   113
12.12.1976 00:00:00;   112
13.12.1976 00:00:00;   113
14.12.1976 00:00:00;   113
15.12.1976 00:00:00;   111
16.12.1976 00:00:00;   111
17.12.1976 00:00:00;   111
18.12.1976 00:00:00;   111
19.12.1976 00:00:00;   112
20.12.1976 00:00:00;   113
21.12.1976 00:00:00;   114
22.12.1976 00:00:00;   114
23.12.1976 00:00:00;   113
24.12.1976 00:00:00;   113
25.12.1976 00:00:00;   112
26.12.1976 00:00:00;   111
27.12.1976 00:00:00;   112
28.12.1976 00:00:00;   111
29.12.1976 00:00:00;   111
30.12.1976 00:00:00;   110
31.12.1976 00:00:00;   110
01.01.1977 00:00:00;    65
02.01.1977 00:00:00;    64
03.01.1977 00:00:00;    64
04.01.1977 00:00:00;    65
05.01.1977 00:00:00;    64
06.01.1977 00:00:00;    64
07.01.1977 00:00:00;    64
08.01.1977 00:00:00;    66
09.01.1977 00:00:00;    66
10.01.1977 00:00:00;    65
11.01.1977 00:00:00;    64
12.01.1977 00:00:00;    64
13.01.1977 00:00:00;    65
14.01.1977 00:00:00;    64
15.01.1977 00:00:00;    64
16.01.1977 00:00:00;    64
17.01.1977 00:00:00;    64
18.01.1977 00:00:00;    64
19.01.1977 00:00:00;    63
20.01.1977 00:00:00;    63
21.01.1977 00:00:00;    63
22.01.1977 00:00:00;    63
23.01.1977 00:00:00;    62
24.01.1977 00:00:00;    63
25.01.1977 00:00:00;    64
26.01.1977 00:00:00;    67
27.01.1977 00:00:00;    72
28.01.1977 00:00:00;    73
29.01.1977 00:00:00;    71
30.01.1977 00:00:00;    70
31.01.1977 00:00:00;    69
01.02.1977 00:00:00;    67
02.02.1977 00:00:00;    66
03.02.1977 00:00:00;    65
04.02.1977 00:00:00;    65
05.02.1977 00:00:00;    70
06.02.1977 00:00:00;    81
07.02.1977 00:00:00;    84
08.02.1977 00:00:00;    80
09.02.1977 00:00:00;    78
10.02.1977 00:00:00;    76
11.02.1977 00:00:00;    77
12.02.1977 00:00:00;    77
13.02.1977 00:00:00;    77
14.02.1977 00:00:00;    76
15.02.1977 00:00:00;    76
16.02.1977 00:00:00;    76
17.02.1977 00:00:00;    75
18.02.1977 00:00:00;    75
19.02.1977 00:00:00;    75
20.02.1977 00:00:00;    74
21.02.1977 00:00:00;    75
22.02.1977 00:00:00;    75
23.02.1977 00:00:00;    76
24.02.1977 00:00:00;    74
25.02.1977 00:00:00;    75
26.02.1977 00:00:00;    75
27.02.1977 00:00:00;    75
28.02.1977 00:00:00;    74
01.03.1977 00:00:00;    72
02.03.1977 00:00:00;    72
03.03.1977 00:00:00;    81
04.03.1977 00:00:00;   108
05.03.1977 00:00:00;   113
06.03.1977 00:00:00;    98
07.03.1977 00:00:00;    91
08.03.1977 00:00:00;    87
09.03.1977 00:00:00;    86
10.03.1977 00:00:00;    87
11.03.1977 00:00:00;    89
12.03.1977 00:00:00;    88
13.03.1977 00:00:00;    86
14.03.1977 00:00:00;    85
15.03.1977 00:00:00;    83
16.03.1977 00:00:00;    82
17.03.1977 00:00:00;    79
18.03.1977 00:00:00;    84
19.03.1977 00:00:00;    86
20.03.1977 00:00:00;    88
21.03.1977 00:00:00;    87
22.03.1977 00:00:00;    83
23.03.1977 00:00:00;    86
24.03.1977 00:00:00;    90
25.03.1977 00:00:00;    90
26.03.1977 00:00:00;    89
27.03.1977 00:00:00;    86
28.03.1977 00:00:00;    86
29.03.1977 00:00:00;    83
30.03.1977 00:00:00;    80
31.03.1977 00:00:00;    76
01.04.1977 00:00:00;    74
02.04.1977 00:00:00;    74
03.04.1977 00:00:00;    75
04.04.1977 00:00:00;    78
05.04.1977 00:00:00;    76
06.04.1977 00:00:00;    74
07.04.1977 00:00:00;    74
08.04.1977 00:00:00;    74
09.04.1977 00:00:00;    74
10.04.1977 00:00:00;    74
11.04.1977 00:00:00;    73
12.04.1977 00:00:00;    72
13.04.1977 00:00:00;    73
14.04.1977 00:00:00;    77
15.04.1977 00:00:00;    75
16.04.1977 00:00:00;    74
17.04.1977 00:00:00;    74
18.04.1977 00:00:00;    74
19.04.1977 00:00:00;    78
20.04.1977 00:00:00;    78
21.04.1977 00:00:00;    76
22.04.1977 00:00:00;    79
23.04.1977 00:00:00;    89
24.04.1977 00:00:00;    97
25.04.1977 00:00:00;    92
26.04.1977 00:00:00;    81
27.04.1977 00:00:00;    80
28.04.1977 00:00:00;    93
29.04.1977 00:00:00;    90
30.04.1977 00:00:00;    92
01.05.1977 00:00:00;    95
02.05.1977 00:00:00;    93
03.05.1977 00:00:00;    90
04.05.1977 00:00:00;    87
05.05.1977 00:00:00;    89
06.05.1977 00:00:00;    86
07.05.1977 00:00:00;    83
08.05.1977 00:00:00;    79
09.05.1977 00:00:00;    77
10.05.1977 00:00:00;    76
11.05.1977 00:00:00;    76
12.05.1977 00:00:00;    77
13.05.1977 00:00:00;    78
14.05.1977 00:00:00;    78
15.05.1977 00:00:00;    77
16.05.1977 00:00:00;    77
17.05.1977 00:00:00;    76
18.05.1977 00:00:00;    75
19.05.1977 00:00:00;    75
20.05.1977 00:00:00;    75
21.05.1977 00:00:00;    75
22.05.1977 00:00:00;    75
23.05.1977 00:00:00;    73
24.05.1977 00:00:00;    72
25.05.1977 00:00:00;    71
26.05.1977 00:00:00;    71
27.05.1977 00:00:00;    70
28.05.1977 00:00:00;    70
29.05.1977 00:00:00;    69
30.05.1977 00:00:00;    70
31.05.1977 00:00:00;    70
01.06.1977 00:00:00;    70
02.06.1977 00:00:00;    68
03.06.1977 00:00:00;    68
04.06.1977 00:00:00;    68
05.06.1977 00:00:00;    67
06.06.1977 00:00:00;    67
07.06.1977 00:00:00;    67
08.06.1977 00:00:00;    66
09.06.1977 00:00:00;    66
10.06.1977 00:00:00;    66
11.06.1977 00:00:00;    65
12.06.1977 00:00:00;    65
13.06.1977 00:00:00;    65
14.06.1977 00:00:00;    65
15.06.1977 00:00:00;    64
16.06.1977 00:00:00;    64
17.06.1977 00:00:00;    63
18.06.1977 00:00:00;    63
19.06.1977 00:00:00;    63
20.06.1977 00:00:00;    63
21.06.1977 00:00:00;    64
22.06.1977 00:00:00;    68
23.06.1977 00:00:00;    70
24.06.1977 00:00:00;    69
25.06.1977 00:00:00;    67
26.06.1977 00:00:00;    65
27.06.1977 00:00:00;    69
28.06.1977 00:00:00;    74
29.06.1977 00:00:00;    72
30.06.1977 00:00:00;    70
01.07.1977 00:00:00;    69
02.07.1977 00:00:00;    67
03.07.1977 00:00:00;    64
04.07.1977 00:00:00;    64
05.07.1977 00:00:00;    64
06.07.1977 00:00:00;    64
07.07.1977 00:00:00;    63
08.07.1977 00:00:00;    63
09.07.1977 00:00:00;    67
10.07.1977 00:00:00;    70
11.07.1977 00:00:00;    73
12.07.1977 00:00:00;    71
13.07.1977 00:00:00;    68
14.07.1977 00:00:00;    67
15.07.1977 00:00:00;    67
16.07.1977 00:00:00;    67
17.07.1977 00:00:00;    65
18.07.1977 00:00:00;    64
19.07.1977 00:00:00;    63
20.07.1977 00:00:00;    63
21.07.1977 00:00:00;    66
22.07.1977 00:00:00;    68
23.07.1977 00:00:00;    67
24.07.1977 00:00:00;    65
25.07.1977 00:00:00;    64
26.07.1977 00:00:00;    63
27.07.1977 00:00:00;    61
28.07.1977 00:00:00;    61
29.07.1977 00:00:00;    61
30.07.1977 00:00:00;    61
31.07.1977 00:00:00;    62
01.08.1977 00:00:00;   103
02.08.1977 00:00:00;   125
03.08.1977 00:00:00;   112
04.08.1977 00:00:00;    94
05.08.1977 00:00:00;    82
06.08.1977 00:00:00;    78
07.08.1977 00:00:00;    75
08.08.1977 00:00:00;    72
09.08.1977 00:00:00;    74
10.08.1977 00:00:00;    76
11.08.1977 00:00:00;    77
12.08.1977 00:00:00;    75
13.08.1977 00:00:00;    73
14.08.1977 00:00:00;    71
15.08.1977 00:00:00;    69
16.08.1977 00:00:00;    68
17.08.1977 00:00:00;    67
18.08.1977 00:00:00;    67
19.08.1977 00:00:00;    68
20.08.1977 00:00:00;    67
21.08.1977 00:00:00;    66
22.08.1977 00:00:00;    66
23.08.1977 00:00:00;    65
24.08.1977 00:00:00;    65
25.08.1977 00:00:00;    65
26.08.1977 00:00:00;    64
27.08.1977 00:00:00;    63
28.08.1977 00:00:00;    64
29.08.1977 00:00:00;    64
30.08.1977 00:00:00;    63
31.08.1977 00:00:00;    63
01.09.1977 00:00:00;    64
02.09.1977 00:00:00;    68
03.09.1977 00:00:00;    68
04.09.1977 00:00:00;    67
05.09.1977 00:00:00;    68
06.09.1977 00:00:00;    67
07.09.1977 00:00:00;    66
08.09.1977 00:00:00;    65
09.09.1977 00:00:00;    69
10.09.1977 00:00:00;    69
11.09.1977 00:00:00;    69
12.09.1977 00:00:00;    68
13.09.1977 00:00:00;    67
14.09.1977 00:00:00;    66
15.09.1977 00:00:00;    65
16.09.1977 00:00:00;    64
17.09.1977 00:00:00;    64
18.09.1977 00:00:00;    65
19.09.1977 00:00:00;    67
20.09.1977 00:00:00;    67
21.09.1977 00:00:00;    66
22.09.1977 00:00:00;    67
23.09.1977 00:00:00;    68
24.09.1977 00:00:00;    69
25.09.1977 00:00:00;    68
26.09.1977 00:00:00;    66
27.09.1977 00:00:00;    65
28.09.1977 00:00:00;    64
29.09.1977 00:00:00;    64
30.09.1977 00:00:00;    64
01.10.1977 00:00:00;    63
02.10.1977 00:00:00;    63
03.10.1977 00:00:00;    65
04.10.1977 00:00:00;    64
05.10.1977 00:00:00;    71
06.10.1977 00:00:00;    73
07.10.1977 00:00:00;    69
08.10.1977 00:00:00;    67
09.10.1977 00:00:00;    65
10.10.1977 00:00:00;    65
11.10.1977 00:00:00;    68
12.10.1977 00:00:00;    70
13.10.1977 00:00:00;    69
14.10.1977 00:00:00;    67
15.10.1977 00:00:00;    65
16.10.1977 00:00:00;    64
17.10.1977 00:00:00;    63
18.10.1977 00:00:00;    62
19.10.1977 00:00:00;    62
20.10.1977 00:00:00;    62
21.10.1977 00:00:00;    61
22.10.1977 00:00:00;    61
23.10.1977 00:00:00;    61
24.10.1977 00:00:00;    61
25.10.1977 00:00:00;    61
26.10.1977 00:00:00;    62
27.10.1977 00:00:00;    62
28.10.1977 00:00:00;    61
29.10.1977 00:00:00;    62
30.10.1977 00:00:00;    60
31.10.1977 00:00:00;    62
01.11.1977 00:00:00;    61
02.11.1977 00:00:00;    61
03.11.1977 00:00:00;    63
04.11.1977 00:00:00;    63
05.11.1977 00:00:00;    62
06.11.1977 00:00:00;    61
07.11.1977 00:00:00;    61
08.11.1977 00:00:00;    61
09.11.1977 00:00:00;    61
10.11.1977 00:00:00;    60
11.11.1977 00:00:00;    59
12.11.1977 00:00:00;    60
13.11.1977 00:00:00;    60
14.11.1977 00:00:00;    61
15.11.1977 00:00:00;    62
16.11.1977 00:00:00;    63
17.11.1977 00:00:00;    62
18.11.1977 00:00:00;    61
19.11.1977 00:00:00;    60
20.11.1977 00:00:00;    60
21.11.1977 00:00:00;    60
22.11.1977 00:00:00;    60
23.11.1977 00:00:00;    61
24.11.1977 00:00:00;    61
25.11.1977 00:00:00;    61
26.11.1977 00:00:00;    61
27.11.1977 00:00:00;    64
28.11.1977 00:00:00;    62
29.11.1977 00:00:00;    60
30.11.1977 00:00:00;    60
01.12.1977 00:00:00;    60
02.12.1977 00:00:00;    60
03.12.1977 00:00:00;    61
04.12.1977 00:00:00;    60
05.12.1977 00:00:00;    60
06.12.1977 00:00:00;    60
07.12.1977 00:00:00;    61
08.12.1977 00:00:00;    61
09.12.1977 00:00:00;    61
10.12.1977 00:00:00;    61
11.12.1977 00:00:00;    61
12.12.1977 00:00:00;    61
13.12.1977 00:00:00;    61
14.12.1977 00:00:00;    61
15.12.1977 00:00:00;    61
16.12.1977 00:00:00;    61
17.12.1977 00:00:00;    61
18.12.1977 00:00:00;    60
19.12.1977 00:00:00;    61
20.12.1977 00:00:00;    61
21.12.1977 00:00:00;    61
22.12.1977 00:00:00;    61
23.12.1977 00:00:00;    61
24.12.1977 00:00:00;    63
25.12.1977 00:00:00;    81
26.12.1977 00:00:00;    81
27.12.1977 00:00:00;    78
28.12.1977 00:00:00;    74
29.12.1977 00:00:00;    71
30.12.1977 00:00:00;    69
31.12.1977 00:00:00;    68
01.01.1978 00:00:00;    68
02.01.1978 00:00:00;    66
03.01.1978 00:00:00;    65
04.01.1978 00:00:00;    65
05.01.1978 00:00:00;    66
06.01.1978 00:00:00;    64
07.01.1978 00:00:00;    64
08.01.1978 00:00:00;    63
09.01.1978 00:00:00;    62
10.01.1978 00:00:00;    62
11.01.1978 00:00:00;    61
12.01.1978 00:00:00;    61
13.01.1978 00:00:00;    62
14.01.1978 00:00:00;    63
15.01.1978 00:00:00;    63
16.01.1978 00:00:00;    63
17.01.1978 00:00:00;    63
18.01.1978 00:00:00;    62
19.01.1978 00:00:00;    62
20.01.1978 00:00:00;    62
21.01.1978 00:00:00;    61
22.01.1978 00:00:00;    61
23.01.1978 00:00:00;    61
24.01.1978 00:00:00;    62
25.01.1978 00:00:00;    61
26.01.1978 00:00:00;    61
27.01.1978 00:00:00;    61
28.01.1978 00:00:00;    61
29.01.1978 00:00:00;    61
30.01.1978 00:00:00;    63
31.01.1978 00:00:00;    62
01.02.1978 00:00:00;    61
02.02.1978 00:00:00;    61
03.02.1978 00:00:00;    61
04.02.1978 00:00:00;    61
05.02.1978 00:00:00;    60
06.02.1978 00:00:00;    59
07.02.1978 00:00:00;    61
08.02.1978 00:00:00;    60
09.02.1978 00:00:00;    60
10.02.1978 00:00:00;    60
11.02.1978 00:00:00;    60
12.02.1978 00:00:00;    60
13.02.1978 00:00:00;    61
14.02.1978 00:00:00;    61
15.02.1978 00:00:00;    61
16.02.1978 00:00:00;    61
17.02.1978 00:00:00;    61
18.02.1978 00:00:00;    61
19.02.1978 00:00:00;    60
20.02.1978 00:00:00;    61
21.02.1978 00:00:00;    60
22.02.1978 00:00:00;    61
23.02.1978 00:00:00;    61
24.02.1978 00:00:00;    61
25.02.1978 00:00:00;    63
26.02.1978 00:00:00;    72
27.02.1978 00:00:00;    77
28.02.1978 00:00:00;    78
01.03.1978 00:00:00;    77
02.03.1978 00:00:00;    78
03.03.1978 00:00:00;    78
04.03.1978 00:00:00;    79
05.03.1978 00:00:00;    80
06.03.1978 00:00:00;    79
07.03.1978 00:00:00;    76
08.03.1978 00:00:00;    73
09.03.1978 00:00:00;    72
10.03.1978 00:00:00;    70
11.03.1978 00:00:00;    70
12.03.1978 00:00:00;    71
13.03.1978 00:00:00;    71
14.03.1978 00:00:00;    71
15.03.1978 00:00:00;    71
16.03.1978 00:00:00;    71
17.03.1978 00:00:00;    70
18.03.1978 00:00:00;    69
19.03.1978 00:00:00;    68
20.03.1978 00:00:00;    69
21.03.1978 00:00:00;    69
22.03.1978 00:00:00;    69
23.03.1978 00:00:00;    68
24.03.1978 00:00:00;    67
25.03.1978 00:00:00;    66
26.03.1978 00:00:00;    65
27.03.1978 00:00:00;    65
28.03.1978 00:00:00;    67
29.03.1978 00:00:00;    71
30.03.1978 00:00:00;    76
31.03.1978 00:00:00;    82
01.04.1978 00:00:00;    84
02.04.1978 00:00:00;    84
03.04.1978 00:00:00;    83
04.04.1978 00:00:00;    78
05.04.1978 00:00:00;    75
06.04.1978 00:00:00;    73
07.04.1978 00:00:00;    74
08.04.1978 00:00:00;    73
09.04.1978 00:00:00;    74
10.04.1978 00:00:00;    74
11.04.1978 00:00:00;    75
12.04.1978 00:00:00;    77
13.04.1978 00:00:00;    75
14.04.1978 00:00:00;    73
15.04.1978 00:00:00;    70
16.04.1978 00:00:00;    69
17.04.1978 00:00:00;    69
18.04.1978 00:00:00;    69
19.04.1978 00:00:00;    68
20.04.1978 00:00:00;    68
21.04.1978 00:00:00;    69
