Messstelle:                ;Voitsberg
14.08.1968 12:00:00;  8,70
05.09.1968 12:00:00;  8,29
07.10.1968 12:00:00;  7,22
19.11.1968 12:00:00;  8,70
25.12.1968 12:00:00;  2,20
07.01.1969 12:00:00;  1,82
28.02.1969 12:00:00;  2,20
16.03.1969 12:00:00;  18,0
28.04.1969 12:00:00;  7,16
15.05.1969 12:00:00;  4,93
07.06.1969 12:00:00;  23,0
31.07.1969 12:00:00;  12,5
01.08.1969 12:00:00;  12,5
19.09.1969 12:00:00;  8,65
03.10.1969 12:00:00;  2,87
26.11.1969 12:00:00;  9,88
07.12.1969 12:00:00;  3,88
17.01.1970 12:00:00;  2,87
22.02.1970 12:00:00;  3,04
27.03.1970 12:00:00;  9,88
24.04.1970 12:00:00;  9,06
16.05.1970 12:00:00;  9,06
19.06.1970 12:00:00;  5,65
15.07.1970 12:00:00;  35,0
09.08.1970 12:00:00;  25,9
09.09.1970 12:00:00;  5,95
20.10.1970 12:00:00;  3,88
15.11.1970 12:00:00;  5,35
05.12.1970 12:00:00;  2,87
28.01.1971 12:00:00;  1,40
17.02.1971 12:00:00;  2,70
23.03.1971 12:00:00;  2,54
10.04.1971 12:00:00;  4,17
10.05.1971 12:00:00;  2,33
03.06.1971 12:00:00;  3,66
19.07.1971 12:00:00;  2,54
04.08.1971 12:00:00;  4,85
25.09.1971 12:00:00;  8,30
15.10.1971 12:00:00;  1,57
12.11.1971 12:00:00;  2,37
08.12.1971 12:00:00;  3,04
03.01.1972 12:00:00;  1,15
29.02.1972 12:00:00;  6,86
01.03.1972 12:00:00;  7,58
22.04.1972 12:00:00;  95,0
16.05.1972 12:00:00;  48,5
23.06.1972 12:00:00;  95,0
16.07.1972 12:00:00;  33,6
17.08.1972 12:00:00;  13,2
10.09.1972 12:00:00;  29,9
09.10.1972 12:00:00;  4,20
18.11.1972 12:00:00;  2,24
10.12.1972 12:00:00;  1,70
12.01.1976 04:00:00;  3,36
29.02.1976 04:00:00;  5,91
01.03.1976 10:30:00;  6,35
24.04.1976 20:00:00;  5,49
27.05.1976 12:00:00;  6,70
04.06.1976 11:00:00;  4,14
31.07.1976 17:30:00;  6,73
01.08.1976 00:00:00;  3,10
11.09.1976 03:00:00;  6,76
30.10.1976 21:00:00;  8,45
08.11.1976 07:30:00;  4,89
02.12.1976 17:00:00;  7,88
03.01.1977 12:00:00;  3,12
13.02.1977 03:00:00;  4,19
11.03.1977 12:00:00;  4,24
28.04.1977 10:30:00;  4,74
14.05.1977 11:00:00;  11,1
15.06.1977 17:30:00;  3,98
26.07.1977 11:00:00;  10,2
03.08.1977 12:00:00;  4,47
13.09.1977 18:00:00;  4,38
14.10.1977 08:00:00;  2,00
13.11.1977 18:30:00;  2,78
26.12.1977 12:30:00;  3,40
17.01.1978 12:00:00;  2,51
26.02.1978 00:00:00;  5,18
21.03.1978 20:00:00;  4,64
14.04.1978 21:30:00;  4,62
22.05.1978 20:30:00;  7,45
11.06.1978 05:30:00;  7,16
19.07.1978 09:30:00;  24,0
02.08.1978 17:00:00;  14,2
30.09.1978 23:59:55;  5,52
01.10.1978 00:00:00;  5,52
05.11.1978 19:30:00;  2,47
29.12.1978 20:00:00;  3,14
29.01.1979 16:00:00;  5,47
16.02.1979 21:30:00;  8,98
29.03.1979 14:30:00;  11,0
06.04.1979 13:30:00;  7,26
03.05.1979 13:30:00;  8,56
28.06.1979 15:00:00;  22,7
22.07.1979 16:00:00;  54,3
08.08.1979 17:00:00;  12,4
24.09.1979 15:30:00;  26,6
05.10.1979 14:00:00;  3,34
18.11.1979 20:00:00;  26,6
03.12.1979 14:00:00;  5,05
31.01.1980 09:30:00;  3,34
01.02.1980 09:00:00;  2,78
27.03.1980 07:00:00;  3,08
08.04.1980 10:30:00;  3,70
07.05.1980 20:00:00;  6,98
27.06.1980 05:00:00;  27,2
02.07.1980 13:30:00;  5,36
16.08.1980 20:00:00;  26,5
10.09.1980 11:00:00;  7,01
09.10.1980 02:00:00;  49,8
27.11.1980 06:30:00;  6,11
05.12.1980 12:00:00;  4,84
02.01.1981 08:30:00;  3,36
03.02.1981 08:30:00;  3,18
15.03.1981 12:00:00;  4,14
07.04.1981 19:00:00;  2,98
18.05.1981 23:30:00;  4,64
17.06.1981 23:00:00;  6,52
19.07.1981 09:00:00;  38,4
21.08.1981 09:30:00;  9,90
29.09.1981 07:30:00;  12,7
22.10.1981 18:00:00;  9,16
01.11.1981 07:00:00;  4,33
21.12.1981 17:30:00;  1,63
02.01.1982 00:30:00;  7,21
07.02.1982 12:00:00;  3,18
02.03.1982 11:30:00;  5,39
09.04.1982 10:00:00;  5,03
29.05.1982 02:00:00;  9,93
03.06.1982 10:00:00;  5,88
23.07.1982 21:30:00;  14,0
07.08.1982 01:30:00;  16,5
24.09.1982 01:00:00;  25,2
06.10.1982 21:30:00;   138
14.11.1982 09:30:00;  7,91
11.12.1982 02:00:00;  7,26
18.01.1983 03:00:00;  5,36
14.02.1983 07:00:00;  2,93
09.03.1983 15:00:00;  2,98
24.04.1983 21:00:00;  3,40
24.05.1983 15:30:00;  21,7
06.06.1983 16:30:00;  9,56
08.07.1983 17:30:00;  12,0
29.08.1983 17:30:00;  8,37
17.09.1983 05:00:00;  14,9
17.10.1983 13:30:00;  3,26
28.11.1983 12:00:00;  2,03
20.12.1983 15:00:00;  2,76
04.01.1984 03:45:00;  3,52
07.02.1984 17:58:55;  1,04
30.03.1984 11:45:00;  6,09
03.04.1984 20:15:00;  11,8
21.05.1984 06:45:00;  7,14
22.06.1984 00:00:00;  13,0
15.07.1984 18:30:00;  5,95
10.08.1984 01:15:00;  92,4
24.09.1984 07:15:00;  14,9
02.10.1984 18:15:00;  16,2
11.11.1984 15:00:00;  3,44
20.12.1984 20:30:00;  2,58
24.01.1985 11:30:00;  1,30
02.02.1985 23:45:00;  4,67
28.03.1985 01:30:00;  10,1
02.04.1985 17:15:00;  6,11
07.05.1985 18:00:00;  80,9
09.06.1985 01:00:00;  18,7
19.07.1985 15:45:00;  30,2
18.08.1985 08:30:00;  13,4
01.09.1985 22:15:00;  5,00
24.10.1985 06:15:00;  1,77
02.11.1985 01:45:00;  2,29
03.12.1985 19:15:00;  5,11
25.01.1986 20:15:00;  2,59
02.02.1986 13:45:00;  1,41
30.03.1986 00:15:00;  8,75
10.04.1986 03:00:00;  10,6
30.05.1986 00:45:00;  10,1
15.06.1986 21:00:00;  39,6
24.07.1986 19:00:00;  4,17
28.08.1986 18:30:00;  11,1
10.09.1986 11:30:00;  5,46
20.10.1986 06:00:00;  2,11
23.11.1986 22:45:00;  4,05
20.12.1986 19:30:00;  1,89
02.01.1987 14:30:00;  1,45
16.02.1987 18:15:00;  3,96
28.03.1987 23:15:00;  15,9
10.04.1987 14:00:00;  6,96
06.05.1987 10:00:00;  16,3
24.06.1987 15:45:00;  5,40
13.07.1987 20:30:00;  13,7
04.08.1987 22:30:00;  18,8
06.09.1987 14:15:00;  6,08
12.10.1987 04:30:00;  3,54
30.11.1987 23:30:00;  7,11
01.12.1987 12:00:00;  7,11
07.01.1988 12:15:00;  3,54
13.02.1988 14:45:00;  2,44
23.03.1988 14:30:00;  2,12
29.04.1988 08:00:00;  6,22
17.05.1988 22:45:00;  7,11
06.06.1988 05:00:00;  28,5
08.07.1988 15:15:00;  17,0
21.08.1988 10:45:00;  23,1
13.09.1988 23:15:00;  23,0
21.10.1988 12:30:00;  4,65
01.11.1988 04:45:00;  2,52
20.12.1988 00:30:00;  3,75
23.01.1989 15:00:00;  3,75
19.02.1989 21:45:00;  3,75
23.03.1989 14:45:00;  2,78
15.04.1989 02:00:00;  10,5
20.05.1989 17:15:00;  13,8
22.06.1989 13:45:00;  26,5
05.07.1989 01:00:00;  80,1
17.08.1989 21:45:00;  47,5
28.09.1989 10:30:00;  42,6
01.10.1989 00:00:00;  8,70
06.11.1989 15:45:00;  5,36
19.12.1989 19:15:00;  1,48
26.01.1990 16:15:00;  1,61
15.02.1990 21:00:00;  1,75
28.03.1990 09:15:00;  3,91
21.04.1990 17:45:00;  7,07
07.05.1990 14:30:00;  8,03
28.06.1990 19:15:00;  46,7
02.07.1990 15:00:00;  14,7
07.08.1990 11:30:00;  7,38
24.09.1990 08:15:00;  4,80
08.10.1990 10:00:00;  7,54
01.11.1990 13:45:00;  12,0
01.12.1990 00:00:00;  3,00
17.01.1991 14:45:00;  2,37
26.02.1991 16:30:00;  2,09
26.03.1991 03:45:00;  5,54
17.04.1991 07:15:00;  5,28
11.05.1991 12:30:00;  46,6
26.06.1991 16:15:00;  21,1
31.07.1991 20:15:00;  52,0
18.08.1991 15:00:00;  62,6
23.09.1991 13:00:00;  8,20
01.10.1991 02:15:00;  5,04
25.11.1991 03:45:00;  19,0
01.12.1991 00:00:00;  5,28
01.01.1992 22:00:00;  4,35
16.02.1992 18:15:00;  2,23
25.03.1992 16:45:00;  3,17
29.04.1992 16:45:00;  8,89
01.05.1992 00:00:00;  5,54
03.06.1992 20:45:00;  45,8
05.07.1992 18:45:00;  33,9
04.08.1992 17:30:00;  10,9
29.09.1992 20:00:00;  10,9
05.10.1992 23:15:00;  72,8
03.11.1992 23:15:00;  22,3
05.12.1992 21:15:00;  18,4
08.01.1993 14:15:00;  2,83
05.02.1993 13:45:00;  1,96
17.03.1993 18:15:00;  3,35
29.04.1993 16:45:00;  2,23
04.05.1993 16:30:00;  4,57
06.06.1993 19:30:00;  13,0
20.07.1993 17:00:00;  22,8
25.08.1993 03:00:00;  9,42
30.09.1993 03:30:00;  3,48
23.10.1993 23:00:00;   103
06.11.1993 06:00:00;  7,07
14.12.1993 23:30:00;  5,36
06.01.1994 13:45:00;  4,60
01.02.1994 14:00:00;  2,37
02.03.1994 13:00:00;  2,37
17.04.1994 20:15:00;  3,93
24.05.1994 18:15:00;  6,34
05.06.1994 03:00:00;  3,53
20.07.1994 22:45:00;  7,54
13.08.1994 20:00:00;  10,4
28.09.1994 21:30:00;  25,8
05.10.1994 00:45:00;  9,25
11.11.1994 14:00:00;  20,0
28.12.1994 20:15:00;  3,53
24.01.1995 19:15:00;  3,53
18.02.1995 06:15:00;  3,35
02.03.1995 14:00:00;  6,07
25.04.1995 16:15:00;  8,89
13.05.1995 08:00:00;  6,67
09.06.1995 23:00:00;  7,98
28.07.1995 02:45:00;  24,2
20.08.1995 17:30:00;  11,0
14.09.1995 21:45:00;  36,7
01.10.1995 00:00:00;  3,37
18.11.1995 02:30:00;  1,81
24.12.1995 12:30:00;  3,15
13.01.1996 00:00:00;  2,77
06.02.1996 17:00:00;  1,35
26.03.1996 18:30:00;  6,37
06.04.1996 18:00:00;  23,0
15.05.1996 18:45:00;  20,1
22.06.1996 14:45:00;  11,0
03.07.1996 01:15:00;  11,0
02.08.1996 21:15:00;  10,2
23.09.1996 15:15:00;  32,2
17.10.1996 16:45:00;  10,6
20.11.1996 12:45:00;  6,37
01.12.1996 00:00:00;  2,59
06.01.1997 09:03:40;  1,73
14.02.1997 01:35:45;  1,97
17.03.1997 15:24:00;  3,09
29.04.1997 14:57:20;  4,71
17.05.1997 13:13:55;  4,92
23.06.1997 06:46:35;  28,6
31.07.1997 23:59:55;  13,8
01.08.1997 00:39:15;  22,5
07.09.1997 16:49:45;  13,4
02.10.1997 10:56:35;  2,29
08.11.1997 05:46:10;  5,86
27.12.1997 01:30:00;  6,46
09.01.1998 16:34:25;  2,31
03.02.1998 14:39:25;  1,24
07.03.1998 22:26:25;  2,26
06.04.1998 14:45:05;  3,57
04.05.1998 12:00:40;  3,07
11.06.1998 15:14:40;  5,12
31.07.1998 22:49:45;  28,4
05.08.1998 02:06:05;  29,2
14.09.1998 00:15:15;  18,1
07.10.1998 19:30:05;  43,6
05.11.1998 09:18:10;  8,14
13.12.1998 22:06:45;  4,78
08.01.1999 20:07:50;  3,27
07.02.1999 18:31:35;  3,41
02.03.1999 03:17:45;  3,06
23.04.1999 22:32:10;  5,45
21.05.1999 07:38:25;  10,2
21.06.1999 16:11:35;  28,7
23.07.1999 00:48:30;  75,2
20.08.1999 16:34:35;  51,0
05.09.1999 09:55:00;  21,7
04.10.1999 06:43:30;  18,9
10.11.1999 00:45:00;  3,15
11.12.1999 02:30:00;  3,56
31.01.2000 01:15:00;  2,87
01.02.2000 00:00:00;  2,11
30.03.2000 00:30:00;  10,6
29.04.2000 23:00:00;  7,15
01.05.2000 12:45:00;  8,97
11.06.2000 17:15:00;  18,0
07.07.2000 20:00:00;  11,4
12.08.2000 16:00:00;  7,98
16.09.2000 18:30:00;  4,00
07.10.2000 23:30:00;  17,9
07.11.2000 05:30:00;  11,8
28.12.2000 00:00:00;  6,19
08.01.2001 16:45:00;  13,3
10.02.2001 01:57:30;  1,75
27.03.2001 03:00:00;  4,90
20.04.2001 19:15:00;  5,15
06.05.2001 07:45:00;  7,49
06.06.2001 18:30:00;  5,51
20.07.2001 09:45:00;  54,0
11.08.2001 06:00:00;  3,53
25.09.2001 21:45:00;  5,78
31.10.2001 23:00:00;  2,10
10.11.2001 09:00:00;  2,59
30.12.2001 07:00:00;  2,42
01.01.2002 16:30:00; 0,715
18.02.2002 01:15:00;  1,44
09.03.2002 02:15:00;  1,33
20.04.2002 10:00:00;  6,99
28.05.2002 14:30:00;  4,97
06.06.2002 22:30:00;  6,99
16.07.2002 08:45:00;  40,6
12.08.2002 11:15:00;  56,7
10.09.2002 12:45:00;  8,68
12.10.2002 14:15:00;  5,78
22.11.2002 22:45:00;  2,59
06.12.2002 09:00:00;  28,8
05.01.2003 06:45:00;  2,91
02.02.2003 14:30:00;  2,13
02.03.2003 17:00:00;  1,47
23.04.2003 23:00:00;  1,93
28.05.2003 21:00:00;  11,0
06.06.2003 23:30:00;  2,91
23.07.2003 15:30:00;  13,5
31.08.2003 12:45:05;  14,4
10.09.2003 10:00:00;  3,53
05.10.2003 07:15:00;  7,96
28.11.2003 23:30:00;  12,2
01.12.2003 00:00:00;  6,08
01.01.2004 00:00:00;  3,26
03.02.2004 17:00:00;  2,12
24.03.2004 16:30:10;  8,18
06.04.2004 19:15:00;  6,07
28.05.2004 12:00:00;  10,6
20.06.2004 15:45:00;  28,5
06.07.2004 16:00:00;  29,9
31.08.2004 14:45:00;  12,0
15.09.2004 20:30:00;  20,0
31.10.2004 18:26:00;  5,18
11.11.2004 02:30:00;  11,3
27.12.2004 10:00:00;  5,54
21.01.2005 09:30:00;  2,74
05.02.2005 14:45:00; 0,990
18.03.2005 15:30:00;  6,02
09.04.2005 16:30:00;  4,50
18.05.2005 14:45:05;  6,59
29.06.2005 19:45:00;  8,68
08.07.2005 15:45:00;  22,6
22.08.2005 08:30:00;  86,2
27.09.2005 13:15:00;  13,6
05.10.2005 02:15:00;  74,6
05.11.2005 09:45:00;  2,82
06.12.2005 09:00:00;  2,78
31.01.2006 19:45:00;  1,20
19.02.2006 17:00:00;  2,10
22.03.2006 20:45:00;  7,17
30.04.2006 02:15:00;  10,0
29.05.2006 20:00:05;  19,5
29.06.2006 09:00:00;  31,1
14.07.2006 15:00:00;  13,8
24.08.2006 19:00:00;  11,6
18.09.2006 13:45:00;  12,7
24.10.2006 18:00:00;  9,72
22.11.2006 09:45:00;  2,78
18.12.2006 10:45:00;  1,43
19.01.2007 17:45:00;  3,81
26.02.2007 03:30:00;  1,77
24.03.2007 21:30:00;  3,22
03.04.2007 21:15:00;  5,53
29.05.2007 05:30:00;  16,1
10.06.2007 17:15:00;  19,3
28.07.2007 17:00:00;  12,7
14.08.2007 18:15:00;  14,6
18.09.2007 23:30:00;  10,1
28.10.2007 10:45:00;  5,53
12.11.2007 01:00:00;  1,81
08.12.2007 05:00:00;  3,58
13.01.2008 11:15:00;  1,35
02.02.2008 14:53:00;  1,24
02.03.2008 23:08:00;  1,24
21.04.2008 18:08:00;  3,64
20.05.2008 18:30:00;  4,63
21.06.2008 15:15:00;  11,4
14.07.2008 17:30:00;  10,8
20.08.2008 18:18:00;  15,9
12.09.2008 16:18:00;  7,11
03.10.2008 20:03:00;  4,55
08.11.2008 11:03:00;  3,27
12.12.2008 11:03:00;  7,30
21.01.2009 22:18:00;  3,98
08.02.2009 12:03:00;  7,62
06.03.2009 14:18:00;  9,92
30.04.2009 02:03:00;  9,69
18.05.2009 23:03:00;  13,5
29.06.2009 15:03:00;  26,5
18.07.2009 11:18:00;  64,6
22.08.2009 17:12:00;  47,4
04.09.2009 19:27:00;   102
10.10.2009 20:57:00;  10,8
08.11.2009 20:57:00;  7,45
25.12.2009 20:42:00;  7,64
01.01.2010 00:27:00;  2,54
28.02.2010 18:12:00;  5,16
01.03.2010 17:12:00;  4,79
01.04.2010 22:42:00;  3,82
14.05.2010 21:12:00;  10,4
16.06.2010 09:12:00;  23,6
15.07.2010 20:42:00;  15,1
14.08.2010 23:12:00;  29,3
18.09.2010 09:12:00;  8,22
25.10.2010 14:42:00;  6,09
19.11.2010 11:12:00;  6,25
09.12.2010 11:14:00;  7,42
11.01.2011 15:29:00;  3,17
12.02.2011 14:59:00;  2,16
17.03.2011 11:59:00;  7,59
30.04.2011 12:29:00;  3,00
01.05.2011 11:59:00;  4,44
19.06.2011 06:14:00;  10,0
24.07.2011 12:14:00;  3,53
03.08.2011 22:29:00;  16,0
19.09.2011 19:59:00;  21,9
07.10.2011 10:44:00;  8,25
01.11.2011 08:59:00;  2,03
17.12.2011 00:14:00;  1,83
05.01.2012 20:23:00;  1,48
25.02.2012 18:53:00;  1,92
01.03.2012 00:00:00;  1,61
12.04.2012 03:23:00;  2,61
22.05.2012 15:08:00;  14,0
21.06.2012 21:53:00;  7,54
15.07.2012 12:08:00;  35,3
03.08.2012 14:23:00;  9,83
13.09.2012 02:38:00;  12,8
16.10.2012 07:53:00;  13,5
05.11.2012 11:53:00;  22,5
01.12.2012 00:00:00;  3,59
05.01.2013 05:38:00;  2,96
26.02.2013 20:08:00;  8,29
10.03.2013 19:08:00;  9,53
19.04.2013 23:23:00;  11,7
07.05.2013 15:08:00;  11,8
10.06.2013 18:38:00;  8,94
07.07.2013 16:15:00;  4,47
24.08.2013 00:45:00;  23,8
10.09.2013 23:18:00;  3,20
30.10.2013 05:48:00;  7,96
24.11.2013 10:48:00;  33,1
01.12.2013 01:18:00;  5,32
05.01.2014 21:03:00;  3,09
20.02.2014 03:18:00;  11,9
03.03.2014 22:18:00;  3,59
05.04.2014 16:33:00;  8,81
11.05.2014 22:33:00;  14,8
30.06.2014 07:18:00;  6,61
28.07.2014 15:52:00;  10,1
02.08.2014 13:20:30;  19,5
13.09.2014 06:50:30;  39,9
22.10.2014 01:05:30;  5,77
18.11.2014 12:50:30;  13,0
07.12.2014 18:35:30;  6,00
10.01.2015 13:05:30;  3,92
22.02.2015 20:50:30;  2,03
27.03.2015 10:05:30;  2,80
02.04.2015 18:30:00;  1,77
23.05.2015 04:00:00;  5,32
23.06.2015 13:52:45;  4,61
08.07.2015 17:37:45;  14,2
19.08.2015 17:37:45;  6,46
02.09.2015 15:22:45;  6,96
15.10.2015 14:37:45;  12,4
01.11.2015 00:52:45;  2,51
01.12.2015 12:52:45;  1,57
12.01.2016 00:22:00;  3,00
29.02.2016 12:30:00;  4,14
01.03.2016 00:00:00;  2,85
27.04.2016 08:30:00;  1,98
02.05.2016 08:45:00;  5,10
27.06.2016 07:15:00;  22,4
30.07.2016 17:30:00;  43,8
05.08.2016 17:30:00;  29,6
04.09.2016 16:30:00;  9,85
19.10.2016 19:45:15;  6,75
06.11.2016 20:15:15;  11,7
01.12.2016 02:30:15;  1,30
01.01.2017 14:15:15;  1,04
06.02.2017 12:26:00;  7,59
01.03.2017 02:11:00;  1,01
28.04.2017 08:33:45;  4,66
22.05.2017 18:33:45;  4,17
24.06.2017 23:58:45;  2,58
24.07.2017 12:58:45;  6,82
06.08.2017 17:58:45;  17,1
19.09.2017 11:45:00;  13,9
22.10.2017 14:45:00;  4,77
08.11.2017 12:30:00;  5,86
13.12.2017 01:15:00;  2,55
09.01.2018 19:45:00;  1,91
26.02.2018 13:30:00;  2,02
17.03.2018 17:00:00;  5,67
26.04.2018 20:00:00;  13,1
15.05.2018 09:15:00;  33,2
08.06.2018 18:45:00;  19,8
05.07.2018 17:45:00;  14,1
11.08.2018 00:00:00;  20,1
01.09.2018 13:15:00;  14,3
30.10.2018 02:00:00;  10,1
26.11.2018 13:45:00;  7,33
01.12.2018 00:00:00;  3,01
02.01.2019 13:00:00;  1,77
03.02.2019 08:15:00;  4,62
04.03.2019 22:30:00;  1,88
11.04.2019 15:00:00;  4,31
30.05.2019 07:45:00;  7,68
11.06.2019 18:45:00;  9,73
18.07.2019 00:30:00;  12,5
24.08.2019 16:00:00;  49,3
01.09.2019 16:15:00;  20,9
02.10.2019 17:00:00;  5,09
13.11.2019 15:30:00;  15,4
21.12.2019 17:30:00;  5,26
01.01.2020 00:45:00;  1,88
04.02.2020 10:00:00;  1,88
06.03.2020 14:45:00;  1,45
20.04.2020 03:00:00;  3,28
02.05.2020 22:45:00;  1,35
29.06.2020 15:00:00;  8,02
11.07.2020 17:45:00;  9,15
22.08.2020 18:30:00;  24,2
25.09.2020 23:15:00;  13,2
11.10.2020 21:45:00;  9,75
16.11.2020 14:45:00;  3,42
07.12.2020 04:30:00;  6,08
23.01.2021 22:00:00;  2,98
08.02.2021 12:45:00;  3,70
14.03.2021 08:15:00;  1,99
12.04.2021 19:00:00;  2,73
27.05.2021 17:30:00;  5,16
25.06.2021 20:00:00;  6,97
17.07.2021 14:15:00;  3,41
01.08.2021 08:45:00;  7,36
29.09.2021 14:30:00;  2,21
06.10.2021 12:00:00;  4,93
02.11.2021 03:15:00;  3,69
02.12.2021 15:45:00;  2,21
