Messstelle:                ;Rohrbach an der Lafnitz
17.10.1975 12:00:00;  11,4
18.11.1975 12:00:00;  9,60
18.12.1975 12:00:00;  9,00
12.01.1976 03:00:00;  10,5
29.02.1976 20:00:00;  6,82
01.03.1976 19:00:00;  8,49
24.04.1976 20:00:00;  20,6
20.05.1976 18:00:00;  9,82
07.06.1976 10:00:00;  3,46
31.07.1976 19:00:00;  6,50
27.08.1976 19:00:00;  8,37
11.09.1976 00:00:00;  7,55
30.10.1976 23:00:00;  8,05
08.11.1976 03:00:00;  3,06
02.12.1976 17:00:00;  25,2
29.01.1977 23:00:00;  10,0
11.02.1977 03:00:00;  12,7
04.03.1977 03:00:00;  13,1
09.04.1977 05:00:00;  5,26
14.05.1977 14:00:00;  8,66
22.06.1977 00:00:00;  16,5
14.07.1977 18:00:00;  20,5
13.08.1977 11:00:00;  7,52
14.09.1977 00:10:05;  2,17
29.10.1977 17:00:00;  1,62
13.11.1977 20:00:00;  1,56
13.12.1977 14:00:00;  3,33
28.01.1978 15:00:00;  1,67
27.02.1978 17:00:00;  8,60
02.03.1978 19:00:00;  4,49
12.04.1978 14:00:00;  1,85
19.05.1978 21:00:00;  9,58
07.06.1978 14:00:00;  40,9
05.07.1978 16:00:00;  26,5
02.08.1978 17:00:00;  16,5
30.09.1978 23:59:55;  3,25
01.10.1978 01:00:00;  3,79
01.11.1978 00:00:00;  1,28
11.12.1978 00:00:05;  1,75
28.01.1979 23:00:00;  3,93
15.02.1979 13:00:00;  10,6
16.03.1979 23:00:00;  13,1
27.04.1979 14:00:00;  7,57
02.05.1979 21:00:00;  8,46
26.06.1979 14:00:00;   133
13.07.1979 19:00:00;  16,2
03.08.1979 18:00:00;   124
24.09.1979 15:00:00;  13,8
01.10.1979 00:00:00;  3,06
15.11.1979 19:00:00;  20,3
01.12.1979 00:00:00;  3,50
05.01.1980 13:00:00;  7,85
04.02.1980 18:00:00;  3,87
26.03.1980 19:00:00;  3,81
02.04.1980 13:00:00;  2,37
09.05.1980 17:00:00;  5,84
24.06.1980 06:00:00;  8,22
29.07.1980 16:00:00;  44,3
12.08.1980 13:00:00;  4,18
10.09.1980 15:00:00;  2,51
13.10.1980 04:00:00;  39,6
06.11.1980 16:00:00;  3,67
10.12.1980 15:00:00;  4,37
08.01.1981 14:00:00;  6,49
08.02.1981 21:00:00;  3,85
09.03.1981 19:00:00;  4,50
27.04.1981 17:00:00;  3,29
17.05.1981 19:00:00;  10,9
08.06.1981 17:00:00;  6,64
25.07.1981 01:00:00;  7,56
03.08.1981 17:00:00;  10,4
14.09.1981 00:00:00;   124
22.10.1981 20:00:00;  36,2
03.11.1981 12:00:00;  4,50
30.12.1981 02:00:00;  4,15
31.01.1982 20:00:00;  22,6
01.02.1982 00:00:00;  20,6
19.03.1982 08:00:00;  7,03
01.04.1982 00:00:00;  5,68
29.05.1982 05:30:00;  8,45
26.06.1982 20:30:00;  30,9
18.07.1982 19:00:00;  16,1
17.08.1982 15:00:00;  86,3
08.09.1982 06:00:00;  6,69
06.10.1982 20:00:00;   171
14.11.1982 06:00:00;  8,42
18.12.1982 16:00:00;  6,24
17.01.1983 15:45:00;  5,56
19.02.1983 13:00:00;  3,87
22.03.1983 14:45:00;  3,92
03.04.1983 13:30:00;  3,90
24.05.1983 18:30:00;  3,71
26.06.1983 11:30:00;  19,5
24.07.1983 16:45:00;  29,0
03.08.1983 01:15:00;  4,15
03.09.1983 20:15:00;  7,35
17.10.1983 10:15:00;  6,14
15.11.1983 10:45:00;  3,59
20.12.1983 11:45:00;  9,55
27.01.1984 15:15:00;  4,50
11.02.1984 23:45:00;  1,12
28.03.1984 18:00:00;  6,53
03.04.1984 04:45:00;  19,2
21.05.1984 05:30:00;  17,6
21.06.1984 16:00:00;  16,1
02.07.1984 16:45:00;  2,99
11.08.1984 17:00:00;  6,73
24.09.1984 02:15:00;  7,75
04.10.1984 05:30:00;  5,95
20.11.1984 12:00:00;  1,97
18.12.1984 17:30:00;  1,80
01.01.1985 14:30:00;  2,48
02.02.1985 09:15:00;  31,0
22.03.1985 22:15:00;  16,0
01.04.1985 16:15:00;  6,77
07.05.1985 16:00:00;  27,5
11.06.1985 00:45:00;  4,86
19.07.1985 15:45:00;  8,63
07.08.1985 03:45:00;  34,6
04.09.1985 06:15:00;  3,06
11.10.1985 12:45:00;  1,86
02.11.1985 07:30:00;  2,57
29.12.1985 23:45:00;  2,73
30.01.1986 16:30:00;  4,84
05.02.1986 12:45:00;  2,82
28.03.1986 19:30:00;  7,61
07.04.1986 18:15:00;  11,9
30.05.1986 18:15:00;  34,7
21.06.1986 15:30:00;  25,7
24.07.1986 17:45:00;  5,69
01.08.1986 18:00:00;  41,9
10.09.1986 13:00:00;  5,02
05.10.1986 11:00:00;  1,96
24.11.1986 02:30:00;  8,68
17.12.1986 23:50:00;  1,92
05.01.1987 12:15:00;  3,60
15.02.1987 03:30:00;  18,0
28.03.1987 23:00:00;  11,9
04.04.1987 18:45:00;  5,90
03.05.1987 21:30:00;  8,93
04.06.1987 17:30:00;  17,6
03.07.1987 17:00:00;  52,7
18.08.1987 20:15:00;  47,5
02.09.1987 17:30:00;  49,2
12.10.1987 09:00:00;  3,83
25.11.1987 06:30:00;  5,30
18.12.1987 09:15:00;  7,51
07.01.1988 13:45:00;  3,79
08.02.1988 03:45:00;  3,06
31.03.1988 17:00:00;  3,79
10.04.1988 04:45:00;  3,60
20.05.1988 14:15:00;  8,12
06.06.1988 07:00:00;  12,8
18.07.1988 18:45:00;  4,38
17.08.1988 01:45:00;  13,8
03.09.1988 02:15:00;  5,90
06.10.1988 10:00:00;  3,06
15.11.1988 00:00:00;  2,04
02.12.1988 17:15:00;  5,44
01.01.1989 00:00:00;  1,89
25.02.1989 21:15:00;  7,28
03.03.1989 21:00:00;  2,06
15.04.1989 01:45:00;  5,58
18.05.1989 20:00:00;  4,80
04.06.1989 17:00:00;  19,7
11.07.1989 22:45:00;  36,5
18.08.1989 00:15:00;  49,7
27.09.1989 23:00:00;  37,7
01.10.1989 00:00:00;  3,74
06.11.1989 21:30:00;  10,2
11.12.1989 14:00:00;  2,83
29.01.1990 20:00:00;  2,11
15.02.1990 21:00:00;  2,83
28.03.1990 12:45:00;  2,72
23.04.1990 17:15:00;  6,95
25.05.1990 20:30:00;  15,1
18.06.1990 19:00:00;  19,2
01.07.1990 14:00:00;  9,06
17.08.1990 19:00:00;  5,09
24.09.1990 11:00:00;  4,80
28.10.1990 00:30:00;  5,54
27.11.1990 18:15:00;  4,52
10.12.1990 12:00:00;  7,62
30.01.1991 11:00:00;  2,53
24.02.1991 20:45:00;  9,02
05.03.1991 18:30:00;  2,32
06.04.1991 20:30:00;  1,94
03.05.1991 23:15:00;  11,7
28.06.1991 01:00:00;  8,88
31.07.1991 23:30:00;  29,1
01.08.1991 00:00:00;  26,5
23.09.1991 13:00:00;  9,74
08.10.1991 18:15:00;  8,76
17.11.1991 21:00:00;  21,6
01.12.1991 00:00:00;  5,67
11.01.1992 02:30:00;  3,36
06.02.1992 20:45:00;  3,23
27.03.1992 17:15:00;  4,45
30.04.1992 06:15:00;  4,09
10.05.1992 19:30:00;  4,75
03.06.1992 22:45:00;  18,0
07.07.1992 11:30:00;  7,03
04.08.1992 14:00:00;  18,8
01.09.1992 10:30:00;  7,29
04.10.1992 21:45:00;  10,1
23.11.1992 01:45:00;  5,65
05.12.1992 20:30:00;  29,4
09.01.1993 05:00:00;  4,37
06.02.1993 14:15:00;  3,48
18.03.1993 16:15:00;  2,55
14.04.1993 01:15:00;  2,14
15.05.1993 16:00:00;  2,74
23.06.1993 23:00:00;  19,0
20.07.1993 19:00:00;  5,85
25.08.1993 07:30:00;  4,50
29.09.1993 18:15:00;  3,82
23.10.1993 23:30:00;  59,3
06.11.1993 07:00:00;  12,4
23.12.1993 08:45:00;  3,23
05.01.1994 03:15:00;  3,36
16.02.1994 13:00:00;  4,90
25.03.1994 09:00:00;  2,24
18.04.1994 08:30:00;  3,36
24.05.1994 23:00:00;  4,90
20.06.1994 14:45:00;  6,95
19.07.1994 13:45:00;  50,9
22.08.1994 16:45:00;  17,1
03.09.1994 07:30:00;  9,15
24.10.1994 18:45:00;  4,02
11.11.1994 13:45:00;  3,23
21.12.1994 11:15:00;  2,34
01.01.1995 00:30:00;  1,61
08.02.1995 20:45:00;  2,44
20.03.1995 04:45:00;  4,94
25.04.1995 14:00:00;  4,45
13.05.1995 15:45:00;  3,61
21.06.1995 18:30:00;  61,2
14.07.1995 15:15:00;  17,8
08.08.1995 16:00:00;  14,4
15.09.1995 02:45:00;  7,72
01.10.1995 10:00:00;  2,85
23.11.1995 13:15:00;  2,73
30.12.1995 16:15:00;  4,31
09.01.1996 07:30:00;  2,88
16.02.1996 11:15:00;  2,34
25.03.1996 18:15:00;  7,47
07.04.1996 18:00:00;  13,9
12.05.1996 21:45:00;  24,2
22.06.1996 18:15:00;  15,6
06.07.1996 18:00:00;  10,4
25.08.1996 07:45:00;  19,7
23.09.1996 14:15:00;  13,5
17.10.1996 00:00:00;  25,9
18.11.1996 18:45:00;  7,12
27.12.1996 12:45:00;  6,45
01.01.1997 00:00:00;  1,91
12.02.1997 22:27:55;  3,61
17.03.1997 18:23:20;  4,44
06.04.1997 12:57:30;  3,32
24.05.1997 19:50:20;  4,95
17.06.1997 01:28:50;  32,4
23.07.1997 21:50:15;  34,5
19.08.1997 01:37:30;  30,4
07.09.1997 17:08:40;  22,5
02.10.1997 11:56:50;  3,25
12.11.1997 20:29:05;  3,73
20.12.1997 19:51:05;  10,5
01.01.1998 00:00:00;  2,30
09.02.1998 12:17:10;  1,76
18.03.1998 12:06:45;  1,91
06.04.1998 18:04:20;  3,21
31.05.1998 19:42:00;  12,5
27.06.1998 20:18:45;  12,6
27.07.1998 21:20:30;  22,4
05.08.1998 01:53:50;  39,2
06.09.1998 00:49:35;  89,5
12.10.1998 19:49:00;  5,19
11.11.1998 00:01:45;  4,01
26.12.1998 12:13:25;  2,24
04.01.1999 18:31:50;  1,69
05.02.1999 17:36:05;  2,56
02.03.1999 20:28:00;  2,67
22.04.1999 15:43:30;  6,39
21.05.1999 03:22:40;  31,4
16.06.1999 14:25:40;  10,7
11.07.1999 06:28:40;  12,7
17.08.1999 00:06:45;  29,0
07.09.1999 13:58:25;  58,5
04.10.1999 05:15:15;  5,11
01.11.1999 06:02:50;  2,51
11.12.1999 03:58:15;  2,99
30.01.2000 19:54:50;  7,45
01.02.2000 16:49:00;  4,87
29.03.2000 22:04:00;  28,9
01.04.2000 19:02:00;  6,72
11.05.2000 15:31:55;  4,91
06.06.2000 14:29:35;  15,4
07.07.2000 20:53:30;  5,63
06.08.2000 04:54:40;  21,2
16.09.2000 20:47:15;  9,94
01.10.2000 22:20:55;  4,13
01.11.2000 07:53:30;  6,39
28.12.2000 09:02:55;  6,43
08.01.2001 17:04:10;  6,56
10.02.2001 03:37:50;  2,17
25.03.2001 22:09:55;  4,58
08.04.2001 13:45:20;  3,25
18.05.2001 18:37:10;  2,65
28.06.2001 17:08:05;  4,08
10.07.2001 19:52:05;  4,18
31.08.2001 23:59:55;  1,40
14.09.2001 21:22:50;  4,60
01.10.2001 04:34:15;  1,15
13.11.2001 11:14:05;  1,07
06.12.2001 18:53:05;  1,43
28.01.2002 16:30:00;  1,18
07.02.2002 16:45:00;  1,05
21.03.2002 02:30:00;  1,77
22.04.2002 18:15:00;  1,32
19.05.2002 14:45:00;  8,86
07.06.2002 03:30:00;  9,95
16.07.2002 10:15:00;  8,52
12.08.2002 02:00:00;  32,3
10.09.2002 12:30:00;  5,87
18.10.2002 08:15:00;  8,51
22.11.2002 22:15:00;  9,19
06.12.2002 11:00:00;  6,62
04.01.2003 12:15:00;  2,25
07.02.2003 09:30:00;  1,75
02.03.2003 22:00:00;  1,89
02.04.2003 21:30:00;  1,73
13.05.2003 01:45:00;  3,84
15.06.2003 02:30:00;  4,27
18.07.2003 01:30:00;  2,82
31.08.2003 14:00:00;  4,40
10.09.2003 00:00:00;  3,46
05.10.2003 07:45:00;  4,76
02.11.2003 13:50:10;  3,63
31.12.2003 18:15:00;  4,10
01.01.2004 00:15:05;  3,35
03.02.2004 15:30:10;  6,33
17.03.2004 17:00:00;  4,70
20.04.2004 15:30:00;  3,28
28.05.2004 17:15:00;  5,10
12.06.2004 20:15:00;  14,1
22.07.2004 16:30:00;   159
30.08.2004 03:51:35;  4,57
15.09.2004 14:00:40;  4,51
10.10.2004 11:30:00;  6,61
11.11.2004 11:45:00;  2,67
26.12.2004 18:00:00;  16,0
21.01.2005 09:36:55;  4,91
19.02.2005 04:52:00;  1,98
18.03.2005 16:07:00;  26,0
28.04.2005 01:37:00;  6,87
18.05.2005 17:22:00;  13,5
04.06.2005 20:07:00;  4,35
24.07.2005 15:22:00;  18,8
21.08.2005 22:52:00;  28,9
27.09.2005 18:37:00;  5,90
18.10.2005 12:37:00;  3,64
27.11.2005 12:22:00;  4,55
05.12.2005 18:37:00;  3,03
06.01.2006 16:37:00;  1,67
21.02.2006 00:07:30;  3,38
29.03.2006 03:52:30;  8,48
01.04.2006 00:52:30;  5,34
20.05.2006 10:07:35;  7,70
03.06.2006 02:37:30;  20,4
08.07.2006 16:07:30;  15,5
20.08.2006 20:07:30;  11,2
17.09.2006 03:07:30;  3,84
24.10.2006 23:37:30;  3,97
22.11.2006 16:07:30;  2,72
10.12.2006 01:22:30;  2,13
19.01.2007 23:22:00;  4,70
26.02.2007 05:37:00;  2,11
19.03.2007 09:58:00;  3,19
03.04.2007 22:10:00;  1,84
04.05.2007 01:28:00;  4,46
19.06.2007 14:43:00;  24,9
09.07.2007 21:13:00;  11,2
14.08.2007 20:28:00;  16,2
07.09.2007 10:58:00;  44,0
28.10.2007 18:13:00;  6,33
12.11.2007 00:28:00;  3,43
09.12.2007 22:28:00;  4,33
27.01.2008 19:28:00;  2,85
08.02.2008 15:43:00;  2,19
16.03.2008 21:16:00;  2,98
21.04.2008 22:31:00;  5,39
24.05.2008 17:27:00;  27,4
26.06.2008 22:27:00;  42,7
23.07.2008 18:57:00;  22,6
04.08.2008 18:42:00;  36,9
12.09.2008 19:27:00;  14,8
04.10.2008 00:27:00;  3,55
08.11.2008 07:12:00;  4,97
18.12.2008 13:27:00;  7,72
21.01.2009 23:57:00;  10,9
08.02.2009 12:27:00;  25,7
05.03.2009 16:27:00;  15,8
02.04.2009 20:42:00;  5,78
16.05.2009 19:12:00;  11,5
25.06.2009 19:57:00;  18,6
18.07.2009 14:15:00;  35,8
27.08.2009 18:00:00;  37,7
04.09.2009 21:00:00;  24,8
11.10.2009 03:30:00;  8,90
08.11.2009 23:15:00;  6,31
01.12.2009 18:45:00;  11,1
09.01.2010 19:00:00;  3,66
26.02.2010 18:30:00;  8,03
01.03.2010 20:00:00;  5,13
14.04.2010 20:01:25;  3,22
30.05.2010 19:16:25;  5,54
13.06.2010 23:16:25;  53,9
13.07.2010 14:31:00;  26,5
15.08.2010 02:01:00;   187
26.09.2010 04:46:00;  24,7
17.10.2010 23:16:00;  6,80
22.11.2010 05:31:00;  19,0
25.12.2010 04:46:00;  11,7
08.01.2011 10:31:00;  4,90
12.02.2011 12:31:00;  3,59
17.03.2011 04:01:00;  14,6
28.04.2011 22:16:00;  4,72
21.05.2011 14:14:00;  10,5
23.06.2011 20:29:00;  59,4
28.07.2011 18:44:00;  8,02
27.08.2011 22:14:00;  12,6
01.09.2011 18:29:00;  20,0
07.10.2011 10:29:00;  9,98
01.11.2011 08:59:00;  1,76
17.12.2011 02:34:00;  1,92
22.01.2012 09:49:00;  1,87
24.02.2012 21:49:00;  6,15
01.03.2012 12:19:00;  3,42
12.04.2012 08:04:00;  4,53
04.05.2012 12:34:00;  6,49
20.06.2012 23:22:00;  39,3
25.07.2012 07:45:00;  40,6
03.08.2012 15:45:00;  76,9
13.09.2012 00:30:00;  23,3
16.10.2012 02:45:00;  10,1
05.11.2012 09:45:00;  81,1
02.12.2012 16:00:00;  3,19
27.01.2013 16:00:00;  3,93
26.02.2013 18:00:00;  10,8
09.03.2013 22:45:00;  16,9
12.04.2013 19:15:00;  11,8
06.05.2013 08:30:00;  37,3
08.06.2013 13:30:00;  13,6
02.07.2013 17:45:00;  6,62
27.08.2013 23:00:00;  26,7
17.09.2013 01:45:00;  24,7
11.10.2013 11:00:00;  15,1
09.11.2013 20:30:00;  16,8
27.12.2013 06:00:00;  6,71
05.01.2014 23:30:05;  3,53
09.02.2014 15:45:00;  8,01
24.03.2014 00:30:00;  6,21
09.04.2014 01:15:00;  7,50
16.05.2014 07:45:05;  61,1
12.06.2014 16:45:05;  13,4
22.07.2014 23:30:00;  14,9
11.08.2014 18:15:05;  49,3
13.09.2014 06:30:00;  21,9
22.10.2014 00:45:00;  12,6
18.11.2014 07:45:00;  21,5
07.12.2014 15:30:00;  6,75
10.01.2015 15:15:00;  7,89
01.02.2015 11:30:00;  3,73
26.03.2015 00:30:00;  4,79
28.04.2015 16:15:00;  4,48
13.05.2015 20:30:00;  13,3
09.06.2015 15:30:00;  8,94
08.07.2015 16:15:00;  21,6
17.08.2015 05:15:00;  5,86
14.09.2015 22:30:00;  4,18
15.10.2015 19:15:00;  9,29
16.11.2015 08:30:00;  1,91
28.12.2015 16:45:00;  1,44
11.01.2016 23:15:00;  3,48
19.02.2016 04:45:00;  4,37
01.03.2016 19:00:00;  3,32
24.04.2016 01:15:00;  2,60
27.05.2016 23:00:00;  88,6
26.06.2016 01:45:00;  58,2
02.07.2016 21:00:00;  75,8
15.08.2016 14:00:00;   142
04.09.2016 23:00:00;  16,2
20.10.2016 05:00:00;  7,12
06.11.2016 21:00:00;  23,4
07.12.2016 14:45:00;  3,14
07.01.2017 13:30:00;  2,75
06.02.2017 11:00:05;  10,2
01.03.2017 04:30:00;  2,63
28.04.2017 15:15:00;  4,70
12.05.2017 17:45:00;  4,00
02.06.2017 20:15:00;  7,25
09.07.2017 17:15:00;  23,4
10.08.2017 21:30:00;  88,3
17.09.2017 16:15:00;  9,96
22.10.2017 17:15:00;  3,77
08.11.2017 15:45:00;  2,89
12.12.2017 00:45:00;  3,94
10.01.2018 13:00:00;  2,52
02.02.2018 00:45:00;  2,19
30.03.2018 02:00:00;  4,68
26.04.2018 18:45:00;  10,8
25.05.2018 20:30:00;  20,4
01.06.2018 13:45:00;  80,2
05.07.2018 15:45:00;  7,12
24.08.2018 13:45:00;  15,9
01.09.2018 07:00:00;  38,0
27.10.2018 17:45:00;  5,41
26.11.2018 16:15:00;  8,41
24.12.2018 12:45:00;  3,42
14.01.2019 23:30:00;  2,29
03.02.2019 19:00:00;  5,76
06.03.2019 10:15:00;  2,64
30.04.2019 22:45:00;  9,40
11.05.2019 23:00:00;  7,51
21.06.2019 21:00:00;  28,1
31.07.2019 22:45:00;  32,3
01.08.2019 00:00:00;  17,3
09.09.2019 01:30:00;  16,9
02.10.2019 17:45:00;  3,57
13.11.2019 15:45:00;  24,5
21.12.2019 18:15:00;  12,3
05.01.2020 10:45:00;  2,01
05.02.2020 23:15:00;  1,91
04.03.2020 16:15:00;  4,37
29.04.2020 12:15:00;  1,56
24.05.2020 02:15:00;  1,49
14.06.2020 11:30:00;  33,2
07.07.2020 00:30:00;  43,7
17.08.2020 14:00:00;  71,0
25.09.2020 23:30:00;  24,8
12.10.2020 01:15:00;  19,9
04.11.2020 11:00:00;  3,51
07.12.2020 09:00:00;  5,39
23.01.2021 17:30:00;  6,34
08.02.2021 02:00:00;  6,59
01.03.2021 00:15:00;  3,65
12.04.2021 21:00:00;  4,18
17.05.2021 11:15:00;  5,86
21.06.2021 17:30:00;  7,51
17.07.2021 16:00:00;  19,3
22.08.2021 15:15:00;  11,1
17.09.2021 04:45:00;  2,40
07.10.2021 11:30:00;  1,63
02.11.2021 06:30:00;  4,48
20.12.2021 13:30:00;  1,49
