Messstelle:                ;Wiener Neustadt (Reitweg)
20.01.1986 05:45:00; 0,408
05.02.1986 10:15:00; 0,254
27.03.1986 02:15:00; 0,321
02.04.1986 09:15:00; 0,305
28.05.1986 21:30:00; 0,254
25.06.1986 08:15:00; 0,321
09.07.1986 07:15:00; 0,337
06.08.1986 08:15:00; 0,369
18.09.1986 08:30:00; 0,150
15.10.1986 09:30:00; 0,173
05.11.1986 10:30:00; 0,175
03.12.1986 11:00:00; 0,184
11.01.1987 16:00:00;  1,13
01.02.1987 04:15:00; 0,477
26.03.1987 00:00:00; 0,603
01.04.1987 00:00:00; 0,424
27.05.1987 08:15:00; 0,451
03.06.1987 08:45:00; 0,451
01.07.1987 21:45:00; 0,299
26.08.1987 07:00:00; 0,324
09.09.1987 06:15:00; 0,350
02.10.1987 20:15:00; 0,235
24.11.1987 00:30:00; 0,298
02.12.1987 09:45:00; 0,277
25.01.1988 17:30:00; 0,256
10.02.1988 01:00:00; 0,298
23.03.1988 20:00:00; 0,377
11.04.1988 11:45:00; 0,350
04.05.1988 09:00:00; 0,277
28.06.1988 17:15:00; 0,392
06.07.1988 06:30:00; 0,235
03.08.1988 17:15:00; 0,416
14.09.1988 08:00:00; 0,345
01.10.1988 00:00:00; 0,160
30.11.1988 09:45:00; 0,235
25.12.1988 13:30:00; 0,369
09.01.1989 10:00:00; 0,446
22.02.1989 08:45:00; 0,297
22.03.1989 09:15:00; 0,345
15.04.1989 17:00:00; 0,254
31.05.1989 07:30:00; 0,483
21.06.1989 07:15:00; 0,616
05.07.1989 07:15:00; 0,455
20.08.1989 01:15:00; 0,564
12.09.1989 12:15:00; 0,665
02.10.1989 08:45:00; 0,505
06.11.1989 21:30:00; 0,273
20.12.1989 09:00:00; 0,179
24.01.1990 09:00:00; 0,179
21.02.1990 10:15:00; 0,235
28.03.1990 05:00:00; 0,321
24.04.1990 02:30:00; 0,273
18.05.1990 00:00:00; 0,345
13.06.1990 10:00:00; 0,321
11.07.1990 09:00:00; 0,273
29.08.1990 09:45:00; 0,345
05.09.1990 10:00:00; 0,345
01.10.1990 10:45:00; 0,373
07.11.1990 10:30:00; 0,255
19.12.1990 08:45:00; 0,179
09.01.1991 09:45:00; 0,146
28.02.1991 06:30:00; 0,146
13.03.1991 10:30:00; 0,146
03.04.1991 09:00:00; 0,133
18.05.1991 15:15:00; 0,475
11.06.1991 11:30:00; 0,345
24.07.1991 18:45:00; 0,392
03.08.1991 22:15:00; 0,534
25.09.1991 09:30:00; 0,350
16.10.1991 18:00:00; 0,350
01.11.1991 00:00:00; 0,194
27.12.1991 19:00:00; 0,487
01.01.1992 04:15:00; 0,377
06.02.1992 08:45:00; 0,324
30.03.1992 10:00:00; 0,429
01.04.1992 07:45:00; 0,403
27.05.1992 08:00:00; 0,324
07.06.1992 15:15:00; 0,613
11.07.1992 20:15:00; 0,708
01.08.1992 22:45:00; 0,148
16.09.1992 09:15:00; 0,212
05.10.1992 22:45:00; 0,169
23.11.1992 07:30:00; 0,346
06.12.1992 04:15:00; 0,276
11.01.1993 07:00:00; 0,148
07.02.1993 20:30:00; 0,169
19.03.1993 08:30:00; 0,256
14.04.1993 04:45:00; 0,377
19.05.1993 08:30:00; 0,455
11.06.1993 14:45:00; 0,582
26.07.1993 00:00:00; 0,373
31.08.1993 22:00:00; 0,212
12.09.1993 02:00:00; 0,212
24.10.1993 06:30:00; 0,318
08.11.1993 09:45:00; 0,273
09.12.1993 21:15:00; 0,321
03.01.1994 09:45:00; 0,345
02.02.1994 19:15:00; 0,321
14.03.1994 08:15:00; 0,345
12.04.1994 12:45:00; 0,809
30.05.1994 17:00:00; 0,701
04.06.1994 05:00:00; 0,665
19.07.1994 17:15:00; 0,446
23.08.1994 17:00:00; 0,534
02.09.1994 18:45:00; 0,254
24.10.1994 18:00:00; 0,273
09.11.1994 10:00:00; 0,235
21.12.1994 09:30:00; 0,235
18.01.1995 15:00:00; 0,297
08.02.1995 14:00:00; 0,212
01.03.1995 09:45:00; 0,297
15.04.1995 18:15:00; 0,401
06.05.1995 08:00:00; 0,297
26.06.1995 02:45:00; 0,483
04.07.1995 20:45:00; 0,483
20.08.1995 05:30:00; 0,516
05.09.1995 19:30:00; 0,373
16.10.1995 09:45:00; 0,276
04.11.1995 00:45:00; 0,297
24.12.1995 21:30:00; 0,401
17.01.1996 09:15:00; 0,346
17.02.1996 19:15:00; 0,428
25.03.1996 20:15:00; 0,616
15.04.1996 10:15:00; 0,802
13.05.1996 07:15:00; 0,882
22.06.1996 19:45:00; 0,842
06.07.1996 18:45:00; 0,763
25.08.1996 14:45:00; 0,723
23.09.1996 21:15:00;  1,25
22.10.1996 08:45:00;  1,11
01.11.1996 19:00:00; 0,802
01.12.1996 00:00:00; 0,455
12.01.1997 19:05:15; 0,396
04.02.1997 22:23:55; 0,366
20.03.1997 21:31:55; 0,758
06.04.1997 12:14:20; 0,593
22.05.1997 11:58:40; 0,606
23.06.1997 11:47:50;  1,02
08.07.1997 13:54:40;  1,06
19.08.1997 05:28:50; 0,762
13.09.1997 17:51:50; 0,384
27.10.1997 00:07:30; 0,340
12.11.1997 10:48:05; 0,288
01.12.1997 00:00:00; 0,275
23.01.1998 11:44:20; 0,310
01.02.1998 19:10:55; 0,161
18.03.1998 08:54:05; 0,402
08.04.1998 18:33:00; 0,210
30.05.1998 16:53:40; 0,259
26.06.1998 14:53:40; 0,238
01.07.1998 19:13:05; 0,297
18.08.1998 14:31:55; 0,247
05.09.1998 22:01:20; 0,275
10.10.1998 16:40:55; 0,126
30.11.1998 00:13:40; 0,148
15.12.1998 14:58:45; 0,256
28.01.1999 23:49:45; 0,238
22.02.1999 14:25:45; 0,357
11.03.1999 18:23:05; 0,279
07.04.1999 18:46:15; 0,318
21.05.1999 03:34:25; 0,613
16.06.1999 07:25:20; 0,466
10.07.1999 14:11:55;  1,13
07.08.1999 18:31:40; 0,718
04.09.1999 13:39:25; 0,415
04.10.1999 01:13:20; 0,339
10.11.1999 05:03:40; 0,325
06.12.1999 20:20:30; 0,285
31.01.2000 10:48:45; 0,474
01.02.2000 23:47:00; 0,650
31.03.2000 02:25:25; 0,738
01.04.2000 00:00:00; 0,697
07.05.2000 22:19:35; 0,402
07.06.2000 21:00:05; 0,319
04.07.2000 23:04:20; 0,369
06.08.2000 07:04:10; 0,592
13.09.2000 23:12:10; 0,323
03.10.2000 10:55:10; 0,230
04.11.2000 21:32:30; 0,183
28.12.2000 10:58:25; 0,193
08.01.2001 16:53:50; 0,181
23.02.2001 19:11:35; 0,124
06.03.2001 19:56:00; 0,174
26.04.2001 08:24:00; 0,243
22.05.2001 21:52:30; 0,222
12.06.2001 23:49:40; 0,211
04.07.2001 23:08:55; 0,170
19.08.2001 22:17:25; 0,542
24.09.2001 06:09:40; 0,273
26.10.2001 09:20:50; 0,758
12.11.2001 17:25:45; 0,147
30.12.2001 21:23:45; 0,216
31.01.2002 01:58:15; 0,190
21.02.2002 01:02:35; 0,177
23.03.2002 15:25:50; 0,681
01.04.2002 14:45:00; 0,217
05.05.2002 22:56:40; 0,143
07.06.2002 20:34:45; 0,489
04.07.2002 14:14:20; 0,320
12.08.2002 14:22:20; 0,410
11.09.2002 03:39:20; 0,216
18.10.2002 16:05:50; 0,360
05.11.2002 16:25:50; 0,331
23.12.2002 12:45:15; 0,392
28.01.2003 16:02:00; 0,378
20.02.2003 02:02:10; 0,382
27.03.2003 00:41:40; 0,278
11.04.2003 22:52:55; 0,332
13.05.2003 19:29:35; 0,405
13.06.2003 18:47:30; 0,422
17.07.2003 03:22:35; 0,416
06.08.2003 21:53:20; 0,224
09.09.2003 23:21:45; 0,173
06.10.2003 08:38:40; 0,243
13.11.2003 01:31:40; 0,244
30.12.2003 21:14:15; 0,193
20.01.2004 02:17:05; 0,171
03.02.2004 20:10:45; 0,564
24.03.2004 22:30:00; 0,520
06.04.2004 20:16:30; 0,286
16.05.2004 05:01:55; 0,314
04.06.2004 18:56:50; 0,481
01.07.2004 18:24:40; 0,453
26.08.2004 01:00:00; 0,354
21.09.2004 21:55:00; 0,277
16.10.2004 14:10:00; 0,280
23.11.2004 19:15:00; 0,283
30.12.2004 15:05:00; 0,213
21.01.2005 15:36:00; 0,308
13.02.2005 23:55:10; 0,441
26.03.2005 12:42:20; 0,552
09.04.2005 14:50:00; 0,537
18.05.2005 22:00:00; 0,456
04.06.2005 18:00:00; 0,436
11.07.2005 14:20:35;  7,56
22.08.2005 05:35:00; 0,750
12.09.2005 20:25:00; 0,480
03.10.2005 03:28:25; 0,281
27.11.2005 14:00:00; 0,251
06.12.2005 13:45:00; 0,428
08.01.2006 21:55:00; 0,423
21.02.2006 20:20:00; 0,608
29.03.2006 10:00:00; 0,588
01.04.2006 00:00:00; 0,502
01.05.2006 05:00:00; 0,478
29.06.2006 09:55:00; 0,558
01.07.2006 00:00:00; 0,409
07.08.2006 15:05:00; 0,431
05.09.2006 23:20:00; 0,304
02.10.2006 01:40:00; 0,310
13.11.2006 01:55:00; 0,311
11.12.2006 00:55:00; 0,286
19.01.2007 21:55:00; 0,461
26.02.2007 00:40:00; 0,308
25.03.2007 13:15:00; 0,494
06.04.2007 16:45:00; 0,335
06.05.2007 00:00:00; 0,465
12.06.2007 14:40:00; 0,286
28.07.2007 14:40:00; 0,224
20.08.2007 16:15:00; 0,328
07.09.2007 11:00:00; 0,553
29.10.2007 08:52:40; 0,370
12.11.2007 08:50:00; 0,498
12.12.2007 20:05:00; 0,494
27.01.2008 16:40:00; 0,600
17.02.2008 15:35:00; 0,465
01.03.2008 17:05:00; 0,472
21.04.2008 20:40:00; 0,413
20.05.2008 22:10:00; 0,309
26.06.2008 23:55:00; 0,900
07.07.2008 22:35:00; 0,887
09.08.2008 00:55:00; 0,739
25.09.2008 20:45:00; 0,429
13.10.2008 00:24:15; 0,321
08.11.2008 09:55:15; 0,320
21.12.2008 16:53:30; 0,467
24.01.2009 06:00:00; 0,374
28.02.2009 19:50:00;  1,17
01.03.2009 00:00:00;  1,16
08.04.2009 23:45:00; 0,915
30.05.2009 13:30:00; 0,836
26.06.2009 16:50:00;  1,60
01.07.2009 22:00:00; 0,732
11.08.2009 00:45:00; 0,826
04.09.2009 20:45:00; 0,495
26.10.2009 00:25:00; 0,352
10.11.2009 00:15:00; 0,434
28.12.2009 10:05:00; 0,417
18.01.2010 01:25:00; 0,403
26.02.2010 22:40:00; 0,578
16.03.2010 21:20:00; 0,640
15.04.2010 14:30:00; 0,574
27.05.2010 19:00:00; 0,760
16.06.2010 14:40:00; 0,814
18.07.2010 05:05:00; 0,539
13.08.2010 23:15:00; 0,633
26.09.2010 00:10:00; 0,505
17.10.2010 23:15:00; 0,452
19.11.2010 12:40:00; 0,293
13.12.2010 00:30:00; 0,508
14.01.2011 13:35:00; 0,556
12.02.2011 12:25:00; 0,532
19.03.2011 02:10:00; 0,460
27.04.2011 20:20:00; 0,519
03.05.2011 17:30:00; 0,518
19.06.2011 06:40:00; 0,654
05.07.2011 22:50:00; 0,305
15.08.2011 21:30:00; 0,389
19.09.2011 20:45:00; 0,278
13.10.2011 01:05:00; 0,261
14.11.2011 01:10:00; 0,210
29.12.2011 01:35:00; 0,257
22.01.2012 21:17:25; 0,517
29.02.2012 05:23:55; 0,368
19.03.2012 00:30:00; 0,348
20.04.2012 20:20:00; 0,283
04.05.2012 13:30:00; 0,358
04.06.2012 17:00:00; 0,311
25.07.2012 11:05:00; 0,376
05.08.2012 03:00:00; 0,319
12.09.2012 23:10:00; 0,291
08.10.2012 01:05:00; 0,195
20.11.2012 14:05:00; 0,354
24.12.2012 04:30:00; 0,370
07.01.2013 13:45:00; 0,600
28.02.2013 23:59:55; 0,554
01.03.2013 02:15:00; 0,556
19.04.2013 20:25:00; 0,504
10.05.2013 23:00:00; 0,548
24.06.2013 06:15:00; 0,719
09.07.2013 19:10:00; 0,548
05.08.2013 07:15:00; 0,618
17.09.2013 03:15:00; 0,525
07.10.2013 01:45:05; 0,367
24.11.2013 16:48:10; 0,605
09.12.2013 20:15:00; 0,480
13.01.2014 02:00:00; 0,431
12.02.2014 12:43:05; 0,555
25.03.2014 01:08:25; 0,508
26.04.2014 15:26:45; 0,523
16.05.2014 05:51:00; 0,808
30.06.2014 14:04:25; 0,594
27.07.2014 11:55:00; 0,664
03.08.2014 19:30:00; 0,613
14.09.2014 20:45:00; 0,712
02.10.2014 00:46:30; 0,676
18.11.2014 11:28:35; 0,684
09.12.2014 10:23:20; 0,724
10.01.2015 13:13:55; 0,688
07.02.2015 12:46:40; 0,623
31.03.2015 23:59:55; 0,632
01.04.2015 02:04:20; 0,634
23.05.2015 11:26:00; 0,766
02.06.2015 22:14:55; 0,485
08.07.2015 22:18:10; 0,479
15.08.2015 19:20:00; 0,372
16.09.2015 08:55:00; 0,263
14.10.2015 13:01:55; 0,387
02.11.2015 03:50:00; 0,263
30.12.2015 01:50:00; 0,255
18.01.2016 02:05:00; 0,231
29.02.2016 23:40:00; 0,308
21.03.2016 10:06:35; 0,329
18.04.2016 00:20:00; 0,298
31.05.2016 23:05:00; 0,423
01.06.2016 00:00:00; 0,416
27.07.2016 23:50:00; 0,431
21.08.2016 14:50:00; 0,442
19.09.2016 09:05:00; 0,411
20.10.2016 09:30:00; 0,402
07.11.2016 14:00:00; 0,505
28.12.2016 13:45:00; 0,543
01.01.2017 00:00:00; 0,421
06.02.2017 11:50:00; 0,617
19.03.2017 08:55:00; 0,685
21.04.2017 20:05:00; 0,581
21.05.2017 13:50:00; 0,626
04.06.2017 14:50:00; 0,617
09.07.2017 13:05:00; 0,628
10.08.2017 21:05:00; 0,248
20.09.2017 00:40:00; 0,315
29.10.2017 16:20:00; 0,299
30.11.2017 15:50:00; 0,303
06.12.2017 08:50:00; 0,297
27.01.2018 09:35:00; 0,429
05.02.2018 11:25:00; 0,376
31.03.2018 23:59:55; 0,586
01.04.2018 12:35:00; 0,703
15.05.2018 15:50:00; 0,686
12.06.2018 20:15:00; 0,810
11.07.2018 01:35:00; 0,588
05.08.2018 16:25:00; 0,473
01.09.2018 13:50:00; 0,563
06.10.2018 06:35:00; 0,346
26.11.2018 15:20:00; 0,379
24.12.2018 11:45:00; 0,633
14.01.2019 01:50:00; 0,651
22.02.2019 14:45:00; 0,618
02.03.2019 17:20:00; 0,678
30.04.2019 22:10:45; 0,657
11.05.2019 14:30:00;  1,12
02.06.2019 22:40:00; 0,414
28.07.2019 23:50:00; 0,317
29.08.2019 20:10:00;  1,44
09.09.2019 10:00:00; 0,385
14.10.2019 01:30:00; 0,250
14.11.2019 00:01:10; 0,351
24.12.2019 00:00:05; 0,334
13.01.2020 02:40:00; 0,235
13.02.2020 11:00:00; 0,338
06.03.2020 11:30:00; 0,418
01.04.2020 00:00:00; 0,276
27.05.2020 12:05:00; 0,264
10.06.2020 09:39:40; 0,623
03.07.2020 17:05:00; 0,448
16.08.2020 19:14:00; 0,518
28.09.2020 15:19:05; 0,447
12.10.2020 11:35:00; 0,508
05.11.2020 22:30:00; 0,277
24.12.2020 16:25:00; 0,251
29.01.2021 16:46:45; 0,491
01.02.2021 00:00:00; 0,455
03.03.2021 14:40:00; 0,409
13.04.2021 22:43:50; 0,343
30.05.2021 11:56:10; 0,166
06.06.2021 16:39:45; 0,352
31.07.2021 22:25:00;  1,15
01.08.2021 04:15:00; 0,316
17.09.2021 05:00:00; 0,212
07.10.2021 08:05:00; 0,182
22.11.2021 11:55:00; 0,215
06.12.2021 12:40:00; 0,238
