Messstelle:                ;Maitratten-Gnesau
29.03.1977 03:00:00;  8,43
30.04.1977 19:00:00;  12,7
05.05.1977 14:00:00;  14,7
11.06.1977 22:00:00;  8,50
26.07.1977 07:00:00;  11,6
19.08.1977 04:00:00;  8,74
02.09.1977 15:00:00;  4,04
10.10.1977 16:00:00;  2,74
05.11.1977 10:00:00;  1,66
17.12.1977 18:00:00;  1,32
16.01.1978 19:00:00; 0,976
28.02.1978 23:59:55;  1,26
31.03.1978 22:00:00;  3,33
30.04.1978 18:00:00;  8,86
22.05.1978 22:00:00;  28,5
24.06.1978 21:00:00;  12,8
30.07.1978 16:00:00;  17,6
17.08.1978 18:00:00;  6,51
27.09.1978 22:00:00;  4,38
03.10.1978 14:00:00;  8,10
01.11.1978 18:00:00;  1,77
04.12.1978 14:00:00;  1,42
28.01.1979 20:00:00;  3,00
01.02.1979 00:00:00;  1,29
16.03.1979 20:00:00;  8,30
17.04.1979 20:00:00;  7,00
21.05.1979 01:00:00;  24,9
15.06.1979 03:00:00;  24,8
03.07.1979 20:00:00;  23,2
09.08.1979 07:00:00;  8,13
24.09.1979 12:00:00;  15,2
18.10.1979 04:00:00;  4,89
10.11.1979 08:00:00;  5,89
11.12.1979 20:00:00;  4,42
01.01.1980 10:00:00;  2,39
26.02.1980 10:00:00;  2,13
29.03.1980 21:00:00;  2,63
18.04.1980 20:00:00;  5,24
13.05.1980 20:00:00;  9,83
24.06.1980 04:00:00;  12,8
30.07.1980 03:00:00;  17,1
12.08.1980 20:00:00;  8,38
10.09.1980 10:00:00;  9,11
18.10.1980 04:00:00;  14,4
18.11.1980 22:00:00;  5,41
03.12.1980 01:00:00;  3,93
02.01.1981 18:00:00;  2,40
08.02.1981 21:00:00;  1,37
31.03.1981 20:00:00;  5,00
05.04.1981 20:00:00;  6,06
27.05.1981 08:00:00;  12,9
01.06.1981 00:00:00;  7,00
19.07.1981 07:00:00;  19,7
21.08.1981 11:00:00;  16,8
28.09.1981 21:00:00;  6,08
22.10.1981 15:00:00;  11,2
02.11.1981 13:00:00;  4,53
02.12.1981 07:00:00;  2,36
01.01.1982 16:00:00;  2,31
28.02.1982 13:00:00;  1,34
29.03.1982 19:00:00;  1,87
08.04.1982 21:00:00;  4,32
24.05.1982 11:00:00;  13,1
27.06.1982 16:00:00;  12,5
31.07.1982 18:00:00;  10,8
16.08.1982 22:00:00;  19,9
08.09.1982 04:00:00;  10,5
06.10.1982 18:00:00;  24,5
14.11.1982 03:00:00;  8,13
18.12.1982 08:00:00;  5,49
10.01.1983 09:00:00;  2,94
04.02.1983 21:00:00;  2,16
25.03.1983 19:00:00;  3,26
25.04.1983 11:00:00;  7,75
24.05.1983 16:00:00;  9,78
09.06.1983 20:00:00;  11,9
06.07.1983 01:00:00;  8,21
03.08.1983 15:00:00;  5,69
17.09.1983 02:00:00;  15,6
17.10.1983 11:00:00;  7,78
27.11.1983 22:00:00;  2,35
02.12.1983 19:00:00;  1,84
04.01.1984 05:30:00;  1,27
02.02.1984 08:45:00;  1,15
30.03.1984 02:00:00;  1,98
23.04.1984 22:15:00;  7,45
21.05.1984 09:30:00;  29,6
03.06.1984 17:45:00;  8,44
26.07.1984 00:15:00;  7,78
06.08.1984 01:45:00;  12,4
24.09.1984 03:45:00;  11,6
02.10.1984 18:00:00;  13,7
01.11.1984 13:45:00;  3,53
02.12.1984 19:30:00;  2,01
01.01.1985 00:00:00;  1,30
03.02.1985 02:30:00;  1,22
31.03.1985 22:45:00;  2,78
05.04.1985 19:00:00;  5,76
14.05.1985 20:30:00;  15,3
08.06.1985 22:45:00;  16,6
21.07.1985 06:45:00;  9,21
06.08.1985 20:30:00;  12,5
04.09.1985 06:45:00;  5,72
09.10.1985 07:45:00;  2,02
06.11.1985 10:00:00;  3,19
06.12.1985 09:00:00;  2,71
01.01.1986 01:15:00;  1,52
24.02.1986 00:00:00;  1,18
31.03.1986 23:00:00;  1,59
30.04.1986 21:15:00;  21,7
01.05.1986 19:45:00;  23,1
16.06.1986 01:15:00;  16,9
31.07.1986 19:00:00;  11,9
04.08.1986 21:45:00;  15,0
10.09.1986 13:30:00;  11,7
23.10.1986 15:45:00;  5,92
23.11.1986 21:30:00;  1,80
02.12.1986 10:15:00;  1,55
07.01.1987 13:45:00;  1,68
15.02.1987 02:00:00;  1,31
28.03.1987 02:00:00;  2,04
21.04.1987 02:00:00;  10,4
05.05.1987 05:15:00;  24,7
09.06.1987 16:15:00;  15,8
02.07.1987 23:30:00;  15,9
25.08.1987 18:45:00;  6,52
06.09.1987 13:15:00;  11,7
12.10.1987 05:00:00;  9,59
02.11.1987 07:45:00;  2,63
23.12.1987 14:30:00;  2,34
07.01.1988 10:45:00;  3,12
07.02.1988 20:15:00;  2,45
03.03.1988 10:00:00;  1,68
24.04.1988 01:45:00;  9,18
03.05.1988 19:00:00;  12,8
06.06.1988 04:15:00;  11,7
15.07.1988 15:30:00;  12,0
22.08.1988 07:30:00;  8,89
13.09.1988 23:15:00;  11,0
06.10.1988 07:00:00;  6,24
23.11.1988 13:15:00;  5,08
17.12.1988 16:00:00;  3,47
04.01.1989 07:30:00;  1,80
05.02.1989 03:30:00;  1,48
21.03.1989 17:30:00;  2,62
13.04.1989 21:00:00;  9,48
14.05.1989 14:45:00;  7,78
24.06.1989 06:45:00;  8,05
05.07.1989 04:15:00;  24,7
08.08.1989 19:15:00;  8,32
03.09.1989 04:45:00;  10,7
01.10.1989 00:00:00;  5,74
04.11.1989 10:45:00;  6,24
19.12.1989 14:30:00;  6,73
01.01.1990 12:00:00;  1,91
15.02.1990 18:00:00;  2,31
25.03.1990 15:45:00;  2,78
07.04.1990 23:00:00;  5,99
10.05.1990 20:30:00;  8,61
23.06.1990 13:45:00;  6,99
06.07.1990 14:00:00;  13,3
07.08.1990 22:45:00;  5,99
24.09.1990 13:45:00;  8,61
27.10.1990 18:30:00;  5,53
26.11.1990 03:00:00;  15,5
01.12.1990 00:00:00;  6,37
15.01.1991 20:00:00;  2,94
26.02.1991 11:00:00;  1,48
26.03.1991 01:45:00;  7,35
01.04.1991 09:45:00;  5,05
11.05.1991 06:00:00;  14,8
04.06.1991 17:45:00;  12,0
25.07.1991 23:00:00;  14,4
18.08.1991 20:15:00;  9,47
30.09.1991 23:00:00;  11,0
01.10.1991 00:00:00;  10,1
05.11.1991 01:30:00;  7,50
03.12.1991 07:15:00;  3,47
14.01.1992 09:30:00;  2,04
19.02.1992 10:00:00;  1,91
24.03.1992 18:45:00;  2,78
29.04.1992 17:45:00;  14,0
04.05.1992 04:30:00;  19,9
03.06.1992 20:15:00;  11,3
02.07.1992 16:15:00;  10,4
04.08.1992 21:45:00;  5,53
01.09.1992 13:00:00;  6,73
05.10.1992 18:00:00;  19,9
16.11.1992 19:00:00;  10,4
04.12.1992 02:15:00;  7,78
02.01.1993 00:00:00;  2,73
12.02.1993 10:00:00;  2,04
18.03.1993 22:00:00;  2,62
29.04.1993 22:15:00;  3,30
08.05.1993 01:15:00;  5,53
01.06.1993 14:15:00;  3,66
20.07.1993 14:00:00;  17,0
08.08.1993 23:15:00;  10,4
26.09.1993 05:15:00;  6,50
23.10.1993 23:45:00;  36,4
06.11.1993 04:30:00;  12,0
01.12.1993 00:00:00;  3,80
19.01.1994 11:00:00;  2,63
08.02.1994 18:00:00;  1,61
14.03.1994 19:45:00;  3,66
18.04.1994 01:30:00;  6,48
19.05.1994 17:30:00;  6,99
29.06.1994 05:00:00;  5,99
07.07.1994 08:00:00;  18,2
30.08.1994 00:15:00;  8,32
14.09.1994 21:30:00;  14,0
04.10.1994 20:30:00;  6,24
11.11.1994 07:00:00;  9,48
01.12.1994 00:00:00;  3,15
18.01.1995 12:45:00;  2,78
28.02.1995 09:45:00;  1,70
25.03.1995 17:00:00;  2,36
25.04.1995 11:00:00;  10,1
13.05.1995 06:15:00;  10,4
21.06.1995 18:00:00;  11,3
27.07.1995 20:30:00;  16,6
09.08.1995 20:30:00;  15,9
20.09.1995 02:00:00;  16,6
01.10.1995 00:00:00;  5,32
21.11.1995 10:00:00;  2,94
23.12.1995 14:30:00;  2,04
18.01.1996 10:45:00;  2,45
16.02.1996 08:15:00;  1,64
27.03.1996 00:10:00;  2,04
26.04.1996 05:15:00;  9,18
13.05.1996 15:15:00;  14,4
22.06.1996 19:15:00;  11,7
02.07.1996 22:30:00;  13,0
07.08.1996 23:15:00;  10,4
23.09.1996 14:45:00;  7,35
02.10.1996 19:30:00;  12,0
18.11.1996 12:45:00;  23,9
01.12.1996 00:00:00;  5,72
01.01.1997 00:00:00;  1,85
26.02.1997 19:43:30;  2,45
06.03.1997 08:34:25;  2,44
29.04.1997 18:58:20;  2,08
24.05.1997 23:35:05;  4,34
23.06.1997 09:43:25;  10,8
24.07.1997 21:10:55;  9,15
06.08.1997 18:23:45;  12,6
07.09.1997 20:28:55;  7,20
01.10.1997 17:01:00;  2,48
08.11.1997 10:10:15;  3,84
20.12.1997 17:09:45;  2,24
13.01.1998 16:05:30;  1,48
16.02.1998 18:46:00;  1,68
31.03.1998 21:42:35;  1,88
29.04.1998 17:48:00;  10,6
01.05.1998 00:00:00;  8,00
29.06.1998 03:41:30;  5,52
03.07.1998 12:02:35;  12,5
05.08.1998 09:23:30;  12,6
05.09.1998 21:40:35;  28,1
07.10.1998 23:55:25;  34,2
04.11.1998 23:25:45;  8,00
01.12.1998 00:00:00;  3,29
03.01.1999 22:00:20;  1,86
05.02.1999 19:20:05;  1,42
27.03.1999 19:08:20;  2,48
17.04.1999 01:16:40;  10,9
05.05.1999 05:06:20;  14,2
21.06.1999 20:09:10;  7,72
23.07.1999 03:14:20;  14,5
20.08.1999 18:51:35;  18,3
01.09.1999 02:00:20;  14,9
04.10.1999 06:12:55;  11,6
04.11.1999 11:48:40;  3,28
02.12.1999 19:46:00;  2,20
05.01.2000 21:21:55;  1,46
22.02.2000 15:40:35;  1,60
29.03.2000 20:44:20;  2,10
25.04.2000 00:37:20;  13,6
12.05.2000 18:53:55;  10,4
25.06.2000 08:15:25;  6,88
28.07.2000 21:57:20;  8,55
06.08.2000 04:56:40;  9,96
21.09.2000 09:56:20;  4,97
13.10.2000 08:52:35;  10,2
18.11.2000 11:42:00;  21,4
01.12.2000 00:00:00;  12,0
08.01.2001 08:26:40;  7,14
09.02.2001 03:46:40;  2,36
26.03.2001 20:37:40;  4,62
30.04.2001 22:58:35;  6,07
06.05.2001 20:03:05;  11,9
17.06.2001 13:56:15;  8,30
20.07.2001 12:29:15;  12,6
19.08.2001 22:54:05;  3,52
26.09.2001 06:50:20;  10,1
01.10.2001 00:00:00;  4,30
12.11.2001 08:03:55;  1,91
03.12.2001 11:11:55;  1,15
01.01.2002 12:33:15; 0,914
19.02.2002 23:55:30; 0,667
21.03.2002 01:49:25;  1,80
27.04.2002 13:10:45;  3,80
26.05.2002 15:32:05;  7,04
23.06.2002 21:16:45;  11,3
17.07.2002 14:27:55;  10,8
12.08.2002 11:03:35;  29,2
24.09.2002 22:08:35;  10,4
17.10.2002 22:47:20;  9,75
19.11.2002 05:48:35;  11,5
01.12.2002 00:00:00;  9,36
13.01.2003 12:38:35;  3,81
02.02.2003 11:26:25;  2,55
01.03.2003 21:21:50;  1,50
29.04.2003 19:44:15;  2,96
20.05.2003 15:48:45;  6,25
14.06.2003 22:07:30;  6,82
04.07.2003 13:46:20;  6,62
30.08.2003 01:17:40;  24,0
01.09.2003 00:00:00;  11,8
05.10.2003 21:33:15;  9,99
01.11.2003 17:29:05;  15,1
01.12.2003 00:00:00;  6,52
01.01.2004 00:00:00;  1,85
03.02.2004 16:30:00;  1,48
21.03.2004 18:15:00;  3,30
24.04.2004 18:00:00;  6,99
22.05.2004 15:45:00;  10,1
25.06.2004 13:45:00;  21,1
02.07.2004 18:30:00;  15,9
26.08.2004 11:30:00;  10,7
16.09.2004 00:08:50;  9,18
31.10.2004 15:45:00;  16,3
01.11.2004 00:00:00;  8,93
01.12.2004 00:00:00;  2,78
01.01.2005 04:00:00;  2,03
05.02.2005 12:45:00;  1,06
25.03.2005 18:45:00;  4,24
19.04.2005 12:52:30;  4,87
18.05.2005 15:22:30;  8,07
05.06.2005 00:45:00;  4,04
08.07.2005 13:37:30;  15,9
22.08.2005 12:37:30;  14,8
17.09.2005 19:02:15;  7,03
05.10.2005 20:23:00;  41,8
01.11.2005 00:00:00;  3,52
03.12.2005 14:52:30;  1,80
02.01.2006 02:07:30;  1,22
04.02.2006 10:22:30;  1,29
29.03.2006 00:07:30;  4,48
28.04.2006 01:37:30;  12,0
20.05.2006 07:52:30;  21,0
01.06.2006 00:00:00;  7,28
12.07.2006 17:37:30;  4,20
03.08.2006 19:52:30;  9,99
16.09.2006 23:22:30;  6,08
05.10.2006 01:07:30;  8,31
01.11.2006 14:52:30;  1,70
09.12.2006 16:22:30;  2,24
19.01.2007 16:52:30;  3,35
01.02.2007 20:22:30;  1,22
20.03.2007 04:22:30;  2,01
14.04.2007 18:37:30;  6,75
29.05.2007 05:07:30;  11,8
26.06.2007 22:07:30;  10,6
10.07.2007 12:52:30;  12,1
30.08.2007 17:22:30;  9,39
28.09.2007 08:37:30;  13,1
06.10.2007 10:52:30;  7,00
02.11.2007 09:22:30;  3,45
01.12.2007 00:15:00;  2,33
13.01.2008 07:15:35;  2,05
29.02.2008 23:59:55;  1,24
31.03.2008 22:07:30;  1,68
12.04.2008 02:07:30;  5,38
20.05.2008 06:37:30;  9,97
23.06.2008 18:52:30;  12,5
31.07.2008 19:37:30;  10,9
15.08.2008 23:22:30;  19,2
12.09.2008 20:22:30;  8,55
30.10.2008 03:07:30;  10,6
01.11.2008 10:52:30;  5,60
01.12.2008 13:22:30;  4,17
01.01.2009 01:39:25;  2,02
07.02.2009 15:22:30;  1,68
29.03.2009 22:07:30;  3,81
29.04.2009 21:15:00;  17,3
01.05.2009 00:00:00;  15,4
20.06.2009 11:07:30;  21,0
18.07.2009 11:22:30;  18,2
22.08.2009 17:52:30;  10,3
17.09.2009 01:22:30;  11,8
12.10.2009 08:52:30;  4,56
30.11.2009 23:59:55;  3,63
25.12.2009 16:30:05;  8,58
04.01.2010 05:30:05;  3,51
04.02.2010 15:45:50;  1,88
27.03.2010 04:11:15;  3,46
27.04.2010 12:51:30;  6,61
06.05.2010 06:56:45;  14,9
20.06.2010 06:20:00;  10,3
30.07.2010 10:50:05;  4,18
11.08.2010 19:22:20;  7,62
18.09.2010 08:26:15;  9,31
01.10.2010 00:00:00;  5,15
17.11.2010 05:13:40;  9,62
24.12.2010 07:23:40;  6,24
10.01.2011 22:45:00;  3,84
02.02.2011 09:37:30;  3,84
17.03.2011 03:07:30;  5,20
29.04.2011 16:37:30;  5,63
15.05.2011 09:15:00;  6,55
19.06.2011 08:45:00;  20,2
24.07.2011 11:00:00;  12,4
09.08.2011 04:00:00;  10,9
19.09.2011 11:45:00;  22,7
07.10.2011 10:45:00;  8,31
01.11.2011 04:15:00;  3,18
17.12.2011 10:15:00;  1,69
30.01.2012 19:30:00;  1,44
29.02.2012 15:15:00;  1,68
02.03.2012 21:00:00;  1,58
05.04.2012 19:00:00;  4,68
12.05.2012 21:00:00;  7,80
25.06.2012 15:45:00;  8,35
21.07.2012 18:30:00;  32,4
31.08.2012 17:30:00;  14,9
12.09.2012 23:15:00;  15,3
16.10.2012 05:30:00;  15,3
05.11.2012 07:15:00;  29,3
01.12.2012 00:00:00;  8,58
05.01.2013 07:15:00;  3,20
11.02.2013 10:00:00;  2,77
08.03.2013 17:45:00;  2,91
22.04.2013 18:45:00;  17,8
07.05.2013 21:45:00;  15,2
02.06.2013 05:45:00;  10,3
