Messstelle:                ;Atzenbrugg (Bundesstraßenbrücke)
01.09.1956 12:00:00; 0,600
29.10.1956 12:00:00;  6,20
02.11.1956 12:00:00;  2,20
09.12.1956 12:00:00;  4,22
27.01.1957 12:00:00;  3,10
03.02.1957 12:00:00;  3,96
17.03.1957 12:00:00;  4,48
19.04.1957 12:00:00;  2,50
26.05.1957 12:00:00;  2,50
03.06.1957 12:00:00;  1,25
24.07.1957 12:00:00;  87,0
20.08.1957 12:00:00;  2,74
30.09.1957 12:00:00;  1,55
01.10.1957 12:00:00;  1,25
13.11.1957 12:00:00;  11,6
09.12.1957 12:00:00;  26,9
06.01.1958 12:00:00;  3,22
14.02.1958 12:00:00;  5,90
29.03.1958 12:00:00;  49,4
06.04.1958 12:00:00;  10,3
07.05.1958 12:00:00;  2,10
29.06.1958 12:00:00;  90,0
02.07.1958 12:00:00;  17,9
18.08.1958 12:00:00;  1,40
25.09.1958 12:00:00; 0,980
22.10.1958 12:00:00;  1,91
17.11.1958 12:00:00;  17,5
30.12.1958 12:00:00;  4,48
01.01.1959 12:00:00;  2,00
26.02.1959 12:00:00;  1,91
09.03.1959 12:00:00;  19,6
20.04.1959 12:00:00;  56,0
09.05.1959 12:00:00;  2,00
15.06.1959 12:00:00;  80,0
22.07.1959 12:00:00;  67,0
09.08.1959 12:00:00;  11,2
03.09.1959 12:00:00;  1,25
01.10.1959 12:00:00;  1,32
08.11.1959 12:00:00;  1,64
15.12.1959 12:00:00;  2,74
06.01.1960 12:00:00;  3,70
28.02.1960 12:00:00;  3,46
18.03.1960 12:00:00;  38,0
01.04.1960 12:00:00;  3,34
24.05.1960 12:00:00;  2,50
29.06.1960 12:00:00;  1,64
13.07.1960 12:00:00;  1,91
27.08.1960 12:00:00; 0,980
23.09.1960 12:00:00;  2,30
09.10.1960 12:00:00;  1,91
13.11.1960 12:00:00;  1,04
20.12.1960 12:00:00; 0,850
31.01.1961 12:00:00; 0,480
08.02.1961 12:00:00;  10,9
05.03.1961 12:00:00;  2,71
28.04.1961 12:00:00;  1,92
13.05.1961 12:00:00;  5,62
04.06.1961 12:00:00;  42,3
06.07.1961 12:00:00; 0,750
23.08.1961 12:00:00; 0,400
17.09.1961 12:00:00; 0,400
23.10.1961 12:00:00;  1,40
13.11.1961 12:00:00;  2,50
14.12.1961 12:00:00;  45,0
30.01.1962 12:00:00;  1,73
14.02.1962 12:00:00;  14,0
13.03.1962 12:00:00;  5,60
02.04.1962 12:00:00;  2,50
03.05.1962 12:00:00;  2,50
12.06.1962 12:00:00;  1,32
23.07.1962 12:00:00;  3,46
02.08.1962 12:00:00; 0,700
24.09.1962 12:00:00; 0,560
22.10.1962 12:00:00; 0,850
15.11.1962 12:00:00;  2,10
17.12.1962 12:00:00;  8,10
26.01.1963 12:00:00; 0,700
26.02.1963 12:00:00;  1,64
12.03.1963 12:00:00;  37,0
02.04.1963 12:00:00;  6,82
05.05.1963 12:00:00;  4,74
24.06.1963 12:00:00;  2,74
03.07.1963 12:00:00;  1,25
31.08.1963 12:00:00;  2,30
10.09.1963 12:00:00;  2,50
06.10.1963 12:00:00; 0,850
18.11.1963 12:00:00;  1,55
02.12.1963 12:00:00; 0,850
31.01.1964 12:00:00; 0,520
04.02.1964 12:00:00;  2,50
22.03.1964 12:00:00;  23,6
26.04.1964 12:00:00;  12,0
21.05.1964 12:00:00;  16,5
07.06.1964 12:00:00;  1,92
05.07.1964 12:00:00; 0,850
01.08.1964 12:00:00; 0,800
12.09.1964 12:00:00; 0,850
21.10.1964 12:00:00;  29,0
20.11.1964 12:00:00;  2,00
22.12.1964 12:00:00;  1,55
09.01.1965 12:00:00;  17,9
01.02.1965 12:00:00;  2,74
18.03.1965 12:00:00;  27,4
23.04.1965 12:00:00;   125
12.05.1965 12:00:00;  8,27
07.06.1965 12:00:00;  37,4
27.07.1965 12:00:00;  2,98
26.08.1965 12:00:00;  59,0
19.09.1965 12:00:00;  3,46
01.10.1965 12:00:00;  1,11
13.11.1965 12:00:00;  1,11
19.12.1965 12:00:00;  3,96
29.01.1966 12:00:00;  2,10
02.02.1966 12:00:00;  13,9
20.03.1966 12:00:00;  2,50
18.04.1966 12:00:00;  3,34
24.05.1966 12:00:00;  3,46
12.06.1966 12:00:00;  12,4
29.07.1966 12:00:00;   110
19.08.1966 12:00:00;  31,0
01.09.1966 12:00:00;  3,10
31.10.1966 12:00:00;  1,17
25.11.1966 12:00:00;  2,98
21.12.1966 12:00:00;  18,8
28.01.1967 12:00:00;  24,7
03.02.1967 12:00:00;  4,61
22.03.1967 12:00:00;  5,15
27.04.1967 12:00:00;  3,83
31.05.1967 12:00:00;  17,9
01.06.1967 12:00:00;  26,9
10.07.1967 12:00:00;  31,0
06.08.1967 12:00:00; 0,950
17.09.1967 12:00:00;  2,15
19.10.1967 12:00:00;  1,16
19.11.1967 12:00:00; 0,890
25.12.1967 12:00:00;  3,06
16.01.1968 12:00:00;  32,0
19.02.1968 12:00:00;  1,25
20.03.1968 12:00:00;  1,11
25.04.1968 12:00:00;  1,17
14.05.1968 12:00:00; 0,850
09.06.1968 12:00:00; 0,980
20.07.1968 12:00:00;  3,22
08.08.1968 12:00:00;  10,5
10.09.1968 12:00:00;  1,04
04.10.1968 12:00:00;  10,2
06.11.1968 12:00:00;  1,32
01.12.1968 12:00:00;  1,04
24.01.1969 12:00:00;  10,2
23.02.1969 12:00:00;  21,1
01.03.1969 12:00:00;  5,30
01.04.1969 12:00:00;  6,82
30.05.1969 12:00:00;  3,58
08.06.1969 12:00:00;  89,0
01.07.1969 12:00:00;  4,09
20.08.1969 12:00:00;  1,82
17.09.1969 12:00:00;  1,47
06.10.1969 12:00:00; 0,980
28.11.1969 12:00:00;  1,55
05.12.1969 12:00:00; 0,980
07.01.1970 12:00:00; 0,650
10.02.1970 12:00:00;  37,9
19.03.1970 12:00:00;  7,14
08.04.1970 12:00:00;  5,30
01.05.1970 12:00:00;  1,82
10.06.1970 12:00:00;  25,5
18.07.1970 12:00:00;   100
10.08.1970 12:00:00;  7,70
21.09.1970 12:00:00;  1,24
21.10.1970 12:00:00;  2,09
23.11.1970 12:00:00;  88,0
02.12.1970 12:00:00;  2,48
24.01.1971 12:00:00;  4,36
10.02.1971 12:00:00;  2,69
23.03.1971 12:00:00;   105
01.04.1971 12:00:00;  5,68
31.05.1971 12:00:00;  20,5
01.06.1971 12:00:00;  4,88
05.07.1971 12:00:00;  1,39
16.08.1971 12:00:00; 0,750
30.09.1971 12:00:00;  1,46
16.10.1971 12:00:00;  2,00
13.11.1971 12:00:00;  1,46
08.12.1971 12:00:00;  1,64
10.01.1972 12:00:00; 0,980
27.02.1972 12:00:00;  5,68
01.03.1972 12:00:00;  3,70
17.04.1972 12:00:00;  26,9
20.05.1972 12:00:00;  7,10
02.06.1972 12:00:00;  3,10
14.07.1972 12:00:00;   120
21.08.1972 12:00:00;  12,7
14.09.1972 12:00:00;  1,47
10.10.1972 12:00:00; 0,910
19.11.1972 12:00:00;  1,04
27.12.1972 12:00:00; 0,800
31.01.1973 12:00:00;  1,73
23.02.1973 12:00:00;  2,10
08.03.1973 12:00:00;  5,30
19.04.1973 12:00:00;  31,0
01.05.1973 12:00:00;  2,74
25.06.1973 12:00:00;  33,0
01.07.1973 12:00:00;  1,40
22.08.1973 12:00:00; 0,920
28.09.1973 12:00:00; 0,800
25.10.1973 12:00:00; 0,650
17.11.1973 12:00:00;  2,90
26.12.1973 12:00:00;  2,28
20.01.1974 12:00:00;  17,9
09.02.1974 12:00:00;  1,40
07.03.1974 12:00:00;  1,39
17.04.1974 12:00:00; 0,600
07.05.1974 12:00:00;  12,2
13.06.1974 12:00:00;  22,0
19.07.1974 12:00:00;  4,35
29.08.1974 12:00:00; 0,850
02.09.1974 12:00:00; 0,520
22.10.1974 12:00:00;  1,73
29.11.1974 12:00:00;  1,32
09.12.1974 12:00:00;  15,8
02.01.1975 12:00:00;  2,62
03.02.1975 12:00:00;  5,15
19.03.1975 12:00:00; 0,980
14.04.1975 12:00:00;  4,22
03.05.1975 12:00:00;  1,11
30.06.1975 12:00:00;  9,98
02.07.1975 12:00:00;   150
02.08.1975 12:00:00;  21,6
04.09.1975 12:00:00;  9,80
20.10.1975 12:00:00;  1,47
22.11.1975 12:00:00;  1,11
28.12.1975 12:00:00;  2,40
01.01.1976 00:00:00; Lücke
01.08.1976 00:00:00; Lücke
21.08.1976 00:00:00;  21,3
22.08.1976 00:00:05;  8,93
18.09.1976 20:00:00;  11,2
17.10.1976 21:00:00;  6,04
15.11.1976 02:00:00;  15,0
03.12.1976 03:00:00;  19,0
27.01.1977 11:00:00;  10,4
13.02.1977 06:00:00;  15,8
03.03.1977 19:00:00;  7,59
14.04.1977 03:00:00;  33,8
01.05.1977 00:00:00;  2,45
22.06.1977 09:00:00;  2,30
06.07.1977 12:00:00;  1,64
02.08.1977 14:00:00;  25,5
10.09.1977 00:00:00;  1,51
12.10.1977 10:00:00;  3,08
05.11.1977 00:00:00; 0,927
16.12.1977 04:00:00;  10,5
07.01.1978 06:00:00;  4,39
27.02.1978 20:00:00;  22,2
01.03.1978 00:00:00;  10,6
15.04.1978 05:00:00;  2,35
11.05.1978 13:00:00;  2,01
26.06.1978 09:00:00;  1,28
06.07.1978 06:00:00;  1,75
28.08.1978 08:00:00; 0,382
25.09.1978 08:00:00; 0,471
06.10.1978 07:00:00; 0,543
06.11.1978 07:00:00; 0,425
11.12.1978 07:00:00;  1,98
29.01.1979 15:00:00; 0,982
09.02.1979 06:00:00;  7,11
12.03.1979 10:00:00;  14,5
28.04.1979 19:00:00;  25,6
03.05.1979 22:00:00;  10,0
25.06.1979 23:00:00;  14,1
14.07.1979 03:00:00;  13,8
04.08.1979 21:00:00;  12,7
25.09.1979 00:00:00;  2,61
08.10.1979 06:00:00; 0,884
27.11.1979 20:00:00;  55,0
01.12.1979 00:00:00;  4,55
13.01.1980 06:00:00;  2,22
01.02.1980 21:00:00;  10,3
11.03.1980 02:00:00;  2,20
09.04.1980 20:00:00;  27,0
01.05.1980 00:00:00;  5,48
01.06.1980 00:00:00;  3,38
23.07.1980 08:00:00;  1,90
09.08.1980 17:00:00;  1,47
02.09.1980 10:00:00;  2,50
13.10.1980 08:00:00;  4,72
17.11.1980 12:00:00;  2,55
16.12.1980 01:00:00;  12,9
03.01.1981 14:00:00;  4,60
08.02.1981 12:00:00;  4,38
14.03.1981 07:00:00;  1,24
24.04.1981 10:00:00;  1,01
02.05.1981 18:00:00;  1,76
25.06.1981 03:00:00;  1,74
21.07.1981 18:00:00;  1,16
17.08.1981 18:00:00;  2,00
30.09.1981 23:00:00;  10,8
01.10.1981 00:00:00;  10,7
28.11.1981 16:00:00;  4,90
09.12.1981 17:00:00;  3,05
31.01.1982 00:00:00;  37,7
01.02.1982 00:00:00;  12,1
01.03.1982 20:00:00;  6,32
13.04.1982 05:00:00;  1,89
29.05.1982 15:00:00;  7,51
28.06.1982 07:00:00;  2,72
01.07.1982 13:00:00;  4,32
08.08.1982 18:00:00;  3,50
27.09.1982 11:00:00; 0,840
02.10.1982 22:00:00;  1,23
15.11.1982 15:00:00; 0,745
28.12.1982 22:00:00;  3,44
04.01.1983 19:00:00;  8,09
28.02.1983 09:00:00;  13,9
01.03.1983 00:00:00;  8,62
05.04.1983 10:00:00;  1,71
09.05.1983 21:00:00;  4,95
21.06.1983 00:00:00;  1,49
06.07.1983 11:00:00;  1,06
07.08.1983 14:00:00; 0,625
02.09.1983 10:00:00; 0,936
31.10.1983 09:00:00; 0,761
11.11.1983 11:00:00; 0,897
25.12.1983 10:00:00;  1,87
02.01.1984 10:00:00; 0,709
09.02.1984 08:30:00;  1,45
31.03.1984 14:30:00;  3,34
10.04.1984 10:00:00;  13,8
24.05.1984 02:00:00;  16,4
22.06.1984 14:00:00;  2,65
14.07.1984 07:00:00;  1,97
27.08.1984 07:00:00;  3,11
24.09.1984 23:00:00;  2,23
04.10.1984 17:30:00;  4,68
19.11.1984 09:30:00;  1,78
10.12.1984 12:00:00;  1,02
16.01.1985 08:45:00;  2,95
02.02.1985 02:30:00;  28,1
22.03.1985 21:00:00;  32,6
01.04.1985 02:30:00;  4,31
08.05.1985 04:30:00;  1,89
24.06.1985 07:15:00;  1,81
03.07.1985 01:45:00;  2,84
07.08.1985 21:30:00;  46,2
02.09.1985 08:45:00;  2,75
16.10.1985 09:00:00; 0,881
17.11.1985 11:15:00;  1,30
18.12.1985 19:45:00;  13,9
15.01.1986 03:15:00;  29,9
26.02.1986 01:45:00;  2,39
13.03.1986 18:30:00;  11,7
01.04.1986 00:00:00;  2,13
29.05.1986 06:30:00;  1,95
15.06.1986 03:30:00;  7,43
09.07.1986 07:00:00;  1,36
05.08.1986 07:45:00; 0,955
11.09.1986 06:45:00; 0,912
27.10.1986 23:00:00;  1,71
24.11.1986 18:30:00;  1,73
30.12.1986 06:45:00;  5,71
02.01.1987 13:00:00;  2,80
10.02.1987 05:15:00;  27,6
25.03.1987 22:00:00;  10,6
03.04.1987 20:45:00;  11,5
07.05.1987 13:30:00;  28,0
22.06.1987 15:00:00;  28,7
24.07.1987 02:15:00;  5,21
03.08.1987 14:45:00;  2,80
28.09.1987 00:00:00;  1,46
19.10.1987 07:45:00; 0,961
28.11.1987 08:30:00; 0,838
18.12.1987 22:45:00;  15,0
31.01.1988 09:45:00;  1,52
01.02.1988 00:00:00;  1,44
22.03.1988 00:00:00;  30,3
14.04.1988 03:30:00;  16,1
21.05.1988 07:00:00;  3,07
06.06.1988 15:00:00;  5,06
15.07.1988 10:45:00;  1,38
30.08.1988 07:15:00; 0,838
16.09.1988 18:15:00;  6,19
24.10.1988 08:30:00; 0,777
30.11.1988 08:15:00;  4,98
11.12.1988 09:45:00;  7,06
09.01.1989 08:45:00;  4,81
22.02.1989 00:30:00;  3,36
24.03.1989 08:00:00;  1,22
18.04.1989 04:30:00;  27,7
01.05.1989 10:45:00;  89,6
18.06.1989 19:00:00;   112
26.07.1989 11:15:00;  2,68
30.08.1989 14:45:00;  6,71
05.09.1989 11:15:00;  37,4
03.10.1989 23:30:00;  1,77
02.11.1989 06:30:00;  1,67
16.12.1989 08:00:00;  2,20
09.01.1990 17:45:00;  1,67
15.02.1990 22:15:00;  7,77
29.03.1990 20:45:00;  3,98
08.04.1990 19:30:00;  7,59
01.05.1990 01:00:00;  2,09
04.06.1990 08:30:00;  1,77
10.07.1990 15:15:00;  4,47
08.08.1990 17:30:00;  1,39
08.09.1990 16:00:00;  1,39
02.10.1990 17:30:00;  1,67
20.11.1990 13:45:00;  2,31
26.12.1990 08:30:00;  4,98
01.01.1991 02:30:00;  3,08
24.02.1991 21:45:00;  3,51
09.03.1991 08:30:00;  1,57
20.04.1991 09:00:00;  1,87
18.05.1991 15:30:00;   123
14.06.1991 11:15:00;  2,81
28.07.1991 15:15:00;  16,1
02.08.1991 19:15:00;  94,5
08.09.1991 21:45:00;  1,67
11.10.1991 12:30:00;  1,22
17.11.1991 12:00:00;  1,67
20.12.1991 04:30:00;  28,9
06.01.1992 19:15:00;  2,94
08.02.1992 14:30:00;  1,98
21.03.1992 12:30:00;  14,8
03.04.1992 15:30:00;  2,94
12.05.1992 08:15:00;  1,87
14.06.1992 01:15:00;  12,1
16.07.1992 05:15:00;  2,81
04.08.1992 09:30:00;  1,14
07.09.1992 06:15:00;  1,30
27.10.1992 13:30:00;  1,06
23.11.1992 10:45:00;  5,66
13.12.1992 17:00:00;  2,43
08.01.1993 07:30:00;  3,22
22.02.1993 09:15:00;  1,77
17.03.1993 20:45:00;  24,1
01.04.1993 08:00:00;  2,68
10.05.1993 11:30:00;  1,67
29.06.1993 14:45:00;  1,57
30.07.1993 10:00:00;  1,48
25.08.1993 06:30:00;  1,67
01.09.1993 08:30:00;  2,68
24.10.1993 12:30:00;  5,83
21.11.1993 13:00:00;  1,57
21.12.1993 18:45:00;  6,53
01.01.1994 20:30:00;  11,0
28.02.1994 07:30:00;  1,67
24.03.1994 09:00:00;  2,81
18.04.1994 11:30:00;  80,6
19.05.1994 19:00:00;  6,53
18.06.1994 01:45:00;  1,98
21.07.1994 05:00:00;  1,57
29.08.1994 12:45:00;  1,30
05.09.1994 10:45:00; 0,918
25.10.1994 09:15:00;  1,22
24.11.1994 09:30:00;  1,22
29.12.1994 06:45:00;  2,20
26.01.1995 18:00:00;  3,08
19.02.1995 17:00:00;  2,20
28.03.1995 06:30:00;  2,94
12.04.1995 01:00:00;  11,8
01.05.1995 12:15:00;  1,67
22.06.1995 12:00:00;  2,55
23.07.1995 06:00:00;  1,30
29.08.1995 02:45:00;  1,30
15.09.1995 15:00:00;  4,81
02.10.1995 23:15:00; 0,660
10.11.1995 23:00:00;  1,98
24.12.1995 19:30:00;  5,66
14.01.1996 07:15:00;  1,98
18.02.1996 11:15:00;  1,87
25.03.1996 08:45:00;  6,88
08.04.1996 22:00:00;  32,2
14.05.1996 18:30:00;  42,7
30.06.1996 07:15:00;  5,83
01.07.1996 05:00:00;  2,68
04.08.1996 07:45:00;  1,14
24.09.1996 13:30:00;  44,0
22.10.1996 10:00:00;  66,0
02.11.1996 13:00:00;  2,81
14.12.1996 08:30:00;  1,87
06.01.1997 04:20:55; 0,942
14.02.1997 07:48:15;  2,66
17.03.1997 11:45:10;  72,4
22.04.1997 06:33:40;  4,41
23.05.1997 06:38:30;  5,00
23.06.1997 19:57:10;  2,45
08.07.1997 07:54:35;   160
01.08.1997 15:07:15;  2,87
05.09.1997 10:44:00;  1,81
20.10.1997 07:59:45;  1,49
15.11.1997 01:52:30;  5,56
14.12.1997 11:18:10;  5,07
16.01.1998 11:37:20;  1,60
13.02.1998 10:10:35;  7,28
17.03.1998 19:00:55;  35,1
19.04.1998 17:28:55;  1,97
22.05.1998 14:59:30;  2,41
14.06.1998 02:14:20;  5,99
09.07.1998 06:20:55;  1,92
04.08.1998 06:35:15;  1,20
06.09.1998 18:13:45;  2,44
30.10.1998 15:24:10;  1,79
11.11.1998 06:27:40;  5,81
15.12.1998 07:14:25;  25,9
09.01.1999 09:04:05;  1,83
21.02.1999 08:08:40;  24,5
03.03.1999 04:45:30;  14,4
01.04.1999 00:00:00;  1,67
21.05.1999 17:16:20;  29,5
22.06.1999 09:30:50;  20,1
10.07.1999 08:27:40;  67,6
29.08.1999 18:48:50;  3,27
02.09.1999 21:40:25;  28,8
05.10.1999 13:21:50;  1,52
10.11.1999 14:16:55;  2,45
20.12.1999 10:12:55;  2,27
30.01.2000 12:40:45;  22,4
01.02.2000 00:00:00;  12,8
31.03.2000 14:22:30;  3,10
02.04.2000 08:30:30;  5,37
19.05.2000 07:14:00;  1,71
07.06.2000 01:45:05;  7,68
04.07.2000 23:27:20; 0,722
07.08.2000 02:15:30;  8,46
17.09.2000 09:38:30;  1,86
09.10.2000 07:36:45;  1,21
06.11.2000 09:14:15;  1,01
29.12.2000 10:28:45;  1,27
09.01.2001 05:32:20;  1,72
07.02.2001 09:10:10;  3,24
24.03.2001 11:20:00;  3,51
23.04.2001 11:31:00;  3,14
16.05.2001 04:18:00;  1,89
12.06.2001 05:16:05;  1,10
21.07.2001 15:19:45;  3,01
05.08.2001 11:14:40;  1,05
18.09.2001 08:48:40;  36,3
05.10.2001 20:44:15;  1,49
27.11.2001 11:44:15;  6,09
30.12.2001 09:29:15;  23,7
01.01.2002 00:00:00;  5,39
14.02.2002 19:23:15;  3,84
21.03.2002 15:09:30;  38,3
01.04.2002 03:44:35;  2,10
03.05.2002 16:36:50;  1,31
10.06.2002 16:45:55;  8,34
17.07.2002 06:25:55;  1,66
13.08.2002 10:55:55;   117
22.09.2002 18:10:55;  2,38
12.10.2002 20:54:05;  16,0
12.11.2002 02:19:05;  8,23
23.12.2002 18:04:05;  14,9
28.01.2003 19:49:00;  22,8
01.02.2003 00:50:40;  5,34
03.03.2003 15:38:20;  25,7
09.04.2003 15:40:40;  2,22
13.05.2003 20:16:25;  2,06
02.06.2003 08:26:25; 0,980
18.07.2003 00:48:00;  1,31
02.08.2003 04:18:00; 0,574
14.09.2003 03:38:00;  2,16
12.10.2003 10:58:00; 0,595
03.11.2003 10:52:30; 0,946
29.12.2003 14:02:30;  1,02
14.01.2004 14:45:15;  4,27
03.02.2004 03:35:15;  7,46
25.03.2004 02:25:15;  17,9
01.04.2004 04:00:15;  6,48
16.05.2004 13:55:15;  2,65
04.06.2004 06:35:15;  26,1
28.07.2004 06:29:35;  1,70
30.08.2004 07:29:35;  2,12
24.09.2004 13:04:35;  3,08
05.10.2004 08:07:55;  1,20
24.11.2004 10:37:55;  2,15
28.12.2004 09:17:55;  1,37
22.01.2005 01:32:55;  1,45
13.02.2005 01:22:55;  23,0
18.03.2005 08:14:50;  22,1
21.04.2005 06:49:50;  3,65
19.05.2005 10:07:20;  13,9
16.06.2005 17:38:25;  11,5
10.07.2005 05:38:35;  22,5
22.08.2005 01:40:40;  25,3
18.09.2005 04:00:40;  2,45
05.10.2005 15:20:40;  1,76
15.11.2005 13:51:45;  1,44
17.12.2005 01:56:45;  4,06
04.01.2006 14:36:45;  1,64
21.02.2006 20:08:55;  11,7
29.03.2006 10:13:55;  28,9
30.04.2006 23:59:55;  12,2
01.05.2006 04:30:45;  25,5
03.06.2006 05:56:00;  50,8
01.07.2006 01:34:50;  4,67
08.08.2006 02:06:50;   102
08.09.2006 12:12:35;  5,55
04.10.2006 13:11:45;  1,50
14.11.2006 16:30:00;  1,66
04.12.2006 07:25:00;  1,56
20.01.2007 08:35:00;  1,20
06.02.2007 16:00:00;  1,48
24.03.2007 04:20:05;  13,9
01.04.2007 00:15:00;  2,80
10.05.2007 09:45:00;  5,41
03.06.2007 23:00:00;  1,92
10.07.2007 15:10:00; 0,703
12.08.2007 09:15:00;  1,81
07.09.2007 09:55:00;   137
28.10.2007 20:00:00;  53,2
26.11.2007 00:20:00;  8,50
12.12.2007 13:00:00;  33,2
19.01.2008 21:50:00;  3,51
01.02.2008 08:35:00;  2,36
15.03.2008 03:55:00;  6,33
23.04.2008 21:15:00;  3,78
07.05.2008 03:35:00;  2,28
26.06.2008 02:40:00;  4,92
24.07.2008 06:25:00;  51,1
16.08.2008 10:50:00;  9,14
16.09.2008 23:30:00;  18,5
04.10.2008 07:45:00;  3,25
21.11.2008 20:35:00;  5,29
22.12.2008 21:15:00;  5,59
24.01.2009 07:50:00;  3,21
28.02.2009 21:25:00;  21,1
07.03.2009 17:25:00;  31,7
01.04.2009 00:00:00;  11,0
30.05.2009 17:40:00;  12,1
24.06.2009 04:15:00;   164
06.07.2009 20:15:00;   186
05.08.2009 16:55:00;  3,78
18.09.2009 19:00:00;  1,81
30.10.2009 06:50:00;  1,45
04.11.2009 07:35:00;  2,37
12.12.2009 04:30:00;  3,48
20.01.2010 05:30:00;  1,74
27.02.2010 01:15:00;  5,93
01.03.2010 10:10:00;  3,32
15.04.2010 07:55:00;  18,0
22.05.2010 20:25:00;  74,2
02.06.2010 15:45:00;  74,7
31.07.2010 00:50:00;  9,24
07.08.2010 20:05:00;  35,3
01.09.2010 00:15:00;  6,93
02.10.2010 14:55:00;  2,21
29.11.2010 12:10:00;  1,59
13.12.2010 01:00:00;  3,33
14.01.2011 00:15:00;  10,6
05.02.2011 23:45:00;  4,13
19.03.2011 02:00:00;  24,3
26.04.2011 06:50:00;  2,13
28.05.2011 06:00:00;  3,18
08.06.2011 23:00:00;  9,21
31.07.2011 19:35:00;  1,89
16.08.2011 06:30:00;  3,11
20.09.2011 09:15:00;  2,66
13.10.2011 05:45:00;  34,2
05.11.2011 07:40:00;  1,20
08.12.2011 01:15:00; 0,942
22.01.2012 08:35:00;  12,4
24.02.2012 23:10:00;  4,09
01.03.2012 00:00:00;  3,04
17.04.2012 05:15:00;  8,08
30.05.2012 22:05:00;  1,41
13.06.2012 09:00:00;  13,7
25.07.2012 17:55:00;  7,11
05.08.2012 11:45:00;  1,70
13.09.2012 10:20:00;  3,73
31.10.2012 07:20:00;  1,02
05.11.2012 20:55:00;  2,91
23.12.2012 23:20:00;  14,8
30.01.2013 08:45:00;  50,6
01.02.2013 00:00:00;  8,21
07.03.2013 22:55:00;  9,83
20.04.2013 05:35:00;  9,49
31.05.2013 21:15:00;  5,93
11.06.2013 11:30:00;  81,8
06.07.2013 02:15:00;  10,2
29.08.2013 01:40:00;  4,73
17.09.2013 10:50:00;  4,86
03.10.2013 06:15:00; 0,907
24.11.2013 19:10:00;  30,1
10.12.2013 18:10:00;  3,06
22.01.2014 20:20:00;  2,41
