Messstelle:                ;Maria Luggau-Moos
12.12.1961 12:00:00;  5,14
02.01.1962 12:00:00;  2,64
04.02.1962 12:00:00;  2,51
05.03.1962 12:00:00;  2,25
26.04.1962 12:00:00;  15,5
10.05.1962 12:00:00;  19,9
01.06.1962 12:00:00;  42,0
28.07.1962 12:00:00;  33,5
01.08.1962 12:00:00;  5,94
08.09.1962 12:00:00;  2,38
29.10.1962 12:00:00;  2,14
08.11.1962 12:00:00;  26,8
30.12.1962 12:00:00;  2,38
01.01.1963 12:00:00;  2,14
06.02.1963 12:00:00;  1,90
31.03.1963 12:00:00;  1,74
25.04.1963 12:00:00;  12,3
28.05.1963 12:00:00;  18,0
24.06.1963 12:00:00;  17,3
18.07.1963 12:00:00;  8,40
18.08.1963 12:00:00;  15,0
08.09.1963 12:00:00;  6,30
09.10.1963 12:00:00;  1,90
17.11.1963 12:00:00;  10,5
05.12.1963 12:00:00;  1,90
05.01.1964 12:00:00;  1,74
01.02.1964 12:00:00;  1,58
31.03.1964 12:00:00;  1,50
30.04.1964 12:00:00;  2,94
15.05.1964 12:00:00;  6,78
15.06.1964 12:00:00;  10,0
21.07.1964 12:00:00;  10,0
22.08.1964 12:00:00;  4,40
17.09.1964 12:00:00;  3,87
13.10.1964 12:00:00;  5,74
19.11.1964 12:00:00;  5,74
01.12.1964 12:00:00;  5,15
06.01.1965 12:00:00;  2,50
02.02.1965 12:00:00;  1,74
31.03.1965 12:00:00;  3,14
09.04.1965 12:00:00;  4,93
16.05.1965 12:00:00;  22,6
17.06.1965 12:00:00;  20,0
02.07.1965 12:00:00;  12,3
01.08.1965 12:00:00;  15,7
03.09.1965 12:00:00;   210
01.10.1965 12:00:00;  13,5
06.11.1965 12:00:00;  3,27
04.12.1965 12:00:00;  2,34
22.01.1966 12:00:00;  1,55
23.02.1966 12:00:00;  1,64
15.03.1966 12:00:00;  1,78
21.04.1966 12:00:00;  6,53
07.05.1966 12:00:00;  17,4
24.06.1966 12:00:00;  8,64
19.07.1966 12:00:00;  15,8
18.08.1966 12:00:00;   107
02.09.1966 12:00:00;  12,4
19.10.1966 12:00:00;  17,0
04.11.1966 12:00:00;   210
02.12.1966 12:00:00;  13,5
25.01.1967 12:00:00;  1,76
05.02.1967 12:00:00;  1,16
12.03.1967 12:00:00;  3,68
10.04.1967 12:00:00;  12,2
30.05.1967 12:00:00;  21,0
09.06.1967 12:00:00;  17,7
28.07.1967 12:00:00;  5,12
06.08.1967 12:00:00;  5,12
10.09.1967 12:00:00;  15,8
05.10.1967 12:00:00;  5,67
06.11.1967 12:00:00;  6,94
01.12.1967 12:00:00;  3,75
04.01.1968 12:00:00;  2,39
23.02.1968 12:00:00;  1,61
31.03.1968 12:00:00;  4,58
25.04.1968 12:00:00;  14,6
07.05.1968 12:00:00;  18,0
16.06.1968 12:00:00;  21,0
01.07.1968 12:00:00;  5,99
07.08.1968 12:00:00;  10,8
16.09.1968 12:00:00;  5,75
16.10.1968 12:00:00;  4,06
03.11.1968 12:00:00;  21,0
05.12.1968 12:00:00;  3,37
14.01.1969 12:00:00;  2,35
03.02.1969 12:00:00;  1,61
20.03.1969 12:00:00;  1,91
29.04.1969 12:00:00;  16,5
06.05.1969 12:00:00;  26,0
11.06.1969 12:00:00;  14,6
29.07.1969 12:00:00;  6,17
24.08.1969 12:00:00;  4,48
14.09.1969 12:00:00;  10,4
01.10.1969 12:00:00;  3,08
14.11.1969 12:00:00;  4,32
01.12.1969 12:00:00;  2,30
06.01.1970 12:00:00;  1,61
12.02.1970 12:00:00;  1,11
27.03.1970 12:00:00;  1,93
26.04.1970 12:00:00;  20,3
16.05.1970 12:00:00;  14,3
18.06.1970 12:00:00;  21,0
15.07.1970 12:00:00;  18,5
23.08.1970 12:00:00;  11,5
12.09.1970 12:00:00;  8,03
01.10.1970 12:00:00;  3,20
14.11.1970 12:00:00;  3,34
01.12.1970 12:00:00;  2,03
02.01.1971 12:00:00;  1,41
05.02.1971 12:00:00;  1,50
26.03.1971 12:00:00;  1,58
24.04.1971 12:00:00;  9,25
10.05.1971 12:00:00;  22,0
24.06.1971 12:00:00;  12,7
01.07.1971 12:00:00;  10,4
27.08.1971 12:00:00;  10,7
25.09.1971 12:00:00;  3,30
15.10.1971 12:00:00;  2,27
10.11.1971 12:00:00;  7,68
10.12.1971 12:00:00;  2,27
03.01.1972 12:00:00;  1,86
23.02.1972 12:00:00;  1,95
31.03.1972 12:00:00;  4,70
05.04.1972 12:00:00;  11,6
27.05.1972 12:00:00;  23,9
12.06.1972 12:00:00;  69,0
11.07.1972 12:00:00;  22,7
01.08.1972 12:00:00;  8,61
19.09.1972 12:00:00;  4,42
29.10.1972 12:00:00;  5,22
01.11.1972 12:00:00;  3,37
10.12.1972 12:00:00;  2,33
24.01.1973 12:00:00;  2,61
21.02.1973 12:00:00;  1,81
28.03.1973 12:00:00;  2,33
30.04.1973 12:00:00;  5,87
07.05.1973 12:00:00;  21,8
23.06.1973 12:00:00;  30,0
22.07.1973 12:00:00;  12,3
23.08.1973 12:00:00;  8,35
26.09.1973 12:00:00;  24,9
02.10.1973 12:00:00;  16,8
06.11.1973 12:00:00;  4,28
09.12.1973 12:00:00;  2,13
25.01.1974 12:00:00;  1,99
21.02.1974 12:00:00;  1,99
28.03.1974 12:00:00;  4,28
10.04.1974 12:00:00;  5,28
22.05.1974 12:00:00;  11,2
27.06.1974 12:00:00;  18,0
18.07.1974 12:00:00;  13,9
28.08.1974 12:00:00;  6,86
07.09.1974 12:00:00;  7,34
01.10.1974 12:00:00;  3,92
19.11.1974 12:00:00;  2,42
02.12.1974 12:00:00;  1,80
08.01.1975 12:00:00;  1,54
18.02.1975 12:00:00;  1,41
31.03.1975 12:00:00;  1,54
25.04.1975 12:00:00;  14,6
19.05.1975 12:00:00;  29,0
18.06.1975 12:00:00;  20,4
19.07.1975 12:00:00;  14,1
25.08.1975 12:00:00;  8,78
16.09.1975 12:00:00;  4,23
17.10.1975 12:00:00;  2,90
03.11.1975 12:00:00;  2,07
01.12.1975 12:00:00;  1,81
05.01.1976 12:00:00;  1,63
29.02.1976 23:59:55;  1,57
31.03.1976 23:59:55;  2,75
07.04.1976 21:00:00;  6,02
13.05.1976 20:00:00;  16,0
02.06.1976 10:00:00;  8,55
22.07.1976 13:00:00;  6,17
01.08.1976 01:00:00;  4,94
14.09.1976 07:00:00;  25,8
13.10.1976 13:00:00;  24,7
07.11.1976 18:00:00;  14,7
02.12.1976 08:00:00;  4,35
01.01.1977 00:00:00;  2,45
04.02.1977 16:00:00;  1,98
26.03.1977 20:00:00;  7,45
30.04.1977 20:00:00;  12,9
20.05.1977 18:00:00;  26,1
11.06.1977 20:00:00;  18,0
31.07.1977 12:00:00;  19,8
29.08.1977 05:00:00;  12,2
05.09.1977 00:00:00;  8,71
11.10.1977 03:00:00;  2,92
01.11.1977 02:00:00;  2,06
25.12.1977 02:00:00;  2,00
30.01.1978 17:00:00;  2,55
06.02.1978 16:00:00;  2,02
31.03.1978 21:00:00;  3,12
30.04.1978 19:00:00;  6,58
22.05.1978 14:00:00;  51,5
08.06.1978 02:00:00;  20,1
05.07.1978 15:00:00;  14,6
08.08.1978 03:00:00;  9,17
27.09.1978 20:00:00;  6,66
04.10.1978 02:00:00;  28,6
01.11.1978 00:00:00;  4,55
06.12.1978 16:00:00;  2,35
28.01.1979 08:00:00;  1,68
18.02.1979 04:00:00;  1,54
16.03.1979 11:00:00;  3,52
17.04.1979 16:00:00;  5,41
21.05.1979 11:00:00;  29,3
01.06.1979 00:00:00;  25,9
02.07.1979 14:00:00;  14,0
24.08.1979 16:00:00;  14,9
24.09.1979 09:00:00;  22,0
15.10.1979 08:00:00;  56,6
10.11.1979 08:00:00;  6,99
01.12.1979 17:00:00;  4,35
02.01.1980 18:00:00;  3,34
01.02.1980 10:00:00;  2,51
30.03.1980 20:00:00;  3,04
17.04.1980 20:00:00;  5,92
13.05.1980 20:00:00;  11,4
24.06.1980 00:00:00;  20,3
09.07.1980 17:00:00;  19,2
12.08.1980 16:00:00;  11,1
10.09.1980 02:00:00;  6,95
17.10.1980 16:00:00;  66,6
01.11.1980 00:00:00;  5,98
10.12.1980 11:00:00;  3,16
07.01.1981 18:00:00;  1,86
09.02.1981 18:00:00;  1,41
31.03.1981 02:00:00;  5,07
16.04.1981 04:00:00;  6,16
27.05.1981 10:00:00;  45,6
05.06.1981 03:00:00;  9,66
19.07.1981 05:00:00;  37,6
04.08.1981 08:00:00;  7,43
28.09.1981 06:00:00;  9,17
01.10.1981 00:00:00;  7,02
05.11.1981 12:00:00;  7,05
01.12.1981 00:00:00;  3,13
11.01.1982 01:00:00;  1,96
01.02.1982 00:00:00;  1,20
31.03.1982 16:00:00;  1,70
08.04.1982 01:00:00;  3,70
24.05.1982 08:00:00;  12,4
03.06.1982 18:00:00;  9,56
31.07.1982 16:00:00;  6,50
21.08.1982 03:00:00;  6,19
07.09.1982 15:00:00;  7,83
23.10.1982 08:00:00;  17,9
14.11.1982 07:00:00;  6,65
10.12.1982 21:00:00;  4,58
01.01.1983 11:00:00;  2,56
01.02.1983 18:00:00;  1,89
22.03.1983 21:00:00;  2,51
30.04.1983 23:00:00;  6,83
23.05.1983 21:00:00;  21,5
06.06.1983 17:00:00;  9,64
05.07.1983 23:00:00;  7,88
03.08.1983 05:00:00;  3,52
17.09.1983 06:00:00;  8,94
01.10.1983 00:00:05;  9,79
02.11.1983 01:00:00;  1,82
19.12.1983 22:00:00;  1,75
05.01.1984 10:00:00;  1,72
05.02.1984 12:00:00;  1,33
09.03.1984 15:00:00;  1,53
24.04.1984 21:00:00;  4,69
21.05.1984 09:00:00;  44,5
04.06.1984 18:00:00;  20,9
02.07.1984 18:00:00;  11,2
06.08.1984 20:00:00;  5,20
24.09.1984 07:00:00;  8,35
05.10.1984 06:00:00;  14,6
01.11.1984 12:00:00;  2,93
03.12.1984 16:00:00;  2,21
01.01.1985 00:00:00;  1,56
04.02.1985 18:15:00;  1,45
04.03.1985 12:00:00;  1,39
23.04.1985 21:45:00;  6,41
14.05.1985 19:30:00;  18,8
15.06.1985 07:00:00;  14,9
05.07.1985 23:00:00;  12,0
06.08.1985 15:30:00;  21,3
04.09.1985 04:15:00;  5,72
02.10.1985 07:00:00;  1,93
01.11.1985 00:00:00;  1,58
10.12.1985 13:45:00;  1,56
01.01.1986 00:00:00;  1,30
02.02.1986 21:45:00;  1,20
31.03.1986 16:30:00;  1,79
30.04.1986 19:15:00;  17,4
21.05.1986 21:15:00;  22,3
04.06.1986 19:45:00;  11,5
07.07.1986 02:30:00;  3,67
14.08.1986 03:00:00;  8,62
10.09.1986 09:00:00;  13,7
23.10.1986 13:45:00;  2,56
05.11.1986 10:00:00;  1,90
13.12.1986 20:15:00;  1,64
07.01.1987 23:30:00;  1,76
07.02.1987 11:30:00;  2,22
09.03.1987 03:45:00;  1,66
21.04.1987 00:30:00;  11,3
04.05.1987 03:45:00;  14,7
09.06.1987 07:45:00;  16,7
19.07.1987 17:15:00;  38,5
25.08.1987 06:45:00;  15,0
06.09.1987 09:15:00;  17,1
12.10.1987 02:30:00;  47,8
01.11.1987 00:00:00;  5,85
11.12.1987 11:30:00;  3,06
01.01.1988 00:00:00;  2,75
03.02.1988 08:15:00;  2,61
30.03.1988 19:00:00;  1,59
24.04.1988 07:15:00;  11,3
09.05.1988 14:30:00;  11,8
06.06.1988 03:00:00;  9,89
15.07.1988 10:45:00;  14,8
21.08.1988 05:00:00;  10,7
13.09.1988 20:45:00;  11,3
13.10.1988 04:15:00;  23,5
25.11.1988 09:15:00;  3,41
18.12.1988 03:30:00;  3,73
24.01.1989 09:45:00;  2,15
01.02.1989 00:00:00;  1,48
31.03.1989 20:00:00;  1,99
05.04.1989 07:30:00;  28,3
13.05.1989 22:00:00;  10,1
03.06.1989 21:45:00;  10,1
04.07.1989 22:30:00;  27,8
09.08.1989 00:15:00;  14,1
27.09.1989 22:00:00;  6,26
01.10.1989 00:00:00;  1,81
04.11.1989 05:00:00;  3,54
19.12.1989 09:45:00;  13,9
18.01.1990 19:15:00;  2,28
15.02.1990 19:45:00;  2,60
25.03.1990 15:00:00;  3,57
07.04.1990 19:00:00;  3,57
17.05.1990 21:00:00;  13,2
08.06.1990 18:30:00;  14,2
10.07.1990 19:15:00;  17,2
17.08.1990 18:45:00;  9,95
24.09.1990 14:30:00;  8,01
05.10.1990 08:45:00;  4,33
23.11.1990 01:00:00;  15,5
03.12.1990 01:00:00;  4,90
14.01.1991 06:15:00;  2,05
13.02.1991 00:00:05;  2,53
25.03.1991 19:15:00;  9,50
17.04.1991 12:30:00;  6,01
23.05.1991 16:45:00;  11,6
17.06.1991 20:45:00;  37,3
17.07.1991 18:00:00;  20,8
01.08.1991 08:00:00;  11,9
30.09.1991 11:15:00;  3,89
12.10.1991 13:30:00;  13,9
13.11.1991 10:45:00;  4,43
29.12.1991 16:45:00;  2,81
14.01.1992 09:45:00;  2,28
02.02.1992 07:15:00;  1,80
06.03.1992 17:30:00;  1,80
29.04.1992 14:15:00;  19,3
10.05.1992 19:15:00;  18,8
20.06.1992 09:30:00;  20,2
16.07.1992 20:00:00;  10,4
14.08.1992 23:30:00;  12,0
04.09.1992 17:15:00;  14,4
05.10.1992 18:00:00;  64,3
03.11.1992 21:15:00;  9,80
04.12.1992 00:00:00;  5,38
01.01.1993 00:00:05;  1,92
25.02.1993 13:00:00;  1,92
24.03.1993 08:00:00;  2,54
28.04.1993 04:45:00;  3,57
28.05.1993 22:00:00;  6,71
23.06.1993 03:45:00;  11,9
21.07.1993 00:15:00;  19,7
02.08.1993 23:30:00;  9,50
26.09.1993 08:45:00;  9,80
02.10.1993 20:15:00;  74,2
06.11.1993 03:30:00;  10,7
01.12.1993 00:00:00;  2,96
08.01.1994 01:45:00;  2,40
18.02.1994 15:00:00;  1,97
25.03.1994 17:00:00;  3,25
30.04.1994 21:45:00;  7,88
19.05.1994 01:30:00;  13,7
05.06.1994 02:15:00;  9,22
17.07.1994 22:15:00;  35,1
18.08.1994 05:00:00;  11,3
14.09.1994 17:45:00;  37,8
04.10.1994 22:00:00;  10,7
11.11.1994 02:00:00;  4,81
01.12.1994 00:00:00;  3,16
09.01.1995 00:01:00;  1,69
28.02.1995 00:30:00;  1,57
05.03.1995 10:45:00;  1,46
30.04.1995 23:59:55;  3,97
31.05.1995 17:00:00;  15,9
01.06.1995 22:15:00;  21,2
05.07.1995 00:30:00;  11,6
14.08.1995 17:45:00;  6,59
13.09.1995 15:30:00;  14,1
01.10.1995 00:00:00;  3,49
01.11.1995 00:00:00;  2,17
14.12.1995 10:45:00;  1,57
06.01.1996 07:00:00;  1,35
06.02.1996 08:00:00;  1,33
25.03.1996 16:30:00;  1,59
25.04.1996 22:30:00;  4,43
20.05.1996 20:00:00;  10,1
22.06.1996 15:30:00;  9,22
08.07.1996 17:45:00;  8,46
29.08.1996 01:15:00;  11,0
01.09.1996 08:00:00;  6,59
16.10.1996 01:30:00;  58,0
16.11.1996 23:00:00;  13,7
01.12.1996 12:00:00;  3,57
06.01.1997 12:00:00;  1,46
26.02.1997 18:41:50;  1,76
28.03.1997 17:54:35;  2,09
30.04.1997 23:59:55;  2,19
21.05.1997 04:42:35;  12,2
28.06.1997 03:25:20;  23,5
17.07.1997 20:03:40;  16,2
01.08.1997 01:44:05;  8,97
07.09.1997 16:13:45;  17,0
01.10.1997 00:00:00;  2,59
07.11.1997 07:14:05;  11,8
01.12.1997 00:00:00;  2,25
22.01.1998 06:07:20;  1,57
05.02.1998 16:12:00;  1,76
31.03.1998 18:57:35;  1,80
29.04.1998 09:52:45;  12,4
12.05.1998 18:41:50;  11,2
28.06.1998 23:59:20;  14,1
02.07.1998 22:47:55;  42,0
01.08.1998 10:26:30;  11,0
05.09.1998 16:31:25;  24,9
07.10.1998 18:52:35;  75,6
05.11.1998 01:46:10;  4,22
10.12.1998 09:36:50;  2,20
17.01.1999 09:05:40;  1,63
01.02.1999 19:21:30;  2,46
15.03.1999 21:52:05;  2,26
30.04.1999 20:13:10;  7,90
05.05.1999 05:46:05;  24,1
04.06.1999 14:05:50;  15,0
22.07.1999 19:08:15;  13,3
28.08.1999 22:56:00;  18,5
21.09.1999 06:44:35;  18,4
25.10.1999 19:28:15;  9,41
04.11.1999 08:32:40;  4,17
01.12.1999 00:00:00;  2,04
01.01.2000 00:00:00;  1,30
28.02.2000 16:54:15;  1,57
09.03.2000 17:05:20;  2,13
19.04.2000 03:27:40;  19,2
10.05.2000 15:43:00;  11,3
24.06.2000 02:41:25;  10,4
11.07.2000 14:24:45;  14,1
05.08.2000 23:11:40;  21,6
21.09.2000 01:40:30;  31,0
12.10.2000 17:15:35;  41,5
17.11.2000 15:24:55;  34,7
01.12.2000 00:00:00;  8,22
08.01.2001 04:07:30;  10,6
16.02.2001 19:58:10;  2,21
25.03.2001 20:06:10;  5,53
30.04.2001 23:59:55;  6,13
04.05.2001 18:31:45;  13,3
11.06.2001 00:14:55;  11,5
20.07.2001 06:51:40;  23,8
31.08.2001 22:08:40;  11,7
01.09.2001 00:00:00;  9,28
01.10.2001 00:00:00;  4,25
12.11.2001 06:19:05;  4,22
24.12.2001 22:32:25;  2,04
12.01.2002 12:45:00;  1,25
22.02.2002 16:00:00;  1,14
20.03.2002 18:45:00;  4,06
27.04.2002 10:09:55;  5,66
04.05.2002 14:45:00;  29,2
06.06.2002 23:30:00;  42,6
31.07.2002 21:00:00;  9,20
11.08.2002 06:15:00;  13,3
03.09.2002 02:30:00;  4,60
18.10.2002 05:00:00;  6,51
26.11.2002 16:45:00;  50,7
01.12.2002 03:00:00;  14,8
21.01.2003 12:39:40;  2,19
19.02.2003 09:17:50;  2,81
31.03.2003 20:30:00;  2,13
30.04.2003 22:15:00;  8,44
03.05.2003 00:00:00;  10,3
13.06.2003 16:15:00;  7,91
23.07.2003 01:00:00;  7,30
31.08.2003 13:06:50;  9,94
01.09.2003 00:00:00;  4,43
05.10.2003 18:58:40;  4,75
01.11.2003 12:00:05;  18,9
01.12.2003 00:00:00;  3,97
01.01.2004 00:00:00;  1,94
25.02.2004 14:30:00;  1,76
21.03.2004 19:15:00;  3,81
24.04.2004 20:00:00;  12,6
22.05.2004 06:00:00;  18,0
12.06.2004 21:55:55;  22,3
02.07.2004 17:57:35;  14,6
20.08.2004 17:37:45;  8,33
14.09.2004 23:56:55;  6,52
31.10.2004 14:05:25;  16,1
01.11.2004 00:00:00;  12,4
01.12.2004 00:00:00;  2,76
01.01.2005 00:00:00;  1,97
18.02.2005 16:02:30;  1,40
31.03.2005 21:12:40;  3,04
30.04.2005 23:59:55;  3,85
04.05.2005 22:19:30;  11,3
01.06.2005 00:00:00;  5,72
19.07.2005 02:44:00;  13,8
21.08.2005 13:44:05;  10,2
09.09.2005 16:43:35;  12,8
05.10.2005 22:30:00;  36,7
06.11.2005 01:45:00;  2,92
03.12.2005 11:15:00;  1,88
01.01.2006 00:00:00;  1,27
01.02.2006 00:00:00;  1,18
27.03.2006 18:52:30;  2,92
29.04.2006 20:37:30;  9,05
20.05.2006 02:45:45;  21,0
29.06.2006 06:37:30;  12,1
06.07.2006 19:22:30;  6,97
03.08.2006 16:37:30;  52,1
15.09.2006 16:37:30;  14,3
05.10.2006 01:07:30;  5,61
01.11.2006 00:00:00;  1,88
09.12.2006 09:37:30;  2,77
24.01.2007 13:22:30;  1,65
01.02.2007 17:37:30;  1,27
19.03.2007 11:52:30;  2,24
23.04.2007 20:07:30;  8,67
15.05.2007 17:07:30;  9,73
26.06.2007 18:37:30;  19,5
10.07.2007 00:22:30;  19,8
20.08.2007 11:22:30;  14,7
03.09.2007 22:52:30;  9,74
06.10.2007 12:37:30;  6,51
24.11.2007 21:22:30;  11,4
01.12.2007 13:52:30;  2,92
17.01.2008 09:07:30;  1,45
25.02.2008 17:52:30;  1,88
01.03.2008 17:22:30;  2,49
29.04.2008 13:37:30;  5,61
18.05.2008 16:52:30;  29,3
01.06.2008 01:07:30;  10,0
30.07.2008 20:51:25;  11,2
23.08.2008 18:52:30;  11,1
01.09.2008 17:07:30;  7,20
30.10.2008 04:52:30;  49,5
05.11.2008 01:52:30;  33,5
01.12.2008 00:56:00;  3,02
21.01.2009 09:07:25;  3,73
07.02.2009 22:52:25;  4,31
30.03.2009 04:52:25;  6,49
28.04.2009 13:37:30;  18,5
13.05.2009 20:08:25;  26,2
20.06.2009 06:12:05;  19,4
18.07.2009 10:43:15;  19,1
03.08.2009 20:16:00;  6,01
16.09.2009 21:15:50;  12,5
22.10.2009 16:30:00;  6,08
30.11.2009 18:30:05;  15,2
01.12.2009 00:00:05;  13,6
01.01.2010 18:27:45;  2,81
02.02.2010 06:30:05;  1,88
27.03.2010 01:00:05;  4,79
30.04.2010 19:07:30;  13,2
06.05.2010 05:07:30;  42,7
16.06.2010 07:07:30;  10,0
13.07.2010 17:37:30;  8,19
15.08.2010 10:07:30;  34,6
25.09.2010 09:52:30;  15,9
05.10.2010 14:07:30;  12,0
02.11.2010 10:22:30;  22,9
23.12.2010 23:45:00;  5,86
01.01.2011 00:22:30;  2,77
02.02.2011 16:07:30;  2,24
28.03.2011 17:07:30;  3,21
04.04.2011 17:52:30;  11,4
27.05.2011 23:15:05;  21,9
23.06.2011 17:00:00;  23,8
15.07.2011 19:15:00;  9,21
08.08.2011 23:15:00;  14,9
19.09.2011 11:30:00;  31,9
26.10.2011 08:15:00;  18,9
07.11.2011 12:45:00;  7,69
01.12.2011 00:00:00;  2,47
21.01.2012 10:45:05;  1,72
29.02.2012 17:15:00;  2,11
04.03.2012 21:00:00;  2,49
29.04.2012 22:00:05;  5,20
13.05.2012 03:15:05;  7,51
20.06.2012 17:30:00;  8,27
21.07.2012 14:15:00;  33,3
31.08.2012 20:52:30;  12,0
12.09.2012 20:50:20;  15,9
01.10.2012 06:57:30;  18,0
05.11.2012 10:40:35;  41,1
01.12.2012 00:00:00;  5,96
01.01.2013 00:00:00;  2,07
02.02.2013 12:18:05;  1,71
09.03.2013 17:30:05;  1,99
