Messstelle:                ;Hannersdorf
05.07.1965 12:00:00;  6,73
02.08.1965 12:00:00;  16,1
29.09.1965 12:00:00;  1,78
13.10.1965 12:00:00;  1,22
29.11.1965 12:00:00;  1,22
07.12.1965 12:00:00;  7,86
03.01.1966 12:00:00;  1,22
09.02.1966 12:00:00;  1,64
12.03.1966 12:00:00;  1,22
08.04.1966 12:00:00;  1,22
26.05.1966 12:00:00;  1,36
22.06.1966 12:00:00; 0,730
24.07.1966 12:00:00;  10,5
19.08.1966 12:00:00;  11,5
06.09.1966 12:00:00;  1,98
24.10.1966 12:00:00;  1,23
17.11.1966 12:00:00;  2,14
13.12.1966 12:00:00;  2,76
11.01.1967 12:00:00;  1,53
22.02.1967 12:00:00;  1,53
29.03.1967 12:00:00;  1,98
07.04.1967 12:00:00;  1,53
31.05.1967 12:00:00;  7,24
01.06.1967 12:00:00;  11,5
16.07.1967 12:00:00;  1,53
25.08.1967 12:00:00;  1,23
10.09.1967 12:00:00;  2,14
05.10.1967 12:00:00;  3,96
06.11.1967 12:00:00;  1,49
23.12.1967 12:00:00; 0,620
17.01.1968 12:00:00; 0,920
04.02.1968 12:00:00; 0,620
05.03.1968 12:00:00; 0,620
08.04.1968 12:00:00; 0,520
04.05.1968 12:00:00; 0,520
25.06.1968 12:00:00; 0,340
17.07.1968 12:00:00; 0,430
07.08.1968 12:00:00;  13,0
04.09.1968 12:00:00; 0,620
10.10.1968 12:00:00; 0,810
20.11.1968 12:00:00; 0,920
02.12.1968 12:00:00; 0,520
18.01.1969 12:00:00;  3,96
21.02.1969 12:00:00;  14,4
16.03.1969 12:00:00;  3,28
02.04.1969 12:00:00;  1,42
09.05.1969 12:00:00; 0,810
07.06.1969 12:00:00;  18,0
12.07.1969 12:00:00; 0,660
30.08.1969 12:00:00; 0,810
16.09.1969 12:00:00; 0,810
02.10.1969 12:00:00; 0,810
26.11.1969 12:00:00; 0,920
02.12.1969 12:00:00; 0,620
31.01.1970 12:00:00; 0,760
21.02.1970 12:00:00;  1,24
21.03.1970 12:00:00;  2,37
03.04.1970 12:00:00;  2,76
22.05.1970 12:00:00;  5,00
08.06.1970 12:00:00;  1,68
15.07.1970 12:00:00;  1,98
15.08.1970 12:00:00;  1,83
02.09.1970 12:00:00;  1,02
21.10.1970 12:00:00;  1,30
22.11.1970 12:00:00;  3,11
20.12.1970 12:00:00; 0,810
22.01.1971 12:00:00;  1,61
03.02.1971 12:00:00; 0,810
23.03.1971 12:00:00;  2,20
02.04.1971 12:00:00; 0,860
02.05.1971 12:00:00; 0,620
27.06.1971 12:00:00; 0,320
19.07.1971 12:00:00; 0,600
16.08.1971 12:00:00; 0,430
14.09.1971 12:00:00; 0,350
29.10.1971 12:00:00; 0,250
30.11.1971 12:00:00; 0,510
31.12.1971 12:00:00; 0,700
16.01.1972 12:00:00; 0,800
13.02.1972 12:00:00;  1,79
02.03.1972 12:00:00; 0,600
23.04.1972 12:00:00;  1,35
28.05.1972 12:00:00;  6,30
01.06.1972 12:00:00;  3,11
26.07.1972 12:00:00;  9,40
02.08.1972 12:00:00;  5,35
16.09.1972 12:00:00;  1,47
16.10.1972 12:00:00; 0,700
26.11.1972 12:00:00; 0,700
31.12.1972 12:00:00; 0,700
19.01.1973 12:00:00; 0,800
10.02.1973 12:00:00; 0,800
29.03.1973 12:00:00; 0,510
24.04.1973 12:00:00; 0,620
03.05.1973 12:00:00; 0,570
07.06.1973 12:00:00;  1,49
07.07.1973 12:00:00;  1,13
04.08.1973 12:00:00; 0,810
26.09.1973 12:00:00;  2,00
19.10.1973 12:00:00;  1,02
07.11.1973 12:00:00; 0,800
26.12.1973 12:00:00; 0,620
20.01.1974 12:00:00;  2,32
08.02.1974 12:00:00;  1,36
06.03.1974 12:00:00;  2,17
11.04.1974 12:00:00; 0,620
06.05.1974 12:00:00;  1,02
04.06.1974 12:00:00;  2,32
21.07.1974 12:00:00;  1,13
22.08.1974 12:00:00;  1,02
27.09.1974 12:00:00; 0,710
20.10.1974 12:00:00;  11,0
26.11.1974 12:00:00;  1,02
16.12.1974 12:00:00; 0,810
11.01.1975 12:00:00; 0,660
28.02.1975 12:00:00; 0,810
31.03.1975 12:00:00;  1,02
01.04.1975 12:00:00;  1,02
19.05.1975 12:00:00; 0,710
30.06.1975 12:00:00;  6,29
12.07.1975 12:00:00;  29,0
27.08.1975 12:00:00; 0,700
30.09.1975 12:00:00;  1,00
08.10.1975 12:00:00;  1,00
30.11.1975 12:00:00;  1,11
03.12.1975 12:00:00;  1,35
30.01.1976 08:00:00;  1,48
26.02.1976 08:00:00;  2,01
01.03.1976 00:00:00;  1,85
01.04.1976 00:00:00;  1,07
14.05.1976 08:00:00;  2,04
15.06.1976 08:00:00;  2,04
21.07.1976 08:00:00; 0,599
01.08.1976 02:00:00;  2,00
11.09.1976 08:00:00;  3,05
31.10.1976 23:59:55; 0,745
17.11.1976 08:00:00; 0,897
03.12.1976 08:00:00;  2,73
30.01.1977 08:00:00;  2,19
13.02.1977 08:00:00;  13,4
03.03.1977 08:00:00;  1,81
09.04.1977 08:00:00; 0,693
14.05.1977 08:00:00; 0,735
07.06.1977 08:00:00; 0,832
01.07.1977 02:00:00; 0,832
22.08.1977 08:00:00; 0,832
13.09.1977 08:00:00; 0,379
27.10.1977 08:00:00; 0,379
03.11.1977 08:00:00; 0,379
04.12.1977 00:00:05; 0,406
26.01.1978 08:00:00; 0,379
27.02.1978 08:00:00;  1,55
01.03.1978 00:00:00;  1,18
16.04.1978 08:00:00; 0,567
20.05.1978 08:00:00;  3,49
26.06.1978 10:00:00;  1,26
19.07.1978 08:00:00;  3,92
07.08.1978 08:00:00; 0,967
01.09.1978 00:00:00; 0,567
01.10.1978 02:00:00; 0,913
15.11.1978 08:00:00; 0,567
17.12.1978 00:00:00; 0,598
30.01.1979 00:01:00;  1,93
17.02.1979 00:00:00;  2,45
08.03.1979 08:00:00; 0,860
06.04.1979 16:00:00;  12,8
03.05.1979 08:00:00;  8,74
20.06.1979 08:00:00;  2,50
04.07.1979 08:00:00;  2,19
05.08.1979 08:00:00;  2,98
06.09.1979 08:00:00; 0,461
06.10.1979 08:00:00; 0,548
18.11.1979 08:00:00;  1,14
26.12.1979 08:00:00; 0,735
27.01.1980 00:00:05; 0,521
06.02.1980 08:00:00;  1,07
01.03.1980 00:00:00; 0,548
07.04.1980 10:00:00; 0,505
10.05.1980 08:00:00; 0,640
30.06.1980 08:00:00; 0,860
12.07.1980 08:00:00;  1,33
30.08.1980 08:00:00; 0,735
01.09.1980 00:00:00; 0,735
13.10.1980 12:00:00;  15,2
27.11.1980 08:00:00;  5,67
07.12.1980 00:00:00;  1,31
01.01.1981 00:00:00;  1,14
01.02.1981 00:00:00; 0,640
10.03.1981 08:00:00; 0,640
28.04.1981 08:00:00; 0,379
25.05.1981 08:00:00;  1,07
27.06.1981 08:00:00;  1,33
01.07.1981 00:00:00; 0,735
12.08.1981 08:00:00; 0,481
25.09.1981 08:00:00;  1,32
24.10.1981 08:00:00;  1,32
01.11.1981 00:00:00; 0,481
10.12.1981 08:00:00; 0,481
03.01.1982 08:00:00;  8,74
01.02.1982 00:00:00; 0,708
17.03.1982 08:00:00; 0,967
01.04.1982 00:00:00; 0,609
23.05.1982 08:00:00;  3,08
24.06.1982 08:00:00;  1,58
16.07.1982 08:00:00;  1,26
07.08.1982 20:00:00;  27,4
08.09.1982 08:00:00;  6,89
02.10.1982 08:00:00;  20,8
14.11.1982 08:00:00;  2,52
11.12.1982 08:00:00;  14,8
17.01.1983 10:00:00;  1,33
14.02.1983 08:00:00;  1,20
30.03.1983 08:00:00;  1,19
23.04.1983 08:00:00;  2,65
23.05.1983 18:00:00;  1,68
29.06.1983 08:00:00; 0,701
01.07.1983 00:00:00; 0,578
03.08.1983 08:00:00; 0,701
12.09.1983 08:00:00;  1,08
12.10.1983 08:00:00; 0,651
20.11.1983 00:00:00; 0,486
21.12.1983 08:00:00; 0,739
23.01.1984 00:00:05; 0,428
26.02.1984 08:00:00; 0,695
01.03.1984 02:00:00; 0,739
03.04.1984 08:00:00;  1,19
23.05.1984 08:00:00;  1,19
01.06.1984 00:00:00; 0,978
03.07.1984 08:00:00; 0,788
08.08.1984 08:00:00; 0,701
24.09.1984 08:00:00;  2,14
04.10.1984 08:00:00; 0,701
17.11.1984 08:00:00; 0,618
01.12.1984 00:00:00; 0,537
31.01.1985 00:01:00;  1,08
01.02.1985 00:00:00; 0,956
23.03.1985 08:00:00;  3,94
01.04.1985 00:00:00;  3,05
22.05.1985 18:00:00;  4,80
01.06.1985 00:00:00;  1,22
01.07.1985 00:00:00;  1,22
18.08.1985 08:00:00; 0,757
18.09.1985 10:00:00; 0,509
14.10.1985 08:00:00; 0,509
22.11.1985 08:00:00;  1,22
13.12.1985 08:00:00;  1,12
08.01.1986 08:00:00;  1,21
04.02.1986 10:00:00; 0,780
26.03.1986 08:00:00;  3,11
01.04.1986 00:00:00;  2,43
06.05.1986 08:00:00;  1,47
19.06.1986 22:00:00;  9,27
01.07.1986 00:00:00;  1,22
20.08.1986 08:00:00;  2,30
01.09.1986 00:00:00; 0,659
20.10.1986 08:00:00; 0,400
24.11.1986 08:00:00; 0,757
31.12.1986 00:01:00; 0,548
01.01.1987 00:00:05; 0,640
22.02.1987 08:00:00;  3,74
29.03.1987 08:00:00;  1,48
02.04.1987 08:00:00;  1,35
27.05.1987 08:00:00;  1,35
03.06.1987 00:00:00;  2,15
30.07.1987 10:00:00; 0,993
05.08.1987 20:00:00;  2,31
05.09.1987 08:00:00; 0,586
31.10.1987 00:10:00; 0,684
27.11.1987 08:00:00; 0,897
10.12.1987 00:00:00;  1,27
31.01.1988 08:00:00;  1,73
01.02.1988 00:00:00;  1,73
16.03.1988 02:00:00; 0,929
02.04.1988 08:00:00; 0,967
20.05.1988 08:00:00; 0,659
11.06.1988 08:00:00;  1,35
01.07.1988 00:00:00; 0,586
11.08.1988 00:00:00; 0,595
15.09.1988 08:00:00; 0,981
13.10.1988 08:00:00; 0,526
01.11.1988 02:00:00; 0,437
03.12.1988 08:00:00; 0,526
31.01.1989 09:15:00;  1,37
26.02.1989 20:30:00; 0,782
14.03.1989 12:45:00; 0,936
02.04.1989 10:00:00;  2,59
19.05.1989 21:30:00;  6,65
23.06.1989 23:15:00;  7,39
31.07.1989 23:45:00;  12,6
01.08.1989 00:00:00;  12,6
28.09.1989 08:15:00;  3,17
03.10.1989 17:45:00;  1,10
26.11.1989 09:30:00;  1,84
18.12.1989 11:45:00; 0,782
27.01.1990 00:01:00; 0,811
16.02.1990 09:45:00;  1,12
28.03.1990 09:45:00;  1,21
23.04.1990 19:30:00;  1,57
17.05.1990 19:30:00;  3,07
19.06.1990 00:00:00;  9,57
01.07.1990 18:45:00;  6,65
21.08.1990 18:00:00;  1,75
24.09.1990 17:45:00;  2,69
28.10.1990 00:45:00;  2,88
01.11.1990 16:00:00;  5,18
10.12.1990 18:15:00;  2,79
16.01.1991 10:00:00;  1,04
26.02.1991 00:01:00; 0,885
02.03.1991 10:15:00; 0,670
12.04.1991 11:45:00;  1,04
18.05.1991 14:00:00;  12,6
28.06.1991 03:45:00;  23,0
28.07.1991 16:00:00;  4,16
18.08.1991 11:45:00;  5,91
16.09.1991 07:30:00;  9,02
18.10.1991 22:45:00;  4,16
21.11.1991 00:30:00;  7,82
23.12.1991 11:15:00;  1,94
11.01.1992 09:30:00;  1,07
03.02.1992 12:15:00; 0,856
27.03.1992 07:15:00;  7,17
02.04.1992 22:30:00;  1,14
21.05.1992 19:15:00; 0,993
12.06.1992 20:15:00;  4,36
07.07.1992 16:45:00; 0,671
02.08.1992 13:15:00; 0,300
30.09.1992 03:00:00;  1,85
06.10.1992 02:00:00;  1,94
18.11.1992 01:45:00;  4,46
06.12.1992 03:45:00;  14,3
23.01.1993 09:45:00; 0,923
17.02.1993 18:00:00; 0,671
23.03.1993 17:45:00; 0,856
12.04.1993 15:00:00; 0,671
28.05.1993 21:45:00; 0,791
24.06.1993 10:15:00;  2,22
20.07.1993 04:30:00;  1,30
17.08.1993 21:45:00;  1,48
11.09.1993 07:00:00;  1,30
24.10.1993 07:00:00;  2,22
06.11.1993 10:45:00;  1,39
25.12.1993 02:45:00;  3,37
05.01.1994 10:30:00;  2,12
23.02.1994 00:15:00; 0,730
12.03.1994 18:30:00; 0,616
12.04.1994 09:30:00;  7,28
28.05.1994 00:45:00;  1,57
05.06.1994 10:00:00;  1,39
19.07.1994 22:45:00;  5,59
13.08.1994 23:00:00;  2,31
03.09.1994 15:30:00;  2,31
25.10.1994 23:15:00;  2,41
12.11.1994 02:30:00;  1,30
29.12.1994 21:15:00; 0,671
27.01.1995 14:30:00; 0,791
26.02.1995 23:00:00;  2,31
05.03.1995 01:15:00;  11,5
30.04.1995 17:30:00;  9,01
31.05.1995 22:00:00;  2,61
07.06.1995 11:30:00;  5,28
14.07.1995 21:00:00;  4,57
28.08.1995 18:15:00;  6,32
20.09.1995 10:45:00;  4,47
08.10.1995 13:00:00; 0,987
17.11.1995 23:30:00; 0,921
28.12.1995 11:00:00;  1,13
11.01.1996 22:45:00;  3,18
23.02.1996 06:45:00; 0,796
19.03.1996 16:30:00;  5,90
02.04.1996 18:15:00;  9,87
27.05.1996 20:45:00;  15,1
23.06.1996 01:00:00;  5,07
03.07.1996 04:00:00;  5,80
13.08.1996 08:00:00;  5,59
23.09.1996 16:45:00;  10,3
22.10.1996 09:15:00;  8,77
18.11.1996 23:15:00;  2,14
01.12.1996 19:15:00; 0,921
13.01.1997 16:06:25; 0,585
12.02.1997 20:30:30;  1,61
19.03.1997 12:20:25;  1,09
19.04.1997 18:20:40;  1,07
22.05.1997 10:15:40;  2,70
15.06.1997 03:01:20;  4,04
25.07.1997 17:00:20;  8,60
01.08.1997 09:41:55;  10,3
07.09.1997 23:42:05;  3,53
25.10.1997 10:26:50; 0,522
20.11.1997 15:04:40;  1,36
21.12.1997 02:28:35;  2,60
26.01.1998 10:46:50;  1,12
28.02.1998 13:00:55; 0,662
18.03.1998 08:28:35;  5,04
17.04.1998 06:53:00;  1,10
31.05.1998 22:45:30;  2,08
27.06.1998 05:32:15;  13,6
07.07.1998 19:03:40;  12,0
01.08.1998 02:05:40;  7,79
06.09.1998 03:41:25;  18,6
20.10.1998 07:25:30;  6,11
11.11.1998 02:37:55;  5,42
15.12.1998 23:05:15;  1,45
12.01.1999 20:33:15; 0,881
03.02.1999 04:48:25;  1,05
07.03.1999 21:38:30;  1,12
17.04.1999 18:14:30;  7,47
21.05.1999 07:00:10;  24,6
12.06.1999 05:47:50;  2,98
10.07.1999 15:53:05;  6,11
17.08.1999 06:54:20;  3,91
19.09.1999 10:31:45;  1,34
26.10.1999 15:39:50; 0,832
10.11.1999 14:03:25;  1,19
11.12.1999 12:00:30;  3,11
31.01.2000 22:47:20;  2,87
01.02.2000 22:07:10;  7,60
30.03.2000 07:57:05;  2,13
02.04.2000 09:45:30;  2,26
22.05.2000 12:05:00; 0,918
01.06.2000 03:07:05; 0,569
15.07.2000 12:20:40;  1,04
06.08.2000 13:29:00;  2,68
17.09.2000 02:13:30;  1,66
03.10.2000 13:09:20;  1,43
18.11.2000 22:22:00;  1,67
28.12.2000 09:45:15;  3,46
08.01.2001 19:47:25; 0,923
03.02.2001 09:39:25; 0,577
13.03.2001 19:49:35;  1,03
08.04.2001 16:36:55;  1,61
05.05.2001 10:50:25; 0,665
17.06.2001 19:17:35;  1,20
11.07.2001 00:37:05;  1,07
14.08.2001 11:26:00; 0,248
16.09.2001 23:44:20;  1,67
26.10.2001 12:13:25; 0,713
20.11.2001 10:50:40; 0,553
05.12.2001 10:10:15; 0,394
28.01.2002 20:33:30; 0,309
17.02.2002 12:40:15; 0,522
20.03.2002 21:31:40; 0,489
12.04.2002 23:00:35; 0,463
13.05.2002 00:32:45;  1,80
08.06.2002 19:25:45;  1,35
31.07.2002 23:15:00;  1,50
12.08.2002 11:52:15;  5,22
10.09.2002 22:30:15; 0,125
18.10.2002 10:45:30; 0,695
30.11.2002 11:01:35; 0,282
06.12.2002 15:36:40; 0,957
25.01.2003 12:33:20; 0,430
12.02.2003 09:08:05; 0,461
26.03.2003 15:51:50; 0,536
11.04.2003 13:48:40; 0,363
27.05.2003 09:13:20; 0,585
01.06.2003 23:45:00;  2,11
05.07.2003 00:26:30; 0,543
31.08.2003 22:08:10; 0,768
01.09.2003 00:00:00; 0,457
04.10.2003 12:25:35;  2,27
03.11.2003 11:04:10; 0,290
10.12.2003 09:41:20; 0,649
01.01.2004 00:00:00; 0,297
03.02.2004 02:37:40; 0,264
25.03.2004 02:23:50;  2,59
15.04.2004 12:55:40;  1,30
10.05.2004 11:02:15;  1,67
25.06.2004 18:12:00;  20,8
02.07.2004 05:19:55;  2,67
07.08.2004 15:30:00;  1,56
30.09.2004 22:45:00; 0,750
22.10.2004 13:15:00;  2,07
09.11.2004 18:00:00; 0,594
27.12.2004 19:45:00;  1,85
01.01.2005 15:45:00; 0,562
01.02.2005 00:00:00; 0,419
18.03.2005 23:45:00;  3,27
20.04.2005 10:45:00;  2,03
18.05.2005 12:45:00;  1,22
13.06.2005 03:00:00;  1,39
11.07.2005 15:30:00;  4,86
15.08.2005 08:30:00;  5,77
29.09.2005 23:30:00; 0,898
20.10.2005 13:45:00; 0,541
27.11.2005 20:45:00;  3,39
06.12.2005 17:30:00;  4,08
03.01.2006 04:15:00;  1,71
21.02.2006 00:15:00;  7,26
29.03.2006 13:15:00;  1,36
30.04.2006 04:30:00;  4,58
01.05.2006 05:00:00;  3,59
02.06.2006 23:45:00;  8,40
12.07.2006 22:30:00;  6,39
04.08.2006 03:15:00;  2,91
02.09.2006 15:15:00; 0,400
25.10.2006 08:15:00;  1,04
22.11.2006 17:30:00;  1,27
28.12.2006 08:45:00; 0,444
27.01.2007 10:30:00; 0,832
26.02.2007 10:45:00;  1,45
24.03.2007 08:15:00;  3,20
03.04.2007 16:00:00; 0,707
12.05.2007 03:30:00; 0,898
17.06.2007 06:00:00;  3,98
10.07.2007 09:00:00;  1,45
20.08.2007 21:30:00;  1,27
28.09.2007 11:00:00;  8,97
28.10.2007 21:00:00;  9,08
02.11.2007 15:45:00;  1,04
12.12.2007 20:00:00;  4,28
17.01.2008 12:15:00;  1,27
01.02.2008 03:00:00; 0,594
17.03.2008 04:00:00;  1,12
22.04.2008 03:15:00; 0,967
01.05.2008 16:45:00; 0,649
11.06.2008 21:00:00;  3,86
21.07.2008 06:15:00;  7,79
16.08.2008 10:45:00;  6,63
12.09.2008 12:45:00;  1,36
10.10.2008 14:30:00; 0,832
02.11.2008 18:45:00; 0,649
18.12.2008 15:00:00;  9,19
28.01.2009 03:00:00;  7,26
08.02.2009 18:15:00;  9,74
06.03.2009 16:00:00;  6,00
04.04.2009 09:15:00;  1,19
30.05.2009 18:30:00;  3,29
24.06.2009 15:15:00;  30,8
02.07.2009 00:00:00;  16,7
04.08.2009 14:00:00;  4,68
05.09.2009 07:00:00;  3,59
11.10.2009 09:30:00;  1,04
07.11.2009 00:00:00;  1,04
25.12.2009 23:45:00;  4,98
01.01.2010 03:45:00; 0,594
26.02.2010 23:00:00;  4,58
02.03.2010 00:45:00;  1,89
02.04.2010 09:30:00;  1,53
27.05.2010 00:15:00;  2,25
16.06.2010 15:30:00;  8,22
16.07.2010 02:00:00;  4,68
19.08.2010 22:15:00;  8,76
26.09.2010 04:30:20;  26,3
01.10.2010 00:00:00;  1,53
22.11.2010 10:45:00;  5,18
08.12.2010 16:30:00;  7,58
01.01.2011 00:00:00; 0,967
12.02.2011 00:00:00; 0,649
17.03.2011 08:15:00;  2,07
30.04.2011 20:30:00;  2,09
14.05.2011 21:45:00;  3,53
24.06.2011 02:45:00;  5,29
15.07.2011 06:00:00;  2,07
04.08.2011 09:30:00;  5,59
19.09.2011 20:45:00;  1,29
07.10.2011 17:30:00;  2,00
20.11.2011 13:00:00; 0,444
17.12.2011 00:15:00; 0,707
02.01.2012 14:30:00; 0,492
28.02.2012 15:30:00; 0,459
29.03.2012 09:45:00; 0,558
12.04.2012 16:45:00; 0,851
04.05.2012 15:15:00;  3,53
22.06.2012 08:15:00; 0,851
30.07.2012 00:00:00;  6,94
01.08.2012 00:00:00; 0,541
13.09.2012 08:15:00;  1,04
16.10.2012 15:00:00;  1,64
05.11.2012 13:45:00;  14,3
05.12.2012 16:00:00; 0,512
31.01.2013 18:45:00;  1,66
26.02.2013 11:30:00;  19,7
31.03.2013 10:45:00;  13,3
12.04.2013 23:30:00;  5,90
02.05.2013 14:00:00;  7,58
11.06.2013 12:30:00;  4,08
11.07.2013 15:15:00; 0,951
28.08.2013 09:15:00;  2,22
