Messstelle:                ;Seeboden-Seebrücke
09.05.1973 12:00:00;  9,35
26.06.1973 12:00:00;  11,3
01.07.1973 12:00:00;  10,6
01.08.1973 12:00:00;  6,16
30.09.1973 12:00:00;  16,2
03.10.1973 12:00:00;  23,0
02.11.1973 12:00:00;  8,25
29.12.1973 12:00:00;  3,91
01.01.1974 12:00:00;  4,09
07.02.1974 12:00:00;  3,01
31.03.1974 12:00:00;  5,13
05.04.1974 12:00:00;  6,23
18.05.1974 12:00:00;  6,04
30.06.1974 12:00:00;  6,70
09.07.1974 12:00:00;  6,70
01.08.1974 12:00:00;  5,32
30.09.1974 12:00:00;  5,77
14.10.1974 12:00:00;  5,97
01.11.1974 12:00:00;  4,63
02.12.1974 12:00:00;  3,18
01.01.1975 12:00:00;  3,01
01.02.1975 12:00:00;  2,36
31.03.1975 12:00:00;  5,13
26.04.1975 12:00:00;  16,5
21.05.1975 12:00:00;  27,0
03.06.1975 12:00:00;  20,6
04.07.1975 12:00:00;  17,6
01.08.1975 12:00:00;  10,1
01.09.1975 12:00:00;  6,36
19.10.1975 12:00:00;  3,91
22.11.1975 12:00:00;  3,56
08.12.1975 12:00:00;  3,56
05.01.1976 10:00:00;  3,06
15.02.1976 08:00:00;  2,75
05.03.1976 08:00:00;  2,75
24.04.1976 08:00:00;  3,39
16.05.1976 08:00:00;  5,58
01.06.1976 00:00:00;  5,00
29.07.1976 08:00:00;  3,23
07.08.1976 10:00:00;  3,06
18.09.1976 10:00:00;  6,28
18.10.1976 08:00:00;  5,00
08.11.1976 08:00:00;  6,85
02.12.1976 08:00:00;  5,72
05.01.1977 10:00:00;  4,64
26.02.1977 08:00:00;  7,23
29.03.1977 08:00:00;  7,23
09.04.1977 08:00:00;  8,23
15.05.1977 08:00:00;  10,1
01.06.1977 00:00:00;  8,42
31.07.1977 23:59:55;  6,67
23.08.1977 08:00:00;  7,84
01.09.1977 00:00:00;  7,26
01.10.1977 00:00:00;  3,77
17.11.1977 10:00:00;  2,54
30.12.1977 10:00:00;  2,25
30.01.1978 08:00:00;  2,45
16.02.1978 00:10:00;  2,52
20.03.1978 10:00:00;  3,80
30.04.1978 23:59:55;  6,76
25.05.1978 08:00:00;  11,1
01.06.1978 00:00:00;  10,4
22.07.1978 08:00:00;  8,85
08.08.1978 08:00:00;  8,24
01.09.1978 00:00:00;  4,64
06.10.1978 08:00:00;  5,52
01.11.1978 00:00:00;  2,68
30.12.1978 10:00:00;  2,40
30.01.1979 08:00:00;  3,97
01.02.1979 00:00:00;  3,96
24.03.1979 10:00:00;  5,81
26.04.1979 10:00:00;  6,92
24.05.1979 10:00:00;  19,0
18.06.1979 08:00:00;  19,0
04.07.1979 08:00:00;  20,4
01.08.1979 02:00:00;  6,92
25.09.1979 08:00:00;  5,53
01.10.1979 00:00:00;  4,98
21.11.1979 10:00:00;  6,08
01.12.1979 00:00:00;  5,27
23.01.1980 08:00:00;  3,97
01.02.1980 00:00:00;  3,48
31.03.1980 23:59:55;  3,75
03.04.1980 08:00:00;  4,48
16.05.1980 10:00:00;  6,92
28.06.1980 08:00:00;  7,78
11.07.1980 08:00:00;  8,97
01.08.1980 00:00:00;  6,35
11.09.1980 08:00:00;  5,53
18.10.1980 08:00:00;  7,78
01.11.1980 00:00:00;  6,63
01.12.1980 00:00:00;  6,08
02.01.1981 08:00:00;  4,22
24.02.1981 08:00:00;  2,82
31.03.1981 23:59:55;  4,48
06.04.1981 08:00:00;  5,53
29.05.1981 08:00:00;  9,58
01.06.1981 00:00:00;  8,97
27.07.1981 08:00:00;  6,92
06.08.1981 08:00:00;  6,35
02.09.1981 08:00:00;  5,27
03.10.1981 10:00:00;  5,53
01.11.1981 00:00:00;  5,26
01.12.1981 02:00:00;  3,73
09.01.1982 08:00:00;  3,73
01.02.1982 00:00:00;  2,82
30.03.1982 08:00:00;  2,82
14.04.1982 08:00:00;  4,48
27.05.1982 08:00:00;  8,68
01.06.1982 00:00:00;  7,24
01.07.1982 00:00:00;  6,36
04.08.1982 10:00:00;  4,82
09.09.1982 10:00:00;  4,82
25.10.1982 08:00:00;  6,37
16.11.1982 08:00:00;  7,19
19.12.1982 08:00:00;  6,37
01.01.1983 00:00:00;  5,32
01.02.1983 00:00:00;  4,82
29.03.1983 08:00:00;  4,34
29.04.1983 10:00:00;  6,37
27.05.1983 10:00:00;  8,65
01.06.1983 00:00:00;  8,05
01.07.1983 00:00:00;  4,81
04.08.1983 08:00:00;  3,88
13.09.1983 08:00:00;  6,64
22.10.1983 10:00:00;  4,48
01.11.1983 00:00:00;  3,49
27.12.1983 08:00:00;  3,04
01.01.1984 00:00:00;  2,60
27.02.1984 08:00:00;  2,60
31.03.1984 10:00:00;  3,04
30.04.1984 23:59:55;  5,28
24.05.1984 10:00:00;  14,1
01.06.1984 00:00:00;  12,1
03.07.1984 10:00:00;  5,00
15.08.1984 08:00:00;  6,64
27.09.1984 10:00:00;  7,20
09.10.1984 10:00:00;  10,2
01.11.1984 00:00:00;  4,74
03.12.1984 10:00:00;  3,26
01.01.1985 00:00:00;  2,39
03.02.1985 08:00:00;  3,02
31.03.1985 23:59:55;  2,60
30.04.1985 23:59:55;  4,49
17.05.1985 08:00:00;  13,1
16.06.1985 08:00:00;  12,8
01.07.1985 00:00:00;  8,37
08.08.1985 10:00:00;  7,49
01.09.1985 00:00:00;  5,81
01.10.1985 00:00:00;  2,40
13.11.1985 08:00:00;  3,47
11.12.1985 08:00:00;  3,02
01.01.1986 00:00:00;  2,40
01.02.1986 02:00:00;  2,20
29.03.1986 10:00:00;  2,40
30.04.1986 08:00:00;  9,58
07.05.1986 08:00:00;  14,8
17.06.1986 08:00:00;  11,9
01.07.1986 00:00:00;  7,06
31.08.1986 10:00:00;  6,36
11.09.1986 08:00:00;  7,20
01.10.1986 00:00:00;  3,96
24.11.1986 10:00:00;  2,80
01.12.1986 00:00:00;  2,40
01.01.1987 00:00:00;  2,01
23.02.1987 10:00:00;  2,40
30.03.1987 08:00:00;  3,02
25.04.1987 08:00:00;  6,37
14.05.1987 08:00:00;  13,2
17.06.1987 10:00:00;  11,2
01.07.1987 00:00:00;  7,33
01.08.1987 00:00:00;  5,81
07.09.1987 08:00:00;  6,08
19.10.1987 08:00:00;  5,26
27.11.1987 10:00:00;  5,26
01.12.1987 00:00:00;  5,26
01.01.1988 00:00:00;  3,72
09.02.1988 08:00:00;  4,48
01.03.1988 00:00:00;  2,59
29.04.1988 10:00:00;  6,36
08.05.1988 08:00:00;  9,89
09.06.1988 10:00:00;  7,63
18.07.1988 00:10:00;  9,89
04.08.1988 08:00:00;  6,08
16.09.1988 10:00:00;  6,08
20.10.1988 10:00:00;  4,22
01.11.1988 02:00:00;  3,24
05.12.1988 08:00:00;  2,80
01.01.1989 00:00:00;  1,84
27.02.1989 08:00:00;  2,20
24.03.1989 08:00:00;  3,02
28.04.1989 10:00:00;  5,32
19.05.1989 08:00:00;  6,35
09.06.1989 08:00:00;  6,92
13.07.1989 08:00:00;  13,4
01.08.1989 00:00:00;  5,53
30.09.1989 10:00:00;  6,92
01.10.1989 00:00:00;  6,91
07.11.1989 08:00:00;  4,74
20.12.1989 08:00:00;  3,47
01.01.1990 00:00:00;  2,80
03.02.1990 10:00:00;  1,84
30.03.1990 10:00:00;  2,76
08.04.1990 10:00:00;  4,48
08.05.1990 10:00:00;  4,48
12.06.1990 10:00:00;  4,22
10.07.1990 10:00:00;  9,89
01.08.1990 00:00:00;  5,26
25.09.1990 08:00:00;  3,24
30.10.1990 08:00:00;  3,47
27.11.1990 08:00:00;  13,4
01.12.1990 00:00:00;  13,4
02.01.1991 08:00:00;  4,48
11.02.1991 10:00:00;  2,22
30.03.1991 08:00:00;  7,20
01.04.1991 00:00:00;  6,91
12.05.1991 08:00:00;  10,2
18.06.1991 08:00:00;  10,2
27.07.1991 08:00:00;  16,8
01.08.1991 00:00:00;  15,6
01.09.1991 00:00:00;  5,03
20.10.1991 08:00:00;  6,08
27.11.1991 08:00:00;  6,92
01.12.1991 00:00:00;  6,33
01.01.1992 00:00:00;  3,95
11.02.1992 10:00:00;  2,84
28.03.1992 08:00:00;  5,32
30.04.1992 08:00:00;  9,88
13.05.1992 08:00:00;  17,9
01.06.1992 00:00:00;  8,83
17.07.1992 08:00:00;  5,03
01.08.1992 00:00:00;  3,29
05.09.1992 08:00:00;  3,07
23.10.1992 10:00:00;  5,57
05.11.1992 10:00:00;  6,72
07.12.1992 08:00:00;  9,18
01.01.1993 00:00:00;  3,76
04.02.1993 10:00:00;  2,99
01.03.1993 00:00:00;  2,40
30.04.1993 23:59:55;  2,55
29.05.1993 08:00:00;  3,23
03.06.1993 10:00:00;  3,01
23.07.1993 10:00:00;  8,34
01.08.1993 00:00:00;  6,37
30.09.1993 08:00:00;  4,82
26.10.1993 08:00:00;  28,6
01.11.1993 00:00:00;  21,5
01.12.1993 00:00:00;  5,31
10.01.1994 10:00:00;  4,58
01.02.1994 00:00:00;  3,44
22.03.1994 10:00:00;  3,44
30.04.1994 23:59:55;  4,83
05.05.1994 10:00:00;  5,07
01.06.1994 00:00:00;  4,34
08.07.1994 08:00:00;  4,34
12.08.1994 08:00:00;  3,44
17.09.1994 08:00:00;  7,19
04.10.1994 10:00:00;  5,32
12.11.1994 08:00:00;  4,82
01.12.1994 00:00:00;  3,66
01.01.1995 02:00:00;  3,01
20.02.1995 08:00:00;  2,61
07.03.1995 10:00:00;  3,01
28.04.1995 10:00:00;  4,58
14.05.1995 08:00:00;  6,63
14.06.1995 10:00:00;  8,31
06.07.1995 08:00:00;  7,32
01.08.1995 00:00:00;  3,76
21.09.1995 08:00:00;  5,85
01.10.1995 00:00:00;  4,25
20.11.1995 10:00:00;  2,18
31.12.1995 10:00:00;  2,40
02.01.1996 08:00:00;  2,59
04.02.1996 10:00:00;  1,68
31.03.1996 23:59:55;  2,06
30.04.1996 23:59:55;  4,36
31.05.1996 23:59:55;  7,92
01.06.1996 00:00:00;  7,92
04.07.1996 08:00:00;  9,09
15.08.1996 08:00:00;  6,26
01.09.1996 00:00:00;  5,21
08.10.1996 08:00:00;  9,70
20.11.1996 08:00:00;  28,8
01.12.1996 00:00:00;  15,6
06.01.1997 08:00:00;  4,72
01.02.1997 00:00:00;  3,40
02.03.1997 08:00:00;  3,12
01.04.1997 00:00:00;  2,78
11.05.1997 08:00:00;  4,00
28.06.1997 08:00:00;  5,99
01.07.1997 00:00:00;  5,56
01.08.1997 08:00:00;  4,00
08.09.1997 08:00:00;  4,00
01.10.1997 00:00:00;  2,91
12.11.1997 08:00:00;  3,33
27.12.1997 08:00:00;  3,33
01.01.1998 00:00:00;  3,12
20.02.1998 07:00:00;  1,51
21.03.1998 07:00:00;  1,84
30.04.1998 23:59:55;  3,34
06.05.1998 07:00:00;  3,96
30.06.1998 23:59:55;  3,19
15.07.1998 07:10:00;  5,73
01.08.1998 00:00:00;  4,72
16.09.1998 07:00:00;  11,6
10.10.1998 07:00:00;  22,3
01.11.1998 00:00:00;  7,01
01.12.1998 00:00:00;  4,09
11.01.1999 07:00:00;  2,76
05.02.1999 07:00:00;  2,19
16.03.1999 07:00:00;  2,76
17.04.1999 07:00:00;  3,85
14.05.1999 07:00:00;  6,64
16.06.1999 07:00:00;  5,73
23.07.1999 07:00:00;  5,99
31.08.1999 07:00:00;  15,6
01.09.1999 00:00:00;  15,6
05.10.1999 07:00:00;  9,09
01.11.1999 07:00:00;  5,25
03.12.1999 07:00:00;  3,39
02.01.2000 07:00:00;  2,76
07.02.2000 07:00:00;  2,56
30.03.2000 07:00:00;  2,96
26.04.2000 07:00:00;  8,21
01.05.2000 00:00:00;  7,92
01.06.2000 00:00:00;  5,29
13.07.2000 07:00:00;  5,73
07.08.2000 07:00:00;  6,53
03.09.2000 07:00:00;  3,77
14.10.2000 07:00:00;  7,36
22.11.2000 07:00:00;  27,8
01.12.2000 00:00:00;  18,3
10.01.2001 07:00:00;  8,13
01.02.2001 00:00:00;  4,85
29.03.2001 07:00:00;  5,48
12.04.2001 07:00:00;  5,48
09.05.2001 07:00:00;  9,32
13.06.2001 07:00:00;  6,79
23.07.2001 07:00:00;  5,22
01.08.2001 00:00:00;  3,91
30.09.2001 07:00:00;  4,97
01.10.2001 00:00:00;  4,97
10.11.2001 07:10:00;  2,76
01.12.2001 00:00:00;  1,68
26.01.2002 07:00:00;  1,38
11.02.2002 07:00:00;  1,53
27.03.2002 07:00:00;  2,01
27.04.2002 07:00:00;  2,76
30.05.2002 07:00:00;  3,27
25.06.2002 07:00:00;  3,77
19.07.2002 07:10:00;  5,22
14.08.2002 07:00:00;  12,9
01.09.2002 00:00:00;  7,27
22.10.2002 07:00:00;  7,56
30.11.2002 07:00:00;  12,8
01.12.2002 00:00:00;  12,5
03.01.2003 07:00:00;  4,75
01.02.2003 00:00:00;  2,91
08.03.2003 07:00:00;  2,35
28.04.2003 07:00:00;  2,72
22.05.2003 07:00:00;  5,48
01.06.2003 00:00:00;  4,80
04.07.2003 07:00:00;  5,75
31.08.2003 23:59:55;  7,26
02.09.2003 07:00:00;  9,38
09.10.2003 10:45:00;  5,57
30.11.2003 23:59:55;  7,36
03.12.2003 04:47:10;  7,92
01.01.2004 07:00:00;  4,24
08.02.2004 07:00:00;  2,72
24.03.2004 07:00:00;  4,00
08.04.2004 07:00:00;  4,97
23.05.2004 07:00:00;  6,53
26.06.2004 07:00:00;  14,6
03.07.2004 07:10:00;  15,6
01.08.2004 00:00:00;  5,98
01.09.2004 07:00:00;  4,97
31.10.2004 23:59:55;  7,22
01.11.2004 07:00:00;  8,21
09.12.2004 12:35:00;  3,52
01.01.2005 00:00:00;  2,97
01.02.2005 00:00:00;  1,84
31.03.2005 23:59:55;  2,83
20.04.2005 07:00:00;  4,24
18.05.2005 07:00:00;  4,73
01.06.2005 00:00:00;  3,15
13.07.2005 07:00:00;  6,80
24.08.2005 07:00:00;  9,02
01.09.2005 00:00:00;  7,72
09.10.2005 07:00:00;  23,5
01.11.2005 00:00:00;  6,89
04.12.2005 07:00:00;  4,24
01.01.2006 07:00:00;  2,72
28.02.2006 23:59:55;  2,17
30.03.2006 07:00:00;  5,48
30.04.2006 23:59:55;  11,7
24.05.2006 07:10:05;  16,1
01.06.2006 00:00:00;  13,7
01.07.2006 00:00:00;  5,30
04.08.2006 07:00:00;  4,72
01.09.2006 00:00:00;  3,55
05.10.2006 07:00:00;  3,77
02.11.2006 07:00:00;  2,53
10.12.2006 07:00:00;  2,91
25.01.2007 07:00:00;  3,55
28.02.2007 07:00:00;  2,72
23.03.2007 07:00:00;  3,33
17.04.2007 07:00:00;  5,22
29.05.2007 07:00:00;  4,48
30.06.2007 07:00:00;  4,72
11.07.2007 07:00:05;  9,70
31.08.2007 23:59:55;  5,28
05.09.2007 07:00:00;  5,99
01.10.2007 07:00:00;  5,73
01.11.2007 00:00:00;  3,77
01.12.2007 00:00:00;  3,54
18.01.2008 07:00:00;  2,37
01.02.2008 00:00:00;  1,89
15.03.2008 07:00:00;  2,19
26.04.2008 07:30:00;  3,62
24.05.2008 19:15:00;  9,02
13.06.2008 19:15:00;  9,32
01.07.2008 00:00:00;  6,99
16.08.2008 16:00:00;  11,5
01.09.2008 00:15:00;  6,99
30.10.2008 05:30:00;  5,90
01.11.2008 19:15:00;  6,16
12.12.2008 01:30:00;  6,99
01.01.2009 15:00:00;  4,48
08.02.2009 18:30:00;  4,74
07.03.2009 13:30:00;  5,37
23.04.2009 14:00:00;  11,8
14.05.2009 06:00:00;  12,4
22.06.2009 05:00:00;  11,1
19.07.2009 15:30:00;  9,20
14.08.2009 18:45:00;  7,49
18.09.2009 13:30:00;  9,63
01.10.2009 00:30:00;  6,71
30.11.2009 22:45:00;  4,33
26.12.2009 06:30:00;  6,88
01.01.2010 00:30:00;  5,88
02.02.2010 14:00:00;  2,74
31.03.2010 01:30:00;  4,09
29.04.2010 08:00:00;  5,63
08.05.2010 19:00:00;  14,5
01.06.2010 04:00:00;  5,57
01.07.2010 05:30:00;  4,00
30.08.2010 13:30:00;  4,97
26.09.2010 14:00:00;  6,53
01.10.2010 00:00:00;  5,37
25.11.2010 11:00:00;  7,01
01.12.2010 00:00:00;  6,72
15.01.2011 05:30:00;  5,53
13.02.2011 02:00:00;  3,47
18.03.2011 15:00:00;  3,47
12.04.2011 17:00:00;  4,74
28.05.2011 12:00:00;  5,00
24.06.2011 01:10:00;  12,8
01.07.2011 00:30:00;  9,63
01.08.2011 00:00:00;  6,43
20.09.2011 04:30:00;  7,36
07.10.2011 23:00:00;  5,48
01.11.2011 00:00:00;  4,89
08.12.2011 13:40:00;  2,99
06.01.2012 04:55:00;  2,55
29.02.2012 12:25:00;  1,90
30.03.2012 10:40:00;  2,28
08.04.2012 18:25:00;  3,63
13.05.2012 21:00:00;  3,84
16.06.2012 22:15:00;  4,84
22.07.2012 16:45:00;  17,7
01.08.2012 00:00:00;  13,1
29.09.2012 17:15:00;  11,8
17.10.2012 01:00:00;  12,7
14.11.2012 03:45:00;  24,0
01.12.2012 00:00:00;  16,1
01.01.2013 00:00:00;  6,48
01.02.2013 00:10:00;  4,13
31.03.2013 23:59:55;  4,29
29.04.2013 15:45:00;  13,1
08.05.2013 09:30:00;  14,3
04.06.2013 22:15:00;  11,1
01.07.2013 00:45:00;  5,00
28.08.2013 16:00:00;  4,85
01.09.2013 11:15:00;  4,33
16.10.2013 10:30:00;  5,63
11.11.2013 05:15:00;  10,8
01.12.2013 00:30:00;  8,08
31.01.2014 19:15:00;  7,32
22.02.2014 07:15:00;  9,81
24.03.2014 14:15:00;  13,7
10.04.2014 16:45:00;  12,4
11.05.2014 18:15:00;  12,4
01.06.2014 00:30:00;  7,44
01.07.2014 13:30:00;  6,72
31.08.2014 23:59:55;  6,03
14.09.2014 05:00:00;  14,4
01.10.2014 00:00:00;  7,16
18.11.2014 16:00:00;  9,85
03.12.2014 21:00:00;  9,85
10.01.2015 06:15:00;  5,85
08.02.2015 13:00:00;  5,11
31.03.2015 07:15:00;  5,37
01.04.2015 03:30:00;  4,59
31.05.2015 04:30:00;  5,90
24.06.2015 11:00:00;  7,56
01.07.2015 03:00:00;  6,38
05.08.2015 19:50:05;  7,97
26.09.2015 07:00:00;  7,27
20.10.2015 20:32:05;  11,8
01.11.2015 00:00:00;  8,43
01.12.2015 00:00:00;  3,39
13.01.2016 14:45:00;  3,17
21.02.2016 11:10:00;  3,21
06.03.2016 00:10:00;  3,57
10.04.2016 01:15:00;  4,96
14.05.2016 14:05:00;  6,06
19.06.2016 22:50:00;  9,86
14.07.2016 11:30:00;  8,76
11.08.2016 08:05:00;  8,76
01.09.2016 00:00:00;  5,97
25.10.2016 19:30:00;  4,42
20.11.2016 04:15:00;  6,21
01.12.2016 03:00:00;  6,21
03.01.2017 05:30:00;  3,05
21.02.2017 09:00:00;  2,29
05.03.2017 02:45:00;  3,43
29.04.2017 15:45:00;  5,49
01.05.2017 00:00:00;  5,29
07.06.2017 18:00:00;  3,97
25.07.2017 16:30:00;  6,31
20.08.2017 22:30:00;  7,59
21.09.2017 04:30:00;  11,5
01.10.2017 00:30:00;  9,14
13.11.2017 10:15:00;  4,90
13.12.2017 12:00:00;  5,10
16.01.2018 11:45:00;  5,07
02.02.2018 05:30:00;  3,86
31.03.2018 17:00:00;  4,65
26.04.2018 19:45:00;  14,8
01.05.2018 01:00:00;  14,0
05.06.2018 15:15:00;  13,2
01.07.2018 02:00:00;  5,29
31.08.2018 23:00:00;  3,67
04.09.2018 02:45:00;  6,63
31.10.2018 08:15:00;  5,72
03.11.2018 14:30:00;  7,11
01.12.2018 00:00:00;  4,05
03.01.2019 06:00:00;  2,94
03.02.2019 04:45:00;  4,65
26.03.2019 00:00:00;  3,89
29.04.2019 02:30:00;  7,04
30.05.2019 14:45:00;  8,19
04.06.2019 17:15:00;  8,44
01.07.2019 00:00:00;  4,56
02.08.2019 19:30:00;  4,76
10.09.2019 03:00:00;  5,47
02.10.2019 13:00:00;  3,35
20.11.2019 13:10:00;  22,8
01.12.2019 00:00:00;  14,7
01.01.2020 00:00:00;  7,46
05.02.2020 20:15:00;  5,03
03.03.2020 07:00:00;  4,09
29.04.2020 17:00:00;  5,61
20.05.2020 00:15:00;  7,46
10.06.2020 19:15:00;  5,27
12.07.2020 17:00:00;  5,90
05.08.2020 05:15:00;  9,17
07.09.2020 22:00:00;  11,5
12.10.2020 02:15:00;  11,9
01.11.2020 00:00:00;  10,1
09.12.2020 02:00:00;  9,88
02.01.2021 21:45:00;  6,99
11.02.2021 14:00:00;  7,95
01.03.2021 00:00:00;  5,72
06.04.2021 12:30:00;  5,03
27.05.2021 14:45:00;  11,5
01.06.2021 00:00:00;  10,8
01.07.2021 02:45:00;  5,22
23.08.2021 13:00:00;  4,27
01.09.2021 00:00:00;  3,55
01.10.2021 00:00:00;  2,86
04.11.2021 12:15:00;  3,73
01.12.2021 00:00:00;  2,65
