Messstelle:                ;Güssing (Kulturzentrum)
29.10.1994 05:15:00;  12,5
12.11.1994 10:00:00;  22,4
31.12.1994 16:30:00;  2,34
27.01.1995 10:00:00;  6,25
27.02.1995 04:15:00;  27,8
05.03.1995 01:45:00;  49,6
25.04.1995 14:30:00;  1,20
01.05.1995 03:15:00; 0,819
07.06.1995 03:15:00;  16,0
03.07.1995 04:15:00;  16,5
28.08.1995 20:15:00;  5,76
20.09.1995 18:00:00;  4,84
02.10.1995 14:15:00;  1,26
03.11.1995 07:30:00; 0,501
23.12.1995 20:00:00;  4,29
09.01.1996 09:00:00;  8,67
21.02.1996 01:15:00;  1,47
19.03.1996 18:30:00;  16,5
04.04.1996 21:00:00;  66,4
21.05.1996 04:15:00;  9,66
30.06.1996 16:00:00;  2,32
03.07.1996 04:15:00;  11,5
13.08.1996 09:00:00;  3,96
24.09.1996 02:15:00;  59,0
22.10.1996 08:00:00;  13,8
22.11.1996 21:00:00;  3,22
21.12.1996 12:00:00;  1,91
28.01.1997 01:49:05; 0,839
14.02.1997 00:02:55;  6,15
01.03.1997 00:00:00; 0,847
21.04.1997 19:26:25; 0,593
22.05.1997 17:01:50;  4,20
24.06.1997 22:12:30;  19,4
24.07.1997 02:10:30;  59,7
01.08.1997 21:26:35;  15,3
08.09.1997 00:16:10;  4,25
15.10.1997 10:53:50; 0,840
27.11.1997 10:05:00;  1,27
03.12.1997 23:50:00;  5,68
01.01.1998 00:00:00; 0,973
20.02.1998 12:54:10; 0,646
18.03.1998 08:10:50;  2,95
17.04.1998 10:39:40; 0,956
18.05.1998 10:50:50; 0,676
27.06.1998 15:13:20;  35,5
01.07.1998 10:10:25;  19,8
01.08.1998 17:03:35;  8,09
13.09.1998 08:23:15;  33,3
20.10.1998 05:58:20;  19,2
04.11.1998 23:34:35;  44,5
16.12.1998 00:05:40;  2,27
12.01.1999 23:16:15;  2,26
28.02.1999 21:01:40;  1,52
04.03.1999 06:35:25;  1,61
17.04.1999 18:43:25;  6,95
21.05.1999 11:01:10;  94,5
22.06.1999 05:40:50;  4,39
14.07.1999 19:47:10;  11,0
18.08.1999 09:21:55;  9,12
22.09.1999 12:42:45;  1,50
24.10.1999 14:36:40;  1,15
10.11.1999 12:25:00;  3,07
11.12.1999 09:15:00;  14,2
19.01.2000 04:13:15; 0,938
03.02.2000 19:03:00;  4,32
02.03.2000 09:43:30;  2,38
05.04.2000 18:56:30;  1,32
22.05.2000 22:36:45; 0,836
15.06.2000 14:02:15; 0,707
15.07.2000 19:50:45;  1,10
06.08.2000 17:25:35;  2,60
17.09.2000 11:32:25;  1,44
03.10.2000 15:08:55;  4,46
18.11.2000 15:05:40;  11,5
28.12.2000 09:52:20;  24,1
09.01.2001 03:00:20;  5,62
14.02.2001 19:19:10;  2,26
27.03.2001 00:26:00;  11,5
08.04.2001 18:04:20;  10,0
09.05.2001 19:24:15;  3,13
17.06.2001 23:36:25; 0,555
20.07.2001 14:48:20;  3,59
25.08.2001 09:31:55; 0,264
26.09.2001 16:05:25;  1,12
30.10.2001 13:32:50; 0,733
12.11.2001 19:59:30;  1,36
07.12.2001 11:59:05; 0,400
01.01.2002 00:00:00; 0,344
18.02.2002 23:02:40;  1,27
11.03.2002 18:24:15; 0,769
19.04.2002 17:16:05; 0,589
13.05.2002 01:13:00;  1,12
09.06.2002 09:53:30; 0,506
16.07.2002 20:11:50; 0,494
12.08.2002 16:13:55;  4,58
10.09.2002 20:37:35; 0,742
18.10.2002 18:03:00;  5,78
23.11.2002 03:57:25;  4,37
06.12.2002 11:47:20;  12,6
25.01.2003 23:54:25;  1,54
01.02.2003 06:43:40; 0,862
17.03.2003 16:47:35; 0,844
11.04.2003 22:00:10; 0,505
29.05.2003 04:35:50; 0,883
02.06.2003 02:52:35; 0,788
18.07.2003 03:52:35;  1,67
31.08.2003 17:06:25; 0,681
29.09.2003 17:26:25; 0,523
05.10.2003 18:18:25;  1,75
04.11.2003 08:45:20; 0,527
31.12.2003 23:59:55;  1,23
01.01.2004 08:19:30;  1,68
29.02.2004 23:59:55; 0,336
24.03.2004 21:48:25;  21,8
20.04.2004 20:14:05;  1,78
22.05.2004 18:46:00;  2,03
25.06.2004 20:42:40;  62,7
02.07.2004 01:46:15;  7,22
09.08.2004 23:11:55;  1,87
21.09.2004 10:56:45; 0,396
16.10.2004 20:56:35;  1,04
10.11.2004 07:32:15; 0,757
28.12.2004 02:22:05;  1,63
01.01.2005 11:36:10; 0,498
25.02.2005 01:02:55; 0,382
17.03.2005 22:12:15;  6,75
21.04.2005 03:13:45;  5,13
19.05.2005 02:03:50;  1,60
16.06.2005 08:19:35;  2,97
13.07.2005 01:54:00;  4,51
15.08.2005 12:46:00;  13,2
13.09.2005 17:33:55; 0,918
06.10.2005 22:55:35; 0,654
27.11.2005 21:22:45;  4,30
06.12.2005 17:34:50;  10,6
03.01.2006 11:28:20;  3,94
20.02.2006 21:34:40;  29,9
10.03.2006 22:08:55;  6,20
30.04.2006 01:23:25;  21,4
30.05.2006 02:24:00;  21,9
29.06.2006 19:36:50;  11,4
13.07.2006 10:14:25;  1,53
25.08.2006 22:05:15;  2,19
20.09.2006 07:11:10; 0,832
25.10.2006 09:13:10;  1,55
22.11.2006 23:42:35;  2,03
11.12.2006 04:31:30; 0,576
24.01.2007 09:55:00;  1,50
26.02.2007 14:25:50;  3,91
20.03.2007 18:32:40;  10,8
01.04.2007 03:32:40; 0,691
06.05.2007 08:04:35;  1,12
04.06.2007 05:09:25;  5,72
10.07.2007 12:18:15;  1,11
30.08.2007 16:51:15; 0,910
28.09.2007 10:32:50;  20,8
28.10.2007 21:50:25;  27,5
01.11.2007 00:00:00;  1,38
10.12.2007 10:26:35;  4,98
19.01.2008 01:54:15; 0,647
01.02.2008 04:34:30; 0,556
24.03.2008 08:28:05;  1,64
23.04.2008 09:32:40;  1,01
02.05.2008 05:57:25; 0,824
05.06.2008 22:03:00;  9,44
21.07.2008 07:32:20;  18,0
16.08.2008 12:58:05;  14,8
26.09.2008 13:31:05; 0,579
04.10.2008 14:16:45; 0,848
09.11.2008 02:39:50; 0,744
19.12.2008 06:58:30;  7,45
28.01.2009 03:40:50;  28,8
08.02.2009 21:40:50;  33,3
06.03.2009 19:10:40;  16,6
01.04.2009 00:00:00;  1,09
31.05.2009 01:29:05;  2,90
27.06.2009 02:48:20;   132
02.07.2009 02:38:35;  15,2
04.08.2009 16:41:15;  13,3
05.09.2009 14:28:20;  11,4
12.10.2009 19:20:50;  4,74
09.11.2009 06:20:40;  4,59
26.12.2009 00:00:00;  25,8
10.01.2010 00:30:00;  11,5
27.02.2010 01:45:00;  13,9
01.03.2010 00:00:00;  2,50
05.04.2010 13:30:00;  2,04
29.05.2010 22:45:00;  4,97
16.06.2010 14:15:00;  27,5
16.07.2010 10:15:00;  22,8
06.08.2010 06:15:00;  15,7
26.09.2010 05:15:00;  56,8
20.10.2010 16:15:00;  2,88
22.11.2010 11:00:00;  15,6
08.12.2010 22:30:00;  17,9
20.01.2011 01:30:00;  9,63
13.02.2011 00:30:00; 0,916
17.03.2011 16:00:00;  5,07
30.04.2011 02:15:00; 0,976
15.05.2011 13:15:00;  11,6
24.06.2011 00:15:00;  10,3
25.07.2011 00:30:00;  3,50
04.08.2011 10:30:00;  12,3
20.09.2011 03:30:00;  1,68
07.10.2011 19:45:00;  4,25
01.11.2011 12:45:00; 0,625
17.12.2011 08:30:00;  1,78
03.01.2012 12:30:00; 0,486
20.02.2012 09:07:00; 0,920
01.03.2012 11:37:00; 0,476
12.04.2012 13:07:00;  1,78
22.05.2012 20:18:00;  6,22
22.06.2012 10:48:00;  1,40
25.07.2012 19:33:00;  3,73
04.08.2012 01:33:00; 0,889
25.09.2012 10:33:00;  4,66
28.10.2012 04:18:00;  9,43
05.11.2012 19:03:00;  56,4
16.12.2012 04:18:00;  1,28
31.01.2013 23:59:55;  4,23
26.02.2013 14:18:00;  82,2
31.03.2013 09:49:00;  42,0
01.04.2013 00:00:00;  17,5
02.05.2013 16:49:00;  11,2
01.06.2013 02:19:00;  4,41
12.07.2013 00:34:15; 0,458
10.08.2013 07:34:00;  1,16
30.09.2013 19:19:00;  1,60
01.10.2013 00:00:00;  1,23
24.11.2013 16:04:00;  45,3
27.12.2013 13:34:00;  1,36
06.01.2014 05:34:00;  4,37
12.02.2014 11:49:00;  53,8
24.03.2014 07:04:00;  1,72
06.04.2014 23:04:00;  3,84
12.05.2014 08:00:00;  51,1
30.06.2014 15:00:00;  6,35
30.07.2014 20:45:00;  43,7
14.08.2014 14:15:00;  31,7
13.09.2014 07:45:00;  56,6
22.10.2014 09:15:00;  80,1
18.11.2014 12:15:00;  22,1
08.12.2014 05:00:00;  20,2
12.01.2015 08:00:00;  2,44
24.02.2015 21:45:00;  11,7
27.03.2015 01:45:00;  1,41
28.04.2015 22:45:00;  1,21
23.05.2015 10:45:00;  30,1
23.06.2015 22:30:00;  2,34
09.07.2015 04:45:00;  5,83
17.08.2015 10:45:00; 0,984
25.09.2015 23:15:00;  1,79
20.10.2015 09:45:00;  22,9
28.11.2015 09:15:00; 0,670
14.12.2015 18:37:00; 0,569
12.01.2016 03:22:00;  9,62
19.02.2016 14:37:00;  29,7
08.03.2016 13:07:00;  2,46
24.04.2016 02:37:00;  2,67
02.05.2016 15:07:00;  8,51
02.06.2016 22:37:00; 10,00
14.07.2016 10:52:55;  5,93
16.08.2016 03:22:55;  2,92
17.09.2016 17:15:00; 0,500
26.10.2016 10:45:00;  5,96
07.11.2016 05:30:00;  22,4
02.12.2016 16:00:00; 0,579
14.01.2017 11:00:00; 0,486
06.02.2017 21:00:00;  22,7
01.03.2017 12:30:00;  1,36
28.04.2017 22:00:00;  2,50
24.05.2017 01:45:00;  1,95
26.06.2017 02:45:00;  4,44
06.07.2017 08:45:00;  1,69
06.08.2017 16:45:00;  4,61
19.09.2017 22:00:00;  15,5
23.10.2017 11:15:00; 0,790
30.11.2017 23:45:00;  4,71
13.12.2017 10:15:00;  10,9
10.01.2018 17:45:00;  6,22
02.02.2018 22:54:00;  5,25
30.03.2018 04:45:00;  19,5
01.04.2018 09:15:00;  4,14
15.05.2018 18:00:00;  23,7
13.06.2018 05:00:00;  12,6
15.07.2018 03:00:00;  3,15
03.08.2018 02:15:00;  1,96
01.09.2018 19:00:00;  2,54
28.10.2018 22:15:00; 0,888
27.11.2018 01:45:00;  3,33
08.12.2018 16:30:00; 0,517
25.01.2019 07:00:00; 0,416
04.02.2019 05:30:00;  1,73
25.03.2019 23:45:00;  1,24
11.04.2019 14:30:00; 0,739
30.05.2019 10:15:00;  12,5
24.06.2019 03:00:00;  3,93
02.07.2019 16:30:00;  1,60
01.08.2019 10:00:00;  2,41
09.09.2019 13:45:00;  1,97
02.10.2019 20:45:00;  18,2
13.11.2019 23:00:00;  14,0
23.12.2019 00:00:00;  23,1
24.01.2020 13:00:00; 0,598
26.02.2020 16:45:00;  2,27
07.03.2020 01:30:00;  2,78
29.04.2020 22:00:00;  1,26
03.05.2020 11:00:00;  2,51
21.06.2020 13:15:00;  9,99
25.07.2020 10:45:00;  17,9
18.08.2020 11:00:00;  52,9
28.09.2020 11:00:00;  31,5
04.10.2020 06:00:00;  78,0
17.11.2020 03:30:00;  1,36
10.12.2020 13:00:00;  41,3
06.01.2021 18:15:00;  4,94
09.02.2021 22:45:00;  10,4
20.03.2021 15:45:00; 0,601
13.04.2021 02:30:00;  2,11
17.05.2021 15:00:00;  14,2
06.06.2021 22:30:00;  1,48
17.07.2021 23:30:00;  1,11
02.08.2021 01:15:00;  2,08
30.09.2021 01:00:00;  1,67
07.10.2021 17:30:00; 0,708
27.11.2021 00:15:00;  2,28
16.12.2021 01:30:00;  1,28
