Messstelle:                ;Kainisch
24.02.1973 12:00:00; 0,590
29.03.1973 12:00:00;  2,85
30.04.1973 12:00:00;  15,8
05.05.1973 12:00:00;  20,0
07.06.1973 12:00:00;  18,5
27.07.1973 12:00:00;  10,6
08.08.1973 12:00:00;  4,51
27.09.1973 12:00:00;  8,50
18.10.1973 12:00:00;  6,31
16.11.1973 12:00:00;  10,1
05.12.1973 12:00:00;  2,39
16.01.1974 12:00:00;  7,83
20.02.1974 12:00:00;  1,83
29.03.1974 12:00:00;  10,6
01.04.1974 12:00:00;  9,90
23.05.1974 12:00:00;  19,7
01.06.1974 12:00:00;  21,6
21.07.1974 12:00:00;  29,0
12.08.1974 12:00:00;  14,0
28.09.1974 12:00:00;  4,90
26.10.1974 12:00:00;  2,90
23.11.1974 12:00:00;  5,50
29.12.1974 12:00:00;  19,4
01.01.1975 12:00:00;  4,62
01.02.1975 12:00:00;  2,85
15.03.1975 12:00:00;  3,34
30.04.1975 12:00:00;  12,7
23.05.1975 12:00:00;  23,8
30.06.1975 12:00:00;  19,7
03.07.1975 12:00:00;  25,0
19.08.1975 12:00:00;  9,44
13.09.1975 12:00:00;  3,01
20.10.1975 12:00:00;  1,83
20.11.1975 12:00:00;  1,83
07.12.1975 12:00:00; 0,920
12.01.1976 06:00:00;  13,3
29.02.1976 23:59:55;  1,26
31.03.1976 23:59:55;  3,78
07.04.1976 04:00:00;  8,70
31.05.1976 23:59:55;  17,7
01.06.1976 12:00:00;  23,6
26.07.1976 22:00:00;  15,2
06.08.1976 04:00:00;  15,6
05.09.1976 18:00:00;  10,8
17.10.1976 06:00:00;  3,24
15.11.1976 08:00:00;  1,70
03.12.1976 04:00:00;  1,35
27.01.1977 04:00:00;  1,74
05.02.1977 22:00:00;  8,42
05.03.1977 04:00:00;  18,1
30.04.1977 23:59:55;  17,5
03.05.1977 00:00:00;  18,3
27.06.1977 16:00:00;  12,2
31.07.1977 23:59:55;  18,9
01.08.1977 14:00:00;  28,0
10.09.1977 02:00:00;  12,7
11.10.1977 12:00:00;  2,71
03.11.1977 12:00:00;  3,37
25.12.1977 06:00:00;  10,3
01.01.1978 00:00:00;  1,59
28.02.1978 04:00:00;  1,84
31.03.1978 23:59:55;  6,21
30.04.1978 23:59:55;  9,49
23.05.1978 22:00:00;  15,8
03.06.1978 00:00:00;  14,6
22.07.1978 14:00:00;  13,7
12.08.1978 14:00:00;  3,85
09.09.1978 02:00:00;  24,6
26.10.1978 10:00:00;  18,1
01.11.1978 02:00:00;  4,08
13.12.1978 10:00:00;  4,17
01.01.1979 06:00:00;  1,68
17.02.1979 20:00:00;  3,14
13.03.1979 06:00:00;  14,4
17.04.1979 00:00:00;  8,25
20.05.1979 20:00:00;  19,1
18.06.1979 16:00:00;  15,7
10.07.1979 10:00:00;  25,9
17.08.1979 04:00:00;  9,66
24.09.1979 14:00:00;  8,67
18.10.1979 12:00:00;  4,56
28.11.1979 18:00:00;  14,5
11.12.1979 20:00:00;  7,81
01.01.1980 00:00:00;  1,79
17.02.1980 23:50:00;  1,41
30.03.1980 00:00:00;  7,62
02.04.1980 06:00:00;  15,4
31.05.1980 06:00:00;  16,5
06.06.1980 06:00:00;  27,3
04.07.1980 12:00:00;  22,8
31.08.1980 23:59:55;  13,0
03.09.1980 18:00:00;  18,0
13.10.1980 12:00:00;  3,95
01.11.1980 00:10:00;  3,63
24.12.1980 16:00:00;  3,37
05.01.1981 16:00:00;  1,31
09.02.1981 04:00:00;  1,53
26.03.1981 00:00:00;  16,5
02.04.1981 02:00:00;  15,6
23.05.1981 04:00:00;  20,6
10.06.1981 02:00:00;  11,4
20.07.1981 20:00:00;  31,3
28.08.1981 22:00:00;  18,4
17.09.1981 16:00:00;  7,51
31.10.1981 23:59:55;  9,32
02.11.1981 02:00:00;  11,2
01.12.1981 00:00:00;  2,19
31.01.1982 10:00:00;  4,51
01.02.1982 00:00:00;  3,32
31.03.1982 21:00:00;  4,64
09.04.1982 04:00:00;  9,35
29.05.1982 14:00:00;  25,2
27.06.1982 19:00:00;  20,2
27.07.1982 06:00:00;  13,7
21.08.1982 09:00:00;  7,30
24.09.1982 03:00:00;  6,62
15.10.1982 07:00:00;  9,88
20.11.1982 01:00:00;  2,30
17.12.1982 01:00:00;  4,20
06.01.1983 10:00:00;  13,1
01.02.1983 00:00:00;  3,07
20.03.1983 08:00:00;  6,26
22.04.1983 21:00:00;  14,6
16.05.1983 07:00:00;  16,2
15.06.1983 01:00:00;  12,8
02.07.1983 18:00:00;  3,52
05.08.1983 09:00:00;  14,5
25.09.1983 16:00:00;  10,1
12.10.1983 01:00:00;  16,4
28.11.1983 23:00:00;  5,15
24.12.1983 21:00:00;  7,86
01.01.1984 00:00:00;  2,50
27.02.1984 19:00:00;  1,37
29.03.1984 22:00:00;  5,37
24.04.1984 00:00:00;  9,17
21.05.1984 21:00:00;  21,6
09.06.1984 08:00:00;  14,8
29.07.1984 00:00:00;  17,2
07.08.1984 15:00:00;  16,5
17.09.1984 15:00:00;  11,4
02.10.1984 19:00:00;  9,08
24.11.1984 16:00:00;  1,76
12.12.1984 01:00:00;  1,62
12.01.1985 09:30:00; 0,766
02.02.1985 19:00:00;  6,67
31.03.1985 23:59:55;  2,45
24.04.1985 05:00:00;  12,0
15.05.1985 02:30:00;  18,8
09.06.1985 09:30:00;  16,5
07.07.1985 17:30:00;  15,7
07.08.1985 17:30:00;  27,5
09.09.1985 21:00:00;  16,0
15.10.1985 19:00:00;  8,16
11.11.1985 06:00:00;  4,22
16.12.1985 23:00:00;  7,28
20.01.1986 11:45:00;  2,46
01.02.1986 17:15:00;  1,62
29.03.1986 04:00:00;  3,51
09.04.1986 22:15:00;  14,0
10.05.1986 09:30:00;  18,3
05.06.1986 04:45:00;  8,03
24.07.1986 20:15:00;  7,68
25.08.1986 11:00:00;  12,6
10.09.1986 13:15:00;  11,6
22.10.1986 15:30:00;  5,08
03.11.1986 00:30:00;  4,24
31.12.1986 11:00:00;  1,09
02.01.1987 04:45:00;  1,16
28.02.1987 23:30:00;  3,61
03.03.1987 02:45:00;  5,68
27.04.1987 06:30:00;  14,5
03.05.1987 05:15:00;  17,8
05.06.1987 20:30:00;  18,7
09.07.1987 18:15:00;  14,8
03.08.1987 08:45:00;  15,8
06.09.1987 16:15:00;  10,8
27.10.1987 02:15:00;  3,28
20.11.1987 12:45:00;  3,78
19.12.1987 15:00:00;  23,3
01.01.1988 00:30:00;  1,84
01.02.1988 00:00:00; 0,981
22.03.1988 08:00:00;  3,95
21.04.1988 04:30:00;  13,4
09.05.1988 22:30:00;  17,5
06.06.1988 10:00:00;  16,9
14.07.1988 20:00:00;  13,2
30.08.1988 06:00:00;  12,9
06.09.1988 19:15:00;  15,5
30.10.1988 01:00:00;  5,07
13.11.1988 22:45:00;  5,27
05.12.1988 07:45:00;  12,2
09.01.1989 10:30:00;  2,51
22.02.1989 00:00:00;  5,27
31.03.1989 22:15:00;  9,32
03.04.1989 14:15:00;  9,56
12.05.1989 01:15:00;  16,7
22.06.1989 05:30:00;  19,5
28.07.1989 12:00:00;  11,9
02.08.1989 11:00:00;  12,9
16.09.1989 15:15:00;  14,2
02.10.1989 01:00:00;  7,91
02.11.1989 09:45:00;  7,68
19.12.1989 18:15:00;  5,07
02.01.1990 00:10:00;  1,11
15.02.1990 18:30:00;  10,4
11.03.1990 02:15:00;  10,7
07.04.1990 23:45:00;  4,51
03.05.1990 02:00:00;  8,33
11.06.1990 18:30:00;  11,7
10.07.1990 21:00:00;  20,3
07.08.1990 10:45:00;  5,63
24.09.1990 17:45:00;  9,45
30.10.1990 13:45:00;  3,64
18.11.1990 14:45:00;  5,13
10.12.1990 15:00:00;  1,50
03.01.1991 15:00:00;  3,22
25.02.1991 18:30:00; 0,707
20.03.1991 17:30:00;  9,81
04.04.1991 23:15:00;  4,31
23.05.1991 15:00:00;  15,5
28.06.1991 07:15:00;  12,6
28.07.1991 01:30:00;  22,4
03.08.1991 03:15:00;  25,5
23.09.1991 18:45:00;  5,33
06.10.1991 13:15:00;  2,82
08.11.1991 20:45:00;  1,70
23.12.1991 03:30:00;  21,9
01.01.1992 00:00:00;  1,32
06.02.1992 09:15:00;  1,50
21.03.1992 22:15:00;  4,88
28.04.1992 04:15:00;  20,2
17.05.1992 23:00:00;  19,9
03.06.1992 00:00:00;  13,6
13.07.1992 15:00:00;  6,56
15.08.1992 07:15:00;  10,3
04.09.1992 21:45:00;  8,61
01.10.1992 03:45:00;  4,50
23.11.1992 07:00:00;  31,9
01.12.1992 01:30:00;  4,07
09.01.1993 01:45:00;  5,98
01.02.1993 00:00:00;  1,07
23.03.1993 07:00:00;  10,4
28.04.1993 11:00:00;  16,7
11.05.1993 21:30:00;  13,6
28.06.1993 12:45:00;  23,6
28.07.1993 15:45:00;  22,5
01.08.1993 07:00:00;  13,9
05.09.1993 23:00:00;  10,8
24.10.1993 00:00:00;  12,3
01.11.1993 00:00:00;  1,81
20.12.1993 17:15:00;  6,71
26.01.1994 03:00:00;  4,36
28.02.1994 21:15:00;  1,06
25.03.1994 13:15:00;  18,4
17.04.1994 18:45:00;  12,0
05.05.1994 11:00:00;  16,9
06.06.1994 00:45:00;  16,1
19.07.1994 01:15:00;  12,1
22.08.1994 22:45:00;  20,8
17.09.1994 22:15:00;  3,28
04.10.1994 01:00:00;  6,56
20.11.1994 16:15:00;  20,5
11.12.1994 19:30:00;  12,0
26.01.1995 06:00:00;  3,36
21.02.1995 09:15:00;  2,23
28.03.1995 00:45:00;  3,22
25.04.1995 01:30:00;  14,2
09.05.1995 18:45:00;  16,0
22.06.1995 18:45:00;  21,2
19.07.1995 15:00:00;  4,36
30.08.1995 06:30:00;  12,2
02.09.1995 06:30:00;  13,1
02.10.1995 09:45:00;  8,12
17.11.1995 22:45:00;  4,22
24.12.1995 10:15:00;  1,50
16.01.1996 09:30:00;  1,06
02.02.1996 15:00:00; 0,760
25.03.1996 03:15:00;  6,42
24.04.1996 20:30:00;  13,6
28.05.1996 15:15:00;  19,9
30.06.1996 04:30:00;  19,3
01.07.1996 00:00:00;  13,0
03.08.1996 20:30:00;  6,42
14.09.1996 21:30:00;  19,6
21.10.1996 21:30:00;  31,2
02.11.1996 05:00:00;  10,6
03.12.1996 11:15:00;  1,56
02.01.1997 11:42:55;  1,06
26.02.1997 19:16:05;  2,09
17.03.1997 23:41:35;  16,9
30.04.1997 18:17:10;  7,51
22.05.1997 13:31:05;  20,7
23.06.1997 12:04:50;  12,2
19.07.1997 20:27:25;  27,6
02.08.1997 15:48:35;  9,91
05.09.1997 08:07:50;  5,59
03.10.1997 17:26:50;  22,2
07.11.1997 10:19:10;  2,45
12.12.1997 12:33:45;  7,08
04.01.1998 06:56:30;  1,20
17.02.1998 13:48:40;  3,46
31.03.1998 23:34:25;  5,09
29.04.1998 12:31:15;  11,9
12.05.1998 22:48:10;  12,8
19.06.1998 16:32:00;  13,2
10.07.1998 12:17:50;  13,1
23.08.1998 07:43:15;  7,90
06.09.1998 02:19:20;  19,1
15.10.1998 08:29:45;  9,52
11.11.1998 01:34:20;  18,3
13.12.1998 17:25:50;  5,88
05.01.1999 11:32:40;  2,22
21.02.1999 18:41:25;  1,31
27.03.1999 22:57:20;  4,14
30.04.1999 19:08:45;  19,2
09.05.1999 09:41:10;  20,6
01.06.1999 04:54:20;  12,0
23.07.1999 05:33:00;  16,6
27.08.1999 09:35:15;  11,4
02.09.1999 01:43:00;  8,57
10.10.1999 14:21:30;  5,03
03.11.1999 23:54:00;  1,02
02.12.1999 23:16:35;  1,30
31.01.2000 05:04:10;  4,79
09.02.2000 08:40:40;  6,72
10.03.2000 10:15:55;  22,1
23.04.2000 21:17:05;  18,0
13.05.2000 00:45:30;  23,8
25.06.2000 07:47:30;  10,1
08.07.2000 09:24:30;  9,85
07.08.2000 15:11:15;  14,8
08.09.2000 05:37:55;  9,88
03.10.2000 16:44:40;  8,37
04.11.2000 12:50:55;  3,84
11.12.2000 11:58:15;  3,97
01.01.2001 00:00:00;  1,36
09.02.2001 02:47:45;  1,65
24.03.2001 08:50:10;  21,7
30.04.2001 23:59:55;  11,9
03.05.2001 23:08:10;  15,9
20.06.2001 01:20:45;  28,0
21.07.2001 00:40:40;  18,0
10.08.2001 20:58:45;  9,26
13.09.2001 02:34:40;  18,7
29.10.2001 10:45:00;  5,53
12.11.2001 22:30:00;  3,03
06.12.2001 16:00:00;  7,70
28.01.2002 07:30:00;  12,1
13.02.2002 23:45:00;  4,46
21.03.2002 01:30:00;  31,9
27.04.2002 11:30:00;  18,2
04.05.2002 23:00:00;  17,9
07.06.2002 18:45:00;  25,6
18.07.2002 05:15:00;  17,1
12.08.2002 13:45:00;  38,2
27.09.2002 21:00:00;  10,2
05.10.2002 05:30:00;  6,90
11.11.2002 23:15:00;  11,2
23.12.2002 09:45:00;  11,5
01.01.2003 00:00:00;  5,17
01.02.2003 00:00:00;  1,21
31.03.2003 05:15:00;  10,5
27.04.2003 14:30:05;  13,5
01.05.2003 00:00:00;  11,8
09.06.2003 07:45:00;  7,80
29.07.2003 05:45:00;  6,53
01.08.2003 13:15:00;  5,87
13.09.2003 03:00:00;  23,9
10.10.2003 12:39:45;  14,9
02.11.2003 04:24:45;  7,62
14.12.2003 17:49:50;  1,83
14.01.2004 07:32:25;  2,90
03.02.2004 04:15:45;  7,87
22.03.2004 01:00:00;  7,97
24.04.2004 13:30:00;  16,1
16.05.2004 11:30:05;  19,4
03.06.2004 22:45:00;  13,1
15.07.2004 21:30:00;  10,1
27.08.2004 11:30:00;  9,41
24.09.2004 05:30:00;  21,5
11.10.2004 11:00:00;  5,33
23.11.2004 20:30:00;  6,24
01.12.2004 09:00:00;  2,04
21.01.2005 10:30:00;  2,65
13.02.2005 05:15:00;  2,25
20.03.2005 04:00:00;  19,4
30.04.2005 23:59:55;  16,3
04.05.2005 20:15:00;  21,0
01.06.2005 00:00:00;  12,4
11.07.2005 10:01:55;  19,1
16.08.2005 10:30:05;  18,6
30.09.2005 07:15:00;  7,85
05.10.2005 12:30:00;  8,44
07.11.2005 09:45:00;  1,52
17.12.2005 00:45:00;  1,34
04.01.2006 07:15:00;  1,24
22.02.2006 10:00:00;  1,37
27.03.2006 23:45:00;  12,9
28.04.2006 19:00:00;  20,4
27.05.2006 14:15:00;  25,1
05.06.2006 02:15:00;  15,9
09.07.2006 22:00:00;  9,16
07.08.2006 11:30:00;  27,9
19.09.2006 12:45:00;  14,8
30.10.2006 01:30:00;  13,0
14.11.2006 22:15:00;  21,3
05.12.2006 12:30:00;  3,22
20.01.2007 06:45:00;  22,2
28.02.2007 21:30:00;  4,01
02.03.2007 15:00:00;  4,33
14.04.2007 00:00:00;  11,2
09.05.2007 22:28:35;  26,8
21.06.2007 21:45:00;  9,42
10.07.2007 13:45:00;  17,1
30.08.2007 12:00:00;  13,4
09.09.2007 22:15:00;  27,8
28.10.2007 07:28:00;  10,4
04.11.2007 19:10:50;  9,94
08.12.2007 07:52:00;  4,68
27.01.2008 23:30:00;  3,87
29.02.2008 23:59:55;  4,93
01.03.2008 19:30:00;  10,6
29.04.2008 21:57:15;  14,5
17.05.2008 22:34:05;  16,4
24.06.2008 00:30:00;  15,7
21.07.2008 08:30:00;  21,0
16.08.2008 13:45:00;  23,6
26.09.2008 04:30:00;  4,46
07.10.2008 11:15:00;  9,37
21.11.2008 15:45:00;  2,49
22.12.2008 02:15:00;  9,36
01.01.2009 00:00:00;  1,14
28.02.2009 23:59:55; 0,868
31.03.2009 23:59:55;  2,80
28.04.2009 23:58:20;  17,7
12.05.2009 04:04:15;  20,9
24.06.2009 08:30:50;  28,0
19.07.2009 10:48:10;  17,3
04.08.2009 17:30:55;  10,3
05.09.2009 07:47:35;  18,9
01.10.2009 00:00:00;  2,05
01.11.2009 00:00:00; Lücke
01.12.2009 00:00:00; Lücke
01.01.2010 00:00:00; Lücke
01.02.2010 00:00:00; Lücke
01.03.2010 00:00:00; Lücke
01.04.2010 00:00:00; Lücke
22.05.2010 10:15:00;  16,6
02.06.2010 23:30:00;  40,5
05.07.2010 13:15:00;  39,0
31.08.2010 23:30:00;  23,1
01.09.2010 00:30:00;  23,5
31.10.2010 23:45:00;  3,64
13.11.2010 00:00:00;  5,41
24.12.2010 15:00:00;  1,97
14.01.2011 13:30:00;  26,3
12.02.2011 14:30:00;  5,97
18.03.2011 14:45:00;  6,97
08.04.2011 13:15:00;  15,6
23.05.2011 01:15:00;  12,2
19.06.2011 04:54:00;  12,7
24.07.2011 18:39:00;  14,7
09.08.2011 02:15:00;  15,6
21.09.2011 19:45:00;  7,18
11.10.2011 04:00:00;  30,1
01.11.2011 00:00:00;  1,28
05.12.2011 20:45:00;  1,14
20.01.2012 07:30:00;  4,78
29.02.2012 21:00:00;  3,68
30.03.2012 04:45:00;  13,1
29.04.2012 22:45:00;  22,2
02.05.2012 21:00:00;  23,1
01.06.2012 18:30:00;  19,9
21.07.2012 07:30:00;  16,6
31.08.2012 23:30:00;  16,6
01.09.2012 00:00:00;  16,6
13.10.2012 06:30:00;  7,07
05.11.2012 07:30:00;  7,50
23.12.2012 17:00:00;  7,28
05.01.2013 09:00:00;  15,9
01.02.2013 07:00:00;  2,97
10.03.2013 03:45:00;  5,24
18.04.2013 22:00:00;  18,4
03.05.2013 23:45:00;  23,1
02.06.2013 10:00:00;  56,3
01.07.2013 00:00:00;  8,75
28.08.2013 16:15:00;  12,2
