Messstelle:                ;Oberkappel
27.09.1963 12:00:00;  5,34
07.10.1963 12:00:00;  6,25
20.11.1963 12:00:00;  18,6
10.12.1963 12:00:00;  1,94
01.01.1964 12:00:00;  1,25
02.02.1964 12:00:00;  7,28
22.03.1964 12:00:00;  12,3
05.04.1964 12:00:00;  5,83
05.05.1964 12:00:00;  12,3
23.06.1964 12:00:00;  3,10
23.07.1964 12:00:00;  5,83
13.08.1964 12:00:00;  7,81
07.09.1964 12:00:00;  5,40
21.10.1964 12:00:00;  9,59
17.11.1964 12:00:00;  34,0
14.12.1964 12:00:00;  3,60
18.01.1965 12:00:00;  5,40
09.02.1965 12:00:00;  3,10
30.03.1965 12:00:00;  24,7
01.04.1965 12:00:00;  12,0
11.05.1965 12:00:00;  25,4
10.06.1965 12:00:00;  44,6
26.07.1965 12:00:00;  7,34
03.08.1965 12:00:00;  6,69
19.09.1965 12:00:00;  6,26
12.10.1965 12:00:00;  2,78
28.11.1965 12:00:00;  5,40
18.12.1965 12:00:00;  46,0
02.01.1966 12:00:00;  9,08
09.02.1966 12:00:00;  47,0
28.03.1966 12:00:00;  8,57
17.04.1966 12:00:00;  20,4
27.05.1966 12:00:00;  6,26
28.06.1966 12:00:00;  28,4
07.07.1966 12:00:00;  24,0
09.08.1966 12:00:00;  21,1
04.09.1966 12:00:00;  8,83
20.10.1966 12:00:00;  4,83
02.11.1966 12:00:00;  2,78
20.12.1966 12:00:00;  38,2
01.01.1967 12:00:00;  20,4
04.02.1967 12:00:00;  21,8
01.03.1967 12:00:00;  18,6
05.04.1967 12:00:00;  13,3
17.05.1967 12:00:00;  10,1
01.06.1967 12:00:00;  17,9
16.07.1967 12:00:00;  5,40
25.08.1967 12:00:00;  3,94
17.09.1967 12:00:00;  7,12
19.10.1967 12:00:00;  1,83
17.11.1967 12:00:00;  2,49
23.12.1967 12:00:00;  54,0
15.01.1968 12:00:00;  47,0
25.02.1968 12:00:00;  4,47
30.03.1968 12:00:00;  17,2
08.04.1968 12:00:00;  11,2
13.05.1968 12:00:00;  7,70
21.06.1968 12:00:00;  10,6
18.07.1968 12:00:00;  7,96
08.08.1968 12:00:00;  7,26
12.09.1968 12:00:00;  18,2
03.10.1968 12:00:00;  26,5
25.11.1968 12:00:00;  7,04
23.12.1968 12:00:00;  11,2
08.01.1969 12:00:00;  6,18
17.02.1969 12:00:00;  2,89
12.03.1969 12:00:00;  15,1
01.04.1969 12:00:00;  15,4
19.05.1969 12:00:00;  5,19
07.06.1969 12:00:00;  25,0
12.07.1969 12:00:00;  3,30
29.08.1969 12:00:00;  9,26
16.09.1969 12:00:00;  16,8
24.10.1969 12:00:00;  2,04
25.11.1969 12:00:00;  3,45
23.12.1969 12:00:00;  12,1
07.01.1970 12:00:00;  3,75
23.02.1970 12:00:00;  43,0
25.03.1970 12:00:00;  13,0
18.04.1970 12:00:00;  34,4
16.05.1970 12:00:00;  24,7
10.06.1970 12:00:00;  13,0
01.07.1970 12:00:00;  3,93
22.08.1970 12:00:00;  6,82
01.09.1970 12:00:00;  5,55
04.10.1970 12:00:00;  30,3
22.11.1970 12:00:00;  10,3
03.12.1970 12:00:00;  23,6
29.01.1971 12:00:00;  3,45
28.02.1971 12:00:00;  3,30
21.03.1971 12:00:00;  12,7
28.04.1971 12:00:00;  13,3
03.05.1971 12:00:00;  2,89
20.06.1971 12:00:00;  20,4
01.07.1971 12:00:00;  5,76
23.08.1971 12:00:00;  5,55
01.09.1971 12:00:00;  3,75
25.10.1971 12:00:00;  1,93
19.11.1971 12:00:00;  38,0
21.12.1971 12:00:00;  16,1
21.01.1972 12:00:00;  2,37
20.02.1972 12:00:00;  5,37
01.03.1972 12:00:00;  2,37
05.04.1972 12:00:00;  6,39
29.05.1972 12:00:00;  8,22
16.06.1972 12:00:00;  5,19
29.07.1972 12:00:00;  8,74
04.08.1972 12:00:00;  4,11
11.09.1972 12:00:00;  6,39
24.10.1972 12:00:00;  6,18
13.11.1972 12:00:00;  13,5
24.12.1972 12:00:00;  4,47
01.01.1973 12:00:00;  3,75
28.02.1973 12:00:00;  2,63
30.03.1973 12:00:00;  26,0
02.04.1973 12:00:00;  21,1
08.05.1973 12:00:00;  9,26
29.06.1973 12:00:00;  7,96
04.07.1973 12:00:00;  9,00
01.08.1973 12:00:00;  4,29
27.09.1973 12:00:00;  2,04
24.10.1973 12:00:00;  14,4
15.11.1973 12:00:00;  19,3
09.12.1973 12:00:00;  7,70
20.01.1974 12:00:00;  26,2
06.02.1974 12:00:00;  9,54
18.03.1974 12:00:00;  14,0
01.04.1974 12:00:00;  3,75
12.05.1974 12:00:00;  13,3
13.06.1974 12:00:00;  20,0
18.07.1974 12:00:00;  14,4
20.08.1974 12:00:00;  16,5
07.09.1974 12:00:00;  4,65
28.10.1974 12:00:00;  14,0
28.11.1974 12:00:00;  15,4
08.12.1974 12:00:00;  51,0
26.01.1975 12:00:00;  19,4
01.02.1975 12:00:00;  7,26
28.03.1975 12:00:00;  4,19
15.04.1975 12:00:00;  4,50
17.05.1975 12:00:00;  13,3
10.06.1975 12:00:00;  8,90
31.07.1975 12:00:00;  23,0
18.08.1975 12:00:00;  15,6
05.09.1975 12:00:00;  6,32
19.10.1975 12:00:00;  5,58
20.11.1975 12:00:00;  5,39
20.12.1975 12:00:00;  4,19
01.01.1976 00:00:00; Lücke
11.01.1976 23:00:00;  62,7
01.02.1976 00:00:00;  4,73
26.03.1976 19:30:00;  5,94
01.04.1976 00:00:00;  3,88
31.05.1976 19:30:00;  4,38
02.06.1976 09:00:00;  4,80
28.07.1976 05:30:00;  10,0
21.08.1976 06:00:00;  4,00
02.09.1976 08:00:00;  2,13
31.10.1976 13:00:00;  12,6
15.11.1976 10:00:00;  8,80
09.12.1976 15:30:00;  13,4
26.01.1977 21:00:00;  7,96
08.02.1977 19:30:00;  24,1
05.03.1977 03:30:00;  10,2
14.04.1977 01:30:00;  15,6
10.05.1977 00:30:00;  2,73
30.06.1977 22:00:00;  11,2
01.07.1977 00:00:00;  8,81
22.08.1977 23:00:00;  20,2
02.09.1977 20:30:00;  5,33
03.10.1977 12:30:00;  4,26
15.11.1977 09:00:00;  15,7
25.12.1977 07:30:00;  29,9
01.01.1978 15:00:00;  3,71
27.02.1978 22:30:00;  3,71
16.03.1978 14:30:00;  14,3
01.04.1978 00:00:00;  10,1
20.05.1978 02:00:00;  18,6
18.06.1978 14:00:00;  8,94
09.07.1978 18:30:00;  30,2
08.08.1978 17:00:00;  13,7
29.09.1978 14:00:00;  16,9
26.10.1978 04:00:00;  9,15
01.11.1978 18:30:00;  2,68
29.12.1978 23:30:00;  18,0
01.01.1979 00:00:00;  7,30
03.02.1979 02:00:00;  13,2
12.03.1979 14:30:00;  50,1
11.04.1979 20:30:00;  19,3
02.05.1979 17:30:00;  11,1
19.06.1979 11:30:00;  14,8
14.07.1979 17:00:00;  10,9
24.08.1979 21:00:00;  23,7
24.09.1979 21:00:00;  13,7
18.10.1979 13:00:00;  2,64
08.11.1979 10:30:00;  16,6
12.12.1979 12:00:00;  22,2
31.01.1980 09:30:00;  3,88
06.02.1980 13:30:00;  20,6
28.03.1980 14:30:00;  8,45
02.04.1980 02:30:00;  16,0
01.05.1980 00:00:00;  12,3
29.06.1980 12:30:00;  18,2
22.07.1980 11:30:00;  43,1
31.08.1980 23:59:55;  8,87
01.09.1980 00:00:00;  8,87
13.10.1980 11:00:00;  10,5
16.11.1980 17:30:00;  6,27
26.12.1980 12:00:00;  9,01
04.01.1981 00:00:00;  11,7
08.02.1981 19:00:00;  9,22
12.03.1981 07:30:00;  59,0
30.04.1981 23:59:55;  9,53
01.05.1981 07:30:00;  15,8
24.06.1981 17:00:00;  4,48
20.07.1981 09:00:00;  28,2
04.08.1981 22:30:00;  3,82
14.09.1981 10:30:00;  13,2
11.10.1981 12:30:00;  19,9
01.11.1981 00:00:00;  10,3
12.12.1981 13:00:00;  13,6
06.01.1982 18:00:00;  26,7
01.02.1982 00:00:00;  11,9
31.03.1982 21:30:00;  20,2
01.04.1982 22:00:00;  17,7
11.05.1982 06:00:00;  6,29
27.06.1982 17:00:00;  7,27
31.07.1982 23:59:55;  6,99
01.08.1982 01:00:00;  7,01
23.09.1982 10:30:00;  3,61
14.10.1982 10:30:00;  2,05
19.11.1982 09:30:00;  6,33
17.12.1982 05:30:00;  9,15
17.01.1983 16:00:00;  47,3
01.02.1983 22:00:00;  15,2
20.03.1983 01:00:00;  13,5
10.04.1983 15:00:00;  15,2
02.05.1983 09:30:00;  12,5
14.06.1983 18:00:00;  4,82
20.07.1983 07:30:00;  5,74
03.08.1983 04:30:00;  9,79
16.09.1983 20:30:00;  1,73
12.10.1983 07:30:00;  3,10
27.11.1983 13:00:00;  13,5
24.12.1983 20:00:00;  11,2
17.01.1984 23:30:00;  17,8
07.02.1984 12:30:00;  18,4
30.03.1984 01:45:00;  10,9
12.04.1984 00:30:00;  8,59
29.05.1984 10:15:00;  10,0
05.06.1984 09:30:00;  3,02
03.07.1984 15:30:00;  7,06
27.08.1984 03:15:00;  3,03
17.09.1984 05:45:00;  18,6
03.10.1984 03:00:00;  10,8
23.11.1984 11:45:00;  8,34
03.12.1984 07:00:00;  2,45
24.01.1985 07:15:00;  5,71
02.02.1985 09:45:00;  38,3
22.03.1985 19:45:00;  11,3
07.04.1985 05:30:00;  6,04
21.05.1985 09:00:00;  12,1
23.06.1985 09:00:00;  13,5
02.07.1985 01:45:00;  8,27
06.08.1985 21:15:00;  27,4
06.09.1985 06:00:00;  14,2
15.10.1985 15:00:00;  3,03
11.11.1985 01:30:00;  6,93
16.12.1985 17:30:00;  10,9
15.01.1986 00:00:00;  22,7
01.02.1986 07:00:00;  4,36
31.03.1986 19:45:00;  16,5
01.04.1986 00:00:00;  14,6
30.05.1986 02:15:00;  13,7
13.06.1986 06:15:00;  5,00
23.07.1986 10:00:00;  6,81
29.08.1986 17:45:00;  2,59
15.09.1986 09:30:00;  2,85
23.10.1986 05:45:00;  19,3
03.11.1986 02:15:00;  4,16
19.12.1986 09:45:00;  19,7
01.01.1987 08:30:00;  26,9
09.02.1987 17:30:00;  9,13
28.03.1987 18:45:00;  22,0
05.04.1987 18:45:00;  19,3
05.05.1987 04:45:00;  9,36
24.06.1987 22:00:00;  9,36
28.07.1987 06:00:00;  8,48
03.08.1987 05:30:00;  10,5
27.09.1987 12:45:00;  8,70
13.10.1987 07:30:00;  2,32
20.11.1987 13:30:00;  7,65
19.12.1987 07:45:00;  26,6
05.01.1988 11:15:00;  7,25
10.02.1988 09:45:00;  4,93
26.03.1988 06:30:00;  35,0
09.04.1988 04:00:00;  47,4
20.05.1988 11:15:00;  4,77
06.06.1988 14:15:00;  8,48
16.07.1988 00:30:00;  5,95
03.08.1988 20:00:00;  4,16
06.09.1988 03:15:00;  6,13
28.10.1988 11:15:00;  9,36
30.11.1988 19:30:00;  10,3
05.12.1988 03:00:00;  53,3
09.01.1989 09:30:00;  6,31
20.02.1989 18:30:00;  18,3
04.03.1989 19:30:00;  7,06
18.04.1989 06:45:00;  4,61
15.05.1989 00:00:00;  4,01
04.06.1989 03:15:00;  6,13
26.07.1989 03:30:00;  17,1
09.08.1989 14:15:00;  7,06
16.09.1989 05:15:00;  19,6
07.10.1989 20:00:00;  6,13
01.11.1989 05:00:00;  6,68
16.12.1989 05:15:00;  35,4
25.01.1990 23:30:00;  8,70
26.02.1990 22:15:00;  26,6
01.03.1990 08:00:00;  28,8
25.04.1990 22:15:00;  5,95
10.05.1990 02:00:00;  4,46
15.06.1990 20:45:00;  4,01
06.07.1990 18:45:00;  4,61
17.08.1990 19:00:00;  3,86
23.09.1990 04:15:00;  7,06
02.10.1990 05:00:00;  6,31
18.11.1990 23:30:00;  12,3
30.12.1990 21:30:00;  4,77
03.01.1991 11:30:00;  12,3
25.02.1991 22:30:00;  3,31
20.03.1991 09:30:00;  10,0
08.04.1991 23:15:00;  2,10
07.05.1991 01:45:00;  6,13
27.06.1991 23:15:00;  14,7
13.07.1991 10:00:00;  2,92
05.08.1991 19:00:00;  16,5
27.09.1991 10:15:00;  2,21
11.10.1991 14:45:00;  1,79
09.11.1991 17:30:00;  3,44
23.12.1991 10:15:00;  21,0
07.01.1992 01:00:00;  5,01
16.02.1992 07:15:00;  19,5
14.03.1992 07:30:00;  15,2
01.04.1992 21:00:00;  6,57
01.05.1992 00:00:00;  3,09
19.06.1992 20:00:00;  8,22
06.07.1992 04:30:00;  2,57
02.08.1992 05:30:00;  2,22
05.09.1992 21:30:00;  5,35
26.10.1992 14:45:00;  17,8
22.11.1992 22:00:00;  40,0
04.12.1992 11:45:00;  5,52
25.01.1993 08:30:00;  12,0
07.02.1993 15:15:00;  3,44
17.03.1993 22:15:00;  23,7
19.04.1993 14:15:00;  13,3
22.05.1993 07:15:00;  3,58
04.06.1993 21:00:00;  11,5
18.07.1993 08:15:00;  10,3
31.08.1993 07:30:00;  7,55
26.09.1993 16:15:00;  6,01
24.10.1993 09:30:00;  6,37
06.11.1993 07:00:00;  2,65
21.12.1993 00:00:00;  61,1
25.01.1994 22:00:00;  19,0
25.02.1994 17:30:00;  6,13
19.03.1994 22:30:00;  12,5
16.04.1994 18:45:00;  18,0
19.05.1994 22:45:00;  12,0
05.06.1994 19:15:00;  9,58
01.07.1994 00:00:00;  3,17
31.08.1994 23:15:00;  3,44
01.09.1994 01:00:00;  5,26
27.10.1994 06:45:00;  2,10
18.11.1994 22:00:00;  8,06
28.12.1994 19:30:00;  28,1
26.01.1995 12:15:00;  19,6
09.02.1995 08:30:00;  20,4
19.03.1995 11:30:00;  21,0
02.04.1995 08:15:00;  24,0
13.05.1995 17:15:00;  7,45
02.06.1995 04:00:00;  7,45
11.07.1995 17:45:00;  3,86
29.08.1995 21:00:00;  10,5
01.09.1995 19:00:00;  40,7
01.10.1995 07:30:00;  4,31
03.11.1995 16:00:00;  23,0
24.12.1995 19:15:00;  17,4
03.01.1996 10:45:00;  3,04
23.02.1996 09:30:00;  1,99
24.03.1996 23:30:00;  13,6
07.04.1996 20:00:00;  8,70
27.05.1996 13:45:00;  14,4
23.06.1996 00:45:00;  3,04
09.07.1996 02:15:00;  7,25
30.08.1996 07:15:00;  5,77
14.09.1996 08:15:00;  4,61
21.10.1996 07:15:00;  23,7
07.11.1996 21:30:00;  10,5
19.12.1996 23:30:00;  4,01
29.01.1997 15:41:55;  1,79
12.02.1997 17:57:40;  28,9
17.03.1997 09:29:35;  19,3
06.04.1997 07:35:20;  23,4
19.05.1997 02:57:10;  44,6
20.06.1997 08:43:40;  8,07
18.07.1997 15:10:55;  63,7
01.08.1997 19:06:50;  5,19
01.09.1997 00:00:00;  2,00
10.10.1997 23:45:50;  9,09
30.11.1997 22:08:20;  3,93
12.12.1997 03:57:35;  18,4
20.01.1998 08:29:55;  4,33
17.02.1998 16:48:25;  3,89
17.03.1998 16:51:55;  5,95
12.04.1998 21:38:35;  5,53
02.05.1998 06:19:20;  2,35
13.06.1998 08:13:10;  12,2
09.07.1998 06:57:40;  8,45
02.08.1998 07:38:00;  7,57
15.09.1998 20:48:45;  27,6
29.10.1998 17:23:25;  35,0
01.11.1998 12:16:45;  35,8
13.12.1998 19:40:45;  8,89
01.01.1999 00:00:00;  2,89
01.02.1999 00:00:00; Lücke
01.03.1999 00:00:00; Lücke
01.04.1999 00:00:00; Lücke
01.05.1999 00:00:00; Lücke
01.06.1999 00:00:00; Lücke
01.07.1999 00:00:00; Lücke
01.08.1999 00:00:00; Lücke
01.09.1999 00:00:00; Lücke
01.10.1999 00:00:00; Lücke
01.11.1999 00:00:00; Lücke
01.12.1999 00:00:00; Lücke
31.01.2000 14:28:35;  31,4
09.02.2000 02:26:00;  43,3
10.03.2000 03:51:45;  34,5
05.04.2000 23:11:40;  23,9
22.05.2000 19:22:00;  7,03
01.06.2000 00:00:00;  5,97
25.07.2000 05:40:25;  10,2
06.08.2000 18:37:20;  21,2
07.09.2000 09:12:50;  4,11
19.10.2000 11:06:30;  5,48
27.11.2000 00:24:20;  2,85
11.12.2000 09:14:30;  13,8
08.01.2001 06:26:45;  2,72
06.02.2001 20:05:20;  4,38
15.03.2001 19:49:25;  25,5
16.04.2001 18:12:15;  10,7
06.05.2001 01:20:35;  4,47
11.06.2001 10:17:10;  14,1
21.07.2001 01:15:45;  4,61
17.08.2001 20:43:00;  21,9
09.09.2001 04:40:05;  35,6
05.10.2001 05:13:15;  3,88
08.11.2001 09:22:35;  23,7
06.12.2001 13:06:20;  24,4
28.01.2002 07:57:45;  47,7
21.02.2002 02:39:15;  52,3
20.03.2002 20:35:40;  50,4
01.04.2002 01:31:15;  6,27
12.05.2002 14:10:20;  4,75
08.06.2002 03:34:55;  7,34
31.07.2002 17:01:15;  5,16
12.08.2002 19:10:05;   146
01.09.2002 09:53:25;  13,5
18.10.2002 12:04:00;  35,4
11.11.2002 16:36:10;  30,9
23.12.2002 05:50:05;  38,5
04.01.2003 07:29:20;  20,9
01.02.2003 15:00:25;  3,69
12.03.2003 19:41:05;  15,2
02.04.2003 14:17:25;  3,44
05.05.2003 10:14:55;  6,88
10.06.2003 14:08:50;  3,53
23.07.2003 20:47:15;  3,13
01.08.2003 21:53:10;  2,98
30.09.2003 07:10:25;  1,63
09.10.2003 03:46:00;  6,52
11.11.2003 07:57:50;  1,11
14.12.2003 10:29:25;  4,69
14.01.2004 02:02:15;  34,8
03.02.2004 05:19:35;  13,9
20.03.2004 19:34:40;  14,8
11.04.2004 11:08:00;  14,2
07.05.2004 14:43:10;  3,51
03.06.2004 20:48:05;  3,92
21.07.2004 09:12:55;  2,58
21.08.2004 08:30:00;  2,92
24.09.2004 06:15:00;  12,9
18.10.2004 12:36:00;  3,25
23.11.2004 09:51:50;  18,9
24.12.2004 21:30:00;  5,89
21.01.2005 04:30:00;  52,5
13.02.2005 02:15:00;  28,8
19.03.2005 19:30:00;  14,4
26.04.2005 02:15:00;  10,5
07.05.2005 23:00:00;  11,0
15.06.2005 05:45:00;  4,76
08.07.2005 10:33:40;  8,70
22.08.2005 17:00:00;  1,95
29.09.2005 10:45:00;  2,23
03.10.2005 00:30:00;  1,87
25.11.2005 13:45:00;  1,22
19.12.2005 07:15:00;  1,95
17.01.2006 08:30:00;  1,51
19.02.2006 04:34:50;  1,94
31.03.2006 18:15:00;  42,9
01.04.2006 00:00:00;  34,3
28.05.2006 11:45:00;  25,8
29.06.2006 21:45:00;  44,5
12.07.2006 17:45:00;  15,4
07.08.2006 05:45:00;  10,7
19.09.2006 14:45:00;  4,06
30.10.2006 07:15:00;  2,46
05.11.2006 21:15:00;  10,3
05.12.2006 12:30:00;  4,14
19.01.2007 10:00:00;  25,6
28.02.2007 17:45:00;  32,5
01.03.2007 23:45:00;  24,8
03.04.2007 14:30:00;  3,74
10.05.2007 04:00:00;  13,2
10.06.2007 14:45:00;  2,41
06.07.2007 06:00:00;  10,1
20.08.2007 05:00:00;  2,87
06.09.2007 21:45:00;  34,8
30.10.2007 06:45:00;  3,01
11.11.2007 22:30:00;  31,9
07.12.2007 13:00:00;  44,0
22.01.2008 15:30:00;  16,7
06.02.2008 19:30:00;  13,8
01.03.2008 11:30:00;  42,2
22.04.2008 03:45:00;  13,8
01.05.2008 05:30:00;  6,38
08.06.2008 14:15:00;  2,96
26.07.2008 21:00:00;  2,44
16.08.2008 16:15:00;  7,51
12.09.2008 16:15:00;  9,56
01.10.2008 13:15:00;  2,76
21.11.2008 14:00:00;  10,2
22.12.2008 21:15:00;  11,9
27.01.2009 16:15:00;  1,67
10.02.2009 22:00:00;  3,80
28.03.2009 21:15:00;  22,8
02.04.2009 20:30:00;  27,5
06.05.2009 15:00:00;  6,58
27.06.2009 07:00:00;  18,9
08.07.2009 20:15:00;  19,2
11.08.2009 06:00:00;  12,0
04.09.2009 16:15:00;  3,25
12.10.2009 11:15:00;  13,5
25.11.2009 01:00:00;  6,87
11.12.2009 10:00:00;  19,6
01.01.2010 00:00:00;  4,08
28.02.2010 23:59:55;  2,63
27.03.2010 03:30:00;  19,4
01.04.2010 00:00:00;  8,08
14.05.2010 07:00:00;  9,89
02.06.2010 23:30:00;  17,6
06.07.2010 02:15:00;  30,1
07.08.2010 17:30:00;  16,8
01.09.2010 15:30:00;  4,52
21.10.2010 08:00:00;  2,70
13.11.2010 05:15:00;  2,75
07.12.2010 20:30:00;  6,48
14.01.2011 09:15:00;  42,0
12.02.2011 07:30:00;  17,3
18.03.2011 14:30:00;  10,4
01.04.2011 13:15:00;  3,07
28.05.2011 01:00:00;  4,85
01.06.2011 05:45:00;  3,74
20.07.2011 23:30:00;  17,6
25.08.2011 01:00:00;  22,5
20.09.2011 06:45:00;  4,98
13.10.2011 02:15:00;  23,7
07.11.2011 07:00:00;  2,92
17.12.2011 03:00:00;  9,20
20.01.2012 04:15:00;  32,6
29.02.2012 18:00:00;  10,1
01.03.2012 20:30:00;  11,1
12.04.2012 11:15:00;  6,25
08.05.2012 16:15:00;  2,97
13.06.2012 06:00:00;  16,2
29.07.2012 22:45:00;  2,58
31.08.2012 23:15:00;  6,01
13.09.2012 06:30:00;  8,67
07.10.2012 18:00:00;  5,76
05.11.2012 17:00:00;  6,54
23.12.2012 18:15:00;  22,6
31.01.2013 01:15:00;  26,4
02.02.2013 07:00:00;  32,0
08.03.2013 21:15:00;  10,4
10.04.2013 19:30:00;  5,94
27.05.2013 08:15:00;  18,2
02.06.2013 14:00:00;  36,0
05.07.2013 23:00:00;  3,47
07.08.2013 20:00:00;  2,91
