Messstelle:                ;St. Leonhard (Summenpegel)
08.12.2007 10:30:00;  26,7
27.01.2008 18:30:00;  21,2
07.02.2008 08:45:00;  15,0
15.03.2008 02:15:00;  62,6
22.04.2008 07:15:00;  57,2
27.05.2008 23:00:00;  56,6
23.06.2008 17:30:00;  79,9
24.07.2008 07:15:00;  86,4
16.08.2008 10:45:00;   117
13.09.2008 07:15:00;  27,8
07.10.2008 12:30:00;  34,3
21.11.2008 18:45:00;  27,3
21.12.2008 02:15:00;  57,1
02.01.2009 23:00:00;  8,69
28.02.2009 21:00:00;  8,13
13.03.2009 16:30:00;  34,2
06.04.2009 18:15:00;  50,6
14.05.2009 12:30:00;  76,4
23.06.2009 04:00:00;   138
18.07.2009 12:15:00;   114
04.08.2009 08:45:00;   149
04.09.2009 15:45:00;  93,1
12.10.2009 12:45:00;  31,8
04.11.2009 18:15:00;  23,6
25.12.2009 17:30:00;  21,5
02.01.2010 01:00:00;  9,52
26.02.2010 16:00:00;  18,1
22.03.2010 08:15:00;  26,3
26.04.2010 10:00:00;  34,7
31.05.2010 20:30:00;  79,6
03.06.2010 00:30:00;   226
05.07.2010 10:45:00;   116
31.08.2010 01:15:00;  83,4
01.09.2010 00:45:00;  61,3
31.10.2010 23:59:55;  19,6
01.11.2010 00:00:00;  19,6
09.12.2010 13:45:00;  14,7
13.01.2011 23:00:00;   126
12.02.2011 14:15:00;  19,7
18.03.2011 13:00:00;  20,8
08.04.2011 09:15:00;  31,8
28.05.2011 02:15:00;  91,1
30.06.2011 01:45:00;  65,1
21.07.2011 01:00:00;   127
09.08.2011 00:30:00;  87,7
05.09.2011 19:45:00;  54,5
10.10.2011 21:00:00;   143
01.11.2011 14:00:00;  8,30
25.12.2011 23:45:00;  11,6
20.01.2012 07:30:00;  44,6
29.02.2012 18:30:00;  19,4
27.03.2012 14:00:00;  34,3
29.04.2012 00:30:00;  54,0
24.05.2012 21:30:00;  69,3
20.06.2012 20:30:00;   112
21.07.2012 08:30:00;  80,6
31.08.2012 19:00:00;  94,9
01.09.2012 00:00:00;  87,8
10.10.2012 02:45:00;  54,9
05.11.2012 06:00:00;  32,9
23.12.2012 14:15:00;  82,5
05.01.2013 06:00:00;   156
02.02.2013 11:30:00;  27,3
10.03.2013 10:15:00;  17,3
17.04.2013 23:00:00;  48,7
04.05.2013 02:15:00;  68,4
02.06.2013 03:00:00;   375
04.07.2013 11:45:00;  80,5
28.08.2013 10:30:00;   130
19.09.2013 05:30:00;   161
16.10.2013 16:30:00;  38,0
06.11.2013 20:15:00;  60,2
01.12.2013 00:00:00;  9,18
08.01.2014 14:15:00;  7,97
08.02.2014 01:45:00;  15,1
24.03.2014 14:15:00;  17,4
29.04.2014 14:15:00;  33,5
28.05.2014 02:00:00;   147
30.06.2014 12:45:00;  40,6
31.07.2014 12:45:00;   233
01.08.2014 01:15:00;   143
01.09.2014 14:30:00;  99,6
23.10.2014 11:15:00;   122
06.11.2014 03:15:00;  28,1
19.12.2014 00:15:00;  8,15
10.01.2015 04:00:00;  93,7
24.02.2015 16:30:00;  6,97
30.03.2015 16:15:00;  42,4
18.04.2015 01:00:00;  47,0
23.05.2015 23:00:00;  91,8
02.06.2015 01:30:00;  78,1
26.07.2015 02:14:55;  35,5
17.08.2015 12:45:00;  44,6
05.09.2015 15:45:00;  45,9
08.10.2015 06:45:00;  54,9
30.11.2015 19:00:00;  8,58
01.12.2015 13:45:00;  26,7
31.01.2016 23:59:55;  22,3
01.02.2016 08:30:00;   113
28.03.2016 23:30:00;  14,0
19.04.2016 08:30:00;  27,3
14.05.2016 12:30:00;  75,6
01.06.2016 12:00:00;   118
26.07.2016 04:15:00;  91,3
09.08.2016 23:06:00;  97,1
06.09.2016 09:00:00;  90,5
15.10.2016 09:15:00;  31,4
17.11.2016 11:32:00;  29,0
27.12.2016 03:45:00;  10,2
31.01.2017 19:30:00;  14,4
22.02.2017 05:30:00;  33,7
19.03.2017 10:00:00;  76,9
26.04.2017 23:45:00;  26,4
25.05.2017 04:15:00;  46,2
07.06.2017 07:30:00;  40,5
26.07.2017 17:30:00;   101
06.08.2017 18:15:00;  92,0
03.09.2017 03:00:00;   113
27.10.2017 22:45:00;  78,7
06.11.2017 08:15:00;  33,3
05.12.2017 08:30:00;  22,7
05.01.2018 08:30:00;  53,9
01.02.2018 19:30:00;  14,6
12.03.2018 17:00:00;  16,6
26.04.2018 14:30:00;  47,7
15.05.2018 12:15:00;  61,8
13.06.2018 16:15:00;  91,1
06.07.2018 22:30:00;  85,9
26.08.2018 06:15:00;  81,2
24.09.2018 07:15:00;  82,5
25.10.2018 00:45:00;  85,2
06.11.2018 19:00:00;  16,8
24.12.2018 09:15:00;   109
14.01.2019 06:30:00;  36,3
22.02.2019 13:45:00;  46,0
16.03.2019 10:30:00;  55,1
25.04.2019 02:00:00;  59,8
29.05.2019 08:45:00;  70,9
06.06.2019 00:45:00;  71,8
29.07.2019 06:00:00;   195
14.08.2019 06:45:00;  61,8
03.09.2019 02:45:00;  48,6
10.10.2019 00:15:00;  54,8
17.11.2019 23:30:00;  77,6
25.12.2019 17:15:00;  39,1
31.01.2020 23:00:00;  20,1
03.02.2020 11:30:00;   119
12.03.2020 21:45:00;  34,0
21.04.2020 09:45:00;  31,8
26.05.2020 03:45:00;  86,8
15.06.2020 19:45:00;   104
17.07.2020 10:30:00;  87,6
04.08.2020 08:45:00;   188
01.09.2020 13:45:00;  82,0
30.10.2020 10:15:00;  51,1
04.11.2020 19:15:00;  30,6
25.12.2020 11:45:00;  10,8
