Messstelle:                ;Löbenau
21.06.1955 12:00:00;  30,7
10.07.1955 12:00:00;  33,0
08.08.1955 12:00:00;  12,2
15.09.1955 12:00:00;  7,30
11.10.1955 12:00:00;  5,18
03.11.1955 12:00:00;  3,90
04.12.1955 12:00:00;  3,30
01.01.1956 12:00:00;  2,94
01.02.1956 12:00:00;  2,58
03.03.1956 12:00:00;  4,96
17.04.1956 12:00:00;  9,22
25.05.1956 12:00:00;  15,8
15.06.1956 12:00:00;  18,5
17.07.1956 12:00:00;  9,90
23.08.1956 12:00:00;  16,9
14.09.1956 12:00:00;  9,90
04.10.1956 12:00:00;  3,70
16.11.1956 12:00:00;  2,40
09.12.1956 12:00:00;  3,30
07.01.1957 12:00:00;  2,20
02.02.1957 12:00:00;  2,30
29.03.1957 12:00:00;  5,66
30.04.1957 12:00:00;  7,90
20.05.1957 12:00:00;  13,2
06.06.1957 12:00:00;  12,8
28.07.1957 12:00:00;  15,2
19.08.1957 12:00:00;  18,5
27.09.1957 12:00:00;  6,72
04.10.1957 12:00:00;  5,02
12.11.1957 12:00:00;  4,65
14.12.1957 12:00:00;  4,13
21.01.1958 12:00:00;  3,34
17.02.1958 12:00:00;  7,42
31.03.1958 12:00:00;  3,97
26.04.1958 12:00:00;  5,40
11.05.1958 12:00:00;  32,0
29.06.1958 12:00:00;  16,1
23.07.1958 12:00:00;  13,2
20.08.1958 12:00:00;  20,2
23.09.1958 12:00:00;  6,48
16.10.1958 12:00:00;  8,78
13.11.1958 12:00:00;  9,39
24.12.1958 12:00:00;  4,13
11.01.1959 12:00:00;  3,34
15.02.1959 12:00:00;  3,05
08.03.1959 12:00:00;  6,48
19.04.1959 12:00:00;  10,7
12.05.1959 12:00:00;  6,72
14.06.1959 12:00:00;  38,3
15.07.1959 12:00:00;  22,2
13.08.1959 12:00:00;  50,0
02.09.1959 12:00:00;  4,69
30.10.1959 12:00:00;  3,70
16.11.1959 12:00:00;  3,70
06.12.1959 12:00:00;  2,99
31.01.1960 12:00:00;  2,99
29.02.1960 12:00:00;  3,16
31.03.1960 12:00:00;  4,28
10.04.1960 12:00:00;  7,27
15.05.1960 12:00:00;  17,9
29.06.1960 12:00:00;  9,45
26.07.1960 12:00:00;  12,2
19.08.1960 12:00:00;  28,0
06.09.1960 12:00:00;  14,9
16.10.1960 12:00:00;  5,12
06.11.1960 12:00:00;  4,69
08.12.1960 12:00:00;  4,09
17.01.1961 12:00:00;  3,16
28.02.1961 12:00:00;  3,16
14.03.1961 12:00:00;  4,48
11.04.1961 12:00:00;  9,74
15.05.1961 12:00:00;  17,1
08.06.1961 12:00:00;  24,0
05.07.1961 12:00:00;  7,01
20.08.1961 12:00:00;  9,74
01.09.1961 12:00:00;  4,69
08.10.1961 12:00:00;  4,09
13.11.1961 12:00:00;  7,01
12.12.1961 12:00:00;  18,7
07.01.1962 12:00:00;  3,29
14.02.1962 12:00:00;  2,92
06.03.1962 12:00:00;  3,67
22.04.1962 12:00:00;  18,3
09.05.1962 12:00:00;  27,7
01.06.1962 12:00:00;  38,0
22.07.1962 12:00:00;  35,0
16.08.1962 12:00:00;  11,2
18.09.1962 12:00:00;  5,65
06.10.1962 12:00:00;  3,86
06.11.1962 12:00:00;  6,15
16.12.1962 12:00:00;  3,48
07.01.1963 12:00:00;  3,10
10.02.1963 12:00:00;  2,57
30.03.1963 12:00:00;  3,10
24.04.1963 12:00:00;  8,10
13.05.1963 12:00:00;  10,9
19.06.1963 12:00:00;  11,2
09.07.1963 12:00:00;  6,40
30.08.1963 12:00:00;  13,5
06.09.1963 12:00:00;  6,75
05.10.1963 12:00:00;  5,34
21.11.1963 12:00:00;  3,89
05.12.1963 12:00:00;  3,33
20.01.1964 12:00:00;  2,65
29.02.1964 12:00:00;  2,65
27.03.1964 12:00:00;  3,16
30.04.1964 12:00:00;  8,33
09.05.1964 12:00:00;  13,0
30.06.1964 12:00:00;  6,84
10.07.1964 12:00:00;  12,4
03.08.1964 12:00:00;  8,85
08.09.1964 12:00:00;  5,25
29.10.1964 12:00:00;  9,39
18.11.1964 12:00:00;  9,12
01.12.1964 12:00:00;  3,92
01.01.1965 12:00:00;  2,95
02.02.1965 12:00:00;  2,80
31.03.1965 12:00:00;  4,24
09.04.1965 12:00:00;  6,10
20.05.1965 12:00:00;  20,0
23.06.1965 12:00:00;  22,0
02.07.1965 12:00:00;  12,1
02.08.1965 12:00:00;  18,1
29.09.1965 12:00:00;  7,51
01.10.1965 12:00:00;  4,94
05.11.1965 12:00:00;  3,18
09.12.1965 12:00:00;  2,60
31.01.1966 12:00:00;  2,40
23.02.1966 12:00:00;  3,02
01.03.1966 12:00:00;  3,18
29.04.1966 12:00:00;  10,6
07.05.1966 12:00:00;  14,7
25.06.1966 12:00:00;  18,1
24.07.1966 12:00:00;  17,6
18.08.1966 12:00:00;  27,0
16.09.1966 12:00:00;  8,71
01.10.1966 12:00:00;  4,92
04.11.1966 12:00:00;  49,0
31.12.1966 12:00:00;  3,74
04.01.1967 12:00:00;  3,74
28.02.1967 12:00:00;  3,20
12.03.1967 12:00:00;  4,92
18.04.1967 12:00:00;  9,30
14.05.1967 12:00:00;  29,0
10.06.1967 12:00:00;  21,2
04.07.1967 12:00:00;  8,14
13.08.1967 12:00:00;  9,60
08.09.1967 12:00:00;  21,6
05.10.1967 12:00:00;  4,92
06.11.1967 12:00:00;  4,10
06.12.1967 12:00:00;  3,74
16.01.1968 12:00:00;  3,56
25.02.1968 12:00:00;  3,38
30.03.1968 12:00:00;  5,38
24.04.1968 12:00:00;  10,6
07.05.1968 12:00:00;  6,95
10.06.1968 12:00:00;  6,68
18.07.1968 12:00:00;  25,0
23.08.1968 12:00:00;  11,9
05.09.1968 12:00:00;  6,79
03.10.1968 12:00:00;  7,56
06.11.1968 12:00:00;  4,10
24.12.1968 12:00:00;  3,50
16.01.1969 12:00:00;  3,02
01.02.1969 12:00:00;  2,70
21.03.1969 12:00:00;  3,18
30.04.1969 12:00:00;  7,56
01.05.1969 12:00:00;  8,71
08.06.1969 12:00:00;  9,60
14.07.1969 12:00:00;  9,00
18.08.1969 12:00:00;  17,0
16.09.1969 12:00:00;  7,23
05.10.1969 12:00:00;  3,34
14.11.1969 12:00:00;  3,02
04.12.1969 12:00:00;  2,60
15.01.1970 12:00:00;  2,50
23.02.1970 12:00:00;  2,60
27.03.1970 12:00:00;  2,50
25.04.1970 12:00:00;  8,66
16.05.1970 12:00:00;  24,9
08.06.1970 12:00:00;  25,0
25.07.1970 12:00:00;  21,6
21.08.1970 12:00:00;  27,0
06.09.1970 12:00:00;  14,4
07.10.1970 12:00:00;  7,04
20.11.1970 12:00:00;  5,12
08.12.1970 12:00:00;  3,92
03.01.1971 12:00:00;  3,05
06.02.1971 12:00:00;  2,74
22.03.1971 12:00:00;  3,74
21.04.1971 12:00:00;  8,42
10.05.1971 12:00:00;  12,6
24.06.1971 12:00:00;  33,0
02.07.1971 12:00:00;  7,56
31.08.1971 12:00:00;  13,7
25.09.1971 12:00:00;  5,58
15.10.1971 12:00:00;  3,38
21.11.1971 12:00:00;  2,58
22.12.1971 12:00:00;  3,05
05.01.1972 12:00:00;  2,43
29.02.1972 12:00:00;  2,43
27.03.1972 12:00:00;  2,43
23.04.1972 12:00:00;  5,35
16.05.1972 12:00:00;  11,2
17.06.1972 12:00:00;  10,0
14.07.1972 12:00:00;  12,0
04.08.1972 12:00:00;  8,14
11.09.1972 12:00:00;  4,10
09.10.1972 12:00:00;  6,04
17.11.1972 12:00:00;  5,58
03.12.1972 12:00:00;  2,89
12.01.1973 12:00:00;  2,32
03.02.1973 12:00:00;  2,22
28.03.1973 12:00:00;  2,32
30.04.1973 12:00:00;  5,12
07.05.1973 12:00:00;  15,6
06.06.1973 12:00:00;  20,0
27.07.1973 12:00:00;  5,86
08.08.1973 12:00:00;  5,20
27.09.1973 12:00:00;  6,78
01.10.1973 12:00:00;  5,35
16.11.1973 12:00:00;  3,74
10.12.1973 12:00:00;  2,58
05.01.1974 12:00:00;  2,43
28.02.1974 12:00:00;  2,32
30.03.1974 12:00:00;  5,81
01.04.1974 12:00:00;  5,12
23.05.1974 12:00:00;  8,42
24.06.1974 12:00:00;  16,7
21.07.1974 12:00:00;  24,0
28.08.1974 12:00:00;  7,26
29.09.1974 12:00:00;  5,20
02.10.1974 12:00:00;  4,99
01.11.1974 12:00:00;  4,15
08.12.1974 12:00:00;  5,20
02.01.1975 12:00:00;  4,15
01.02.1975 12:00:00;  3,81
31.03.1975 12:00:00;  3,64
25.04.1975 12:00:00;  8,06
21.05.1975 12:00:00;  31,0
30.06.1975 12:00:00;  19,8
02.07.1975 12:00:00;  20,3
25.08.1975 12:00:00;  11,8
12.09.1975 12:00:00;  6,30
18.10.1975 12:00:00;  3,98
20.11.1975 12:00:00;  3,30
21.12.1975 12:00:00;  3,02
12.01.1976 10:00:00;  4,03
09.02.1976 00:00:00;  2,60
31.03.1976 10:00:00;  2,74
19.04.1976 18:00:00;  5,85
09.05.1976 18:00:00;  13,5
01.06.1976 02:00:00;  13,5
28.07.1976 10:00:00;  7,54
01.08.1976 02:00:00;  10,3
05.09.1976 12:00:00;  6,31
01.10.1976 00:00:00;  4,79
05.11.1976 10:00:00;  3,35
01.12.1976 00:00:00;  3,04
13.01.1977 12:00:00;  2,89
25.02.1977 12:00:00;  3,52
27.03.1977 10:00:00;  5,41
30.04.1977 18:00:00;  17,1
01.05.1977 00:00:00;  17,1
16.06.1977 10:00:00;  8,62
21.07.1977 10:00:00;  6,31
01.08.1977 02:00:00;  17,1
09.09.1977 08:00:00;  9,75
03.10.1977 10:00:00;  3,35
03.11.1977 10:00:00;  3,35
25.12.1977 10:00:00;  3,68
25.01.1978 14:00:00;  2,60
28.02.1978 10:00:00;  2,89
01.03.1978 00:00:00;  2,89
29.04.1978 18:00:00;  7,54
22.05.1978 18:00:00;  23,2
01.06.1978 00:00:00;  11,2
17.07.1978 18:00:00;  13,5
08.08.1978 10:00:00;  5,41
08.09.1978 22:00:00;  27,8
03.10.1978 08:00:00;  17,1
01.11.1978 00:00:00;  4,40
13.12.1978 10:00:00;  3,86
01.01.1979 00:00:00;  3,35
01.02.1979 00:00:00;  2,74
12.03.1979 08:00:00;  4,79
16.04.1979 12:00:00;  4,40
20.05.1979 20:00:00;  17,1
20.06.1979 08:00:00;  15,3
11.07.1979 08:00:00;  17,1
04.08.1979 14:00:00;  13,5
15.09.1979 08:00:00;  5,85
01.10.1979 00:00:00;  4,99
28.11.1979 10:00:00;  5,41
01.12.1979 00:00:00;  5,20
04.01.1980 10:00:00;  3,52
05.02.1980 08:00:00;  3,19
25.03.1980 10:00:00;  3,35
19.04.1980 08:00:00;  6,07
08.05.1980 16:00:00;  13,5
06.06.1980 08:00:00;  13,5
10.07.1980 08:00:00;  11,9
31.08.1980 08:00:00;  15,3
01.09.1980 00:00:00;  15,3
17.10.1980 08:00:00;  10,3
01.11.1980 00:00:00;  4,99
13.12.1980 10:00:00;  3,52
01.01.1981 00:00:00;  3,35
01.02.1981 00:00:00;  3,03
31.03.1981 08:00:00;  11,2
01.04.1981 02:00:00;  11,9
21.05.1981 16:00:00;  13,5
22.06.1981 08:00:00;  7,03
21.07.1981 08:00:00;  23,2
27.08.1981 08:00:00;  10,3
14.09.1981 08:00:00;  8,07
30.10.1981 08:00:00;  6,31
05.11.1981 20:00:00;  49,3
01.12.1981 00:00:00;  3,17
01.01.1982 02:00:00;  3,01
01.02.1982 00:00:00;  2,37
26.03.1982 08:00:00;  2,69
06.04.1982 10:00:00;  4,10
24.05.1982 08:00:00;  18,0
27.06.1982 08:00:00;  12,5
27.07.1982 08:00:00;  10,3
01.08.1982 02:00:00;  8,07
01.09.1982 00:00:00;  4,40
14.10.1982 08:00:00;  5,59
01.11.1982 00:00:00;  3,17
16.12.1982 10:00:00;  2,87
06.01.1983 08:00:00;  4,26
01.02.1983 00:00:00;  3,19
21.03.1983 08:00:00;  4,07
22.04.1983 08:00:00;  9,65
09.05.1983 08:00:00;  10,3
14.06.1983 08:00:00;  10,3
01.07.1983 00:00:00;  6,31
04.08.1983 08:00:00;  5,85
11.09.1983 08:00:00;  5,72
11.10.1983 08:00:00;  3,88
28.11.1983 08:00:00;  3,19
23.12.1983 08:00:00;  3,70
01.01.1984 00:00:00;  2,87
01.02.1984 00:00:00;  2,41
29.03.1984 10:00:00;  2,87
23.04.1984 10:00:00;  4,65
21.05.1984 10:00:00;  47,5
05.06.1984 10:00:00;  8,40
28.07.1984 10:00:00;  8,13
28.08.1984 10:00:00;  8,13
06.09.1984 10:00:00;  9,81
05.10.1984 10:00:00;  9,65
01.11.1984 00:00:00;  3,42
01.12.1984 00:00:00;  2,93
01.01.1985 00:00:00;  2,61
02.02.1985 12:00:00;  2,38
01.03.1985 00:00:00;  2,24
24.04.1985 08:00:00;  6,18
14.05.1985 08:00:00;  14,3
08.06.1985 08:00:00;  16,1
02.07.1985 08:00:00;  6,43
06.08.1985 18:00:00;  47,5
04.09.1985 08:00:00;  7,87
01.10.1985 00:00:00;  3,63
01.11.1985 00:00:00;  2,97
20.12.1985 10:00:00;  2,98
01.01.1986 00:00:00;  2,82
01.02.1986 00:00:00;  2,31
17.03.1986 10:00:00;  2,47
29.04.1986 08:00:00;  11,3
01.05.1986 00:00:00;  10,7
13.06.1986 08:00:00;  7,61
21.07.1986 08:00:00;  5,91
29.08.1986 08:00:00;  6,31
10.09.1986 10:00:00;  9,18
22.10.1986 08:00:00;  3,86
01.11.1986 00:00:00;  3,13
01.12.1986 00:00:00;  2,68
01.01.1987 00:00:00;  2,39
11.02.1987 14:00:00;  2,32
02.03.1987 08:00:00;  3,26
30.04.1987 23:59:55;  9,54
28.05.1987 08:00:00;  11,2
07.06.1987 08:00:00;  20,3
09.07.1987 08:00:00;  11,9
25.08.1987 18:00:00;  18,0
06.09.1987 08:00:00;  6,68
18.10.1987 08:00:00;  4,45
02.11.1987 10:00:00;  3,53
19.12.1987 08:00:00;  6,66
01.01.1988 00:00:00;  3,19
16.02.1988 10:00:00;  2,87
21.03.1988 08:00:00;  3,03
21.04.1988 08:00:00;  8,77
10.05.1988 08:00:00;  15,3
06.06.1988 08:00:00;  11,2
14.07.1988 08:00:00;  16,6
30.08.1988 08:00:00;  9,65
14.09.1988 08:00:00;  8,65
13.10.1988 08:00:00;  4,37
03.11.1988 10:00:00;  3,48
20.12.1988 08:00:00;  3,65
01.01.1989 00:00:00;  3,15
17.02.1989 08:00:00;  2,98
30.03.1989 08:00:00;  5,01
06.04.1989 08:00:00;  7,28
12.05.1989 08:00:00;  7,54
18.06.1989 20:00:00;  23,6
05.07.1989 08:00:00;  11,5
27.08.1989 08:00:00;  7,59
03.09.1989 08:00:00;  13,8
01.10.1989 00:00:00;  6,07
05.11.1989 10:00:00;  4,60
01.12.1989 00:00:00;  3,15
01.01.1990 00:00:00;  3,15
14.02.1990 08:00:00;  4,07
25.03.1990 08:00:00;  6,06
06.04.1990 10:00:00;  4,18
15.05.1990 08:00:00;  10,1
09.06.1990 08:00:00;  9,50
10.07.1990 20:00:00;  58,0
01.08.1990 00:00:00;  3,87
24.09.1990 08:00:00;  7,19
05.10.1990 10:00:00;  4,07
26.11.1990 08:00:00;  9,65
10.12.1990 08:00:00;  5,28
01.01.1991 00:00:00;  2,86
01.02.1991 00:00:00;  2,71
16.03.1991 08:00:00;  2,87
30.04.1991 23:59:55;  3,45
23.05.1991 08:00:00;  12,6
28.06.1991 08:00:00;  10,0
25.07.1991 08:00:00;  16,1
03.08.1991 08:00:00;  18,0
01.09.1991 00:00:00;  3,25
01.10.1991 00:00:00;  2,62
01.11.1991 00:00:00;  2,62
23.12.1991 08:00:00;  9,65
01.01.1992 00:00:00;  3,03
29.02.1992 23:59:55;  2,48
22.03.1992 08:00:00;  3,26
28.04.1992 08:00:00;  11,9
18.05.1992 08:00:00;  13,5
01.06.1992 00:00:00;  10,3
06.07.1992 10:00:00;  4,65
01.08.1992 00:00:00;  3,88
04.09.1992 08:00:00;  5,06
08.10.1992 08:00:00;  3,70
23.11.1992 08:00:00;  12,6
01.12.1992 00:00:00;  4,19
12.01.1993 10:00:00;  2,77
01.02.1993 00:00:00;  2,60
20.03.1993 08:00:00;  5,01
27.04.1993 08:00:00;  8,49
03.05.1993 10:00:00;  10,6
26.06.1993 08:00:00;  10,3
20.07.1993 08:00:00;  10,6
03.08.1993 08:00:00;  10,3
14.09.1993 08:00:00;  9,42
08.10.1993 08:00:00;  10,9
01.11.1993 00:00:00;  4,18
01.12.1993 00:00:00;  2,87
01.01.1994 00:00:00;  2,87
01.02.1994 00:00:00;  2,71
25.03.1994 08:00:00;  6,90
18.04.1994 08:00:00;  7,87
05.05.1994 08:00:00;  13,0
09.06.1994 08:00:00;  9,81
08.07.1994 08:00:00;  4,19
25.08.1994 08:00:00;  5,91
01.09.1994 00:00:00;  5,45
03.10.1994 08:00:00;  3,47
24.11.1994 10:00:00;  5,68
11.12.1994 08:00:00;  4,39
01.01.1995 00:00:00;  2,98
01.02.1995 00:00:00;  2,45
26.03.1995 08:00:00;  2,62
25.04.1995 08:00:00;  11,6
13.05.1995 08:00:00;  11,3
26.06.1995 08:00:00;  48,4
04.07.1995 08:00:00;  12,2
28.08.1995 08:00:00;  9,42
01.09.1995 00:00:00;  7,46
01.10.1995 00:00:00;  3,44
14.11.1995 08:00:00;  3,26
01.12.1995 00:00:00;  2,61
01.01.1996 00:00:00;  2,61
01.02.1996 00:00:00;  2,45
27.03.1996 08:00:00;  2,62
28.04.1996 08:00:00;  7,54
28.05.1996 08:00:00;  13,5
23.06.1996 08:00:00;  6,29
02.07.1996 08:00:00;  9,81
03.08.1996 08:00:00;  7,10
23.09.1996 08:00:00;  10,3
21.10.1996 08:00:00;  13,5
01.11.1996 00:00:00;  7,54
01.12.1996 00:00:00;  3,64
01.01.1997 00:00:00;  2,53
01.02.1997 00:00:00;  2,39
17.03.1997 08:10:00;  4,57
30.04.1997 23:59:55;  4,38
17.05.1997 08:10:00;  12,2
18.06.1997 08:00:00;  10,6
06.07.1997 08:00:00;  19,4
01.08.1997 00:00:00;  5,56
04.09.1997 22:05:55;  17,1
03.10.1997 07:50:00;  10,3
09.11.1997 08:00:00;  3,48
12.12.1997 08:00:00;  4,37
01.01.1998 00:00:00;  2,86
01.02.1998 00:00:00;  2,39
31.03.1998 23:59:55;  5,10
28.04.1998 08:00:00;  8,90
12.05.1998 08:00:00;  8,90
11.06.1998 08:00:00;  10,1
14.07.1998 08:00:00;  12,3
21.08.1998 08:00:00;  9,65
05.09.1998 18:00:00;  43,9
09.10.1998 08:00:00;  5,85
10.11.1998 08:00:00;  6,31
17.12.1998 08:00:00;  3,88
01.01.1999 00:00:00;  2,87
20.02.1999 08:00:00;  2,57
30.03.1999 08:00:00;  3,35
30.04.1999 23:59:55;  10,6
21.05.1999 08:00:00;  14,1
09.06.1999 08:00:00;  7,29
23.07.1999 08:00:00;  13,3
26.08.1999 21:00:00;  89,3
03.09.1999 08:00:00;  7,56
04.10.1999 08:00:00;  4,69
01.11.1999 00:00:00;  3,63
01.12.1999 00:00:00;  2,76
29.01.2000 08:00:00;  3,63
01.02.2000 00:00:00;  3,52
10.03.2000 08:00:00;  7,58
29.04.2000 08:00:00;  17,4
01.05.2000 00:00:00;  15,4
04.06.2000 19:00:05;  17,7
06.07.2000 08:00:05;  10,1
04.08.2000 08:00:00;  8,22
21.09.2000 08:00:05;  9,65
03.10.2000 08:00:00;  10,1
07.11.2000 08:00:00;  7,29
01.12.2000 00:00:00;  3,73
04.01.2001 08:00:00;  3,04
09.02.2001 08:00:00;  3,19
26.03.2001 08:00:00;  6,64
30.04.2001 23:59:55;  8,97
03.05.2001 08:00:00;  14,2
11.06.2001 08:00:00;  9,03
20.07.2001 08:00:00;  8,90
11.08.2001 08:00:00;  6,04
05.09.2001 08:00:00;  11,7
01.10.2001 00:00:00;  4,85
08.11.2001 08:00:00;  3,35
01.12.2001 00:00:00;  3,02
28.01.2002 02:45:00;  3,80
13.02.2002 19:15:05;  3,53
22.03.2002 00:30:00;  18,5
27.04.2002 08:00:20;  10,6
04.05.2002 16:30:00;  22,6
07.06.2002 11:45:00;  15,9
17.07.2002 15:15:00;  20,8
12.08.2002 09:45:00;  63,6
01.09.2002 08:15:00;  9,23
05.10.2002 02:45:00;  6,65
18.11.2002 16:30:00;  11,7
01.12.2002 13:15:00;  8,40
01.01.2003 04:45:00;  3,75
03.02.2003 13:30:00;  3,17
30.03.2003 21:45:00;  4,11
27.04.2003 04:30:00;  13,1
20.05.2003 15:15:00;  11,5
09.06.2003 00:16:40;  8,94
28.07.2003 16:00:00;  9,53
31.08.2003 10:30:00;  11,6
13.09.2003 03:45:00;  10,8
10.10.2003 15:15:00;  14,1
02.11.2003 00:00:00;  5,72
04.12.2003 09:15:00;  4,83
14.01.2004 14:00:00;  3,17
03.02.2004 01:15:00;  3,48
21.03.2004 17:15:00;  4,63
30.04.2004 18:45:00;  10,1
01.05.2004 17:15:00;  11,3
12.06.2004 04:15:00;  16,6
09.07.2004 06:15:00;  8,59
31.08.2004 18:45:00;  10,0
24.09.2004 04:45:00;  9,82
11.10.2004 07:00:00;  7,36
01.11.2004 00:15:00;  4,69
01.12.2004 00:00:00;  3,35
21.01.2005 07:45:00;  3,18
02.02.2005 21:30:00;  2,85
20.03.2005 01:45:00;  5,60
30.04.2005 20:45:00;  8,57
04.05.2005 01:30:05;  15,7
04.06.2005 16:00:00;  10,5
11.07.2005 15:15:00;  23,8
16.08.2005 08:00:00;  15,9
17.09.2005 18:15:00;  8,35
05.10.2005 06:00:05;  13,2
02.11.2005 08:15:00;  4,31
08.12.2005 21:45:00;  3,63
24.01.2006 15:00:00;  3,64
01.02.2006 01:00:00;  3,14
27.03.2006 19:00:00;  7,10
28.04.2006 05:45:00;  19,8
19.05.2006 01:45:00;  23,3
20.06.2006 00:30:00;  16,0
09.07.2006 19:15:00;  10,9
03.08.2006 18:30:00;  17,5
19.09.2006 05:30:00;  10,3
30.10.2006 00:30:00;  7,19
14.11.2006 17:45:00;  6,93
09.12.2006 18:15:00;  4,19
19.01.2007 20:15:00;  11,6
28.02.2007 16:00:00;  3,44
03.03.2007 14:30:00;  3,62
13.04.2007 18:00:00;  8,84
09.05.2007 01:45:00;  14,6
13.06.2007 21:30:00;  12,6
10.07.2007 01:00:00;  20,4
29.08.2007 23:00:00;  9,13
11.09.2007 03:45:00;  24,8
28.10.2007 03:15:00;  8,71
04.11.2007 17:30:00;  5,59
08.12.2007 01:00:00;  4,10
27.01.2008 20:15:00;  3,21
29.02.2008 23:59:55;  2,93
15.03.2008 22:30:00;  4,13
21.04.2008 18:30:00;  9,72
20.05.2008 07:00:00;  13,2
13.06.2008 13:15:00;  11,3
20.07.2008 21:30:00;  26,3
16.08.2008 07:15:00;  19,5
13.09.2008 03:30:00;  4,94
30.10.2008 02:30:00;  11,9
01.11.2008 00:00:00;  3,91
01.12.2008 10:45:00;  4,92
01.01.2009 00:00:00;  3,00
19.02.2009 13:00:00;  3,01
31.03.2009 23:59:55;  3,78
10.04.2009 19:00:00;  12,3
12.05.2009 20:15:00;  21,3
24.06.2009 06:30:00;  26,0
18.07.2009 10:00:00;  32,5
28.08.2009 20:45:00;  22,8
05.09.2009 01:45:00;  27,9
22.10.2009 16:30:00;  8,00
30.11.2009 23:59:55;  7,53
01.12.2009 00:15:00;  8,28
01.01.2010 00:00:00;  3,18
01.02.2010 00:00:00;  2,76
26.03.2010 23:30:00;  5,49
25.04.2010 19:30:00;  9,51
06.05.2010 03:30:00;  24,2
02.06.2010 21:15:00;  28,4
05.07.2010 12:15:00;  15,3
28.08.2010 14:45:00;  13,6
25.09.2010 12:45:00;  12,3
31.10.2010 23:59:55;  5,79
01.11.2010 10:00:00;  6,61
24.12.2010 10:45:00;  4,59
13.01.2011 23:15:00;  10,1
12.02.2011 10:30:00;  2,70
17.03.2011 22:00:00;  4,13
07.04.2011 19:30:00;  8,77
29.05.2011 17:00:00;  11,5
23.06.2011 22:00:00;  14,6
24.07.2011 13:00:00;  11,9
09.08.2011 00:15:00;  15,7
21.09.2011 16:00:00;  9,65
10.10.2011 16:30:00;  14,9
01.11.2011 00:00:00;  3,70
19.12.2011 08:45:00;  3,19
20.01.2012 11:00:00;  3,53
29.02.2012 18:30:00;  3,53
30.03.2012 08:00:00;  8,22
29.04.2012 21:45:00;  13,9
01.05.2012 23:00:00;  15,3
21.06.2012 21:45:00;  30,6
21.07.2012 04:15:00;  32,3
31.08.2012 15:00:00;  15,5
12.09.2012 19:45:00;  14,0
18.10.2012 18:30:00;  7,87
05.11.2012 05:00:00;  11,0
23.12.2012 11:15:00;  4,80
05.01.2013 03:45:00;  6,37
01.02.2013 05:15:00;  4,00
10.03.2013 02:00:00;  4,59
28.04.2013 16:15:00;  17,5
02.05.2013 21:00:00;  17,9
02.06.2013 04:15:00;  38,2
25.07.2013 00:00:00;  9,41
23.08.2013 22:30:00;  11,5
19.09.2013 06:45:00;  16,8
12.10.2013 16:30:00;  7,41
03.11.2013 15:15:00;  9,65
