Messstelle:                ;Trausdorf an der Wulka
20.05.1986 10:45:00;  2,01
29.06.1986 19:00:00;  4,65
19.07.1986 16:00:00;  2,84
05.08.1986 12:15:00;  4,99
10.09.1986 18:45:00;  3,04
27.10.1986 04:15:00; 0,998
24.11.1986 05:30:00;  5,83
19.12.1986 15:30:00; 0,989
08.01.1987 11:00:00;  1,05
21.02.1987 02:15:00;  5,41
21.03.1987 23:45:00;  2,17
10.04.1987 14:00:00;  2,12
04.05.1987 02:45:00;  8,21
05.06.1987 03:15:00;  7,16
25.07.1987 00:00:00;  10,9
04.08.1987 20:45:00;  6,34
06.09.1987 19:45:00;  1,40
24.10.1987 05:15:00;  2,52
27.11.1987 10:30:00;  1,49
18.12.1987 18:30:00;  2,10
30.01.1988 12:30:00;  2,80
29.02.1988 19:00:00;  1,37
22.03.1988 00:10:00;  2,36
10.04.1988 04:00:00;  1,19
18.05.1988 20:15:00;  4,41
07.06.1988 01:00:00;  5,46
14.07.1988 16:30:00;  1,84
22.08.1988 11:15:00;  4,41
02.09.1988 23:30:00;  6,83
20.10.1988 22:30:00;  1,03
14.11.1988 23:45:00;  1,11
02.12.1988 20:15:00;  2,81
08.01.1989 23:45:00; 0,902
03.02.1989 12:30:00;  1,28
14.03.1989 02:45:00; 0,973
02.04.1989 01:15:00;  2,06
06.05.1989 20:45:00;  2,53
02.06.1989 13:15:00;  2,34
12.07.1989 00:00:00;  10,6
19.08.1989 18:00:00;  2,22
03.09.1989 16:30:00;  2,59
15.10.1989 05:30:00;  1,19
07.11.1989 00:45:00;  3,34
11.12.1989 21:15:00; 0,582
01.01.1990 04:15:00; 0,480
15.02.1990 16:30:00;  1,03
28.03.1990 05:30:00;  2,50
19.04.1990 12:15:00;  3,34
10.05.1990 03:45:00;  5,82
21.06.1990 16:45:00;  4,24
10.07.1990 04:45:00;  5,50
06.08.1990 21:15:00;  1,99
08.09.1990 00:15:00;  2,50
29.10.1990 19:45:00;  2,76
27.11.1990 16:15:00;  1,92
10.12.1990 15:00:00;  1,87
08.01.1991 10:45:00; 0,810
24.02.1991 23:00:00; 0,561
30.03.1991 15:45:00;  1,19
19.04.1991 05:15:00; 0,553
18.05.1991 21:15:00;  21,9
28.06.1991 03:15:00;  6,13
28.07.1991 11:15:00;  5,06
01.08.1991 18:00:00;  3,60
16.09.1991 03:45:00;  4,22
08.10.1991 23:00:00;  1,71
16.11.1991 23:00:00;  4,06
23.12.1991 08:00:00;  4,39
10.01.1992 23:00:00;  1,23
03.02.1992 12:00:00;  1,30
27.03.1992 04:15:00;  4,57
16.04.1992 05:15:00;  1,64
11.05.1992 20:45:00;  1,77
12.06.1992 18:30:00;  11,6
12.07.1992 01:00:00;  8,22
02.08.1992 00:00:00;  1,81
01.09.1992 12:30:00;  3,62
05.10.1992 22:15:00;  4,82
23.11.1992 15:45:00;  4,60
06.12.1992 02:15:00;  7,29
25.01.1993 09:45:00;  1,44
08.02.1993 01:45:00;  1,29
12.03.1993 15:15:00;  1,75
11.04.1993 19:45:00;  1,38
28.05.1993 18:00:00;  2,01
20.06.1993 17:30:00;  8,44
25.07.1993 22:15:00;  6,02
25.08.1993 08:15:00;  2,44
26.09.1993 11:45:00;  1,82
23.10.1993 00:45:00;  3,25
06.11.1993 09:00:00;  3,25
10.12.1993 12:30:00;  2,44
01.01.1994 17:45:00;  3,66
08.02.1994 22:30:00;  1,08
09.03.1994 04:15:00;  1,74
18.04.1994 14:45:00;  6,11
29.05.1994 03:45:00;  3,70
19.06.1994 19:45:00;  4,08
12.07.1994 23:15:00;  2,44
08.08.1994 20:30:00; 0,944
03.09.1994 13:15:00; 0,816
24.10.1994 19:15:00;  4,17
11.11.1994 23:00:00;  4,86
11.12.1994 14:00:00;  3,33
24.01.1995 05:30:00;  1,37
26.02.1995 22:30:00;  2,84
05.03.1995 01:45:00;  4,13
30.04.1995 23:45:00;  2,56
13.05.1995 03:15:00;  4,26
06.06.1995 14:15:00;  5,84
28.07.1995 11:00:00;  1,01
20.08.1995 07:00:00;  3,58
15.09.1995 09:15:00;  7,33
28.10.1995 15:45:00; 0,880
29.11.1995 06:30:00;  2,05
19.12.1995 18:30:00;  1,82
11.01.1996 00:45:00;  2,60
20.02.1996 17:30:00;  1,97
18.03.1996 21:15:00;  3,83
05.04.1996 22:00:00;  9,94
13.05.1996 04:15:00;  11,8
22.06.1996 19:15:00;  9,54
06.07.1996 21:00:00;  5,04
13.08.1996 04:45:00;  3,92
23.09.1996 21:30:00;  15,9
22.10.1996 08:30:00;  5,75
14.11.1996 16:30:00;  1,60
20.12.1996 21:00:00;  1,16
22.01.1997 17:47:25;  1,11
13.02.1997 22:00:35;  1,15
20.03.1997 14:26:15;  3,81
15.04.1997 13:14:50;  1,78
20.05.1997 20:40:40;  9,62
17.06.1997 04:37:20;  5,64
08.07.1997 09:52:05;  7,99
18.08.1997 21:00:50;  5,17
13.09.1997 22:38:10;  2,41
02.10.1997 03:37:10; 0,945
14.11.1997 10:00:50;  1,82
03.12.1997 18:59:35;  1,78
18.01.1998 17:38:50;  1,27
10.02.1998 14:47:15; 0,950
18.03.1998 01:31:40;  5,43
16.04.1998 17:49:40;  1,80
18.05.1998 04:30:30;  4,00
13.06.1998 16:01:10;  2,30
02.07.1998 00:53:25;  4,79
23.08.1998 09:12:15;  2,71
26.09.1998 13:30:45;  8,03
12.10.1998 19:33:50;  2,34
10.11.1998 22:57:35;  3,59
15.12.1998 06:24:45;  2,48
11.01.1999 14:21:30; 0,905
13.02.1999 21:03:55;  1,34
07.03.1999 15:12:05;  2,18
08.04.1999 00:21:25;  3,61
21.05.1999 08:53:15;  14,0
16.06.1999 12:59:15;  2,96
10.07.1999 11:59:45;  8,63
10.08.1999 19:16:20;  3,66
02.09.1999 16:14:55;  3,48
24.10.1999 09:48:05;  2,34
10.11.1999 04:39:20;  3,42
11.12.1999 06:22:20;  1,65
18.01.2000 13:31:30;  3,60
01.02.2000 00:00:00;  1,85
30.03.2000 23:44:40;  5,28
02.04.2000 04:49:15;  2,91
02.05.2000 00:44:20;  3,14
13.06.2000 20:50:05;  4,86
08.07.2000 01:28:15;  4,34
06.08.2000 10:08:20;  5,14
17.09.2000 02:21:30;  4,02
03.10.2000 09:40:40;  3,13
04.11.2000 22:44:20;  2,57
28.12.2000 07:29:15;  2,46
08.01.2001 22:07:40;  1,15
20.02.2001 21:38:05;  1,00
25.03.2001 20:20:05;  3,02
08.04.2001 11:19:55;  1,75
06.05.2001 12:32:40;  1,47
11.06.2001 06:45:20;  1,50
20.07.2001 04:41:05;  4,16
09.08.2001 00:49:25;  3,28
04.09.2001 22:21:50;  1,10
29.10.2001 08:54:30; 0,625
11.11.2001 13:02:05; 0,924
06.12.2001 12:18:15;  2,13
28.01.2002 18:34:40; 0,437
23.02.2002 23:41:25; 0,695
20.03.2002 19:46:00;  5,30
14.04.2002 17:38:20; 0,873
26.05.2002 07:00:05;  1,99
09.06.2002 15:25:40;  1,65
04.07.2002 09:47:25;  1,59
22.08.2002 12:50:30;  1,81
05.09.2002 16:38:55;  3,10
12.10.2002 15:23:00;  3,77
22.11.2002 22:09:15;  1,33
06.12.2002 23:50:25;  2,15
27.01.2003 23:23:05;  2,48
01.02.2003 00:00:00; 0,797
30.03.2003 21:26:20; 0,833
02.04.2003 21:17:50; 0,882
13.05.2003 03:31:10;  4,89
15.06.2003 03:36:25;  6,06
18.07.2003 02:38:35;  2,74
31.08.2003 16:52:50;  1,64
13.09.2003 18:37:10;  1,28
05.10.2003 06:35:40;  2,62
02.11.2003 12:32:40;  2,20
31.12.2003 17:30:45; 0,975
14.01.2004 08:57:40; 0,952
03.02.2004 04:17:10;  1,22
23.03.2004 17:59:20;  2,87
04.04.2004 17:07:10;  1,80
16.05.2004 08:01:35;  3,28
04.06.2004 16:28:15;  4,18
18.07.2004 18:45:55;  5,38
06.08.2004 17:09:40; 0,734
15.09.2004 15:01:00; 0,774
16.10.2004 21:00:00;  1,28
09.11.2004 17:06:35;  1,25
27.12.2004 15:30:55;  1,04
21.01.2005 14:04:15;  1,69
01.02.2005 17:20:05; 0,535
19.03.2005 15:48:00;  2,02
09.04.2005 18:28:00;  1,59
19.05.2005 04:18:00;  1,71
04.06.2005 22:48:00; 0,752
11.07.2005 19:19:50;  1,08
15.08.2005 06:53:45;  3,50
17.09.2005 10:27:45;  2,31
07.10.2005 20:36:20; 0,541
27.11.2005 10:29:35;  1,75
06.12.2005 17:35:15;  2,81
03.01.2006 15:18:50;  1,76
20.02.2006 19:24:30;  5,00
29.03.2006 09:21:50;  1,81
29.04.2006 23:59:25;  5,19
01.05.2006 09:00:35;  3,64
29.06.2006 11:29:05;  9,97
08.07.2006 07:01:40;  2,45
03.08.2006 23:06:50;  6,77
18.09.2006 19:59:45;  1,33
25.10.2006 00:39:25;  1,57
22.11.2006 15:14:45;  2,15
07.12.2006 11:51:55; 0,838
19.01.2007 16:48:50;  4,46
09.02.2007 07:00:00;  1,59
24.03.2007 20:58:15;  7,19
07.04.2007 20:00:30;  1,15
06.05.2007 03:06:35;  6,48
14.06.2007 02:27:55;  9,94
10.07.2007 02:30:55;  3,80
11.08.2007 13:26:00;  3,06
07.09.2007 16:11:05;  10,1
28.10.2007 18:07:50;  5,80
11.11.2007 16:59:25;  2,00
10.12.2007 04:07:40;  5,73
27.01.2008 18:50:05;  1,90
22.02.2008 12:50:50;  1,14
16.03.2008 21:57:50;  1,95
22.04.2008 00:32:00;  5,58
20.05.2008 12:12:10;  3,16
27.06.2008 03:29:05;  9,52
24.07.2008 02:26:40;  9,87
02.08.2008 20:46:45;  17,9
26.09.2008 01:58:10;  6,54
03.10.2008 23:46:30;  2,14
08.11.2008 11:08:05;  2,09
18.12.2008 17:22:25;  3,08
24.01.2009 00:26:35;  2,02
08.02.2009 20:04:00;  3,94
30.03.2009 13:13:35;  7,55
18.04.2009 18:38:00;  3,45
30.05.2009 14:54:20;  3,90
25.06.2009 09:22:15;  30,1
18.07.2009 18:52:45;  5,73
04.08.2009 11:54:35;  8,21
04.09.2009 23:51:30;  3,77
12.10.2009 10:15:45;  2,19
04.11.2009 19:19:20;  3,11
25.12.2009 20:00:20;  3,04
24.01.2010 09:25:20;  2,04
20.02.2010 04:20:05;  3,11
31.03.2010 17:35:05;  2,26
15.04.2010 05:39:55;  5,83
27.05.2010 19:00:55;  8,58
16.06.2010 14:36:05;  13,6
16.07.2010 01:48:20;  9,60
15.08.2010 09:15:20;  22,6
26.09.2010 08:11:55;  16,1
25.10.2010 19:51:30;  4,91
19.11.2010 12:57:05;  2,82
12.12.2010 19:00:25;  3,16
14.01.2011 14:56:15;  1,82
12.02.2011 08:51:55;  1,52
18.03.2011 00:07:25;  1,71
29.04.2011 21:58:30;  2,33
27.05.2011 23:54:35;  4,67
23.06.2011 22:40:35;  7,31
28.07.2011 19:15:00;  4,18
07.08.2011 20:00:00;  10,6
14.09.2011 17:45:00;  5,85
07.10.2011 12:15:00;  5,77
28.11.2011 20:30:00; 0,717
08.12.2011 02:15:00; 0,755
22.01.2012 09:15:00;  1,02
26.02.2012 21:00:00; 0,752
29.03.2012 16:45:00;  1,10
06.04.2012 02:45:00;  1,68
04.05.2012 11:30:00;  4,05
21.06.2012 01:30:00;  4,86
29.07.2012 19:30:00;  11,7
05.08.2012 04:45:00;  9,09
13.09.2012 03:00:00;  4,98
16.10.2012 10:30:00;  3,87
05.11.2012 14:30:00;  14,4
23.12.2012 23:30:00;  3,55
31.01.2013 08:00:00;  7,43
27.02.2013 19:45:00;  12,4
01.03.2013 00:00:00;  7,69
01.04.2013 00:00:00;  5,72
14.05.2013 04:30:00;  4,49
24.06.2013 18:30:00;  8,17
11.07.2013 07:30:00; 0,878
28.08.2013 05:00:00;  5,29
17.09.2013 02:30:00;  10,9
30.10.2013 06:15:00;  1,44
24.11.2013 16:30:00;  9,21
27.12.2013 06:15:00;  1,50
05.01.2014 23:45:00; 0,967
12.02.2014 16:00:00;  3,95
23.03.2014 23:00:00;  3,59
09.04.2014 01:15:00;  6,79
16.05.2014 10:15:00;  19,3
30.06.2014 11:15:00;  5,55
22.07.2014 23:15:00;  9,81
23.08.2014 22:30:00;  3,73
13.09.2014 10:45:00;  15,6
22.10.2014 04:15:00;  3,74
18.11.2014 10:15:00;  3,11
08.12.2014 03:30:00;  5,07
30.01.2015 14:30:10;  2,69
24.02.2015 18:00:00;  2,55
11.03.2015 17:00:00;  1,36
18.04.2015 00:00:00;  1,89
23.05.2015 13:15:00;  11,3
13.06.2015 22:30:00;  3,23
09.07.2015 00:00:00;  4,75
17.08.2015 05:40:00;  2,61
25.09.2015 21:40:00;  4,83
14.10.2015 12:32:00;  2,79
20.11.2015 12:03:40; 0,708
01.12.2015 12:47:00; 0,582
11.01.2016 22:17:00;  1,97
03.02.2016 19:17:00;  3,19
16.03.2016 19:32:00;  1,30
08.04.2016 19:32:00;  3,13
31.05.2016 16:02:00;  9,82
05.06.2016 21:32:00;  2,56
14.07.2016 07:17:00;  5,93
21.08.2016 13:17:00;  5,93
04.09.2016 21:02:00;  6,70
20.10.2016 07:01:00;  2,88
06.11.2016 23:16:00;  7,88
28.12.2016 12:46:00;  2,19
13.01.2017 12:01:00; 0,811
06.02.2017 19:31:00;  5,31
19.03.2017 10:46:00;  1,36
28.04.2017 15:30:00;  1,87
02.05.2017 07:00:00;  2,51
25.06.2017 18:30:00;  3,32
10.07.2017 02:45:00;  3,30
11.08.2017 01:30:00;  3,53
20.09.2017 03:45:00;  5,00
27.10.2017 16:45:00;  1,17
21.11.2017 14:00:00; 0,992
28.12.2017 12:00:00;  2,05
10.01.2018 18:00:00;  1,42
02.02.2018 00:30:00;  1,36
30.03.2018 02:15:00;  1,83
01.04.2018 06:15:00;  2,12
25.05.2018 12:30:00;  4,22
13.06.2018 21:15:00;  7,38
23.07.2018 11:45:00;  3,17
02.08.2018 22:15:00;  2,33
01.09.2018 11:45:00;  5,41
24.10.2018 17:30:00;  2,34
26.11.2018 15:00:00;  3,60
24.12.2018 11:45:00;  3,10
08.01.2019 18:30:00; 0,936
22.02.2019 11:48:00; 0,991
02.03.2019 17:18:00;  1,23
30.04.2019 20:30:00;  2,44
12.05.2019 03:15:00;  18,2
24.06.2019 02:30:00;  9,41
29.07.2019 00:30:00;  2,39
25.08.2019 06:45:00;  2,90
09.09.2019 05:15:00;  5,83
02.10.2019 19:30:00;  1,13
05.11.2019 16:00:00;  2,69
21.12.2019 20:15:00;  2,07
28.01.2020 21:45:00; 0,864
26.02.2020 08:15:00; 0,907
06.03.2020 13:15:00;  2,19
13.04.2020 23:45:00; 0,561
24.05.2020 01:30:00;  2,83
21.06.2020 06:00:00;  6,30
20.07.2020 20:00:00;  3,49
29.08.2020 23:45:00;  5,85
28.09.2020 09:15:00;  4,91
12.10.2020 05:30:00;  8,89
01.11.2020 22:15:00; 0,787
10.12.2020 06:30:00;  1,54
29.01.2021 05:45:00;  2,18
08.02.2021 07:15:00;  1,13
07.03.2021 07:15:00; 0,924
14.04.2021 00:00:00;  1,33
15.05.2021 19:30:00;  2,04
13.06.2021 04:45:00; 0,835
17.07.2021 09:30:00;  7,32
01.08.2021 19:30:00;  9,62
17.09.2021 06:15:00;  1,25
07.10.2021 12:47:20;  3,15
02.11.2021 09:00:00;  2,79
05.12.2021 04:15:00; 0,849
