Messstelle:                ;Wöllersdorf (Hydro)
09.09.1985 07:00:00;  3,69
15.10.1985 14:00:00;  3,79
06.11.1985 23:00:00;  2,89
21.12.1985 10:00:00;  6,49
20.01.1986 06:00:00;  13,0
27.02.1986 23:00:00;  3,76
30.03.1986 13:15:00;  7,22
02.04.1986 09:15:00;  6,83
29.05.1986 02:30:00;  3,91
16.06.1986 09:15:00;  8,56
02.07.1986 17:30:00;  3,51
17.08.1986 14:45:00;  5,94
10.09.1986 17:15:00;  2,72
08.10.1986 14:45:00;  3,39
23.11.1986 22:30:00;  3,42
30.12.1986 18:00:00;  7,51
01.01.1987 19:30:00;  6,58
21.02.1987 11:00:00;  9,84
01.03.1987 12:15:00;  10,9
10.04.1987 14:30:00;  8,85
07.05.1987 10:30:00;  7,00
04.06.1987 17:15:00;  7,67
24.07.1987 17:30:00;  4,28
03.08.1987 14:15:00;  4,11
01.09.1987 13:00:00;  3,12
22.10.1987 17:45:00;  4,46
21.11.1987 10:00:00;  3,42
19.12.1987 01:45:00;  8,85
02.01.1988 15:15:00;  3,27
20.02.1988 00:30:00;  2,44
27.03.1988 06:30:00;  15,9
02.04.1988 12:00:00;  11,6
21.05.1988 12:15:00;  4,54
10.06.1988 16:30:00;  7,22
02.07.1988 14:45:00;  2,70
22.08.1988 10:45:00;  3,27
16.09.1988 20:00:00;  8,61
10.10.1988 16:00:00;  3,12
15.11.1988 07:45:00;  4,11
25.12.1988 05:30:00;  10,6
09.01.1989 07:30:00;  8,13
21.02.1989 17:45:00;  5,18
20.03.1989 07:30:00;  4,46
15.04.1989 12:45:00;  4,63
07.05.1989 13:30:00;  8,36
18.06.1989 22:15:00;  11,4
12.07.1989 03:00:00;  11,7
30.08.1989 16:15:00;  6,36
28.09.1989 07:15:00;  7,22
03.10.1989 09:30:00;  5,18
07.11.1989 01:45:00;  7,00
14.12.1989 08:00:00;  3,12
10.01.1990 10:15:00;  2,70
15.02.1990 21:00:00;  8,13
11.03.1990 08:30:00;  10,9
23.04.1990 20:00:00;  5,37
17.05.1990 15:45:00;  5,18
12.06.1990 21:45:00;  6,36
10.07.1990 11:00:00;  3,76
07.08.1990 14:15:00;  2,09
25.09.1990 06:15:00;  3,12
28.10.1990 10:45:00;  2,83
04.11.1990 09:00:00;  2,70
11.12.1990 15:30:00;  3,12
04.01.1991 02:45:00;  5,18
24.02.1991 18:15:00;  3,59
25.03.1991 15:45:00;  4,46
29.04.1991 13:00:00;  2,70
18.05.1991 23:45:00;  19,7
11.06.1991 00:15:00;  6,36
29.07.1991 05:15:00;  26,7
03.08.1991 22:15:00;  45,8
02.09.1991 10:15:00;  4,28
09.10.1991 07:00:00;  3,76
29.11.1991 15:45:00;  3,42
23.12.1991 18:00:00;  18,6
07.01.1992 07:00:00;  7,08
07.02.1992 09:00:00;  7,72
22.03.1992 00:00:00;  8,62
03.04.1992 13:45:00;  6,07
02.05.1992 18:00:00;  4,58
13.06.1992 20:45:00;  8,17
02.07.1992 16:15:00;  3,91
06.08.1992 07:30:00;  2,88
14.09.1992 14:00:00;  5,31
06.10.1992 02:30:00;  3,44
23.11.1992 15:30:00;  18,8
01.12.1992 14:45:00;  5,03
09.01.1993 08:15:00;  6,59
27.02.1993 13:30:00;  5,58
19.03.1993 03:45:00;  24,3
07.04.1993 13:45:00;  9,51
03.05.1993 13:30:00;  4,68
12.06.1993 04:15:00;  3,74
25.07.1993 21:15:00;  15,1
25.08.1993 05:15:00;  3,89
01.09.1993 13:45:00;  4,36
24.10.1993 07:45:00;  16,7
30.11.1993 15:15:00;  4,86
20.12.1993 22:30:00;  12,9
06.01.1994 13:45:00;  5,39
08.02.1994 17:00:00;  3,19
26.03.1994 13:45:00;  4,52
16.04.1994 02:00:00;  16,7
13.05.1994 08:15:00;  4,20
29.06.1994 19:30:00;  8,71
16.07.1994 08:30:00;  3,32
24.08.1994 20:00:00;  5,21
16.09.1994 12:00:00;  5,21
24.10.1994 21:45:00;  2,56
26.11.1994 19:15:00;  2,80
29.12.1994 12:00:00;  5,58
27.01.1995 15:45:00;  6,80
09.02.1995 18:15:00;  6,80
28.03.1995 04:15:00;  7,48
03.04.1995 05:45:00;  14,0
01.05.1995 19:45:00;  6,37
27.06.1995 16:30:00;  12,2
28.07.1995 07:00:00;  6,17
20.08.1995 10:15:00;  3,89
17.09.1995 04:45:00;  10,1
11.10.1995 11:30:00;  4,20
18.11.1995 09:15:00;  8,97
25.12.1995 11:15:00;  6,17
01.01.1996 00:00:00;  4,51
20.02.1996 13:30:00;  3,19
27.03.1996 11:15:00;  8,71
30.04.1996 05:00:00;  15,1
13.05.1996 18:45:00;  21,7
22.06.1996 19:00:00;  12,2
01.07.1996 10:15:00;  7,71
03.08.1996 07:15:00;  4,86
08.09.1996 09:15:00;  19,3
22.10.1996 16:00:00;  46,0
01.11.1996 12:30:00;  7,25
04.12.1996 18:00:00;  6,59
09.01.1997 21:08:35;  3,16
12.02.1997 20:53:45;  4,06
17.03.1997 21:32:10;  35,3
12.04.1997 07:47:10;  11,2
22.05.1997 08:45:00;  5,27
23.06.1997 11:28:10;  5,31
08.07.1997 15:36:00;  94,1
01.08.1997 08:38:20;  7,13
06.09.1997 18:51:05;  8,82
31.10.1997 15:55:20;  4,28
15.11.1997 08:41:45;  6,93
23.12.1997 09:42:35;  5,67
17.01.1998 09:14:55;  6,00
21.02.1998 12:08:45;  6,88
18.03.1998 11:09:35;  20,8
01.04.1998 18:50:00;  6,84
18.05.1998 13:12:30;  4,52
27.06.1998 20:27:50;  5,53
10.07.1998 19:03:20;  5,37
02.08.1998 19:55:25;  3,59
05.09.1998 08:48:05;  5,32
10.10.1998 08:10:35;  5,65
14.11.1998 06:52:20;  7,35
15.12.1998 10:43:35;  16,2
09.01.1999 07:46:40;  6,13
22.02.1999 18:16:10;  7,18
06.03.1999 11:22:35;  12,5
03.04.1999 22:14:15;  5,59
21.05.1999 07:19:05;  15,1
22.06.1999 19:05:30;  5,43
10.07.1999 15:53:55;  15,1
10.08.1999 19:06:10;  12,0
02.09.1999 23:03:40;  11,2
20.10.1999 16:25:25;  5,46
02.11.1999 09:27:20;  4,20
03.12.1999 04:15:50;  3,49
31.01.2000 20:30:00;  16,9
01.02.2000 05:15:00;  16,6
30.03.2000 19:45:00;  12,2
01.04.2000 00:30:00;  10,2
29.05.2000 08:30:00;  4,47
26.06.2000 14:45:00;  3,79
26.07.2000 10:15:00;  3,22
13.08.2000 18:00:00;  7,44
17.09.2000 01:00:00;  3,94
07.10.2000 16:00:00;  2,81
12.11.2000 18:45:00;  3,47
11.12.2000 16:41:10;  3,24
08.01.2001 18:15:00;  2,61
19.02.2001 11:00:00;  2,99
26.03.2001 00:45:00;  5,39
21.04.2001 21:15:00;  4,96
06.05.2001 14:45:00;  4,31
11.06.2001 09:45:00;  2,65
21.07.2001 18:15:00;  2,60
21.08.2001 14:00:00;  2,36
18.09.2001 18:15:00;  7,10
06.10.2001 15:25:00;  2,58
30.11.2001 16:35:00;  3,74
07.12.2001 10:50:05;  7,04
29.01.2002 09:05:00;  6,50
14.02.2002 16:35:00;  4,50
22.03.2002 07:00:00;  46,6
02.04.2002 14:50:00;  7,12
13.05.2002 09:10:00;  7,04
07.06.2002 04:25:00;   111
31.07.2002 17:25:00;  9,02
13.08.2002 17:15:00;  57,8
05.09.2002 23:20:00;  5,21
12.10.2002 13:05:00;  7,76
05.11.2002 13:30:00;  7,77
23.12.2002 23:21:35;  12,4
28.01.2003 19:10:00;  7,03
01.02.2003 08:50:00;  5,36
13.03.2003 17:50:00;  5,44
28.04.2003 11:45:00;  4,85
09.05.2003 19:20:00;  5,46
01.06.2003 18:10:00;  4,30
17.07.2003 23:50:00;  4,71
18.08.2003 20:35:00;  3,73
13.09.2003 23:15:00;  2,55
24.10.2003 17:30:00;  3,47
02.11.2003 08:00:00;  4,49
31.12.2003 16:30:00;  2,93
15.01.2004 07:20:00;  6,25
03.02.2004 15:20:00;  31,3
20.03.2004 07:25:00;  11,3
03.04.2004 06:30:00;  5,94
28.05.2004 14:05:00;  4,46
04.06.2004 16:25:00;  20,6
01.07.2004 19:05:00;  8,96
26.08.2004 01:15:00;  2,78
24.09.2004 06:00:00;  3,30
14.10.2004 19:54:05;  2,90
23.11.2004 20:38:40;  7,03
20.12.2004 13:47:30;  2,44
21.01.2005 12:29:10;  7,01
14.02.2005 08:47:10;  7,75
19.03.2005 21:56:05;  45,9
02.04.2005 12:07:20;  7,42
19.05.2005 17:08:55;  7,14
13.06.2005 22:20:40;  4,96
08.07.2005 23:29:10;  7,18
22.08.2005 07:28:15;  28,7
02.09.2005 08:48:40;  4,29
31.10.2005 23:22:15;  3,19
01.11.2005 07:52:40;  3,50
17.12.2005 08:35:00;  4,36
31.01.2006 12:40:00;  3,28
22.02.2006 03:45:00;  4,36
29.03.2006 15:05:00;  20,0
01.04.2006 03:25:00;  14,3
02.05.2006 05:45:00;  6,55
03.06.2006 20:55:00;  33,1
07.07.2006 18:30:00;  4,88
08.08.2006 08:20:00;  29,5
01.09.2006 16:55:00;  3,30
30.10.2006 08:15:00;  5,12
06.11.2006 06:55:00;  5,55
06.12.2006 09:10:00;  3,01
19.01.2007 22:55:00;  9,07
16.02.2007 08:15:00;  3,62
26.03.2007 12:00:00;  6,54
01.04.2007 04:15:00;  4,92
05.05.2007 21:40:00;  5,97
14.06.2007 14:10:00;  5,58
09.07.2007 19:25:00;  3,28
10.08.2007 01:55:00;  6,01
07.09.2007 18:55:00;  59,3
29.10.2007 03:35:00;  13,3
12.11.2007 06:00:45;  11,9
10.12.2007 08:44:05;  8,23
27.01.2008 21:35:00;  9,79
02.02.2008 16:15:00;  6,05
15.03.2008 09:50:00;  5,38
21.04.2008 22:35:00;  5,37
18.05.2008 21:50:00;  5,09
26.06.2008 22:57:45;  15,4
24.07.2008 10:51:20;  25,5
08.08.2008 21:29:35;  20,9
17.09.2008 04:58:45;  4,74
06.10.2008 07:14:40;  3,61
21.11.2008 23:06:55;  5,04
23.12.2008 07:24:55;  7,12
02.01.2009 11:02:05;  3,88
28.02.2009 15:27:05;  6,37
05.03.2009 18:37:55;  14,7
03.04.2009 05:31:45;  16,7
30.05.2009 18:22:40;  7,40
25.06.2009 06:35:00;  31,0
06.07.2009 19:45:00;  19,9
11.08.2009 00:35:00;  10,1
05.09.2009 07:40:00;  5,74
30.10.2009 10:35:00;  4,45
04.11.2009 09:10:00;  4,87
02.12.2009 08:55:00;  4,15
07.01.2010 16:35:00;  3,20
27.02.2010 07:10:00;  5,63
23.03.2010 06:35:00;  8,55
15.04.2010 05:50:00;  5,87
17.05.2010 05:50:00;  7,97
18.06.2010 16:20:00;  10,1
18.07.2010 01:25:00;  12,1
31.08.2010 23:15:00;  11,1
01.09.2010 00:50:00;  12,3
21.10.2010 06:00:00;  4,35
06.11.2010 15:35:00;  3,77
25.12.2010 04:15:00;  7,83
14.01.2011 10:55:00;  11,9
12.02.2011 08:10:00;  4,66
19.03.2011 06:20:00;  4,82
25.04.2011 20:50:00;  3,92
28.05.2011 06:10:00;  5,15
19.06.2011 07:15:00;  6,46
25.07.2011 11:50:00;  3,00
07.08.2011 16:55:00;  3,83
20.09.2011 05:55:00;  4,08
13.10.2011 11:10:00;  11,4
08.11.2011 13:20:00;  3,55
05.12.2011 09:00:00;  2,94
22.01.2012 10:20:00;  13,6
29.02.2012 21:30:00;  12,7
01.03.2012 10:10:00;  12,7
13.04.2012 05:40:00;  5,12
23.05.2012 05:55:00;  3,32
11.06.2012 10:00:00;  4,70
21.07.2012 14:10:00;  13,2
06.08.2012 11:15:05;  3,67
13.09.2012 06:00:00;  6,66
28.10.2012 07:25:00;  3,36
05.11.2012 13:00:00;  5,76
24.12.2012 10:55:00;  8,77
07.01.2013 15:15:00;  26,1
01.02.2013 00:15:00;  9,35
10.03.2013 02:40:00;  10,7
19.04.2013 11:50:00;  8,90
11.05.2013 08:05:00;  8,98
24.06.2013 13:50:00;  11,6
01.07.2013 05:35:00;  6,40
10.08.2013 08:45:00;  5,64
17.09.2013 05:50:00;  7,20
13.10.2013 10:05:00;  4,31
24.11.2013 21:40:00;  21,5
11.12.2013 07:10:00;  6,88
14.01.2014 07:31:05;  3,56
10.02.2014 09:25:00;  3,56
19.03.2014 11:45:00;  4,29
27.04.2014 13:10:00;  3,31
16.05.2014 16:40:00;  67,4
30.06.2014 08:35:00;  6,50
23.07.2014 05:30:00;  7,33
03.08.2014 22:05:00;  13,7
15.09.2014 03:45:00;  10,4
24.10.2014 05:45:00;  10,2
08.11.2014 08:05:00;  5,76
09.12.2014 09:10:00;  5,04
10.01.2015 14:55:00;  31,3
25.02.2015 07:20:00;  6,25
03.03.2015 09:10:00;  6,70
11.04.2015 06:10:00;  5,80
23.05.2015 19:40:00;  12,7
01.06.2015 06:45:00;  4,48
13.07.2015 04:50:00;  4,61
17.08.2015 07:15:00;  3,39
20.09.2015 10:10:00;  2,64
19.10.2015 08:45:00;  5,04
02.11.2015 07:25:00;  4,45
02.12.2015 08:50:00;  4,18
29.01.2016 12:30:00;  3,32
01.02.2016 19:55:00;  11,0
01.03.2016 07:35:00;  4,08
14.04.2016 06:05:00;  3,76
19.05.2016 17:20:00;  4,49
30.06.2016 23:15:00;  25,9
01.07.2016 00:05:00;  24,6
21.08.2016 10:30:00;  7,47
06.09.2016 17:25:00;  7,01
21.10.2016 08:05:00;  5,96
07.11.2016 07:15:00;  5,34
28.12.2016 20:10:00;  4,41
07.01.2017 10:25:00;  5,03
23.02.2017 13:00:00;  11,9
19.03.2017 18:45:00;  18,1
26.04.2017 05:25:00;  13,0
21.05.2017 07:50:00;  7,52
03.06.2017 18:40:00;  5,91
09.07.2017 17:10:00;  4,84
10.08.2017 21:50:00;  5,16
20.09.2017 14:30:00;  11,6
30.10.2017 13:00:00;  7,84
13.11.2017 07:30:00;  6,50
22.12.2017 08:50:00;  5,21
30.01.2018 09:15:00;  8,16
01.02.2018 08:05:00;  7,53
13.03.2018 07:25:00;  6,88
03.04.2018 05:40:00;  7,16
15.05.2018 13:45:00;  8,79
12.06.2018 22:10:00;  12,4
11.07.2018 06:20:00;  6,99
02.08.2018 19:55:00;  4,25
03.09.2018 15:55:00;  9,83
24.10.2018 22:30:00;  5,35
26.11.2018 17:35:00;  4,48
24.12.2018 17:20:00;  21,7
14.01.2019 07:15:00;  6,96
22.02.2019 20:55:00;  16,4
02.03.2019 16:45:00;  10,1
30.04.2019 22:25:00;  7,78
12.05.2019 05:00:00;  7,85
03.06.2019 05:45:00;  5,66
22.07.2019 09:35:00;  4,12
24.08.2019 17:40:00;  8,45
09.09.2019 06:10:00;  5,67
03.10.2019 07:50:00;  4,64
13.11.2019 20:30:00;  5,69
23.12.2019 16:50:00;  6,13
15.01.2020 08:05:00;  3,24
19.02.2020 07:40:00;  7,52
06.03.2020 09:55:00;  5,58
01.04.2020 08:20:00;  2,92
24.05.2020 05:10:00;  2,88
22.06.2020 06:10:00;  6,98
01.07.2020 23:30:00;  2,69
14.08.2020 23:25:00;  7,93
01.09.2020 22:25:00;  7,09
15.10.2020 08:15:00;  7,37
02.11.2020 17:55:00;  4,49
23.12.2020 08:10:00;  3,45
30.01.2021 11:15:00;  14,2
01.02.2021 00:00:00;  8,02
01.03.2021 07:40:00;  3,38
24.04.2021 07:05:00;  4,06
03.05.2021 10:00:00;  2,81
06.06.2021 12:55:00;  3,74
17.07.2021 20:35:00;  5,59
15.08.2021 17:40:00;  5,79
16.09.2021 23:50:00;  3,51
07.10.2021 11:55:00;  3,28
02.11.2021 07:25:00;  4,24
30.12.2021 19:25:00;  4,25
