Messstelle:                ;Schwanberg
31.07.1971 12:00:00;  3,91
16.08.1971 12:00:00;  8,10
29.09.1971 12:00:00;  2,06
15.10.1971 12:00:00;  1,95
11.11.1971 12:00:00;  4,03
18.12.1971 12:00:00;  1,35
01.01.1972 12:00:00;  1,24
29.02.1972 12:00:00;  1,69
11.03.1972 12:00:00;  2,45
21.04.1972 12:00:00;  31,4
16.05.1972 12:00:00;  12,8
01.06.1972 12:00:00;  7,62
15.07.1972 12:00:00;  37,6
01.08.1972 12:00:00;  4,51
09.09.1972 12:00:00;  46,0
29.10.1972 12:00:00;  3,98
18.11.1972 12:00:00;  2,80
10.12.1972 12:00:00;  2,40
08.01.1973 12:00:00;  1,12
28.02.1973 12:00:00;  1,59
25.03.1973 12:00:00;  2,04
10.04.1973 12:00:00;  6,65
03.05.1973 12:00:00;  7,09
23.06.1973 12:00:00;  40,0
07.07.1973 12:00:00;  8,76
31.08.1973 12:00:00;  3,85
25.09.1973 12:00:00;  16,8
01.10.1973 12:00:00;  5,78
06.11.1973 12:00:00;  4,15
20.12.1973 12:00:00;  2,14
01.01.1974 12:00:00;  1,41
12.02.1974 12:00:00;  3,70
21.03.1974 12:00:00;  4,82
12.04.1974 12:00:00;  3,70
22.05.1974 12:00:00;  6,24
29.06.1974 12:00:00;  6,90
18.07.1974 12:00:00;  5,33
28.08.1974 12:00:00;  17,0
24.09.1974 12:00:00;  9,04
04.10.1974 12:00:00;  3,69
16.11.1974 12:00:00;  5,78
03.12.1974 12:00:00;  1,38
02.01.1975 12:00:00;  1,10
18.02.1975 12:00:00;  1,20
21.03.1975 12:00:00;  4,28
07.04.1975 12:00:00;  3,69
27.05.1975 12:00:00;  7,98
30.06.1975 12:00:00;  18,8
10.07.1975 12:00:00;  21,0
24.08.1975 12:00:00;  28,0
02.09.1975 12:00:00;  5,73
17.10.1975 12:00:00;  4,55
18.11.1975 12:00:00;  3,40
01.12.1975 12:00:00;  2,90
17.01.1976 12:00:00;  1,78
08.02.1976 19:00:00;  1,48
30.03.1976 22:00:00;  1,88
07.04.1976 10:00:00;  6,64
14.05.1976 01:00:00;  4,17
23.06.1976 19:00:00;  2,73
27.07.1976 13:00:00;  6,11
01.08.1976 02:00:00;  2,32
11.09.1976 02:00:00;  4,21
30.10.1976 21:00:00;  9,43
08.11.1976 00:00:00;  2,14
02.12.1976 16:00:00;  2,72
20.01.1977 17:00:00;  2,28
23.02.1977 11:00:00;  3,26
29.03.1977 09:00:00;  2,47
09.04.1977 02:00:00;  3,15
23.05.1977 14:00:00;  3,74
30.06.1977 20:00:00;  2,93
26.07.1977 12:00:00;  8,69
09.08.1977 15:00:00;  2,50
13.09.1977 20:00:00;  3,16
11.10.1977 09:00:00;  4,11
20.11.1977 17:00:00;  1,44
25.12.1977 09:00:00;  1,09
03.01.1978 10:00:00;  1,33
21.02.1978 13:00:00;  1,58
17.03.1978 09:00:00;  4,80
30.04.1978 19:00:00;  2,92
06.05.1978 07:00:00;  4,15
11.06.1978 09:00:00;  4,78
19.07.1978 12:00:00;  5,79
14.08.1978 01:00:00;  3,02
30.09.1978 23:00:00;  4,92
01.10.1978 00:00:00;  4,83
07.11.1978 07:00:00;  2,70
13.12.1978 13:00:00;  1,54
29.01.1979 12:00:00;  3,39
01.02.1979 00:00:00;  1,22
16.03.1979 22:00:00;  2,97
17.04.1979 17:00:00;  2,57
19.05.1979 19:00:00;  4,64
15.06.1979 02:00:00;  6,35
13.07.1979 22:00:00;  7,58
19.08.1979 17:00:00;  4,53
24.09.1979 12:00:00;  13,6
02.10.1979 04:00:00;  1,80
15.11.1979 20:00:00;  4,43
11.12.1979 22:00:00;  2,23
16.01.1980 00:01:00;  1,70
08.02.1980 09:00:00;  1,66
30.03.1980 04:00:00;  1,39
20.04.1980 06:00:00;  2,05
01.05.1980 21:00:00;  4,18
24.06.1980 05:00:00;  4,19
09.07.1980 22:00:00;  4,30
31.08.1980 04:00:00;  9,98
10.09.1980 14:00:00;  4,82
13.10.1980 01:00:00;  14,8
12.11.1980 08:00:00;  4,20
05.12.1980 18:00:00;  3,06
07.01.1981 15:30:00;  2,58
16.02.1981 07:30:00;  2,33
26.03.1981 20:00:00;  2,57
05.04.1981 10:15:00;  2,24
12.05.1981 13:00:00;  7,13
24.06.1981 09:15:00;  4,61
19.07.1981 08:45:00;  12,5
12.08.1981 09:30:00;  5,37
01.09.1981 20:30:00;  7,20
22.10.1981 21:15:00;  4,86
20.11.1981 13:00:00;  3,92
19.12.1981 13:30:00;  1,92
01.01.1982 22:45:00;  2,09
18.02.1982 13:30:00;  1,46
29.03.1982 20:45:00;  1,79
07.04.1982 20:00:00;  15,1
11.05.1982 09:30:00;  5,37
27.06.1982 17:00:00;  3,29
25.07.1982 13:00:00;  6,66
16.08.1982 17:00:00;  7,16
08.09.1982 00:30:00;  17,7
06.10.1982 18:00:00;  32,5
14.11.1982 08:15:00;  3,46
18.12.1982 17:00:00;  2,86
03.01.1983 06:45:00;  1,79
22.02.1983 07:15:00;  1,75
26.03.1983 00:30:00;  2,32
11.04.1983 23:30:00;  2,42
25.05.1983 06:00:00;  5,19
21.06.1983 05:15:00;  4,22
06.07.1983 16:15:00;  4,65
03.08.1983 04:15:00;  5,41
04.09.1983 00:30:00;  6,43
11.10.1983 22:15:00;  5,27
27.11.1983 22:30:00;  2,42
06.12.1983 06:15:00;  2,61
19.01.1984 10:00:00;  1,36
10.02.1984 10:15:00;  1,26
30.03.1984 04:15:00;  3,68
24.04.1984 07:15:00;  3,49
21.05.1984 05:45:00;  7,19
29.06.1984 20:15:00;  4,24
26.07.1984 16:45:00;  2,86
09.08.1984 23:00:00;  23,8
24.09.1984 06:15:00;  5,49
02.10.1984 19:45:00;  3,79
05.11.1984 15:45:00;  1,45
03.12.1984 15:00:00;  1,11
24.01.1985 12:00:00;  3,68
01.02.1985 00:00:00;  1,13
26.03.1985 07:30:00;  1,77
09.04.1985 01:45:00;  4,45
07.05.1985 13:00:00;  11,5
08.06.1985 21:00:00;  7,81
15.07.1985 23:00:00;  8,37
04.08.1985 06:30:00;  8,62
04.09.1985 04:45:00;  4,63
28.10.1985 07:45:00;  2,86
11.11.1985 05:45:00;  1,92
29.12.1985 20:15:00;  1,50
06.01.1986 10:30:00;  3,71
06.02.1986 13:45:00;  2,09
17.03.1986 07:15:00;  5,12
30.04.1986 00:30:00;  16,0
29.05.1986 23:30:00;  17,8
23.06.1986 15:15:00;  22,4
24.07.1986 16:00:00;  4,84
28.08.1986 18:45:00;  29,9
10.09.1986 14:00:00;  5,52
23.10.1986 16:30:00;  4,17
24.11.1986 00:30:00;  4,68
06.12.1986 07:30:00;  1,98
04.01.1987 17:00:00;  1,89
26.02.1987 07:15:00;  2,16
29.03.1987 01:00:00;  3,12
21.04.1987 06:00:00;  5,99
06.05.1987 10:45:00;  14,6
16.06.1987 07:45:00;  5,73
13.07.1987 15:30:00;  20,7
04.08.1987 23:45:00;  42,1
06.09.1987 09:15:00;  13,4
12.10.1987 07:30:00;  4,98
14.11.1987 09:30:00;  6,82
09.12.1987 12:30:00;  3,30
07.01.1988 11:30:00;  2,01
05.02.1988 08:00:00;  1,62
04.03.1988 07:45:00;  1,39
29.04.1988 10:30:00;  12,9
03.05.1988 22:15:00;  5,55
06.06.1988 04:15:00;  13,4
14.07.1988 15:00:00;  6,13
22.08.1988 06:15:00;  15,8
13.09.1988 20:30:00;  21,7
06.10.1988 11:15:00;  6,54
10.11.1988 12:15:00;  2,02
14.12.1988 15:15:00;  2,77
23.01.1989 08:45:00;  1,76
25.02.1989 19:00:00;  2,16
14.03.1989 11:30:00;  1,76
27.04.1989 17:15:00;  4,98
16.05.1989 19:15:00;  21,3
28.06.1989 12:30:00;  5,13
03.07.1989 23:00:00;  52,2
28.08.1989 08:15:00;  10,0
28.09.1989 14:00:00;  14,8
02.10.1989 11:15:00;  3,30
06.11.1989 11:00:00;  4,09
31.12.1989 09:45:00;  5,99
01.01.1990 00:00:00;  5,73
03.02.1990 18:30:00;  1,41
25.03.1990 19:00:00;  2,08
07.04.1990 22:00:00;  4,02
14.05.1990 15:15:00;  3,62
28.06.1990 19:15:00;  6,39
10.07.1990 21:30:00;  12,9
16.08.1990 17:15:00;  7,50
24.09.1990 19:45:00;  5,13
20.10.1990 22:45:00;  20,4
01.11.1990 07:45:00;  10,4
21.12.1990 16:15:00;  2,71
17.01.1991 00:00:00;  2,23
18.02.1991 09:15:00;  1,67
26.03.1991 03:00:00;  5,13
12.04.1991 21:00:00;  2,88
11.05.1991 06:00:00;  13,2
26.06.1991 20:15:00;  40,1
14.07.1991 20:00:00;  11,9
14.08.1991 15:15:00;  12,1
15.09.1991 23:15:00;  4,75
18.10.1991 20:30:00;  5,01
05.11.1991 01:30:00;  10,2
19.12.1991 08:30:00;  3,29
01.01.1992 10:30:00;  2,64
20.02.1992 12:15:00;  2,85
24.03.1992 23:45:00;  5,55
29.04.1992 19:30:00;  7,58
10.05.1992 23:00:00;  4,80
12.06.1992 19:15:00;  20,7
17.07.1992 07:30:00;  4,30
04.08.1992 18:15:00;  6,54
04.09.1992 18:45:00;  4,09
04.10.1992 18:00:00;  13,8
03.11.1992 23:45:00;  7,12
05.12.1992 22:45:00; 10,00
31.01.1993 23:59:55;  2,01
01.02.1993 00:00:00;  2,01
24.03.1993 06:45:00;  3,21
23.04.1993 22:30:00;  1,74
29.05.1993 01:15:00;  5,81
04.06.1993 11:30:00;  5,81
26.07.1993 16:30:00;  3,30
25.08.1993 06:15:00; 10,00
29.09.1993 17:00:00;  11,4
23.10.1993 22:00:00;  58,5
06.11.1993 07:45:00;  3,50
21.12.1993 23:15:00;  2,15
20.01.1994 10:15:00;  1,50
17.02.1994 00:01:00;  2,29
26.03.1994 19:15:00;  2,08
17.04.1994 18:15:00;  5,87
19.05.1994 20:15:00;  4,90
12.06.1994 21:15:00;  12,5
21.07.1994 01:45:00;  13,6
29.08.1994 22:15:00;  5,50
15.09.1994 01:30:00;  7,21
24.10.1994 15:15:00;  4,90
11.11.1994 09:45:00;  20,9
21.12.1994 07:15:00;  2,54
27.01.1995 05:45:00;  2,54
16.02.1995 16:45:00;  1,67
27.03.1995 23:00:00;  3,24
25.04.1995 11:45:00;  10,0
01.05.1995 19:45:00;  7,44
21.06.1995 15:15:00;  10,6
15.07.1995 14:30:00;  16,5
28.08.1995 15:00:00;  17,3
15.09.1995 00:00:00;  25,8
01.10.1995 00:00:00;  2,08
23.11.1995 21:45:00;  3,43
23.12.1995 18:15:00;  1,94
27.01.1996 10:00:00;  3,43
20.02.1996 16:00:00;  13,2
05.03.1996 06:15:00;  2,08
23.04.1996 16:30:00;  6,93
13.05.1996 09:00:00;  52,9
30.06.1996 05:15:00;  19,0
03.07.1996 02:30:00;  11,2
08.08.1996 11:45:00;  3,88
23.09.1996 11:15:00;  31,9
02.10.1996 20:45:00;  5,81
18.11.1996 18:45:00;  3,88
26.12.1996 09:30:00;  1,89
29.01.1997 07:38:40;  2,40
01.02.1997 08:04:55;  2,46
10.03.1997 18:20:45;  1,12
29.04.1997 15:44:00;  2,69
07.05.1997 02:01:05;  4,26
23.06.1997 07:11:55;  11,0
10.07.1997 18:53:00;  5,10
08.08.1997 18:08:05;  11,1
14.09.1997 08:13:15;  5,74
11.10.1997 05:13:55;  2,88
08.11.1997 09:30:55;  8,11
20.12.1997 20:49:20;  3,46
10.01.1998 14:54:15;  2,08
16.02.1998 21:13:10;  1,85
01.03.1998 09:05:30;  2,40
29.04.1998 03:31:20;  3,01
18.05.1998 17:51:45;  2,16
15.06.1998 20:59:25;  3,32
07.07.1998 20:12:50;  7,42
28.08.1998 02:26:35;  6,96
05.09.1998 20:27:50;  8,36
06.10.1998 13:20:40;  8,85
04.11.1998 22:23:15;  8,34
17.12.1998 14:47:15;  2,71
23.01.1999 07:53:10;  1,84
02.02.1999 17:57:15;  1,32
29.03.1999 06:46:45;  2,04
17.04.1999 00:22:00;  4,96
14.05.1999 20:16:10;  9,60
21.06.1999 21:24:15;  11,0
11.07.1999 06:00:00;  65,0
06.08.1999 22:55:05;  33,8
04.09.1999 12:35:40;  21,8
26.10.1999 04:30:00;  7,50
07.11.1999 03:30:00;  5,28
01.12.1999 10:00:00;  3,29
10.01.2000 14:30:00;  2,04
22.02.2000 20:00:00;  1,51
29.03.2000 19:00:00;  2,38
24.04.2000 23:30:00;  9,35
12.05.2000 14:00:00;  5,22
13.06.2000 01:30:00;  10,1
28.07.2000 18:30:00;  5,62
06.08.2000 04:45:05;  8,09
17.09.2000 02:30:00;  6,99
08.10.2000 01:30:00;  11,8
17.11.2000 23:00:00;  13,2
01.12.2000 00:00:00;  3,13
08.01.2001 15:45:00;  6,03
05.02.2001 13:00:00;  1,93
27.03.2001 01:42:30;  3,93
26.04.2001 13:30:30;  3,97
06.05.2001 20:19:05;  5,27
11.06.2001 20:00:50;  6,27
20.07.2001 12:45:00;  5,52
10.08.2001 20:30:00;  2,94
14.09.2001 22:30:00;  11,6
01.10.2001 05:15:00;  1,67
12.11.2001 14:45:00;  2,23
04.12.2001 21:15:00;  1,00
01.01.2002 10:00:00;  1,23
19.02.2002 09:00:00;  1,41
07.03.2002 05:35:15;  2,53
21.04.2002 08:15:00;  2,38
19.05.2002 16:30:00;  4,02
07.06.2002 14:23:05;  3,61
16.07.2002 09:30:00;  9,53
27.08.2002 14:00:00;  16,8
24.09.2002 13:00:00;  12,1
12.10.2002 14:30:00;  6,66
18.11.2002 09:15:00;  2,88
06.12.2002 07:45:00;  11,4
20.01.2003 09:30:00;  2,02
08.02.2003 10:45:00;  1,41
30.03.2003 19:30:00;  1,94
30.04.2003 20:45:00;  5,04
01.05.2003 00:00:00;  4,81
15.06.2003 04:30:00;  4,14
18.07.2003 01:00:00;  2,94
31.08.2003 18:45:00;  9,14
10.09.2003 10:45:05;  9,13
05.10.2003 07:15:00;  4,67
28.11.2003 21:00:05;  9,68
09.12.2003 11:49:25;  2,50
17.01.2004 16:15:00;  1,42
05.02.2004 20:30:00;  1,17
21.03.2004 18:15:00;  3,43
05.04.2004 17:30:00;  4,23
28.05.2004 15:32:15;  9,14
20.06.2004 16:00:00;  22,6
06.07.2004 17:00:00;  8,23
31.08.2004 16:00:00;  9,14
24.09.2004 15:30:00;  3,62
31.10.2004 19:30:00;  2,16
01.11.2004 00:00:00;  1,64
26.12.2004 15:15:00;  1,30
24.01.2005 19:15:00; 0,743
05.02.2005 07:45:00; 0,670
31.03.2005 05:00:00;  2,60
19.04.2005 16:30:00;  7,98
18.05.2005 16:15:00;  6,86
25.06.2005 20:00:00;  3,54
08.07.2005 12:30:00;  8,46
21.08.2005 11:30:00;  97,9
03.09.2005 16:46:40;  9,37
05.10.2005 11:10:40;  25,3
01.11.2005 01:44:50;  2,18
06.12.2005 13:19:45;  1,91
10.01.2006 08:22:40;  1,71
10.02.2006 11:00:00;  1,09
29.03.2006 04:30:00;  3,67
28.04.2006 09:00:00;  15,4
01.05.2006 00:00:00;  6,41
17.06.2006 19:00:00;  13,6
23.07.2006 00:45:00;  8,98
03.08.2006 21:45:00;  9,26
18.09.2006 13:00:00;  11,4
25.10.2006 07:48:55;  3,99
22.11.2006 13:03:55;  2,04
09.12.2006 22:48:55;  2,31
24.01.2007 06:48:00;  1,70
13.02.2007 05:03:00;  1,98
08.03.2007 20:33:00;  2,16
10.04.2007 22:48:00;  2,98
29.05.2007 02:03:00;  13,4
05.06.2007 10:03:00;  10,2
04.07.2007 18:48:00;  9,97
20.08.2007 15:18:00;  4,39
18.09.2007 23:33:00;  10,8
28.10.2007 13:18:00;  7,84
24.11.2007 05:48:00;  2,89
08.12.2007 04:48:00;  2,67
27.01.2008 18:18:00;  1,66
01.02.2008 08:48:00;  1,81
13.03.2008 02:48:00;  1,59
21.04.2008 21:08:00;  4,89
20.05.2008 18:08:00;  5,44
05.06.2008 15:23:00;  52,3
14.07.2008 18:23:00;  13,2
16.08.2008 04:38:00;  7,54
12.09.2008 19:38:00;  12,5
26.10.2008 14:08:00;  4,70
01.11.2008 14:53:00;  1,73
01.12.2008 15:23:00;  3,16
22.01.2009 06:08:00;  2,19
08.02.2009 11:38:00;  2,12
29.03.2009 21:53:00;  4,02
30.04.2009 08:23:00;  6,27
26.05.2009 21:23:00;  13,7
24.06.2009 09:53:00;  15,8
05.07.2009 14:08:00;  7,86
04.08.2009 00:38:05;  13,6
04.09.2009 19:53:00;  16,8
02.10.2009 00:23:00;  3,61
05.11.2009 05:53:00;  2,73
25.12.2009 18:08:00;  5,66
25.01.2010 14:23:00;  2,12
02.02.2010 11:53:00;  2,34
26.03.2010 20:08:00;  3,50
27.04.2010 03:16:00;  2,63
05.05.2010 19:31:00;  4,94
19.06.2010 22:46:00;  13,0
03.07.2010 17:16:00;  7,05
10.08.2010 17:31:00;  11,4
18.09.2010 00:01:00;  8,57
25.10.2010 15:34:00;  4,62
17.11.2010 08:49:00;  4,43
24.12.2010 08:34:00;  4,49
11.01.2011 05:34:00;  2,31
03.02.2011 11:20:00;  1,98
17.03.2011 09:35:00;  4,65
29.04.2011 16:20:00;  2,99
28.05.2011 08:20:00;  6,33
19.06.2011 10:25:00;  9,38
24.07.2011 13:55:00;  7,24
08.08.2011 22:10:00;  9,07
19.09.2011 18:25:00;  9,47
20.10.2011 08:25:00;  5,45
09.11.2011 14:25:00;  2,57
20.12.2011 22:10:00;  1,46
04.01.2012 05:25:00;  1,21
29.02.2012 15:46:00;  1,29
20.03.2012 04:16:00;  1,26
14.04.2012 13:12:00;  1,67
23.05.2012 04:57:00;  7,70
25.06.2012 17:42:00;  3,36
21.07.2012 17:57:00;  8,77
26.08.2012 15:42:00;  5,78
13.09.2012 01:27:00;  11,8
27.10.2012 23:35:00;  8,92
05.11.2012 10:50:00;  20,8
12.12.2012 19:20:00;  2,22
27.01.2013 12:05:00;  2,01
02.02.2013 15:20:00;  3,13
10.03.2013 11:57:15;  4,31
26.04.2013 19:57:15;  8,26
06.05.2013 09:57:15;  7,87
10.06.2013 23:42:15;  4,98
10.07.2013 12:12:15;  2,79
