Messstelle:                ;Zwettl an der Rodl (Gemeindeamt)
03.10.1994 17:45:00; 0,193
19.11.1994 01:00:00; 0,583
29.12.1994 22:30:00;  1,77
26.01.1995 06:15:00;  2,71
09.02.1995 08:30:00;  2,58
27.03.1995 21:00:00;  3,77
02.04.1995 14:30:00;  3,77
14.05.1995 05:00:00;  2,99
05.06.1995 00:45:00;  4,47
04.07.1995 12:15:00; 0,583
28.08.1995 03:45:00;  1,15
01.09.1995 19:00:00;  6,51
02.10.1995 10:00:00; 0,632
17.11.1995 05:45:00;  5,06
24.12.1995 20:45:00;  4,29
01.01.1996 15:15:00; 0,634
01.02.1996 00:00:00; 0,220
24.03.1996 20:15:00;  1,87
08.04.1996 17:45:00;  1,67
27.05.1996 16:30:00;  6,46
11.06.1996 04:15:00;  3,06
09.07.1996 05:15:00;  4,74
25.08.1996 03:45:00;  2,21
14.09.1996 14:00:00; 0,999
21.10.1996 07:45:00;  2,78
08.11.1996 12:45:00;  2,40
19.12.1996 21:45:00; 0,558
01.01.1997 00:00:00; 0,300
12.02.1997 20:39:10;  5,94
17.03.1997 14:04:20;  3,44
06.04.1997 08:37:10;  3,30
09.05.1997 02:29:05;  1,47
06.06.1997 18:38:15; 0,436
18.07.1997 14:17:25;  8,36
02.08.1997 22:07:35; 0,470
20.09.1997 11:04:30; 0,258
12.10.1997 14:31:10; 0,468
30.11.1997 18:38:15;  1,16
12.12.1997 10:49:45;  2,79
20.01.1998 01:00:10; 0,558
13.02.1998 15:34:30; 0,521
17.03.1998 17:43:15;  1,83
19.04.1998 06:03:05; 0,586
18.05.1998 03:31:35; 0,188
13.06.1998 06:55:55;  1,93
09.07.1998 07:34:15; 0,916
01.08.1998 08:02:40; 0,268
15.09.1998 20:07:30;  2,27
29.10.1998 18:43:40;  6,58
01.11.1998 12:04:45;  4,67
13.12.1998 16:15:05;  1,29
08.01.1999 16:48:15;  2,26
05.02.1999 12:36:40;  1,59
03.03.1999 04:56:10;  4,30
01.04.1999 00:00:00;  1,22
13.05.1999 01:56:05;  1,42
04.06.1999 18:57:05; 0,534
10.07.1999 00:15:15;  4,62
10.08.1999 00:04:50; 0,619
21.09.1999 18:23:00; 0,145
09.10.1999 13:16:15; 0,135
03.11.1999 11:04:55; 0,239
27.12.1999 00:09:10; 0,321
31.01.2000 22:21:15;  4,55
09.02.2000 02:55:45;  8,12
10.03.2000 05:21:35;  4,80
03.04.2000 20:16:00;  2,99
04.05.2000 21:31:25;  5,32
06.06.2000 22:11:40; 0,675
30.07.2000 16:05:45; 0,622
07.08.2000 04:17:20;  3,65
01.09.2000 06:00:10; 0,502
03.10.2000 16:45:45;  1,55
05.11.2000 18:40:50; 0,248
11.12.2000 10:01:00;  1,71
01.01.2001 11:45:00; 0,311
06.02.2001 21:05:20; 0,709
15.03.2001 20:36:20;  4,31
08.04.2001 20:18:45;  1,61
04.05.2001 23:52:35; 0,598
11.06.2001 14:26:30;  2,22
28.07.2001 18:52:25;  2,91
21.08.2001 07:00:00;  1,59
12.09.2001 19:50:00;  8,23
02.10.2001 16:10:00; 0,606
08.11.2001 08:30:00;  3,21
30.12.2001 03:10:00;  6,83
28.01.2002 09:15:00;  8,55
21.02.2002 03:15:00;  9,11
21.03.2002 14:15:00;  13,5
01.04.2002 00:00:00;  1,35
06.05.2002 06:05:00; 0,344
08.06.2002 00:35:00;  1,03
17.07.2002 18:05:00; 0,693
12.08.2002 07:05:00;  36,9
01.09.2002 09:00:00;  2,35
18.10.2002 13:25:00;  5,16
11.11.2002 19:00:00;  4,19
23.12.2002 00:25:00;  4,97
04.01.2003 08:05:00;  2,88
01.02.2003 23:50:00; 0,550
12.03.2003 17:33:45;  2,14
02.04.2003 19:27:30; 0,510
14.05.2003 06:10:00; 0,898
09.06.2003 10:35:00; 0,446
29.07.2003 05:25:00; 0,599
19.08.2003 01:15:00; 0,112
12.09.2003 11:30:00; 0,100
09.10.2003 03:10:00;  1,13
02.11.2003 11:50:00; 0,137
14.12.2003 17:25:00; 0,604
14.01.2004 03:15:00;  4,21
03.02.2004 02:10:00;  2,69
20.03.2004 19:45:00;  2,03
11.04.2004 14:00:00;  2,21
07.05.2004 09:15:00; 0,408
03.06.2004 18:05:00;  1,84
09.07.2004 08:45:00; 0,533
13.08.2004 02:35:00; 0,340
24.09.2004 00:40:00;  1,36
09.10.2004 08:50:00; 0,447
23.11.2004 06:10:00;  2,00
24.12.2004 13:00:00;  1,47
21.01.2005 04:50:00;  11,0
13.02.2005 03:15:00;  3,66
19.03.2005 18:20:00;  3,06
26.04.2005 04:45:00;  2,56
30.05.2005 21:55:00;  2,81
01.06.2005 00:00:00; 0,550
11.07.2005 21:50:00;  3,69
16.08.2005 12:40:00;  2,83
12.09.2005 17:55:00;  5,09
02.10.2005 18:25:00; 0,609
08.11.2005 15:35:00; 0,261
09.12.2005 08:30:00; 0,223
07.01.2006 11:50:00; 0,169
17.02.2006 07:39:15; 0,393
31.03.2006 15:35:00;  10,7
01.04.2006 00:00:00;  6,93
28.05.2006 13:30:00;  3,32
30.06.2006 06:50:00;  2,14
14.07.2006 15:10:00;  3,06
07.08.2006 08:00:00;  3,85
08.09.2006 08:10:00;  4,50
29.10.2006 16:50:00; 0,313
05.11.2006 22:45:00; 0,583
05.12.2006 14:25:00; 0,258
19.01.2007 07:20:00;  3,63
28.02.2007 18:35:00;  2,80
01.03.2007 23:30:00;  3,95
03.04.2007 15:10:00; 0,436
10.05.2007 01:35:00;  2,37
11.06.2007 19:55:00; 0,290
05.07.2007 01:40:00;  1,15
04.08.2007 00:20:00; 0,602
07.09.2007 02:55:00;  5,40
25.10.2007 13:20:00; 0,383
11.11.2007 20:35:00;  5,10
07.12.2007 13:40:00;  5,45
19.01.2008 13:15:00;  2,97
06.02.2008 17:10:00;  2,03
01.03.2008 11:25:00;  4,34
22.04.2008 00:55:00;  4,80
01.05.2008 02:55:00; 0,765
04.06.2008 17:05:00; 0,485
12.07.2008 20:45:00; 0,900
16.08.2008 14:50:00;  1,70
15.09.2008 23:15:00; 0,341
03.10.2008 21:30:00; 0,293
21.11.2008 15:45:00;  1,63
22.12.2008 22:55:00; 0,884
01.01.2009 17:30:00; 0,223
10.02.2009 21:40:00; 0,548
05.03.2009 20:01:35;  3,31
02.04.2009 17:40:00;  7,92
19.05.2009 05:10:00; 0,701
23.06.2009 12:40:00;  3,82
01.07.2009 18:40:00;  7,92
22.08.2009 17:20:00;  1,94
17.09.2009 18:05:00;  1,37
12.10.2009 09:15:00;  2,14
04.11.2009 14:40:00; 0,801
11.12.2009 10:15:00;  1,26
01.01.2010 00:25:00; 0,510
28.02.2010 22:00:00; 0,348
24.03.2010 18:15:00;  3,09
05.04.2010 00:40:00;  1,53
14.05.2010 01:35:00;  3,52
02.06.2010 21:45:00;  6,32
24.07.2010 15:45:00;  5,72
07.08.2010 20:25:00;  2,15
01.09.2010 00:00:00; 0,536
25.10.2010 10:50:00; 0,341
19.11.2010 19:40:00; 0,245
09.12.2010 08:55:00; 0,576
14.01.2011 15:10:00;  4,08
12.02.2011 06:30:00;  1,67
18.03.2011 07:45:00;  1,50
01.04.2011 16:40:00; 0,298
31.05.2011 23:59:55;  4,07
01.06.2011 02:15:00;  6,99
10.07.2011 04:30:00;  1,96
27.08.2011 22:10:00; 0,527
05.09.2011 18:10:00;  2,62
13.10.2011 04:20:00;  4,49
01.11.2011 00:00:00; 0,280
17.12.2011 00:15:00;  2,25
20.01.2012 03:35:00;  5,45
25.02.2012 18:05:00;  2,00
01.03.2012 17:50:00;  2,80
16.04.2012 21:00:00; 0,700
12.05.2012 20:55:00; 0,342
13.06.2012 15:20:00;  3,19
01.07.2012 22:50:00;  3,30
07.08.2012 00:00:00;  5,15
13.09.2012 06:25:00;  1,33
07.10.2012 16:35:00; 0,900
05.11.2012 09:25:00;  1,73
23.12.2012 19:55:00;  2,61
31.01.2013 01:45:00;  5,02
02.02.2013 06:00:00;  5,17
08.03.2013 18:45:00;  1,84
10.04.2013 18:35:00; 0,828
31.05.2013 15:10:00;  3,66
02.06.2013 10:05:00;  13,6
11.07.2013 04:00:00; 0,772
09.08.2013 18:55:00; 0,695
17.09.2013 05:55:00; 0,614
16.10.2013 11:45:00; 0,483
07.11.2013 03:15:00; 0,527
10.12.2013 21:25:00; 0,320
10.01.2014 08:00:00; 0,586
01.02.2014 21:55:00; 0,313
23.03.2014 21:00:00; 0,402
06.04.2014 22:10:00; 0,226
29.05.2014 21:00:00;  4,25
25.06.2014 14:25:00; 0,684
22.07.2014 14:00:00;  1,05
26.08.2014 22:00:00;  1,97
22.09.2014 21:45:00;  1,55
23.10.2014 11:30:00;  5,72
19.11.2014 12:15:00; 0,568
20.12.2014 04:45:00; 0,839
10.01.2015 11:00:00;  7,68
01.02.2015 11:45:00; 0,391
30.03.2015 13:05:00;  4,08
01.04.2015 00:00:00;  1,82
24.05.2015 03:30:00;  4,08
23.06.2015 07:20:00; 0,777
08.07.2015 18:55:00; 0,280
21.08.2015 21:00:00; 0,309
04.09.2015 02:40:00;  1,62
08.10.2015 07:00:00; 0,461
21.11.2015 03:30:00;  1,75
01.12.2015 09:30:00;  3,31
29.01.2016 17:30:00; 0,856
01.02.2016 13:00:00;  3,58
03.03.2016 02:00:00;  1,50
18.04.2016 15:50:00; 0,316
31.05.2016 10:00:00;  5,82
01.06.2016 04:20:00;  8,95
14.07.2016 13:20:00;  9,43
10.08.2016 19:00:00;  1,04
17.09.2016 20:30:00;  1,67
09.10.2016 19:45:00; 0,471
17.11.2016 15:05:00; 0,971
25.12.2016 16:45:00; 0,924
21.01.2017 18:25:50; 0,228
22.02.2017 15:45:00;  7,61
19.03.2017 03:30:00;  4,89
29.04.2017 17:45:00;  1,43
09.05.2017 00:45:00;  1,59
06.06.2017 03:30:00; 0,432
20.07.2017 22:45:00;  5,17
11.08.2017 15:00:00;  15,2
01.09.2017 00:45:00; 0,418
29.10.2017 14:30:00;  1,55
12.11.2017 22:15:00;  2,64
31.12.2017 13:15:00;  2,92
05.01.2018 05:30:00;  6,56
01.02.2018 18:45:00;  1,31
12.03.2018 13:45:00;  2,86
02.04.2018 08:30:00; 0,492
04.05.2018 08:30:00; 0,503
13.06.2018 07:45:00; 0,562
22.07.2018 09:15:00;  1,36
14.08.2018 16:30:00; 0,189
04.09.2018 02:30:00; 0,359
28.10.2018 06:45:00; 0,342
26.11.2018 18:45:00; 0,162
22.12.2018 16:15:00;  4,80
02.01.2019 01:00:00;  1,09
28.02.2019 23:30:00;  1,15
16.03.2019 11:30:00;  7,89
01.04.2019 02:00:00; 0,634
29.05.2019 00:15:00;  1,23
23.06.2019 07:30:00;  4,06
13.07.2019 11:15:00; 0,962
13.08.2019 02:30:00; 0,331
09.09.2019 13:30:00; 0,809
28.10.2019 10:30:00; 0,447
15.11.2019 13:30:00; 0,184
21.12.2019 20:45:00; 0,507
31.01.2020 15:45:00;  3,43
03.02.2020 17:45:00;  4,83
03.03.2020 13:45:00;  1,49
01.04.2020 18:45:00; 0,293
15.05.2020 14:45:00; 0,348
29.06.2020 15:15:00;  2,15
17.07.2020 02:15:00; 0,667
04.08.2020 04:45:00;  1,13
26.09.2020 15:05:00; 0,983
14.10.2020 20:45:00;  2,05
04.11.2020 05:00:00;  2,43
23.12.2020 01:55:00; 0,742
29.01.2021 15:55:00;  3,34
04.02.2021 00:10:00;  3,85
14.03.2021 16:30:00;  1,06
20.04.2021 20:05:00; 0,421
13.05.2021 18:15:00;  3,55
25.06.2021 01:20:00;  3,77
25.07.2021 22:25:00;  5,24
05.08.2021 17:10:00;  3,85
01.09.2021 00:15:00; 0,724
05.10.2021 08:50:00; 0,778
02.11.2021 06:20:00; 0,747
29.12.2021 12:05:00;  3,85
