Messstelle:                ;Furth (Feuerwehrhaus)
07.11.2017 17:20:00; 0,448
18.12.2017 17:45:00; 0,693
05.01.2018 05:20:00; 0,500
28.02.2018 09:18:40; 0,529
12.03.2018 06:15:00; 0,896
01.04.2018 05:20:00; 0,600
15.05.2018 14:30:00;  1,13
11.06.2018 13:35:00;  7,37
10.07.2018 17:00:00; 0,968
14.08.2018 13:35:00; 0,204
03.09.2018 18:00:00;  8,08
30.10.2018 16:20:00; 0,247
26.11.2018 23:45:00;  1,33
24.12.2018 10:10:00;  1,36
14.01.2019 14:20:00; 0,781
22.02.2019 16:05:10;  3,99
02.03.2019 07:10:00;  2,99
30.04.2019 17:05:00;  1,34
29.05.2019 12:45:00;  2,51
07.06.2019 00:25:00;  1,19
31.07.2019 23:10:00;  1,48
29.08.2019 18:15:00;  5,21
09.09.2019 08:40:00; 0,865
29.10.2019 07:05:00; 0,275
05.11.2019 19:55:00; 0,606
21.12.2019 23:20:00;  1,04
07.01.2020 09:46:20; 0,270
03.02.2020 12:50:00; 0,911
02.03.2020 06:35:00; 0,605
14.04.2020 01:45:00; 0,349
31.05.2020 23:59:55; 0,552
21.06.2020 17:20:00;  6,62
18.07.2020 14:10:00;  2,68
03.08.2020 16:40:00;  2,79
01.09.2020 12:40:00;  4,79
17.10.2020 08:50:00;  1,33
02.11.2020 00:35:00; 0,611
10.12.2020 23:25:00; 0,533
29.01.2021 22:25:00;  1,07
15.02.2021 09:45:00;  1,00
20.03.2021 19:25:00; 0,429
20.04.2021 16:30:00;  1,00
13.05.2021 14:45:00;  1,17
11.06.2021 16:50:00;  2,16
18.07.2021 18:30:00;  40,6
17.08.2021 02:55:00;  11,3
17.09.2021 03:20:00; 0,953
07.10.2021 13:35:00;  2,14
02.11.2021 08:30:00;  1,01
01.12.2021 16:10:00;  1,08
