Messstelle:                ;Baden (Schloßgasse)
03.11.2005 14:40:35; 0,418
25.12.2005 07:02:50; 0,596
23.01.2006 08:13:00; 0,533
17.02.2006 22:04:10; 0,465
26.03.2006 12:11:10; 0,870
11.04.2006 23:37:25; 0,410
27.05.2006 12:24:40; 0,675
23.06.2006 04:30:50; 0,710
01.07.2006 05:54:55; 0,551
20.08.2006 23:49:05; 0,334
22.09.2006 01:17:55; 0,435
30.10.2006 14:22:55; 0,579
01.11.2006 00:00:00; 0,383
31.12.2006 14:44:00; 0,364
19.01.2007 16:57:20; 0,455
17.02.2007 00:58:10; 0,423
31.03.2007 21:13:50; 0,515
19.04.2007 12:33:35; 0,609
05.05.2007 19:50:20; 0,776
22.06.2007 17:13:15; 0,778
01.07.2007 00:00:00; 0,500
01.08.2007 00:00:00; 0,352
10.09.2007 11:23:25; 0,609
08.10.2007 15:39:25; 0,502
22.11.2007 19:56:35; 0,558
01.12.2007 23:23:05; 0,501
19.01.2008 18:55:15; 0,606
01.02.2008 00:14:35; 0,552
15.03.2008 09:39:50; 0,582
04.04.2008 09:16:10; 0,606
06.05.2008 17:02:40; 0,566
02.06.2008 01:02:15; 0,651
01.07.2008 00:00:00; 0,508
16.08.2008 14:17:15; 0,496
16.09.2008 22:24:10; 0,492
28.10.2008 11:08:00; 0,652
01.11.2008 00:00:00; 0,450
23.12.2008 12:06:55; 0,556
24.01.2009 10:05:50; 0,397
10.02.2009 10:35:15; 0,639
05.03.2009 09:15:25; 0,628
15.04.2009 10:38:50; 0,446
30.05.2009 11:56:00; 0,412
23.06.2009 00:39:20; 0,559
25.07.2009 09:24:55; 0,387
05.08.2009 07:35:25; 0,472
18.09.2009 10:54:20; 0,524
18.10.2009 16:17:50; 0,480
23.11.2009 12:12:55; 0,504
10.12.2009 08:23:10; 0,517
20.01.2010 11:57:10; 0,466
26.02.2010 13:55:00; 0,560
22.03.2010 09:41:30; 0,492
14.04.2010 06:47:10; 0,529
16.05.2010 04:14:00; 0,746
04.06.2010 12:52:00; 0,619
17.07.2010 11:19:30; 0,546
14.08.2010 07:48:40; 0,598
02.09.2010 13:07:45; 0,573
08.10.2010 11:36:30; 0,513
02.11.2010 07:21:25; 0,486
24.12.2010 17:26:40; 0,544
11.01.2011 16:24:20; 0,420
05.02.2011 16:36:45; 0,513
18.03.2011 08:48:10; 0,474
14.04.2011 21:48:50; 0,456
28.05.2011 03:11:45; 0,720
08.06.2011 20:55:25; 0,799
05.07.2011 15:33:40; 0,678
15.08.2011 15:34:10; 0,510
20.09.2011 06:43:05; 0,345
13.10.2011 07:51:40; 0,559
10.11.2011 12:52:00; 0,473
22.12.2011 00:24:00; 0,395
23.01.2012 10:50:05; 0,467
29.02.2012 20:36:50; 0,415
13.03.2012 13:48:35; 0,462
17.04.2012 03:44:15; 0,347
03.05.2012 08:15:00; 0,365
24.06.2012 00:50:35; 0,379
06.07.2012 14:54:20; 0,549
06.08.2012 14:38:35; 0,385
13.09.2012 10:54:50; 0,321
31.10.2012 23:59:55; 0,499
02.11.2012 12:04:00; 0,522
25.12.2012 20:03:10; 0,468
09.01.2013 00:00:00; 0,469
18.02.2013 09:05:45; 0,327
29.03.2013 22:32:00; 0,409
10.04.2013 00:00:00; 0,530
14.05.2013 03:27:10; 0,569
24.06.2013 20:40:45; 0,689
11.07.2013 11:24:25; 0,609
12.08.2013 14:44:45; 0,425
04.09.2013 16:21:15; 0,374
01.10.2013 00:00:00; 0,338
25.11.2013 09:54:20; 0,523
10.12.2013 15:45:15; 0,437
07.01.2014 07:24:00; 0,385
10.02.2014 12:13:40; 0,401
22.03.2014 04:24:45; 0,384
03.04.2014 20:42:25; 0,386
16.05.2014 11:26:45; 0,978
30.06.2014 13:35:25; 0,518
27.07.2014 11:42:10; 0,542
07.08.2014 11:45:35; 0,332
30.09.2014 07:25:50; 0,349
23.10.2014 03:11:10; 0,365
30.11.2014 23:59:55; 0,427
08.12.2014 05:40:45; 0,486
09.01.2015 15:01:10; 0,440
24.02.2015 18:02:30; 0,519
02.03.2015 19:05:45; 0,439
06.04.2015 14:49:50; 0,373
26.05.2015 10:33:35; 0,516
19.06.2015 18:40:30; 0,482
17.07.2015 06:22:25; 0,401
17.08.2015 08:11:00; 0,254
01.09.2015 06:44:50; 0,509
16.10.2015 06:51:10; 0,320
11.11.2015 05:51:55; 0,200
02.12.2015 12:02:00; 0,350
26.01.2016 07:58:45; 0,381
04.02.2016 08:07:10; 0,304
18.03.2016 01:35:35; 0,207
19.04.2016 04:56:10; 0,224
10.05.2016 09:16:35; 0,263
29.06.2016 10:45:00; 0,310
12.07.2016 21:15:20; 0,416
21.08.2016 07:17:30; 0,189
14.09.2016 10:46:35; 0,225
20.10.2016 11:40:25; 0,199
16.11.2016 18:42:35; 0,481
31.12.2016 16:50:00; 0,378
01.01.2017 00:00:00; 0,356
28.02.2017 12:05:00; 0,296
26.03.2017 13:25:00; 0,445
29.04.2017 12:25:00; 0,192
09.05.2017 03:40:00; 0,224
26.06.2017 14:05:00; 0,296
09.07.2017 21:30:00; 0,315
10.08.2017 21:05:00; 0,310
21.09.2017 14:15:00; 0,537
01.10.2017 00:00:00; 0,172
02.11.2017 12:10:00; 0,329
31.12.2017 14:23:30; 0,378
01.01.2018 00:00:00; 0,319
01.02.2018 00:00:00; 0,196
08.03.2018 17:15:20; 0,213
21.04.2018 17:45:20; 0,313
03.05.2018 08:00:20; 0,298
12.06.2018 07:25:20; 0,183
26.07.2018 18:20:20; 0,180
02.08.2018 15:15:20; 0,300
27.09.2018 11:58:35; 0,300
24.10.2018 11:39:40; 0,217
07.11.2018 22:24:40; 0,348
25.12.2018 12:01:10; 0,464
14.01.2019 04:27:40; 0,315
22.02.2019 11:07:40; 0,340
17.03.2019 14:37:40; 0,527
01.04.2019 00:00:00; 0,358
23.05.2019 09:57:40; 0,373
09.06.2019 15:27:40; 0,447
28.07.2019 20:22:40; 0,257
01.08.2019 00:00:00; 0,181
09.09.2019 00:27:40; 0,168
23.10.2019 14:14:40; 0,145
17.11.2019 17:39:40; 0,140
12.12.2019 14:19:40; 0,345
04.01.2020 20:24:45; 0,112
01.02.2020 00:00:00; 0,079
27.03.2020 18:00:00; 0,289
01.04.2020 00:00:00; 0,289
23.05.2020 19:10:00; 0,154
22.06.2020 13:45:00; 0,793
01.07.2020 00:00:00; 0,202
14.08.2020 16:50:00; 0,121
27.09.2020 03:35:00; 0,103
31.10.2020 10:05:00; 0,747
01.11.2020 00:00:00; 0,365
07.12.2020 10:34:00; 0,290
29.01.2021 02:25:00; 0,415
27.02.2021 12:55:00; 0,304
25.03.2021 00:25:00; 0,368
18.04.2021 10:15:00; 0,576
22.05.2021 23:35:05; 0,314
12.06.2021 21:55:00; 0,277
31.07.2021 22:30:00; 0,333
16.08.2021 14:45:00; 0,276
02.09.2021 12:32:00; 0,388
07.10.2021 10:05:00; 0,116
09.11.2021 13:05:00; 0,287
15.12.2021 02:45:00; 0,203
