Messstelle:                ;Klausenleopoldsdorf
13.04.1988 22:15:00;  11,9
21.05.1988 01:45:00;  2,74
06.06.1988 08:00:00;  6,14
07.07.1988 21:15:00;  1,23
23.08.1988 20:00:00; 0,675
16.09.1988 12:45:00;  7,47
29.10.1988 22:30:00; 0,255
29.11.1988 23:45:00;  3,13
11.12.1988 02:15:00;  7,08
08.01.1989 21:15:00;  7,67
21.02.1989 21:00:00;  2,62
19.03.1989 06:45:00;  1,06
30.04.1989 23:59:55;  8,83
01.05.1989 06:45:00;  21,5
18.06.1989 13:00:00;  15,1
04.07.1989 21:15:00;  19,8
31.08.1989 01:00:00;  8,91
05.09.1989 04:30:00;  26,6
03.10.1989 13:15:00; 0,545
06.11.1989 22:30:00;  3,55
16.12.1989 01:15:00;  5,21
08.01.1990 11:30:00; 0,325
15.02.1990 17:15:00;  4,36
29.03.1990 13:15:00;  2,48
08.04.1990 13:30:00;  5,57
25.05.1990 18:15:00;  2,37
13.06.1990 12:15:00; 0,604
10.07.1990 19:15:00;  3,69
17.08.1990 23:45:00; 0,133
24.09.1990 14:45:00;  1,06
02.10.1990 07:30:00;  1,61
20.11.1990 02:15:00;  1,32
31.12.1990 21:30:00;  2,87
03.01.1991 13:00:00;  4,45
24.02.1991 15:15:00;  5,10
31.03.1991 20:00:00;  1,41
20.04.1991 21:00:00;  2,14
18.05.1991 12:30:00;  51,6
09.06.1991 00:00:00; 0,646
28.07.1991 05:30:00;  13,6
03.08.1991 10:30:00;  57,0
01.09.1991 00:00:00; 0,168
25.10.1991 13:00:00; 0,253
17.11.1991 01:00:00;  1,63
23.12.1991 08:15:00;  11,0
06.01.1992 11:30:00;  1,43
07.02.1992 03:15:00;  2,91
21.03.1992 08:30:00;  19,2
06.04.1992 05:30:00;  1,94
11.05.1992 18:30:00;  3,17
13.06.1992 23:45:00;  12,5
15.07.1992 18:00:00;  2,17
28.08.1992 03:15:00; 0,067
05.09.1992 00:00:00; 0,289
22.10.1992 10:30:00; 0,253
23.11.1992 12:45:00;  5,16
12.12.1992 23:15:00;  2,05
10.01.1993 01:30:00;  4,19
26.02.1993 00:01:00;  1,53
17.03.1993 16:30:00;  17,2
02.04.1993 02:00:00;  2,78
28.05.1993 06:30:00; 0,529
28.06.1993 10:45:00; 0,378
25.07.1993 21:30:00;  1,63
31.08.1993 12:45:00;  1,43
01.09.1993 11:30:00;  1,63
24.10.1993 01:15:00;  5,44
07.11.1993 09:00:00; 0,487
21.12.1993 13:30:00;  4,45
01.01.1994 20:00:00;  5,61
25.02.1994 13:15:00; 0,255
23.03.1994 10:30:00;  2,62
18.04.1994 09:00:00;  33,9
27.05.1994 00:15:00; 0,833
17.06.1994 16:00:00;  2,05
19.07.1994 20:15:00;  1,62
22.08.1994 17:00:00; 0,327
01.09.1994 10:15:00; 0,578
25.10.1994 00:15:00; 0,466
27.11.1994 14:45:00;  1,33
29.12.1994 01:30:00;  3,74
01.01.1995 00:00:00; Lücke
01.02.1995 00:00:00; Lücke
01.03.1995 00:00:00; Lücke
01.04.1995 00:00:00; Lücke
01.05.1995 00:00:00; Lücke
01.06.1995 00:00:00; Lücke
01.07.1995 00:00:00; Lücke
01.08.1995 00:00:00; Lücke
01.09.1995 00:00:00; Lücke
01.10.1995 00:00:00; Lücke
01.11.1995 00:00:00; Lücke
01.12.1995 00:00:00; Lücke
01.01.1996 00:00:05;  1,83
17.02.1996 18:15:00; 0,988
25.03.1996 17:30:00;  6,21
10.04.1996 00:45:00;  15,4
14.05.1996 10:15:00;  16,0
22.06.1996 19:30:00;  18,2
12.07.1996 15:00:00;  1,73
27.08.1996 17:00:00;  4,99
24.09.1996 09:45:00;  17,2
22.10.1996 09:00:00;  29,4
14.11.1996 17:15:00;  2,78
01.12.1996 00:00:00; 0,373
01.01.1997 05:13:40;  2,21
13.02.1997 22:15:40;  2,83
17.03.1997 11:40:40;  12,8
15.04.1997 16:15:05;  3,39
22.05.1997 18:35:20;  6,56
23.06.1997 11:00:35;  2,26
08.07.1997 04:50:20;  99,6
19.08.1997 07:58:15;  1,60
20.09.1997 06:18:10; 0,879
02.10.1997 16:00:35; 0,372
14.11.1997 13:39:00;  6,71
18.12.1997 16:51:50;  6,03
04.01.1998 15:34:50; 0,650
13.02.1998 13:21:30;  5,96
18.03.1998 02:33:40;  25,1
13.04.1998 05:04:25; 0,570
22.05.1998 03:12:35;  1,85
13.06.1998 17:30:40;  7,46
08.07.1998 00:31:05;  1,55
23.08.1998 09:37:20; 0,156
05.09.1998 23:06:50;  2,40
29.10.1998 09:43:00;  1,77
10.11.1998 10:21:45;  8,69
14.12.1998 17:24:15;  16,6
09.01.1999 00:53:20; 0,665
20.02.1999 14:11:35;  13,0
02.03.1999 17:39:45;  11,0
13.04.1999 14:21:05;  1,36
21.05.1999 05:22:30;  42,2
22.06.1999 12:32:35;  5,03
10.07.1999 14:43:20;  39,7
29.08.1999 17:01:50; 0,660
02.09.1999 16:58:30;  22,8
06.10.1999 02:07:15; 0,300
10.11.1999 06:26:00;  2,58
26.12.1999 01:34:15;  1,06
31.01.2000 07:05:35;  13,1
01.02.2000 00:00:00;  7,11
30.03.2000 02:24:00;  3,60
02.04.2000 00:50:40;  2,32
18.05.2000 20:14:10;  1,33
07.06.2000 04:26:20; 0,441
11.07.2000 18:42:50; 0,190
06.08.2000 08:07:00;  4,74
16.09.2000 21:53:40;  2,84
07.10.2000 20:58:00; 0,377
05.11.2000 03:56:15; 0,606
28.12.2000 13:01:30; 0,785
08.01.2001 09:19:55;  1,02
06.02.2001 19:56:30;  2,34
23.03.2001 00:36:35;  3,31
09.04.2001 05:44:00;  2,43
08.05.2001 14:32:05; 0,532
11.06.2001 12:34:10; 0,480
21.07.2001 15:15:45;  2,73
20.08.2001 18:35:20; 0,738
18.09.2001 04:58:00;  20,1
01.10.2001 00:00:00; 0,193
27.11.2001 04:20:50;  3,71
06.12.2001 18:49:25;  9,96
21.01.2002 18:22:20;  3,67
14.02.2002 00:32:45;  2,48
20.03.2002 19:56:30;  27,3
24.04.2002 04:31:30;  2,66
01.05.2002 00:00:00; 0,462
07.06.2002 03:10:00;  79,0
17.07.2002 14:55:30;  2,23
13.08.2002 06:41:15;  56,0
24.09.2002 07:13:40;  1,54
12.10.2002 15:25:50;  13,0
11.11.2002 20:19:45;  4,59
23.12.2002 12:21:15;  13,6
28.01.2003 16:24:45;  14,6
01.02.2003 00:00:00;  1,97
03.03.2003 13:35:10;  9,45
11.04.2003 05:36:50; 0,582
13.05.2003 20:50:00;  1,17
15.06.2003 15:20:00; 0,487
18.07.2003 02:50:00; 0,429
31.08.2003 10:25:00; 0,107
13.09.2003 16:10:00;  2,28
05.10.2003 13:05:00; 0,434
02.11.2003 11:00:00; 0,930
31.12.2003 19:15:00; 0,650
14.01.2004 04:15:00;  5,80
03.02.2004 09:30:00;  10,4
17.03.2004 16:30:00;  13,4
24.04.2004 11:50:00;  6,94
16.05.2004 08:25:00;  4,30
04.06.2004 02:05:00;  16,7
15.07.2004 18:00:00; 0,431
30.08.2004 14:30:00; 0,144
24.09.2004 02:15:00;  2,26
09.10.2004 19:20:00; 0,241
23.11.2004 21:05:00;  1,24
27.12.2004 21:20:00; 0,327
21.01.2005 13:55:00;  1,32
13.02.2005 03:25:00;  11,1
18.03.2005 17:15:00;  22,2
18.04.2005 22:30:00;  1,89
19.05.2005 04:55:00;  15,0
04.06.2005 20:45:00; 0,928
25.07.2005 19:15:00;  8,05
22.08.2005 11:25:00;  5,25
17.09.2005 23:35:00;  1,51
01.10.2005 00:00:00; 0,374
27.11.2005 17:20:00; 0,262
25.12.2005 17:50:00;  2,55
03.01.2006 07:50:00; 0,345
21.02.2006 18:35:00;  3,70
29.03.2006 09:20:00;  26,3
30.04.2006 23:59:55;  7,87
01.05.2006 03:00:00;  13,2
03.06.2006 07:35:00;  45,7
01.07.2006 01:35:00;  1,97
07.08.2006 22:05:00;  88,2
08.09.2006 08:20:00;  1,98
30.10.2006 10:05:00; 0,164
23.11.2006 05:45:00; 0,202
27.12.2006 06:55:00; 0,184
19.01.2007 15:15:00;  1,43
16.02.2007 06:45:00;  1,19
25.03.2007 20:05:00;  5,52
01.04.2007 00:00:00;  1,60
10.05.2007 03:05:00;  6,42
10.06.2007 15:25:00; 0,681
10.07.2007 10:35:00; 0,087
11.08.2007 18:30:00; 0,292
07.09.2007 09:05:00;  65,1
28.10.2007 17:00:00;  9,39
25.11.2007 17:50:00;  4,06
12.12.2007 06:45:00;  13,1
19.01.2008 13:54:25;  3,14
01.02.2008 00:20:00;  1,18
14.03.2008 22:45:00;  2,09
22.04.2008 23:40:00;  3,29
20.05.2008 21:52:25;  1,24
05.06.2008 12:51:50;  3,31
24.07.2008 01:45:00;  11,5
16.08.2008 06:50:00;  2,82
16.09.2008 17:40:00;  8,69
04.10.2008 00:20:00;  1,27
21.11.2008 14:55:00;  3,04
22.12.2008 22:10:00;  4,50
24.01.2009 05:35:00;  1,19
28.02.2009 18:55:00;  4,47
05.03.2009 18:10:00;  16,7
01.04.2009 00:05:00;  3,84
30.05.2009 12:30:00;  9,49
23.06.2009 00:00:00;  30,8
06.07.2009 17:50:00;  29,0
04.08.2009 18:50:00;  1,37
04.09.2009 23:50:00; 0,374
30.10.2009 07:25:00; 0,330
03.11.2009 21:15:00;  1,65
11.12.2009 21:20:00;  2,72
05.01.2010 10:05:00; 0,432
26.02.2010 19:45:00;  3,69
01.03.2010 18:25:00;  2,34
15.04.2010 04:45:00;  8,33
16.05.2010 08:05:00;  21,5
02.06.2010 11:55:00;  26,2
18.07.2010 02:20:00;  1,26
31.08.2010 17:20:00;  9,10
27.09.2010 01:25:00;  4,60
25.10.2010 17:45:00; 0,751
01.11.2010 01:30:00; 0,201
09.12.2010 10:55:00;  2,03
13.01.2011 23:45:00;  12,7
05.02.2011 17:05:00;  2,80
18.03.2011 23:00:00;  14,8
15.04.2011 04:20:00; 0,955
28.05.2011 00:30:00;  2,10
08.06.2011 18:20:00;  31,7
05.07.2011 10:05:00;  1,32
08.08.2011 15:20:00;  1,13
20.09.2011 01:00:00; 0,886
13.10.2011 04:05:00;  8,72
01.11.2011 00:05:00; 0,114
24.12.2011 05:25:00; 0,246
22.01.2012 05:45:00;  3,95
29.02.2012 12:00:00;  2,23
13.03.2012 05:55:00;  2,36
17.04.2012 01:10:00;  3,75
06.05.2012 21:35:00; 0,591
13.06.2012 09:50:00;  1,50
25.07.2012 11:20:00;  5,47
03.08.2012 20:55:00; 0,392
13.09.2012 03:30:00;  1,44
16.10.2012 17:50:00; 0,204
05.11.2012 10:05:00;  1,85
24.12.2012 01:00:00;  5,75
07.01.2013 06:20:00;  23,7
01.02.2013 00:30:00;  4,51
07.03.2013 19:25:00;  6,01
10.04.2013 17:50:00;  7,21
14.05.2013 01:30:00;  8,03
11.06.2013 08:55:00;  18,7
11.07.2013 05:40:00;  1,60
29.08.2013 14:20:00; 0,350
17.09.2013 06:10:00;  1,83
11.10.2013 18:50:00; 0,497
24.11.2013 17:40:00;  10,4
10.12.2013 13:30:00;  1,36
22.01.2014 14:45:00; 0,789
12.02.2014 19:25:00;  1,64
01.03.2014 15:05:00; 0,216
20.04.2014 02:50:00; 0,766
16.05.2014 10:00:00;  65,1
30.06.2014 18:20:00;  3,23
01.07.2014 00:00:00;  1,80
03.08.2014 17:30:00;  7,78
13.09.2014 08:35:00;  6,74
23.10.2014 19:15:00;  6,20
18.11.2014 20:45:00; 0,765
07.12.2014 22:45:00;  3,48
10.01.2015 09:10:00;  8,35
24.02.2015 19:05:00;  7,98
02.03.2015 16:40:00;  3,56
18.04.2015 00:10:00; 0,966
23.05.2015 14:40:00;  24,3
19.06.2015 10:30:00;  1,79
08.07.2015 21:20:00; 0,684
17.08.2015 07:15:00;  1,44
04.09.2015 04:30:00; 0,492
20.10.2015 06:45:00;  10,1
21.11.2015 11:45:00;  1,26
10.12.2015 07:35:00; 0,496
26.01.2016 01:00:00;  5,23
19.02.2016 16:55:00;  3,97
17.03.2016 19:05:00;  2,34
09.04.2016 00:20:00;  2,35
04.05.2016 13:00:00;  8,53
20.06.2016 11:05:00;  3,73
14.07.2016 05:20:00;  5,45
10.08.2016 13:35:00;  1,43
06.09.2016 15:20:00;  3,99
20.10.2016 10:55:00;  6,08
16.11.2016 13:40:00;  5,73
28.12.2016 16:40:00;  2,62
01.01.2017 14:00:00; 0,739
21.02.2017 15:45:00;  9,63
19.03.2017 13:20:00;  9,61
22.04.2017 20:40:00;  12,6
09.05.2017 10:15:00;  6,92
17.06.2017 07:55:00; 0,283
27.07.2017 10:55:00;  2,01
11.08.2017 02:00:00;  1,12
20.09.2017 10:15:00;  13,1
09.10.2017 05:15:00;  1,36
22.11.2017 02:00:00; 0,924
31.12.2017 09:40:00;  3,26
01.01.2018 00:00:00;  2,49
16.02.2018 19:30:00; 0,813
10.03.2018 19:25:00;  3,19
01.04.2018 06:10:00;  1,69
02.05.2018 23:20:00;  13,4
28.06.2018 08:45:00;  9,58
06.07.2018 21:45:00;  9,63
26.08.2018 09:10:00; 0,383
03.09.2018 19:30:00;  2,36
28.10.2018 13:45:00; 0,902
26.11.2018 17:55:00;  1,47
24.12.2018 09:20:00;  21,8
14.01.2019 09:45:00;  5,38
22.02.2019 11:10:00;  5,52
16.03.2019 11:10:00;  18,1
30.04.2019 19:40:00;  8,41
06.05.2019 07:20:00;  11,1
01.06.2019 00:00:00;  1,57
01.07.2019 22:25:00; 0,887
13.08.2019 02:00:00; 0,215
09.09.2019 03:05:00;  1,30
03.10.2019 02:25:00; 0,283
13.11.2019 20:25:00; 0,431
23.12.2019 12:50:00;  1,97
31.01.2020 16:25:00;  1,27
03.02.2020 14:30:00;  3,73
06.03.2020 16:00:00; 0,669
14.04.2020 09:00:00; 0,208
26.05.2020 19:50:00;  9,04
21.06.2020 08:10:00;  54,0
18.07.2020 14:50:00;  2,79
05.08.2020 16:25:00;  1,25
01.09.2020 20:35:00;  5,11
14.10.2020 00:05:00;  17,5
02.11.2020 09:20:00;  1,42
24.12.2020 11:25:00; 0,659
29.01.2021 07:45:00;  11,3
01.02.2021 00:15:00;  1,61
24.03.2021 20:15:00;  1,36
17.04.2021 20:05:00;  1,67
23.05.2021 16:40:00; 0,793
06.06.2021 13:50:00; 0,476
17.07.2021 23:30:00;  7,99
16.08.2021 23:30:00;  1,63
17.09.2021 11:10:00; 0,220
07.10.2021 10:45:00; 0,664
02.11.2021 09:25:00; 0,559
14.12.2021 07:50:00;  1,55
