Messstelle:                ;Wies
02.07.1980 06:30:00;  6,99
31.08.1980 05:00:00;  28,5
10.09.1980 05:00:00;  7,58
13.10.1980 01:30:00;  33,1
06.11.1980 03:00:00;  5,38
05.12.1980 11:30:00;  2,72
01.01.1981 00:00:00;  1,37
21.02.1981 05:30:00;  1,46
09.03.1981 18:00:00;  3,95
25.04.1981 16:30:00;  1,70
12.05.1981 16:00:00;  7,32
24.06.1981 09:00:00;  16,1
19.07.1981 07:30:00;  17,9
21.08.1981 10:00:00;  8,56
29.09.1981 07:00:00;  17,2
22.10.1981 18:00:00;  17,7
03.11.1981 07:00:00;  1,94
09.12.1981 12:30:00;  1,96
01.01.1982 17:30:00;  9,97
28.02.1982 10:00:00;  1,55
02.03.1982 11:30:00;  5,01
03.04.1982 13:30:00;  2,81
24.05.1982 15:00:00;  9,86
27.06.1982 15:00:00;  11,5
25.07.1982 23:30:00;  20,6
19.08.1982 23:00:00;  29,2
07.09.1982 23:30:00;  33,0
06.10.1982 19:00:00;  32,3
14.11.1982 07:00:00;  14,8
18.12.1982 15:00:00;  10,8
16.01.1983 12:00:00;  2,82
18.02.1983 07:00:00;  1,76
22.03.1983 20:30:00;  5,94
14.04.1983 12:30:00;  2,55
09.05.1983 08:30:00;  4,91
10.06.1983 22:00:00;  4,56
01.07.1983 21:00:00;  4,26
03.08.1983 05:30:00;  6,27
12.09.1983 02:30:00;  10,9
17.10.1983 13:00:00;  11,0
27.11.1983 21:00:00;  9,75
22.12.1983 20:00:00;  3,40
10.01.1984 10:15:00; 0,850
07.02.1984 17:45:00;  1,23
30.03.1984 04:45:00;  11,1
03.04.1984 17:30:00;  15,2
08.05.1984 18:00:00;  5,72
29.06.1984 19:00:00;  6,39
26.07.1984 14:00:00;  8,66
09.08.1984 23:30:00;  39,5
24.09.1984 01:45:00;  13,7
03.10.1984 23:45:00;  5,60
05.11.1984 21:45:00;  2,42
19.12.1984 17:30:00;  1,10
23.01.1985 00:01:00;  4,31
04.02.1985 12:30:00;  2,07
24.03.1985 01:15:00;  8,15
24.04.1985 14:00:00;  7,70
07.05.1985 12:00:00;  21,4
09.06.1985 02:15:00;  17,8
01.07.1985 15:45:00;  8,48
04.08.1985 06:30:00;  22,4
04.09.1985 05:15:00;  4,94
08.10.1985 23:29:15;  1,24
11.11.1985 06:30:00;  5,90
29.12.1985 21:45:00;  6,22
24.01.1986 13:30:00;  1,87
05.02.1986 10:00:00;  3,20
25.03.1986 09:15:00;  8,32
29.04.1986 20:45:00;  7,15
30.05.1986 02:15:00;  21,4
14.06.1986 23:15:00;  20,7
24.07.1986 21:00:00;  3,05
28.08.1986 19:45:00;  23,7
10.09.1986 13:00:00;  4,69
23.10.1986 22:00:00;  8,77
24.11.1986 00:30:00;  11,1
31.12.1986 07:45:00;  1,79
02.01.1987 14:15:00;  3,66
20.02.1987 15:45:00;  4,63
28.03.1987 23:15:00;  10,7
21.04.1987 06:00:00;  5,38
06.05.1987 07:45:00;  11,0
24.06.1987 17:30:00;  7,15
15.07.1987 20:45:00;  14,9
05.08.1987 12:45:00;  36,5
05.09.1987 19:00:00;  9,63
18.10.1987 16:45:00;  2,92
14.11.1987 12:00:00;  10,6
01.12.1987 07:15:00;  11,0
26.01.1988 06:15:00;  7,68
13.02.1988 01:45:00;  2,64
21.03.1988 12:30:00;  4,74
29.04.1988 08:00:00;  11,5
27.05.1988 15:45:00;  5,23
29.06.1988 17:00:00;  19,7
14.07.1988 15:00:00;  28,3
22.08.1988 05:30:00;  16,2
13.09.1988 17:30:00;  31,3
08.10.1988 05:30:00;  10,6
03.11.1988 13:30:00;  1,51
01.12.1988 07:00:00;  1,00
01.01.1989 07:45:00;  1,07
26.02.1989 00:15:00;  7,63
19.03.1989 06:15:00;  2,79
28.04.1989 05:30:00;  8,94
17.05.1989 00:00:00;  18,6
27.06.1989 17:30:00;  16,3
04.07.1989 18:15:00;  40,7
28.08.1989 08:15:00;  17,9
28.09.1989 17:30:00;  23,0
15.10.1989 07:30:00;  7,50
06.11.1989 16:15:00;  5,50
19.12.1989 22:45:00;  2,64
29.01.1990 05:00:00;  1,87
28.02.1990 21:30:00;  1,76
28.03.1990 06:45:00;  6,32
07.04.1990 23:15:00;  4,48
23.05.1990 03:00:00;  5,33
10.06.1990 00:45:00;  14,4
10.07.1990 20:15:00;  18,1
21.08.1990 15:15:00;  6,68
24.09.1990 08:45:00;  6,37
21.10.1990 01:15:00;  15,7
01.11.1990 09:30:00;  32,1
10.12.1990 10:15:00;  3,50
05.01.1991 09:15:00;  3,00
26.02.1991 00:15:00;  2,33
26.03.1991 06:45:00;  5,80
01.04.1991 17:00:00;  3,86
10.05.1991 11:15:00;  16,5
27.06.1991 21:15:00;  27,5
17.07.1991 20:45:00;  14,9
14.08.1991 16:00:00;  22,5
15.09.1991 22:15:00;  2,33
18.10.1991 20:00:00;  11,4
05.11.1991 01:15:00;  16,6
27.12.1991 08:15:00;  2,13
29.01.1992 18:15:00; 0,843
20.02.1992 09:45:00;  1,51
27.03.1992 15:30:00;  4,28
30.04.1992 04:15:00;  9,00
10.05.1992 20:00:00;  3,56
12.06.1992 17:45:00;  19,9
17.07.1992 05:15:00;  2,33
06.08.1992 12:30:00;  3,15
04.09.1992 20:30:00;  3,00
18.10.1992 06:30:00;  17,6
04.11.1992 01:45:00;  18,3
05.12.1992 22:45:00;  17,5
12.01.1993 00:01:00;  1,51
02.02.1993 00:01:00;  1,08
24.03.1993 09:00:00;  2,55
11.04.1993 17:00:00; 0,918
07.05.1993 14:30:00;  1,16
04.06.1993 09:45:00;  2,96
26.07.1993 13:15:00;  5,69
05.08.1993 22:30:00;  7,36
29.09.1993 15:15:00;  9,36
23.10.1993 19:45:00;  34,0
06.11.1993 07:00:00;  5,69
21.12.1993 23:30:00;  7,36
08.01.1994 09:00:00;  6,34
24.02.1994 17:15:00;  2,90
26.03.1994 20:15:00;  1,42
17.04.1994 16:30:00;  10,1
12.05.1994 15:00:00;  2,90
13.06.1994 04:15:00;  15,0
20.07.1994 23:15:00;  16,1
29.08.1994 20:30:00;  8,63
03.09.1994 18:15:00;  3,02
04.10.1994 21:15:00;  12,1
11.11.1994 12:00:00;  29,8
31.12.1994 05:00:00;  4,21
23.01.1995 13:15:00;  8,63
27.02.1995 13:45:00;  2,67
02.03.1995 16:30:00;  7,54
25.04.1995 12:15:00;  7,54
13.05.1995 06:45:00;  6,17
21.06.1995 16:00:00;  13,1
06.07.1995 13:15:00;  7,99
28.08.1995 14:30:00;  15,5
14.09.1995 21:15:00;  33,7
01.10.1995 00:00:00;  1,59
02.11.1995 08:15:00;  1,51
23.12.1995 16:00:00;  5,04
11.01.1996 19:15:00;  7,86
02.02.1996 10:15:00;  8,95
26.03.1996 15:30:00;  5,04
05.04.1996 05:15:00;  16,9
13.05.1996 07:15:00;  42,9
30.06.1996 05:45:00;  20,9
03.07.1996 00:15:00;  19,9
30.08.1996 19:30:00;  7,32
23.09.1996 09:45:00;  26,2
02.10.1996 19:30:00;  14,0
18.11.1996 00:01:00;  2,90
01.12.1996 00:00:00;  1,61
19.01.1997 10:16:25;  1,23
13.02.1997 17:52:35;  2,64
01.03.1997 08:28:10; 0,897
03.04.1997 07:49:35;  2,26
25.05.1997 00:38:25;  1,88
23.06.1997 05:58:00;  15,5
05.07.1997 11:22:00;  2,14
29.08.1997 06:02:15;  16,7
14.09.1997 06:30:45;  11,2
30.10.1997 08:04:30;  2,64
08.11.1997 07:58:20;  8,08
03.12.1997 17:11:40;  15,7
10.01.1998 11:44:35;  1,68
11.02.1998 07:46:45; 0,755
01.03.1998 12:05:25;  1,24
06.04.1998 12:58:25;  2,00
08.05.1998 10:02:55;  1,97
29.06.1998 07:07:35;  9,56
14.07.1998 17:59:20;  14,0
27.08.1998 23:11:20;  12,9
05.09.1998 19:08:50;  11,8
07.10.1998 18:54:25;  18,1
04.11.1998 21:24:10;  16,2
07.12.1998 15:59:00;  2,15
22.01.1999 02:25:25;  1,11
28.02.1999 00:10:45;  1,79
29.03.1999 05:23:00;  4,74
18.04.1999 03:47:00;  4,03
02.05.1999 20:04:40;  28,3
12.06.1999 23:57:55;  26,7
11.07.1999 06:16:00;  41,0
20.08.1999 19:45:50;  19,4
04.09.1999 10:13:00;  12,1
04.10.1999 12:02:00;  5,12
07.11.1999 05:22:00;  7,10
10.12.1999 21:04:20;  10,5
01.01.2000 03:02:40; 0,670
15.02.2000 23:53:35;  1,40
29.03.2000 18:01:00;  6,75
24.04.2000 22:13:50;  8,71
29.05.2000 17:49:50;  6,36
25.06.2000 05:05:00;  5,36
28.07.2000 18:46:10;  4,62
06.08.2000 03:59:15;  8,28
16.09.2000 22:34:05;  13,7
03.10.2000 08:45:15;  18,9
07.11.2000 05:18:05;  16,6
28.12.2000 03:53:00;  5,48
08.01.2001 15:46:30;  13,5
07.02.2001 06:44:15;  2,31
26.03.2001 23:57:05;  6,09
11.04.2001 17:53:35;  8,97
06.05.2001 17:21:05;  8,34
06.06.2001 22:55:45;  5,88
16.07.2001 10:22:25;  2,60
10.08.2001 21:37:10;  4,16
14.09.2001 20:28:05;  11,8
05.10.2001 01:02:45;  2,78
09.11.2001 07:59:35;  6,50
01.12.2001 14:56:50; 0,792
31.01.2002 18:00:00; 0,489
18.02.2002 17:45:00;  2,90
01.03.2002 11:00:00;  1,53
12.04.2002 14:15:05;  2,03
26.05.2002 12:15:00;  4,61
28.06.2002 22:45:00;  1,87
16.07.2002 11:00:00;  3,90
11.08.2002 13:00:05;  14,3
24.09.2002 13:15:00;  17,3
12.10.2002 12:30:00;  11,5
18.11.2002 08:45:00;  7,22
06.12.2002 07:45:00;  29,9
01.01.2003 00:00:00;  1,88
01.02.2003 12:15:00; 0,868
13.03.2003 11:15:00;  5,24
16.04.2003 06:45:00;  4,08
20.05.2003 18:30:00;  2,20
09.06.2003 19:30:00;  6,27
03.07.2003 19:00:00;  3,46
31.08.2003 18:30:00;  7,95
10.09.2003 09:00:00;  12,4
05.10.2003 05:30:00;  6,14
02.11.2003 09:15:00;  8,61
31.12.2003 22:00:00;  4,62
17.01.2004 18:00:00;  4,11
05.02.2004 17:15:00;  1,76
24.03.2004 16:45:00;  17,5
06.04.2004 22:45:00;  4,47
28.05.2004 13:45:00;  11,4
20.06.2004 15:45:00;  27,8
06.07.2004 17:30:00;  17,2
09.08.2004 17:30:00;  17,0
24.09.2004 14:15:00;  8,03
31.10.2004 18:45:10;  5,90
11.11.2004 03:30:00;  4,96
27.12.2004 14:45:00;  6,86
23.01.2005 11:45:00; 0,981
25.02.2005 10:45:00; 0,410
31.03.2005 07:00:00;  4,20
19.04.2005 14:30:00;  8,48
18.05.2005 15:00:00;  6,14
05.06.2005 13:15:00;  1,55
11.07.2005 05:45:00;  20,2
21.08.2005 11:45:00;  69,8
02.09.2005 19:00:00;  5,41
05.10.2005 09:45:00;  15,7
27.11.2005 07:45:00;  1,83
06.12.2005 14:30:00;  4,55
02.01.2006 21:45:00;  1,37
25.02.2006 11:15:00;  2,74
29.03.2006 05:15:00;  4,41
30.04.2006 00:30:00;  8,38
24.05.2006 13:15:00;  6,20
29.06.2006 19:45:00;  5,83
23.07.2006 00:30:00;  13,6
12.08.2006 15:30:00;  3,97
18.09.2006 13:30:00;  15,8
12.10.2006 07:00:00;  1,96
22.11.2006 20:45:00;  2,64
09.12.2006 22:30:00;  1,22
02.01.2007 00:00:00; 0,624
13.02.2007 03:45:00;  5,42
24.03.2007 15:15:00;  6,63
02.04.2007 07:30:00;  1,64
04.05.2007 23:00:00;  7,22
05.06.2007 11:00:00;  4,74
04.07.2007 19:15:00;  5,90
20.08.2007 17:45:00;  3,32
19.09.2007 00:00:00;  6,61
24.10.2007 13:30:00;  4,68
25.11.2007 23:00:00;  2,34
08.12.2007 06:00:00;  3,94
12.01.2008 16:00:00;  1,14
06.02.2008 11:45:00; 0,826
24.03.2008 16:00:00;  1,77
21.04.2008 22:17:20;  1,89
20.05.2008 16:45:00;  2,98
05.06.2008 21:00:00;  15,4
14.07.2008 07:15:00;  8,32
16.08.2008 05:15:00;  10,4
12.09.2008 22:15:00;  8,57
03.10.2008 22:30:00;  7,40
30.11.2008 12:45:00;  2,13
01.12.2008 15:30:00;  6,10
21.01.2009 23:45:00;  5,19
08.02.2009 12:15:00;  12,9
05.03.2009 19:30:00;  4,03
30.04.2009 12:15:00;  3,05
27.05.2009 10:27:30;  7,05
24.06.2009 12:29:55;  23,2
25.07.2009 02:59:55;  12,8
04.08.2009 00:59:55;  14,4
13.09.2009 22:14:55;  16,7
12.10.2009 12:14:55;  1,66
08.11.2009 21:59:55;  2,23
01.12.2009 17:00:00;  9,72
04.01.2010 06:45:00;  1,53
26.02.2010 20:15:00;  6,32
01.03.2010 00:30:00;  2,93
14.04.2010 22:00:00;  2,01
10.05.2010 05:00:00;  4,04
16.06.2010 08:00:00;  6,10
30.07.2010 02:15:00;  1,59
06.08.2010 20:15:00;  10,3
17.09.2010 22:30:00;  15,7
25.10.2010 12:30:00;  7,14
22.11.2010 03:00:00;  5,83
25.12.2010 04:00:00;  5,73
01.01.2011 06:15:00;  2,38
02.02.2011 23:21:00;  1,37
17.03.2011 06:36:00;  4,87
12.04.2011 22:36:00;  1,20
03.05.2011 15:06:00;  5,08
04.06.2011 15:06:00;  7,88
05.07.2011 15:36:00;  10,2
09.08.2011 02:51:00;  3,95
19.09.2011 17:21:00;  7,79
07.10.2011 13:21:00;  5,20
02.11.2011 13:36:00; 0,895
17.12.2011 04:51:00; 0,996
03.01.2012 11:51:00; 0,662
24.02.2012 21:21:05;  5,32
01.03.2012 08:21:00;  1,17
22.04.2012 20:06:00;  2,45
23.05.2012 12:21:00;  12,0
12.06.2012 17:51:00;  1,94
15.07.2012 00:36:00;  8,85
31.08.2012 23:21:00;  4,18
13.09.2012 03:06:00;  15,7
16.10.2012 05:51:00;  14,8
05.11.2012 12:06:00;  17,1
15.12.2012 20:45:00;  2,59
31.01.2013 17:45:00;  2,36
27.02.2013 02:00:00;  5,78
10.03.2013 13:30:00;  7,36
18.04.2013 21:15:00;  3,91
30.05.2013 19:45:00;  3,66
10.06.2013 19:30:00;  6,22
30.07.2013 07:15:00;  2,43
